gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT02_166878,complete,,AC,2024,,1,2024-09-14 20:18:48,1,14.18,1,Blue,top,Zamudo,oe:player:81eb81987bcf9be1e3771a7f0a4ca77,Dragonsteel,oe:team:73062b9e7b567b8cd1f200e96efecc5,Udyr,Sejuani,Jhin,Ashe,Maokai,Olaf,,,,,,1781,1,2,4,2,14,13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4716,0.9096,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,14466,487.3442,0.202242,849.635,1702.6727,8,0.2695,10,0.3369,4,33,1.1117,12786,8877,299.0567,0.215273,12050,,,272.0,264.0,8,,,9.1634,3297.0,4380.0,80.0,2852.0,4259.0,59.0,445.0,121.0,21.0,0.0,0.0,1.0,0.0,1.0,0.0,6491.0,7234.0,133.0,4337.0,6815.0,102.0,2154.0,419.0,31.0,2.0,1.0,2.0,0.0,1.0,1.0,8414.0,9978.0,182.0,7629.0,9586.0,142.0,785.0,392.0,40.0,2.0,1.0,3.0,3.0,2.0,1.0,10031.0,12484.0,222.0,9160.0,11441.0,174.0,871.0,1043.0,48.0,2.0,1.0,3.0,3.0,2.0,1.0
LOLTMNT02_166878,complete,,AC,2024,,1,2024-09-14 20:18:48,1,14.18,2,Blue,jng,Yuuji,oe:player:f9e804c44aa43f18576783a067e99ab,Dragonsteel,oe:team:73062b9e7b567b8cd1f200e96efecc5,Zyra,Sejuani,Jhin,Ashe,Maokai,Olaf,,,,,,1781,1,4,2,10,14,13,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.4716,0.9096,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,0.0,0.0,16316,549.6687,0.228106,598.6861,323.7844,9,0.3032,17,0.5727,6,56,1.8866,12438,8529,287.333,0.206834,10960,,,236.0,29.0,207,,,7.9506,4227.0,4764.0,90.0,3479.0,3382.0,62.0,748.0,1382.0,28.0,2.0,0.0,0.0,1.0,1.0,0.0,6341.0,7681.0,136.0,5913.0,6183.0,100.0,428.0,1498.0,36.0,2.0,5.0,0.0,3.0,1.0,1.0,8029.0,9928.0,172.0,7663.0,8420.0,126.0,366.0,1508.0,46.0,2.0,6.0,1.0,3.0,5.0,1.0,9639.0,11973.0,209.0,9548.0,10422.0,157.0,91.0,1551.0,52.0,2.0,8.0,2.0,4.0,5.0,1.0
LOLTMNT02_166878,complete,,AC,2024,,1,2024-09-14 20:18:48,1,14.18,3,Blue,mid,Spirax,oe:player:b415fb792209708ad6921cca2e73aff,Dragonsteel,oe:team:73062b9e7b567b8cd1f200e96efecc5,Jayce,Sejuani,Jhin,Ashe,Maokai,Olaf,,,,,,1781,1,3,3,5,14,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4716,0.9096,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,1.0,0.0,17061,574.767,0.238522,408.1415,254.7221,16,0.539,13,0.438,8,43,1.4486,13698,9789,329.781,0.237389,12100,,,294.0,278.0,16,,,9.9045,3428.0,4939.0,96.0,3697.0,4932.0,88.0,-269.0,7.0,8.0,0.0,0.0,1.0,1.0,0.0,1.0,6626.0,8387.0,162.0,5626.0,8022.0,140.0,1000.0,365.0,22.0,1.0,3.0,1.0,1.0,2.0,1.0,8777.0,10799.0,211.0,8097.0,10708.0,171.0,680.0,91.0,40.0,1.0,4.0,2.0,3.0,2.0,1.0,11551.0,13857.0,266.0,9714.0,13089.0,214.0,1837.0,768.0,52.0,2.0,4.0,2.0,3.0,3.0,2.0
LOLTMNT02_166878,complete,,AC,2024,,1,2024-09-14 20:18:48,1,14.18,4,Blue,bot,ScaryJerry,oe:player:265b58ce8b2f418df94006bf24e296c,Dragonsteel,oe:team:73062b9e7b567b8cd1f200e96efecc5,Varus,Sejuani,Jhin,Ashe,Maokai,Olaf,,,,,,1781,1,5,1,6,14,13,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4716,0.9096,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,1.0,0.0,20225,681.3588,0.282756,365.9629,150.3537,14,0.4716,6,0.2021,7,31,1.0444,13932,10023,337.6642,0.243063,12650,,,292.0,288.0,4,,,9.8372,3521.0,3724.0,93.0,2963.0,3398.0,72.0,558.0,326.0,21.0,0.0,2.0,0.0,0.0,0.0,1.0,5942.0,6329.0,146.0,4652.0,5677.0,118.0,1290.0,652.0,28.0,2.0,3.0,0.0,0.0,0.0,1.0,8050.0,8352.0,192.0,6863.0,8618.0,175.0,1187.0,-266.0,17.0,3.0,3.0,1.0,0.0,1.0,1.0,10409.0,11050.0,244.0,8831.0,11406.0,230.0,1578.0,-356.0,14.0,4.0,4.0,1.0,0.0,2.0,1.0
LOLTMNT02_166878,complete,,AC,2024,,1,2024-09-14 20:18:48,1,14.18,5,Blue,sup,Zyko,oe:player:42ad24fb9a58f115637ed14ee70677a,Dragonsteel,oe:team:73062b9e7b567b8cd1f200e96efecc5,Rell,Sejuani,Jhin,Ashe,Maokai,Olaf,,,,,,1781,1,0,3,14,14,13,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4716,0.9096,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,3460,116.5637,0.0483727,448.3661,582.785,51,1.7181,11,0.3706,9,103,3.47,7927,4018,135.3622,0.0974411,6275,,,36.0,36.0,0,,,1.2128,2249.0,2810.0,21.0,2022.0,2502.0,11.0,227.0,308.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,3745.0,3947.0,28.0,3182.0,3490.0,15.0,563.0,457.0,13.0,0.0,7.0,1.0,0.0,1.0,3.0,4834.0,5165.0,31.0,4465.0,5226.0,20.0,369.0,-61.0,11.0,0.0,8.0,2.0,0.0,3.0,4.0,5931.0,6449.0,34.0,5397.0,6236.0,22.0,534.0,213.0,12.0,0.0,10.0,2.0,0.0,4.0,5.0
LOLTMNT02_166878,complete,,AC,2024,,1,2024-09-14 20:18:48,1,14.18,6,Red,top,Thoryn,oe:player:fb6fc095466c769a4c96dfa965c266e,WAP Esports,oe:team:65140c73015d004b0456fb43ba373a4,Urgot,Aurora,Lillia,Vi,Yone,Corki,,,,,,1781,0,3,2,3,13,14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.438,0.9096,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,13284,447.5239,0.218218,753.7563,665.2555,12,0.4043,5,0.1684,7,32,1.078,10612,6703,225.817,0.20421,10325,,,201.0,201.0,0,,,6.7715,2852.0,4259.0,59.0,3297.0,4380.0,80.0,-445.0,-121.0,-21.0,0.0,1.0,0.0,0.0,0.0,1.0,4337.0,6815.0,102.0,6491.0,7234.0,133.0,-2154.0,-419.0,-31.0,0.0,1.0,1.0,2.0,1.0,2.0,7629.0,9586.0,142.0,8414.0,9978.0,182.0,-785.0,-392.0,-40.0,3.0,2.0,1.0,2.0,1.0,3.0,9160.0,11441.0,174.0,10031.0,12484.0,222.0,-871.0,-1043.0,-48.0,3.0,2.0,1.0,2.0,1.0,3.0
LOLTMNT02_166878,complete,,AC,2024,,1,2024-09-14 20:18:48,1,14.18,7,Red,jng,QQMore,oe:player:81eed41b598a207697930065353ba1c,WAP Esports,oe:team:65140c73015d004b0456fb43ba373a4,Brand,Aurora,Lillia,Vi,Yone,Corki,,,,,,1781,0,4,2,5,13,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.438,0.9096,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,0.0,0.0,12714,428.3212,0.208854,810.4211,338.1359,12,0.4043,12,0.4043,11,49,1.6508,10739,6830,230.0955,0.208079,10575,,,181.0,25.0,156,,,6.0977,3479.0,3382.0,62.0,4227.0,4764.0,90.0,-748.0,-1382.0,-28.0,1.0,1.0,0.0,2.0,0.0,0.0,5913.0,6183.0,100.0,6341.0,7681.0,136.0,-428.0,-1498.0,-36.0,3.0,1.0,1.0,2.0,5.0,0.0,7663.0,8420.0,126.0,8029.0,9928.0,172.0,-366.0,-1508.0,-46.0,3.0,5.0,1.0,2.0,6.0,1.0,9548.0,10422.0,157.0,9639.0,11973.0,209.0,-91.0,-1551.0,-52.0,4.0,5.0,1.0,2.0,8.0,2.0
LOLTMNT02_166878,complete,,AC,2024,,1,2024-09-14 20:18:48,1,14.18,8,Red,mid,DiDi,oe:player:54f128223ee01afa0a5c6412027a8ae,WAP Esports,oe:team:65140c73015d004b0456fb43ba373a4,Tristana,Aurora,Lillia,Vi,Yone,Corki,,,,,,1781,0,6,2,3,13,14,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.438,0.9096,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,1.0,16917,569.9158,0.277897,658.2482,341.7406,13,0.438,5,0.1684,4,30,1.0107,13900,9991,336.5862,0.304378,12150,,,270.0,254.0,16,,,9.096,3697.0,4932.0,88.0,3428.0,4939.0,96.0,269.0,-7.0,-8.0,1.0,0.0,1.0,0.0,0.0,1.0,5626.0,8022.0,140.0,6626.0,8387.0,162.0,-1000.0,-365.0,-22.0,1.0,2.0,1.0,1.0,3.0,1.0,8097.0,10708.0,171.0,8777.0,10799.0,211.0,-680.0,-91.0,-40.0,3.0,2.0,1.0,1.0,4.0,2.0,9714.0,13089.0,214.0,11551.0,13857.0,266.0,-1837.0,-768.0,-52.0,3.0,3.0,2.0,2.0,4.0,2.0
LOLTMNT02_166878,complete,,AC,2024,,1,2024-09-14 20:18:48,1,14.18,9,Red,bot,Kindless,oe:player:d6512817657af74944409f9db236876,WAP Esports,oe:team:65140c73015d004b0456fb43ba373a4,Ziggs,Aurora,Lillia,Vi,Yone,Corki,,,,,,1781,0,0,2,5,13,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.438,0.9096,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,1.0,14114,475.4857,0.231852,448.3324,154.9354,12,0.4043,3,0.1011,4,22,0.7412,10773,6864,231.2409,0.209115,9000,,,265.0,265.0,0,,,8.9276,2963.0,3398.0,72.0,3521.0,3724.0,93.0,-558.0,-326.0,-21.0,0.0,0.0,1.0,0.0,2.0,0.0,4652.0,5677.0,118.0,5942.0,6329.0,146.0,-1290.0,-652.0,-28.0,0.0,0.0,1.0,2.0,3.0,0.0,6863.0,8618.0,175.0,8050.0,8352.0,192.0,-1187.0,266.0,-17.0,0.0,1.0,1.0,3.0,3.0,1.0,8831.0,11406.0,230.0,10409.0,11050.0,244.0,-1578.0,356.0,-14.0,0.0,2.0,1.0,4.0,4.0,1.0
LOLTMNT02_166878,complete,,AC,2024,,1,2024-09-14 20:18:48,1,14.18,10,Red,sup,Shu Hari,oe:player:5d19b31b19f362f152fd879942be56c,WAP Esports,oe:team:65140c73015d004b0456fb43ba373a4,Leona,Aurora,Lillia,Vi,Yone,Corki,,,,,,1781,0,0,6,4,13,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.438,0.9096,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,3846,129.5677,0.0631786,549.9045,529.7923,62,2.0887,13,0.438,21,103,3.47,6345,2436,82.0663,0.0742171,6200,,,26.0,26.0,0,,,0.8759,2022.0,2502.0,11.0,2249.0,2810.0,21.0,-227.0,-308.0,-10.0,0.0,0.0,0.0,0.0,2.0,0.0,3182.0,3490.0,15.0,3745.0,3947.0,28.0,-563.0,-457.0,-13.0,0.0,1.0,3.0,0.0,7.0,1.0,4465.0,5226.0,20.0,4834.0,5165.0,31.0,-369.0,61.0,-11.0,0.0,3.0,4.0,0.0,8.0,2.0,5397.0,6236.0,22.0,5931.0,6449.0,34.0,-534.0,-213.0,-12.0,0.0,4.0,5.0,0.0,10.0,2.0
