gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT01_50988,complete,,AL,2024,Spring,0,2024-02-08 17:19:06,1,14.02,1,Blue,top,Bong,oe:player:aa07f9f46650db64bb09c743b4c561d,Geekay Esports,oe:team:1ff3f5c94edd806e1fed4105fc48995,K'Sante,Briar,Rengar,Karma,Rell,Garen,,,,,,1733,1,6,2,9,23,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7963,1.004,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,13478,466.6359,0.152656,606.8552,1064.4201,11,0.3808,5,0.1731,5,33,1.1425,14303,10492,363.2545,0.248255,13375,,,251.0,247.0,4,,,8.6901,3256.0,4844.0,81.0,3769.0,4898.0,84.0,-513.0,-54.0,-3.0,0.0,0.0,1.0,1.0,0.0,1.0,6052.0,7880.0,129.0,4955.0,6686.0,111.0,1097.0,1194.0,18.0,1.0,0.0,1.0,1.0,0.0,3.0,8987.0,11160.0,179.0,6370.0,8642.0,143.0,2617.0,2518.0,36.0,3.0,2.0,1.0,1.0,1.0,5.0,12177.0,14075.0,222.0,8527.0,11658.0,196.0,3650.0,2417.0,26.0,4.0,5.0,1.0,1.0,1.0,5.0
LOLTMNT01_50988,complete,,AL,2024,Spring,0,2024-02-08 17:19:06,1,14.02,2,Blue,jng,Elramir,oe:player:de442faff7b7cdc0fba7d6d5caff5e1,Geekay Esports,oe:team:1ff3f5c94edd806e1fed4105fc48995,Brand,Briar,Rengar,Karma,Rell,Garen,,,,,,1733,1,5,3,12,23,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7963,1.004,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,0.0,0.0,28439,984.6163,0.322109,974.472,497.8304,8,0.277,4,0.1385,8,35,1.2118,11871,8060,279.0537,0.190711,10850,,,216.0,35.0,181,,,7.4784,3376.0,3915.0,78.0,3244.0,3703.0,72.0,132.0,212.0,6.0,0.0,1.0,1.0,0.0,1.0,0.0,5715.0,6796.0,127.0,5104.0,6305.0,119.0,611.0,491.0,8.0,1.0,2.0,1.0,0.0,1.0,0.0,7925.0,9291.0,166.0,6627.0,7992.0,144.0,1298.0,1299.0,22.0,3.0,5.0,2.0,1.0,1.0,2.0,10144.0,12217.0,192.0,8138.0,10353.0,174.0,2006.0,1864.0,18.0,4.0,8.0,2.0,1.0,1.0,3.0
LOLTMNT01_50988,complete,,AL,2024,Spring,0,2024-02-08 17:19:06,1,14.02,3,Blue,mid,Giyuu,oe:player:e6f5a7e37185c25a363d031ef5eafa9,Geekay Esports,oe:team:1ff3f5c94edd806e1fed4105fc48995,Azir,Briar,Rengar,Karma,Rell,Garen,,,,,,1733,1,6,1,9,23,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7963,1.004,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,2.0,0.0,22943,794.3335,0.25986,599.3076,385.3087,13,0.4501,9,0.3116,4,39,1.3503,13826,10015,346.7398,0.236968,12650,,,282.0,271.0,11,,,9.7634,3516.0,4898.0,92.0,3277.0,4958.0,88.0,239.0,-60.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5578.0,7770.0,154.0,5306.0,8007.0,151.0,272.0,-237.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8253.0,10911.0,201.0,6952.0,10565.0,190.0,1301.0,346.0,11.0,1.0,6.0,0.0,0.0,0.0,0.0,10986.0,14190.0,249.0,8844.0,13229.0,237.0,2142.0,961.0,12.0,3.0,6.0,0.0,0.0,0.0,1.0
LOLTMNT01_50988,complete,,AL,2024,Spring,0,2024-02-08 17:19:06,1,14.02,4,Blue,bot,Leo,oe:player:f064e548adf728629afbc6fee730317,Geekay Esports,oe:team:1ff3f5c94edd806e1fed4105fc48995,Senna,Briar,Rengar,Karma,Rell,Garen,,,,,,1733,1,3,0,19,23,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7963,1.004,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,1.0,0.0,14124,489.0017,0.159973,336.6301,185.3664,37,1.281,16,0.554,8,91,3.1506,10817,7006,242.562,0.165772,9320,,,55.0,51.0,4,,,1.9042,2783.0,2703.0,17.0,3823.0,3806.0,96.0,-1040.0,-1103.0,-79.0,1.0,0.0,0.0,1.0,0.0,0.0,4456.0,4318.0,25.0,5793.0,6058.0,145.0,-1337.0,-1740.0,-120.0,1.0,1.0,0.0,1.0,0.0,0.0,6635.0,6805.0,35.0,7502.0,8275.0,193.0,-867.0,-1470.0,-158.0,2.0,8.0,0.0,1.0,0.0,1.0,8819.0,9270.0,46.0,9536.0,9952.0,241.0,-717.0,-682.0,-195.0,2.0,13.0,0.0,1.0,0.0,2.0
LOLTMNT01_50988,complete,,AL,2024,Spring,0,2024-02-08 17:19:06,1,14.02,5,Blue,sup,Dekap,oe:player:be85b3d65508c757ac9af1d54310520,Geekay Esports,oe:team:1ff3f5c94edd806e1fed4105fc48995,Nautilus,Briar,Rengar,Karma,Rell,Garen,,,,,,1733,1,3,0,16,23,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7963,1.004,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,9306,322.1927,0.105403,527.8477,1242.6544,17,0.5886,7,0.2424,6,39,1.3503,10501,6690,231.6215,0.158295,9950,,,166.0,166.0,0,,,5.7473,3152.0,3241.0,78.0,2062.0,2420.0,12.0,1090.0,821.0,66.0,0.0,1.0,0.0,0.0,1.0,0.0,4959.0,5526.0,121.0,3269.0,3498.0,27.0,1690.0,2028.0,94.0,0.0,2.0,0.0,0.0,1.0,0.0,7580.0,8013.0,152.0,4353.0,4297.0,28.0,3227.0,3716.0,124.0,2.0,7.0,0.0,0.0,2.0,3.0,9273.0,10379.0,163.0,5490.0,5748.0,32.0,3783.0,4631.0,131.0,3.0,10.0,0.0,0.0,2.0,5.0
LOLTMNT01_50988,complete,,AL,2024,Spring,0,2024-02-08 17:19:06,1,14.02,6,Red,top,Hiro,oe:player:6a52e8fc387411c38ae76e77ffe6b15,One More Esports,oe:team:ca663b1c89065ae6491db8e9cd5c305,Gnar,Nocturne,Maokai,Varus,Tristana,Yone,,,,,,1733,0,2,7,2,6,23,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.2077,1.004,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,13193,456.7686,0.237746,1098.592,782.2504,16,0.554,5,0.1731,6,31,1.0733,10239,6428,222.5505,0.210961,9808,,,213.0,209.0,4,,,7.3745,3769.0,4898.0,84.0,3256.0,4844.0,81.0,513.0,54.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,4955.0,6686.0,111.0,6052.0,7880.0,129.0,-1097.0,-1194.0,-18.0,1.0,0.0,3.0,1.0,0.0,1.0,6370.0,8642.0,143.0,8987.0,11160.0,179.0,-2617.0,-2518.0,-36.0,1.0,1.0,5.0,3.0,2.0,1.0,8527.0,11658.0,196.0,12177.0,14075.0,222.0,-3650.0,-2417.0,-26.0,1.0,1.0,5.0,4.0,5.0,1.0
LOLTMNT01_50988,complete,,AL,2024,Spring,0,2024-02-08 17:19:06,1,14.02,7,Red,jng,Porcupine,oe:player:1af356d147244cdd18e7af284c4ff65,One More Esports,oe:team:ca663b1c89065ae6491db8e9cd5c305,Kindred,Nocturne,Maokai,Varus,Tristana,Yone,,,,,,1733,0,1,4,4,6,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2077,1.004,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,0.0,0.0,7321,253.468,0.131929,956.884,586.9821,4,0.1385,11,0.3808,2,26,0.9002,9802,5991,207.4207,0.19662,9633,,,201.0,39.0,162,,,6.959,3244.0,3703.0,72.0,3376.0,3915.0,78.0,-132.0,-212.0,-6.0,0.0,1.0,0.0,0.0,1.0,1.0,5104.0,6305.0,119.0,5715.0,6796.0,127.0,-611.0,-491.0,-8.0,0.0,1.0,0.0,1.0,2.0,1.0,6627.0,7992.0,144.0,7925.0,9291.0,166.0,-1298.0,-1299.0,-22.0,1.0,1.0,2.0,3.0,5.0,2.0,8138.0,10353.0,174.0,10144.0,12217.0,192.0,-2006.0,-1864.0,-18.0,1.0,1.0,3.0,4.0,8.0,2.0
LOLTMNT01_50988,complete,,AL,2024,Spring,0,2024-02-08 17:19:06,1,14.02,8,Red,mid,AnnieBot,oe:player:1560fdce72465f89200c585016b15f6,One More Esports,oe:team:ca663b1c89065ae6491db8e9cd5c305,Orianna,Nocturne,Maokai,Varus,Tristana,Yone,,,,,,1733,0,0,2,3,6,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2077,1.004,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,2.0,11379,393.9642,0.205057,492.187,308.2747,14,0.4847,3,0.1039,3,28,0.9694,10167,6356,220.0577,0.208599,10125,,,262.0,262.0,0,,,9.071,3277.0,4958.0,88.0,3516.0,4898.0,92.0,-239.0,60.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,5306.0,8007.0,151.0,5578.0,7770.0,154.0,-272.0,237.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,6952.0,10565.0,190.0,8253.0,10911.0,201.0,-1301.0,-346.0,-11.0,0.0,0.0,0.0,1.0,6.0,0.0,8844.0,13229.0,237.0,10986.0,14190.0,249.0,-2142.0,-961.0,-12.0,0.0,0.0,1.0,3.0,6.0,0.0
LOLTMNT01_50988,complete,,AL,2024,Spring,0,2024-02-08 17:19:06,1,14.02,9,Red,bot,Bibou,oe:player:46ce91a03ba1ed7fea4e271c5f1721d,One More Esports,oe:team:ca663b1c89065ae6491db8e9cd5c305,Ezreal,Nocturne,Maokai,Varus,Tristana,Yone,,,,,,1733,0,3,3,1,6,23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2077,1.004,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,1.0,19543,676.6186,0.352177,644.1431,277.8419,8,0.277,3,0.1039,2,17,0.5886,13028,9217,319.1114,0.302493,12868,,,280.0,276.0,4,,,9.6942,3823.0,3806.0,96.0,2783.0,2703.0,17.0,1040.0,1103.0,79.0,1.0,0.0,0.0,1.0,0.0,0.0,5793.0,6058.0,145.0,4456.0,4318.0,25.0,1337.0,1740.0,120.0,1.0,0.0,0.0,1.0,1.0,0.0,7502.0,8275.0,193.0,6635.0,6805.0,35.0,867.0,1470.0,158.0,1.0,0.0,1.0,2.0,8.0,0.0,9536.0,9952.0,241.0,8819.0,9270.0,46.0,717.0,682.0,195.0,1.0,0.0,2.0,2.0,13.0,0.0
LOLTMNT01_50988,complete,,AL,2024,Spring,0,2024-02-08 17:19:06,1,14.02,10,Red,sup,Nsurr,oe:player:6b35468bd45059f6a8450083fc379a9,One More Esports,oe:team:ca663b1c89065ae6491db8e9cd5c305,Alistar,Nocturne,Maokai,Varus,Tristana,Yone,,,,,,1733,0,0,7,5,6,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2077,1.004,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,4056,140.427,0.0730916,803.8546,1079.7923,39,1.3503,10,0.3462,12,79,2.7351,6289,2478,85.7934,0.0813275,6200,,,35.0,35.0,0,,,1.2118,2062.0,2420.0,12.0,3152.0,3241.0,78.0,-1090.0,-821.0,-66.0,0.0,1.0,0.0,0.0,1.0,0.0,3269.0,3498.0,27.0,4959.0,5526.0,121.0,-1690.0,-2028.0,-94.0,0.0,1.0,0.0,0.0,2.0,0.0,4353.0,4297.0,28.0,7580.0,8013.0,152.0,-3227.0,-3716.0,-124.0,0.0,2.0,3.0,2.0,7.0,0.0,5490.0,5748.0,32.0,9273.0,10379.0,163.0,-3783.0,-4631.0,-131.0,0.0,2.0,5.0,3.0,10.0,0.0
