gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT02/1734070,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1734070?gameHash=d93c6e675f906f4a,AOL,2021,,1,2021-03-18 18:46:33,1.0,11.05,1,Blue,top,Topoon,oe:player:859fc288cfea096e3b7312053853f9b,Immortals Academy,oe:team:c96403ed0b812c805aeb6100bdc19a5,Aatrox,Thresh,Lucian,Tristana,Nidalee,Lillia,,,,,,1772,1,2,1,7,10,3,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3386,0.4402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12015.0,406.8284,0.292087,557.9797,590.2144,12.0,0.4063,3.0,0.1016,3.0,27.0,0.9142,11374,7484.0,253.4086,0.218245,9475.0,,,232.0,232.0,0.0,0.0,0.0,7.8555,3232.0,4712.0,80.0,2633.0,3810.0,52.0,599.0,902.0,28.0,0.0,2.0,0.0,0.0,0.0,1.0,4947.0,7652.0,128.0,4266.0,6395.0,90.0,681.0,1257.0,38.0,0.0,2.0,0.0,0.0,0.0,1.0,6372.0,9409.0,159.0,6176.0,8876.0,130.0,196.0,533.0,29.0,0.0,2.0,0.0,0.0,0.0,1.0,8434.0,12315.0,205.0,8080.0,11602.0,182.0,354.0,713.0,23.0,0.0,2.0,0.0,0.0,0.0,1.0
ESPORTSTMNT02/1734070,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1734070?gameHash=d93c6e675f906f4a,AOL,2021,,1,2021-03-18 18:46:33,1.0,11.05,2,Blue,jng,Potluck,oe:player:b2386f35c6c208bded007d8e755b2e7,Immortals Academy,oe:team:c96403ed0b812c805aeb6100bdc19a5,Graves,Thresh,Lucian,Tristana,Nidalee,Lillia,,,,,,1772,1,1,1,8,10,3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3386,0.4402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8731.0,295.6321,0.212252,493.6117,369.1761,5.0,0.1693,9.0,0.3047,5.0,28.0,0.9481,10566,6676.0,226.0497,0.194681,9075.0,,,219.0,32.0,187.0,133.0,9.0,7.4153,3124.0,3356.0,66.0,3317.0,3810.0,81.0,-193.0,-454.0,-15.0,0.0,2.0,0.0,0.0,0.0,0.0,4467.0,5150.0,97.0,5241.0,5853.0,117.0,-774.0,-703.0,-20.0,0.0,2.0,1.0,0.0,0.0,0.0,6001.0,7313.0,132.0,6489.0,6973.0,139.0,-488.0,340.0,-7.0,0.0,3.0,1.0,0.0,0.0,1.0,7767.0,10131.0,184.0,7772.0,8659.0,166.0,-5.0,1472.0,18.0,0.0,3.0,1.0,0.0,0.0,1.0
ESPORTSTMNT02/1734070,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1734070?gameHash=d93c6e675f906f4a,AOL,2021,,1,2021-03-18 18:46:33,1.0,11.05,3,Blue,mid,PrettyGRE,oe:player:ce833e045ae1fdf546c867198b80566,Immortals Academy,oe:team:c96403ed0b812c805aeb6100bdc19a5,Orianna,Thresh,Lucian,Tristana,Nidalee,Lillia,,,,,,1772,1,6,0,4,10,3,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3386,0.4402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,11222.0,379.9774,0.272809,182.5395,190.395,13.0,0.4402,4.0,0.1354,4.0,23.0,0.7788,14455,10565.0,357.7314,0.308097,11600.0,,,322.0,302.0,20.0,14.0,4.0,10.9029,3981.0,4782.0,87.0,3261.0,4439.0,90.0,720.0,343.0,-3.0,2.0,0.0,0.0,0.0,0.0,0.0,5924.0,7661.0,148.0,5504.0,8056.0,165.0,420.0,-395.0,-17.0,2.0,0.0,0.0,0.0,0.0,0.0,7956.0,10503.0,199.0,7552.0,11181.0,226.0,404.0,-678.0,-27.0,2.0,1.0,0.0,0.0,0.0,0.0,10152.0,13662.0,267.0,9666.0,14255.0,292.0,486.0,-593.0,-25.0,2.0,1.0,0.0,0.0,0.0,0.0
ESPORTSTMNT02/1734070,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1734070?gameHash=d93c6e675f906f4a,AOL,2021,,1,2021-03-18 18:46:33,1.0,11.05,4,Blue,bot,Keith,oe:player:e6e30c037d0b75caa94827ead86b4ed,Immortals Academy,oe:team:c96403ed0b812c805aeb6100bdc19a5,Seraphine,Thresh,Lucian,Tristana,Nidalee,Lillia,,,,,,1772,1,0,0,10,10,3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3386,0.4402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5466.0,185.079,0.13288,148.8826,91.6591,12.0,0.4063,10.0,0.3386,5.0,37.0,1.2528,10326,6436.0,217.9233,0.187681,9275.0,,,221.0,221.0,0.0,0.0,0.0,7.4831,2980.0,2953.0,72.0,3203.0,3427.0,88.0,-223.0,-474.0,-16.0,0.0,2.0,0.0,0.0,0.0,0.0,4730.0,5235.0,120.0,5191.0,5968.0,143.0,-461.0,-733.0,-23.0,0.0,2.0,0.0,0.0,1.0,0.0,6409.0,7138.0,158.0,7029.0,8111.0,192.0,-620.0,-973.0,-34.0,0.0,3.0,0.0,0.0,1.0,0.0,8217.0,9211.0,202.0,9020.0,10844.0,252.0,-803.0,-1633.0,-50.0,0.0,3.0,0.0,0.0,1.0,0.0
ESPORTSTMNT02/1734070,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1734070?gameHash=d93c6e675f906f4a,AOL,2021,,1,2021-03-18 18:46:33,1.0,11.05,5,Blue,sup,Joey,oe:player:f8d623a78c27641412debac4080ece7,Immortals Academy,oe:team:c96403ed0b812c805aeb6100bdc19a5,Alistar,Thresh,Lucian,Tristana,Nidalee,Lillia,,,,,,1772,1,1,1,9,10,3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3386,0.4402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,3701.0,125.316,0.089972,363.8939,315.8126,54.0,1.8284,13.0,0.4402,19.0,93.0,3.149,7021,3131.0,106.0158,0.0912965,6225.0,,,37.0,37.0,0.0,0.0,0.0,1.2528,2152.0,2613.0,15.0,1957.0,2168.0,10.0,195.0,445.0,5.0,0.0,2.0,0.0,0.0,0.0,1.0,3271.0,4022.0,24.0,3223.0,3184.0,16.0,48.0,838.0,8.0,0.0,2.0,0.0,1.0,0.0,1.0,4512.0,4911.0,30.0,4413.0,4691.0,24.0,99.0,220.0,6.0,1.0,2.0,0.0,1.0,0.0,1.0,5459.0,5986.0,36.0,5235.0,5561.0,26.0,224.0,425.0,10.0,1.0,2.0,0.0,1.0,0.0,1.0
ESPORTSTMNT02/1734070,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1734070?gameHash=d93c6e675f906f4a,AOL,2021,,1,2021-03-18 18:46:33,1.0,11.05,6,Red,top,Kumo,oe:player:61f2c08eb43e1b4fc0bdd988013ee49,FlyQuest Academy,oe:team:92a5dd0b813a9eea72ba22adf5fe78e,Renekton,Syndra,Kayn,Hecarim,Gnar,Xayah,,,,,,1772,0,0,3,1,3,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1016,0.4402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7127.0,241.3205,0.289104,648.2167,516.7381,11.0,0.3725,4.0,0.1354,5.0,26.0,0.8804,9588,5698.0,192.9345,0.201378,9775.0,,,213.0,202.0,11.0,1.0,4.0,7.2122,2633.0,3810.0,52.0,3232.0,4712.0,80.0,-599.0,-902.0,-28.0,0.0,0.0,1.0,0.0,2.0,0.0,4266.0,6395.0,90.0,4947.0,7652.0,128.0,-681.0,-1257.0,-38.0,0.0,0.0,1.0,0.0,2.0,0.0,6176.0,8876.0,130.0,6372.0,9409.0,159.0,-196.0,-533.0,-29.0,0.0,0.0,1.0,0.0,2.0,0.0,8080.0,11602.0,182.0,8434.0,12315.0,205.0,-354.0,-713.0,-23.0,0.0,0.0,1.0,0.0,2.0,0.0
ESPORTSTMNT02/1734070,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1734070?gameHash=d93c6e675f906f4a,AOL,2021,,1,2021-03-18 18:46:33,1.0,11.05,7,Red,jng,Nxi,oe:player:cc7d2fcc0750626772a0d7cf65cbbc2,FlyQuest Academy,oe:team:92a5dd0b813a9eea72ba22adf5fe78e,Udyr,Syndra,Kayn,Hecarim,Gnar,Xayah,,,,,,1772,0,1,2,0,3,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1016,0.4402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2363.0,80.0113,0.0958543,740.8916,730.1242,9.0,0.3047,12.0,0.4063,7.0,44.0,1.4898,9422,5532.0,187.3138,0.195511,9325.0,,,186.0,16.0,170.0,116.0,8.0,6.298,3317.0,3810.0,81.0,3124.0,3356.0,66.0,193.0,454.0,15.0,0.0,0.0,0.0,0.0,2.0,0.0,5241.0,5853.0,117.0,4467.0,5150.0,97.0,774.0,703.0,20.0,0.0,0.0,0.0,0.0,2.0,1.0,6489.0,6973.0,139.0,6001.0,7313.0,132.0,488.0,-340.0,7.0,0.0,0.0,1.0,0.0,3.0,1.0,7772.0,8659.0,166.0,7767.0,10131.0,184.0,5.0,-1472.0,-18.0,0.0,0.0,1.0,0.0,3.0,1.0
ESPORTSTMNT02/1734070,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1734070?gameHash=d93c6e675f906f4a,AOL,2021,,1,2021-03-18 18:46:33,1.0,11.05,8,Red,mid,Triple,oe:player:3b973d4da6ce40c0eb65394fb622297,FlyQuest Academy,oe:team:92a5dd0b813a9eea72ba22adf5fe78e,Azir,Syndra,Kayn,Hecarim,Gnar,Xayah,,,,,,1772,0,1,1,0,3,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1016,0.4402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4399.0,148.9503,0.178444,268.3409,147.0542,10.0,0.3386,12.0,0.4063,3.0,33.0,1.1174,11842,7952.0,269.2551,0.281046,11225.0,,,331.0,298.0,33.0,21.0,5.0,11.2077,3261.0,4439.0,90.0,3981.0,4782.0,87.0,-720.0,-343.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,5504.0,8056.0,165.0,5924.0,7661.0,148.0,-420.0,395.0,17.0,0.0,0.0,0.0,2.0,0.0,0.0,7552.0,11181.0,226.0,7956.0,10503.0,199.0,-404.0,678.0,27.0,0.0,0.0,0.0,2.0,1.0,0.0,9666.0,14255.0,292.0,10152.0,13662.0,267.0,-486.0,593.0,25.0,0.0,0.0,0.0,2.0,1.0,0.0
ESPORTSTMNT02/1734070,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1734070?gameHash=d93c6e675f906f4a,AOL,2021,,1,2021-03-18 18:46:33,1.0,11.05,9,Red,bot,Tomo,oe:player:6378658dafc3eeb902fa2e52f909172,FlyQuest Academy,oe:team:92a5dd0b813a9eea72ba22adf5fe78e,Kai'Sa,Syndra,Kayn,Hecarim,Gnar,Xayah,,,,,,1772,0,0,2,2,3,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1016,0.4402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7654.0,259.1648,0.310482,407.6072,205.2257,12.0,0.4063,6.0,0.2032,5.0,25.0,0.8465,10716,6826.0,231.1287,0.241248,10625.0,,,285.0,269.0,16.0,12.0,0.0,9.6501,3203.0,3427.0,88.0,2980.0,2953.0,72.0,223.0,474.0,16.0,0.0,0.0,0.0,0.0,2.0,0.0,5191.0,5968.0,143.0,4730.0,5235.0,120.0,461.0,733.0,23.0,0.0,1.0,0.0,0.0,2.0,0.0,7029.0,8111.0,192.0,6409.0,7138.0,158.0,620.0,973.0,34.0,0.0,1.0,0.0,0.0,3.0,0.0,9020.0,10844.0,252.0,8217.0,9211.0,202.0,803.0,1633.0,50.0,0.0,1.0,0.0,0.0,3.0,0.0
ESPORTSTMNT02/1734070,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1734070?gameHash=d93c6e675f906f4a,AOL,2021,,1,2021-03-18 18:46:33,1.0,11.05,10,Red,sup,Dreams,oe:player:b50386112df639912475f7eca25d472,FlyQuest Academy,oe:team:92a5dd0b813a9eea72ba22adf5fe78e,Rell,Syndra,Kayn,Hecarim,Gnar,Xayah,,,,,,1772,0,1,2,1,3,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1016,0.4402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,3109.0,105.2709,0.126116,232.009,324.0745,46.0,1.5576,8.0,0.2709,16.0,80.0,2.7088,6177,2287.0,77.4379,0.0808169,5950.0,,,28.0,28.0,0.0,0.0,0.0,0.9481,1957.0,2168.0,10.0,2152.0,2613.0,15.0,-195.0,-445.0,-5.0,0.0,0.0,1.0,0.0,2.0,0.0,3223.0,3184.0,16.0,3271.0,4022.0,24.0,-48.0,-838.0,-8.0,1.0,0.0,1.0,0.0,2.0,0.0,4413.0,4691.0,24.0,4512.0,4911.0,30.0,-99.0,-220.0,-6.0,1.0,0.0,1.0,1.0,2.0,0.0,5235.0,5561.0,26.0,5459.0,5986.0,36.0,-224.0,-425.0,-10.0,1.0,0.0,1.0,1.0,2.0,0.0
