gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
9401-9401_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=9401,ASCI,2022,,0,2022-09-12 04:14:30,1,12.16,1,Blue,top,Thanatos,oe:player:1efc4e5732e91520d03385900b903f9,Dplus KIA Challengers,oe:team:2d26f8190f9d5cd2e0cb2232d9b7481,Camille,Poppy,Zoe,Kalista,Vi,Aatrox,,,,,,2730,0,5,3,4,13,21,,,,,,0.0,,,0.2857,0.7473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21528.0,473.1429,0.158667,962.3956,,10.0,0.2198,18.0,0.3956,8.0,70.0,1.5385,15417,9572.0,210.3736,0.216218,14454.0,,,311.0,276.0,35.0,10.0,16.0,6.8352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9401-9401_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=9401,ASCI,2022,,0,2022-09-12 04:14:30,1,12.16,2,Blue,jng,Lucid,oe:player:10b86429ce8048aba673d802632e358,Dplus KIA Challengers,oe:team:2d26f8190f9d5cd2e0cb2232d9b7481,Sejuani,Poppy,Zoe,Kalista,Vi,Aatrox,,,,,,2730,0,1,3,5,13,21,,,,,,0.0,,,0.2857,0.7473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10036.0,220.5714,0.0739685,1159.7363,,15.0,0.3297,16.0,0.3516,14.0,71.0,1.5604,11151,5306.0,116.6154,0.119857,10839.0,,,157.0,27.0,130.0,77.0,4.0,3.4505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9401-9401_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=9401,ASCI,2022,,0,2022-09-12 04:14:30,1,12.16,3,Blue,mid,Pullbae,oe:player:559813e734d182e8896481003507b1f,Dplus KIA Challengers,oe:team:2d26f8190f9d5cd2e0cb2232d9b7481,Viktor,Poppy,Zoe,Kalista,Vi,Aatrox,,,,,,2730,0,2,5,8,13,21,,,,,,0.0,,,0.2857,0.7473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47247.0,1038.3956,0.348219,460.6374,,22.0,0.4835,5.0,0.1099,8.0,41.0,0.9011,17806,11961.0,262.8791,0.270181,17578.0,,,382.0,341.0,41.0,37.0,4.0,8.3956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9401-9401_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=9401,ASCI,2022,,0,2022-09-12 04:14:30,1,12.16,4,Blue,bot,Rahel,oe:player:e2c655411d8d95ef73d8026704f5e7a,Dplus KIA Challengers,oe:team:2d26f8190f9d5cd2e0cb2232d9b7481,Lucian,Poppy,Zoe,Kalista,Vi,Aatrox,,,,,,2730,0,5,5,4,13,21,,,,,,0.0,,,0.2857,0.7473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42681.0,938.044,0.314573,707.4725,,20.0,0.4396,25.0,0.5495,7.0,78.0,1.7143,19166,13321.0,292.7692,0.300901,18004.0,,,405.0,364.0,41.0,39.0,0.0,8.9011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9401-9401_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=9401,ASCI,2022,,0,2022-09-12 04:14:30,1,12.16,5,Blue,sup,Bible,oe:player:5788fbc5ff334175ec2eccae6f0ed81,Dplus KIA Challengers,oe:team:2d26f8190f9d5cd2e0cb2232d9b7481,Nami,Poppy,Zoe,Kalista,Vi,Aatrox,,,,,,2730,0,0,5,13,13,21,,,,,,0.0,,,0.2857,0.7473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14189.0,311.8462,0.104573,347.0769,,99.0,2.1758,10.0,0.2198,24.0,128.0,2.8132,9955,4110.0,90.3297,0.0928418,9529.0,,,17.0,17.0,0.0,0.0,0.0,0.3736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9401-9401_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=9401,ASCI,2022,,0,2022-09-12 04:14:30,1,12.16,6,Red,top,Kartis,oe:player:1d3f41652e56cd10db7454b0b03a1b4,FunPlus Phoenix Blaze,oe:team:68d9c4b067b3b6d5f3d5e4b1adc9f6e,Gnar,Yuumi,Wukong,Sylas,Jax,Renekton,,,,,,2730,1,5,1,11,21,13,,,,,,0.0,,,0.4615,0.7473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30798.0,676.8791,0.234508,690.9231,,10.0,0.2198,17.0,0.3736,6.0,52.0,1.1429,18297,12452.0,273.6703,0.230827,16242.0,,,312.0,286.0,26.0,12.0,10.0,6.8571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9401-9401_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=9401,ASCI,2022,,0,2022-09-12 04:14:30,1,12.16,7,Red,jng,Haoye,oe:player:1e9df7dacc21aca9011a58eac5abae5,FunPlus Phoenix Blaze,oe:team:68d9c4b067b3b6d5f3d5e4b1adc9f6e,Trundle,Yuumi,Wukong,Sylas,Jax,Renekton,,,,,,2730,1,2,3,10,21,13,,,,,,1.0,,,0.4615,0.7473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13479.0,296.2418,0.102636,1459.9341,,20.0,0.4396,21.0,0.4615,20.0,74.0,1.6264,13400,7555.0,166.044,0.140051,12440.0,,,178.0,38.0,140.0,75.0,7.0,3.9121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9401-9401_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=9401,ASCI,2022,,0,2022-09-12 04:14:30,1,12.16,8,Red,mid,Qing,oe:player:a03108f3d1ff62138464d28409291c0,FunPlus Phoenix Blaze,oe:team:68d9c4b067b3b6d5f3d5e4b1adc9f6e,Taliyah,Yuumi,Wukong,Sylas,Jax,Renekton,,,,,,2730,1,5,1,12,21,13,,,,,,0.0,,,0.4615,0.7473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42421.0,932.3297,0.323013,525.2527,,21.0,0.4615,13.0,0.2857,11.0,54.0,1.1868,18411,12566.0,276.1758,0.23294,17314.0,,,367.0,311.0,56.0,48.0,1.0,8.0659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9401-9401_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=9401,ASCI,2022,,0,2022-09-12 04:14:30,1,12.16,9,Red,bot,Xingye,oe:player:7227e6c3afb5136d10e3594fa503f6a,FunPlus Phoenix Blaze,oe:team:68d9c4b067b3b6d5f3d5e4b1adc9f6e,Zeri,Yuumi,Wukong,Sylas,Jax,Renekton,,,,,,2730,1,9,4,6,21,13,,,,,,0.0,,,0.4615,0.7473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39402.0,865.978,0.300021,630.7033,,16.0,0.3516,32.0,0.7033,3.0,79.0,1.7363,22198,16353.0,359.4066,0.30314,19844.0,,,429.0,374.0,55.0,49.0,6.0,9.4286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9401-9401_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=9401,ASCI,2022,,0,2022-09-12 04:14:30,1,12.16,10,Red,sup,Lele,oe:player:ad991b9f2f7e553d4eefb9f5d06afc9,FunPlus Phoenix Blaze,oe:team:68d9c4b067b3b6d5f3d5e4b1adc9f6e,Lulu,Yuumi,Wukong,Sylas,Jax,Renekton,,,,,,2730,1,0,4,20,21,13,,,,,,0.0,,,0.4615,0.7473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,114.9451,0.0398215,409.6044,,71.0,1.5604,4.0,0.0879,18.0,104.0,2.2857,10864,5019.0,110.3077,0.0930412,9550.0,,,16.0,12.0,4.0,0.0,0.0,0.3516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
