gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
10450-10450_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=10450,ASCI,2023,,0,2023-09-03 06:13:12,1,13.16,1,Blue,top,Rooster,oe:player:285954244fdc2bcce532fb88a1e0ddb,Hanwha Life Esports Challengers,oe:team:2a5e5fceaa40b335ebc6b49359abf62,Renekton,Poppy,Rell,Rakan,Xayah,Ezreal,,,,,,1765,1,5,2,4,15,8,,,,,,0.0,,,0.5099,0.7819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16841.0,572.4986,0.255875,1001.6771,,7.0,0.238,6.0,0.204,2.0,24.0,0.8159,14171,10295,349.9717,0.263935,13939.0,,,267.0,253.0,14.0,7.0,0.0,9.0765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10450-10450_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=10450,ASCI,2023,,0,2023-09-03 06:13:12,1,13.16,2,Blue,jng,Guwon,oe:player:6427b0c5a7c3106e92a7c11257a08c6,Hanwha Life Esports Challengers,oe:team:2a5e5fceaa40b335ebc6b49359abf62,Ivern,Poppy,Rell,Rakan,Xayah,Ezreal,,,,,,1765,1,1,2,14,15,8,,,,,,0.0,,,0.5099,0.7819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7017.0,238.5382,0.106605,395.6941,,6.0,0.204,13.0,0.4419,6.0,38.0,1.2918,10464,6588,223.9547,0.168896,9865.0,,,149.0,16.0,133.0,77.0,20.0,5.0652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10450-10450_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=10450,ASCI,2023,,0,2023-09-03 06:13:12,1,13.16,3,Blue,mid,Loki,oe:player:0a53c1102dafce61e89decc517b3175,Hanwha Life Esports Challengers,oe:team:2a5e5fceaa40b335ebc6b49359abf62,Tristana,Poppy,Rell,Rakan,Xayah,Ezreal,,,,,,1765,1,5,1,6,15,8,,,,,,1.0,,,0.5099,0.7819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17127.0,582.221,0.260218,421.3938,,14.0,0.4759,7.0,0.238,5.0,43.0,1.4618,12443,8567,291.2295,0.219633,11265.0,,,241.0,212.0,29.0,12.0,0.0,8.1926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10450-10450_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=10450,ASCI,2023,,0,2023-09-03 06:13:12,1,13.16,4,Blue,bot,Lure,oe:player:4367b1100c2577e20e13ae9e3afd835,Hanwha Life Esports Challengers,oe:team:2a5e5fceaa40b335ebc6b49359abf62,Kai'Sa,Poppy,Rell,Rakan,Xayah,Ezreal,,,,,,1765,1,3,1,5,15,8,,,,,,0.0,,,0.5099,0.7819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19899.0,676.4533,0.302323,456.7479,,11.0,0.3739,4.0,0.136,3.0,24.0,0.8159,13737,9861,335.2181,0.252809,12435.0,,,306.0,277.0,29.0,22.0,6.0,10.4023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10450-10450_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=10450,ASCI,2023,,0,2023-09-03 06:13:12,1,13.16,5,Blue,sup,Duro,oe:player:605821ebcf6a2e53f03ec6e8e463d1b,Hanwha Life Esports Challengers,oe:team:2a5e5fceaa40b335ebc6b49359abf62,Leona,Poppy,Rell,Rakan,Xayah,Ezreal,,,,,,1765,1,1,2,9,15,8,,,,,,0.0,,,0.5099,0.7819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4935.0,167.762,0.0749778,406.9462,,47.0,1.5977,14.0,0.4759,9.0,103.0,3.5014,7571,3695,125.6091,0.0947263,6935.0,,,39.0,39.0,0.0,0.0,0.0,1.3258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10450-10450_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=10450,ASCI,2023,,0,2023-09-03 06:13:12,1,13.16,6,Red,top,Kratos,oe:player:fa6ab005227d25bf19d02ca58f00cab,Team Secret Academy,oe:team:a6339afa00dc3a4377341abaab42c8a,Jax,LeBlanc,Neeko,Sejuani,Nautilus,Blitzcrank,,,,,,1765,0,2,3,2,8,15,,,,,,0.0,,,0.272,0.7819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12616.0,428.8725,0.216726,791.762,,13.0,0.4419,3.0,0.102,5.0,27.0,0.9178,11041,7165,243.5694,0.241361,10135.0,,,264.0,252.0,12.0,12.0,0.0,8.9745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10450-10450_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=10450,ASCI,2023,,0,2023-09-03 06:13:12,1,13.16,7,Red,jng,Ribell,oe:player:6d3df1749d69c8ab474137acf675058,Team Secret Academy,oe:team:a6339afa00dc3a4377341abaab42c8a,Maokai,LeBlanc,Neeko,Sejuani,Nautilus,Blitzcrank,,,,,,1765,0,0,5,6,8,15,,,,,,0.0,,,0.272,0.7819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9904.0,336.6799,0.170139,939.0255,,13.0,0.4419,5.0,0.17,12.0,35.0,1.1898,7825,3949,134.2436,0.133023,7375.0,,,113.0,12.0,101.0,85.0,0.0,3.8414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10450-10450_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=10450,ASCI,2023,,0,2023-09-03 06:13:12,1,13.16,8,Red,mid,Aress,oe:player:f6d8ec0afe458e19c057c1407d7da27,Team Secret Academy,oe:team:a6339afa00dc3a4377341abaab42c8a,Jayce,LeBlanc,Neeko,Sejuani,Nautilus,Blitzcrank,,,,,,1765,0,4,2,2,8,15,,,,,,0.0,,,0.272,0.7819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17252.0,586.4703,0.296381,440.2266,,15.0,0.5099,6.0,0.204,7.0,38.0,1.2918,11943,8067,274.2323,0.271747,11854.0,,,288.0,272.0,16.0,13.0,0.0,9.7904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10450-10450_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=10450,ASCI,2023,,0,2023-09-03 06:13:12,1,13.16,9,Red,bot,Kwhite,oe:player:239b323b3536b17b419bdce9cc8d467,Team Secret Academy,oe:team:a6339afa00dc3a4377341abaab42c8a,Varus,LeBlanc,Neeko,Sejuani,Nautilus,Blitzcrank,,,,,,1765,0,1,1,5,8,15,,,,,,0.0,,,0.272,0.7819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15085.0,512.8045,0.259153,357.1785,,10.0,0.3399,5.0,0.17,4.0,24.0,0.8159,11930,8054,273.7904,0.271309,11840.0,,,280.0,277.0,3.0,3.0,0.0,9.5184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10450-10450_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=10450,ASCI,2023,,0,2023-09-03 06:13:12,1,13.16,10,Red,sup,kairi,oe:player:9bed6fad163eaf7e90b58334c8339ab,Team Secret Academy,oe:team:a6339afa00dc3a4377341abaab42c8a,Alistar,LeBlanc,Neeko,Sejuani,Nautilus,Blitzcrank,,,,,,1765,0,1,4,6,8,15,,,,,,0.0,,,0.272,0.7819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3353.0,113.983,0.0576007,685.0538,,41.0,1.3938,11.0,0.3739,13.0,90.0,3.0595,6327,2451,83.3201,0.0825602,5734.0,,,31.0,31.0,0.0,0.0,0.0,1.0538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
