gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
NA1/2957580992,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/NA1/2957580992/215480663,BIG,2019,,0,2019-01-22 00:19:33,1,9.01,1,Blue,top,Copari,oe:player:5bfb3df40f74360503f18fa4943e5d0,Lowkey Esports,oe:team:d7a70e630922657d105195d2cbff0e5,Urgot,Camille,Irelia,Zoe,Tahm Kench,Neeko,,,,,,1761,1,5,3,10,21,19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7155,1.3629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,15891.0,541.431,0.188891,667.3254,915.8092,18.0,0.6133,4.0,0.1363,9.0,39.0,1.3288,11028.0,7160.0,243.9523,0.194312,9625.0,,,175.0,161.0,14.0,1.0,4.0,5.9625,3756.0,4718.0,84.0,3146.0,4071.0,68.0,610.0,647.0,16.0,2.0,0.0,0.0,1.0,0.0,0.0,5993.0,7292.0,126.0,4985.0,6418.0,94.0,1008.0,874.0,32.0,3.0,1.0,0.0,3.0,1.0,1.0,7589.0,9531.0,152.0,7095.0,9063.0,127.0,494.0,468.0,25.0,3.0,4.0,1.0,5.0,3.0,2.0,9579.0,11680.0,170.0,8593.0,11222.0,155.0,986.0,458.0,15.0,4.0,5.0,2.0,5.0,6.0,3.0
NA1/2957580992,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/NA1/2957580992/215480663,BIG,2019,,0,2019-01-22 00:19:33,1,9.01,2,Blue,jng,Bmxspecks,oe:player:321b4aaeb93941127a54c554baccc3f,Lowkey Esports,oe:team:d7a70e630922657d105195d2cbff0e5,Lee Sin,Camille,Irelia,Zoe,Tahm Kench,Neeko,,,,,,1761,1,3,4,14,21,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7155,1.3629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,15193.0,517.6491,0.180594,893.6627,773.833,23.0,0.7836,2.0,0.0681,13.0,31.0,1.0562,10147.0,6279.0,213.9353,0.170403,8300.0,,,111.0,20.0,91.0,60.0,10.0,3.7819,2825.0,3075.0,41.0,3161.0,3454.0,58.0,-336.0,-379.0,-17.0,0.0,2.0,1.0,0.0,2.0,1.0,4276.0,5327.0,65.0,5089.0,6206.0,95.0,-813.0,-879.0,-30.0,0.0,3.0,2.0,1.0,3.0,2.0,6654.0,8579.0,94.0,7359.0,8449.0,121.0,-705.0,130.0,-27.0,1.0,7.0,3.0,2.0,6.0,3.0,8647.0,10449.0,96.0,8817.0,10665.0,151.0,-170.0,-216.0,-55.0,3.0,9.0,4.0,2.0,7.0,3.0
NA1/2957580992,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/NA1/2957580992/215480663,BIG,2019,,0,2019-01-22 00:19:33,1,9.01,3,Blue,mid,CMD ATK,oe:player:30572b23e41315ce024a7af628da667,Lowkey Esports,oe:team:d7a70e630922657d105195d2cbff0e5,Lissandra,Camille,Irelia,Zoe,Tahm Kench,Neeko,,,,,,1761,1,6,3,8,21,19,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7155,1.3629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,23128.0,788.0068,0.274914,723.6116,504.8722,15.0,0.5111,5.0,0.1704,8.0,33.0,1.1244,13418.0,9550.0,325.3833,0.259173,12350.0,,,235.0,213.0,22.0,20.0,2.0,8.0068,3427.0,4088.0,76.0,2902.0,4121.0,61.0,525.0,-33.0,15.0,0.0,2.0,1.0,0.0,2.0,1.0,5049.0,6511.0,110.0,4547.0,6702.0,105.0,502.0,-191.0,5.0,0.0,3.0,2.0,0.0,3.0,1.0,8916.0,10289.0,170.0,6026.0,8962.0,138.0,2890.0,1327.0,32.0,4.0,4.0,2.0,0.0,6.0,3.0,11453.0,13692.0,213.0,7455.0,10863.0,168.0,3998.0,2829.0,45.0,4.0,6.0,2.0,0.0,8.0,4.0
NA1/2957580992,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/NA1/2957580992/215480663,BIG,2019,,0,2019-01-22 00:19:33,1,9.01,4,Blue,bot,Yen,oe:player:69e8187a8af4c2ca3b95e6027ecfc9b,Lowkey Esports,oe:team:d7a70e630922657d105195d2cbff0e5,Sivir,Camille,Irelia,Zoe,Tahm Kench,Neeko,,,,,,1761,1,6,3,6,21,19,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7155,1.3629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,23252.0,792.2317,0.276388,433.4583,179.3867,13.0,0.4429,8.0,0.2726,6.0,41.0,1.3969,13422.0,9554.0,325.5196,0.259282,13000.0,,,243.0,219.0,24.0,16.0,0.0,8.2794,3556.0,3450.0,87.0,3683.0,3271.0,82.0,-127.0,179.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,6063.0,5663.0,136.0,5185.0,4836.0,120.0,878.0,827.0,16.0,1.0,0.0,1.0,1.0,0.0,1.0,8061.0,7734.0,178.0,7925.0,7157.0,163.0,136.0,577.0,15.0,1.0,0.0,2.0,3.0,2.0,2.0,10740.0,11114.0,225.0,10463.0,8671.0,192.0,277.0,2443.0,33.0,2.0,3.0,2.0,6.0,2.0,3.0
NA1/2957580992,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/NA1/2957580992/215480663,BIG,2019,,0,2019-01-22 00:19:33,1,9.01,5,Blue,sup,Pockus,oe:player:07d1c57ec273126c65dbd1197abdb47,Lowkey Esports,oe:team:d7a70e630922657d105195d2cbff0e5,Alistar,Camille,Irelia,Zoe,Tahm Kench,Neeko,,,,,,1761,1,1,6,9,21,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7155,1.3629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6664.0,227.0528,0.0792126,667.1891,1228.7905,35.0,1.1925,7.0,0.2385,8.0,64.0,2.1806,8173.0,4305.0,146.678,0.116831,6100.0,,,39.0,39.0,0.0,0.0,0.0,1.3288,2473.0,2371.0,14.0,2488.0,2620.0,0.0,-15.0,-249.0,14.0,0.0,0.0,0.0,1.0,1.0,0.0,4015.0,3911.0,20.0,3715.0,4405.0,1.0,300.0,-494.0,19.0,1.0,0.0,1.0,1.0,2.0,0.0,5359.0,5523.0,25.0,4869.0,6299.0,3.0,490.0,-776.0,22.0,1.0,3.0,3.0,1.0,6.0,0.0,6915.0,7512.0,32.0,6133.0,7855.0,9.0,782.0,-343.0,23.0,1.0,4.0,4.0,1.0,9.0,1.0
NA1/2957580992,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/NA1/2957580992/215480663,BIG,2019,,0,2019-01-22 00:19:33,1,9.01,6,Red,top,Geiger,oe:player:f61efc1918af01fb93b4359d1c3912c,Skizm eSports,,Swain,Galio,Lucian,Cassiopeia,Kai'Sa,Vayne,,,,,,1761,0,5,5,8,19,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6474,1.3629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,15035.0,512.2658,0.208469,711.5503,454.9574,10.0,0.3407,1.0,0.0341,3.0,20.0,0.6814,9757.0,5889.0,200.6474,0.192835,8975.0,,,174.0,168.0,6.0,5.0,0.0,5.9284,3146.0,4071.0,68.0,3756.0,4718.0,84.0,-610.0,-647.0,-16.0,1.0,0.0,0.0,2.0,0.0,0.0,4985.0,6418.0,94.0,5993.0,7292.0,126.0,-1008.0,-874.0,-32.0,3.0,1.0,1.0,3.0,1.0,0.0,7095.0,9063.0,127.0,7589.0,9531.0,152.0,-494.0,-468.0,-25.0,5.0,3.0,2.0,3.0,4.0,1.0,8593.0,11222.0,155.0,9579.0,11680.0,170.0,-986.0,-458.0,-15.0,5.0,6.0,3.0,4.0,5.0,2.0
NA1/2957580992,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/NA1/2957580992/215480663,BIG,2019,,0,2019-01-22 00:19:33,1,9.01,7,Red,jng,Ezy,oe:player:e869568f2e92d5c115432ac9ee22fd8,Skizm eSports,,Kayn,Galio,Lucian,Cassiopeia,Kai'Sa,Vayne,,,,,,1761,0,2,5,12,19,21,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6474,1.3629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,13517.0,460.5451,0.187421,1250.494,664.5997,12.0,0.4089,4.0,0.1363,2.0,23.0,0.7836,10082.0,6214.0,211.7206,0.203478,9075.0,,,166.0,41.0,125.0,98.0,0.0,5.6559,3161.0,3454.0,58.0,2825.0,3075.0,41.0,336.0,379.0,17.0,0.0,2.0,1.0,0.0,2.0,1.0,5089.0,6206.0,95.0,4276.0,5327.0,65.0,813.0,879.0,30.0,1.0,3.0,2.0,0.0,3.0,2.0,7359.0,8449.0,121.0,6654.0,8579.0,94.0,705.0,-130.0,27.0,2.0,6.0,3.0,1.0,7.0,3.0,8817.0,10665.0,151.0,8647.0,10449.0,96.0,170.0,216.0,55.0,2.0,7.0,3.0,3.0,9.0,4.0
NA1/2957580992,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/NA1/2957580992/215480663,BIG,2019,,0,2019-01-22 00:19:33,1,9.01,8,Red,mid,,,Skizm eSports,,Aatrox,Galio,Lucian,Cassiopeia,Kai'Sa,Vayne,,,,,,1761,0,3,6,9,19,21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6474,1.3629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,11408.0,388.6882,0.158179,890.971,467.0869,10.0,0.3407,8.0,0.2726,3.0,24.0,0.8177,10157.0,6289.0,214.276,0.205933,9125.0,,,190.0,184.0,6.0,6.0,0.0,6.4736,2902.0,4121.0,61.0,3427.0,4088.0,76.0,-525.0,33.0,-15.0,0.0,2.0,1.0,0.0,2.0,1.0,4547.0,6702.0,105.0,5049.0,6511.0,110.0,-502.0,191.0,-5.0,0.0,3.0,1.0,0.0,3.0,2.0,6026.0,8962.0,138.0,8916.0,10289.0,170.0,-2890.0,-1327.0,-32.0,0.0,6.0,3.0,4.0,4.0,2.0,7455.0,10863.0,168.0,11453.0,13692.0,213.0,-3998.0,-2829.0,-45.0,0.0,8.0,4.0,4.0,6.0,2.0
NA1/2957580992,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/NA1/2957580992/215480663,BIG,2019,,0,2019-01-22 00:19:33,1,9.01,9,Red,bot,,,Skizm eSports,,Ezreal,Galio,Lucian,Cassiopeia,Kai'Sa,Vayne,,,,,,1761,0,8,3,5,19,21,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6474,1.3629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,26408.0,899.7615,0.366162,388.8927,277.6491,13.0,0.4429,6.0,0.2044,2.0,27.0,0.9199,12807.0,8939.0,304.5656,0.292708,12550.0,,,215.0,205.0,10.0,3.0,0.0,7.3254,3683.0,3271.0,82.0,3556.0,3450.0,87.0,127.0,-179.0,-5.0,1.0,0.0,0.0,0.0,0.0,1.0,5185.0,4836.0,120.0,6063.0,5663.0,136.0,-878.0,-827.0,-16.0,1.0,0.0,1.0,1.0,0.0,1.0,7925.0,7157.0,163.0,8061.0,7734.0,178.0,-136.0,-577.0,-15.0,3.0,2.0,2.0,1.0,0.0,2.0,10463.0,8671.0,192.0,10740.0,11114.0,225.0,-277.0,-2443.0,-33.0,6.0,2.0,3.0,2.0,3.0,2.0
NA1/2957580992,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/NA1/2957580992/215480663,BIG,2019,,0,2019-01-22 00:19:33,1,9.01,10,Red,sup,,,Skizm eSports,,Thresh,Galio,Lucian,Cassiopeia,Kai'Sa,Vayne,,,,,,1761,0,1,2,11,19,21,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6474,1.3629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5753.0,196.0136,0.0797687,410.46,519.4208,29.0,0.9881,10.0,0.3407,5.0,73.0,2.4872,7076.0,3208.0,109.3015,0.105045,6675.0,,,11.0,11.0,0.0,0.0,0.0,0.3748,2488.0,2620.0,0.0,2473.0,2371.0,14.0,15.0,249.0,-14.0,1.0,1.0,0.0,0.0,0.0,0.0,3715.0,4405.0,1.0,4015.0,3911.0,20.0,-300.0,494.0,-19.0,1.0,2.0,0.0,1.0,0.0,1.0,4869.0,6299.0,3.0,5359.0,5523.0,25.0,-490.0,776.0,-22.0,1.0,6.0,0.0,1.0,3.0,3.0,6133.0,7855.0,9.0,6915.0,7512.0,32.0,-782.0,343.0,-23.0,1.0,9.0,1.0,1.0,4.0,4.0
