gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
NA1/3758635750,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/NA1/3758635750/2337703724190144,BIG,2021,,0,2021-01-26 00:35:49,1.0,11.02,1,Blue,top,Bejjaniii,oe:player:aa275f2acb2a0d41940e162947a5855,Conviction,oe:team:ed026f019f5d0091c44014578ed7a8f,Camille,Lillia,Kai'Sa,Graves,Ryze,Cassiopeia,,,,,,1931,0,2,6,4,8,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2486,1.1807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,11766.0,365.593,0.180518,560.4143,487.6748,14.0,0.435,4.0,0.1243,3.0,37.0,1.1497,10918,6703.0,208.2755,0.208738,10483.0,,,222.0,218.0,4.0,1.0,0.0,6.898,3452.0,4331.0,81.0,3446.0,4504.0,74.0,6.0,-173.0,7.0,1.0,0.0,1.0,0.0,2.0,1.0,4727.0,6019.0,94.0,5539.0,7546.0,127.0,-812.0,-1527.0,-33.0,2.0,0.0,2.0,1.0,3.0,2.0,6990.0,8885.0,148.0,8163.0,10673.0,188.0,-1173.0,-1788.0,-40.0,2.0,0.0,2.0,2.0,3.0,2.0,8441.0,10932.0,183.0,9905.0,13384.0,234.0,-1464.0,-2452.0,-51.0,2.0,0.0,2.0,2.0,3.0,2.0
NA1/3758635750,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/NA1/3758635750/2337703724190144,BIG,2021,,0,2021-01-26 00:35:49,1.0,11.02,2,Blue,jng,Candy,oe:player:875f4b8a39a46b8de8261f732e6e0f7,Conviction,oe:team:ed026f019f5d0091c44014578ed7a8f,Olaf,Lillia,Kai'Sa,Graves,Ryze,Cassiopeia,,,,,,1931,0,2,7,6,8,30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2486,1.1807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,14320.0,444.9508,0.219703,973.4542,1048.1512,11.0,0.3418,13.0,0.4039,10.0,42.0,1.305,12151,7936.0,246.5873,0.247134,11800.0,,,184.0,37.0,147.0,107.0,0.0,5.7172,3107.0,3254.0,61.0,4167.0,4399.0,75.0,-1060.0,-1145.0,-14.0,0.0,1.0,2.0,2.0,2.0,0.0,6139.0,5738.0,99.0,5985.0,6644.0,104.0,154.0,-906.0,-5.0,0.0,3.0,3.0,3.0,4.0,1.0,8032.0,8837.0,144.0,7859.0,9997.0,152.0,173.0,-1160.0,-8.0,0.0,3.0,3.0,3.0,5.0,1.0,9248.0,9947.0,168.0,9456.0,12307.0,184.0,-208.0,-2360.0,-16.0,0.0,3.0,3.0,3.0,5.0,1.0
NA1/3758635750,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/NA1/3758635750/2337703724190144,BIG,2021,,0,2021-01-26 00:35:49,1.0,11.02,3,Blue,mid,Nemesis9,oe:player:01787aabae63131ebea6c25c4ff37cb,Conviction,oe:team:ed026f019f5d0091c44014578ed7a8f,Sylas,Lillia,Kai'Sa,Graves,Ryze,Cassiopeia,,,,,,1931,0,1,7,5,8,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2486,1.1807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,16191.0,503.0865,0.248408,842.9208,623.0243,12.0,0.3729,2.0,0.0621,2.0,25.0,0.7768,11334,7119.0,221.2015,0.221692,11385.0,,,256.0,249.0,7.0,3.0,0.0,7.9544,3142.0,4342.0,79.0,4243.0,5019.0,89.0,-1101.0,-677.0,-10.0,0.0,0.0,1.0,2.0,3.0,0.0,4795.0,6796.0,123.0,7764.0,8521.0,151.0,-2969.0,-1725.0,-28.0,0.0,1.0,2.0,4.0,6.0,0.0,6557.0,8841.0,163.0,9577.0,11240.0,203.0,-3020.0,-2399.0,-40.0,0.0,1.0,3.0,4.0,6.0,0.0,8630.0,11973.0,220.0,12101.0,14422.0,274.0,-3471.0,-2449.0,-54.0,0.0,1.0,3.0,4.0,6.0,0.0
NA1/3758635750,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/NA1/3758635750/2337703724190144,BIG,2021,,0,2021-01-26 00:35:49,1.0,11.02,4,Blue,bot,warcyclone,oe:player:d641308298bec76a9e61fab9e0d4a9a,Conviction,oe:team:ed026f019f5d0091c44014578ed7a8f,Aphelios,Lillia,Kai'Sa,Graves,Ryze,Cassiopeia,,,,,,1931,0,3,6,1,8,30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2486,1.1807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,19240.0,597.825,0.295187,466.4215,432.8638,8.0,0.2486,8.0,0.2486,3.0,26.0,0.8079,12288,8073.0,250.8441,0.2514,12075.0,,,281.0,255.0,26.0,26.0,0.0,8.7312,2873.0,2867.0,70.0,3472.0,3214.0,74.0,-599.0,-347.0,-4.0,0.0,0.0,1.0,1.0,3.0,0.0,4875.0,4720.0,112.0,5715.0,5639.0,119.0,-840.0,-919.0,-7.0,1.0,0.0,2.0,2.0,7.0,0.0,6807.0,7156.0,168.0,7575.0,7757.0,163.0,-768.0,-601.0,5.0,1.0,0.0,2.0,2.0,8.0,0.0,8985.0,10013.0,236.0,9587.0,10257.0,218.0,-602.0,-244.0,18.0,1.0,0.0,2.0,2.0,8.0,0.0
NA1/3758635750,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/NA1/3758635750/2337703724190144,BIG,2021,,0,2021-01-26 00:35:49,1.0,11.02,5,Blue,sup,xav,oe:player:5893c9e940c621d4494c106d6c3ce96,Conviction,oe:team:ed026f019f5d0091c44014578ed7a8f,Rell,Lillia,Kai'Sa,Graves,Ryze,Cassiopeia,,,,,,1931,0,0,4,5,8,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2486,1.1807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3662.0,113.7856,0.0561837,461.2947,641.6365,28.0,0.87,14.0,0.435,13.0,69.0,2.144,6496,2281.0,70.8752,0.0710358,6225.0,,,38.0,38.0,0.0,0.0,0.0,1.1807,1960.0,2567.0,11.0,2451.0,2489.0,18.0,-491.0,78.0,-7.0,0.0,0.0,1.0,1.0,2.0,0.0,3119.0,4001.0,21.0,3629.0,3901.0,26.0,-510.0,100.0,-5.0,0.0,1.0,2.0,1.0,6.0,0.0,4054.0,4973.0,27.0,4914.0,5159.0,41.0,-860.0,-186.0,-14.0,0.0,1.0,2.0,1.0,6.0,0.0,4861.0,6138.0,30.0,5800.0,6190.0,43.0,-939.0,-52.0,-13.0,0.0,1.0,2.0,1.0,6.0,0.0
NA1/3758635750,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/NA1/3758635750/2337703724190144,BIG,2021,,0,2021-01-26 00:35:49,1.0,11.02,6,Red,top,Cavele,oe:player:6415f599dff5f306a727626661cf583,Supernova,oe:team:8776b7033f1bc10634e50d90f861c1d,Renekton,Nidalee,Seraphine,Pantheon,Orianna,Syndra,,,,,,1931,1,4,3,14,30,8,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.9322,1.1807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,15530.0,482.5479,0.185903,1040.9114,1008.9384,16.0,0.4972,3.0,0.0932,7.0,40.0,1.2429,13197,8982.0,279.0886,0.195559,12275.0,,,259.0,246.0,13.0,4.0,1.0,8.0476,3446.0,4504.0,74.0,3452.0,4331.0,81.0,-6.0,173.0,-7.0,0.0,2.0,1.0,1.0,0.0,1.0,5539.0,7546.0,127.0,4727.0,6019.0,94.0,812.0,1527.0,33.0,1.0,3.0,2.0,2.0,0.0,2.0,8163.0,10673.0,188.0,6990.0,8885.0,148.0,1173.0,1788.0,40.0,2.0,3.0,2.0,2.0,0.0,2.0,9905.0,13384.0,234.0,8441.0,10932.0,183.0,1464.0,2452.0,51.0,2.0,3.0,2.0,2.0,0.0,2.0
NA1/3758635750,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/NA1/3758635750/2337703724190144,BIG,2021,,0,2021-01-26 00:35:49,1.0,11.02,7,Red,jng,Matty,oe:player:ec41c69e802a3c1cc4b81a7c25d021e,Supernova,oe:team:8776b7033f1bc10634e50d90f861c1d,Hecarim,Nidalee,Seraphine,Pantheon,Orianna,Syndra,,,,,,1931,1,6,3,18,30,8,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.9322,1.1807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10664.0,331.3516,0.127654,1200.5904,1128.348,7.0,0.2175,11.0,0.3418,7.0,44.0,1.3672,13166,8951.0,278.1253,0.194884,11725.0,,,216.0,25.0,191.0,133.0,12.0,6.7115,4167.0,4399.0,75.0,3107.0,3254.0,61.0,1060.0,1145.0,14.0,2.0,2.0,0.0,0.0,1.0,2.0,5985.0,6644.0,104.0,6139.0,5738.0,99.0,-154.0,906.0,5.0,3.0,4.0,1.0,0.0,3.0,3.0,7859.0,9997.0,152.0,8032.0,8837.0,144.0,-173.0,1160.0,8.0,3.0,5.0,1.0,0.0,3.0,3.0,9456.0,12307.0,184.0,9248.0,9947.0,168.0,208.0,2360.0,16.0,3.0,5.0,1.0,0.0,3.0,3.0
NA1/3758635750,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/NA1/3758635750/2337703724190144,BIG,2021,,0,2021-01-26 00:35:49,1.0,11.02,8,Red,mid,Strompest,oe:player:9e4cab8a6c3041527f605caf9913072,Supernova,oe:team:8776b7033f1bc10634e50d90f861c1d,Corki,Nidalee,Seraphine,Pantheon,Orianna,Syndra,,,,,,1931,1,14,0,12,30,8,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9322,1.1807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,36654.0,1138.9125,0.43877,310.5334,399.3993,12.0,0.3729,10.0,0.3107,5.0,41.0,1.274,19195,14980.0,465.4583,0.326146,15875.0,,,362.0,317.0,45.0,27.0,12.0,11.2481,4243.0,5019.0,89.0,3142.0,4342.0,79.0,1101.0,677.0,10.0,2.0,3.0,0.0,0.0,0.0,1.0,7764.0,8521.0,151.0,4795.0,6796.0,123.0,2969.0,1725.0,28.0,4.0,6.0,0.0,0.0,1.0,2.0,9577.0,11240.0,203.0,6557.0,8841.0,163.0,3020.0,2399.0,40.0,4.0,6.0,0.0,0.0,1.0,3.0,12101.0,14422.0,274.0,8630.0,11973.0,220.0,3471.0,2449.0,54.0,4.0,6.0,0.0,0.0,1.0,3.0
NA1/3758635750,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/NA1/3758635750/2337703724190144,BIG,2021,,0,2021-01-26 00:35:49,1.0,11.02,9,Red,bot,Array,oe:player:4410ec34d9e6c1a68100ca0ce033fb1,Supernova,oe:team:8776b7033f1bc10634e50d90f861c1d,Senna,Nidalee,Seraphine,Pantheon,Orianna,Syndra,,,,,,1931,1,5,1,20,30,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9322,1.1807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,13520.0,420.0932,0.161843,289.4045,177.856,12.0,0.3729,5.0,0.1554,3.0,33.0,1.0254,13489,9274.0,288.1616,0.201916,10875.0,,,252.0,237.0,15.0,11.0,0.0,7.8301,3472.0,3214.0,74.0,2873.0,2867.0,70.0,599.0,347.0,4.0,1.0,3.0,0.0,0.0,0.0,1.0,5715.0,5639.0,119.0,4875.0,4720.0,112.0,840.0,919.0,7.0,2.0,7.0,0.0,1.0,0.0,2.0,7575.0,7757.0,163.0,6807.0,7156.0,168.0,768.0,601.0,-5.0,2.0,8.0,0.0,1.0,0.0,2.0,9587.0,10257.0,218.0,8985.0,10013.0,236.0,602.0,244.0,-18.0,2.0,8.0,0.0,1.0,0.0,2.0
NA1/3758635750,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/NA1/3758635750/2337703724190144,BIG,2021,,0,2021-01-26 00:35:49,1.0,11.02,10,Red,sup,Gbunny,oe:player:2f8d775625d7bc8069ae313c9b2efbe,Supernova,oe:team:8776b7033f1bc10634e50d90f861c1d,Galio,Nidalee,Seraphine,Pantheon,Orianna,Syndra,,,,,,1931,1,1,1,20,30,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9322,1.1807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7170.0,222.7861,0.0858292,390.202,616.5924,38.0,1.1807,7.0,0.2175,12.0,69.0,2.144,7958,3743.0,116.3024,0.0814956,7100.0,,,43.0,43.0,0.0,0.0,0.0,1.3361,2451.0,2489.0,18.0,1960.0,2567.0,11.0,491.0,-78.0,7.0,1.0,2.0,0.0,0.0,0.0,1.0,3629.0,3901.0,26.0,3119.0,4001.0,21.0,510.0,-100.0,5.0,1.0,6.0,0.0,0.0,1.0,2.0,4914.0,5159.0,41.0,4054.0,4973.0,27.0,860.0,186.0,14.0,1.0,6.0,0.0,0.0,1.0,2.0,5800.0,6190.0,43.0,4861.0,6138.0,30.0,939.0,52.0,13.0,1.0,6.0,0.0,0.0,1.0,2.0
