gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT03/1121910,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1121910?gameHash=7b6b7abd879e0ac3,BM,2019,Split 1,0,2019-07-07 10:38:27,1,9.13,1,Blue,top,augutis,oe:player:7712caa471afcd8eabb514cd7022b3e,Žalgiris Esports,oe:team:b1d244894e61a09903b2c3dd0462d3d,Camille,Draven,Fiddlesticks,Tahm Kench,Zed,Aatrox,,,,,,2200,1,3,2,5,14,11,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3818,0.6818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7593.0,207.0818,0.134516,522.8182,407.5636,14.0,0.3818,8.0,0.2182,2.0,37.0,1.0091,15615.0,10851.0,295.9364,0.241507,14983.0,,,300.0,281.0,19.0,1.0,5.0,8.1818,2965.0,4552.0,67.0,3360.0,4838.0,83.0,-395.0,-286.0,-16.0,0.0,0.0,1.0,0.0,1.0,0.0,4966.0,7096.0,109.0,5137.0,7338.0,122.0,-171.0,-242.0,-13.0,0.0,1.0,1.0,1.0,1.0,0.0,7276.0,10074.0,164.0,6619.0,9485.0,160.0,657.0,589.0,4.0,0.0,1.0,1.0,1.0,1.0,0.0,9395.0,13037.0,222.0,8185.0,11829.0,201.0,1210.0,1208.0,21.0,0.0,1.0,1.0,1.0,1.0,0.0
ESPORTSTMNT03/1121910,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1121910?gameHash=7b6b7abd879e0ac3,BM,2019,Split 1,0,2019-07-07 10:38:27,1,9.13,2,Blue,jng,AGENTAS,oe:player:019c9f92e1340ccaf0c625b0065deb2,Žalgiris Esports,oe:team:b1d244894e61a09903b2c3dd0462d3d,Gragas,Draven,Fiddlesticks,Tahm Kench,Zed,Aatrox,,,,,,2200,1,3,2,7,14,11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3818,0.6818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,11788.0,321.4909,0.208833,535.6636,405.5727,27.0,0.7364,13.0,0.3545,9.0,69.0,1.8818,11468.0,6704.0,182.8364,0.149212,10510.0,,,162.0,32.0,130.0,110.0,0.0,4.4182,2772.0,2701.0,46.0,4245.0,4247.0,63.0,-1473.0,-1546.0,-17.0,0.0,0.0,1.0,4.0,0.0,0.0,4628.0,5147.0,81.0,6161.0,5955.0,91.0,-1533.0,-808.0,-10.0,1.0,1.0,2.0,5.0,1.0,1.0,5963.0,6710.0,101.0,8108.0,8298.0,127.0,-2145.0,-1588.0,-26.0,1.0,1.0,2.0,5.0,2.0,1.0,7219.0,8554.0,125.0,9420.0,9839.0,153.0,-2201.0,-1285.0,-28.0,1.0,1.0,2.0,5.0,2.0,1.0
ESPORTSTMNT03/1121910,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1121910?gameHash=7b6b7abd879e0ac3,BM,2019,Split 1,0,2019-07-07 10:38:27,1,9.13,3,Blue,mid,Zty,oe:player:5ceffcb8b6fbd4f36d37cce979fa3c0,Žalgiris Esports,oe:team:b1d244894e61a09903b2c3dd0462d3d,Kassadin,Draven,Fiddlesticks,Tahm Kench,Zed,Aatrox,,,,,,2200,1,4,3,3,14,11,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3818,0.6818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,12265.0,334.5,0.217283,537.6545,557.2364,13.0,0.3545,5.0,0.1364,4.0,31.0,0.8455,16018.0,11254.0,306.9273,0.250476,13650.0,,,339.0,297.0,42.0,18.0,12.0,9.2455,2930.0,4078.0,67.0,3555.0,4478.0,83.0,-625.0,-400.0,-16.0,0.0,0.0,2.0,0.0,3.0,0.0,4755.0,7037.0,125.0,5609.0,7216.0,138.0,-854.0,-179.0,-13.0,0.0,0.0,2.0,0.0,4.0,0.0,6477.0,8938.0,166.0,7620.0,9547.0,173.0,-1143.0,-609.0,-7.0,0.0,0.0,3.0,1.0,4.0,0.0,8361.0,11613.0,216.0,9346.0,12302.0,222.0,-985.0,-689.0,-6.0,0.0,0.0,3.0,1.0,4.0,0.0
ESPORTSTMNT03/1121910,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1121910?gameHash=7b6b7abd879e0ac3,BM,2019,Split 1,0,2019-07-07 10:38:27,1,9.13,4,Blue,bot,nofas,oe:player:fdabcb511e3ff5167a0cb1cb048a048,Žalgiris Esports,oe:team:b1d244894e61a09903b2c3dd0462d3d,Sivir,Draven,Fiddlesticks,Tahm Kench,Zed,Aatrox,,,,,,2200,1,3,2,10,14,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3818,0.6818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,18128.0,494.4,0.321151,358.2545,351.4909,16.0,0.4364,17.0,0.4636,5.0,43.0,1.1727,16545.0,11781.0,321.3,0.262205,15825.0,,,371.0,344.0,27.0,20.0,3.0,10.1182,3541.0,3081.0,82.0,2805.0,2890.0,66.0,736.0,191.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,6362.0,5596.0,125.0,4790.0,5043.0,112.0,1572.0,553.0,13.0,3.0,1.0,1.0,1.0,1.0,1.0,8551.0,7933.0,184.0,6571.0,7331.0,164.0,1980.0,602.0,20.0,3.0,1.0,1.0,1.0,1.0,1.0,10772.0,10658.0,250.0,8598.0,9612.0,225.0,2174.0,1046.0,25.0,3.0,1.0,1.0,1.0,1.0,1.0
ESPORTSTMNT03/1121910,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1121910?gameHash=7b6b7abd879e0ac3,BM,2019,Split 1,0,2019-07-07 10:38:27,1,9.13,5,Blue,sup,Xavieles,oe:player:50083ed74954c533c6c8cac9c553ff9,Žalgiris Esports,oe:team:b1d244894e61a09903b2c3dd0462d3d,Karma,Draven,Fiddlesticks,Tahm Kench,Zed,Aatrox,,,,,,2200,1,1,2,10,14,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3818,0.6818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6673.0,181.9909,0.118217,273.8455,134.8091,41.0,1.1182,17.0,0.4636,15.0,77.0,2.1,9104.0,4340.0,118.3636,0.0965993,7805.0,,,24.0,24.0,0.0,0.0,0.0,0.6545,2042.0,2747.0,0.0,1884.0,1864.0,1.0,158.0,883.0,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,3103.0,4238.0,5.0,2952.0,3241.0,3.0,151.0,997.0,2.0,0.0,2.0,1.0,0.0,3.0,2.0,4172.0,5410.0,8.0,3962.0,4504.0,5.0,210.0,906.0,3.0,0.0,2.0,1.0,0.0,3.0,2.0,4926.0,6330.0,11.0,4737.0,6352.0,6.0,189.0,-22.0,5.0,0.0,2.0,1.0,0.0,3.0,2.0
ESPORTSTMNT03/1121910,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1121910?gameHash=7b6b7abd879e0ac3,BM,2019,Split 1,0,2019-07-07 10:38:27,1,9.13,6,Red,top,Onyoz,oe:player:3146138c3cb7f288eeb27fbf7355fbe,ESCORT P9,oe:team:f33e729f8b4bab6c8188aa1c381e053,Neeko,Rakan,Sejuani,Irelia,Sylas,Corki,,,,,,2200,0,2,2,3,11,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.6818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10181.0,277.6636,0.192174,331.8818,253.2818,19.0,0.5182,4.0,0.1091,10.0,34.0,0.9273,10801.0,6037.0,164.6455,0.169176,10700.0,,,234.0,234.0,0.0,0.0,0.0,6.3818,3360.0,4838.0,83.0,2965.0,4552.0,67.0,395.0,286.0,16.0,0.0,1.0,0.0,0.0,0.0,1.0,5137.0,7338.0,122.0,4966.0,7096.0,109.0,171.0,242.0,13.0,1.0,1.0,0.0,0.0,1.0,1.0,6619.0,9485.0,160.0,7276.0,10074.0,164.0,-657.0,-589.0,-4.0,1.0,1.0,0.0,0.0,1.0,1.0,8185.0,11829.0,201.0,9395.0,13037.0,222.0,-1210.0,-1208.0,-21.0,1.0,1.0,0.0,0.0,1.0,1.0
ESPORTSTMNT03/1121910,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1121910?gameHash=7b6b7abd879e0ac3,BM,2019,Split 1,0,2019-07-07 10:38:27,1,9.13,7,Red,jng,mag1cian,oe:player:3482b7bf68a04e10d5f89520324e385,ESCORT P9,oe:team:f33e729f8b4bab6c8188aa1c381e053,Elise,Rakan,Sejuani,Irelia,Sylas,Corki,,,,,,2200,0,6,3,2,11,14,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3,0.6818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12732.0,347.2364,0.240326,603.2727,311.9455,26.0,0.7091,16.0,0.4364,10.0,68.0,1.8545,13246.0,8482.0,231.3273,0.237689,13000.0,,,211.0,68.0,143.0,93.0,14.0,5.7545,4245.0,4247.0,63.0,2772.0,2701.0,46.0,1473.0,1546.0,17.0,4.0,0.0,0.0,0.0,0.0,1.0,6161.0,5955.0,91.0,4628.0,5147.0,81.0,1533.0,808.0,10.0,5.0,1.0,1.0,1.0,1.0,2.0,8108.0,8298.0,127.0,5963.0,6710.0,101.0,2145.0,1588.0,26.0,5.0,2.0,1.0,1.0,1.0,2.0,9420.0,9839.0,153.0,7219.0,8554.0,125.0,2201.0,1285.0,28.0,5.0,2.0,1.0,1.0,1.0,2.0
ESPORTSTMNT03/1121910,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1121910?gameHash=7b6b7abd879e0ac3,BM,2019,Split 1,0,2019-07-07 10:38:27,1,9.13,8,Red,mid,Twiizt,oe:player:ae20b1872a922cdc5b8707fbe66c4f0,ESCORT P9,oe:team:f33e729f8b4bab6c8188aa1c381e053,Jarvan IV,Rakan,Sejuani,Irelia,Sylas,Corki,,,,,,2200,0,2,2,6,11,14,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3,0.6818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,15779.0,430.3364,0.297841,541.3636,715.3364,21.0,0.5727,10.0,0.2727,10.0,44.0,1.2,14200.0,9436.0,257.3455,0.264421,14175.0,,,314.0,314.0,0.0,0.0,0.0,8.5636,3555.0,4478.0,83.0,2930.0,4078.0,67.0,625.0,400.0,16.0,0.0,3.0,0.0,0.0,0.0,2.0,5609.0,7216.0,138.0,4755.0,7037.0,125.0,854.0,179.0,13.0,0.0,4.0,0.0,0.0,0.0,2.0,7620.0,9547.0,173.0,6477.0,8938.0,166.0,1143.0,609.0,7.0,1.0,4.0,0.0,0.0,0.0,3.0,9346.0,12302.0,222.0,8361.0,11613.0,216.0,985.0,689.0,6.0,1.0,4.0,0.0,0.0,0.0,3.0
ESPORTSTMNT03/1121910,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1121910?gameHash=7b6b7abd879e0ac3,BM,2019,Split 1,0,2019-07-07 10:38:27,1,9.13,9,Red,bot,Shark,oe:player:619c7a24acd069986a1dd72f3b12310,ESCORT P9,oe:team:f33e729f8b4bab6c8188aa1c381e053,Varus,Rakan,Sejuani,Irelia,Sylas,Corki,,,,,,2200,0,1,3,3,11,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.6818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,9312.0,253.9636,0.175771,569.2909,358.2545,12.0,0.3273,8.0,0.2182,3.0,30.0,0.8182,14264.0,9500.0,259.0909,0.266215,13175.0,,,361.0,345.0,16.0,12.0,0.0,9.8455,2805.0,2890.0,66.0,3541.0,3081.0,82.0,-736.0,-191.0,-16.0,0.0,0.0,0.0,1.0,0.0,0.0,4790.0,5043.0,112.0,6362.0,5596.0,125.0,-1572.0,-553.0,-13.0,1.0,1.0,1.0,3.0,1.0,1.0,6571.0,7331.0,164.0,8551.0,7933.0,184.0,-1980.0,-602.0,-20.0,1.0,1.0,1.0,3.0,1.0,1.0,8598.0,9612.0,225.0,10772.0,10658.0,250.0,-2174.0,-1046.0,-25.0,1.0,1.0,1.0,3.0,1.0,1.0
ESPORTSTMNT03/1121910,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1121910?gameHash=7b6b7abd879e0ac3,BM,2019,Split 1,0,2019-07-07 10:38:27,1,9.13,10,Red,sup,bAZZILISKS,oe:player:9974ead3a4ce228d5eb01fc8340d6df,ESCORT P9,oe:team:f33e729f8b4bab6c8188aa1c381e053,Lux,Rakan,Sejuani,Irelia,Sylas,Corki,,,,,,2200,0,0,4,5,11,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.6818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4974.0,135.6545,0.093888,267.5727,349.2,33.0,0.9,9.0,0.2455,12.0,62.0,1.6909,6994.0,2230.0,60.8182,0.0624989,6550.0,,,13.0,13.0,0.0,0.0,0.0,0.3545,1884.0,1864.0,1.0,2042.0,2747.0,0.0,-158.0,-883.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2952.0,3241.0,3.0,3103.0,4238.0,5.0,-151.0,-997.0,-2.0,0.0,3.0,2.0,0.0,2.0,1.0,3962.0,4504.0,5.0,4172.0,5410.0,8.0,-210.0,-906.0,-3.0,0.0,3.0,2.0,0.0,2.0,1.0,4737.0,6352.0,6.0,4926.0,6330.0,11.0,-189.0,22.0,-5.0,0.0,3.0,2.0,0.0,2.0,1.0
