gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT01/1292341,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1292341?gameHash=7335d6ca06763dc0,BRCC,2020,Split 1,0,2020-02-04 00:19:17,1,10.02,1,Blue,top,Ayel,oe:player:325d05dad5fd291cbb49cd50c038ce3,RED Canids,oe:team:67169969ecc058b307edfa9c6b7a3c0,Ornn,Elise,Rumble,Sett,Mordekaiser,Irelia,,,,,,2781,0,1,5,12,17,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3668,0.8198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,20665.0,445.8468,0.21196,750.7443,1292.4272,28.0,0.6041,6.0,0.1294,12.0,46.0,0.9924,14116,8167.0,176.2028,0.168222,13100.0,,,279.0,275.0,4.0,4.0,0.0,6.0194,3244.0,4080.0,65.0,3393.0,4237.0,80.0,-149.0,-157.0,-15.0,1.0,0.0,1.0,1.0,0.0,0.0,4763.0,6610.0,111.0,5237.0,7270.0,134.0,-474.0,-660.0,-23.0,1.0,0.0,1.0,1.0,0.0,0.0,6202.0,8486.0,135.0,7278.0,9596.0,170.0,-1076.0,-1110.0,-35.0,1.0,2.0,1.0,1.0,0.0,1.0,7688.0,11083.0,174.0,9702.0,12550.0,219.0,-2014.0,-1467.0,-45.0,1.0,2.0,2.0,2.0,1.0,1.0
ESPORTSTMNT01/1292341,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1292341?gameHash=7335d6ca06763dc0,BRCC,2020,Split 1,0,2020-02-04 00:19:17,1,10.02,2,Blue,jng,Revolta,oe:player:37b570d988e1cdf1e30b1e5a598a6d0,RED Canids,oe:team:67169969ecc058b307edfa9c6b7a3c0,Gragas,Elise,Rumble,Sett,Mordekaiser,Irelia,,,,,,2781,0,3,4,7,17,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3668,0.8198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,13263.0,286.1489,0.136038,656.7206,563.0205,59.0,1.2729,20.0,0.4315,16.0,102.0,2.2006,13703,7754.0,167.2923,0.159716,14500.0,,,218.0,45.0,173.0,118.0,4.0,4.7033,2787.0,2922.0,53.0,3868.0,4039.0,61.0,-1081.0,-1117.0,-8.0,0.0,1.0,1.0,2.0,2.0,0.0,4214.0,4766.0,90.0,5048.0,5584.0,86.0,-834.0,-818.0,4.0,0.0,1.0,1.0,2.0,2.0,0.0,5917.0,6699.0,119.0,6532.0,7101.0,122.0,-615.0,-402.0,-3.0,0.0,3.0,1.0,2.0,2.0,1.0,7202.0,8389.0,148.0,8723.0,9256.0,145.0,-1521.0,-867.0,3.0,0.0,3.0,1.0,4.0,3.0,1.0
ESPORTSTMNT01/1292341,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1292341?gameHash=7335d6ca06763dc0,BRCC,2020,Split 1,0,2020-02-04 00:19:17,1,10.02,3,Blue,mid,Sky,oe:player:a9a0b342479fa76e3806cd538a50dcc,RED Canids,oe:team:67169969ecc058b307edfa9c6b7a3c0,Lucian,Elise,Rumble,Sett,Mordekaiser,Irelia,,,,,,2781,0,6,4,6,17,21,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3668,0.8198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,24383.0,526.0626,0.250095,578.3387,408.1338,16.0,0.3452,14.0,0.302,4.0,96.0,2.0712,20221,14272.0,307.918,0.293969,18300.0,,,413.0,371.0,42.0,42.0,0.0,8.9105,3313.0,4693.0,88.0,3432.0,4357.0,69.0,-119.0,336.0,19.0,0.0,1.0,1.0,1.0,2.0,1.0,5082.0,7347.0,143.0,5497.0,6961.0,121.0,-415.0,386.0,22.0,0.0,1.0,1.0,1.0,2.0,1.0,8284.0,10198.0,193.0,7484.0,9516.0,167.0,800.0,682.0,26.0,2.0,1.0,1.0,1.0,2.0,1.0,9820.0,12448.0,236.0,9417.0,12525.0,205.0,403.0,-77.0,31.0,2.0,1.0,2.0,1.0,5.0,1.0
ESPORTSTMNT01/1292341,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1292341?gameHash=7335d6ca06763dc0,BRCC,2020,Split 1,0,2020-02-04 00:19:17,1,10.02,4,Blue,bot,TitaN,oe:player:1c010180887360e5d6ab967fd93693d,RED Canids,oe:team:67169969ecc058b307edfa9c6b7a3c0,Xayah,Elise,Rumble,Sett,Mordekaiser,Irelia,,,,,,2781,0,5,5,9,17,21,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3668,0.8198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,31328.0,675.9008,0.321329,493.7001,321.4455,24.0,0.5178,23.0,0.4962,11.0,74.0,1.5965,19454,13505.0,291.37,0.278171,18175.0,,,437.0,413.0,24.0,16.0,4.0,9.4283,3240.0,2729.0,69.0,3235.0,3360.0,82.0,5.0,-631.0,-13.0,0.0,2.0,1.0,0.0,1.0,1.0,4848.0,4779.0,114.0,5049.0,5416.0,139.0,-201.0,-637.0,-25.0,0.0,2.0,1.0,0.0,1.0,1.0,7205.0,7416.0,178.0,6824.0,7574.0,190.0,381.0,-158.0,-12.0,0.0,4.0,1.0,0.0,1.0,1.0,9175.0,10284.0,237.0,8485.0,9515.0,235.0,690.0,769.0,2.0,0.0,4.0,1.0,0.0,1.0,1.0
ESPORTSTMNT01/1292341,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1292341?gameHash=7335d6ca06763dc0,BRCC,2020,Split 1,0,2020-02-04 00:19:17,1,10.02,5,Blue,sup,Woodboy,oe:player:2365b9c86d57fd1b5a4488f621d3cff,RED Canids,oe:team:67169969ecc058b307edfa9c6b7a3c0,Rakan,Elise,Rumble,Sett,Mordekaiser,Irelia,,,,,,2781,0,2,3,12,17,21,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3668,0.8198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7856.0,169.493,0.0805785,341.877,611.6505,86.0,1.8554,26.0,0.5609,29.0,141.0,3.0421,10800,4851.0,104.6602,0.0999213,10575.0,,,47.0,47.0,0.0,0.0,0.0,1.014,2746.0,2490.0,13.0,2108.0,2524.0,14.0,638.0,-34.0,-1.0,2.0,0.0,0.0,0.0,1.0,1.0,3744.0,3690.0,21.0,3126.0,3990.0,23.0,618.0,-300.0,-2.0,2.0,0.0,0.0,0.0,1.0,1.0,5008.0,4688.0,24.0,4222.0,4797.0,30.0,786.0,-109.0,-6.0,2.0,2.0,0.0,0.0,1.0,1.0,5980.0,5574.0,29.0,5250.0,6216.0,35.0,730.0,-642.0,-6.0,2.0,2.0,1.0,0.0,2.0,1.0
ESPORTSTMNT01/1292341,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1292341?gameHash=7335d6ca06763dc0,BRCC,2020,Split 1,0,2020-02-04 00:19:17,1,10.02,6,Red,top,Hidan,oe:player:d7eca91517950c67ade956ce6e953cf,Havan Liberty,oe:team:a8760a8e23903488198e84618546202,Aatrox,Akali,Aphelios,Thresh,Yasuo,Braum,,,,,,2781,1,5,3,9,21,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4531,0.8198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,18844.0,406.5588,0.202853,855.9439,1260.712,18.0,0.3883,10.0,0.2157,5.0,41.0,0.8846,19657,13708.0,295.7497,0.244122,19025.0,,,372.0,321.0,51.0,34.0,5.0,8.0259,3393.0,4237.0,80.0,3244.0,4080.0,65.0,149.0,157.0,15.0,1.0,0.0,0.0,1.0,0.0,1.0,5237.0,7270.0,134.0,4763.0,6610.0,111.0,474.0,660.0,23.0,1.0,0.0,0.0,1.0,0.0,1.0,7278.0,9596.0,170.0,6202.0,8486.0,135.0,1076.0,1110.0,35.0,1.0,0.0,1.0,1.0,2.0,1.0,9702.0,12550.0,219.0,7688.0,11083.0,174.0,2014.0,1467.0,45.0,2.0,1.0,1.0,1.0,2.0,2.0
ESPORTSTMNT01/1292341,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1292341?gameHash=7335d6ca06763dc0,BRCC,2020,Split 1,0,2020-02-04 00:19:17,1,10.02,7,Red,jng,CarioK,oe:player:5e07433d52dbc7bbc4faaf9492dbd2c,Havan Liberty,oe:team:a8760a8e23903488198e84618546202,Olaf,Akali,Aphelios,Thresh,Yasuo,Braum,,,,,,2781,1,7,5,9,21,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4531,0.8198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,19134.0,412.8155,0.205974,776.8932,771.931,24.0,0.5178,27.0,0.5825,19.0,63.0,1.3592,16061,10112.0,218.1661,0.180083,15800.0,,,241.0,54.0,187.0,126.0,16.0,5.1996,3868.0,4039.0,61.0,2787.0,2922.0,53.0,1081.0,1117.0,8.0,2.0,2.0,0.0,0.0,1.0,1.0,5048.0,5584.0,86.0,4214.0,4766.0,90.0,834.0,818.0,-4.0,2.0,2.0,0.0,0.0,1.0,1.0,6532.0,7101.0,122.0,5917.0,6699.0,119.0,615.0,402.0,3.0,2.0,2.0,1.0,0.0,3.0,1.0,8723.0,9256.0,145.0,7202.0,8389.0,148.0,1521.0,867.0,-3.0,4.0,3.0,1.0,0.0,3.0,1.0
ESPORTSTMNT01/1292341,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1292341?gameHash=7335d6ca06763dc0,BRCC,2020,Split 1,0,2020-02-04 00:19:17,1,10.02,8,Red,mid,dyNquedo,oe:player:127d6ec83484da3c8b39b70c70f1226,Havan Liberty,oe:team:a8760a8e23903488198e84618546202,Diana,Akali,Aphelios,Thresh,Yasuo,Braum,,,,,,2781,1,3,2,13,21,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4531,0.8198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,25081.0,541.1219,0.269993,448.0043,887.7238,25.0,0.5394,10.0,0.2157,9.0,44.0,0.9493,19165,13216.0,285.1348,0.235361,17625.0,,,372.0,346.0,26.0,17.0,4.0,8.0259,3432.0,4357.0,69.0,3313.0,4693.0,88.0,119.0,-336.0,-19.0,1.0,2.0,1.0,0.0,1.0,1.0,5497.0,6961.0,121.0,5082.0,7347.0,143.0,415.0,-386.0,-22.0,1.0,2.0,1.0,0.0,1.0,1.0,7484.0,9516.0,167.0,8284.0,10198.0,193.0,-800.0,-682.0,-26.0,1.0,2.0,1.0,2.0,1.0,1.0,9417.0,12525.0,205.0,9820.0,12448.0,236.0,-403.0,77.0,-31.0,1.0,5.0,1.0,2.0,1.0,2.0
ESPORTSTMNT01/1292341,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1292341?gameHash=7335d6ca06763dc0,BRCC,2020,Split 1,0,2020-02-04 00:19:17,1,10.02,9,Red,bot,Flare,oe:player:0cfa7da07f11bd954137ab359972515,Havan Liberty,oe:team:a8760a8e23903488198e84618546202,Varus,Akali,Aphelios,Thresh,Yasuo,Braum,,,,,,2781,1,5,3,6,21,17,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4531,0.8198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,23910.0,515.8576,0.257387,345.1564,449.5577,20.0,0.4315,23.0,0.4962,9.0,63.0,1.3592,20306,14357.0,309.7519,0.25568,17825.0,,,458.0,394.0,64.0,39.0,12.0,9.8813,3235.0,3360.0,82.0,3240.0,2729.0,69.0,-5.0,631.0,13.0,0.0,1.0,1.0,0.0,2.0,1.0,5049.0,5416.0,139.0,4848.0,4779.0,114.0,201.0,637.0,25.0,0.0,1.0,1.0,0.0,2.0,1.0,6824.0,7574.0,190.0,7205.0,7416.0,178.0,-381.0,158.0,12.0,0.0,1.0,1.0,0.0,4.0,1.0,8485.0,9515.0,235.0,9175.0,10284.0,237.0,-690.0,-769.0,-2.0,0.0,1.0,1.0,0.0,4.0,1.0
ESPORTSTMNT01/1292341,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1292341?gameHash=7335d6ca06763dc0,BRCC,2020,Split 1,0,2020-02-04 00:19:17,1,10.02,10,Red,sup,esA,oe:player:bd7992c3a0b0398d2833e69f231d5e3,Havan Liberty,oe:team:a8760a8e23903488198e84618546202,Leona,Akali,Aphelios,Thresh,Yasuo,Braum,,,,,,2781,1,1,4,13,21,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4531,0.8198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5926.0,127.8533,0.0637925,403.8188,759.1802,104.0,2.2438,31.0,0.6688,35.0,164.0,3.5383,10708,4759.0,102.6753,0.0847537,9875.0,,,56.0,56.0,0.0,0.0,0.0,1.2082,2108.0,2524.0,14.0,2746.0,2490.0,13.0,-638.0,34.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,3126.0,3990.0,23.0,3744.0,3690.0,21.0,-618.0,300.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,4222.0,4797.0,30.0,5008.0,4688.0,24.0,-786.0,109.0,6.0,0.0,1.0,1.0,2.0,2.0,0.0,5250.0,6216.0,35.0,5980.0,5574.0,29.0,-730.0,642.0,6.0,0.0,2.0,1.0,2.0,2.0,1.0
