gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT03/1682154,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1682154?gameHash=c2a030f119369de1,CBLOL,2021,Split 1,0,2021-01-16 15:41:37,1.0,11.01,1,Blue,top,Robo,oe:player:3085815ef497539cb1d93b3c9a16624,paiN Gaming,oe:team:61450737f7b683db4da7b3e0bf0dced,Sion,Aatrox,Galio,Akali,Syndra,Yone,,,,,,2209,0,4,5,3,13,15,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3531,0.7605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,15593.0,423.531,0.267159,962.9335,1713.5989,21.0,0.5704,9.0,0.2445,9.0,37.0,1.005,12679,7897.0,214.4952,0.202067,11825.0,,,269.0,255.0,14.0,6.0,0.0,7.3065,4084.0,4133.0,71.0,3499.0,4362.0,81.0,585.0,-229.0,-10.0,4.0,0.0,1.0,1.0,1.0,0.0,5912.0,6456.0,120.0,5618.0,6889.0,126.0,294.0,-433.0,-6.0,4.0,0.0,1.0,2.0,1.0,0.0,7466.0,8390.0,154.0,7763.0,8975.0,158.0,-297.0,-585.0,-4.0,4.0,0.0,2.0,3.0,1.0,0.0,9014.0,11003.0,196.0,9523.0,11675.0,206.0,-509.0,-672.0,-10.0,4.0,0.0,3.0,3.0,1.0,0.0
ESPORTSTMNT03/1682154,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1682154?gameHash=c2a030f119369de1,CBLOL,2021,Split 1,0,2021-01-16 15:41:37,1.0,11.01,2,Blue,jng,CarioK,oe:player:5e07433d52dbc7bbc4faaf9492dbd2c,paiN Gaming,oe:team:61450737f7b683db4da7b3e0bf0dced,Kindred,Aatrox,Galio,Akali,Syndra,Yone,,,,,,2209,0,6,5,4,13,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3531,0.7605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,13643.0,370.5659,0.233749,865.206,468.6193,13.0,0.3531,22.0,0.5976,13.0,62.0,1.684,14889,10107.0,274.5224,0.258616,14175.0,,,275.0,68.0,207.0,141.0,12.0,7.4694,3642.0,3654.0,65.0,3327.0,2976.0,55.0,315.0,678.0,10.0,1.0,3.0,2.0,1.0,4.0,2.0,5144.0,5852.0,107.0,5257.0,5423.0,92.0,-113.0,429.0,15.0,1.0,3.0,3.0,1.0,5.0,2.0,6965.0,7990.0,146.0,7456.0,8302.0,139.0,-491.0,-312.0,7.0,2.0,3.0,4.0,2.0,6.0,2.0,8657.0,10391.0,186.0,9257.0,10551.0,175.0,-600.0,-160.0,11.0,2.0,3.0,4.0,3.0,7.0,2.0
ESPORTSTMNT03/1682154,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1682154?gameHash=c2a030f119369de1,CBLOL,2021,Split 1,0,2021-01-16 15:41:37,1.0,11.01,3,Blue,mid,tinowns,oe:player:ae770d2c942cee6dbcfbd1832015231,paiN Gaming,oe:team:61450737f7b683db4da7b3e0bf0dced,Zoe,Aatrox,Galio,Akali,Syndra,Yone,,,,,,2209,0,2,0,9,13,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3531,0.7605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,18830.0,511.4531,0.322619,259.7193,147.3517,16.0,0.4346,7.0,0.1901,8.0,48.0,1.3038,13519,8737.0,237.311,0.223561,12750.0,,,293.0,277.0,16.0,12.0,0.0,7.9584,3576.0,4132.0,76.0,4057.0,3979.0,68.0,-481.0,153.0,8.0,0.0,5.0,0.0,2.0,3.0,1.0,5324.0,7069.0,126.0,6576.0,6838.0,126.0,-1252.0,231.0,0.0,0.0,5.0,0.0,2.0,4.0,1.0,7096.0,9534.0,172.0,8817.0,9850.0,175.0,-1721.0,-316.0,-3.0,0.0,5.0,0.0,2.0,6.0,1.0,8975.0,12504.0,223.0,10959.0,12927.0,222.0,-1984.0,-423.0,1.0,0.0,5.0,0.0,3.0,7.0,1.0
ESPORTSTMNT03/1682154,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1682154?gameHash=c2a030f119369de1,CBLOL,2021,Split 1,0,2021-01-16 15:41:37,1.0,11.01,4,Blue,bot,brTT,oe:player:8949aee3a35b0a789d1090f412d8d61,paiN Gaming,oe:team:61450737f7b683db4da7b3e0bf0dced,Samira,Aatrox,Galio,Akali,Syndra,Yone,,,,,,2209,0,1,1,2,13,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3531,0.7605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5482.0,148.9,0.0939245,507.2703,264.1467,12.0,0.3259,12.0,0.3259,2.0,38.0,1.0321,14229,9447.0,256.5957,0.241728,12100.0,,,319.0,314.0,5.0,0.0,1.0,8.6646,3534.0,3169.0,75.0,3251.0,3019.0,68.0,283.0,150.0,7.0,1.0,0.0,0.0,1.0,2.0,1.0,5314.0,5467.0,123.0,4818.0,5275.0,115.0,496.0,192.0,8.0,1.0,0.0,0.0,1.0,3.0,1.0,7507.0,7928.0,166.0,6747.0,7529.0,159.0,760.0,399.0,7.0,1.0,1.0,0.0,1.0,4.0,2.0,9087.0,9687.0,209.0,8598.0,9996.0,209.0,489.0,-309.0,0.0,1.0,1.0,0.0,1.0,6.0,2.0
ESPORTSTMNT03/1682154,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1682154?gameHash=c2a030f119369de1,CBLOL,2021,Split 1,0,2021-01-16 15:41:37,1.0,11.01,5,Blue,sup,Luci,oe:player:ccf749dcf7aa6920edb4f9dac925f0a,paiN Gaming,oe:team:61450737f7b683db4da7b3e0bf0dced,Alistar,Aatrox,Galio,Akali,Syndra,Yone,,,,,,2209,0,0,4,8,13,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3531,0.7605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4818.0,130.8646,0.0825481,585.6587,572.5939,64.0,1.7383,19.0,0.5161,17.0,104.0,2.8248,7675,2893.0,78.5785,0.0740264,7075.0,,,43.0,43.0,0.0,0.0,0.0,1.1679,2428.0,2332.0,17.0,2270.0,2193.0,16.0,158.0,139.0,1.0,0.0,3.0,2.0,0.0,4.0,2.0,3283.0,3236.0,22.0,3305.0,3106.0,24.0,-22.0,130.0,-2.0,0.0,3.0,2.0,0.0,5.0,2.0,4381.0,4491.0,27.0,4454.0,4384.0,29.0,-73.0,107.0,-2.0,0.0,4.0,2.0,0.0,7.0,2.0,5313.0,5872.0,37.0,5346.0,6188.0,31.0,-33.0,-316.0,6.0,0.0,4.0,3.0,0.0,9.0,2.0
ESPORTSTMNT03/1682154,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1682154?gameHash=c2a030f119369de1,CBLOL,2021,Split 1,0,2021-01-16 15:41:37,1.0,11.01,6,Red,top,Tay,oe:player:b04655f0821a30125d72a3442647875,LOUD,oe:team:658a021a796aa5501503220adb38cf4,Camille,Graves,Olaf,Pantheon,Hecarim,Lee Sin,,,,,,2209,1,4,1,3,15,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4074,0.7605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,19576.0,531.7157,0.250445,769.244,746.6455,15.0,0.4074,9.0,0.2445,3.0,36.0,0.9778,15700,10918.0,296.5505,0.239966,15425.0,,,320.0,297.0,23.0,4.0,12.0,8.6917,3499.0,4362.0,81.0,4084.0,4133.0,71.0,-585.0,229.0,10.0,1.0,1.0,0.0,4.0,0.0,1.0,5618.0,6889.0,126.0,5912.0,6456.0,120.0,-294.0,433.0,6.0,2.0,1.0,0.0,4.0,0.0,1.0,7763.0,8975.0,158.0,7466.0,8390.0,154.0,297.0,585.0,4.0,3.0,1.0,0.0,4.0,0.0,2.0,9523.0,11675.0,206.0,9014.0,11003.0,196.0,509.0,672.0,10.0,3.0,1.0,0.0,4.0,0.0,3.0
ESPORTSTMNT03/1682154,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1682154?gameHash=c2a030f119369de1,CBLOL,2021,Split 1,0,2021-01-16 15:41:37,1.0,11.01,7,Red,jng,Don Arts,oe:player:b8325d5a974eac1dbce808677f1dec4,LOUD,oe:team:658a021a796aa5501503220adb38cf4,Taliyah,Graves,Olaf,Pantheon,Hecarim,Lee Sin,,,,,,2209,1,3,4,10,15,13,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.4074,0.7605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,22266.0,604.7804,0.284859,729.588,296.4147,23.0,0.6247,6.0,0.163,8.0,51.0,1.3852,13315,8533.0,231.77,0.187547,11750.0,,,244.0,25.0,219.0,142.0,25.0,6.6274,3327.0,2976.0,55.0,3642.0,3654.0,65.0,-315.0,-678.0,-10.0,1.0,4.0,2.0,1.0,3.0,2.0,5257.0,5423.0,92.0,5144.0,5852.0,107.0,113.0,-429.0,-15.0,1.0,5.0,2.0,1.0,3.0,3.0,7456.0,8302.0,139.0,6965.0,7990.0,146.0,491.0,312.0,-7.0,2.0,6.0,2.0,2.0,3.0,4.0,9257.0,10551.0,175.0,8657.0,10391.0,186.0,600.0,160.0,-11.0,3.0,7.0,2.0,2.0,3.0,4.0
ESPORTSTMNT03/1682154,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1682154?gameHash=c2a030f119369de1,CBLOL,2021,Split 1,0,2021-01-16 15:41:37,1.0,11.01,8,Red,mid,dyNquedo,oe:player:127d6ec83484da3c8b39b70c70f1226,LOUD,oe:team:658a021a796aa5501503220adb38cf4,Twisted Fate,Graves,Olaf,Pantheon,Hecarim,Lee Sin,,,,,,2209,1,5,1,8,15,13,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4074,0.7605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,13463.0,365.6768,0.172238,440.8601,283.4314,19.0,0.5161,8.0,0.2173,8.0,44.0,1.1951,17575,12793.0,347.4785,0.281177,15650.0,,,325.0,321.0,4.0,4.0,0.0,8.8275,4057.0,3979.0,68.0,3576.0,4132.0,76.0,481.0,-153.0,-8.0,2.0,3.0,1.0,0.0,5.0,0.0,6576.0,6838.0,126.0,5324.0,7069.0,126.0,1252.0,-231.0,0.0,2.0,4.0,1.0,0.0,5.0,0.0,8817.0,9850.0,175.0,7096.0,9534.0,172.0,1721.0,316.0,3.0,2.0,6.0,1.0,0.0,5.0,0.0,10959.0,12927.0,222.0,8975.0,12504.0,223.0,1984.0,423.0,-1.0,3.0,7.0,1.0,0.0,5.0,0.0
ESPORTSTMNT03/1682154,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1682154?gameHash=c2a030f119369de1,CBLOL,2021,Split 1,0,2021-01-16 15:41:37,1.0,11.01,9,Red,bot,DudsTheBoy,oe:player:952f90bd1805db865fdb728cd1f2d92,LOUD,oe:team:658a021a796aa5501503220adb38cf4,Kai'Sa,Graves,Olaf,Pantheon,Hecarim,Lee Sin,,,,,,2209,1,3,4,6,15,13,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4074,0.7605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,18394.0,499.6107,0.235323,443.8479,218.7053,27.0,0.7334,7.0,0.1901,11.0,42.0,1.1408,14461,9679.0,262.8972,0.212735,12030.0,,,311.0,295.0,16.0,16.0,0.0,8.4473,3251.0,3019.0,68.0,3534.0,3169.0,75.0,-283.0,-150.0,-7.0,1.0,2.0,1.0,1.0,0.0,0.0,4818.0,5275.0,115.0,5314.0,5467.0,123.0,-496.0,-192.0,-8.0,1.0,3.0,1.0,1.0,0.0,0.0,6747.0,7529.0,159.0,7507.0,7928.0,166.0,-760.0,-399.0,-7.0,1.0,4.0,2.0,1.0,1.0,0.0,8598.0,9996.0,209.0,9087.0,9687.0,209.0,-489.0,309.0,0.0,1.0,6.0,2.0,1.0,1.0,0.0
ESPORTSTMNT03/1682154,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1682154?gameHash=c2a030f119369de1,CBLOL,2021,Split 1,0,2021-01-16 15:41:37,1.0,11.01,10,Red,sup,Ceos,oe:player:c88cada1696defe81464925789aa6d8,LOUD,oe:team:658a021a796aa5501503220adb38cf4,Leona,Graves,Olaf,Pantheon,Hecarim,Lee Sin,,,,,,2209,1,0,3,13,15,13,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4074,0.7605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4466.0,121.3038,0.0571355,330.4482,381.8923,67.0,1.8198,14.0,0.3803,25.0,116.0,3.1507,8357,3575.0,97.1028,0.0785754,7525.0,,,40.0,40.0,0.0,0.0,0.0,1.0865,2270.0,2193.0,16.0,2428.0,2332.0,17.0,-158.0,-139.0,-1.0,0.0,4.0,2.0,0.0,3.0,2.0,3305.0,3106.0,24.0,3283.0,3236.0,22.0,22.0,-130.0,2.0,0.0,5.0,2.0,0.0,3.0,2.0,4454.0,4384.0,29.0,4381.0,4491.0,27.0,73.0,-107.0,2.0,0.0,7.0,2.0,0.0,4.0,2.0,5346.0,6188.0,31.0,5313.0,5872.0,37.0,33.0,316.0,-6.0,0.0,9.0,2.0,0.0,4.0,3.0
