gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT01_2695708,complete,,CBLOL,2022,Split 1,0,2022-01-22 15:43:50,1,12.01,1,Blue,top,Robo,oe:player:3085815ef497539cb1d93b3c9a16624,LOUD,oe:team:658a021a796aa5501503220adb38cf4,Renekton,Gwen,Diana,Jinx,Vex,Tryndamere,,,,,,2320,1,3,6,5,19,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4914,0.931,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,14668.0,379.3448,0.150466,1076.069,1067.8448,14.0,0.3621,6.0,0.1552,8.0,37.0,0.9569,14737,9729.0,251.6121,0.210721,13300.0,,,286.0,267.0,19.0,,,7.3966,4382.0,4924.0,87.0,3075.0,4171.0,72.0,1307.0,753.0,15.0,2.0,0.0,1.0,0.0,1.0,1.0,6286.0,7367.0,131.0,4711.0,6976.0,116.0,1575.0,391.0,15.0,2.0,1.0,2.0,0.0,2.0,1.0,7859.0,9314.0,172.0,6546.0,9135.0,143.0,1313.0,179.0,29.0,2.0,1.0,4.0,2.0,4.0,1.0,9678.0,11141.0,202.0,8724.0,12572.0,172.0,954.0,-1431.0,30.0,3.0,1.0,5.0,3.0,5.0,2.0
ESPORTSTMNT01_2695708,complete,,CBLOL,2022,Split 1,0,2022-01-22 15:43:50,1,12.01,2,Blue,jng,Tay,oe:player:b04655f0821a30125d72a3442647875,LOUD,oe:team:658a021a796aa5501503220adb38cf4,Viego,Gwen,Diana,Jinx,Vex,Tryndamere,,,,,,2320,1,4,3,4,19,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4914,0.931,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,0.0,0.0,8730.0,225.7759,0.0895532,648.0259,415.9914,16.0,0.4138,18.0,0.4655,20.0,68.0,1.7586,13744,8736.0,225.931,0.189214,12825.0,,,211.0,46.0,165.0,,,5.4569,3173.0,3310.0,63.0,3322.0,2895.0,48.0,-149.0,415.0,15.0,0.0,1.0,1.0,2.0,0.0,1.0,5191.0,5497.0,88.0,4812.0,5285.0,82.0,379.0,212.0,6.0,1.0,1.0,1.0,2.0,0.0,1.0,7115.0,7969.0,119.0,6539.0,7551.0,106.0,576.0,418.0,13.0,2.0,1.0,1.0,3.0,4.0,1.0,9506.0,10201.0,147.0,8215.0,9660.0,127.0,1291.0,541.0,20.0,4.0,1.0,1.0,4.0,4.0,2.0
ESPORTSTMNT01_2695708,complete,,CBLOL,2022,Split 1,0,2022-01-22 15:43:50,1,12.01,3,Blue,mid,tinowns,oe:player:ae770d2c942cee6dbcfbd1832015231,LOUD,oe:team:658a021a796aa5501503220adb38cf4,Corki,Gwen,Diana,Jinx,Vex,Tryndamere,,,,,,2320,1,2,2,10,19,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4914,0.931,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,40339.0,1043.25,0.413801,338.3534,229.9655,23.0,0.5948,9.0,0.2328,12.0,54.0,1.3966,15930,10922.0,282.4655,0.236561,14100.0,,,320.0,274.0,46.0,,,8.2759,3392.0,4836.0,93.0,3772.0,4899.0,92.0,-380.0,-63.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5725.0,7482.0,149.0,6305.0,8281.0,153.0,-580.0,-799.0,-4.0,0.0,0.0,0.0,2.0,0.0,1.0,7805.0,9411.0,189.0,8386.0,10938.0,198.0,-581.0,-1527.0,-9.0,0.0,1.0,0.0,3.0,3.0,1.0,9869.0,12279.0,222.0,10416.0,13870.0,236.0,-547.0,-1591.0,-14.0,1.0,4.0,1.0,3.0,5.0,2.0
ESPORTSTMNT01_2695708,complete,,CBLOL,2022,Split 1,0,2022-01-22 15:43:50,1,12.01,4,Blue,bot,DudsTheBoy,oe:player:952f90bd1805db865fdb728cd1f2d92,LOUD,oe:team:658a021a796aa5501503220adb38cf4,Aphelios,Gwen,Diana,Jinx,Vex,Tryndamere,,,,,,2320,1,9,2,3,19,17,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4914,0.931,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,1.0,0.0,28089.0,726.4397,0.28814,291.2069,464.8966,38.0,0.9828,13.0,0.3362,10.0,66.0,1.7069,17903,12895.0,333.4914,0.279294,15000.0,,,347.0,320.0,27.0,,,8.9741,3195.0,3655.0,85.0,3254.0,3372.0,83.0,-59.0,283.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,5438.0,6228.0,133.0,5077.0,5516.0,133.0,361.0,712.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,7118.0,8191.0,174.0,7113.0,7296.0,171.0,5.0,895.0,3.0,1.0,0.0,1.0,1.0,5.0,2.0,9560.0,11674.0,226.0,9297.0,9978.0,214.0,263.0,1696.0,12.0,2.0,2.0,1.0,1.0,7.0,3.0
ESPORTSTMNT01_2695708,complete,,CBLOL,2022,Split 1,0,2022-01-22 15:43:50,1,12.01,5,Blue,sup,Ceos,oe:player:c88cada1696defe81464925789aa6d8,LOUD,oe:team:658a021a796aa5501503220adb38cf4,Nautilus,Gwen,Diana,Jinx,Vex,Tryndamere,,,,,,2320,1,1,4,9,19,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4914,0.931,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,5658.0,146.3276,0.0580403,345.7759,575.2241,76.0,1.9655,18.0,0.4655,25.0,132.0,3.4138,8896,3888.0,100.5517,0.0842105,7675.0,,,39.0,39.0,0.0,,,1.0086,2147.0,1987.0,14.0,2218.0,2115.0,15.0,-71.0,-128.0,-1.0,0.0,1.0,1.0,0.0,2.0,0.0,3307.0,3331.0,21.0,3383.0,3298.0,27.0,-76.0,33.0,-6.0,0.0,2.0,1.0,0.0,2.0,0.0,4364.0,4135.0,24.0,4462.0,4853.0,32.0,-98.0,-718.0,-8.0,0.0,2.0,3.0,0.0,6.0,0.0,5652.0,6485.0,30.0,6095.0,6940.0,41.0,-443.0,-455.0,-11.0,0.0,5.0,4.0,1.0,6.0,1.0
ESPORTSTMNT01_2695708,complete,,CBLOL,2022,Split 1,0,2022-01-22 15:43:50,1,12.01,6,Red,top,fNb,oe:player:61ea9de879a9b27bb8eddcba7f32f4a,FURIA,oe:team:87e3e1e75839f75a10bbc66e894d806,Akali,Lee Sin,Thresh,Twisted Fate,Kai'Sa,Caitlyn,,,,,,2320,0,4,4,5,17,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4397,0.931,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,17524.0,453.2069,0.238276,731.0431,565.9138,15.0,0.3879,11.0,0.2845,5.0,47.0,1.2155,13666,8658.0,223.9138,0.218791,12325.0,,,253.0,252.0,1.0,,,6.5431,3075.0,4171.0,72.0,4382.0,4924.0,87.0,-1307.0,-753.0,-15.0,0.0,1.0,1.0,2.0,0.0,1.0,4711.0,6976.0,116.0,6286.0,7367.0,131.0,-1575.0,-391.0,-15.0,0.0,2.0,1.0,2.0,1.0,2.0,6546.0,9135.0,143.0,7859.0,9314.0,172.0,-1313.0,-179.0,-29.0,2.0,4.0,1.0,2.0,1.0,4.0,8724.0,12572.0,172.0,9678.0,11141.0,202.0,-954.0,1431.0,-30.0,3.0,5.0,2.0,3.0,1.0,5.0
ESPORTSTMNT01_2695708,complete,,CBLOL,2022,Split 1,0,2022-01-22 15:43:50,1,12.01,7,Red,jng,Ranger,oe:player:b23f665210a1914cab61bc8eba4c9ae,FURIA,oe:team:87e3e1e75839f75a10bbc66e894d806,Xin Zhao,Lee Sin,Thresh,Twisted Fate,Kai'Sa,Caitlyn,,,,,,2320,0,5,3,8,17,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4397,0.931,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,0.0,0.0,15336.0,396.6207,0.208525,1248.4914,902.3793,15.0,0.3879,16.0,0.4138,16.0,62.0,1.6034,12657,7649.0,197.819,0.193293,12575.0,,,191.0,52.0,139.0,,,4.9397,3322.0,2895.0,48.0,3173.0,3310.0,63.0,149.0,-415.0,-15.0,2.0,0.0,1.0,0.0,1.0,1.0,4812.0,5285.0,82.0,5191.0,5497.0,88.0,-379.0,-212.0,-6.0,2.0,0.0,1.0,1.0,1.0,1.0,6539.0,7551.0,106.0,7115.0,7969.0,119.0,-576.0,-418.0,-13.0,3.0,4.0,1.0,2.0,1.0,1.0,8215.0,9660.0,127.0,9506.0,10201.0,147.0,-1291.0,-541.0,-20.0,4.0,4.0,2.0,4.0,1.0,1.0
ESPORTSTMNT01_2695708,complete,,CBLOL,2022,Split 1,0,2022-01-22 15:43:50,1,12.01,8,Red,mid,Envy,oe:player:a672b5bc1c212a6922418fad18734c1,FURIA,oe:team:87e3e1e75839f75a10bbc66e894d806,Orianna,Lee Sin,Thresh,Twisted Fate,Kai'Sa,Caitlyn,,,,,,2320,0,4,4,8,17,19,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.4397,0.931,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,16558.0,428.2241,0.225141,478.6034,253.0603,18.0,0.4655,8.0,0.2069,6.0,55.0,1.4224,14776,9768.0,252.6207,0.246841,14160.0,,,306.0,254.0,52.0,,,7.9138,3772.0,4899.0,92.0,3392.0,4836.0,93.0,380.0,63.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,6305.0,8281.0,153.0,5725.0,7482.0,149.0,580.0,799.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,8386.0,10938.0,198.0,7805.0,9411.0,189.0,581.0,1527.0,9.0,3.0,3.0,1.0,0.0,1.0,0.0,10416.0,13870.0,236.0,9869.0,12279.0,222.0,547.0,1591.0,14.0,3.0,5.0,2.0,1.0,4.0,1.0
ESPORTSTMNT01_2695708,complete,,CBLOL,2022,Split 1,0,2022-01-22 15:43:50,1,12.01,9,Red,bot,Netuno,oe:player:85c460fea615911b6075e0968b63db1,FURIA,oe:team:87e3e1e75839f75a10bbc66e894d806,Jhin,Lee Sin,Thresh,Twisted Fate,Kai'Sa,Caitlyn,,,,,,2320,0,3,4,7,17,19,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4397,0.931,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,1.0,19553.0,505.681,0.265864,539.0431,222.8276,14.0,0.3621,12.0,0.3103,6.0,44.0,1.1379,15105,10097.0,261.1293,0.255155,13550.0,,,329.0,279.0,50.0,,,8.5086,3254.0,3372.0,83.0,3195.0,3655.0,85.0,59.0,-283.0,-2.0,0.0,2.0,0.0,0.0,0.0,0.0,5077.0,5516.0,133.0,5438.0,6228.0,133.0,-361.0,-712.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,7113.0,7296.0,171.0,7118.0,8191.0,174.0,-5.0,-895.0,-3.0,1.0,5.0,2.0,1.0,0.0,1.0,9297.0,9978.0,214.0,9560.0,11674.0,226.0,-263.0,-1696.0,-12.0,1.0,7.0,3.0,2.0,2.0,1.0
ESPORTSTMNT01_2695708,complete,,CBLOL,2022,Split 1,0,2022-01-22 15:43:50,1,12.01,10,Red,sup,RedBert,oe:player:0c041d02ab7138f57164fafbc091b2d,FURIA,oe:team:87e3e1e75839f75a10bbc66e894d806,Leona,Lee Sin,Thresh,Twisted Fate,Kai'Sa,Caitlyn,,,,,,2320,0,1,4,9,17,19,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4397,0.931,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,4574.0,118.2931,0.0621932,440.6638,608.9741,76.0,1.9655,22.0,0.569,24.0,122.0,3.1552,8408,3400.0,87.931,0.0859193,8250.0,,,46.0,46.0,0.0,,,1.1897,2218.0,2115.0,15.0,2147.0,1987.0,14.0,71.0,128.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,3383.0,3298.0,27.0,3307.0,3331.0,21.0,76.0,-33.0,6.0,0.0,2.0,0.0,0.0,2.0,1.0,4462.0,4853.0,32.0,4364.0,4135.0,24.0,98.0,718.0,8.0,0.0,6.0,0.0,0.0,2.0,3.0,6095.0,6940.0,41.0,5652.0,6485.0,30.0,443.0,455.0,11.0,1.0,6.0,1.0,0.0,5.0,4.0
