gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT03_3086917,complete,,CBLOLA,2023,Split 1,0,2023-01-23 20:14:15,1,13.01,1,Blue,top,Makes,oe:player:8ceaf547caa0fdb71e782a23465ff39,LOUD Academy,oe:team:611801d741d02f705ab3433a71ce43f,K'Sante,Fiora,Gwen,Wukong,Olaf,Renekton,,,,,,2120,0,4,4,1,10,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.283,1.1038,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,1.0,17559.0,496.9528,0.24008,853.3868,1495.4717,11.0,0.3113,5.0,0.1415,5.0,30.0,0.8491,12339,7739,219.0283,0.247145,11375.0,,,256.0,252.0,4.0,,,7.2453,3530.0,4867.0,85.0,3593.0,5141.0,89.0,-63.0,-274.0,-4.0,1.0,0.0,1.0,1.0,0.0,1.0,5167.0,7362.0,133.0,5620.0,7729.0,132.0,-453.0,-367.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,7582.0,10030.0,180.0,8014.0,10914.0,192.0,-432.0,-884.0,-12.0,2.0,0.0,1.0,2.0,0.0,1.0,9276.0,11318.0,202.0,9989.0,13124.0,213.0,-713.0,-1806.0,-11.0,3.0,0.0,2.0,3.0,2.0,2.0
ESPORTSTMNT03_3086917,complete,,CBLOLA,2023,Split 1,0,2023-01-23 20:14:15,1,13.01,2,Blue,jng,Mousty,oe:player:df71d02acccb4913bc5b374d4551079,LOUD Academy,oe:team:611801d741d02f705ab3433a71ce43f,Jarvan IV,Fiora,Gwen,Wukong,Olaf,Renekton,,,,,,2120,0,3,6,4,10,29,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.283,1.1038,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,0.0,0.0,6742.0,190.8113,0.0921819,1055.8019,1512.7358,9.0,0.2547,7.0,0.1981,11.0,38.0,1.0755,9768,5168,146.2642,0.165036,9625.0,,,114.0,22.0,92.0,,,3.2264,3630.0,3205.0,58.0,3063.0,3351.0,66.0,567.0,-146.0,-8.0,1.0,0.0,0.0,0.0,0.0,0.0,4990.0,4302.0,71.0,4411.0,5179.0,93.0,579.0,-877.0,-22.0,2.0,0.0,1.0,0.0,1.0,0.0,6484.0,6476.0,92.0,5960.0,7601.0,121.0,524.0,-1125.0,-29.0,2.0,1.0,1.0,0.0,1.0,0.0,7461.0,7802.0,103.0,8029.0,10325.0,140.0,-568.0,-2523.0,-37.0,2.0,2.0,2.0,0.0,4.0,0.0
ESPORTSTMNT03_3086917,complete,,CBLOLA,2023,Split 1,0,2023-01-23 20:14:15,1,13.01,3,Blue,mid,Tutsz,oe:player:886e8205ac1b091dbf67dbae83b1544,LOUD Academy,oe:team:611801d741d02f705ab3433a71ce43f,Sylas,Fiora,Gwen,Wukong,Olaf,Renekton,,,,,,2120,0,1,4,6,10,29,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.283,1.1038,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,19112.0,540.9057,0.261314,967.7264,577.5849,10.0,0.283,4.0,0.1132,7.0,36.0,1.0189,11957,7357,208.217,0.234945,11325.0,,,258.0,250.0,8.0,,,7.3019,3406.0,4693.0,81.0,3406.0,4856.0,76.0,0.0,-163.0,5.0,0.0,1.0,0.0,1.0,1.0,1.0,5111.0,7133.0,125.0,5960.0,8025.0,131.0,-849.0,-892.0,-6.0,0.0,2.0,0.0,4.0,1.0,1.0,7018.0,9804.0,171.0,7549.0,10068.0,167.0,-531.0,-264.0,4.0,0.0,3.0,0.0,4.0,1.0,2.0,8520.0,11820.0,201.0,10012.0,12887.0,188.0,-1492.0,-1067.0,13.0,0.0,4.0,1.0,7.0,2.0,3.0
ESPORTSTMNT03_3086917,complete,,CBLOLA,2023,Split 1,0,2023-01-23 20:14:15,1,13.01,4,Blue,bot,Beenie,oe:player:81672fafdf160235f5c96b5956ae3bc,LOUD Academy,oe:team:611801d741d02f705ab3433a71ce43f,Lucian,Fiora,Gwen,Wukong,Olaf,Renekton,,,,,,2120,0,2,6,3,10,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.283,1.1038,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,0.0,0.0,23584.0,667.4717,0.322459,684.9906,285.9906,17.0,0.4811,8.0,0.2264,7.0,45.0,1.2736,13350,8750,247.6415,0.279433,12925.0,,,282.0,259.0,23.0,,,7.9811,3159.0,2932.0,77.0,3216.0,3122.0,76.0,-57.0,-190.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4465.0,4436.0,109.0,5194.0,5551.0,122.0,-729.0,-1115.0,-13.0,0.0,0.0,1.0,0.0,3.0,0.0,7369.0,7216.0,161.0,7770.0,7585.0,181.0,-401.0,-369.0,-20.0,1.0,0.0,1.0,0.0,3.0,0.0,9365.0,9458.0,193.0,9921.0,10184.0,207.0,-556.0,-726.0,-14.0,2.0,1.0,2.0,1.0,4.0,0.0
ESPORTSTMNT03_3086917,complete,,CBLOLA,2023,Split 1,0,2023-01-23 20:14:15,1,13.01,5,Blue,sup,Vahvel,oe:player:73124aed8e061dafd713df6285a137a,LOUD Academy,oe:team:611801d741d02f705ab3433a71ce43f,Soraka,Fiora,Gwen,Wukong,Olaf,Renekton,,,,,,2120,0,0,9,5,10,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.283,1.1038,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,6141.0,173.8019,0.0839646,568.7264,132.6792,51.0,1.4434,13.0,0.3679,12.0,93.0,2.6321,6900,2300,65.0943,0.0734415,6850.0,,,14.0,14.0,0.0,,,0.3962,2097.0,2330.0,2.0,2572.0,2432.0,3.0,-475.0,-102.0,-1.0,0.0,0.0,1.0,0.0,1.0,0.0,3019.0,2874.0,4.0,3656.0,3263.0,4.0,-637.0,-389.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,4151.0,4054.0,7.0,4810.0,4511.0,7.0,-659.0,-457.0,0.0,0.0,1.0,3.0,0.0,3.0,2.0,5108.0,5774.0,10.0,6170.0,6370.0,9.0,-1062.0,-596.0,1.0,0.0,3.0,4.0,0.0,5.0,2.0
ESPORTSTMNT03_3086917,complete,,CBLOLA,2023,Split 1,0,2023-01-23 20:14:15,1,13.01,6,Red,top,Yupps,oe:player:ecdb594501a5800ad0f5c4e6b3b5a84,paiN Gaming Academy,oe:team:3cb9dbe9618f5c61765f4ff189e79a9,Gnar,Yuumi,Ryze,Heimerdinger,Sejuani,Vi,,,,,,2120,1,6,4,7,29,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8208,1.1038,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,1.0,0.0,22431.0,634.8396,0.191011,733.0472,647.8302,9.0,0.2547,6.0,0.1698,3.0,30.0,0.8491,14255,9655,273.2547,0.211483,14408.0,,,255.0,248.0,7.0,,,7.217,3593.0,5141.0,89.0,3530.0,4867.0,85.0,63.0,274.0,4.0,1.0,0.0,1.0,1.0,0.0,1.0,5620.0,7729.0,132.0,5167.0,7362.0,133.0,453.0,367.0,-1.0,2.0,0.0,1.0,1.0,0.0,1.0,8014.0,10914.0,192.0,7582.0,10030.0,180.0,432.0,884.0,12.0,2.0,0.0,1.0,2.0,0.0,1.0,9989.0,13124.0,213.0,9276.0,11318.0,202.0,713.0,1806.0,11.0,3.0,2.0,2.0,3.0,0.0,2.0
ESPORTSTMNT03_3086917,complete,,CBLOLA,2023,Split 1,0,2023-01-23 20:14:15,1,13.01,7,Red,jng,Anato,oe:player:2dae6d22ec7b1db7906a0c24b0939b1,paiN Gaming Academy,oe:team:3cb9dbe9618f5c61765f4ff189e79a9,Maokai,Yuumi,Ryze,Heimerdinger,Sejuani,Vi,,,,,,2120,1,1,1,17,29,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8208,1.1038,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,0.0,0.0,23554.0,666.6226,0.200574,902.434,818.8585,12.0,0.3396,10.0,0.283,10.0,53.0,1.5,12930,8330,235.7547,0.182459,11720.0,,,179.0,22.0,157.0,,,5.066,3063.0,3351.0,66.0,3630.0,3205.0,58.0,-567.0,146.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,4411.0,5179.0,93.0,4990.0,4302.0,71.0,-579.0,877.0,22.0,0.0,1.0,0.0,2.0,0.0,1.0,5960.0,7601.0,121.0,6484.0,6476.0,92.0,-524.0,1125.0,29.0,0.0,1.0,0.0,2.0,1.0,1.0,8029.0,10325.0,140.0,7461.0,7802.0,103.0,568.0,2523.0,37.0,0.0,4.0,0.0,2.0,2.0,2.0
ESPORTSTMNT03_3086917,complete,,CBLOLA,2023,Split 1,0,2023-01-23 20:14:15,1,13.01,8,Red,mid,Qats,oe:player:95496721c429ee19a2a9bd9c4321e95,paiN Gaming Academy,oe:team:3cb9dbe9618f5c61765f4ff189e79a9,Akali,Yuumi,Ryze,Heimerdinger,Sejuani,Vi,,,,,,2120,1,13,3,6,29,10,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8208,1.1038,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,38360.0,1085.6604,0.326654,843.6226,559.5283,12.0,0.3396,3.0,0.0849,6.0,44.0,1.2453,14928,10328,292.3019,0.226224,14900.0,,,247.0,239.0,8.0,,,6.9906,3406.0,4856.0,76.0,3406.0,4693.0,81.0,0.0,163.0,-5.0,1.0,1.0,1.0,0.0,1.0,0.0,5960.0,8025.0,131.0,5111.0,7133.0,125.0,849.0,892.0,6.0,4.0,1.0,1.0,0.0,2.0,0.0,7549.0,10068.0,167.0,7018.0,9804.0,171.0,531.0,264.0,-4.0,4.0,1.0,2.0,0.0,3.0,0.0,10012.0,12887.0,188.0,8520.0,11820.0,201.0,1492.0,1067.0,-13.0,7.0,2.0,3.0,0.0,4.0,1.0
ESPORTSTMNT03_3086917,complete,,CBLOLA,2023,Split 1,0,2023-01-23 20:14:15,1,13.01,9,Red,bot,kksh,oe:player:c48e4a08340904258e9f5e8cdb1315c,paiN Gaming Academy,oe:team:3cb9dbe9618f5c61765f4ff189e79a9,Varus,Yuumi,Ryze,Heimerdinger,Sejuani,Vi,,,,,,2120,1,8,0,9,29,10,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8208,1.1038,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,0.0,0.0,23000.0,650.9434,0.195856,397.8679,334.8962,15.0,0.4245,11.0,0.3113,6.0,48.0,1.3585,16850,12250,346.6981,0.268326,14650.0,,,305.0,268.0,37.0,,,8.6321,3216.0,3122.0,76.0,3159.0,2932.0,77.0,57.0,190.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,5194.0,5551.0,122.0,4465.0,4436.0,109.0,729.0,1115.0,13.0,0.0,3.0,0.0,0.0,0.0,1.0,7770.0,7585.0,181.0,7369.0,7216.0,161.0,401.0,369.0,20.0,0.0,3.0,0.0,1.0,0.0,1.0,9921.0,10184.0,207.0,9365.0,9458.0,193.0,556.0,726.0,14.0,1.0,4.0,0.0,2.0,1.0,2.0
ESPORTSTMNT03_3086917,complete,,CBLOLA,2023,Split 1,0,2023-01-23 20:14:15,1,13.01,10,Red,sup,Griba,oe:player:031cdb3ed738ad5aa478cbf13baecae,paiN Gaming Academy,oe:team:3cb9dbe9618f5c61765f4ff189e79a9,Nami,Yuumi,Ryze,Heimerdinger,Sejuani,Vi,,,,,,2120,1,1,2,19,29,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8208,1.1038,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,10088.0,285.5094,0.0859043,276.3396,130.9811,56.0,1.5849,11.0,0.3113,14.0,101.0,2.8585,9691,5091,144.0849,0.111509,8700.0,,,14.0,14.0,0.0,,,0.3962,2572.0,2432.0,3.0,2097.0,2330.0,2.0,475.0,102.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3656.0,3263.0,4.0,3019.0,2874.0,4.0,637.0,389.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,4810.0,4511.0,7.0,4151.0,4054.0,7.0,659.0,457.0,0.0,0.0,3.0,2.0,0.0,1.0,3.0,6170.0,6370.0,9.0,5108.0,5774.0,10.0,1062.0,596.0,-1.0,0.0,5.0,2.0,0.0,3.0,4.0
