gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT05_3150366,complete,,CDF,2022,,1,2022-10-17 15:12:41,1,12.18,1,Blue,top,Deimos,oe:player:c722408a339132fbd6c940cf10325fd,Atletec,oe:team:e0ec1fed6e0949a0aef5f506ccb76ce,Aatrox,Sylas,Jarvan IV,Karma,Miss Fortune,Lucian,,,,,,2355,1,1,3,11,26,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6624,1.0191,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,1.0,0.0,25821.0,657.8599,0.193555,1303.1338,1210.4204,19.0,0.4841,6.0,0.1529,9.0,37.0,0.9427,13279,8199.0,208.8917,0.178232,12125.0,,,250.0,234.0,16.0,,,6.3694,2912.0,4825.0,69.0,3213.0,4655.0,81.0,-301.0,170.0,-12.0,0.0,0.0,1.0,0.0,1.0,0.0,4340.0,7061.0,102.0,5036.0,6228.0,112.0,-696.0,833.0,-10.0,0.0,1.0,1.0,0.0,1.0,1.0,5858.0,9298.0,143.0,6836.0,9018.0,167.0,-978.0,280.0,-24.0,0.0,1.0,1.0,0.0,1.0,1.0,7519.0,11814.0,180.0,10158.0,11952.0,215.0,-2639.0,-138.0,-35.0,0.0,3.0,2.0,2.0,2.0,2.0
ESPORTSTMNT05_3150366,complete,,CDF,2022,,1,2022-10-17 15:12:41,1,12.18,2,Blue,jng,Boukada,oe:player:b137ce57a15794ffac86eaeff085326,Atletec,oe:team:e0ec1fed6e0949a0aef5f506ccb76ce,Viego,Sylas,Jarvan IV,Karma,Miss Fortune,Lucian,,,,,,2355,1,12,1,10,26,14,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6624,1.0191,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,0.0,0.0,22502.0,573.2994,0.168676,1063.1083,1206.8025,7.0,0.1783,11.0,0.2803,21.0,54.0,1.3758,15755,10675.0,271.9745,0.232054,14900.0,,,209.0,27.0,182.0,,,5.3248,3827.0,3828.0,67.0,3251.0,3451.0,51.0,576.0,377.0,16.0,2.0,0.0,0.0,1.0,0.0,0.0,5321.0,5606.0,92.0,5268.0,5302.0,80.0,53.0,304.0,12.0,3.0,0.0,1.0,1.0,1.0,0.0,7339.0,8558.0,137.0,6870.0,7430.0,113.0,469.0,1128.0,24.0,4.0,0.0,1.0,1.0,1.0,0.0,9780.0,11092.0,161.0,8758.0,9516.0,141.0,1022.0,1576.0,20.0,7.0,1.0,1.0,2.0,4.0,0.0
ESPORTSTMNT05_3150366,complete,,CDF,2022,,1,2022-10-17 15:12:41,1,12.18,3,Blue,mid,Simpli,oe:player:58d68cedf0a0b1b3d7d9646f5f9e8d3,Atletec,oe:team:e0ec1fed6e0949a0aef5f506ccb76ce,Azir,Sylas,Jarvan IV,Karma,Miss Fortune,Lucian,,,,,,2355,1,5,2,14,26,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6624,1.0191,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,36134.0,920.6115,0.270861,514.7261,427.0064,20.0,0.5096,16.0,0.4076,8.0,57.0,1.4522,16660,11580.0,295.0318,0.251727,16550.0,,,338.0,295.0,43.0,,,8.6115,3380.0,5031.0,86.0,3153.0,4528.0,83.0,227.0,503.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,5104.0,7972.0,140.0,5018.0,7395.0,138.0,86.0,577.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,6886.0,10438.0,191.0,6708.0,9307.0,169.0,178.0,1131.0,22.0,0.0,1.0,0.0,1.0,0.0,2.0,8593.0,12686.0,227.0,8352.0,11947.0,205.0,241.0,739.0,22.0,0.0,4.0,1.0,1.0,1.0,3.0
ESPORTSTMNT05_3150366,complete,,CDF,2022,,1,2022-10-17 15:12:41,1,12.18,4,Blue,bot,Jujutw0,oe:player:fcde380e70501a72fdaf35a8b2b2986,Atletec,oe:team:e0ec1fed6e0949a0aef5f506ccb76ce,Ashe,Sylas,Jarvan IV,Karma,Miss Fortune,Lucian,,,,,,2355,1,8,4,15,26,14,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6624,1.0191,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,1.0,0.0,40333.0,1027.5924,0.302337,447.6433,258.293,16.0,0.4076,13.0,0.3312,7.0,68.0,1.7325,17554,12474.0,317.8089,0.271161,16475.0,,,336.0,311.0,25.0,,,8.5605,3380.0,3336.0,87.0,3230.0,3143.0,86.0,150.0,193.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5120.0,5078.0,141.0,5188.0,5419.0,142.0,-68.0,-341.0,-1.0,0.0,1.0,0.0,0.0,1.0,0.0,6964.0,7723.0,191.0,7385.0,7921.0,200.0,-421.0,-198.0,-9.0,0.0,2.0,1.0,0.0,1.0,0.0,9274.0,9940.0,235.0,9501.0,10001.0,233.0,-227.0,-61.0,2.0,1.0,5.0,2.0,1.0,3.0,1.0
ESPORTSTMNT05_3150366,complete,,CDF,2022,,1,2022-10-17 15:12:41,1,12.18,5,Blue,sup,Aku,oe:player:d090cd8c2462e31136c02dbebdbcc2d,Atletec,oe:team:e0ec1fed6e0949a0aef5f506ccb76ce,Amumu,Sylas,Jarvan IV,Karma,Miss Fortune,Lucian,,,,,,2355,1,0,4,12,26,14,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6624,1.0191,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,8614.0,219.465,0.0645708,572.8408,532.9427,54.0,1.3758,8.0,0.2038,8.0,99.0,2.5223,8154,3074.0,78.3185,0.0668261,7550.0,,,30.0,30.0,0.0,,,0.7643,2179.0,2289.0,14.0,2030.0,2568.0,14.0,149.0,-279.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3251.0,4044.0,23.0,3617.0,4068.0,19.0,-366.0,-24.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,4148.0,4967.0,25.0,4572.0,4964.0,25.0,-424.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,5035.0,6460.0,27.0,5624.0,6616.0,26.0,-589.0,-156.0,1.0,0.0,4.0,1.0,1.0,3.0,2.0
ESPORTSTMNT05_3150366,complete,,CDF,2022,,1,2022-10-17 15:12:41,1,12.18,6,Red,top,Wylenz,oe:player:60aff1184bec1d2b2efdae84f5b6e3e,Joblife,oe:team:7380b73561abdd86c2391e9481acd4b,Fiora,Yuumi,Graves,Maokai,Poppy,Zilean,,,,,,2355,0,3,4,4,14,26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3567,1.0191,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,1.0,31412.0,800.3057,0.273345,1124.5096,1347.5414,13.0,0.3312,11.0,0.2803,9.0,40.0,1.0191,16122,11042.0,281.3248,0.267075,15875.0,,,339.0,319.0,20.0,,,8.6369,3213.0,4655.0,81.0,2912.0,4825.0,69.0,301.0,-170.0,12.0,0.0,1.0,0.0,0.0,0.0,1.0,5036.0,6228.0,112.0,4340.0,7061.0,102.0,696.0,-833.0,10.0,0.0,1.0,1.0,0.0,1.0,1.0,6836.0,9018.0,167.0,5858.0,9298.0,143.0,978.0,-280.0,24.0,0.0,1.0,1.0,0.0,1.0,1.0,10158.0,11952.0,215.0,7519.0,11814.0,180.0,2639.0,138.0,35.0,2.0,2.0,2.0,0.0,3.0,2.0
ESPORTSTMNT05_3150366,complete,,CDF,2022,,1,2022-10-17 15:12:41,1,12.18,7,Red,jng,Migab,oe:player:c9e35316a1d046a1b21a03ce556b5ae,Joblife,oe:team:7380b73561abdd86c2391e9481acd4b,Sejuani,Yuumi,Graves,Maokai,Poppy,Zilean,,,,,,2355,0,2,5,9,14,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3567,1.0191,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,0.0,0.0,16350.0,416.5605,0.142277,1000.7898,1609.4268,8.0,0.2038,18.0,0.4586,6.0,54.0,1.3758,11986,6906.0,175.949,0.167038,10750.0,,,183.0,36.0,147.0,,,4.6624,3251.0,3451.0,51.0,3827.0,3828.0,67.0,-576.0,-377.0,-16.0,1.0,0.0,0.0,2.0,0.0,0.0,5268.0,5302.0,80.0,5321.0,5606.0,92.0,-53.0,-304.0,-12.0,1.0,1.0,0.0,3.0,0.0,1.0,6870.0,7430.0,113.0,7339.0,8558.0,137.0,-469.0,-1128.0,-24.0,1.0,1.0,0.0,4.0,0.0,1.0,8758.0,9516.0,141.0,9780.0,11092.0,161.0,-1022.0,-1576.0,-20.0,2.0,4.0,0.0,7.0,1.0,1.0
ESPORTSTMNT05_3150366,complete,,CDF,2022,,1,2022-10-17 15:12:41,1,12.18,8,Red,mid,Serendip,oe:player:4ff58ae301895bd4bbf88fa8fad2b75,Joblife,oe:team:7380b73561abdd86c2391e9481acd4b,Akali,Yuumi,Graves,Maokai,Poppy,Zilean,,,,,,2355,0,4,8,3,14,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3567,1.0191,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,26677.0,679.6688,0.232141,1005.758,843.2866,13.0,0.3312,8.0,0.2038,13.0,31.0,0.7898,13107,8027.0,204.5096,0.194152,13325.0,,,256.0,248.0,8.0,,,6.5223,3153.0,4528.0,83.0,3380.0,5031.0,86.0,-227.0,-503.0,-3.0,0.0,0.0,1.0,0.0,1.0,0.0,5018.0,7395.0,138.0,5104.0,7972.0,140.0,-86.0,-577.0,-2.0,0.0,0.0,1.0,0.0,1.0,0.0,6708.0,9307.0,169.0,6886.0,10438.0,191.0,-178.0,-1131.0,-22.0,1.0,0.0,2.0,0.0,1.0,0.0,8352.0,11947.0,205.0,8593.0,12686.0,227.0,-241.0,-739.0,-22.0,1.0,1.0,3.0,0.0,4.0,1.0
ESPORTSTMNT05_3150366,complete,,CDF,2022,,1,2022-10-17 15:12:41,1,12.18,9,Red,bot,Seelame,oe:player:ae1ff54dadd99e50982a3b18a489389,Joblife,oe:team:7380b73561abdd86c2391e9481acd4b,Ezreal,Yuumi,Graves,Maokai,Poppy,Zilean,,,,,,2355,0,4,4,6,14,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3567,1.0191,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,1.0,36365.0,926.4968,0.316446,439.7707,249.8089,18.0,0.4586,19.0,0.4841,5.0,56.0,1.4268,17293,12213.0,311.1592,0.295397,17005.0,,,372.0,351.0,21.0,,,9.4777,3230.0,3143.0,86.0,3380.0,3336.0,87.0,-150.0,-193.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,5188.0,5419.0,142.0,5120.0,5078.0,141.0,68.0,341.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,7385.0,7921.0,200.0,6964.0,7723.0,191.0,421.0,198.0,9.0,0.0,1.0,0.0,0.0,2.0,1.0,9501.0,10001.0,233.0,9274.0,9940.0,235.0,227.0,61.0,-2.0,1.0,3.0,1.0,1.0,5.0,2.0
ESPORTSTMNT05_3150366,complete,,CDF,2022,,1,2022-10-17 15:12:41,1,12.18,10,Red,sup,Benaset,oe:player:e52cd39655258ab5bd6cff89b32ea07,Joblife,oe:team:7380b73561abdd86c2391e9481acd4b,Alistar,Yuumi,Graves,Maokai,Poppy,Zilean,,,,,,2355,0,1,5,7,14,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3567,1.0191,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,4113.0,104.7898,0.0357911,556.4586,1054.4713,65.0,1.6561,8.0,0.2038,17.0,103.0,2.6242,8236,3156.0,80.4076,0.0763381,7725.0,,,31.0,31.0,0.0,,,0.7898,2030.0,2568.0,14.0,2179.0,2289.0,14.0,-149.0,279.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3617.0,4068.0,19.0,3251.0,4044.0,23.0,366.0,24.0,-4.0,1.0,0.0,1.0,0.0,1.0,0.0,4572.0,4964.0,25.0,4148.0,4967.0,25.0,424.0,-3.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,5624.0,6616.0,26.0,5035.0,6460.0,27.0,589.0,156.0,-1.0,1.0,3.0,2.0,0.0,4.0,1.0
