gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT01/80129,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/80129?gameHash=de1d80d28c18f191,CISC,2017,Spring,0,2017-01-31 14:12:18,1,7.02,1,Blue,top,nekitivus,oe:player:e5d2ee09b07172de33507e95f7f47bd,Team Just Challenger,oe:team:a0c61d7b8ea9386318c01e0d5204a54,Camille,Varus,Jhin,Elise,Orianna,Ashe,,,,,,3123,1,4,4,11,26,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4995,0.6916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,33196.0,637.7714,0.255745,1064.5725,0.0,27.0,0.5187,4.0,0.0768,2.0,0.0,0.0,19472.0,12846.0,246.8012,0.196641,18183.0,,,390.0,389.0,1.0,0.0,1.0,7.4928,3038.0,4640.0,76.0,3294.0,4728.0,90.0,-256.0,-88.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,4555.0,7016.0,117.0,4887.0,7330.0,138.0,-332.0,-314.0,-21.0,0.0,0.0,0.0,0.0,0.0,0.0,6349.0,9106.0,152.0,7143.0,9624.0,174.0,-794.0,-518.0,-22.0,0.0,1.0,1.0,2.0,1.0,1.0,8059.0,11649.0,196.0,9048.0,12542.0,230.0,-989.0,-893.0,-34.0,0.0,1.0,1.0,2.0,1.0,1.0
ESPORTSTMNT01/80129,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/80129?gameHash=de1d80d28c18f191,CISC,2017,Spring,0,2017-01-31 14:12:18,1,7.02,2,Blue,jng,JSC Weds,,Team Just Challenger,oe:team:a0c61d7b8ea9386318c01e0d5204a54,Rek'Sai,Varus,Jhin,Elise,Orianna,Ashe,,,,,,3123,1,0,2,12,26,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4995,0.6916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,13286.0,255.2546,0.102357,1207.2238,0.0,40.0,0.7685,21.0,0.4035,6.0,0.0,0.0,18429.0,11803.0,226.7627,0.180676,16525.0,,,305.0,106.0,199.0,130.0,69.0,5.8598,3301.0,3905.0,60.0,2915.0,3481.0,52.0,386.0,424.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,5075.0,6456.0,104.0,4183.0,5446.0,70.0,892.0,1010.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,7039.0,8759.0,132.0,6188.0,8561.0,100.0,851.0,198.0,32.0,0.0,1.0,0.0,0.0,1.0,0.0,8485.0,10735.0,173.0,7886.0,10646.0,139.0,599.0,89.0,34.0,0.0,1.0,0.0,0.0,1.0,0.0
ESPORTSTMNT01/80129,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/80129?gameHash=de1d80d28c18f191,CISC,2017,Spring,0,2017-01-31 14:12:18,1,7.02,3,Blue,mid,Remus,oe:player:7fbd2bacebc185108c6769862ab0b98,Team Just Challenger,oe:team:a0c61d7b8ea9386318c01e0d5204a54,Syndra,Varus,Jhin,Elise,Orianna,Ashe,,,,,,3123,1,5,0,10,26,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4995,0.6916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,31577.0,606.6667,0.243272,304.6494,0.0,21.0,0.4035,8.0,0.1537,2.0,0.0,0.0,23441.0,16815.0,323.0548,0.257398,18800.0,,,563.0,529.0,34.0,25.0,9.0,10.8165,3336.0,4833.0,89.0,3537.0,5215.0,98.0,-201.0,-382.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,5114.0,7966.0,142.0,5353.0,8071.0,151.0,-239.0,-105.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,7038.0,10211.0,177.0,7398.0,10895.0,202.0,-360.0,-684.0,-25.0,1.0,0.0,0.0,0.0,0.0,0.0,9133.0,13145.0,244.0,9061.0,13265.0,252.0,72.0,-120.0,-8.0,1.0,0.0,0.0,0.0,0.0,0.0
ESPORTSTMNT01/80129,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/80129?gameHash=de1d80d28c18f191,CISC,2017,Spring,0,2017-01-31 14:12:18,1,7.02,4,Blue,bot,Coldfeeling,oe:player:71c71f10c0501d9a65d06e0b90b24a5,Team Just Challenger,oe:team:a0c61d7b8ea9386318c01e0d5204a54,Miss Fortune,Varus,Jhin,Elise,Orianna,Ashe,,,,,,3123,1,15,2,4,26,10,4.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.4995,0.6916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,40540.0,778.8665,0.312324,469.8175,0.0,16.0,0.3074,8.0,0.1537,1.0,0.0,0.0,21934.0,15308.0,294.1018,0.234329,18995.0,,,380.0,377.0,3.0,2.0,1.0,7.3007,3179.0,3021.0,90.0,3071.0,2926.0,79.0,108.0,95.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,5297.0,5315.0,145.0,4629.0,4757.0,124.0,668.0,558.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,7404.0,7272.0,189.0,7212.0,7173.0,175.0,192.0,99.0,14.0,1.0,1.0,1.0,1.0,2.0,0.0,8838.0,8932.0,225.0,9076.0,9079.0,232.0,-238.0,-147.0,-7.0,1.0,1.0,1.0,1.0,2.0,0.0
ESPORTSTMNT01/80129,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/80129?gameHash=de1d80d28c18f191,CISC,2017,Spring,0,2017-01-31 14:12:18,1,7.02,5,Blue,sup,JSC Kiss Shot,,Team Just Challenger,oe:team:a0c61d7b8ea9386318c01e0d5204a54,Karma,Varus,Jhin,Elise,Orianna,Ashe,,,,,,3123,1,2,2,16,26,10,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4995,0.6916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,11202.0,215.2161,0.0863013,396.0038,0.0,58.0,1.1143,16.0,0.3074,10.0,0.0,0.0,15181.0,8555.0,164.3612,0.130956,14100.0,,,43.0,43.0,0.0,0.0,0.0,0.8261,1735.0,2815.0,3.0,1944.0,2768.0,2.0,-209.0,47.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2961.0,4737.0,14.0,3118.0,4393.0,6.0,-157.0,344.0,8.0,0.0,1.0,0.0,0.0,0.0,1.0,4567.0,5882.0,17.0,4787.0,6099.0,12.0,-220.0,-217.0,5.0,0.0,1.0,1.0,0.0,2.0,1.0,5560.0,7692.0,21.0,6006.0,8117.0,20.0,-446.0,-425.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0
ESPORTSTMNT01/80129,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/80129?gameHash=de1d80d28c18f191,CISC,2017,Spring,0,2017-01-31 14:12:18,1,7.02,6,Red,top,BloodFenix,oe:player:1dbac7b75044b033cf92c34f83362d9,Dolphins,oe:team:8f3490a556855787a9949347ae9b834,Fiora,LeBlanc,Rengar,,Malzahar,Lulu,,,,,,3123,0,3,9,4,10,26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1921,0.6916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,39362.0,756.2344,0.267389,1129.7791,0.0,23.0,0.4419,2.0,0.0384,1.0,0.0,0.0,20625.0,13999.0,268.9529,0.22215,21975.0,,,454.0,441.0,13.0,1.0,12.0,8.7224,3294.0,4728.0,90.0,3038.0,4640.0,76.0,256.0,88.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,4887.0,7330.0,138.0,4555.0,7016.0,117.0,332.0,314.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,7143.0,9624.0,174.0,6349.0,9106.0,152.0,794.0,518.0,22.0,2.0,1.0,1.0,0.0,1.0,1.0,9048.0,12542.0,230.0,8059.0,11649.0,196.0,989.0,893.0,34.0,2.0,1.0,1.0,0.0,1.0,1.0
ESPORTSTMNT01/80129,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/80129?gameHash=de1d80d28c18f191,CISC,2017,Spring,0,2017-01-31 14:12:18,1,7.02,7,Red,jng,Lasagna,oe:player:1cbe9b380d6040e3c4d49d5422bd70f,Dolphins,oe:team:8f3490a556855787a9949347ae9b834,Kha'Zix,LeBlanc,Rengar,,Malzahar,Lulu,,,,,,3123,0,0,5,6,10,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1921,0.6916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,13888.0,266.8204,0.0943421,1057.1182,0.0,7.0,0.1345,23.0,0.4419,4.0,0.0,0.0,18071.0,11445.0,219.8847,0.18162,17525.0,,,276.0,89.0,187.0,116.0,71.0,5.3026,2915.0,3481.0,52.0,3301.0,3905.0,60.0,-386.0,-424.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,4183.0,5446.0,70.0,5075.0,6456.0,104.0,-892.0,-1010.0,-34.0,0.0,0.0,0.0,0.0,0.0,0.0,6188.0,8561.0,100.0,7039.0,8759.0,132.0,-851.0,-198.0,-32.0,0.0,1.0,0.0,0.0,1.0,0.0,7886.0,10646.0,139.0,8485.0,10735.0,173.0,-599.0,-89.0,-34.0,0.0,1.0,0.0,0.0,1.0,0.0
ESPORTSTMNT01/80129,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/80129?gameHash=de1d80d28c18f191,CISC,2017,Spring,0,2017-01-31 14:12:18,1,7.02,8,Red,mid,Piter Pokir,oe:player:fa0ceb96d764438ff315c1656a0bdc4,Dolphins,oe:team:8f3490a556855787a9949347ae9b834,Ryze,LeBlanc,Rengar,,Malzahar,Lulu,,,,,,3123,0,1,4,3,10,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1921,0.6916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,25253.0,485.1681,0.171545,556.3112,0.0,22.0,0.4227,11.0,0.2113,4.0,0.0,0.0,21245.0,14619.0,280.8646,0.231989,18550.0,,,497.0,459.0,38.0,17.0,21.0,9.5485,3537.0,5215.0,98.0,3336.0,4833.0,89.0,201.0,382.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,5353.0,8071.0,151.0,5114.0,7966.0,142.0,239.0,105.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,7398.0,10895.0,202.0,7038.0,10211.0,177.0,360.0,684.0,25.0,0.0,0.0,0.0,1.0,0.0,0.0,9061.0,13265.0,252.0,9133.0,13145.0,244.0,-72.0,120.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0
ESPORTSTMNT01/80129,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/80129?gameHash=de1d80d28c18f191,CISC,2017,Spring,0,2017-01-31 14:12:18,1,7.02,9,Red,bot,Tauren,oe:player:2ab3dbb1d3efffe18dc04c08a18c02f,Dolphins,oe:team:8f3490a556855787a9949347ae9b834,Ezreal,LeBlanc,Rengar,,Malzahar,Lulu,,,,,,3123,0,5,4,4,10,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1921,0.6916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,26559.0,510.2594,0.180417,396.1191,0.0,19.0,0.365,11.0,0.2113,2.0,0.0,0.0,20484.0,13858.0,266.244,0.219913,22183.0,,,420.0,397.0,23.0,16.0,7.0,8.0692,3071.0,2926.0,79.0,3179.0,3021.0,90.0,-108.0,-95.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,4629.0,4757.0,124.0,5297.0,5315.0,145.0,-668.0,-558.0,-21.0,0.0,0.0,0.0,1.0,0.0,0.0,7212.0,7173.0,175.0,7404.0,7272.0,189.0,-192.0,-99.0,-14.0,1.0,2.0,0.0,1.0,1.0,1.0,9076.0,9079.0,232.0,8838.0,8932.0,225.0,238.0,147.0,7.0,1.0,2.0,0.0,1.0,1.0,1.0
ESPORTSTMNT01/80129,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/80129?gameHash=de1d80d28c18f191,CISC,2017,Spring,0,2017-01-31 14:12:18,1,7.02,10,Red,sup,Tristesse,oe:player:edbf776cf2c6ad001e4fb71297f55a9,Dolphins,oe:team:8f3490a556855787a9949347ae9b834,Zyra,LeBlanc,Rengar,,Malzahar,Lulu,,,,,,3123,0,1,4,5,10,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1921,0.6916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,42147.0,809.7406,0.286307,421.9212,0.0,46.0,0.8838,10.0,0.1921,11.0,0.0,0.0,15721.0,9095.0,174.7358,0.144328,14475.0,,,60.0,60.0,0.0,0.0,0.0,1.1527,1944.0,2768.0,2.0,1735.0,2815.0,3.0,209.0,-47.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,3118.0,4393.0,6.0,2961.0,4737.0,14.0,157.0,-344.0,-8.0,0.0,0.0,1.0,0.0,1.0,0.0,4787.0,6099.0,12.0,4567.0,5882.0,17.0,220.0,217.0,-5.0,0.0,2.0,1.0,0.0,1.0,1.0,6006.0,8117.0,20.0,5560.0,7692.0,21.0,446.0,425.0,-1.0,0.0,2.0,1.0,0.0,1.0,1.0
