gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT06/20195,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/20195?gameHash=0d15bea028309282,CK,2017,Spring,0,2017-01-16 07:36:08,1,7.01,1,Blue,top,Helper,oe:player:c0d4daf731835f843b2a4ea9ee2862d,Ever8 Winners,oe:team:a93534e7216950180b13dbb88f26d2d,Nautilus,LeBlanc,Lee Sin,Elise,Caitlyn,Jhin,,,,,,3014,1,2,1,13,20,5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3981,0.4977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,16137.0,321.2409,0.150344,518.7392,0.0,24.0,0.4778,6.0,0.1194,4.0,0.0,0.0,17848.0,11444.0,227.8169,0.191516,16950.0,,,347.0,327.0,20.0,4.0,16.0,6.9078,3141.0,4453.0,81.0,3341.0,4817.0,92.0,-200.0,-364.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,5178.0,7507.0,141.0,5005.0,7492.0,144.0,173.0,15.0,-3.0,0.0,1.0,0.0,0.0,0.0,1.0,7049.0,10233.0,200.0,6641.0,9792.0,187.0,408.0,441.0,13.0,0.0,1.0,0.0,0.0,0.0,1.0,8676.0,12167.0,229.0,8603.0,11858.0,227.0,73.0,309.0,2.0,0.0,4.0,0.0,0.0,0.0,2.0
ESPORTSTMNT06/20195,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/20195?gameHash=0d15bea028309282,CK,2017,Spring,0,2017-01-16 07:36:08,1,7.01,2,Blue,jng,OldB,oe:player:5e8dbfeb98767008fc6c6283f8e992a,Ever8 Winners,oe:team:a93534e7216950180b13dbb88f26d2d,Olaf,LeBlanc,Lee Sin,Elise,Caitlyn,Jhin,,,,,,3014,1,7,1,8,20,5,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3981,0.4977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,18582.0,369.9137,0.173123,1090.1924,0.0,46.0,0.9157,15.0,0.2986,11.0,0.0,0.0,17718.0,11314.0,225.2289,0.18934,17400.0,,,214.0,48.0,166.0,96.0,70.0,4.2601,3218.0,3717.0,56.0,2992.0,3465.0,52.0,226.0,252.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5001.0,6239.0,93.0,4359.0,5406.0,73.0,642.0,833.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,6484.0,8409.0,117.0,6255.0,7733.0,90.0,229.0,676.0,27.0,1.0,0.0,1.0,1.0,0.0,0.0,8336.0,10561.0,143.0,7910.0,9714.0,120.0,426.0,847.0,23.0,2.0,1.0,1.0,1.0,0.0,0.0
ESPORTSTMNT06/20195,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/20195?gameHash=0d15bea028309282,CK,2017,Spring,0,2017-01-16 07:36:08,1,7.01,3,Blue,mid,Cepted,oe:player:832cfc3b2f16046218e4f35fe512281,Ever8 Winners,oe:team:a93534e7216950180b13dbb88f26d2d,Aurelion Sol,LeBlanc,Lee Sin,Elise,Caitlyn,Jhin,,,,,,3014,1,5,1,10,20,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3981,0.4977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,26294.0,523.4373,0.244974,472.5547,0.0,33.0,0.6569,5.0,0.0995,8.0,0.0,0.0,20569.0,14165.0,281.9841,0.237051,17850.0,,,416.0,385.0,31.0,16.0,15.0,8.2814,3159.0,4854.0,79.0,3393.0,4881.0,91.0,-234.0,-27.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,5078.0,7563.0,126.0,5309.0,7975.0,149.0,-231.0,-412.0,-23.0,1.0,0.0,0.0,0.0,0.0,0.0,6743.0,10142.0,173.0,7430.0,10664.0,199.0,-687.0,-522.0,-26.0,1.0,0.0,1.0,0.0,2.0,0.0,8806.0,12473.0,213.0,9595.0,13344.0,258.0,-789.0,-871.0,-45.0,2.0,1.0,1.0,0.0,2.0,0.0
ESPORTSTMNT06/20195,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/20195?gameHash=0d15bea028309282,CK,2017,Spring,0,2017-01-16 07:36:08,1,7.01,4,Blue,bot,DeuL,oe:player:b350549bd4258634bc65ac9353654d8,Ever8 Winners,oe:team:a93534e7216950180b13dbb88f26d2d,Varus,LeBlanc,Lee Sin,Elise,Caitlyn,Jhin,,,,,,3014,1,2,0,13,20,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3981,0.4977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,27414.0,545.7332,0.255408,412.2362,0.0,21.0,0.418,18.0,0.3583,4.0,0.0,0.0,20491.0,14087.0,280.4313,0.235745,18500.0,,,448.0,425.0,23.0,19.0,4.0,8.9184,3066.0,3108.0,78.0,3247.0,3236.0,88.0,-181.0,-128.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,4857.0,5384.0,129.0,4828.0,5179.0,134.0,29.0,205.0,-5.0,0.0,1.0,0.0,0.0,0.0,0.0,6547.0,7496.0,182.0,6930.0,7570.0,179.0,-383.0,-74.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,8476.0,9976.0,227.0,9139.0,10056.0,223.0,-663.0,-80.0,4.0,0.0,4.0,0.0,2.0,0.0,1.0
ESPORTSTMNT06/20195,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/20195?gameHash=0d15bea028309282,CK,2017,Spring,0,2017-01-16 07:36:08,1,7.01,5,Blue,sup,Ella,oe:player:cc3baa8bc4df0286084c229cb5d486d,Ever8 Winners,oe:team:a93534e7216950180b13dbb88f26d2d,Miss Fortune,LeBlanc,Lee Sin,Elise,Caitlyn,Jhin,,,,,,3014,1,4,2,10,20,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3981,0.4977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,18907.0,376.3835,0.176151,404.8507,0.0,77.0,1.5328,34.0,0.6768,23.0,0.0,0.0,15149.0,8745.0,174.0876,0.146349,13875.0,,,77.0,77.0,0.0,0.0,0.0,1.5328,1983.0,2729.0,13.0,2013.0,3037.0,2.0,-30.0,-308.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3155.0,4072.0,24.0,3067.0,3855.0,6.0,88.0,217.0,18.0,0.0,1.0,0.0,0.0,0.0,1.0,4239.0,4899.0,29.0,4657.0,5392.0,14.0,-418.0,-493.0,15.0,0.0,1.0,0.0,0.0,2.0,1.0,5798.0,6333.0,33.0,6075.0,6367.0,19.0,-277.0,-34.0,14.0,1.0,2.0,1.0,0.0,2.0,2.0
ESPORTSTMNT06/20195,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/20195?gameHash=0d15bea028309282,CK,2017,Spring,0,2017-01-16 07:36:08,1,7.01,6,Red,top,Soul,oe:player:42fef294fa0272cfcfbc122002d6958,CJ Entus,oe:team:f8c3923ecbc5de1edc4eaea53407c6f,Maokai,Camille,Rengar,Ryze,Ahri,Ekko,,,,,,3014,0,0,5,2,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0995,0.4977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,21463.0,427.2661,0.201876,911.7651,0.0,28.0,0.5574,15.0,0.2986,4.0,0.0,0.0,15217.0,8813.0,175.4413,0.18826,14700.0,,,349.0,349.0,0.0,0.0,0.0,6.9476,3341.0,4817.0,92.0,3141.0,4453.0,81.0,200.0,364.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,5005.0,7492.0,144.0,5178.0,7507.0,141.0,-173.0,-15.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,6641.0,9792.0,187.0,7049.0,10233.0,200.0,-408.0,-441.0,-13.0,0.0,0.0,1.0,0.0,1.0,0.0,8603.0,11858.0,227.0,8676.0,12167.0,229.0,-73.0,-309.0,-2.0,0.0,0.0,2.0,0.0,4.0,0.0
ESPORTSTMNT06/20195,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/20195?gameHash=0d15bea028309282,CK,2017,Spring,0,2017-01-16 07:36:08,1,7.01,7,Red,jng,Winged,oe:player:6506cea9e37ae93383637c8737cbf34,CJ Entus,oe:team:f8c3923ecbc5de1edc4eaea53407c6f,Kha'Zix,Camille,Rengar,Ryze,Ahri,Ekko,,,,,,3014,0,3,3,0,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0995,0.4977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8192.0,163.079,0.0770519,816.1911,0.0,44.0,0.8759,43.0,0.856,15.0,0.0,0.0,15652.0,9248.0,184.1009,0.197552,14400.0,,,267.0,71.0,196.0,115.0,81.0,5.3152,2992.0,3465.0,52.0,3218.0,3717.0,56.0,-226.0,-252.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,4359.0,5406.0,73.0,5001.0,6239.0,93.0,-642.0,-833.0,-20.0,0.0,0.0,0.0,1.0,0.0,0.0,6255.0,7733.0,90.0,6484.0,8409.0,117.0,-229.0,-676.0,-27.0,1.0,0.0,0.0,1.0,0.0,1.0,7910.0,9714.0,120.0,8336.0,10561.0,143.0,-426.0,-847.0,-23.0,1.0,0.0,0.0,2.0,1.0,1.0
ESPORTSTMNT06/20195,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/20195?gameHash=0d15bea028309282,CK,2017,Spring,0,2017-01-16 07:36:08,1,7.01,8,Red,mid,Candy,oe:player:fd964f4b80922071fac5c1485aa284e,CJ Entus,oe:team:f8c3923ecbc5de1edc4eaea53407c6f,Syndra,Camille,Rengar,Ryze,Ahri,Ekko,,,,,,3014,0,0,3,3,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0995,0.4977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,20792.0,413.9084,0.195564,262.8932,0.0,14.0,0.2787,14.0,0.2787,11.0,0.0,0.0,17183.0,10779.0,214.5786,0.230256,16425.0,,,423.0,413.0,10.0,9.0,1.0,8.4207,3393.0,4881.0,91.0,3159.0,4854.0,79.0,234.0,27.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,5309.0,7975.0,149.0,5078.0,7563.0,126.0,231.0,412.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,7430.0,10664.0,199.0,6743.0,10142.0,173.0,687.0,522.0,26.0,0.0,2.0,0.0,1.0,0.0,1.0,9595.0,13344.0,258.0,8806.0,12473.0,213.0,789.0,871.0,45.0,0.0,2.0,0.0,2.0,1.0,1.0
ESPORTSTMNT06/20195,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/20195?gameHash=0d15bea028309282,CK,2017,Spring,0,2017-01-16 07:36:08,1,7.01,9,Red,bot,Veritas,oe:player:27467eebfd85deae554fa659c40d5f5,CJ Entus,oe:team:f8c3923ecbc5de1edc4eaea53407c6f,Ezreal,Camille,Rengar,Ryze,Ahri,Ekko,,,,,,3014,0,2,3,2,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0995,0.4977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,38783.0,772.0571,0.364783,448.5667,0.0,20.0,0.3981,10.0,0.1991,5.0,0.0,0.0,18655.0,12251.0,243.8819,0.261699,17958.0,,,467.0,448.0,19.0,16.0,3.0,9.2966,3247.0,3236.0,88.0,3066.0,3108.0,78.0,181.0,128.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4828.0,5179.0,134.0,4857.0,5384.0,129.0,-29.0,-205.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,6930.0,7570.0,179.0,6547.0,7496.0,182.0,383.0,74.0,-3.0,1.0,0.0,0.0,0.0,1.0,0.0,9139.0,10056.0,223.0,8476.0,9976.0,227.0,663.0,80.0,-4.0,2.0,0.0,1.0,0.0,4.0,0.0
ESPORTSTMNT06/20195,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/20195?gameHash=0d15bea028309282,CK,2017,Spring,0,2017-01-16 07:36:08,1,7.01,10,Red,sup,Pure,oe:player:d30973809f2e4238b7eb2bac9241674,CJ Entus,oe:team:f8c3923ecbc5de1edc4eaea53407c6f,Zyra,Camille,Rengar,Ryze,Ahri,Ekko,,,,,,3014,0,0,6,4,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0995,0.4977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,17088.0,340.1725,0.160725,428.6795,0.0,71.0,1.4134,33.0,0.6569,17.0,0.0,0.0,12126.0,5722.0,113.9084,0.122233,11610.0,,,38.0,36.0,2.0,0.0,2.0,0.7565,2013.0,3037.0,2.0,1983.0,2729.0,13.0,30.0,308.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,3067.0,3855.0,6.0,3155.0,4072.0,24.0,-88.0,-217.0,-18.0,0.0,0.0,1.0,0.0,1.0,0.0,4657.0,5392.0,14.0,4239.0,4899.0,29.0,418.0,493.0,-15.0,0.0,2.0,1.0,0.0,1.0,0.0,6075.0,6367.0,19.0,5798.0,6333.0,33.0,277.0,34.0,-14.0,0.0,2.0,2.0,1.0,2.0,1.0
