gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
TRSA1/1240010,complete,http://matchhistory.las.leagueoflegends.com/es/#match-details/TRSA1/1240010?gameHash=487e7e8f5a5c083e,CLS,2016,,0,2016-02-04 18:59:30,1,6.02,1,Blue,top,Helior,oe:player:a38fcc6b7dd157a3647868de2715bf6,Kaos Latin Gamers,oe:team:c5b7f439779b465529ff283c53f41c0,Graves,Poppy,Alistar,Fiora,,,,,,,,2400,0,3,2,3,10,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,26159.0,653.975,0.322024,551.9,0.0,18.0,0.45,8.0,0.2,2.0,0.0,0.0,14019.0,8868.0,221.7,0.244359,13500.0,,,301.0,278.0,23.0,19.0,4.0,7.525,3347.0,4767.0,79.0,2884.0,4158.0,68.0,463.0,609.0,11.0,1.0,0.0,0.0,0.0,0.0,1.0,5227.0,7371.0,121.0,4652.0,6883.0,118.0,575.0,488.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,7188.0,9078.0,149.0,6816.0,9222.0,156.0,372.0,-144.0,-7.0,2.0,1.0,1.0,1.0,2.0,2.0,8492.0,10674.0,178.0,8373.0,10994.0,189.0,119.0,-320.0,-11.0,2.0,1.0,2.0,1.0,3.0,2.0
TRSA1/1240010,complete,http://matchhistory.las.leagueoflegends.com/es/#match-details/TRSA1/1240010?gameHash=487e7e8f5a5c083e,CLS,2016,,0,2016-02-04 18:59:30,1,6.02,2,Blue,jng,Juliostito,oe:player:845a32b15f4ae3a3ea14c6173f11580,Kaos Latin Gamers,oe:team:c5b7f439779b465529ff283c53f41c0,Elise,Poppy,Alistar,Fiora,,,,,,,,2400,0,3,2,3,10,19,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.25,0.725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,20191.0,504.775,0.248557,717.8,0.0,38.0,0.95,25.0,0.625,3.0,0.0,0.0,12871.0,7720.0,193.0,0.212725,12820.0,,,197.0,80.0,117.0,105.0,12.0,4.925,3272.0,3451.0,38.0,2568.0,2660.0,31.0,704.0,791.0,7.0,1.0,0.0,0.0,0.0,1.0,2.0,4910.0,5488.0,62.0,3995.0,5079.0,54.0,915.0,409.0,8.0,1.0,0.0,0.0,0.0,1.0,2.0,6712.0,7677.0,91.0,6073.0,7122.0,66.0,639.0,555.0,25.0,2.0,0.0,1.0,1.0,6.0,2.0,8282.0,9744.0,118.0,7509.0,8429.0,81.0,773.0,1315.0,37.0,2.0,0.0,1.0,1.0,7.0,2.0
TRSA1/1240010,complete,http://matchhistory.las.leagueoflegends.com/es/#match-details/TRSA1/1240010?gameHash=487e7e8f5a5c083e,CLS,2016,,0,2016-02-04 18:59:30,1,6.02,3,Blue,mid,Primoo,oe:player:e2af40f7089c2bfb21715cc7655c8bc,Kaos Latin Gamers,oe:team:c5b7f439779b465529ff283c53f41c0,Lissandra,Poppy,Alistar,Fiora,,,,,,,,2400,0,0,3,4,10,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,7733.0,193.325,0.0951953,471.875,0.0,30.0,0.75,7.0,0.175,11.0,0.0,0.0,12002.0,6851.0,171.275,0.188779,10725.0,,,249.0,245.0,4.0,4.0,0.0,6.225,3050.0,4338.0,75.0,3167.0,4231.0,82.0,-117.0,107.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,4803.0,6541.0,116.0,4935.0,6691.0,135.0,-132.0,-150.0,-19.0,0.0,0.0,0.0,0.0,0.0,0.0,6389.0,8132.0,145.0,7458.0,9155.0,178.0,-1069.0,-1023.0,-33.0,0.0,2.0,1.0,2.0,2.0,0.0,7738.0,9738.0,173.0,9448.0,11524.0,224.0,-1710.0,-1786.0,-51.0,0.0,2.0,1.0,2.0,3.0,0.0
TRSA1/1240010,complete,http://matchhistory.las.leagueoflegends.com/es/#match-details/TRSA1/1240010?gameHash=487e7e8f5a5c083e,CLS,2016,,0,2016-02-04 18:59:30,1,6.02,4,Blue,bot,SagaZ,oe:player:2c6fe276e3938d542d58acaf9f976a4,Kaos Latin Gamers,oe:team:c5b7f439779b465529ff283c53f41c0,Lucian,Poppy,Alistar,Fiora,,,,,,,,2400,0,2,4,6,10,19,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.25,0.725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,20521.0,513.025,0.252619,454.35,0.0,20.0,0.5,12.0,0.3,3.0,0.0,0.0,13383.0,8232.0,205.8,0.226834,13425.0,,,286.0,262.0,24.0,23.0,1.0,7.15,3550.0,3843.0,77.0,3243.0,3174.0,81.0,307.0,669.0,-4.0,1.0,1.0,0.0,0.0,1.0,0.0,5554.0,5952.0,132.0,4718.0,4915.0,121.0,836.0,1037.0,11.0,1.0,1.0,0.0,0.0,1.0,0.0,7099.0,7507.0,154.0,7105.0,7261.0,163.0,-6.0,246.0,-9.0,1.0,4.0,1.0,1.0,3.0,1.0,8604.0,9019.0,194.0,9154.0,9239.0,202.0,-550.0,-220.0,-8.0,1.0,4.0,1.0,2.0,3.0,1.0
TRSA1/1240010,complete,http://matchhistory.las.leagueoflegends.com/es/#match-details/TRSA1/1240010?gameHash=487e7e8f5a5c083e,CLS,2016,,0,2016-02-04 18:59:30,1,6.02,5,Blue,sup,BearJew,oe:player:e6c549b80ba1c8dcb8a969ee54dfa7f,Kaos Latin Gamers,oe:team:c5b7f439779b465529ff283c53f41c0,Braum,Poppy,Alistar,Fiora,,,,,,,,2400,0,2,8,7,10,19,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.25,0.725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6629.0,165.725,0.0816048,795.45,0.0,52.0,1.3,11.0,0.275,10.0,0.0,0.0,9771.0,4620.0,115.5,0.127302,9500.0,,,55.0,55.0,0.0,0.0,0.0,1.375,2216.0,2270.0,14.0,2286.0,3004.0,11.0,-70.0,-734.0,3.0,0.0,2.0,1.0,1.0,0.0,0.0,3514.0,4029.0,26.0,3213.0,3874.0,16.0,301.0,155.0,10.0,0.0,2.0,1.0,1.0,0.0,0.0,4995.0,5078.0,29.0,5257.0,5209.0,23.0,-262.0,-131.0,6.0,1.0,4.0,3.0,2.0,3.0,1.0,6062.0,5883.0,37.0,6511.0,6027.0,30.0,-449.0,-144.0,7.0,1.0,4.0,3.0,2.0,3.0,1.0
TRSA1/1240010,complete,http://matchhistory.las.leagueoflegends.com/es/#match-details/TRSA1/1240010?gameHash=487e7e8f5a5c083e,CLS,2016,,0,2016-02-04 18:59:30,1,6.02,6,Red,top,Acce,oe:player:405ba4c6b60f0e22b850cb164a931d9,Furious Gaming,oe:team:6414602bd3443e9f8c3aae5c73bbc5a,Lulu,Gangplank,Tahm Kench,Ryze,,,,,,,,2400,1,5,2,8,19,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.475,0.725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,15391.0,384.775,0.155452,375.625,0.0,22.0,0.55,6.0,0.15,6.0,0.0,0.0,15491.0,10340.0,258.5,0.222927,14035.0,,,296.0,282.0,14.0,14.0,0.0,7.4,2884.0,4158.0,68.0,3347.0,4767.0,79.0,-463.0,-609.0,-11.0,0.0,0.0,1.0,1.0,0.0,0.0,4652.0,6883.0,118.0,5227.0,7371.0,121.0,-575.0,-488.0,-3.0,0.0,0.0,1.0,1.0,0.0,0.0,6816.0,9222.0,156.0,7188.0,9078.0,149.0,-372.0,144.0,7.0,1.0,2.0,2.0,2.0,1.0,1.0,8373.0,10994.0,189.0,8492.0,10674.0,178.0,-119.0,320.0,11.0,1.0,3.0,2.0,2.0,1.0,2.0
TRSA1/1240010,complete,http://matchhistory.las.leagueoflegends.com/es/#match-details/TRSA1/1240010?gameHash=487e7e8f5a5c083e,CLS,2016,,0,2016-02-04 18:59:30,1,6.02,7,Red,jng,Gonto,oe:player:b877f8089e4986185aed322461bfae4,Furious Gaming,oe:team:6414602bd3443e9f8c3aae5c73bbc5a,Gragas,Gangplank,Tahm Kench,Ryze,,,,,,,,2400,1,2,3,16,19,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.475,0.725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,14084.0,352.1,0.142251,1023.425,0.0,31.0,0.775,24.0,0.6,4.0,0.0,0.0,12717.0,7566.0,189.15,0.163119,11375.0,,,119.0,43.0,76.0,69.0,7.0,2.975,2568.0,2660.0,31.0,3272.0,3451.0,38.0,-704.0,-791.0,-7.0,0.0,1.0,2.0,1.0,0.0,0.0,3995.0,5079.0,54.0,4910.0,5488.0,62.0,-915.0,-409.0,-8.0,0.0,1.0,2.0,1.0,0.0,0.0,6073.0,7122.0,66.0,6712.0,7677.0,91.0,-639.0,-555.0,-25.0,1.0,6.0,2.0,2.0,0.0,1.0,7509.0,8429.0,81.0,8282.0,9744.0,118.0,-773.0,-1315.0,-37.0,1.0,7.0,2.0,2.0,0.0,1.0
TRSA1/1240010,complete,http://matchhistory.las.leagueoflegends.com/es/#match-details/TRSA1/1240010?gameHash=487e7e8f5a5c083e,CLS,2016,,0,2016-02-04 18:59:30,1,6.02,8,Red,mid,Dinamox,oe:player:7e5bd7244f9c800baf445c427b6b351,Furious Gaming,oe:team:6414602bd3443e9f8c3aae5c73bbc5a,Corki,Gangplank,Tahm Kench,Ryze,,,,,,,,2400,1,6,0,9,19,10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.475,0.725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,44913.0,1122.825,0.45363,413.8,0.0,21.0,0.525,11.0,0.275,7.0,0.0,0.0,16895.0,11744.0,293.6,0.253197,15225.0,,,357.0,319.0,38.0,26.0,12.0,8.925,3167.0,4231.0,82.0,3050.0,4338.0,75.0,117.0,-107.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,4935.0,6691.0,135.0,4803.0,6541.0,116.0,132.0,150.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,7458.0,9155.0,178.0,6389.0,8132.0,145.0,1069.0,1023.0,33.0,2.0,2.0,0.0,0.0,2.0,1.0,9448.0,11524.0,224.0,7738.0,9738.0,173.0,1710.0,1786.0,51.0,2.0,3.0,0.0,0.0,2.0,1.0
TRSA1/1240010,complete,http://matchhistory.las.leagueoflegends.com/es/#match-details/TRSA1/1240010?gameHash=487e7e8f5a5c083e,CLS,2016,,0,2016-02-04 18:59:30,1,6.02,9,Red,bot,Prodigy,oe:player:dd62ea30c72d69edfdbc9a86de04984,Furious Gaming,oe:team:6414602bd3443e9f8c3aae5c73bbc5a,Kalista,Gangplank,Tahm Kench,Ryze,,,,,,,,2400,1,4,2,11,19,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.475,0.725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,17691.0,442.275,0.178683,476.875,0.0,19.0,0.475,17.0,0.425,1.0,0.0,0.0,15944.0,10793.0,269.825,0.232694,15025.0,,,313.0,276.0,37.0,26.0,11.0,7.825,3243.0,3174.0,81.0,3550.0,3843.0,77.0,-307.0,-669.0,4.0,0.0,1.0,0.0,1.0,1.0,0.0,4718.0,4915.0,121.0,5554.0,5952.0,132.0,-836.0,-1037.0,-11.0,0.0,1.0,0.0,1.0,1.0,0.0,7105.0,7261.0,163.0,7099.0,7507.0,154.0,6.0,-246.0,9.0,1.0,3.0,1.0,1.0,4.0,1.0,9154.0,9239.0,202.0,8604.0,9019.0,194.0,550.0,220.0,8.0,2.0,3.0,1.0,1.0,4.0,1.0
TRSA1/1240010,complete,http://matchhistory.las.leagueoflegends.com/es/#match-details/TRSA1/1240010?gameHash=487e7e8f5a5c083e,CLS,2016,,0,2016-02-04 18:59:30,1,6.02,10,Red,sup,Genthix,oe:player:45299b6d8ad2fe721f4eb3c5d804fec,Furious Gaming,oe:team:6414602bd3443e9f8c3aae5c73bbc5a,Thresh,Gangplank,Tahm Kench,Ryze,,,,,,,,2400,1,2,3,13,19,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.475,0.725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6929.0,173.225,0.0699842,505.175,0.0,41.0,1.025,23.0,0.575,8.0,0.0,0.0,11091.0,5940.0,148.5,0.128063,9400.0,,,48.0,47.0,1.0,1.0,0.0,1.2,2286.0,3004.0,11.0,2216.0,2270.0,14.0,70.0,734.0,-3.0,1.0,0.0,0.0,0.0,2.0,1.0,3213.0,3874.0,16.0,3514.0,4029.0,26.0,-301.0,-155.0,-10.0,1.0,0.0,0.0,0.0,2.0,1.0,5257.0,5209.0,23.0,4995.0,5078.0,29.0,262.0,131.0,-6.0,2.0,3.0,1.0,1.0,4.0,3.0,6511.0,6027.0,30.0,6062.0,5883.0,37.0,449.0,144.0,-7.0,2.0,3.0,1.0,1.0,4.0,3.0
