gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT02/10086,complete,http://matchhistory.las.leagueoflegends.com/es/#match-details/ESPORTSTMNT02/10086?gameHash=1df7cdb2fa4bbd46,CLS,2017,,0,2017-01-19 21:10:12,1,7.01,1,Blue,top,Pride,oe:player:76a3e3b45425410522c1805b3a0403f,Isurus,oe:team:5737b101780a9835142549164be1ac4,Kled,Syndra,Malzahar,Ryze,Ashe,,,,,,,1844,1,4,3,6,20,7,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6508,0.8785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,9605.0,312.5271,0.125028,849.3709,0.0,13.0,0.423,1.0,0.0325,0.0,0.0,0.0,12500.0,8483.0,276.0195,0.199854,10900.0,,,217.0,193.0,24.0,8.0,16.0,7.0607,2905.0,3708.0,61.0,3108.0,3970.0,57.0,-203.0,-262.0,4.0,0.0,1.0,2.0,1.0,1.0,1.0,4813.0,5866.0,95.0,4672.0,6071.0,96.0,141.0,-205.0,-1.0,0.0,2.0,3.0,1.0,2.0,3.0,6802.0,8265.0,131.0,7084.0,9652.0,165.0,-282.0,-1387.0,-34.0,1.0,2.0,3.0,2.0,2.0,4.0,9191.0,11772.0,167.0,9225.0,12167.0,215.0,-34.0,-395.0,-48.0,3.0,4.0,3.0,3.0,3.0,6.0
ESPORTSTMNT02/10086,complete,http://matchhistory.las.leagueoflegends.com/es/#match-details/ESPORTSTMNT02/10086?gameHash=1df7cdb2fa4bbd46,CLS,2017,,0,2017-01-19 21:10:12,1,7.01,2,Blue,jng,QQMore,oe:player:81eed41b598a207697930065353ba1c,Isurus,oe:team:5737b101780a9835142549164be1ac4,Lee Sin,Syndra,Malzahar,Ryze,Ashe,,,,,,,1844,1,3,1,7,20,7,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6508,0.8785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10301.0,335.1735,0.134087,744.2408,0.0,26.0,0.846,16.0,0.5206,8.0,0.0,0.0,11433.0,7416.0,241.3015,0.174716,9775.0,,,140.0,52.0,88.0,46.0,42.0,4.5553,3370.0,3504.0,50.0,3077.0,3087.0,39.0,293.0,417.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,5349.0,5683.0,78.0,4634.0,5375.0,56.0,715.0,308.0,22.0,2.0,0.0,0.0,2.0,0.0,0.0,6866.0,7742.0,101.0,5703.0,6704.0,65.0,1163.0,1038.0,36.0,2.0,1.0,0.0,2.0,0.0,0.0,8732.0,10535.0,107.0,7099.0,8725.0,83.0,1633.0,1810.0,24.0,3.0,6.0,1.0,2.0,0.0,2.0
ESPORTSTMNT02/10086,complete,http://matchhistory.las.leagueoflegends.com/es/#match-details/ESPORTSTMNT02/10086?gameHash=1df7cdb2fa4bbd46,CLS,2017,,0,2017-01-19 21:10:12,1,7.01,3,Blue,mid,Emp,oe:player:30fda405a39a1754550e87835c669fb,Isurus,oe:team:5737b101780a9835142549164be1ac4,Orianna,Syndra,Malzahar,Ryze,Ashe,,,,,,,1844,1,6,0,6,20,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6508,0.8785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,27813.0,904.9783,0.36204,477.3644,0.0,17.0,0.5531,2.0,0.0651,4.0,0.0,0.0,14077.0,10060.0,327.3319,0.237007,12485.0,,,279.0,260.0,19.0,16.0,3.0,9.0781,3481.0,5007.0,95.0,3056.0,4835.0,75.0,425.0,172.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,5493.0,8091.0,147.0,4501.0,7266.0,115.0,992.0,825.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,7427.0,10370.0,188.0,6404.0,10391.0,164.0,1023.0,-21.0,24.0,1.0,0.0,0.0,0.0,1.0,0.0,10799.0,14415.0,224.0,8213.0,13150.0,209.0,2586.0,1265.0,15.0,5.0,5.0,0.0,0.0,1.0,2.0
ESPORTSTMNT02/10086,complete,http://matchhistory.las.leagueoflegends.com/es/#match-details/ESPORTSTMNT02/10086?gameHash=1df7cdb2fa4bbd46,CLS,2017,,0,2017-01-19 21:10:12,1,7.01,4,Blue,bot,Kindless,oe:player:d6512817657af74944409f9db236876,Isurus,oe:team:5737b101780a9835142549164be1ac4,Varus,Syndra,Malzahar,Ryze,Ashe,,,,,,,1844,1,7,3,7,20,7,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6508,0.8785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,23716.0,771.6703,0.30871,528.3189,0.0,12.0,0.3905,2.0,0.0651,4.0,0.0,0.0,15236.0,11219.0,365.0434,0.264312,13550.0,,,307.0,294.0,13.0,5.0,8.0,9.9892,3444.0,3139.0,104.0,3189.0,3296.0,86.0,255.0,-157.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,7033.0,5983.0,170.0,4566.0,4747.0,123.0,2467.0,1236.0,47.0,3.0,0.0,0.0,0.0,0.0,1.0,8916.0,7829.0,216.0,6480.0,7691.0,180.0,2436.0,138.0,36.0,3.0,1.0,1.0,0.0,0.0,2.0,11874.0,11627.0,258.0,7915.0,9098.0,195.0,3959.0,2529.0,63.0,6.0,5.0,2.0,1.0,1.0,4.0
ESPORTSTMNT02/10086,complete,http://matchhistory.las.leagueoflegends.com/es/#match-details/ESPORTSTMNT02/10086?gameHash=1df7cdb2fa4bbd46,CLS,2017,,0,2017-01-19 21:10:12,1,7.01,5,Blue,sup,Newbie,oe:player:27aa6f7581052e7ff48e1bca901313f,Isurus,oe:team:5737b101780a9835142549164be1ac4,Nami,Syndra,Malzahar,Ryze,Ashe,,,,,,,1844,1,0,0,16,20,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6508,0.8785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5388.0,175.3145,0.0701352,406.757,0.0,35.0,1.1388,7.0,0.2278,8.0,0.0,0.0,9285.0,5268.0,171.41,0.124111,7650.0,,,13.0,11.0,2.0,0.0,2.0,0.423,1770.0,2667.0,3.0,1884.0,2686.0,1.0,-114.0,-19.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3456.0,4860.0,4.0,2866.0,3646.0,3.0,590.0,1214.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,4736.0,6115.0,5.0,4082.0,4709.0,8.0,654.0,1406.0,-3.0,0.0,4.0,0.0,0.0,0.0,1.0,6619.0,9002.0,7.0,5409.0,6206.0,16.0,1210.0,2796.0,-9.0,0.0,13.0,0.0,0.0,1.0,3.0
ESPORTSTMNT02/10086,complete,http://matchhistory.las.leagueoflegends.com/es/#match-details/ESPORTSTMNT02/10086?gameHash=1df7cdb2fa4bbd46,CLS,2017,,0,2017-01-19 21:10:12,1,7.01,6,Red,top,Buggax,oe:player:ba60f2274afd5a39163aeade95ddab3,Hafnet eSports,oe:team:07f268d6bcf7dfa246348135f512fe2,Jayce,LeBlanc,Rengar,Camille,Maokai,Poppy,,,,,,1844,0,4,8,3,7,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2278,0.8785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,21069.0,685.5423,0.324428,701.4534,0.0,11.0,0.3579,3.0,0.0976,2.0,0.0,0.0,11097.0,7080.0,230.3688,0.270167,11010.0,,,255.0,230.0,25.0,7.0,18.0,8.2972,3108.0,3970.0,57.0,2905.0,3708.0,61.0,203.0,262.0,-4.0,1.0,1.0,1.0,0.0,1.0,2.0,4672.0,6071.0,96.0,4813.0,5866.0,95.0,-141.0,205.0,1.0,1.0,2.0,3.0,0.0,2.0,3.0,7084.0,9652.0,165.0,6802.0,8265.0,131.0,282.0,1387.0,34.0,2.0,2.0,4.0,1.0,2.0,3.0,9225.0,12167.0,215.0,9191.0,11772.0,167.0,34.0,395.0,48.0,3.0,3.0,6.0,3.0,4.0,3.0
ESPORTSTMNT02/10086,complete,http://matchhistory.las.leagueoflegends.com/es/#match-details/ESPORTSTMNT02/10086?gameHash=1df7cdb2fa4bbd46,CLS,2017,,0,2017-01-19 21:10:12,1,7.01,7,Red,jng,Rod,oe:player:fbb74fde562f07cc9b1426ee4405818,Hafnet eSports,oe:team:07f268d6bcf7dfa246348135f512fe2,Elise,LeBlanc,Rengar,Camille,Maokai,Poppy,,,,,,1844,0,2,2,0,7,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2278,0.8785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5158.0,167.8308,0.0794247,617.2451,0.0,13.0,0.423,5.0,0.1627,8.0,0.0,0.0,8386.0,4369.0,142.1584,0.166718,8025.0,,,95.0,26.0,69.0,55.0,14.0,3.0911,3077.0,3087.0,39.0,3370.0,3504.0,50.0,-293.0,-417.0,-11.0,1.0,0.0,0.0,1.0,0.0,0.0,4634.0,5375.0,56.0,5349.0,5683.0,78.0,-715.0,-308.0,-22.0,2.0,0.0,0.0,2.0,0.0,0.0,5703.0,6704.0,65.0,6866.0,7742.0,101.0,-1163.0,-1038.0,-36.0,2.0,0.0,0.0,2.0,1.0,0.0,7099.0,8725.0,83.0,8732.0,10535.0,107.0,-1633.0,-1810.0,-24.0,2.0,0.0,2.0,3.0,6.0,1.0
ESPORTSTMNT02/10086,complete,http://matchhistory.las.leagueoflegends.com/es/#match-details/ESPORTSTMNT02/10086?gameHash=1df7cdb2fa4bbd46,CLS,2017,,0,2017-01-19 21:10:12,1,7.01,8,Red,mid,Lesmart,oe:player:81382e2a067497a75f3a7350a7b8476,Hafnet eSports,oe:team:07f268d6bcf7dfa246348135f512fe2,Zilean,LeBlanc,Rengar,Camille,Maokai,Poppy,,,,,,1844,0,0,2,2,7,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2278,0.8785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12742.0,414.5987,0.196206,882.462,0.0,15.0,0.4881,4.0,0.1302,3.0,0.0,0.0,10246.0,6229.0,202.679,0.237693,10310.0,,,263.0,249.0,14.0,14.0,0.0,8.5575,3056.0,4835.0,75.0,3481.0,5007.0,95.0,-425.0,-172.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,4501.0,7266.0,115.0,5493.0,8091.0,147.0,-992.0,-825.0,-32.0,0.0,0.0,0.0,0.0,0.0,0.0,6404.0,10391.0,164.0,7427.0,10370.0,188.0,-1023.0,21.0,-24.0,0.0,1.0,0.0,1.0,0.0,0.0,8213.0,13150.0,209.0,10799.0,14415.0,224.0,-2586.0,-1265.0,-15.0,0.0,1.0,2.0,5.0,5.0,0.0
ESPORTSTMNT02/10086,complete,http://matchhistory.las.leagueoflegends.com/es/#match-details/ESPORTSTMNT02/10086?gameHash=1df7cdb2fa4bbd46,CLS,2017,,0,2017-01-19 21:10:12,1,7.01,9,Red,bot,Zeicro,oe:player:e6f383fc7318fb2ab6aa67191ce5231,Hafnet eSports,oe:team:07f268d6bcf7dfa246348135f512fe2,Ezreal,LeBlanc,Rengar,Camille,Maokai,Poppy,,,,,,1844,0,1,4,1,7,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2278,0.8785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12416.0,403.9913,0.191186,431.974,0.0,13.0,0.423,2.0,0.0651,3.0,0.0,0.0,9475.0,5458.0,177.5922,0.208273,9108.0,,,232.0,230.0,2.0,1.0,1.0,7.5488,3189.0,3296.0,86.0,3444.0,3139.0,104.0,-255.0,157.0,-18.0,0.0,0.0,0.0,0.0,0.0,0.0,4566.0,4747.0,123.0,7033.0,5983.0,170.0,-2467.0,-1236.0,-47.0,0.0,0.0,1.0,3.0,0.0,0.0,6480.0,7691.0,180.0,8916.0,7829.0,216.0,-2436.0,-138.0,-36.0,0.0,0.0,2.0,3.0,1.0,1.0,7915.0,9098.0,195.0,11874.0,11627.0,258.0,-3959.0,-2529.0,-63.0,1.0,1.0,4.0,6.0,5.0,2.0
ESPORTSTMNT02/10086,complete,http://matchhistory.las.leagueoflegends.com/es/#match-details/ESPORTSTMNT02/10086?gameHash=1df7cdb2fa4bbd46,CLS,2017,,0,2017-01-19 21:10:12,1,7.01,10,Red,sup,Badmilk,oe:player:3d7f694772fd8ea7785aef659442b35,Hafnet eSports,oe:team:07f268d6bcf7dfa246348135f512fe2,Zyra,LeBlanc,Rengar,Camille,Maokai,Poppy,,,,,,1844,0,0,4,2,7,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2278,0.8785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,13557.0,441.1171,0.208756,361.7896,0.0,36.0,1.1714,9.0,0.2928,8.0,0.0,0.0,7087.0,3070.0,99.8915,0.117149,7050.0,,,25.0,24.0,1.0,1.0,0.0,0.8134,1884.0,2686.0,1.0,1770.0,2667.0,3.0,114.0,19.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,2866.0,3646.0,3.0,3456.0,4860.0,4.0,-590.0,-1214.0,-1.0,0.0,0.0,1.0,0.0,3.0,0.0,4082.0,4709.0,8.0,4736.0,6115.0,5.0,-654.0,-1406.0,3.0,0.0,0.0,1.0,0.0,4.0,0.0,5409.0,6206.0,16.0,6619.0,9002.0,7.0,-1210.0,-2796.0,9.0,0.0,1.0,3.0,0.0,13.0,0.0
