gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT01_128076,complete,,CT,2024,,1,2024-06-17 15:22:19,1,14.11,1,Blue,top,BGZ Ronin,,BGA eQuizers,oe:team:01b5dd4629769111733c78dd9a011b7,Rumble,Taliyah,Samira,Bel'Veth,Ornn,K'Sante,,,,,,2276,1,9,6,15,31,19,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.8172,1.3181,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,30496,803.9367,0.273895,668.1459,670.7821,11,0.29,5,0.1318,0,25,0.6591,15852,10933,288.2162,0.231297,15050,,,263.0,255.0,8,,,6.9332,3673.0,5042.0,74.0,2950.0,4821.0,53.0,723.0,221.0,21.0,1.0,2.0,2.0,1.0,1.0,2.0,5761.0,8079.0,126.0,4477.0,7305.0,95.0,1284.0,774.0,31.0,1.0,3.0,2.0,1.0,1.0,3.0,7812.0,10077.0,150.0,6821.0,9989.0,143.0,991.0,88.0,7.0,2.0,4.0,2.0,1.0,1.0,3.0,9578.0,12415.0,184.0,8359.0,12469.0,179.0,1219.0,-54.0,5.0,3.0,5.0,3.0,1.0,2.0,3.0
LOLTMNT01_128076,complete,,CT,2024,,1,2024-06-17 15:22:19,1,14.11,2,Blue,jng,ItsCoto,oe:player:6cc4434e99e046ed7a78c636b08275c,BGA eQuizers,oe:team:01b5dd4629769111733c78dd9a011b7,Xin Zhao,Taliyah,Samira,Bel'Veth,Ornn,K'Sante,,,,,,2276,1,8,2,17,31,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8172,1.3181,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,28157,742.2759,0.252887,1378.7346,1213.0492,8,0.2109,12,0.3163,7,63,1.6608,15301,10382,273.6907,0.21964,14325,,,232.0,40.0,192,,,6.116,4136.0,4000.0,65.0,4298.0,3368.0,54.0,-162.0,632.0,11.0,3.0,2.0,2.0,3.0,3.0,2.0,5805.0,5926.0,95.0,6184.0,6358.0,108.0,-379.0,-432.0,-13.0,4.0,2.0,2.0,3.0,3.0,2.0,7948.0,8335.0,134.0,7595.0,8142.0,138.0,353.0,193.0,-4.0,5.0,3.0,2.0,3.0,3.0,2.0,9454.0,11017.0,168.0,9254.0,10404.0,176.0,200.0,613.0,-8.0,5.0,3.0,2.0,3.0,4.0,3.0
LOLTMNT01_128076,complete,,CT,2024,,1,2024-06-17 15:22:19,1,14.11,3,Blue,mid,BGZ Caessar,,BGA eQuizers,oe:team:01b5dd4629769111733c78dd9a011b7,Ahri,Taliyah,Samira,Bel'Veth,Ornn,K'Sante,,,,,,2276,1,6,3,15,31,19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8172,1.3181,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,1.0,0.0,24801,653.8049,0.222746,464.2882,250.0176,25,0.6591,9,0.2373,3,58,1.529,14514,9595,252.9438,0.202991,13325,,,260.0,260.0,0,,,6.8541,3184.0,4108.0,68.0,3476.0,4509.0,74.0,-292.0,-401.0,-6.0,1.0,2.0,1.0,1.0,2.0,1.0,4702.0,6368.0,112.0,5160.0,7206.0,121.0,-458.0,-838.0,-9.0,1.0,2.0,1.0,1.0,2.0,1.0,6795.0,8728.0,157.0,6576.0,8971.0,153.0,219.0,-243.0,4.0,1.0,2.0,1.0,1.0,2.0,2.0,8375.0,10991.0,197.0,8741.0,11488.0,195.0,-366.0,-497.0,2.0,1.0,4.0,1.0,2.0,2.0,2.0
LOLTMNT01_128076,complete,,CT,2024,,1,2024-06-17 15:22:19,1,14.11,4,Blue,bot,Chama,oe:player:d359b69188f00e7d004d586807352cb,BGA eQuizers,oe:team:01b5dd4629769111733c78dd9a011b7,Jinx,Taliyah,Samira,Bel'Veth,Ornn,K'Sante,,,,,,2276,1,7,4,13,31,19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8172,1.3181,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,23499,619.4815,0.211052,429.3322,260.3515,16,0.4218,18,0.4745,4,59,1.5554,16786,11867,312.8383,0.251056,14000,,,353.0,330.0,23,,,9.3058,2973.0,3359.0,74.0,4189.0,3945.0,70.0,-1216.0,-586.0,4.0,0.0,0.0,1.0,3.0,0.0,0.0,4873.0,5906.0,135.0,5883.0,6340.0,121.0,-1010.0,-434.0,14.0,0.0,0.0,1.0,3.0,0.0,0.0,6795.0,8312.0,177.0,7565.0,8777.0,163.0,-770.0,-465.0,14.0,0.0,2.0,1.0,3.0,0.0,1.0,9488.0,10757.0,237.0,9230.0,11059.0,203.0,258.0,-302.0,34.0,2.0,3.0,1.0,3.0,1.0,2.0
LOLTMNT01_128076,complete,,CT,2024,,1,2024-06-17 15:22:19,1,14.11,5,Blue,sup,Archacutor,oe:player:1cc36506b9fa3f1bb373108f7266450,BGA eQuizers,oe:team:01b5dd4629769111733c78dd9a011b7,Taric,Taliyah,Samira,Bel'Veth,Ornn,K'Sante,,,,,,2276,1,1,4,23,31,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8172,1.3181,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,4389,115.703,0.0394191,572.8735,632.768,50,1.3181,11,0.29,7,119,3.1371,9410,4491,118.3919,0.0950154,7825,,,35.0,35.0,0,,,0.9227,2403.0,2271.0,10.0,2382.0,3212.0,15.0,21.0,-941.0,-5.0,1.0,1.0,2.0,0.0,3.0,1.0,3423.0,3470.0,18.0,3388.0,4816.0,25.0,35.0,-1346.0,-7.0,1.0,1.0,2.0,0.0,3.0,1.0,4706.0,5199.0,24.0,4305.0,5509.0,28.0,401.0,-310.0,-4.0,1.0,3.0,2.0,0.0,3.0,1.0,5823.0,7314.0,28.0,5152.0,6642.0,29.0,671.0,672.0,-1.0,1.0,6.0,2.0,0.0,3.0,2.0
LOLTMNT01_128076,complete,,CT,2024,,1,2024-06-17 15:22:19,1,14.11,6,Red,top,Aperugo,oe:player:dde1af863a8e80f6e2cfab8a35f1c62,UCAM Esports Academy,oe:team:f36bb11834ba1d730a49d7b3a2c2db5,Gragas,Skarner,Jhin,Corki,Camille,Aatrox,,,,,,2276,0,2,7,9,19,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5009,1.3181,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,19136,504.464,0.217933,881.4148,710.5097,10,0.2636,8,0.2109,0,28,0.7381,11932,7013,184.877,0.182922,11460,,,225.0,213.0,12,,,5.9315,2950.0,4821.0,53.0,3673.0,5042.0,74.0,-723.0,-221.0,-21.0,1.0,1.0,2.0,1.0,2.0,2.0,4477.0,7305.0,95.0,5761.0,8079.0,126.0,-1284.0,-774.0,-31.0,1.0,1.0,3.0,1.0,3.0,2.0,6821.0,9989.0,143.0,7812.0,10077.0,150.0,-991.0,-88.0,-7.0,1.0,1.0,3.0,2.0,4.0,2.0,8359.0,12469.0,179.0,9578.0,12415.0,184.0,-1219.0,54.0,-5.0,1.0,2.0,3.0,3.0,5.0,3.0
LOLTMNT01_128076,complete,,CT,2024,,1,2024-06-17 15:22:19,1,14.11,7,Red,jng,GRX,oe:player:8e6f195a8784cc4374bf9a6ea00b487,UCAM Esports Academy,oe:team:f36bb11834ba1d730a49d7b3a2c2db5,Viego,Skarner,Jhin,Corki,Camille,Aatrox,,,,,,2276,0,6,7,7,19,31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5009,1.3181,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,17390,458.4359,0.198048,1194.2267,935.8787,7,0.1845,14,0.3691,10,48,1.2654,14180,9261,244.1388,0.241554,13825,,,244.0,52.0,192,,,6.4323,4298.0,3368.0,54.0,4136.0,4000.0,65.0,162.0,-632.0,-11.0,3.0,3.0,2.0,3.0,2.0,2.0,6184.0,6358.0,108.0,5805.0,5926.0,95.0,379.0,432.0,13.0,3.0,3.0,2.0,4.0,2.0,2.0,7595.0,8142.0,138.0,7948.0,8335.0,134.0,-353.0,-193.0,4.0,3.0,3.0,2.0,5.0,3.0,2.0,9254.0,10404.0,176.0,9454.0,11017.0,168.0,-200.0,-613.0,8.0,3.0,4.0,3.0,5.0,3.0,2.0
LOLTMNT01_128076,complete,,CT,2024,,1,2024-06-17 15:22:19,1,14.11,8,Red,mid,FraNico,oe:player:7c42e26d6a14a859bbfe80006d490f2,UCAM Esports Academy,oe:team:f36bb11834ba1d730a49d7b3a2c2db5,LeBlanc,Skarner,Jhin,Corki,Camille,Aatrox,,,,,,2276,0,6,4,5,19,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5009,1.3181,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,1.0,25789,679.8506,0.293701,595.1494,311.7311,19,0.5009,11,0.29,6,61,1.6081,14863,9944,262.1441,0.259368,13850,,,304.0,304.0,0,,,8.0141,3476.0,4509.0,74.0,3184.0,4108.0,68.0,292.0,401.0,6.0,1.0,2.0,1.0,1.0,2.0,1.0,5160.0,7206.0,121.0,4702.0,6368.0,112.0,458.0,838.0,9.0,1.0,2.0,1.0,1.0,2.0,1.0,6576.0,8971.0,153.0,6795.0,8728.0,157.0,-219.0,243.0,-4.0,1.0,2.0,2.0,1.0,2.0,1.0,8741.0,11488.0,195.0,8375.0,10991.0,197.0,366.0,497.0,-2.0,2.0,2.0,2.0,1.0,4.0,1.0
LOLTMNT01_128076,complete,,CT,2024,,1,2024-06-17 15:22:19,1,14.11,9,Red,bot,Lazarus,oe:player:de4c6aad7776fcbbd6639abbdb6cedc,UCAM Esports Academy,oe:team:f36bb11834ba1d730a49d7b3a2c2db5,Nilah,Skarner,Jhin,Corki,Camille,Aatrox,,,,,,2276,0,5,7,7,19,31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5009,1.3181,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,18844,496.7663,0.214607,617.6098,411.696,10,0.2636,2,0.0527,0,13,0.3427,13935,9016,237.6801,0.235164,13805,,,275.0,275.0,0,,,7.2496,4189.0,3945.0,70.0,2973.0,3359.0,74.0,1216.0,586.0,-4.0,3.0,0.0,0.0,0.0,0.0,1.0,5883.0,6340.0,121.0,4873.0,5906.0,135.0,1010.0,434.0,-14.0,3.0,0.0,0.0,0.0,0.0,1.0,7565.0,8777.0,163.0,6795.0,8312.0,177.0,770.0,465.0,-14.0,3.0,0.0,1.0,0.0,2.0,1.0,9230.0,11059.0,203.0,9488.0,10757.0,237.0,-258.0,302.0,-34.0,3.0,1.0,2.0,2.0,3.0,1.0
LOLTMNT01_128076,complete,,CT,2024,,1,2024-06-17 15:22:19,1,14.11,10,Red,sup,UCAM Rainn,,UCAM Esports Academy,oe:team:f36bb11834ba1d730a49d7b3a2c2db5,Nautilus,Skarner,Jhin,Corki,Camille,Aatrox,,,,,,2276,0,0,6,11,19,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5009,1.3181,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,6648,175.2548,0.0757115,535.8612,827.1617,77,2.0299,15,0.3954,22,143,3.7698,8024,3105,81.8541,0.0809936,7700,,,41.0,41.0,0,,,1.0808,2382.0,3212.0,15.0,2403.0,2271.0,10.0,-21.0,941.0,5.0,0.0,3.0,1.0,1.0,1.0,2.0,3388.0,4816.0,25.0,3423.0,3470.0,18.0,-35.0,1346.0,7.0,0.0,3.0,1.0,1.0,1.0,2.0,4305.0,5509.0,28.0,4706.0,5199.0,24.0,-401.0,310.0,4.0,0.0,3.0,1.0,1.0,3.0,2.0,5152.0,6642.0,29.0,5823.0,7314.0,28.0,-671.0,-672.0,1.0,0.0,3.0,2.0,1.0,6.0,2.0
