gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
NA1/3735059392,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/NA1/3735059392/2550786490401888,CU,2021,,0,2021-01-09 17:42:56,1.0,11.01,1,Blue,top,Dhokla,oe:player:5385f74da3e5deb5b66d9a1ee56cf97,Not Academy Team,oe:team:3164955ca46e8960e8b1b520d722cba,Kennen,Lucian,Gragas,Taliyah,Syndra,Galio,,,,,,2221,1,2,3,8,13,12,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3512,0.6754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,21411.0,578.4151,0.319796,629.8784,459.0365,4.0,0.1081,22.0,0.5943,0.0,36.0,0.9725,15073,10267.0,277.3615,0.245448,12500.0,,,295.0,282.0,13.0,5.0,2.0,7.9694,4147.0,4990.0,91.0,2674.0,3980.0,57.0,1473.0,1010.0,34.0,1.0,1.0,0.0,0.0,0.0,2.0,6924.0,7657.0,146.0,3907.0,6150.0,86.0,3017.0,1507.0,60.0,1.0,1.0,0.0,0.0,0.0,2.0,8614.0,9566.0,177.0,6179.0,9550.0,143.0,2435.0,16.0,34.0,1.0,1.0,2.0,1.0,0.0,2.0,10446.0,11943.0,228.0,8332.0,12364.0,183.0,2114.0,-421.0,45.0,1.0,2.0,2.0,2.0,2.0,3.0
NA1/3735059392,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/NA1/3735059392/2550786490401888,CU,2021,,0,2021-01-09 17:42:56,1.0,11.01,2,Blue,jng,winnie,oe:player:0c27ab31c0bcfcd4eac6d3e155ea686,Not Academy Team,oe:team:3164955ca46e8960e8b1b520d722cba,Graves,Lucian,Gragas,Taliyah,Syndra,Galio,,,,,,2221,1,2,2,7,13,12,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3512,0.6754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,14277.0,385.6911,0.213242,517.7668,332.688,15.0,0.4052,22.0,0.5943,14.0,68.0,1.837,14147,9341.0,252.3458,0.22331,12450.0,,,274.0,74.0,200.0,124.0,25.0,7.4021,3507.0,3389.0,58.0,2930.0,2963.0,59.0,577.0,426.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,5246.0,5415.0,88.0,4547.0,5385.0,100.0,699.0,30.0,-12.0,1.0,2.0,1.0,0.0,1.0,1.0,7470.0,8381.0,135.0,6328.0,7593.0,129.0,1142.0,788.0,6.0,1.0,3.0,1.0,1.0,1.0,2.0,9263.0,10886.0,186.0,8313.0,10632.0,171.0,950.0,254.0,15.0,1.0,3.0,2.0,2.0,3.0,2.0
NA1/3735059392,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/NA1/3735059392/2550786490401888,CU,2021,,0,2021-01-09 17:42:56,1.0,11.01,3,Blue,mid,Tuesday,oe:player:cc3a241d9b6a251a9038c7d47131df0,Not Academy Team,oe:team:3164955ca46e8960e8b1b520d722cba,Akali,Lucian,Gragas,Taliyah,Syndra,Galio,,,,,,2221,1,3,3,4,13,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3512,0.6754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,14780.0,399.2796,0.220755,744.1513,508.8789,7.0,0.1891,6.0,0.1621,2.0,35.0,0.9455,13045,8239.0,222.5754,0.196964,10180.0,,,278.0,266.0,12.0,8.0,0.0,7.5101,2888.0,4621.0,73.0,2863.0,4760.0,75.0,25.0,-139.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,4597.0,7075.0,120.0,4316.0,7088.0,110.0,281.0,-13.0,10.0,0.0,1.0,0.0,0.0,2.0,0.0,6663.0,9784.0,170.0,5407.0,8891.0,132.0,1256.0,893.0,38.0,0.0,1.0,0.0,0.0,2.0,0.0,7937.0,11534.0,197.0,6854.0,11166.0,165.0,1083.0,368.0,32.0,0.0,1.0,1.0,0.0,4.0,0.0
NA1/3735059392,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/NA1/3735059392/2550786490401888,CU,2021,,0,2021-01-09 17:42:56,1.0,11.01,4,Blue,bot,Apollo,oe:player:3caf8d2f2d789c0f073a824f8a71d59,Not Academy Team,oe:team:3164955ca46e8960e8b1b520d722cba,Kai'Sa,Lucian,Gragas,Taliyah,Syndra,Galio,,,,,,2221,1,4,1,4,13,12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3512,0.6754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12338.0,333.3093,0.184281,432.0216,262.4493,16.0,0.4322,19.0,0.5133,6.0,50.0,1.3507,15458,10652.0,287.7623,0.254653,12150.0,,,358.0,328.0,30.0,20.0,2.0,9.6713,3307.0,3203.0,90.0,3509.0,3474.0,96.0,-202.0,-271.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,5283.0,5586.0,143.0,5436.0,5223.0,140.0,-153.0,363.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,7112.0,7578.0,175.0,7361.0,7371.0,200.0,-249.0,207.0,-25.0,0.0,1.0,0.0,1.0,1.0,0.0,9282.0,10380.0,234.0,9622.0,9790.0,255.0,-340.0,590.0,-21.0,1.0,1.0,0.0,2.0,2.0,0.0
NA1/3735059392,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/NA1/3735059392/2550786490401888,CU,2021,,0,2021-01-09 17:42:56,1.0,11.01,5,Blue,sup,Zeyzal,oe:player:6841f2d68619d53bdd1cdbf30b5be2c,Not Academy Team,oe:team:3164955ca46e8960e8b1b520d722cba,Alistar,Lucian,Gragas,Taliyah,Syndra,Galio,,,,,,2221,1,2,3,6,13,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3512,0.6754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4146.0,112.0036,0.061925,432.1027,536.9743,67.0,1.81,16.0,0.4322,24.0,120.0,3.2418,8137,3331.0,89.9865,0.0796255,7500.0,,,38.0,38.0,0.0,0.0,0.0,1.0266,1988.0,2336.0,12.0,2115.0,2538.0,16.0,-127.0,-202.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,3447.0,3379.0,20.0,3552.0,4148.0,28.0,-105.0,-769.0,-8.0,1.0,0.0,1.0,1.0,1.0,0.0,4841.0,4162.0,26.0,4702.0,6323.0,30.0,139.0,-2161.0,-4.0,2.0,0.0,1.0,1.0,3.0,0.0,5788.0,5381.0,30.0,5659.0,7699.0,35.0,129.0,-2318.0,-5.0,2.0,1.0,2.0,1.0,5.0,0.0
NA1/3735059392,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/NA1/3735059392/2550786490401888,CU,2021,,0,2021-01-09 17:42:56,1.0,11.01,6,Red,top,Chim,oe:player:8b7b362f0be0a35dc80ea775ea19cb7,ANEW Rising,oe:team:dfbc53a1d6a3646a7e7dc1278a137ac,Sylas,Olaf,Pantheon,Seraphine,Aatrox,Thresh,,,,,,2221,0,3,5,3,12,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3242,0.6754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,21697.0,586.1414,0.30896,811.6614,961.9991,15.0,0.4052,2.0,0.054,3.0,34.0,0.9185,14089,9283.0,250.7789,0.251664,13810.0,,,282.0,258.0,24.0,10.0,0.0,7.6182,2674.0,3980.0,57.0,4147.0,4990.0,91.0,-1473.0,-1010.0,-34.0,0.0,0.0,2.0,1.0,1.0,0.0,3907.0,6150.0,86.0,6924.0,7657.0,146.0,-3017.0,-1507.0,-60.0,0.0,0.0,2.0,1.0,1.0,0.0,6179.0,9550.0,143.0,8614.0,9566.0,177.0,-2435.0,-16.0,-34.0,1.0,0.0,2.0,1.0,1.0,2.0,8332.0,12364.0,183.0,10446.0,11943.0,228.0,-2114.0,421.0,-45.0,2.0,2.0,3.0,1.0,2.0,2.0
NA1/3735059392,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/NA1/3735059392/2550786490401888,CU,2021,,0,2021-01-09 17:42:56,1.0,11.01,7,Red,jng,Hyami,oe:player:dfabf6008e5be18683d654b25534d03,ANEW Rising,oe:team:dfbc53a1d6a3646a7e7dc1278a137ac,Kindred,Olaf,Pantheon,Seraphine,Aatrox,Thresh,,,,,,2221,0,4,4,5,12,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3242,0.6754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,20155.0,544.4845,0.287002,1054.4439,721.6209,10.0,0.2701,14.0,0.3782,12.0,47.0,1.2697,12654,7848.0,212.0126,0.212759,12400.0,,,233.0,37.0,196.0,149.0,13.0,6.2945,2930.0,2963.0,59.0,3507.0,3389.0,58.0,-577.0,-426.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,4547.0,5385.0,100.0,5246.0,5415.0,88.0,-699.0,-30.0,12.0,0.0,1.0,1.0,1.0,2.0,1.0,6328.0,7593.0,129.0,7470.0,8381.0,135.0,-1142.0,-788.0,-6.0,1.0,1.0,2.0,1.0,3.0,1.0,8313.0,10632.0,171.0,9263.0,10886.0,186.0,-950.0,-254.0,-15.0,2.0,3.0,2.0,1.0,3.0,2.0
NA1/3735059392,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/NA1/3735059392/2550786490401888,CU,2021,,0,2021-01-09 17:42:56,1.0,11.01,8,Red,mid,RobbyBob,oe:player:1c275bedd474301abb6a402792d0731,ANEW Rising,oe:team:dfbc53a1d6a3646a7e7dc1278a137ac,Lulu,Olaf,Pantheon,Seraphine,Aatrox,Thresh,,,,,,2221,0,1,2,6,12,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3242,0.6754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10395.0,280.8195,0.148022,392.4178,162.0891,21.0,0.5673,2.0,0.054,8.0,37.0,0.9995,10006,5200.0,140.4773,0.140968,8885.0,,,200.0,200.0,0.0,0.0,0.0,5.403,2863.0,4760.0,75.0,2888.0,4621.0,73.0,-25.0,139.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4316.0,7088.0,110.0,4597.0,7075.0,120.0,-281.0,13.0,-10.0,0.0,2.0,0.0,0.0,1.0,0.0,5407.0,8891.0,132.0,6663.0,9784.0,170.0,-1256.0,-893.0,-38.0,0.0,2.0,0.0,0.0,1.0,0.0,6854.0,11166.0,165.0,7937.0,11534.0,197.0,-1083.0,-368.0,-32.0,0.0,4.0,0.0,0.0,1.0,1.0
NA1/3735059392,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/NA1/3735059392/2550786490401888,CU,2021,,0,2021-01-09 17:42:56,1.0,11.01,9,Red,bot,Kyle,oe:player:8a25863fe5045bb08949998a2c39329,ANEW Rising,oe:team:dfbc53a1d6a3646a7e7dc1278a137ac,Jhin,Olaf,Pantheon,Seraphine,Aatrox,Thresh,,,,,,2221,0,2,1,5,12,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3242,0.6754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,13474.0,363.9982,0.191866,262.0171,132.697,15.0,0.4052,9.0,0.2431,4.0,38.0,1.0266,15309,10503.0,283.7371,0.28474,14750.0,,,378.0,361.0,17.0,9.0,4.0,10.2116,3509.0,3474.0,96.0,3307.0,3203.0,90.0,202.0,271.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5436.0,5223.0,140.0,5283.0,5586.0,143.0,153.0,-363.0,-3.0,1.0,1.0,0.0,0.0,1.0,0.0,7361.0,7371.0,200.0,7112.0,7578.0,175.0,249.0,-207.0,25.0,1.0,1.0,0.0,0.0,1.0,0.0,9622.0,9790.0,255.0,9282.0,10380.0,234.0,340.0,-590.0,21.0,2.0,2.0,0.0,1.0,1.0,0.0
NA1/3735059392,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/NA1/3735059392/2550786490401888,CU,2021,,0,2021-01-09 17:42:56,1.0,11.01,10,Red,sup,John,oe:player:59ab87a8d46e2d01826337b6105cbb6,ANEW Rising,oe:team:dfbc53a1d6a3646a7e7dc1278a137ac,Shen,Olaf,Pantheon,Seraphine,Aatrox,Thresh,,,,,,2221,0,2,1,8,12,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3242,0.6754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4505.0,121.7019,0.06415,384.2593,571.5263,100.0,2.7015,16.0,0.4322,23.0,135.0,3.647,8859,4053.0,109.4912,0.109871,8725.0,,,44.0,44.0,0.0,0.0,0.0,1.1887,2115.0,2538.0,16.0,1988.0,2336.0,12.0,127.0,202.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3552.0,4148.0,28.0,3447.0,3379.0,20.0,105.0,769.0,8.0,1.0,1.0,0.0,1.0,0.0,1.0,4702.0,6323.0,30.0,4841.0,4162.0,26.0,-139.0,2161.0,4.0,1.0,3.0,0.0,2.0,0.0,1.0,5659.0,7699.0,35.0,5788.0,5381.0,30.0,-129.0,2318.0,5.0,1.0,5.0,0.0,2.0,1.0,2.0
