gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
1026-981,partial,https://lpl.qq.com/es/stats.shtml?bmid=1026,DCup,2016,,0,2016-06-29 04:25:45,1,,1,Blue,top,GimGoon,oe:player:e657a3a85d87422def10751fd190b72,Game Talents,oe:team:a0995be66c38dc996c6fd94bd9db9c3,Fizz,Twisted Fate,Bard,Ryze,,,,,,,,1960,1,4,3,10,27,9,,,0.0,0.0,,0.0,,,0.8265,1.102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15805.0,483.8265,0.167256,619.2245,,18.0,0.551,4.0,0.1224,5.0,,,12549.0,8521.0,260.8469,0.180411,,,,220.0,209.0,11.0,7.0,4.0,6.7347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1026-981,partial,https://lpl.qq.com/es/stats.shtml?bmid=1026,DCup,2016,,0,2016-06-29 04:25:45,1,,2,Blue,jng,WuShuang,oe:player:99051f1ade6e937757b3e9e4db60c4c,Game Talents,oe:team:a0995be66c38dc996c6fd94bd9db9c3,Rek'Sai,Twisted Fate,Bard,Ryze,,,,,,,,1960,1,7,1,16,27,9,,,0.0,0.0,,0.0,,,0.8265,1.102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14548.0,445.3469,0.153954,1230.0918,,26.0,0.7959,12.0,0.3673,2.0,,,14566.0,10538.0,322.5918,0.223116,,,,186.0,56.0,130.0,83.0,47.0,5.6939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1026-981,partial,https://lpl.qq.com/es/stats.shtml?bmid=1026,DCup,2016,,0,2016-06-29 04:25:45,1,,3,Blue,mid,Grail,oe:player:c31d9121946c66a4be31950f016b3a4,Game Talents,oe:team:a0995be66c38dc996c6fd94bd9db9c3,Viktor,Twisted Fate,Bard,Ryze,,,,,,,,1960,1,5,2,17,27,9,,,0.0,0.0,,0.0,,,0.8265,1.102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30507.0,933.8878,0.322839,350.449,,14.0,0.4286,4.0,0.1224,1.0,,,14027.0,9999.0,306.0918,0.211704,,,,273.0,263.0,10.0,9.0,1.0,8.3571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1026-981,partial,https://lpl.qq.com/es/stats.shtml?bmid=1026,DCup,2016,,0,2016-06-29 04:25:45,1,,4,Blue,bot,PentaQ,oe:player:2238d661c20dc1a5beb5aaa5514f2b5,Game Talents,oe:team:a0995be66c38dc996c6fd94bd9db9c3,Ezreal,Twisted Fate,Bard,Ryze,,,,,,,,1960,1,10,2,12,27,9,,,0.0,0.0,,0.0,,,0.8265,1.102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28758.0,880.3469,0.30433,439.8367,,10.0,0.3061,3.0,0.0918,1.0,,,16692.0,12664.0,387.6735,0.268129,,,,284.0,255.0,29.0,24.0,5.0,8.6939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1026-981,partial,https://lpl.qq.com/es/stats.shtml?bmid=1026,DCup,2016,,0,2016-06-29 04:25:45,1,,5,Blue,sup,Savoki,oe:player:48cf5e2fc2ae01c6b849283b065b583,Game Talents,oe:team:a0995be66c38dc996c6fd94bd9db9c3,Braum,Twisted Fate,Bard,Ryze,,,,,,,,1960,1,1,1,22,27,9,,,0.0,0.0,,0.0,,,0.8265,1.102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4878.0,149.3265,0.0516212,600.6735,,47.0,1.4388,7.0,0.2143,10.0,,,9537.0,5509.0,168.6429,0.116639,,,,55.0,55.0,0.0,0.0,0.0,1.6837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1026-981,partial,https://lpl.qq.com/es/stats.shtml?bmid=1026,DCup,2016,,0,2016-06-29 04:25:45,1,,6,Red,top,F,oe:player:d6edacf747f35f7e39bc6ae9e012c98,Vici Gaming,oe:team:5627e3ef0b2477289b218ddeb6a151a,Maokai,Trundle,Kindred,Vladimir,,,,,,,,1960,0,1,5,5,9,27,,,0.0,0.0,,0.0,,,0.2755,1.102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10129.0,310.0714,0.171792,942.9184,,19.0,0.5816,7.0,0.2143,4.0,,,10209.0,6181.0,189.2143,0.20013,,,,224.0,224.0,0.0,0.0,0.0,6.8571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1026-981,partial,https://lpl.qq.com/es/stats.shtml?bmid=1026,DCup,2016,,0,2016-06-29 04:25:45,1,,7,Red,jng,Loong,oe:player:b5e77cbbde6e6a5b9a6bce02d7e6383,Vici Gaming,oe:team:5627e3ef0b2477289b218ddeb6a151a,Elise,Trundle,Kindred,Vladimir,,,,,,,,1960,0,5,8,3,9,27,,,0.0,0.0,,1.0,,,0.2755,1.102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11623.0,355.8061,0.19713,814.6224,,26.0,0.7959,11.0,0.3367,3.0,,,11305.0,7277.0,222.7653,0.235616,,,,138.0,47.0,91.0,76.0,15.0,4.2245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1026-981,partial,https://lpl.qq.com/es/stats.shtml?bmid=1026,DCup,2016,,0,2016-06-29 04:25:45,1,,8,Red,mid,Peng,oe:player:1e67202e5b7a75662ea2cbd4561df25,Vici Gaming,oe:team:5627e3ef0b2477289b218ddeb6a151a,Kassadin,Trundle,Kindred,Vladimir,,,,,,,,1960,0,2,5,3,9,27,,,0.0,0.0,,0.0,,,0.2755,1.102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13779.0,421.8061,0.233697,788.9694,,10.0,0.3061,13.0,0.398,6.0,,,11324.0,7296.0,223.3469,0.236231,,,,278.0,265.0,13.0,13.0,0.0,8.5102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1026-981,partial,https://lpl.qq.com/es/stats.shtml?bmid=1026,DCup,2016,,0,2016-06-29 04:25:45,1,,9,Red,bot,Endless,oe:player:263047db41751328681fe015003558d,Vici Gaming,oe:team:5627e3ef0b2477289b218ddeb6a151a,Jhin,Trundle,Kindred,Vladimir,,,,,,,,1960,0,1,5,5,9,27,,,0.0,0.0,,0.0,,,0.2755,1.102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19221.0,588.398,0.325995,433.3469,,10.0,0.3061,1.0,0.0306,1.0,,,10687.0,6659.0,203.8469,0.215606,,,,259.0,251.0,8.0,7.0,1.0,7.9286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1026-981,partial,https://lpl.qq.com/es/stats.shtml?bmid=1026,DCup,2016,,0,2016-06-29 04:25:45,1,,10,Red,sup,Duan,oe:player:5961b9c45e8cd870020433a870618cd,Vici Gaming,oe:team:5627e3ef0b2477289b218ddeb6a151a,Thresh,Trundle,Kindred,Vladimir,,,,,,,,1960,0,0,4,6,9,27,,,0.0,0.0,,0.0,,,0.2755,1.102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4209.0,128.8469,0.0713862,449.9388,,31.0,0.949,15.0,0.4592,6.0,,,7500.0,3472.0,106.2857,0.112417,,,,51.0,51.0,0.0,0.0,0.0,1.5612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
