gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT02/981429,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/981429?gameHash=324a05610cedfc38,DDH,2019,,0,2019-01-25 01:08:58,1,9.01,1,Blue,top,Horatito,oe:player:a76329ee995ca432d9a5f53affcca46,Arctic Gaming México,oe:team:ac655e92876e020fc404aff244a95e3,Gnar,Irelia,Akali,Camille,Kai'Sa,Tristana,,,,,,1802,1,2,1,9,19,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6326,0.9656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12619.0,420.1665,0.174154,635.6271,576.7259,16.0,0.5327,10.0,0.333,10.0,38.0,1.2653,12831.0,8879.0,295.6382,0.240622,11875.0,,,247.0,228.0,19.0,11.0,1.0,8.2242,3235.0,4401.0,87.0,3190.0,4856.0,64.0,45.0,-455.0,23.0,0.0,0.0,1.0,1.0,0.0,0.0,4746.0,6908.0,129.0,4610.0,7112.0,107.0,136.0,-204.0,22.0,0.0,0.0,1.0,1.0,0.0,0.0,7606.0,9757.0,184.0,6465.0,10226.0,156.0,1141.0,-469.0,28.0,0.0,0.0,1.0,1.0,1.0,0.0,10304.0,13650.0,217.0,7606.0,11448.0,178.0,2698.0,2202.0,39.0,1.0,4.0,1.0,1.0,2.0,2.0
ESPORTSTMNT02/981429,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/981429?gameHash=324a05610cedfc38,DDH,2019,,0,2019-01-25 01:08:58,1,9.01,2,Blue,jng,Techo,oe:player:f0921b20e587a4942756c7572071178,Arctic Gaming México,oe:team:ac655e92876e020fc404aff244a95e3,Xin Zhao,Irelia,Akali,Camille,Kai'Sa,Tristana,,,,,,1802,1,5,2,9,19,10,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6326,0.9656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,10710.0,356.6038,0.147808,941.1543,726.6926,22.0,0.7325,5.0,0.1665,9.0,51.0,1.6981,11144.0,7192.0,239.4673,0.194905,9150.0,,,145.0,19.0,126.0,67.0,15.0,4.828,2968.0,3007.0,55.0,2814.0,3082.0,50.0,154.0,-75.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4270.0,4768.0,80.0,4445.0,5174.0,77.0,-175.0,-406.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,5953.0,7047.0,100.0,5641.0,7103.0,97.0,312.0,-56.0,3.0,0.0,3.0,1.0,1.0,1.0,0.0,8889.0,10584.0,124.0,6732.0,8567.0,114.0,2157.0,2017.0,10.0,4.0,4.0,1.0,1.0,1.0,2.0
ESPORTSTMNT02/981429,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/981429?gameHash=324a05610cedfc38,DDH,2019,,0,2019-01-25 01:08:58,1,9.01,3,Blue,mid,Kyoto,oe:player:492379b2b8f7ac3f7cc8e0ca6254f4b,Arctic Gaming México,oe:team:ac655e92876e020fc404aff244a95e3,Cassiopeia,Irelia,Akali,Camille,Kai'Sa,Tristana,,,,,,1802,1,10,1,8,19,10,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6326,0.9656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,25330.0,843.3962,0.349577,575.7603,297.3363,11.0,0.3663,2.0,0.0666,5.0,27.0,0.899,14753.0,10801.0,359.6337,0.292706,12375.0,,,254.0,234.0,20.0,12.0,8.0,8.4573,3186.0,4548.0,88.0,3466.0,3917.0,62.0,-280.0,631.0,26.0,0.0,0.0,0.0,2.0,0.0,0.0,5458.0,7417.0,147.0,5195.0,6643.0,111.0,263.0,774.0,36.0,0.0,0.0,0.0,2.0,1.0,0.0,8338.0,9957.0,193.0,7268.0,9452.0,158.0,1070.0,505.0,35.0,2.0,1.0,0.0,3.0,1.0,1.0,11318.0,13642.0,228.0,8683.0,11093.0,189.0,2635.0,2549.0,39.0,4.0,6.0,0.0,3.0,2.0,2.0
ESPORTSTMNT02/981429,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/981429?gameHash=324a05610cedfc38,DDH,2019,,0,2019-01-25 01:08:58,1,9.01,4,Blue,bot,1an,oe:player:66ab489a258eb5f955bb3fe12efcdc3,Arctic Gaming México,oe:team:ac655e92876e020fc404aff244a95e3,Galio,Irelia,Akali,Camille,Kai'Sa,Tristana,,,,,,1802,1,2,4,12,19,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6326,0.9656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,16642.0,554.1176,0.229675,733.8513,668.7236,12.0,0.3996,3.0,0.0999,3.0,25.0,0.8324,10238.0,6286.0,209.3008,0.170354,8875.0,,,194.0,186.0,8.0,8.0,0.0,6.4595,2698.0,3149.0,63.0,3279.0,2872.0,69.0,-581.0,277.0,-6.0,0.0,0.0,1.0,0.0,2.0,0.0,4191.0,5595.0,104.0,4985.0,4949.0,112.0,-794.0,646.0,-8.0,0.0,0.0,2.0,0.0,3.0,0.0,5776.0,6920.0,128.0,7590.0,7085.0,158.0,-1814.0,-165.0,-30.0,1.0,0.0,3.0,1.0,4.0,1.0,8137.0,10735.0,165.0,9464.0,8417.0,185.0,-1327.0,2318.0,-20.0,1.0,6.0,3.0,2.0,4.0,3.0
ESPORTSTMNT02/981429,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/981429?gameHash=324a05610cedfc38,DDH,2019,,0,2019-01-25 01:08:58,1,9.01,5,Blue,sup,Vipér,oe:player:b4e17497eeb47d39ba72dbfcf14fc2b,Arctic Gaming México,oe:team:ac655e92876e020fc404aff244a95e3,Karma,Irelia,Akali,Camille,Kai'Sa,Tristana,,,,,,1802,1,0,2,15,19,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6326,0.9656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7158.0,238.3352,0.0987869,215.0943,120.3996,23.0,0.7658,12.0,0.3996,7.0,53.0,1.7647,7694.0,3742.0,124.5949,0.101413,6025.0,,,20.0,20.0,0.0,0.0,0.0,0.6659,2078.0,2433.0,8.0,2252.0,2686.0,1.0,-174.0,-253.0,7.0,0.0,0.0,1.0,0.0,2.0,0.0,3020.0,3287.0,9.0,3156.0,3666.0,4.0,-136.0,-379.0,5.0,0.0,0.0,1.0,0.0,3.0,0.0,4156.0,5349.0,12.0,4224.0,5181.0,6.0,-68.0,168.0,6.0,0.0,3.0,1.0,0.0,5.0,1.0,5818.0,7570.0,16.0,5257.0,6651.0,12.0,561.0,919.0,4.0,0.0,7.0,2.0,0.0,6.0,1.0
ESPORTSTMNT02/981429,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/981429?gameHash=324a05610cedfc38,DDH,2019,,0,2019-01-25 01:08:58,1,9.01,6,Red,top,JeiiZe,oe:player:728e0fd14bdfc32a96a3c8ffd1a33a4,x6tence México,oe:team:97a0a823fda2047f7ce43ecf0e5f12e,Sion,Lucian,Aatrox,Urgot,Olaf,Evelynn,,,,,,1802,0,2,4,3,10,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.9656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,13444.0,447.636,0.232555,837.9023,1213.9845,13.0,0.4329,5.0,0.1665,4.0,23.0,0.7658,9996.0,6044.0,201.2431,0.221196,9800.0,,,209.0,204.0,5.0,4.0,0.0,6.9589,3190.0,4856.0,64.0,3235.0,4401.0,87.0,-45.0,455.0,-23.0,1.0,0.0,0.0,0.0,0.0,1.0,4610.0,7112.0,107.0,4746.0,6908.0,129.0,-136.0,204.0,-22.0,1.0,0.0,0.0,0.0,0.0,1.0,6465.0,10226.0,156.0,7606.0,9757.0,184.0,-1141.0,469.0,-28.0,1.0,1.0,0.0,0.0,0.0,1.0,7606.0,11448.0,178.0,10304.0,13650.0,217.0,-2698.0,-2202.0,-39.0,1.0,2.0,2.0,1.0,4.0,1.0
ESPORTSTMNT02/981429,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/981429?gameHash=324a05610cedfc38,DDH,2019,,0,2019-01-25 01:08:58,1,9.01,7,Red,jng,Chente,oe:player:c569ed8a7809cff7b9d7f3f910e7aac,x6tence México,oe:team:97a0a823fda2047f7ce43ecf0e5f12e,Nocturne,Lucian,Aatrox,Urgot,Olaf,Evelynn,,,,,,1802,0,1,4,2,10,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.9656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,6079.0,202.4084,0.105155,778.8679,545.5938,8.0,0.2664,4.0,0.1332,5.0,32.0,1.0655,7859.0,3907.0,130.0888,0.142991,7600.0,,,129.0,17.0,112.0,86.0,0.0,4.2952,2814.0,3082.0,50.0,2968.0,3007.0,55.0,-154.0,75.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,4445.0,5174.0,77.0,4270.0,4768.0,80.0,175.0,406.0,-3.0,1.0,0.0,0.0,0.0,0.0,0.0,5641.0,7103.0,97.0,5953.0,7047.0,100.0,-312.0,56.0,-3.0,1.0,1.0,0.0,0.0,3.0,1.0,6732.0,8567.0,114.0,8889.0,10584.0,124.0,-2157.0,-2017.0,-10.0,1.0,1.0,2.0,4.0,4.0,1.0
ESPORTSTMNT02/981429,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/981429?gameHash=324a05610cedfc38,DDH,2019,,0,2019-01-25 01:08:58,1,9.01,8,Red,mid,EdiWeasley,oe:player:a4e534dbaf4c40ad5586032bcacf200,x6tence México,oe:team:97a0a823fda2047f7ce43ecf0e5f12e,Corki,Lucian,Aatrox,Urgot,Olaf,Evelynn,,,,,,1802,0,3,4,3,10,19,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.333,0.9656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,19180.0,638.6238,0.331776,551.0211,253.0522,11.0,0.3663,11.0,0.3663,4.0,43.0,1.4317,10210.0,6258.0,208.3685,0.229028,9308.0,,,222.0,209.0,13.0,9.0,0.0,7.3918,3466.0,3917.0,62.0,3186.0,4548.0,88.0,280.0,-631.0,-26.0,2.0,0.0,0.0,0.0,0.0,0.0,5195.0,6643.0,111.0,5458.0,7417.0,147.0,-263.0,-774.0,-36.0,2.0,1.0,0.0,0.0,0.0,0.0,7268.0,9452.0,158.0,8338.0,9957.0,193.0,-1070.0,-505.0,-35.0,3.0,1.0,1.0,2.0,1.0,0.0,8683.0,11093.0,189.0,11318.0,13642.0,228.0,-2635.0,-2549.0,-39.0,3.0,2.0,2.0,4.0,6.0,0.0
ESPORTSTMNT02/981429,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/981429?gameHash=324a05610cedfc38,DDH,2019,,0,2019-01-25 01:08:58,1,9.01,9,Red,bot,Demy,oe:player:dac3ebed07ccecf0b97a0cfb027f1e3,x6tence México,oe:team:97a0a823fda2047f7ce43ecf0e5f12e,Draven,Lucian,Aatrox,Urgot,Olaf,Evelynn,,,,,,1802,0,4,4,5,10,19,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.333,0.9656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,16417.0,546.626,0.283982,578.8568,476.737,12.0,0.3996,3.0,0.0999,4.0,28.0,0.9323,12637.0,8685.0,289.1787,0.317846,12450.0,,,225.0,215.0,10.0,8.0,2.0,7.4917,3279.0,2872.0,69.0,2698.0,3149.0,63.0,581.0,-277.0,6.0,0.0,2.0,0.0,0.0,0.0,1.0,4985.0,4949.0,112.0,4191.0,5595.0,104.0,794.0,-646.0,8.0,0.0,3.0,0.0,0.0,0.0,2.0,7590.0,7085.0,158.0,5776.0,6920.0,128.0,1814.0,165.0,30.0,1.0,4.0,1.0,1.0,0.0,3.0,9464.0,8417.0,185.0,8137.0,10735.0,165.0,1327.0,-2318.0,20.0,2.0,4.0,3.0,1.0,6.0,3.0
ESPORTSTMNT02/981429,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/981429?gameHash=324a05610cedfc38,DDH,2019,,0,2019-01-25 01:08:58,1,9.01,10,Red,sup,BetaTwinz,oe:player:c2a90baf58e14e224415293a8ad34ff,x6tence México,oe:team:97a0a823fda2047f7ce43ecf0e5f12e,Thresh,Lucian,Aatrox,Urgot,Olaf,Evelynn,,,,,,1802,0,0,3,8,10,19,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.333,0.9656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2690.0,89.5671,0.0465317,377.0144,429.6226,42.0,1.3984,9.0,0.2997,15.0,68.0,2.2642,6382.0,2430.0,80.9101,0.0889393,5325.0,,,16.0,16.0,0.0,0.0,0.0,0.5327,2252.0,2686.0,1.0,2078.0,2433.0,8.0,174.0,253.0,-7.0,0.0,2.0,0.0,0.0,0.0,1.0,3156.0,3666.0,4.0,3020.0,3287.0,9.0,136.0,379.0,-5.0,0.0,3.0,0.0,0.0,0.0,1.0,4224.0,5181.0,6.0,4156.0,5349.0,12.0,68.0,-168.0,-6.0,0.0,5.0,1.0,0.0,3.0,1.0,5257.0,6651.0,12.0,5818.0,7570.0,16.0,-561.0,-919.0,-4.0,0.0,6.0,1.0,0.0,7.0,2.0
