gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT03_3083253,complete,,DDH,2023,,0,2023-01-13 01:07:50,1,13.01,1,Blue,top,Fourlink,oe:player:8a0199c861838e477c833f09690a328,Reven Esports,oe:team:4054ca135a8ad4383af9b6bed4fabcf,Fiora,Heimerdinger,Nami,Viego,Lulu,Ryze,,,,,,1690,0,1,3,3,10,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.355,1.1716,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,12474.0,442.8639,0.181564,744.7456,676.1538,12.0,0.426,3.0,0.1065,3.0,24.0,0.8521,9131,5408,192.0,0.213149,9075.0,,,192.0,192.0,0.0,,,6.8166,2744.0,4114.0,62.0,4136.0,5034.0,88.0,-1392.0,-920.0,-26.0,0.0,0.0,0.0,1.0,0.0,0.0,4281.0,6763.0,106.0,6533.0,8088.0,142.0,-2252.0,-1325.0,-36.0,0.0,0.0,0.0,1.0,0.0,0.0,6025.0,9353.0,149.0,8954.0,10754.0,179.0,-2929.0,-1401.0,-30.0,0.0,2.0,0.0,3.0,1.0,1.0,7631.0,10762.0,173.0,12405.0,14626.0,226.0,-4774.0,-3864.0,-53.0,0.0,2.0,2.0,5.0,5.0,1.0
ESPORTSTMNT03_3083253,complete,,DDH,2023,,0,2023-01-13 01:07:50,1,13.01,2,Blue,jng,Chevis,oe:player:7a70dc91a6fd63338f34b6d1b02ad01,Reven Esports,oe:team:4054ca135a8ad4383af9b6bed4fabcf,Vi,Heimerdinger,Nami,Viego,Lulu,Ryze,,,,,,1690,0,1,5,7,10,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.355,1.1716,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,0.0,0.0,7710.0,273.7278,0.112222,778.5444,1173.6568,7.0,0.2485,6.0,0.213,8.0,34.0,1.2071,9103,5380,191.0059,0.212045,9000.0,,,190.0,33.0,157.0,,,6.7456,3051.0,3473.0,68.0,3438.0,3260.0,54.0,-387.0,213.0,14.0,0.0,0.0,2.0,1.0,2.0,0.0,4635.0,5271.0,99.0,4809.0,5037.0,85.0,-174.0,234.0,14.0,0.0,1.0,2.0,1.0,2.0,1.0,6698.0,8068.0,137.0,6943.0,7831.0,123.0,-245.0,237.0,14.0,1.0,4.0,3.0,2.0,4.0,2.0,8244.0,10351.0,172.0,10061.0,10710.0,141.0,-1817.0,-359.0,31.0,1.0,5.0,4.0,5.0,8.0,2.0
ESPORTSTMNT03_3083253,complete,,DDH,2023,,0,2023-01-13 01:07:50,1,13.01,3,Blue,mid,Flacoyo,oe:player:6f23383b72c3b56024a5b7d568ce680,Reven Esports,oe:team:4054ca135a8ad4383af9b6bed4fabcf,Vex,Heimerdinger,Nami,Viego,Lulu,Ryze,,,,,,1690,0,3,3,4,10,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.355,1.1716,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,2.0,16429.0,583.2781,0.239131,438.3905,386.7337,13.0,0.4615,4.0,0.142,2.0,32.0,1.1361,9114,5391,191.3964,0.212479,9035.0,,,190.0,186.0,4.0,,,6.7456,2873.0,4452.0,71.0,3369.0,4663.0,84.0,-496.0,-211.0,-13.0,0.0,0.0,0.0,1.0,0.0,0.0,4573.0,6810.0,112.0,4953.0,6968.0,128.0,-380.0,-158.0,-16.0,1.0,0.0,0.0,1.0,0.0,0.0,6557.0,8510.0,138.0,7413.0,9775.0,180.0,-856.0,-1265.0,-42.0,3.0,1.0,1.0,2.0,0.0,1.0,7976.0,10492.0,167.0,10353.0,13331.0,221.0,-2377.0,-2839.0,-54.0,3.0,2.0,2.0,4.0,3.0,1.0
ESPORTSTMNT03_3083253,complete,,DDH,2023,,0,2023-01-13 01:07:50,1,13.01,4,Blue,bot,Dantesito,oe:player:b1d0f7e8d9c568493e5e84dab363640,Reven Esports,oe:team:4054ca135a8ad4383af9b6bed4fabcf,Ziggs,Heimerdinger,Nami,Viego,Lulu,Ryze,,,,,,1690,0,4,5,4,10,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.355,1.1716,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,1.0,23447.0,832.4379,0.341281,478.9704,232.1183,8.0,0.284,0.0,0.0,2.0,10.0,0.355,10365,6642,235.8107,0.261787,10050.0,,,201.0,201.0,0.0,,,7.1361,2783.0,2974.0,48.0,4784.0,3769.0,92.0,-2001.0,-795.0,-44.0,1.0,0.0,2.0,3.0,1.0,1.0,4310.0,5462.0,86.0,6738.0,6360.0,142.0,-2428.0,-898.0,-56.0,1.0,1.0,2.0,3.0,1.0,2.0,6544.0,8373.0,133.0,10016.0,9569.0,215.0,-3472.0,-1196.0,-82.0,2.0,3.0,3.0,4.0,4.0,2.0,8448.0,10292.0,164.0,12530.0,12411.0,253.0,-4082.0,-2119.0,-89.0,3.0,3.0,4.0,4.0,9.0,3.0
ESPORTSTMNT03_3083253,complete,,DDH,2023,,0,2023-01-13 01:07:50,1,13.01,5,Blue,sup,Toayin,oe:player:521017c8cf2f7cef4c4d35fbe532026,Reven Esports,oe:team:4054ca135a8ad4383af9b6bed4fabcf,Renata Glasc,Heimerdinger,Nami,Viego,Lulu,Ryze,,,,,,1690,0,1,7,5,10,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.355,1.1716,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,8643.0,306.8521,0.125802,583.4911,339.8343,41.0,1.4556,10.0,0.355,9.0,69.0,2.4497,6274,2551,90.568,0.10054,5725.0,,,15.0,15.0,0.0,,,0.5325,2117.0,1639.0,4.0,2933.0,2464.0,1.0,-816.0,-825.0,3.0,0.0,0.0,2.0,0.0,5.0,0.0,3749.0,2937.0,6.0,3975.0,2989.0,4.0,-226.0,-52.0,2.0,1.0,0.0,2.0,0.0,5.0,0.0,4749.0,4740.0,10.0,5390.0,5478.0,9.0,-641.0,-738.0,1.0,1.0,2.0,4.0,0.0,9.0,1.0,5645.0,6194.0,12.0,7272.0,8399.0,11.0,-1627.0,-2205.0,1.0,1.0,3.0,6.0,0.0,16.0,1.0
ESPORTSTMNT03_3083253,complete,,DDH,2023,,0,2023-01-13 01:07:50,1,13.01,6,Red,top,Brayaron,oe:player:cefb78f4cb1e9cca79eefc393d98e72,19esports,oe:team:3eb6b5da983552dd32f84d7f0e99717,Renekton,K'Sante,Yuumi,Wukong,LeBlanc,Syndra,,,,,,1690,1,5,1,8,23,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8166,1.1716,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,20121.0,714.355,0.297934,1033.3136,1017.4438,6.0,0.213,8.0,0.284,5.0,31.0,1.1006,13741,10018,355.6686,0.240126,12525.0,,,247.0,235.0,12.0,,,8.7692,4136.0,5034.0,88.0,2744.0,4114.0,62.0,1392.0,920.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,6533.0,8088.0,142.0,4281.0,6763.0,106.0,2252.0,1325.0,36.0,1.0,0.0,0.0,0.0,0.0,0.0,8954.0,10754.0,179.0,6025.0,9353.0,149.0,2929.0,1401.0,30.0,3.0,1.0,1.0,0.0,2.0,0.0,12405.0,14626.0,226.0,7631.0,10762.0,173.0,4774.0,3864.0,53.0,5.0,5.0,1.0,0.0,2.0,2.0
ESPORTSTMNT03_3083253,complete,,DDH,2023,,0,2023-01-13 01:07:50,1,13.01,7,Red,jng,LiquidDiego,oe:player:73fac438d3c20a0bf023d3b4c8b26b2,19esports,oe:team:3eb6b5da983552dd32f84d7f0e99717,Sejuani,K'Sante,Yuumi,Wukong,LeBlanc,Syndra,,,,,,1690,1,5,3,9,23,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8166,1.1716,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,0.0,0.0,9679.0,343.6331,0.143318,1190.5562,1058.0237,13.0,0.4615,14.0,0.497,11.0,57.0,2.0237,11087,7364,261.4438,0.176509,10475.0,,,159.0,22.0,137.0,,,5.645,3438.0,3260.0,54.0,3051.0,3473.0,68.0,387.0,-213.0,-14.0,1.0,2.0,0.0,0.0,0.0,2.0,4809.0,5037.0,85.0,4635.0,5271.0,99.0,174.0,-234.0,-14.0,1.0,2.0,1.0,0.0,1.0,2.0,6943.0,7831.0,123.0,6698.0,8068.0,137.0,245.0,-237.0,-14.0,2.0,4.0,2.0,1.0,4.0,3.0,10061.0,10710.0,141.0,8244.0,10351.0,172.0,1817.0,359.0,-31.0,5.0,8.0,2.0,1.0,5.0,4.0
ESPORTSTMNT03_3083253,complete,,DDH,2023,,0,2023-01-13 01:07:50,1,13.01,8,Red,mid,Piqueos,oe:player:fbbdc14045f1d9b78dd8fd4ca50306d,19esports,oe:team:3eb6b5da983552dd32f84d7f0e99717,Sylas,K'Sante,Yuumi,Wukong,LeBlanc,Syndra,,,,,,1690,1,4,2,6,23,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8166,1.1716,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,2.0,0.0,10280.0,364.9704,0.152217,696.7456,551.0414,8.0,0.284,7.0,0.2485,5.0,26.0,0.9231,11496,7773,275.9645,0.186313,11260.0,,,237.0,221.0,16.0,,,8.4142,3369.0,4663.0,84.0,2873.0,4452.0,71.0,496.0,211.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,4953.0,6968.0,128.0,4573.0,6810.0,112.0,380.0,158.0,16.0,1.0,0.0,0.0,1.0,0.0,0.0,7413.0,9775.0,180.0,6557.0,8510.0,138.0,856.0,1265.0,42.0,2.0,0.0,1.0,3.0,1.0,1.0,10353.0,13331.0,221.0,7976.0,10492.0,167.0,2377.0,2839.0,54.0,4.0,3.0,1.0,3.0,2.0,2.0
ESPORTSTMNT03_3083253,complete,,DDH,2023,,0,2023-01-13 01:07:50,1,13.01,9,Red,bot,VirusFx,oe:player:4a867124044ab3fd40ddfb8676e65e7,19esports,oe:team:3eb6b5da983552dd32f84d7f0e99717,Zeri,K'Sante,Yuumi,Wukong,LeBlanc,Syndra,,,,,,1690,1,8,3,10,23,10,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.8166,1.1716,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,1.0,0.0,19350.0,686.9822,0.286518,606.9231,384.0355,12.0,0.426,11.0,0.3905,3.0,42.0,1.4911,15427,11704,415.5266,0.280539,12500.0,,,289.0,261.0,28.0,,,10.2604,4784.0,3769.0,92.0,2783.0,2974.0,48.0,2001.0,795.0,44.0,3.0,1.0,1.0,1.0,0.0,2.0,6738.0,6360.0,142.0,4310.0,5462.0,86.0,2428.0,898.0,56.0,3.0,1.0,2.0,1.0,1.0,2.0,10016.0,9569.0,215.0,6544.0,8373.0,133.0,3472.0,1196.0,82.0,4.0,4.0,2.0,2.0,3.0,3.0,12530.0,12411.0,253.0,8448.0,10292.0,164.0,4082.0,2119.0,89.0,4.0,9.0,3.0,3.0,3.0,4.0
ESPORTSTMNT03_3083253,complete,,DDH,2023,,0,2023-01-13 01:07:50,1,13.01,10,Red,sup,EpicReaper,oe:player:6fa994228e169896341959199530c06,19esports,oe:team:3eb6b5da983552dd32f84d7f0e99717,Karma,K'Sante,Yuumi,Wukong,LeBlanc,Syndra,,,,,,1690,1,1,1,20,23,10,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.8166,1.1716,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,8105.0,287.7515,0.120012,446.0592,247.5976,44.0,1.5621,10.0,0.355,11.0,85.0,3.0178,8584,4861,172.5799,0.116513,7325.0,,,12.0,12.0,0.0,,,0.426,2933.0,2464.0,1.0,2117.0,1639.0,4.0,816.0,825.0,-3.0,0.0,5.0,0.0,0.0,0.0,2.0,3975.0,2989.0,4.0,3749.0,2937.0,6.0,226.0,52.0,-2.0,0.0,5.0,0.0,1.0,0.0,2.0,5390.0,5478.0,9.0,4749.0,4740.0,10.0,641.0,738.0,-1.0,0.0,9.0,1.0,1.0,2.0,4.0,7272.0,8399.0,11.0,5645.0,6194.0,12.0,1627.0,2205.0,-1.0,0.0,16.0,1.0,1.0,3.0,6.0
