gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT01/1280429,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1280429?gameHash=7e5fe6cf551a16c1,DL,2020,Spring,0,2020-01-21 16:04:50,1,10.01,1,Blue,top,Weka,oe:player:b63e02e6c00b77dc77e186944cb0b02,mCon esports,oe:team:ee662fa8580ced6fb87aa4ca5b1fe7b,Qiyana,Olaf,Jarvan IV,Nautilus,Kled,Ornn,,,,,,1656,1,3,3,7,21,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7609,1.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,11061.0,400.7609,0.205507,497.8261,262.1377,10.0,0.3623,7.0,0.2536,6.0,40.0,1.4493,9604,5950.0,215.5797,0.18319,9175.0,,,190.0,181.0,9.0,1.0,0.0,6.8841,3792.0,4705.0,86.0,2751.0,3967.0,65.0,1041.0,738.0,21.0,2.0,0.0,0.0,0.0,0.0,1.0,5005.0,6300.0,112.0,4312.0,6050.0,99.0,693.0,250.0,13.0,2.0,1.0,2.0,0.0,3.0,3.0,6954.0,9151.0,157.0,6005.0,8609.0,141.0,949.0,542.0,16.0,2.0,3.0,2.0,0.0,4.0,4.0,8633.0,10977.0,184.0,7678.0,10887.0,178.0,955.0,90.0,6.0,3.0,4.0,2.0,0.0,7.0,5.0
ESPORTSTMNT01/1280429,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1280429?gameHash=7e5fe6cf551a16c1,DL,2020,Spring,0,2020-01-21 16:04:50,1,10.01,2,Blue,jng,Cheelm,oe:player:59d3e9c49ec3cdfe1f3cc242209ff03,mCon esports,oe:team:ee662fa8580ced6fb87aa4ca5b1fe7b,Elise,Olaf,Jarvan IV,Nautilus,Kled,Ornn,,,,,,1656,1,0,2,12,21,9,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.7609,1.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9836.0,356.3768,0.182747,715.6159,329.4203,21.0,0.7609,12.0,0.4348,6.0,56.0,2.029,8703,5049.0,182.9348,0.155451,7900.0,,,133.0,18.0,115.0,73.0,4.0,4.8188,3046.0,2970.0,45.0,2942.0,3074.0,58.0,104.0,-104.0,-13.0,0.0,4.0,0.0,0.0,0.0,1.0,4570.0,4963.0,74.0,5000.0,4920.0,81.0,-430.0,43.0,-7.0,0.0,6.0,1.0,2.0,1.0,1.0,6148.0,6765.0,100.0,6631.0,6540.0,110.0,-483.0,225.0,-10.0,0.0,7.0,1.0,2.0,2.0,1.0,7417.0,8179.0,119.0,9103.0,8332.0,137.0,-1686.0,-153.0,-18.0,0.0,9.0,2.0,5.0,2.0,1.0
ESPORTSTMNT01/1280429,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1280429?gameHash=7e5fe6cf551a16c1,DL,2020,Spring,0,2020-01-21 16:04:50,1,10.01,3,Blue,mid,Sumi,oe:player:23b26d568542e14b98d3565b708c6b1,mCon esports,oe:team:ee662fa8580ced6fb87aa4ca5b1fe7b,Irelia,Olaf,Jarvan IV,Nautilus,Kled,Ornn,,,,,,1656,1,8,0,9,21,9,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7609,1.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,16089.0,582.9348,0.298924,504.6377,384.8551,8.0,0.2899,7.0,0.2536,2.0,25.0,0.9058,13285,9631.0,348.9493,0.296519,12183.0,,,235.0,235.0,0.0,0.0,0.0,8.5145,3601.0,4512.0,89.0,2796.0,4283.0,67.0,805.0,229.0,22.0,1.0,1.0,0.0,0.0,0.0,1.0,6067.0,7453.0,140.0,4322.0,6198.0,104.0,1745.0,1255.0,36.0,2.0,3.0,0.0,0.0,2.0,2.0,8933.0,10349.0,188.0,5637.0,8078.0,134.0,3296.0,2271.0,54.0,4.0,4.0,0.0,0.0,2.0,4.0,11073.0,12328.0,219.0,6992.0,9871.0,168.0,4081.0,2457.0,51.0,5.0,7.0,0.0,0.0,2.0,5.0
ESPORTSTMNT01/1280429,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1280429?gameHash=7e5fe6cf551a16c1,DL,2020,Spring,0,2020-01-21 16:04:50,1,10.01,4,Blue,bot,Reality,oe:player:bea2233da8204de1c4ba92756f0c753,mCon esports,oe:team:ee662fa8580ced6fb87aa4ca5b1fe7b,Miss Fortune,Olaf,Jarvan IV,Nautilus,Kled,Ornn,,,,,,1656,1,6,3,5,21,9,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.7609,1.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,11479.0,415.9058,0.213273,345.3261,270.7971,10.0,0.3623,4.0,0.1449,7.0,23.0,0.8333,10835,7181.0,260.1812,0.221089,10025.0,,,199.0,183.0,16.0,12.0,0.0,7.2101,3284.0,3418.0,88.0,3419.0,3312.0,95.0,-135.0,106.0,-7.0,0.0,1.0,0.0,0.0,0.0,0.0,5612.0,5598.0,128.0,4811.0,4945.0,131.0,801.0,653.0,-3.0,2.0,1.0,0.0,0.0,1.0,0.0,7236.0,7339.0,162.0,6916.0,6990.0,174.0,320.0,349.0,-12.0,2.0,2.0,1.0,1.0,1.0,0.0,8949.0,9405.0,192.0,8555.0,8578.0,209.0,394.0,827.0,-17.0,3.0,3.0,2.0,1.0,4.0,2.0
ESPORTSTMNT01/1280429,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1280429?gameHash=7e5fe6cf551a16c1,DL,2020,Spring,0,2020-01-21 16:04:50,1,10.01,5,Blue,sup,masterwork,oe:player:67499a2d057b1c7d139db3c621e63a5,mCon esports,oe:team:ee662fa8580ced6fb87aa4ca5b1fe7b,Thresh,Olaf,Jarvan IV,Nautilus,Kled,Ornn,,,,,,1656,1,4,1,13,21,9,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.7609,1.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5358.0,194.1304,0.0995485,370.7246,398.1884,28.0,1.0145,10.0,0.3623,9.0,68.0,2.4638,8323,4669.0,169.1667,0.143751,7225.0,,,36.0,32.0,4.0,0.0,0.0,1.3043,2501.0,2945.0,14.0,2030.0,2558.0,12.0,471.0,387.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,3958.0,4066.0,20.0,3411.0,3799.0,20.0,547.0,267.0,0.0,1.0,4.0,0.0,1.0,1.0,1.0,5850.0,5608.0,30.0,4569.0,4975.0,30.0,1281.0,633.0,0.0,3.0,5.0,0.0,1.0,2.0,2.0,7212.0,7059.0,36.0,5412.0,6507.0,31.0,1800.0,552.0,5.0,4.0,7.0,1.0,1.0,4.0,2.0
ESPORTSTMNT01/1280429,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1280429?gameHash=7e5fe6cf551a16c1,DL,2020,Spring,0,2020-01-21 16:04:50,1,10.01,6,Red,top,Mke,oe:player:509db3aca704d4587102a4b37139c42,Team Echo Zulu,oe:team:ea6aaa4a7803a05fef1377dbedb3786,Poppy,Karthus,Akali,Mordekaiser,Diana,Aatrox,,,,,,1656,0,0,6,7,9,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3261,1.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5953.0,215.6884,0.145746,581.7029,739.6014,10.0,0.3623,5.0,0.1812,6.0,23.0,0.8333,8186,4532.0,164.2029,0.195294,8225.0,,,186.0,170.0,16.0,11.0,0.0,6.7391,2751.0,3967.0,65.0,3792.0,4705.0,86.0,-1041.0,-738.0,-21.0,0.0,0.0,1.0,2.0,0.0,0.0,4312.0,6050.0,99.0,5005.0,6300.0,112.0,-693.0,-250.0,-13.0,0.0,3.0,3.0,2.0,1.0,2.0,6005.0,8609.0,141.0,6954.0,9151.0,157.0,-949.0,-542.0,-16.0,0.0,4.0,4.0,2.0,3.0,2.0,7678.0,10887.0,178.0,8633.0,10977.0,184.0,-955.0,-90.0,-6.0,0.0,7.0,5.0,3.0,4.0,2.0
ESPORTSTMNT01/1280429,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1280429?gameHash=7e5fe6cf551a16c1,DL,2020,Spring,0,2020-01-21 16:04:50,1,10.01,7,Red,jng,Dommy,oe:player:7566e37a270cdf4bbbde2fd008af959,Team Echo Zulu,oe:team:ea6aaa4a7803a05fef1377dbedb3786,Sejuani,Karthus,Akali,Mordekaiser,Diana,Aatrox,,,,,,1656,0,5,3,3,9,21,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3261,1.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8214.0,297.6087,0.201102,826.7029,669.4203,13.0,0.471,7.0,0.2536,11.0,29.0,1.0507,9691,6037.0,218.7319,0.260146,8925.0,,,143.0,23.0,120.0,101.0,0.0,5.1812,2942.0,3074.0,58.0,3046.0,2970.0,45.0,-104.0,104.0,13.0,0.0,0.0,1.0,0.0,4.0,0.0,5000.0,4920.0,81.0,4570.0,4963.0,74.0,430.0,-43.0,7.0,2.0,1.0,1.0,0.0,6.0,1.0,6631.0,6540.0,110.0,6148.0,6765.0,100.0,483.0,-225.0,10.0,2.0,2.0,1.0,0.0,7.0,1.0,9103.0,8332.0,137.0,7417.0,8179.0,119.0,1686.0,153.0,18.0,5.0,2.0,1.0,0.0,9.0,2.0
ESPORTSTMNT01/1280429,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1280429?gameHash=7e5fe6cf551a16c1,DL,2020,Spring,0,2020-01-21 16:04:50,1,10.01,8,Red,mid,Baba,oe:player:9e4d3d34a6df8968ccdbd93d4252968,Team Echo Zulu,oe:team:ea6aaa4a7803a05fef1377dbedb3786,Ryze,Karthus,Akali,Mordekaiser,Diana,Aatrox,,,,,,1656,0,1,6,2,9,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3261,1.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12584.0,455.942,0.308092,512.9348,259.0942,11.0,0.3986,2.0,0.0725,3.0,19.0,0.6884,8049,4395.0,159.2391,0.189391,7275.0,,,171.0,167.0,4.0,4.0,0.0,6.1957,2796.0,4283.0,67.0,3601.0,4512.0,89.0,-805.0,-229.0,-22.0,0.0,0.0,1.0,1.0,1.0,0.0,4322.0,6198.0,104.0,6067.0,7453.0,140.0,-1745.0,-1255.0,-36.0,0.0,2.0,2.0,2.0,3.0,0.0,5637.0,8078.0,134.0,8933.0,10349.0,188.0,-3296.0,-2271.0,-54.0,0.0,2.0,4.0,4.0,4.0,0.0,6992.0,9871.0,168.0,11073.0,12328.0,219.0,-4081.0,-2457.0,-51.0,0.0,2.0,5.0,5.0,7.0,0.0
ESPORTSTMNT01/1280429,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1280429?gameHash=7e5fe6cf551a16c1,DL,2020,Spring,0,2020-01-21 16:04:50,1,10.01,9,Red,bot,Jkalam,oe:player:d697ed082538847843efdc6f445f37c,Team Echo Zulu,oe:team:ea6aaa4a7803a05fef1377dbedb3786,Varus,Karthus,Akali,Mordekaiser,Diana,Aatrox,,,,,,1656,0,2,2,4,9,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3261,1.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,9788.0,354.6377,0.239638,344.9275,142.1739,9.0,0.3261,4.0,0.1449,2.0,22.0,0.7971,9548,5894.0,213.5507,0.253984,9050.0,,,222.0,201.0,21.0,17.0,0.0,8.0435,3419.0,3312.0,95.0,3284.0,3418.0,88.0,135.0,-106.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,4811.0,4945.0,131.0,5612.0,5598.0,128.0,-801.0,-653.0,3.0,0.0,1.0,0.0,2.0,1.0,0.0,6916.0,6990.0,174.0,7236.0,7339.0,162.0,-320.0,-349.0,12.0,1.0,1.0,0.0,2.0,2.0,1.0,8555.0,8578.0,209.0,8949.0,9405.0,192.0,-394.0,-827.0,17.0,1.0,4.0,2.0,3.0,3.0,2.0
ESPORTSTMNT01/1280429,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1280429?gameHash=7e5fe6cf551a16c1,DL,2020,Spring,0,2020-01-21 16:04:50,1,10.01,10,Red,sup,Boomin,oe:player:07f4e9c136f0836d530d9a2578f4c34,Team Echo Zulu,oe:team:ea6aaa4a7803a05fef1377dbedb3786,Leona,Karthus,Akali,Mordekaiser,Diana,Aatrox,,,,,,1656,0,1,4,6,9,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3261,1.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4306.0,156.0145,0.105423,371.3406,474.529,38.0,1.3768,9.0,0.3261,10.0,63.0,2.2826,6002,2348.0,85.0725,0.101184,5350.0,,,31.0,31.0,0.0,0.0,0.0,1.1232,2030.0,2558.0,12.0,2501.0,2945.0,14.0,-471.0,-387.0,-2.0,0.0,0.0,1.0,1.0,1.0,0.0,3411.0,3799.0,20.0,3958.0,4066.0,20.0,-547.0,-267.0,0.0,1.0,1.0,1.0,1.0,4.0,0.0,4569.0,4975.0,30.0,5850.0,5608.0,30.0,-1281.0,-633.0,0.0,1.0,2.0,2.0,3.0,5.0,0.0,5412.0,6507.0,31.0,7212.0,7059.0,36.0,-1800.0,-552.0,-5.0,1.0,4.0,2.0,4.0,7.0,1.0
