gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT05/1080960,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1080960?gameHash=2656273d726e6f2e,EBL,2019,Season 4,0,2019-01-28 17:45:03,1,9.01,1,Blue,top,Quinncidence,oe:player:d8a389075cec97fa2685ff19c589ab4,Crvena zvezda Esports,oe:team:f4b807048502e27f01499f06b235a9a,Ornn,Zac,Sejuani,Cassiopeia,Camille,Skarner,,,,,,1779,0,0,8,2,6,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2024,0.9444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6425.0,216.6948,0.119037,662.1585,531.0287,10.0,0.3373,0.0,0.0,4.0,27.0,0.9106,7382.0,3477.0,117.2681,0.131285,6770.0,,,139.0,132.0,7.0,3.0,0.0,4.688,2810.0,3985.0,58.0,3770.0,4883.0,79.0,-960.0,-898.0,-21.0,0.0,1.0,2.0,2.0,0.0,1.0,4007.0,5758.0,81.0,5740.0,7672.0,132.0,-1733.0,-1914.0,-51.0,0.0,1.0,2.0,2.0,0.0,1.0,5498.0,7926.0,117.0,7981.0,10138.0,165.0,-2483.0,-2212.0,-48.0,0.0,1.0,3.0,3.0,3.0,1.0,6576.0,9188.0,132.0,10302.0,12231.0,189.0,-3726.0,-3043.0,-57.0,0.0,1.0,5.0,5.0,4.0,1.0
ESPORTSTMNT05/1080960,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1080960?gameHash=2656273d726e6f2e,EBL,2019,Season 4,0,2019-01-28 17:45:03,1,9.01,2,Blue,jng,behave,oe:player:82416dfeed801e2846a7c12a3649ab3,Crvena zvezda Esports,oe:team:f4b807048502e27f01499f06b235a9a,Karthus,Zac,Sejuani,Cassiopeia,Camille,Skarner,,,,,,1779,0,3,4,2,6,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2024,0.9444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,16727.0,564.1484,0.309903,738.3474,299.4266,15.0,0.5059,6.0,0.2024,7.0,28.0,0.9444,10933.0,7028.0,237.032,0.265355,10750.0,,,199.0,36.0,163.0,118.0,16.0,6.7116,4357.0,5025.0,82.0,3204.0,3464.0,59.0,1153.0,1561.0,23.0,2.0,0.0,0.0,0.0,1.0,0.0,6184.0,7417.0,116.0,4611.0,5199.0,76.0,1573.0,2218.0,40.0,2.0,1.0,0.0,1.0,1.0,0.0,7818.0,9621.0,149.0,6921.0,7771.0,109.0,897.0,1850.0,40.0,2.0,1.0,1.0,2.0,4.0,0.0,9471.0,11677.0,184.0,8650.0,9942.0,128.0,821.0,1735.0,56.0,2.0,2.0,2.0,3.0,8.0,0.0
ESPORTSTMNT05/1080960,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1080960?gameHash=2656273d726e6f2e,EBL,2019,Season 4,0,2019-01-28 17:45:03,1,9.01,3,Blue,mid,Marrow Ooze,oe:player:6bc01a5be22b28e27cf296c2f59eecd,Crvena zvezda Esports,oe:team:f4b807048502e27f01499f06b235a9a,Akali,Zac,Sejuani,Cassiopeia,Camille,Skarner,,,,,,1779,0,3,3,0,6,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2024,0.9444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,10790.0,363.9123,0.199907,826.4081,414.4351,7.0,0.2361,6.0,0.2024,3.0,20.0,0.6745,10357.0,6452.0,217.6054,0.243608,9860.0,,,224.0,222.0,2.0,2.0,0.0,7.5548,3083.0,4535.0,78.0,2981.0,4482.0,73.0,102.0,53.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5564.0,7533.0,135.0,4702.0,7446.0,125.0,862.0,87.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,7690.0,10215.0,177.0,6736.0,9992.0,167.0,954.0,223.0,10.0,2.0,0.0,0.0,1.0,3.0,1.0,9383.0,12062.0,209.0,8711.0,12441.0,201.0,672.0,-379.0,8.0,3.0,0.0,1.0,3.0,5.0,1.0
ESPORTSTMNT05/1080960,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1080960?gameHash=2656273d726e6f2e,EBL,2019,Season 4,0,2019-01-28 17:45:03,1,9.01,4,Blue,bot,GOLDENTO4ST,oe:player:5c58c2e986e8aec0ee6f2465823349a,Crvena zvezda Esports,oe:team:f4b807048502e27f01499f06b235a9a,Lucian,Zac,Sejuani,Cassiopeia,Camille,Skarner,,,,,,1779,0,0,3,2,6,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2024,0.9444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,16869.0,568.9376,0.312534,550.5902,373.3221,12.0,0.4047,7.0,0.2361,7.0,31.0,1.0455,9616.0,5711.0,192.6138,0.215631,8775.0,,,245.0,237.0,8.0,8.0,0.0,8.2631,3270.0,3146.0,85.0,2993.0,2943.0,74.0,277.0,203.0,11.0,0.0,1.0,0.0,0.0,0.0,1.0,4814.0,4748.0,130.0,4877.0,5379.0,129.0,-63.0,-631.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,6519.0,6273.0,172.0,6431.0,7008.0,163.0,88.0,-735.0,9.0,0.0,1.0,2.0,0.0,2.0,2.0,8146.0,7957.0,214.0,8177.0,9657.0,197.0,-31.0,-1700.0,17.0,0.0,1.0,2.0,0.0,5.0,2.0
ESPORTSTMNT05/1080960,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1080960?gameHash=2656273d726e6f2e,EBL,2019,Season 4,0,2019-01-28 17:45:03,1,9.01,5,Blue,sup,Cl0x,oe:player:85b3b3e91202ccada9f1f5a24dc1bfb,Crvena zvezda Esports,oe:team:f4b807048502e27f01499f06b235a9a,Braum,Zac,Sejuani,Cassiopeia,Camille,Skarner,,,,,,1779,0,0,4,2,6,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2024,0.9444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3164.0,106.7116,0.0586197,458.9545,403.0354,34.0,1.1467,6.0,0.2024,12.0,58.0,1.9562,7722.0,3817.0,128.7352,0.144122,6050.0,,,62.0,62.0,0.0,0.0,0.0,2.0911,2512.0,2770.0,16.0,2189.0,2656.0,6.0,323.0,114.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,3870.0,4260.0,29.0,3292.0,4641.0,8.0,578.0,-381.0,21.0,0.0,1.0,0.0,0.0,1.0,0.0,5550.0,5881.0,42.0,4858.0,6384.0,12.0,692.0,-503.0,30.0,0.0,1.0,1.0,1.0,4.0,0.0,6812.0,7366.0,55.0,6038.0,8028.0,14.0,774.0,-662.0,41.0,0.0,1.0,2.0,1.0,8.0,1.0
ESPORTSTMNT05/1080960,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1080960?gameHash=2656273d726e6f2e,EBL,2019,Season 4,0,2019-01-28 17:45:03,1,9.01,6,Red,top,Color,oe:player:cb5feb1b7314637725a2e73bdc9f729,x25 Esports,oe:team:3921fffdab4f130255658ea322e1ab6,Urgot,Kha'Zix,Xin Zhao,Sion,Zoe,Aatrox,,,,,,1779,1,9,1,8,22,6,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.742,0.9444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,13979.0,471.4671,0.207017,500.3035,955.0422,11.0,0.371,5.0,0.1686,3.0,28.0,0.9444,13102.0,9197.0,310.1855,0.254213,11925.0,,,206.0,202.0,4.0,0.0,1.0,6.9477,3770.0,4883.0,79.0,2810.0,3985.0,58.0,960.0,898.0,21.0,2.0,0.0,1.0,0.0,1.0,2.0,5740.0,7672.0,132.0,4007.0,5758.0,81.0,1733.0,1914.0,51.0,2.0,0.0,1.0,0.0,1.0,2.0,7981.0,10138.0,165.0,5498.0,7926.0,117.0,2483.0,2212.0,48.0,3.0,3.0,1.0,0.0,1.0,3.0,10302.0,12231.0,189.0,6576.0,9188.0,132.0,3726.0,3043.0,57.0,5.0,4.0,1.0,0.0,1.0,5.0
ESPORTSTMNT05/1080960,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1080960?gameHash=2656273d726e6f2e,EBL,2019,Season 4,0,2019-01-28 17:45:03,1,9.01,7,Red,jng,Fallen,oe:player:a2343d04ce4dafae3aa458b006ec880,x25 Esports,oe:team:3921fffdab4f130255658ea322e1ab6,Olaf,Kha'Zix,Xin Zhao,Sion,Zoe,Aatrox,,,,,,1779,1,5,0,14,22,6,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.742,0.9444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,11666.0,393.457,0.172763,844.7218,676.3238,8.0,0.2698,8.0,0.2698,7.0,36.0,1.2142,11201.0,7296.0,246.0708,0.201669,10175.0,,,137.0,21.0,116.0,79.0,4.0,4.6206,3204.0,3464.0,59.0,4357.0,5025.0,82.0,-1153.0,-1561.0,-23.0,0.0,1.0,0.0,2.0,0.0,0.0,4611.0,5199.0,76.0,6184.0,7417.0,116.0,-1573.0,-2218.0,-40.0,1.0,1.0,0.0,2.0,1.0,0.0,6921.0,7771.0,109.0,7818.0,9621.0,149.0,-897.0,-1850.0,-40.0,2.0,4.0,0.0,2.0,1.0,1.0,8650.0,9942.0,128.0,9471.0,11677.0,184.0,-821.0,-1735.0,-56.0,3.0,8.0,0.0,2.0,2.0,2.0
ESPORTSTMNT05/1080960,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1080960?gameHash=2656273d726e6f2e,EBL,2019,Season 4,0,2019-01-28 17:45:03,1,9.01,8,Red,mid,Diva,oe:player:72de20c106a52f0aaf21bd650af81bd,x25 Esports,oe:team:3921fffdab4f130255658ea322e1ab6,Galio,Kha'Zix,Xin Zhao,Sion,Zoe,Aatrox,,,,,,1779,1,5,1,12,22,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.742,0.9444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,23717.0,799.8988,0.351228,613.5582,951.8381,14.0,0.4722,3.0,0.1012,5.0,31.0,1.0455,11673.0,7768.0,261.9899,0.214716,10875.0,,,228.0,211.0,17.0,12.0,5.0,7.6897,2981.0,4482.0,73.0,3083.0,4535.0,78.0,-102.0,-53.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,4702.0,7446.0,125.0,5564.0,7533.0,135.0,-862.0,-87.0,-10.0,0.0,0.0,1.0,1.0,0.0,0.0,6736.0,9992.0,167.0,7690.0,10215.0,177.0,-954.0,-223.0,-10.0,1.0,3.0,1.0,2.0,0.0,0.0,8711.0,12441.0,201.0,9383.0,12062.0,209.0,-672.0,379.0,-8.0,3.0,5.0,1.0,3.0,0.0,1.0
ESPORTSTMNT05/1080960,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1080960?gameHash=2656273d726e6f2e,EBL,2019,Season 4,0,2019-01-28 17:45:03,1,9.01,9,Red,bot,Plox,oe:player:0696ba507e9f097b48b4aa96e644ef7,x25 Esports,oe:team:3921fffdab4f130255658ea322e1ab6,Kai'Sa,Kha'Zix,Xin Zhao,Sion,Zoe,Aatrox,,,,,,1779,1,2,3,9,22,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.742,0.9444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12956.0,436.9646,0.191867,497.1332,238.9545,8.0,0.2698,5.0,0.1686,2.0,32.0,1.0793,11307.0,7402.0,249.6459,0.204599,9700.0,,,228.0,207.0,21.0,12.0,0.0,7.6897,2993.0,2943.0,74.0,3270.0,3146.0,85.0,-277.0,-203.0,-11.0,0.0,0.0,1.0,0.0,1.0,0.0,4877.0,5379.0,129.0,4814.0,4748.0,130.0,63.0,631.0,-1.0,0.0,1.0,1.0,0.0,1.0,1.0,6431.0,7008.0,163.0,6519.0,6273.0,172.0,-88.0,735.0,-9.0,0.0,2.0,2.0,0.0,1.0,2.0,8177.0,9657.0,197.0,8146.0,7957.0,214.0,31.0,1700.0,-17.0,0.0,5.0,2.0,0.0,1.0,2.0
ESPORTSTMNT05/1080960,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1080960?gameHash=2656273d726e6f2e,EBL,2019,Season 4,0,2019-01-28 17:45:03,1,9.01,10,Red,sup,WildPanda,oe:player:f9657c5a481662ab773f3ecc8305a48,x25 Esports,oe:team:3921fffdab4f130255658ea322e1ab6,Zilean,Kha'Zix,Xin Zhao,Sion,Zoe,Aatrox,,,,,,1779,1,1,1,18,22,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.742,0.9444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5208.0,175.6492,0.0771258,254.1315,152.9511,38.0,1.2816,11.0,0.371,9.0,76.0,2.5632,8420.0,4515.0,152.2766,0.124802,7675.0,,,21.0,21.0,0.0,0.0,0.0,0.7083,2189.0,2656.0,6.0,2512.0,2770.0,16.0,-323.0,-114.0,-10.0,0.0,0.0,0.0,0.0,1.0,0.0,3292.0,4641.0,8.0,3870.0,4260.0,29.0,-578.0,381.0,-21.0,0.0,1.0,0.0,0.0,1.0,0.0,4858.0,6384.0,12.0,5550.0,5881.0,42.0,-692.0,503.0,-30.0,1.0,4.0,0.0,0.0,1.0,1.0,6038.0,8028.0,14.0,6812.0,7366.0,55.0,-774.0,662.0,-41.0,1.0,8.0,1.0,0.0,1.0,2.0
