gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT05_86161,complete,,EBLPA,2024,,0,2024-10-02 16:04:22,1,14.18,1,Blue,top,KLOWNY,oe:player:dfbb32609398e07a30933a617d2d9b7,Partizan Esports,oe:team:e42ade212c09777da0f54bffe481f6d,Jax,Annie,Syndra,Seraphine,Jarvan IV,Braum,,,,,,2358,1,3,7,5,23,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5852,0.9669,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,1.0,0.0,14797,376.514,0.132979,949.5165,1023.6387,19,0.4835,15,0.3817,3,45,1.145,14512,9426,239.8473,0.204802,13258,,,288.0,288.0,0,,,7.3282,2687.0,3954.0,62.0,4183.0,5127.0,79.0,-1496.0,-1173.0,-17.0,0.0,0.0,3.0,3.0,0.0,0.0,4763.0,6475.0,93.0,6781.0,8248.0,132.0,-2018.0,-1773.0,-39.0,1.0,0.0,4.0,4.0,2.0,1.0,6936.0,9620.0,145.0,10024.0,11974.0,201.0,-3088.0,-2354.0,-56.0,1.0,1.0,4.0,6.0,2.0,2.0,8604.0,11912.0,182.0,11473.0,13939.0,234.0,-2869.0,-2027.0,-52.0,1.0,3.0,5.0,6.0,3.0,3.0
LOLTMNT05_86161,complete,,EBLPA,2024,,0,2024-10-02 16:04:22,1,14.18,2,Blue,jng,Stormax,oe:player:9bfbc1a85ea2cd4841d627f76a12704,Partizan Esports,oe:team:e42ade212c09777da0f54bffe481f6d,Skarner,Annie,Syndra,Seraphine,Jarvan IV,Braum,,,,,,2358,1,2,2,10,23,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5852,0.9669,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,0.0,0.0,19147,487.201,0.172072,774.0712,1853.4351,12,0.3053,14,0.3562,10,59,1.5013,11998,6912,175.8779,0.15018,10850,,,212.0,19.0,193,,,5.3944,2998.0,3436.0,62.0,3198.0,3306.0,62.0,-200.0,130.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4341.0,5185.0,85.0,5213.0,5304.0,89.0,-872.0,-119.0,-4.0,0.0,2.0,1.0,1.0,2.0,1.0,5893.0,7294.0,109.0,8077.0,7981.0,122.0,-2184.0,-687.0,-13.0,1.0,3.0,2.0,2.0,4.0,2.0,7616.0,9542.0,131.0,9612.0,9401.0,140.0,-1996.0,141.0,-9.0,2.0,5.0,2.0,3.0,5.0,3.0
LOLTMNT05_86161,complete,,EBLPA,2024,,0,2024-10-02 16:04:22,1,14.18,3,Blue,mid,Rylle,oe:player:aa11f28607376fa521dd2625569a656,Partizan Esports,oe:team:e42ade212c09777da0f54bffe481f6d,Akali,Annie,Syndra,Seraphine,Jarvan IV,Braum,,,,,,2358,1,15,1,2,23,15,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5852,0.9669,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,33357,848.7786,0.299776,587.3028,458.6768,8,0.2036,19,0.4835,4,42,1.0687,19386,14300,363.8677,0.3107,20450,,,354.0,354.0,0,,,9.0076,3516.0,4836.0,82.0,2891.0,4753.0,69.0,625.0,83.0,13.0,1.0,0.0,0.0,0.0,0.0,1.0,6467.0,8287.0,125.0,5043.0,6777.0,106.0,1424.0,1510.0,19.0,5.0,1.0,0.0,2.0,1.0,3.0,9827.0,12313.0,186.0,6657.0,9023.0,136.0,3170.0,3290.0,50.0,8.0,1.0,1.0,2.0,3.0,4.0,12065.0,14817.0,227.0,8428.0,11610.0,179.0,3637.0,3207.0,48.0,10.0,2.0,1.0,2.0,5.0,4.0
LOLTMNT05_86161,complete,,EBLPA,2024,,0,2024-10-02 16:04:22,1,14.18,4,Blue,bot,Milica,oe:player:6dcf7c1bdb5c0f1bdc3f94e6b31ec5d,Partizan Esports,oe:team:e42ade212c09777da0f54bffe481f6d,Varus,Annie,Syndra,Seraphine,Jarvan IV,Braum,,,,,,2358,1,2,2,11,23,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5852,0.9669,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,38486,979.2875,0.34587,340.0254,215.2672,16,0.4071,9,0.229,5,39,0.9924,16137,11051,281.1959,0.240108,14725,,,345.0,339.0,6,,,8.7786,3263.0,3736.0,83.0,3166.0,3615.0,83.0,97.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5515.0,6236.0,131.0,5004.0,6049.0,126.0,511.0,187.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,7584.0,8965.0,178.0,6404.0,7855.0,157.0,1180.0,1110.0,21.0,1.0,4.0,0.0,0.0,1.0,2.0,9643.0,11562.0,227.0,8136.0,9835.0,190.0,1507.0,1727.0,37.0,1.0,7.0,1.0,1.0,1.0,3.0
LOLTMNT05_86161,complete,,EBLPA,2024,,0,2024-10-02 16:04:22,1,14.18,5,Blue,sup,Tasteless,oe:player:69fcf7c5f68e79cd22831a85aa98f60,Partizan Esports,oe:team:e42ade212c09777da0f54bffe481f6d,Rell,Annie,Syndra,Seraphine,Jarvan IV,Braum,,,,,,2358,1,1,3,13,23,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5852,0.9669,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,5486,139.5929,0.0493022,388.8804,572.8244,70,1.7812,23,0.5852,19,142,3.6132,9422,4336,110.3308,0.0942106,8125,,,39.0,39.0,0,,,0.9924,2034.0,2124.0,9.0,2308.0,2330.0,13.0,-274.0,-206.0,-4.0,0.0,1.0,0.0,0.0,1.0,0.0,3413.0,3417.0,16.0,4166.0,3054.0,18.0,-753.0,363.0,-2.0,0.0,4.0,2.0,0.0,5.0,1.0,4366.0,4801.0,22.0,5411.0,4944.0,21.0,-1045.0,-143.0,1.0,0.0,4.0,3.0,0.0,7.0,1.0,6097.0,6758.0,31.0,6316.0,6356.0,23.0,-219.0,402.0,8.0,1.0,7.0,3.0,0.0,8.0,2.0
LOLTMNT05_86161,complete,,EBLPA,2024,,0,2024-10-02 16:04:22,1,14.18,6,Red,top,APP,oe:player:0bdbb2c325525e986d55ef50ca66d05,Lupus Esports,oe:team:1b4462a50541e063fc148be4082fd0b,Gnar,Ezreal,Aurora,Yone,Camille,Jayce,,,,,,2358,0,7,3,4,15,23,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3817,0.9669,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,1.0,28655,729.1349,0.321194,816.9975,883.1298,9,0.229,7,0.1781,6,34,0.8651,18440,13354,339.7964,0.3149,18133,,,376.0,356.0,20,,,9.5674,4183.0,5127.0,79.0,2687.0,3954.0,62.0,1496.0,1173.0,17.0,3.0,0.0,0.0,0.0,0.0,3.0,6781.0,8248.0,132.0,4763.0,6475.0,93.0,2018.0,1773.0,39.0,4.0,2.0,1.0,1.0,0.0,4.0,10024.0,11974.0,201.0,6936.0,9620.0,145.0,3088.0,2354.0,56.0,6.0,2.0,2.0,1.0,1.0,4.0,11473.0,13939.0,234.0,8604.0,11912.0,182.0,2869.0,2027.0,52.0,6.0,3.0,3.0,1.0,3.0,5.0
LOLTMNT05_86161,complete,,EBLPA,2024,,0,2024-10-02 16:04:22,1,14.18,7,Red,jng,Boby,oe:player:16a5b95956a4b5d7ec2a6924eb58f7e,Lupus Esports,oe:team:1b4462a50541e063fc148be4082fd0b,Wukong,Ezreal,Aurora,Yone,Camille,Jayce,,,,,,2358,0,4,5,7,15,23,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3817,0.9669,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,0.0,0.0,16655,423.7913,0.186686,1239.4148,1025.4707,11,0.2799,23,0.5852,10,72,1.8321,13424,8338,212.1628,0.196619,12625,,,190.0,32.0,158,,,4.8346,3198.0,3306.0,62.0,2998.0,3436.0,62.0,200.0,-130.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5213.0,5304.0,89.0,4341.0,5185.0,85.0,872.0,119.0,4.0,1.0,2.0,1.0,0.0,2.0,1.0,8077.0,7981.0,122.0,5893.0,7294.0,109.0,2184.0,687.0,13.0,2.0,4.0,2.0,1.0,3.0,2.0,9612.0,9401.0,140.0,7616.0,9542.0,131.0,1996.0,-141.0,9.0,3.0,5.0,3.0,2.0,5.0,2.0
LOLTMNT05_86161,complete,,EBLPA,2024,,0,2024-10-02 16:04:22,1,14.18,8,Red,mid,Flarke,oe:player:7ac51cf8b8fba69a7607e54c621ca68,Lupus Esports,oe:team:1b4462a50541e063fc148be4082fd0b,Orianna,Ezreal,Aurora,Yone,Camille,Jayce,,,,,,2358,0,2,6,6,15,23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3817,0.9669,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,15668,398.6768,0.175623,524.7837,327.7863,20,0.5089,7,0.1781,11,52,1.3232,12493,7407,188.4733,0.174665,12075,,,253.0,243.0,10,,,6.4377,2891.0,4753.0,69.0,3516.0,4836.0,82.0,-625.0,-83.0,-13.0,0.0,0.0,1.0,1.0,0.0,0.0,5043.0,6777.0,106.0,6467.0,8287.0,125.0,-1424.0,-1510.0,-19.0,2.0,1.0,3.0,5.0,1.0,0.0,6657.0,9023.0,136.0,9827.0,12313.0,186.0,-3170.0,-3290.0,-50.0,2.0,3.0,4.0,8.0,1.0,1.0,8428.0,11610.0,179.0,12065.0,14817.0,227.0,-3637.0,-3207.0,-48.0,2.0,5.0,4.0,10.0,2.0,1.0
LOLTMNT05_86161,complete,,EBLPA,2024,,0,2024-10-02 16:04:22,1,14.18,9,Red,bot,Pinki,oe:player:751cd8edb7efae20c6a1038b6f93578,Lupus Esports,oe:team:1b4462a50541e063fc148be4082fd0b,Ashe,Ezreal,Aurora,Yone,Camille,Jayce,,,,,,2358,0,2,5,1,15,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3817,0.9669,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,15186,386.4122,0.17022,521.0941,273.2316,14,0.3562,6,0.1527,4,49,1.2468,14015,8929,227.201,0.210555,11600,,,306.0,299.0,7,,,7.7863,3166.0,3615.0,83.0,3263.0,3736.0,83.0,-97.0,-121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5004.0,6049.0,126.0,5515.0,6236.0,131.0,-511.0,-187.0,-5.0,0.0,0.0,1.0,1.0,1.0,0.0,6404.0,7855.0,157.0,7584.0,8965.0,178.0,-1180.0,-1110.0,-21.0,0.0,1.0,2.0,1.0,4.0,0.0,8136.0,9835.0,190.0,9643.0,11562.0,227.0,-1507.0,-1727.0,-37.0,1.0,1.0,3.0,1.0,7.0,1.0
LOLTMNT05_86161,complete,,EBLPA,2024,,0,2024-10-02 16:04:22,1,14.18,10,Red,sup,Tundra,oe:player:8313144a0fd06d6faf1c460d8b051f6,Lupus Esports,oe:team:1b4462a50541e063fc148be4082fd0b,Poppy,Ezreal,Aurora,Yone,Camille,Jayce,,,,,,2358,0,0,4,11,15,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3817,0.9669,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,13050,332.0611,0.146277,566.1069,607.0992,96,2.4427,15,0.3817,25,177,4.5038,9465,4379,111.4249,0.103262,9000,,,30.0,30.0,0,,,0.7634,2308.0,2330.0,13.0,2034.0,2124.0,9.0,274.0,206.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,4166.0,3054.0,18.0,3413.0,3417.0,16.0,753.0,-363.0,2.0,0.0,5.0,1.0,0.0,4.0,2.0,5411.0,4944.0,21.0,4366.0,4801.0,22.0,1045.0,143.0,-1.0,0.0,7.0,1.0,0.0,4.0,3.0,6316.0,6356.0,23.0,6097.0,6758.0,31.0,219.0,-402.0,-8.0,0.0,8.0,2.0,1.0,7.0,3.0
