gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
NA1_3966919307,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/NA1/3966919307/38319395,EGL,2021,,0,2021-07-07 21:45:57,1.0,11.13,1,Blue,top,KlonkGronk,oe:player:6beb522ecf839f23091a92c735fcc77,RockTribeEsports,oe:team:354fe9fa9e8a886b397f591b7f28e63,Nocturne,Teemo,Shaco,Master Yi,Xerath,Draven,,,,,,1233,1,2,2,8,25,9,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.2165,1.6545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7716.0,375.4745,0.138193,582.1898,286.7153,6.0,0.292,0.0,0.0,1.0,15.0,0.7299,8449,5658.0,275.3285,0.179431,9525.0,,,141.0,137.0,4.0,0.0,4.0,6.8613,3659.0,4219.0,68.0,3287.0,4702.0,67.0,372.0,-483.0,1.0,2.0,5.0,0.0,1.0,0.0,1.0,5825.0,6465.0,111.0,4656.0,7207.0,105.0,1169.0,-742.0,6.0,2.0,5.0,0.0,1.0,0.0,1.0,8382.0,9062.0,141.0,7187.0,10095.0,139.0,1195.0,-1033.0,2.0,2.0,8.0,2.0,3.0,3.0,2.0,,,,,,,,,,,,,,,
NA1_3966919307,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/NA1/3966919307/38319395,EGL,2021,,0,2021-07-07 21:45:57,1.0,11.13,2,Blue,jng,Rey Leon,oe:player:0f282d51b35de4fced25039d80f8448,RockTribeEsports,oe:team:354fe9fa9e8a886b397f591b7f28e63,Lee Sin,Teemo,Shaco,Master Yi,Xerath,Draven,,,,,,1233,1,6,4,4,25,9,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.2165,1.6545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7748.0,377.0316,0.138766,632.4574,477.2749,6.0,0.292,5.0,0.2433,3.0,20.0,0.9732,8882,6091.0,296.399,0.193163,12000.0,,,117.0,25.0,92.0,49.0,16.0,5.6934,3743.0,3573.0,62.0,2726.0,2741.0,44.0,1017.0,832.0,18.0,2.0,1.0,1.0,0.0,1.0,2.0,6240.0,5737.0,88.0,3953.0,4794.0,71.0,2287.0,943.0,17.0,4.0,2.0,2.0,0.0,1.0,3.0,8815.0,8258.0,117.0,5569.0,7110.0,91.0,3246.0,1148.0,26.0,6.0,4.0,3.0,0.0,2.0,4.0,,,,,,,,,,,,,,,
NA1_3966919307,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/NA1/3966919307/38319395,EGL,2021,,0,2021-07-07 21:45:57,1.0,11.13,3,Blue,mid,dymon,oe:player:3a208f05ee1bdbee686ec9108a26400,RockTribeEsports,oe:team:354fe9fa9e8a886b397f591b7f28e63,LeBlanc,Teemo,Shaco,Master Yi,Xerath,Draven,,,,,,1233,1,10,0,6,25,9,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.2165,1.6545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,26000.0,1265.2068,0.465658,441.4112,183.4063,6.0,0.292,0.0,0.0,3.0,9.0,0.438,11127,8336.0,405.6448,0.264357,6805.0,,,159.0,155.0,4.0,0.0,4.0,7.7372,4235.0,5260.0,71.0,3046.0,4138.0,64.0,1189.0,1122.0,7.0,4.0,2.0,0.0,1.0,0.0,3.0,7762.0,8181.0,116.0,4193.0,5665.0,84.0,3569.0,2516.0,32.0,6.0,3.0,0.0,1.0,1.0,5.0,10672.0,11436.0,155.0,6109.0,7813.0,117.0,4563.0,3623.0,38.0,9.0,6.0,0.0,2.0,4.0,8.0,,,,,,,,,,,,,,,
NA1_3966919307,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/NA1/3966919307/38319395,EGL,2021,,0,2021-07-07 21:45:57,1.0,11.13,4,Blue,bot,Vark,oe:player:7ccc98198b73f3d4f866cd910c6dccb,RockTribeEsports,oe:team:354fe9fa9e8a886b397f591b7f28e63,Kalista,Teemo,Shaco,Master Yi,Xerath,Draven,,,,,,1233,1,7,1,9,25,9,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.2165,1.6545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,10558.0,513.7713,0.189093,441.6058,235.3285,4.0,0.1946,2.0,0.0973,3.0,15.0,0.7299,11258,8467.0,412.0195,0.268511,11225.0,,,198.0,178.0,20.0,8.0,8.0,9.635,4805.0,3483.0,82.0,2391.0,2570.0,46.0,2414.0,913.0,36.0,4.0,5.0,0.0,0.0,0.0,3.0,8043.0,6380.0,143.0,3734.0,3944.0,79.0,4309.0,2436.0,64.0,5.0,6.0,0.0,0.0,0.0,5.0,11191.0,9241.0,198.0,5532.0,6522.0,102.0,5659.0,2719.0,96.0,7.0,9.0,1.0,1.0,3.0,5.0,,,,,,,,,,,,,,,
NA1_3966919307,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/NA1/3966919307/38319395,EGL,2021,,0,2021-07-07 21:45:57,1.0,11.13,5,Blue,sup,Trivia Boi,oe:player:68362c3b0661cd175c09e61d32d3c44,RockTribeEsports,oe:team:354fe9fa9e8a886b397f591b7f28e63,Thresh,Teemo,Shaco,Master Yi,Xerath,Draven,,,,,,1233,1,0,2,16,25,9,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.2165,1.6545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3813.0,185.5474,0.0682905,317.129,184.6229,15.0,0.7299,4.0,0.1946,6.0,36.0,1.7518,5772,2981.0,145.0608,0.0945372,5750.0,,,26.0,26.0,0.0,0.0,0.0,1.2652,3068.0,3025.0,17.0,1860.0,1999.0,13.0,1208.0,1026.0,4.0,0.0,10.0,1.0,0.0,0.0,3.0,4263.0,4087.0,23.0,3178.0,3544.0,21.0,1085.0,543.0,2.0,0.0,12.0,1.0,1.0,0.0,3.0,5695.0,6221.0,26.0,5342.0,6027.0,32.0,353.0,194.0,-6.0,0.0,16.0,2.0,2.0,1.0,5.0,,,,,,,,,,,,,,,
NA1_3966919307,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/NA1/3966919307/38319395,EGL,2021,,0,2021-07-07 21:45:57,1.0,11.13,6,Red,top,,,Area of Effect Main Team,,Malphite,Sona,Udyr,Gwen,Malzahar,Akali,,,,,,1233,0,4,2,3,9,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.438,1.6545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8829.0,429.635,0.343568,492.8954,1153.6253,6.0,0.292,0.0,0.0,0.0,8.0,0.3893,7554,4763.0,231.7762,0.283341,7700.0,,,139.0,139.0,0.0,0.0,0.0,6.764,3287.0,4702.0,67.0,3659.0,4219.0,68.0,-372.0,483.0,-1.0,1.0,0.0,1.0,2.0,5.0,0.0,4656.0,7207.0,105.0,5825.0,6465.0,111.0,-1169.0,742.0,-6.0,1.0,0.0,1.0,2.0,5.0,0.0,7187.0,10095.0,139.0,8382.0,9062.0,141.0,-1195.0,1033.0,-2.0,3.0,3.0,2.0,2.0,8.0,2.0,,,,,,,,,,,,,,,
NA1_3966919307,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/NA1/3966919307/38319395,EGL,2021,,0,2021-07-07 21:45:57,1.0,11.13,7,Red,jng,,,Area of Effect Main Team,,Olaf,Sona,Udyr,Gwen,Malzahar,Akali,,,,,,1233,0,0,5,2,9,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.438,1.6545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3834.0,186.5693,0.149194,919.4161,479.1727,3.0,0.146,4.0,0.1946,2.0,14.0,0.6813,5796,3005.0,146.2287,0.178763,5500.0,,,96.0,32.0,64.0,52.0,4.0,4.6715,2726.0,2741.0,44.0,3743.0,3573.0,62.0,-1017.0,-832.0,-18.0,0.0,1.0,2.0,2.0,1.0,1.0,3953.0,4794.0,71.0,6240.0,5737.0,88.0,-2287.0,-943.0,-17.0,0.0,1.0,3.0,4.0,2.0,2.0,5569.0,7110.0,91.0,8815.0,8258.0,117.0,-3246.0,-1148.0,-26.0,0.0,2.0,4.0,6.0,4.0,3.0,,,,,,,,,,,,,,,
NA1_3966919307,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/NA1/3966919307/38319395,EGL,2021,,0,2021-07-07 21:45:57,1.0,11.13,8,Red,mid,,,Area of Effect Main Team,,Orianna,Sona,Udyr,Gwen,Malzahar,Akali,,,,,,1233,0,2,8,5,9,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.438,1.6545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8249.0,401.4112,0.320998,731.8735,328.1752,4.0,0.1946,0.0,0.0,3.0,3.0,0.146,6251,3460.0,168.3698,0.20583,6635.0,,,117.0,117.0,0.0,0.0,0.0,5.6934,3046.0,4138.0,64.0,4235.0,5260.0,71.0,-1189.0,-1122.0,-7.0,1.0,0.0,3.0,4.0,2.0,0.0,4193.0,5665.0,84.0,7762.0,8181.0,116.0,-3569.0,-2516.0,-32.0,1.0,1.0,5.0,6.0,3.0,0.0,6109.0,7813.0,117.0,10672.0,11436.0,155.0,-4563.0,-3623.0,-38.0,2.0,4.0,8.0,9.0,6.0,0.0,,,,,,,,,,,,,,,
NA1_3966919307,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/NA1/3966919307/38319395,EGL,2021,,0,2021-07-07 21:45:57,1.0,11.13,9,Red,bot,,,Area of Effect Main Team,,Jinx,Sona,Udyr,Gwen,Malzahar,Akali,,,,,,1233,0,1,5,4,9,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.438,1.6545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,2811.0,136.7883,0.109386,614.4526,220.0487,3.0,0.146,0.0,0.0,0.0,3.0,0.146,5709,2918.0,141.9951,0.173588,4350.0,,,103.0,103.0,0.0,0.0,0.0,5.0122,2391.0,2570.0,46.0,4805.0,3483.0,82.0,-2414.0,-913.0,-36.0,0.0,0.0,3.0,4.0,5.0,0.0,3734.0,3944.0,79.0,8043.0,6380.0,143.0,-4309.0,-2436.0,-64.0,0.0,0.0,5.0,5.0,6.0,0.0,5532.0,6522.0,102.0,11191.0,9241.0,198.0,-5659.0,-2719.0,-96.0,1.0,3.0,5.0,7.0,9.0,1.0,,,,,,,,,,,,,,,
NA1_3966919307,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/NA1/3966919307/38319395,EGL,2021,,0,2021-07-07 21:45:57,1.0,11.13,10,Red,sup,,,Area of Effect Main Team,,Blitzcrank,Sona,Udyr,Gwen,Malzahar,Akali,,,,,,1233,0,2,5,1,9,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.438,1.6545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1975.0,96.1071,0.0768542,588.6618,403.1144,10.0,0.4866,0.0,0.0,6.0,15.0,0.7299,5455,2664.0,129.635,0.158478,5100.0,,,34.0,34.0,0.0,0.0,0.0,1.6545,1860.0,1999.0,13.0,3068.0,3025.0,17.0,-1208.0,-1026.0,-4.0,0.0,0.0,3.0,0.0,10.0,1.0,3178.0,3544.0,21.0,4263.0,4087.0,23.0,-1085.0,-543.0,-2.0,1.0,0.0,3.0,0.0,12.0,1.0,5342.0,6027.0,32.0,5695.0,6221.0,26.0,-353.0,-194.0,6.0,2.0,1.0,5.0,0.0,16.0,2.0,,,,,,,,,,,,,,,
