gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT01_2706724,complete,,EL,2022,,0,2022-01-24 23:49:07,1,12.01,1,Blue,top,Lance,oe:player:b67a1ebc089b25a7ab81ffb3425d1aa,Bandits Gaming,oe:team:150ed90e9ca3262dbe6f3253b42ebb7,Gwen,Akshan,Akali,Lulu,Yuumi,Camille,,,,,,1865,0,1,4,3,6,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.193,0.6756,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,18887.0,607.6247,0.461289,607.689,528.7721,17.0,0.5469,3.0,0.0965,7.0,40.0,1.2869,11749,7669.0,246.7239,0.245191,11785.0,,,234.0,224.0,10.0,,,7.5282,3160.0,4602.0,78.0,2990.0,4671.0,65.0,170.0,-69.0,13.0,0.0,1.0,1.0,0.0,1.0,1.0,5713.0,6845.0,124.0,4453.0,7495.0,108.0,1260.0,-650.0,16.0,1.0,1.0,1.0,0.0,1.0,2.0,7228.0,8654.0,158.0,6406.0,9786.0,144.0,822.0,-1132.0,14.0,1.0,2.0,2.0,1.0,3.0,2.0,9897.0,11184.0,204.0,7952.0,12437.0,169.0,1945.0,-1253.0,35.0,1.0,3.0,3.0,1.0,5.0,3.0
ESPORTSTMNT01_2706724,complete,,EL,2022,,0,2022-01-24 23:49:07,1,12.01,2,Blue,jng,Kazuo,oe:player:cc60c99a5b97b20bbc2f15ede025416,Bandits Gaming,oe:team:150ed90e9ca3262dbe6f3253b42ebb7,Kha'Zix,Akshan,Akali,Lulu,Yuumi,Camille,,,,,,1865,0,1,3,4,6,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.193,0.6756,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,0.0,0.0,6654.0,214.0697,0.162515,850.7131,546.37,3.0,0.0965,4.0,0.1287,3.0,20.0,0.6434,10880,6800.0,218.7668,0.217406,10275.0,,,187.0,27.0,160.0,,,6.0161,3341.0,3314.0,58.0,3320.0,3202.0,62.0,21.0,112.0,-4.0,1.0,1.0,0.0,1.0,1.0,1.0,5658.0,5860.0,96.0,4600.0,4820.0,92.0,1058.0,1040.0,4.0,1.0,2.0,0.0,1.0,1.0,1.0,7567.0,8258.0,137.0,6424.0,7453.0,130.0,1143.0,805.0,7.0,1.0,2.0,0.0,1.0,4.0,1.0,8892.0,9484.0,155.0,8569.0,10533.0,169.0,323.0,-1049.0,-14.0,1.0,3.0,1.0,2.0,5.0,1.0
ESPORTSTMNT01_2706724,complete,,EL,2022,,0,2022-01-24 23:49:07,1,12.01,3,Blue,mid,Rein,oe:player:1129e0fee31ceb8fe98d11a4017b05f,Bandits Gaming,oe:team:150ed90e9ca3262dbe6f3253b42ebb7,Irelia,Akshan,Akali,Lulu,Yuumi,Camille,,,,,,1865,0,2,2,1,6,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.193,0.6756,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,7366.0,236.9759,0.179904,428.3646,368.5576,16.0,0.5147,3.0,0.0965,12.0,33.0,1.0617,11952,7872.0,253.2547,0.251682,11125.0,,,243.0,243.0,0.0,,,7.8177,3534.0,4827.0,89.0,3150.0,4454.0,87.0,384.0,373.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,5311.0,7560.0,140.0,4992.0,7195.0,144.0,319.0,365.0,-4.0,1.0,1.0,0.0,0.0,0.0,0.0,7096.0,9917.0,187.0,7019.0,10157.0,189.0,77.0,-240.0,-2.0,1.0,1.0,1.0,1.0,1.0,0.0,9102.0,11358.0,212.0,8478.0,12493.0,212.0,624.0,-1135.0,0.0,2.0,1.0,1.0,1.0,3.0,0.0
ESPORTSTMNT01_2706724,complete,,EL,2022,,0,2022-01-24 23:49:07,1,12.01,4,Blue,bot,Mime,oe:player:8e50e7f17bae4fc6c6445efa1feb125,Bandits Gaming,oe:team:150ed90e9ca3262dbe6f3253b42ebb7,Jhin,Akshan,Akali,Lulu,Yuumi,Camille,,,,,,1865,0,1,5,2,6,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.193,0.6756,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,5812.0,186.9812,0.14195,357.4584,116.3324,12.0,0.3861,3.0,0.0965,5.0,26.0,0.8365,10377,6297.0,202.5845,0.201324,10500.0,,,236.0,236.0,0.0,,,7.5925,3093.0,3385.0,80.0,3645.0,3675.0,93.0,-552.0,-290.0,-13.0,0.0,0.0,1.0,1.0,0.0,0.0,4738.0,5371.0,126.0,5431.0,6114.0,147.0,-693.0,-743.0,-21.0,0.0,0.0,1.0,1.0,0.0,0.0,6630.0,7063.0,166.0,7682.0,8712.0,195.0,-1052.0,-1649.0,-29.0,1.0,0.0,2.0,2.0,2.0,0.0,8385.0,9204.0,207.0,10246.0,11482.0,247.0,-1861.0,-2278.0,-40.0,1.0,1.0,2.0,3.0,3.0,0.0
ESPORTSTMNT01_2706724,complete,,EL,2022,,0,2022-01-24 23:49:07,1,12.01,5,Blue,sup,NoisyB,oe:player:8e8c96b3e1403cb3b21a94c54eb7890,Bandits Gaming,oe:team:150ed90e9ca3262dbe6f3253b42ebb7,Thresh,Akshan,Akali,Lulu,Yuumi,Camille,,,,,,1865,0,1,1,3,6,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.193,0.6756,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,1.0,2225.0,71.5818,0.0543425,224.9115,219.7962,37.0,1.1903,16.0,0.5147,12.0,67.0,2.1555,6720,2640.0,84.933,0.0843974,6450.0,,,36.0,36.0,0.0,,,1.1582,2019.0,2229.0,11.0,1963.0,2190.0,11.0,56.0,39.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2958.0,3173.0,18.0,2933.0,3266.0,18.0,25.0,-93.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4056.0,4445.0,28.0,4116.0,4804.0,26.0,-60.0,-359.0,2.0,0.0,2.0,0.0,0.0,3.0,1.0,5162.0,5991.0,33.0,5333.0,7362.0,31.0,-171.0,-1371.0,2.0,0.0,3.0,0.0,0.0,5.0,1.0
ESPORTSTMNT01_2706724,complete,,EL,2022,,0,2022-01-24 23:49:07,1,12.01,6,Red,top,Ravey,oe:player:1fc3ee585fb24469255b15d31bdcad7,Fuego,oe:team:0f0f407ca567fc73cc83d541ef45731,Ornn,Jinx,Caitlyn,Corki,Vex,Shen,,,,,,1865,1,3,3,9,15,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4826,0.6756,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,11252.0,361.9946,0.222297,707.2279,976.9866,12.0,0.3861,5.0,0.1609,2.0,25.0,0.8043,11266,7186.0,231.185,0.198103,10000.0,,,208.0,201.0,7.0,,,6.6917,2990.0,4671.0,65.0,3160.0,4602.0,78.0,-170.0,69.0,-13.0,0.0,1.0,1.0,0.0,1.0,1.0,4453.0,7495.0,108.0,5713.0,6845.0,124.0,-1260.0,650.0,-16.0,0.0,1.0,2.0,1.0,1.0,1.0,6406.0,9786.0,144.0,7228.0,8654.0,158.0,-822.0,1132.0,-14.0,1.0,3.0,2.0,1.0,2.0,2.0,7952.0,12437.0,169.0,9897.0,11184.0,204.0,-1945.0,1253.0,-35.0,1.0,5.0,3.0,1.0,3.0,3.0
ESPORTSTMNT01_2706724,complete,,EL,2022,,0,2022-01-24 23:49:07,1,12.01,7,Red,jng,Italin,oe:player:bdf9a224f6a82fbec02b2a778fef10e,Fuego,oe:team:0f0f407ca567fc73cc83d541ef45731,Xin Zhao,Jinx,Caitlyn,Corki,Vex,Shen,,,,,,1865,1,3,1,8,15,6,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4826,0.6756,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,0.0,0.0,9622.0,309.555,0.190094,1019.0349,638.3485,7.0,0.2252,8.0,0.2574,6.0,41.0,1.319,11932,7852.0,252.6113,0.216464,10350.0,,,203.0,27.0,176.0,,,6.5308,3320.0,3202.0,62.0,3341.0,3314.0,58.0,-21.0,-112.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,4600.0,4820.0,92.0,5658.0,5860.0,96.0,-1058.0,-1040.0,-4.0,1.0,1.0,1.0,1.0,2.0,0.0,6424.0,7453.0,130.0,7567.0,8258.0,137.0,-1143.0,-805.0,-7.0,1.0,4.0,1.0,1.0,2.0,0.0,8569.0,10533.0,169.0,8892.0,9484.0,155.0,-323.0,1049.0,14.0,2.0,5.0,1.0,1.0,3.0,1.0
ESPORTSTMNT01_2706724,complete,,EL,2022,,0,2022-01-24 23:49:07,1,12.01,8,Red,mid,Blackengel,oe:player:4b2d817364467c590503148210ca426,Fuego,oe:team:0f0f407ca567fc73cc83d541ef45731,LeBlanc,Jinx,Caitlyn,Corki,Vex,Shen,,,,,,1865,1,4,1,8,15,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4826,0.6756,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,13446.0,432.5791,0.265642,392.0107,210.9169,19.0,0.6113,9.0,0.2895,6.0,47.0,1.5121,11830,7750.0,249.3298,0.213652,10350.0,,,243.0,231.0,12.0,,,7.8177,3150.0,4454.0,87.0,3534.0,4827.0,89.0,-384.0,-373.0,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,4992.0,7195.0,144.0,5311.0,7560.0,140.0,-319.0,-365.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,7019.0,10157.0,189.0,7096.0,9917.0,187.0,-77.0,240.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,8478.0,12493.0,212.0,9102.0,11358.0,212.0,-624.0,1135.0,0.0,1.0,3.0,0.0,2.0,1.0,1.0
ESPORTSTMNT01_2706724,complete,,EL,2022,,0,2022-01-24 23:49:07,1,12.01,9,Red,bot,Wyh,oe:player:2ac48f35ec7575194828b9e169469ef,Fuego,oe:team:0f0f407ca567fc73cc83d541ef45731,Ezreal,Jinx,Caitlyn,Corki,Vex,Shen,,,,,,1865,1,5,0,7,15,6,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.4826,0.6756,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,12629.0,406.2949,0.249501,264.8686,175.0777,11.0,0.3539,5.0,0.1609,3.0,34.0,1.0938,14241,10161.0,326.8954,0.280122,11185.0,,,299.0,282.0,17.0,,,9.6193,3645.0,3675.0,93.0,3093.0,3385.0,80.0,552.0,290.0,13.0,1.0,0.0,0.0,0.0,0.0,1.0,5431.0,6114.0,147.0,4738.0,5371.0,126.0,693.0,743.0,21.0,1.0,0.0,0.0,0.0,0.0,1.0,7682.0,8712.0,195.0,6630.0,7063.0,166.0,1052.0,1649.0,29.0,2.0,2.0,0.0,1.0,0.0,2.0,10246.0,11482.0,247.0,8385.0,9204.0,207.0,1861.0,2278.0,40.0,3.0,3.0,0.0,1.0,1.0,2.0
ESPORTSTMNT01_2706724,complete,,EL,2022,,0,2022-01-24 23:49:07,1,12.01,10,Red,sup,Giannio,oe:player:cfe98cea67c93c0734e871c511ca70b,Fuego,oe:team:0f0f407ca567fc73cc83d541ef45731,Blitzcrank,Jinx,Caitlyn,Corki,Vex,Shen,,,,,,1865,1,0,1,11,15,6,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4826,0.6756,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,1.0,0.0,3668.0,118.0054,0.0724658,215.6139,208.118,46.0,1.4799,9.0,0.2895,5.0,88.0,2.8311,7405,3325.0,106.9705,0.0916578,6575.0,,,34.0,34.0,0.0,,,1.0938,1963.0,2190.0,11.0,2019.0,2229.0,11.0,-56.0,-39.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2933.0,3266.0,18.0,2958.0,3173.0,18.0,-25.0,93.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4116.0,4804.0,26.0,4056.0,4445.0,28.0,60.0,359.0,-2.0,0.0,3.0,1.0,0.0,2.0,0.0,5333.0,7362.0,31.0,5162.0,5991.0,33.0,171.0,1371.0,-2.0,0.0,5.0,1.0,0.0,3.0,0.0
