gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT03_3084389,complete,,EL,2023,,0,2023-01-14 00:04:55,1,13.01,1,Blue,top,Wrecking,oe:player:c118caa5484a8663cc537342ff58d2a,War Legion Esports,oe:team:35d8c122cd2fd58cdb1208f823023af,Sett,K'Sante,Nami,Diana,Camille,Aatrox,,,,,,2665,0,5,6,2,11,23,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.2477,0.7655,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,0.0,0.0,16696.0,375.8949,0.203908,1065.7936,1705.3508,12.0,0.2702,16.0,0.3602,7.0,61.0,1.3734,16256,10544,237.3884,0.239447,16425.0,,,285.0,281.0,4.0,,,6.4165,3868.0,4650.0,70.0,2850.0,4375.0,51.0,1018.0,275.0,19.0,2.0,0.0,2.0,0.0,3.0,2.0,5529.0,7078.0,109.0,4716.0,7016.0,100.0,813.0,62.0,9.0,2.0,0.0,2.0,0.0,3.0,2.0,6954.0,9267.0,146.0,6415.0,9701.0,138.0,539.0,-434.0,8.0,2.0,0.0,2.0,0.0,3.0,2.0,9119.0,11939.0,193.0,9709.0,13732.0,188.0,-590.0,-1793.0,5.0,3.0,1.0,3.0,1.0,6.0,2.0
ESPORTSTMNT03_3084389,complete,,EL,2023,,0,2023-01-14 00:04:55,1,13.01,2,Blue,jng,Jean,oe:player:4744f4fa897aa349aecf2dce948a0b4,War Legion Esports,oe:team:35d8c122cd2fd58cdb1208f823023af,Lillia,K'Sante,Nami,Diana,Camille,Aatrox,,,,,,2665,0,2,6,3,11,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2477,0.7655,,,,,,,,,,,,,,,,,,,,,0.0,3.0,,,,,,,,0.0,0.0,18515.0,416.848,0.226124,1100.9831,1202.7917,6.0,0.1351,25.0,0.5629,6.0,69.0,1.5535,15197,9485,213.546,0.215397,14900.0,,,346.0,104.0,242.0,,,7.7899,3073.0,3336.0,67.0,3557.0,3433.0,67.0,-484.0,-97.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,4712.0,5785.0,109.0,5563.0,5516.0,99.0,-851.0,269.0,10.0,0.0,0.0,1.0,1.0,2.0,0.0,6217.0,8141.0,152.0,7017.0,7867.0,137.0,-800.0,274.0,15.0,0.0,0.0,1.0,1.0,2.0,0.0,7890.0,11025.0,195.0,9289.0,11495.0,165.0,-1399.0,-470.0,30.0,0.0,1.0,2.0,2.0,7.0,0.0
ESPORTSTMNT03_3084389,complete,,EL,2023,,0,2023-01-14 00:04:55,1,13.01,3,Blue,mid,Kobrq,oe:player:7d12f9a2a5e31619bda571951328979,War Legion Esports,oe:team:35d8c122cd2fd58cdb1208f823023af,Syndra,K'Sante,Nami,Diana,Camille,Aatrox,,,,,,2665,0,1,4,2,11,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2477,0.7655,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,1.0,17798.0,400.7054,0.217367,467.3921,291.6923,17.0,0.3827,7.0,0.1576,4.0,33.0,0.743,14555,8843,199.0919,0.200818,13250.0,,,318.0,318.0,0.0,,,7.1595,3110.0,4674.0,87.0,3563.0,5059.0,91.0,-453.0,-385.0,-4.0,0.0,0.0,0.0,1.0,1.0,0.0,4855.0,7312.0,140.0,5098.0,7848.0,135.0,-243.0,-536.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,6677.0,9988.0,193.0,6731.0,10072.0,177.0,-54.0,-84.0,16.0,0.0,0.0,0.0,1.0,1.0,0.0,8145.0,11597.0,218.0,8992.0,13543.0,215.0,-847.0,-1946.0,3.0,0.0,1.0,2.0,2.0,4.0,0.0
ESPORTSTMNT03_3084389,complete,,EL,2023,,0,2023-01-14 00:04:55,1,13.01,4,Blue,bot,Redstratos,oe:player:17a67c112efdb928dbabbbe91904fa7,War Legion Esports,oe:team:35d8c122cd2fd58cdb1208f823023af,Sivir,K'Sante,Nami,Diana,Camille,Aatrox,,,,,,2665,0,2,2,5,11,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2477,0.7655,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,1.0,20375.0,458.7242,0.24884,528.2251,297.8161,16.0,0.3602,17.0,0.3827,4.0,65.0,1.4634,17620,11908,268.0976,0.270423,15000.0,,,406.0,373.0,33.0,,,9.1407,2684.0,3333.0,61.0,4224.0,3364.0,90.0,-1540.0,-31.0,-29.0,0.0,0.0,0.0,2.0,1.0,0.0,4260.0,5256.0,107.0,6585.0,5616.0,147.0,-2325.0,-360.0,-40.0,0.0,0.0,0.0,2.0,1.0,0.0,5974.0,7364.0,160.0,8220.0,7274.0,192.0,-2246.0,90.0,-32.0,0.0,0.0,0.0,2.0,1.0,0.0,7622.0,9281.0,189.0,11213.0,10399.0,229.0,-3591.0,-1118.0,-40.0,0.0,2.0,1.0,5.0,1.0,1.0
ESPORTSTMNT03_3084389,complete,,EL,2023,,0,2023-01-14 00:04:55,1,13.01,5,Blue,sup,FREDEAD,oe:player:536ca855f54f48bda8a4429275149aa,War Legion Esports,oe:team:35d8c122cd2fd58cdb1208f823023af,Yuumi,K'Sante,Nami,Diana,Camille,Aatrox,,,,,,2665,0,1,5,6,11,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2477,0.7655,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,8496.0,191.2795,0.103762,230.0488,147.7148,46.0,1.0356,2.0,0.045,18.0,77.0,1.7336,8967,3255,73.2833,0.0739156,8400.0,,,2.0,2.0,0.0,,,0.045,1768.0,1661.0,0.0,2567.0,2840.0,6.0,-799.0,-1179.0,-6.0,0.0,0.0,1.0,0.0,3.0,0.0,2495.0,3325.0,0.0,3990.0,3874.0,9.0,-1495.0,-549.0,-9.0,0.0,0.0,1.0,0.0,3.0,0.0,3212.0,5038.0,0.0,4797.0,4851.0,9.0,-1585.0,187.0,-9.0,0.0,0.0,1.0,0.0,3.0,0.0,5040.0,7372.0,1.0,6354.0,7921.0,16.0,-1314.0,-549.0,-15.0,1.0,1.0,2.0,0.0,8.0,1.0
ESPORTSTMNT03_3084389,complete,,EL,2023,,0,2023-01-14 00:04:55,1,13.01,6,Red,top,Bazu,oe:player:e40c3eae105d7d22ea5f310035e5d95,Bandits Gaming,oe:team:150ed90e9ca3262dbe6f3253b42ebb7,Gangplank,Poppy,Sylas,Fiora,Yone,Gwen,,,,,,2665,1,2,4,16,23,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5178,0.7655,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,0.0,0.0,30736.0,691.9925,0.264305,599.0544,471.8274,21.0,0.4728,7.0,0.1576,4.0,81.0,1.8236,19312,13600,306.1914,0.227894,18950.0,,,332.0,294.0,38.0,,,7.4747,2850.0,4375.0,51.0,3868.0,4650.0,70.0,-1018.0,-275.0,-19.0,0.0,3.0,2.0,2.0,0.0,2.0,4716.0,7016.0,100.0,5529.0,7078.0,109.0,-813.0,-62.0,-9.0,0.0,3.0,2.0,2.0,0.0,2.0,6415.0,9701.0,138.0,6954.0,9267.0,146.0,-539.0,434.0,-8.0,0.0,3.0,2.0,2.0,0.0,2.0,9709.0,13732.0,188.0,9119.0,11939.0,193.0,590.0,1793.0,-5.0,1.0,6.0,2.0,3.0,1.0,3.0
ESPORTSTMNT03_3084389,complete,,EL,2023,,0,2023-01-14 00:04:55,1,13.01,7,Red,jng,Kazuo,oe:player:cc60c99a5b97b20bbc2f15ede025416,Bandits Gaming,oe:team:150ed90e9ca3262dbe6f3253b42ebb7,Wukong,Poppy,Sylas,Fiora,Yone,Gwen,,,,,,2665,1,7,3,13,23,11,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5178,0.7655,,,,,,,,,,,,,,,,,,,,,3.0,0.0,,,,,,,,0.0,0.0,17322.0,389.9887,0.148955,738.1013,1276.1201,10.0,0.2251,10.0,0.2251,11.0,51.0,1.1482,16934,11222,252.6529,0.188045,14675.0,,,233.0,46.0,187.0,,,5.2458,3557.0,3433.0,67.0,3073.0,3336.0,67.0,484.0,97.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,5563.0,5516.0,99.0,4712.0,5785.0,109.0,851.0,-269.0,-10.0,1.0,2.0,0.0,0.0,0.0,1.0,7017.0,7867.0,137.0,6217.0,8141.0,152.0,800.0,-274.0,-15.0,1.0,2.0,0.0,0.0,0.0,1.0,9289.0,11495.0,165.0,7890.0,11025.0,195.0,1399.0,470.0,-30.0,2.0,7.0,0.0,0.0,1.0,2.0
ESPORTSTMNT03_3084389,complete,,EL,2023,,0,2023-01-14 00:04:55,1,13.01,8,Red,mid,Obi,oe:player:d977cabc01f18ea219e84a58b452d7b,Bandits Gaming,oe:team:150ed90e9ca3262dbe6f3253b42ebb7,Azir,Poppy,Sylas,Fiora,Yone,Gwen,,,,,,2665,1,4,0,11,23,11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5178,0.7655,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,1.0,0.0,21361.0,480.9231,0.183687,375.2871,368.3977,24.0,0.5403,8.0,0.1801,8.0,69.0,1.5535,17916,12204,274.7617,0.204501,16200.0,,,342.0,322.0,20.0,,,7.6998,3563.0,5059.0,91.0,3110.0,4674.0,87.0,453.0,385.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,5098.0,7848.0,135.0,4855.0,7312.0,140.0,243.0,536.0,-5.0,1.0,1.0,0.0,0.0,0.0,0.0,6731.0,10072.0,177.0,6677.0,9988.0,193.0,54.0,84.0,-16.0,1.0,1.0,0.0,0.0,0.0,0.0,8992.0,13543.0,215.0,8145.0,11597.0,218.0,847.0,1946.0,-3.0,2.0,4.0,0.0,0.0,1.0,2.0
ESPORTSTMNT03_3084389,complete,,EL,2023,,0,2023-01-14 00:04:55,1,13.01,9,Red,bot,Limitationss,oe:player:ebc8d71056b04067e8a67dd228a034e,Bandits Gaming,oe:team:150ed90e9ca3262dbe6f3253b42ebb7,Varus,Poppy,Sylas,Fiora,Yone,Gwen,,,,,,2665,1,10,1,9,23,11,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5178,0.7655,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,1.0,0.0,28277.0,636.6304,0.243159,457.4409,307.272,22.0,0.4953,16.0,0.3602,8.0,81.0,1.8236,22503,16791,378.0338,0.281366,17750.0,,,414.0,366.0,48.0,,,9.3208,4224.0,3364.0,90.0,2684.0,3333.0,61.0,1540.0,31.0,29.0,2.0,1.0,0.0,0.0,0.0,0.0,6585.0,5616.0,147.0,4260.0,5256.0,107.0,2325.0,360.0,40.0,2.0,1.0,0.0,0.0,0.0,0.0,8220.0,7274.0,192.0,5974.0,7364.0,160.0,2246.0,-90.0,32.0,2.0,1.0,0.0,0.0,0.0,0.0,11213.0,10399.0,229.0,7622.0,9281.0,189.0,3591.0,1118.0,40.0,5.0,1.0,1.0,0.0,2.0,1.0
ESPORTSTMNT03_3084389,complete,,EL,2023,,0,2023-01-14 00:04:55,1,13.01,10,Red,sup,Tyr,oe:player:db4ac958be32c137638130a19711ba9,Bandits Gaming,oe:team:150ed90e9ca3262dbe6f3253b42ebb7,Heimerdinger,Poppy,Sylas,Fiora,Yone,Gwen,,,,,,2665,1,0,3,17,23,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5178,0.7655,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,18594.0,418.6266,0.159893,425.0882,194.6567,65.0,1.4634,9.0,0.2026,21.0,117.0,2.6341,11572,5860,131.9325,0.0981936,10425.0,,,25.0,17.0,8.0,,,0.5629,2567.0,2840.0,6.0,1768.0,1661.0,0.0,799.0,1179.0,6.0,0.0,3.0,0.0,0.0,0.0,1.0,3990.0,3874.0,9.0,2495.0,3325.0,0.0,1495.0,549.0,9.0,0.0,3.0,0.0,0.0,0.0,1.0,4797.0,4851.0,9.0,3212.0,5038.0,0.0,1585.0,-187.0,9.0,0.0,3.0,0.0,0.0,0.0,1.0,6354.0,7921.0,16.0,5040.0,7372.0,1.0,1314.0,549.0,15.0,0.0,8.0,1.0,1.0,1.0,2.0
