gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT06_31082,complete,,EM,2024,Spring,0,2024-04-15 15:05:08,1,14.07,1,Blue,top,KLOWNY,oe:player:dfbb32609398e07a30933a617d2d9b7,Team Phantasma,oe:team:75a4d34e4afac036d164b0f1a580486,Renekton,Kalista,Ashe,Gragas,Rell,Jax,,,,,,2094,1,3,1,8,21,17,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6017,1.0888,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,13938,399.3696,0.164931,1097.4499,1272.3782,15,0.4298,7,0.2006,3,29,0.8309,14714,10167,291.3181,0.226055,13775,,,310.0,310.0,0,,,8.8825,3518.0,4746.0,87.0,3460.0,5151.0,92.0,58.0,-405.0,-5.0,0.0,1.0,0.0,0.0,0.0,1.0,5303.0,7587.0,141.0,5835.0,7771.0,140.0,-532.0,-184.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,7805.0,11140.0,203.0,8726.0,10993.0,193.0,-921.0,147.0,10.0,1.0,2.0,1.0,3.0,1.0,1.0,10068.0,13446.0,242.0,12235.0,15087.0,240.0,-2167.0,-1641.0,2.0,1.0,2.0,1.0,7.0,2.0,1.0
LOLTMNT06_31082,complete,,EM,2024,Spring,0,2024-04-15 15:05:08,1,14.07,2,Blue,jng,RAMES,oe:player:87e40b7c555a6fc67b899be632d037f,Team Phantasma,oe:team:75a4d34e4afac036d164b0f1a580486,Sejuani,Kalista,Ashe,Gragas,Rell,Jax,,,,,,2094,1,2,5,18,21,17,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6017,1.0888,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,0.0,0.0,12266,351.4613,0.145146,1184.7564,2058.6246,9,0.2579,10,0.2865,8,43,1.2321,11377,6830,195.702,0.151857,9900,,,183.0,24.0,159,,,5.2436,3844.0,3808.0,72.0,3049.0,3516.0,69.0,795.0,292.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,5375.0,5714.0,95.0,4775.0,4506.0,86.0,600.0,1208.0,9.0,2.0,5.0,1.0,2.0,2.0,2.0,7044.0,7921.0,127.0,6489.0,7206.0,121.0,555.0,715.0,6.0,2.0,7.0,1.0,2.0,4.0,3.0,8311.0,9282.0,149.0,8597.0,9886.0,137.0,-286.0,-604.0,12.0,2.0,7.0,3.0,3.0,8.0,3.0
LOLTMNT06_31082,complete,,EM,2024,Spring,0,2024-04-15 15:05:08,1,14.07,3,Blue,mid,Peppe,oe:player:8a391c2d095a4e0b79ed197436af6c7,Team Phantasma,oe:team:75a4d34e4afac036d164b0f1a580486,Orianna,Kalista,Ashe,Gragas,Rell,Jax,,,,,,2094,1,6,3,9,21,17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6017,1.0888,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,1.0,0.0,21460,614.8997,0.25394,364.0688,333.9542,14,0.4011,5,0.1433,8,27,0.7736,14594,10047,287.8797,0.223387,12625,,,279.0,279.0,0,,,7.9943,3433.0,4865.0,92.0,3308.0,4892.0,90.0,125.0,-27.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5331.0,7001.0,128.0,4843.0,6816.0,127.0,488.0,185.0,1.0,1.0,3.0,1.0,0.0,2.0,1.0,7525.0,9340.0,165.0,7539.0,10125.0,186.0,-14.0,-785.0,-21.0,2.0,4.0,2.0,1.0,3.0,1.0,8897.0,11170.0,199.0,10736.0,14147.0,238.0,-1839.0,-2977.0,-39.0,2.0,4.0,3.0,2.0,8.0,1.0
LOLTMNT06_31082,complete,,EM,2024,Spring,0,2024-04-15 15:05:08,1,14.07,4,Blue,bot,Vaynedeta,oe:player:e54bbd7c6dd5290a1cd0f70ad2653c5,Team Phantasma,oe:team:75a4d34e4afac036d164b0f1a580486,Xayah,Kalista,Ashe,Gragas,Rell,Jax,,,,,,2094,1,9,2,7,21,17,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6017,1.0888,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,0.0,0.0,28970,830.086,0.342808,483.7249,248.1089,13,0.3725,10,0.2865,4,31,0.8883,17585,13038,373.5817,0.289892,14000,,,320.0,294.0,26,,,9.1691,3455.0,3404.0,85.0,2848.0,3202.0,68.0,607.0,202.0,17.0,0.0,1.0,0.0,0.0,0.0,1.0,6428.0,5501.0,119.0,4734.0,5086.0,101.0,1694.0,415.0,18.0,3.0,3.0,0.0,1.0,2.0,3.0,8621.0,8164.0,179.0,6507.0,7344.0,148.0,2114.0,820.0,31.0,3.0,3.0,1.0,1.0,3.0,4.0,10144.0,9978.0,217.0,8915.0,10343.0,188.0,1229.0,-365.0,29.0,3.0,3.0,2.0,1.0,7.0,4.0
LOLTMNT06_31082,complete,,EM,2024,Spring,0,2024-04-15 15:05:08,1,14.07,5,Blue,sup,HungryPanda,oe:player:dbb4f0b38307e3b2a6c2e6568262dc7,Team Phantasma,oe:team:75a4d34e4afac036d164b0f1a580486,Rakan,Kalista,Ashe,Gragas,Rell,Jax,,,,,,2094,1,1,6,19,21,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6017,1.0888,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,7874,225.616,0.0931746,620.5731,653.9542,103,2.9513,34,0.9742,21,177,5.0716,9441,4894,140.2292,0.10881,8375,,,51.0,51.0,0,,,1.4613,2248.0,2453.0,15.0,2142.0,2225.0,8.0,106.0,228.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,4061.0,3647.0,24.0,3623.0,3636.0,16.0,438.0,11.0,8.0,1.0,5.0,2.0,0.0,4.0,0.0,5193.0,4843.0,28.0,4662.0,5730.0,19.0,531.0,-887.0,9.0,1.0,7.0,2.0,0.0,6.0,0.0,6314.0,6225.0,37.0,6446.0,7970.0,22.0,-132.0,-1745.0,15.0,1.0,7.0,5.0,1.0,11.0,0.0
LOLTMNT06_31082,complete,,EM,2024,Spring,0,2024-04-15 15:05:08,1,14.07,6,Red,top,Looca,oe:player:4f0e7bf8b1032702f7da28750e5e87c,KRC Genk Esports,oe:team:01a959b2a20ca77057e580ec051aa3e,Urgot,Rumble,Varus,Nautilus,Xin Zhao,Lee Sin,,,,,,2094,0,9,2,2,17,21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4871,1.0888,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,23583,675.7307,0.23131,767.8797,1203.1805,9,0.2579,11,0.3152,4,40,1.1461,16475,11928,341.7765,0.296227,16050,,,329.0,313.0,16,,,9.4269,3460.0,5151.0,92.0,3518.0,4746.0,87.0,-58.0,405.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,5835.0,7771.0,140.0,5303.0,7587.0,141.0,532.0,184.0,-1.0,1.0,0.0,1.0,0.0,1.0,0.0,8726.0,10993.0,193.0,7805.0,11140.0,203.0,921.0,-147.0,-10.0,3.0,1.0,1.0,1.0,2.0,1.0,12235.0,15087.0,240.0,10068.0,13446.0,242.0,2167.0,1641.0,-2.0,7.0,2.0,1.0,1.0,2.0,1.0
LOLTMNT06_31082,complete,,EM,2024,Spring,0,2024-04-15 15:05:08,1,14.07,7,Red,jng,Sn1lle,oe:player:947d42fad1e2f3afeb911e5ae3888ce,KRC Genk Esports,oe:team:01a959b2a20ca77057e580ec051aa3e,Vi,Rumble,Varus,Nautilus,Xin Zhao,Lee Sin,,,,,,2094,0,4,7,9,17,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4871,1.0888,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,0.0,0.0,9178,262.9799,0.090021,1030.7163,1354.3266,11,0.3152,13,0.3725,10,44,1.2607,11080,6533,187.192,0.16224,10050,,,171.0,28.0,143,,,4.8997,3049.0,3516.0,69.0,3844.0,3808.0,72.0,-795.0,-292.0,-3.0,0.0,0.0,0.0,2.0,0.0,0.0,4775.0,4506.0,86.0,5375.0,5714.0,95.0,-600.0,-1208.0,-9.0,2.0,2.0,2.0,2.0,5.0,1.0,6489.0,7206.0,121.0,7044.0,7921.0,127.0,-555.0,-715.0,-6.0,2.0,4.0,3.0,2.0,7.0,1.0,8597.0,9886.0,137.0,8311.0,9282.0,149.0,286.0,604.0,-12.0,3.0,8.0,3.0,2.0,7.0,3.0
LOLTMNT06_31082,complete,,EM,2024,Spring,0,2024-04-15 15:05:08,1,14.07,8,Red,mid,Knighter,oe:player:dafc6edb9a01b6d96afd03b81a33386,KRC Genk Esports,oe:team:01a959b2a20ca77057e580ec051aa3e,Taliyah,Rumble,Varus,Nautilus,Xin Zhao,Lee Sin,,,,,,2094,0,2,4,10,17,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4871,1.0888,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,1.0,32424,929.0544,0.318026,501.9484,333.4384,16,0.4585,8,0.2292,6,40,1.1461,14583,10036,287.5645,0.249239,14350,,,339.0,311.0,28,,,9.7135,3308.0,4892.0,90.0,3433.0,4865.0,92.0,-125.0,27.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,4843.0,6816.0,127.0,5331.0,7001.0,128.0,-488.0,-185.0,-1.0,0.0,2.0,1.0,1.0,3.0,1.0,7539.0,10125.0,186.0,7525.0,9340.0,165.0,14.0,785.0,21.0,1.0,3.0,1.0,2.0,4.0,2.0,10736.0,14147.0,238.0,8897.0,11170.0,199.0,1839.0,2977.0,39.0,2.0,8.0,1.0,2.0,4.0,3.0
LOLTMNT06_31082,complete,,EM,2024,Spring,0,2024-04-15 15:05:08,1,14.07,9,Red,bot,Bung,oe:player:4d502cddb3e94cb64100be58f85e600,KRC Genk Esports,oe:team:01a959b2a20ca77057e580ec051aa3e,Zeri,Rumble,Varus,Nautilus,Xin Zhao,Lee Sin,,,,,,2094,0,1,6,9,17,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4871,1.0888,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,0.0,0.0,22490,644.4126,0.22059,571.0602,350.4298,11,0.3152,15,0.4298,5,43,1.2321,12164,7617,218.2521,0.189162,11775,,,260.0,228.0,32,,,7.4499,2848.0,3202.0,68.0,3455.0,3404.0,85.0,-607.0,-202.0,-17.0,0.0,0.0,1.0,0.0,1.0,0.0,4734.0,5086.0,101.0,6428.0,5501.0,119.0,-1694.0,-415.0,-18.0,1.0,2.0,3.0,3.0,3.0,0.0,6507.0,7344.0,148.0,8621.0,8164.0,179.0,-2114.0,-820.0,-31.0,1.0,3.0,4.0,3.0,3.0,1.0,8915.0,10343.0,188.0,10144.0,9978.0,217.0,-1229.0,365.0,-29.0,1.0,7.0,4.0,3.0,3.0,2.0
LOLTMNT06_31082,complete,,EM,2024,Spring,0,2024-04-15 15:05:08,1,14.07,10,Red,sup,Seal,oe:player:807b957f35713431f56182cb25af089,KRC Genk Esports,oe:team:01a959b2a20ca77057e580ec051aa3e,Bard,Rumble,Varus,Nautilus,Xin Zhao,Lee Sin,,,,,,2094,0,1,2,14,17,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4871,1.0888,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,14279,409.1404,0.140053,431.3181,260.2865,92,2.6361,25,0.7163,16,162,4.6418,8700,4153,118.9971,0.103132,8550,,,41.0,41.0,0,,,1.1748,2142.0,2225.0,8.0,2248.0,2453.0,15.0,-106.0,-228.0,-7.0,0.0,0.0,0.0,0.0,1.0,0.0,3623.0,3636.0,16.0,4061.0,3647.0,24.0,-438.0,-11.0,-8.0,0.0,4.0,0.0,1.0,5.0,2.0,4662.0,5730.0,19.0,5193.0,4843.0,28.0,-531.0,887.0,-9.0,0.0,6.0,0.0,1.0,7.0,2.0,6446.0,7970.0,22.0,6314.0,6225.0,37.0,132.0,1745.0,-15.0,1.0,11.0,0.0,1.0,7.0,5.0
