gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT03_3166897,complete,,EPL,2023,,0,2023-06-08 08:11:09,1,13.1,1,Blue,top,Eyliph,oe:player:4b20700639bada36a5a58cc4a8e7135,Anorthosis Famagusta Esports,oe:team:5f1bc4a914b49c7b7ff4c2f1b8d8df9,K'Sante,Lee Sin,Aphelios,Nocturne,Gwen,Ahri,,,,,,1430,1,3,1,6,19,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7972,0.8811,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,11103.0,465.8601,0.237502,760.0699,819.6923,8.0,0.3357,1.0,0.042,3.0,12.0,0.5035,8989,5796,243.1888,0.175382,8975.0,,,170.0,170.0,0.0,,,7.1329,3815.0,4856.0,78.0,3150.0,4462.0,74.0,665.0,394.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,5528.0,7509.0,122.0,4871.0,6812.0,118.0,657.0,697.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,6911.0,10053.0,148.0,7093.0,9598.0,168.0,-182.0,455.0,-20.0,1.0,2.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
ESPORTSTMNT03_3166897,complete,,EPL,2023,,0,2023-06-08 08:11:09,1,13.1,2,Blue,jng,SPOOKY,oe:player:11389d6d8a29729807c3cf528a98050,Anorthosis Famagusta Esports,oe:team:5f1bc4a914b49c7b7ff4c2f1b8d8df9,Kindred,Lee Sin,Aphelios,Nocturne,Gwen,Ahri,,,,,,1430,1,5,1,8,19,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7972,0.8811,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,1.0,0.0,11113.0,466.2797,0.237716,838.4476,551.3287,3.0,0.1259,8.0,0.3357,3.0,27.0,1.1329,10086,6893,289.2168,0.208575,7658.0,,,153.0,14.0,139.0,,,6.4196,3399.0,3720.0,66.0,2826.0,3076.0,56.0,573.0,644.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,5476.0,5999.0,99.0,4149.0,5247.0,84.0,1327.0,752.0,15.0,1.0,2.0,0.0,0.0,0.0,2.0,7672.0,8500.0,130.0,5782.0,7657.0,110.0,1890.0,843.0,20.0,2.0,4.0,1.0,1.0,0.0,3.0,,,,,,,,,,,,,,,
ESPORTSTMNT03_3166897,complete,,EPL,2023,,0,2023-06-08 08:11:09,1,13.1,3,Blue,mid,HAWHAW,oe:player:ae06413dcf80aa496ab8448d8ea586f,Anorthosis Famagusta Esports,oe:team:5f1bc4a914b49c7b7ff4c2f1b8d8df9,Galio,Lee Sin,Aphelios,Nocturne,Gwen,Ahri,,,,,,1430,1,2,0,9,19,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7972,0.8811,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,1.0,0.0,7135.0,299.3706,0.152624,407.8741,505.3007,4.0,0.1678,3.0,0.1259,2.0,13.0,0.5455,9583,6390,268.1119,0.193355,8950.0,,,225.0,225.0,0.0,,,9.4406,3695.0,4907.0,84.0,3594.0,4831.0,92.0,101.0,76.0,-8.0,2.0,0.0,0.0,0.0,0.0,1.0,5673.0,7940.0,142.0,5586.0,7870.0,150.0,87.0,70.0,-8.0,2.0,2.0,0.0,0.0,0.0,1.0,7866.0,10957.0,190.0,7451.0,10414.0,193.0,415.0,543.0,-3.0,2.0,6.0,0.0,0.0,2.0,2.0,,,,,,,,,,,,,,,
ESPORTSTMNT03_3166897,complete,,EPL,2023,,0,2023-06-08 08:11:09,1,13.1,4,Blue,bot,GOLDENTO4ST,oe:player:5c58c2e986e8aec0ee6f2465823349a,Anorthosis Famagusta Esports,oe:team:5f1bc4a914b49c7b7ff4c2f1b8d8df9,Zeri,Lee Sin,Aphelios,Nocturne,Gwen,Ahri,,,,,,1430,1,9,0,3,19,2,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.7972,0.8811,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,12707.0,533.1608,0.271813,378.6713,269.3287,12.0,0.5035,5.0,0.2098,5.0,27.0,1.1329,14092,10899,457.3007,0.329789,12808.0,,,236.0,219.0,17.0,,,9.9021,4246.0,3168.0,88.0,3208.0,2918.0,79.0,1038.0,250.0,9.0,2.0,0.0,0.0,0.0,0.0,1.0,7537.0,5149.0,133.0,5313.0,4985.0,133.0,2224.0,164.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,11282.0,8234.0,190.0,7083.0,7054.0,181.0,4199.0,1180.0,9.0,6.0,1.0,0.0,0.0,2.0,3.0,,,,,,,,,,,,,,,
ESPORTSTMNT03_3166897,complete,,EPL,2023,,0,2023-06-08 08:11:09,1,13.1,5,Blue,sup,iLEVI,oe:player:b226880189cb11f7da7a0c86544b556,Anorthosis Famagusta Esports,oe:team:5f1bc4a914b49c7b7ff4c2f1b8d8df9,Rell,Lee Sin,Aphelios,Nocturne,Gwen,Ahri,,,,,,1430,1,0,0,13,19,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.7972,0.8811,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,4691.0,196.8252,0.100344,303.1888,428.3497,24.0,1.007,2.0,0.0839,6.0,51.0,2.1399,6263,3070,128.8112,0.0928984,5625.0,,,30.0,26.0,4.0,,,1.2587,2363.0,2870.0,13.0,2115.0,2918.0,3.0,248.0,-48.0,10.0,0.0,2.0,0.0,0.0,0.0,1.0,3561.0,4104.0,23.0,3040.0,4497.0,4.0,521.0,-393.0,19.0,0.0,4.0,0.0,0.0,0.0,1.0,4935.0,5763.0,29.0,4012.0,6550.0,4.0,923.0,-787.0,25.0,0.0,8.0,0.0,0.0,2.0,2.0,,,,,,,,,,,,,,,
ESPORTSTMNT03_3166897,complete,,EPL,2023,,0,2023-06-08 08:11:09,1,13.1,6,Red,top,Banderas,oe:player:57abe5a8958c15444e9103873f8565a,WLGaming Esports,oe:team:b19ab22267512e77945cd498106dcf1,Fiora,Neeko,Lucian,Maokai,Pyke,Lulu,,,,,,1430,0,1,4,0,2,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0839,0.8811,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,9370.0,393.1469,0.227052,900.3776,717.1049,7.0,0.2937,3.0,0.1259,1.0,17.0,0.7133,8316,5123,214.951,0.249888,8108.0,,,198.0,194.0,4.0,,,8.3077,3150.0,4462.0,74.0,3815.0,4856.0,78.0,-665.0,-394.0,-4.0,0.0,0.0,1.0,1.0,1.0,0.0,4871.0,6812.0,118.0,5528.0,7509.0,122.0,-657.0,-697.0,-4.0,0.0,0.0,1.0,1.0,1.0,0.0,7093.0,9598.0,168.0,6911.0,10053.0,148.0,182.0,-455.0,20.0,1.0,0.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,
ESPORTSTMNT03_3166897,complete,,EPL,2023,,0,2023-06-08 08:11:09,1,13.1,7,Red,jng,Bruness,oe:player:7471c21aed615dae3e49140eca8ce89,WLGaming Esports,oe:team:b19ab22267512e77945cd498106dcf1,Vi,Neeko,Lucian,Maokai,Pyke,Lulu,,,,,,1430,0,1,4,0,2,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0839,0.8811,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,1.0,4064.0,170.5175,0.0984782,667.6783,757.8881,6.0,0.2517,3.0,0.1259,5.0,25.0,1.049,6502,3309,138.8392,0.161409,6375.0,,,119.0,3.0,116.0,,,4.993,2826.0,3076.0,56.0,3399.0,3720.0,66.0,-573.0,-644.0,-10.0,0.0,0.0,1.0,0.0,1.0,0.0,4149.0,5247.0,84.0,5476.0,5999.0,99.0,-1327.0,-752.0,-15.0,0.0,0.0,2.0,1.0,2.0,0.0,5782.0,7657.0,110.0,7672.0,8500.0,130.0,-1890.0,-843.0,-20.0,1.0,0.0,3.0,2.0,4.0,1.0,,,,,,,,,,,,,,,
ESPORTSTMNT03_3166897,complete,,EPL,2023,,0,2023-06-08 08:11:09,1,13.1,8,Red,mid,ESCIK,oe:player:7e33124e33721ef8f70d2dd843b57da,WLGaming Esports,oe:team:b19ab22267512e77945cd498106dcf1,Annie,Neeko,Lucian,Maokai,Pyke,Lulu,,,,,,1430,0,0,2,2,2,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0839,0.8811,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,1.0,13943.0,585.021,0.337865,284.8951,262.9091,11.0,0.4615,1.0,0.042,3.0,18.0,0.7552,8940,5747,241.1329,0.280324,8925.0,,,230.0,230.0,0.0,,,9.6503,3594.0,4831.0,92.0,3695.0,4907.0,84.0,-101.0,-76.0,8.0,0.0,0.0,1.0,2.0,0.0,0.0,5586.0,7870.0,150.0,5673.0,7940.0,142.0,-87.0,-70.0,8.0,0.0,0.0,1.0,2.0,2.0,0.0,7451.0,10414.0,193.0,7866.0,10957.0,190.0,-415.0,-543.0,3.0,0.0,2.0,2.0,2.0,6.0,0.0,,,,,,,,,,,,,,,
ESPORTSTMNT03_3166897,complete,,EPL,2023,,0,2023-06-08 08:11:09,1,13.1,9,Red,bot,Woolite,oe:player:40fa7615556f33971d67c95a702fbcc,WLGaming Esports,oe:team:b19ab22267512e77945cd498106dcf1,Twitch,Neeko,Lucian,Maokai,Pyke,Lulu,,,,,,1430,0,0,5,2,2,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0839,0.8811,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,9483.0,397.8881,0.229791,537.6084,518.2657,7.0,0.2937,5.0,0.2098,0.0,16.0,0.6713,8068,4875,204.5455,0.237791,7610.0,,,205.0,198.0,7.0,,,8.6014,3208.0,2918.0,79.0,4246.0,3168.0,88.0,-1038.0,-250.0,-9.0,0.0,0.0,1.0,2.0,0.0,0.0,5313.0,4985.0,133.0,7537.0,5149.0,133.0,-2224.0,-164.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,7083.0,7054.0,181.0,11282.0,8234.0,190.0,-4199.0,-1180.0,-9.0,0.0,2.0,3.0,6.0,1.0,0.0,,,,,,,,,,,,,,,
ESPORTSTMNT03_3166897,complete,,EPL,2023,,0,2023-06-08 08:11:09,1,13.1,10,Red,sup,Bananitoo,oe:player:148e116847c069d852ad0696d4180fe,WLGaming Esports,oe:team:b19ab22267512e77945cd498106dcf1,Yuumi,Neeko,Lucian,Maokai,Pyke,Lulu,,,,,,1430,0,0,4,2,2,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0839,0.8811,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,4408.0,184.951,0.106814,244.951,117.7343,15.0,0.6294,2.0,0.0839,6.0,34.0,1.4266,4640,1447,60.7133,0.0705882,4350.0,,,5.0,5.0,0.0,,,0.2098,2115.0,2918.0,3.0,2363.0,2870.0,13.0,-248.0,48.0,-10.0,0.0,0.0,1.0,0.0,2.0,0.0,3040.0,4497.0,4.0,3561.0,4104.0,23.0,-521.0,393.0,-19.0,0.0,0.0,1.0,0.0,4.0,0.0,4012.0,6550.0,4.0,4935.0,5763.0,29.0,-923.0,787.0,-25.0,0.0,2.0,2.0,0.0,8.0,0.0,,,,,,,,,,,,,,,
