gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT01_2702939,complete,,ESLOL,2022,Spring,0,2022-01-17 17:07:54,1,12.01,1,Blue,top,Zhergoth,oe:player:368db8366e1e5de655938dd9f8296dc,LowLandLions,oe:team:813dd5137f04b19ed1b27465511a56c,Jayce,Jarvan IV,Vex,Xin Zhao,Gwen,Renekton,,,,,,2438,0,2,3,4,13,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3199,0.7629,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,40690.0,1001.3946,0.398847,549.6226,384.8318,22.0,0.5414,13.0,0.3199,8.0,55.0,1.3536,16990,11741.0,288.95,0.269978,16700.0,,,355.0,299.0,56.0,,,8.7367,3400.0,4582.0,85.0,2966.0,4467.0,70.0,434.0,115.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,5607.0,7596.0,149.0,5107.0,7427.0,130.0,500.0,169.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,7859.0,10080.0,205.0,6521.0,9391.0,163.0,1338.0,689.0,42.0,0.0,0.0,0.0,0.0,2.0,0.0,10531.0,12279.0,241.0,7845.0,11408.0,192.0,2686.0,871.0,49.0,2.0,0.0,1.0,0.0,4.0,1.0
ESPORTSTMNT01_2702939,complete,,ESLOL,2022,Spring,0,2022-01-17 17:07:54,1,12.01,2,Blue,jng,Urban,oe:player:861565831545afb68057b15adeaa304,LowLandLions,oe:team:813dd5137f04b19ed1b27465511a56c,Trundle,Jarvan IV,Vex,Xin Zhao,Gwen,Renekton,,,,,,2438,0,0,3,10,13,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3199,0.7629,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,0.0,0.0,6614.0,162.7728,0.0648311,959.0648,609.7949,15.0,0.3692,14.0,0.3445,14.0,62.0,1.5258,10907,5658.0,139.2453,0.130101,10800.0,,,160.0,32.0,128.0,,,3.9377,2988.0,3043.0,57.0,2892.0,2977.0,57.0,96.0,66.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4291.0,4858.0,87.0,4651.0,5385.0,95.0,-360.0,-527.0,-8.0,0.0,1.0,0.0,0.0,0.0,0.0,5816.0,7052.0,114.0,6267.0,8066.0,136.0,-451.0,-1014.0,-22.0,0.0,1.0,0.0,0.0,2.0,0.0,7297.0,9027.0,138.0,7759.0,10863.0,170.0,-462.0,-1836.0,-32.0,0.0,3.0,0.0,0.0,4.0,0.0
ESPORTSTMNT01_2702939,complete,,ESLOL,2022,Spring,0,2022-01-17 17:07:54,1,12.01,3,Blue,mid,Mikkel,oe:player:fe556cd968f4ec0c25b65d0b7b232b3,LowLandLions,oe:team:813dd5137f04b19ed1b27465511a56c,LeBlanc,Jarvan IV,Vex,Xin Zhao,Gwen,Renekton,,,,,,2438,0,4,4,3,13,18,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3199,0.7629,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,16087.0,395.9065,0.157686,603.0763,272.9532,11.0,0.2707,9.0,0.2215,7.0,36.0,0.886,14812,9563.0,235.3486,0.219895,14935.0,,,318.0,286.0,32.0,,,7.8261,4132.0,5571.0,89.0,3323.0,4080.0,88.0,809.0,1491.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,6188.0,8733.0,143.0,4999.0,6644.0,135.0,1189.0,2089.0,8.0,3.0,0.0,0.0,0.0,0.0,3.0,8127.0,11094.0,185.0,7002.0,9021.0,176.0,1125.0,2073.0,9.0,3.0,0.0,0.0,1.0,1.0,3.0,9981.0,13974.0,239.0,10123.0,11642.0,216.0,-142.0,2332.0,23.0,3.0,1.0,1.0,3.0,2.0,3.0
ESPORTSTMNT01_2702939,complete,,ESLOL,2022,Spring,0,2022-01-17 17:07:54,1,12.01,4,Blue,bot,Orre,oe:player:b130a61ae7edad6eeb8e353fd7b828e,LowLandLions,oe:team:813dd5137f04b19ed1b27465511a56c,Caitlyn,Jarvan IV,Vex,Xin Zhao,Gwen,Renekton,,,,,,2438,0,5,2,4,13,18,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3199,0.7629,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,1.0,31739.0,781.1075,0.311109,339.9426,294.0443,9.0,0.2215,24.0,0.5906,7.0,57.0,1.4028,17786,12537.0,308.5398,0.288281,17675.0,,,357.0,330.0,27.0,,,8.7859,3216.0,3376.0,72.0,3128.0,3307.0,83.0,88.0,69.0,-11.0,1.0,0.0,0.0,0.0,0.0,1.0,4795.0,5398.0,121.0,5514.0,4832.0,130.0,-719.0,566.0,-9.0,1.0,0.0,0.0,0.0,0.0,1.0,6753.0,7514.0,170.0,7568.0,7077.0,178.0,-815.0,437.0,-8.0,1.0,0.0,0.0,1.0,1.0,1.0,8792.0,9746.0,206.0,9417.0,9459.0,219.0,-625.0,287.0,-13.0,1.0,2.0,0.0,2.0,2.0,1.0
ESPORTSTMNT01_2702939,complete,,ESLOL,2022,Spring,0,2022-01-17 17:07:54,1,12.01,5,Blue,sup,Bravado,oe:player:e0ce08383af4f1dd00356b110137338,LowLandLions,oe:team:813dd5137f04b19ed1b27465511a56c,Leona,Jarvan IV,Vex,Xin Zhao,Gwen,Renekton,,,,,,2438,0,2,6,2,13,18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3199,0.7629,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,6889.0,169.5406,0.0675266,552.6005,605.1189,49.0,1.2059,16.0,0.3938,17.0,119.0,2.9286,9239,3990.0,98.1952,0.0917454,9075.0,,,44.0,44.0,0.0,,,1.0829,2088.0,2223.0,14.0,2191.0,2535.0,18.0,-103.0,-312.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,3312.0,3446.0,25.0,3365.0,4001.0,28.0,-53.0,-555.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,4402.0,4682.0,30.0,4223.0,5393.0,31.0,179.0,-711.0,-1.0,0.0,0.0,2.0,0.0,2.0,0.0,5373.0,5917.0,34.0,5019.0,6797.0,32.0,354.0,-880.0,2.0,0.0,1.0,3.0,0.0,4.0,1.0
ESPORTSTMNT01_2702939,complete,,ESLOL,2022,Spring,0,2022-01-17 17:07:54,1,12.01,6,Red,top,Robba,oe:player:0a08034cdc4feac55c0bdfbc0f300db,KRC Genk Esports,oe:team:01a959b2a20ca77057e580ec051aa3e,Gragas,Lucian,Irelia,Diana,Lux,Karma,,,,,,2438,1,2,3,13,18,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.443,0.7629,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,11144.0,274.2576,0.124048,898.3019,919.073,20.0,0.4922,7.0,0.1723,10.0,58.0,1.4274,12777,7528.0,185.2666,0.169733,11600.0,,,243.0,223.0,20.0,,,5.9803,2966.0,4467.0,70.0,3400.0,4582.0,85.0,-434.0,-115.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,5107.0,7427.0,130.0,5607.0,7596.0,149.0,-500.0,-169.0,-19.0,0.0,0.0,0.0,0.0,0.0,0.0,6521.0,9391.0,163.0,7859.0,10080.0,205.0,-1338.0,-689.0,-42.0,0.0,2.0,0.0,0.0,0.0,0.0,7845.0,11408.0,192.0,10531.0,12279.0,241.0,-2686.0,-871.0,-49.0,0.0,4.0,1.0,2.0,0.0,1.0
ESPORTSTMNT01_2702939,complete,,ESLOL,2022,Spring,0,2022-01-17 17:07:54,1,12.01,7,Red,jng,Guertas,oe:player:66dfc0444c571e87d4442178fee3ab4,KRC Genk Esports,oe:team:01a959b2a20ca77057e580ec051aa3e,Lee Sin,Lucian,Irelia,Diana,Lux,Karma,,,,,,2438,1,3,1,10,18,13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.443,0.7629,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,0.0,0.0,12343.0,303.7654,0.137395,971.7391,814.799,22.0,0.5414,9.0,0.2215,8.0,57.0,1.4028,13602,8353.0,205.5701,0.188334,12410.0,,,257.0,46.0,211.0,,,6.3249,2892.0,2977.0,57.0,2988.0,3043.0,57.0,-96.0,-66.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4651.0,5385.0,95.0,4291.0,4858.0,87.0,360.0,527.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,6267.0,8066.0,136.0,5816.0,7052.0,114.0,451.0,1014.0,22.0,0.0,2.0,0.0,0.0,1.0,0.0,7759.0,10863.0,170.0,7297.0,9027.0,138.0,462.0,1836.0,32.0,0.0,4.0,0.0,0.0,3.0,0.0
ESPORTSTMNT01_2702939,complete,,ESLOL,2022,Spring,0,2022-01-17 17:07:54,1,12.01,8,Red,mid,Numandiel,oe:player:929023b5930e9998a1f853fd00f6d82,KRC Genk Esports,oe:team:01a959b2a20ca77057e580ec051aa3e,Corki,Lucian,Irelia,Diana,Lux,Karma,,,,,,2438,1,4,5,10,18,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.443,0.7629,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,31869.0,784.3068,0.354746,448.1788,248.2691,17.0,0.4184,5.0,0.1231,8.0,37.0,0.9106,17078,11829.0,291.1157,0.266708,16200.0,,,327.0,315.0,12.0,,,8.0476,3323.0,4080.0,88.0,4132.0,5571.0,89.0,-809.0,-1491.0,-1.0,0.0,0.0,2.0,2.0,0.0,0.0,4999.0,6644.0,135.0,6188.0,8733.0,143.0,-1189.0,-2089.0,-8.0,0.0,0.0,3.0,3.0,0.0,0.0,7002.0,9021.0,176.0,8127.0,11094.0,185.0,-1125.0,-2073.0,-9.0,1.0,1.0,3.0,3.0,0.0,0.0,10123.0,11642.0,216.0,9981.0,13974.0,239.0,142.0,-2332.0,-23.0,3.0,2.0,3.0,3.0,1.0,1.0
ESPORTSTMNT01_2702939,complete,,ESLOL,2022,Spring,0,2022-01-17 17:07:54,1,12.01,9,Red,bot,GENK M0NK,,KRC Genk Esports,oe:team:01a959b2a20ca77057e580ec051aa3e,Aphelios,Lucian,Irelia,Diana,Lux,Karma,,,,,,2438,1,8,2,6,18,13,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.443,0.7629,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,1.0,0.0,29631.0,729.2289,0.329834,514.356,351.4356,19.0,0.4676,12.0,0.2953,6.0,57.0,1.4028,17980,12731.0,313.3142,0.287046,16250.0,,,330.0,310.0,20.0,,,8.1214,3128.0,3307.0,83.0,3216.0,3376.0,72.0,-88.0,-69.0,11.0,0.0,0.0,1.0,1.0,0.0,0.0,5514.0,4832.0,130.0,4795.0,5398.0,121.0,719.0,-566.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,7568.0,7077.0,178.0,6753.0,7514.0,170.0,815.0,-437.0,8.0,1.0,1.0,1.0,1.0,0.0,0.0,9417.0,9459.0,219.0,8792.0,9746.0,206.0,625.0,-287.0,13.0,2.0,2.0,1.0,1.0,2.0,0.0
ESPORTSTMNT01_2702939,complete,,ESLOL,2022,Spring,0,2022-01-17 17:07:54,1,12.01,10,Red,sup,Moopz,oe:player:d555f70f3eba72804bbe4baa1b834e6,KRC Genk Esports,oe:team:01a959b2a20ca77057e580ec051aa3e,Thresh,Lucian,Irelia,Diana,Lux,Karma,,,,,,2438,1,1,2,15,18,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.443,0.7629,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,4849.0,119.3355,0.0539761,444.9057,348.5562,66.0,1.6243,7.0,0.1723,19.0,86.0,2.1165,9160,3911.0,96.251,0.0881789,7825.0,,,36.0,36.0,0.0,,,0.886,2191.0,2535.0,18.0,2088.0,2223.0,14.0,103.0,312.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3365.0,4001.0,28.0,3312.0,3446.0,25.0,53.0,555.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4223.0,5393.0,31.0,4402.0,4682.0,30.0,-179.0,711.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,5019.0,6797.0,32.0,5373.0,5917.0,34.0,-354.0,880.0,-2.0,0.0,4.0,1.0,0.0,1.0,3.0
