gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
TREU/1001490056,complete,http://matchhistory.euw.leagueoflegends.com/en/#match-details/TREU/1001490056?gameHash=c350f47480f2242d,EU CS,2017,,0,2017-01-10 15:44:06,1,6.24,1,Blue,top,Kikis,oe:player:48e06b61418cf7d3391acd04e2462a6,Fnatic Academy,oe:team:47ae4f5f4aea5a7a0ab0b9778844cc2,Nautilus,Katarina,Taliyah,Camille,,,,,,,,2023,1,2,1,6,14,3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.4152,0.5042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,16626.0,493.1092,0.19947,540.3856,0.0,12.0,0.3559,4.0,0.1186,1.0,0.0,0.0,12504.0,8122.0,240.8898,0.202807,13015.0,,,233.0,233.0,0.0,0.0,0.0,6.9105,3617.0,4387.0,71.0,2999.0,4165.0,76.0,618.0,222.0,-5.0,1.0,0.0,0.0,0.0,0.0,1.0,5326.0,6967.0,123.0,4528.0,6355.0,118.0,798.0,612.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,7796.0,9167.0,160.0,6599.0,8784.0,148.0,1197.0,383.0,12.0,2.0,1.0,0.0,1.0,0.0,3.0,9222.0,10836.0,185.0,7696.0,9579.0,158.0,1526.0,1257.0,27.0,2.0,3.0,1.0,1.0,1.0,5.0
TREU/1001490056,complete,http://matchhistory.euw.leagueoflegends.com/en/#match-details/TREU/1001490056?gameHash=c350f47480f2242d,EU CS,2017,,0,2017-01-10 15:44:06,1,6.24,2,Blue,jng,Broxah,oe:player:8da47fdedd43dae92ab1715b81cdda1,Fnatic Academy,oe:team:47ae4f5f4aea5a7a0ab0b9778844cc2,Lee Sin,Katarina,Taliyah,Camille,,,,,,,,2023,1,4,1,7,14,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4152,0.5042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,7354.0,218.1117,0.0882293,658.784,0.0,25.0,0.7415,6.0,0.178,4.0,0.0,0.0,12352.0,7970.0,236.3816,0.199011,11000.0,,,153.0,21.0,132.0,57.0,75.0,4.5378,3681.0,3704.0,57.0,3361.0,4204.0,65.0,320.0,-500.0,-8.0,1.0,1.0,0.0,0.0,0.0,0.0,5261.0,6239.0,96.0,4728.0,6143.0,100.0,533.0,96.0,-4.0,1.0,1.0,0.0,0.0,0.0,0.0,7331.0,8186.0,118.0,6646.0,8053.0,130.0,685.0,133.0,-12.0,1.0,3.0,0.0,0.0,0.0,0.0,9238.0,9531.0,141.0,7852.0,9624.0,150.0,1386.0,-93.0,-9.0,3.0,3.0,1.0,0.0,2.0,1.0
TREU/1001490056,complete,http://matchhistory.euw.leagueoflegends.com/en/#match-details/TREU/1001490056?gameHash=c350f47480f2242d,EU CS,2017,,0,2017-01-10 15:44:06,1,6.24,3,Blue,mid,Nisqy,oe:player:7adc518d589f32912c06de8dae7848e,Fnatic Academy,oe:team:47ae4f5f4aea5a7a0ab0b9778844cc2,Syndra,Katarina,Taliyah,Camille,,,,,,,,2023,1,5,1,8,14,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4152,0.5042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,30695.0,910.3806,0.368262,315.7785,0.0,16.0,0.4745,8.0,0.2373,8.0,0.0,0.0,13393.0,9011.0,267.2565,0.225005,12235.0,,,229.0,223.0,6.0,4.0,2.0,6.7919,4177.0,4953.0,95.0,3049.0,3915.0,74.0,1128.0,1038.0,21.0,1.0,1.0,0.0,0.0,0.0,2.0,6009.0,7756.0,149.0,4893.0,6529.0,131.0,1116.0,1227.0,18.0,1.0,1.0,0.0,0.0,0.0,2.0,8110.0,9570.0,177.0,7089.0,8905.0,173.0,1021.0,665.0,4.0,2.0,2.0,1.0,0.0,0.0,2.0,10002.0,11495.0,206.0,8811.0,11325.0,217.0,1191.0,170.0,-11.0,3.0,5.0,1.0,0.0,2.0,2.0
TREU/1001490056,complete,http://matchhistory.euw.leagueoflegends.com/en/#match-details/TREU/1001490056?gameHash=c350f47480f2242d,EU CS,2017,,0,2017-01-10 15:44:06,1,6.24,4,Blue,bot,MrRallez,oe:player:1c5fd207e41109fa094c08d541ca849,Fnatic Academy,oe:team:47ae4f5f4aea5a7a0ab0b9778844cc2,Jhin,Katarina,Taliyah,Camille,,,,,,,,2023,1,2,0,9,14,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4152,0.5042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,24330.0,721.6016,0.291898,289.4118,0.0,10.0,0.2966,3.0,0.089,0.0,0.0,0.0,13969.0,9587.0,284.3401,0.239388,11650.0,,,315.0,310.0,5.0,4.0,1.0,9.3426,3401.0,3120.0,86.0,3486.0,3418.0,100.0,-85.0,-298.0,-14.0,0.0,1.0,0.0,0.0,0.0,0.0,5304.0,5610.0,147.0,5133.0,5460.0,148.0,171.0,150.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,7532.0,8086.0,191.0,7423.0,7176.0,189.0,109.0,910.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,9695.0,10620.0,239.0,9315.0,8642.0,214.0,380.0,1978.0,25.0,1.0,5.0,0.0,2.0,0.0,0.0
TREU/1001490056,complete,http://matchhistory.euw.leagueoflegends.com/en/#match-details/TREU/1001490056?gameHash=c350f47480f2242d,EU CS,2017,,0,2017-01-10 15:44:06,1,6.24,5,Blue,sup,Klaj,oe:player:60c7d1c521aba6d16e6c3a38aa3a863,Fnatic Academy,oe:team:47ae4f5f4aea5a7a0ab0b9778844cc2,Karma,Katarina,Taliyah,Camille,,,,,,,,2023,1,1,0,11,14,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4152,0.5042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,4346.0,128.8977,0.0521409,353.4454,0.0,42.0,1.2457,9.0,0.2669,9.0,0.0,0.0,9740.0,5358.0,158.9125,0.133788,7925.0,,,38.0,38.0,0.0,0.0,0.0,1.127,1980.0,2573.0,7.0,1696.0,2678.0,0.0,284.0,-105.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,2767.0,3746.0,7.0,2521.0,3663.0,1.0,246.0,83.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,4463.0,4804.0,13.0,4190.0,4966.0,5.0,273.0,-162.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,6082.0,6777.0,21.0,5472.0,6100.0,9.0,610.0,677.0,12.0,0.0,7.0,0.0,0.0,2.0,1.0
TREU/1001490056,complete,http://matchhistory.euw.leagueoflegends.com/en/#match-details/TREU/1001490056?gameHash=c350f47480f2242d,EU CS,2017,,0,2017-01-10 15:44:06,1,6.24,6,Red,top,Phones,oe:player:a7ad04a90c42364813f58ac20a3b121,EURONICS Gaming,oe:team:514d848d968399a239cdcc3d1412f2d,Maokai,Cassiopeia,Olaf,Poppy,,,,,,,,2023,0,1,7,1,3,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.089,0.5042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,8938.0,265.0914,0.196177,1217.9436,0.0,16.0,0.4745,2.0,0.0593,4.0,0.0,0.0,9611.0,5229.0,155.0865,0.183223,9120.0,,,190.0,177.0,13.0,5.0,8.0,5.6352,2999.0,4165.0,76.0,3617.0,4387.0,71.0,-618.0,-222.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,4528.0,6355.0,118.0,5326.0,6967.0,123.0,-798.0,-612.0,-5.0,0.0,0.0,1.0,1.0,0.0,0.0,6599.0,8784.0,148.0,7796.0,9167.0,160.0,-1197.0,-383.0,-12.0,1.0,0.0,3.0,2.0,1.0,0.0,7696.0,9579.0,158.0,9222.0,10836.0,185.0,-1526.0,-1257.0,-27.0,1.0,1.0,5.0,2.0,3.0,1.0
TREU/1001490056,complete,http://matchhistory.euw.leagueoflegends.com/en/#match-details/TREU/1001490056?gameHash=c350f47480f2242d,EU CS,2017,,0,2017-01-10 15:44:06,1,6.24,7,Red,jng,Obvious,oe:player:369d9e7e41ad0796c6508083a383ad7,EURONICS Gaming,oe:team:514d848d968399a239cdcc3d1412f2d,Rengar,Cassiopeia,Olaf,Poppy,,,,,,,,2023,0,0,1,2,3,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.089,0.5042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,4242.0,125.8131,0.0931059,826.8611,0.0,17.0,0.5042,6.0,0.178,3.0,0.0,0.0,9640.0,5258.0,155.9466,0.184239,9050.0,,,174.0,48.0,126.0,85.0,41.0,5.1607,3361.0,4204.0,65.0,3681.0,3704.0,57.0,-320.0,500.0,8.0,0.0,0.0,0.0,1.0,1.0,0.0,4728.0,6143.0,100.0,5261.0,6239.0,96.0,-533.0,-96.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,6646.0,8053.0,130.0,7331.0,8186.0,118.0,-685.0,-133.0,12.0,0.0,0.0,0.0,1.0,3.0,0.0,7852.0,9624.0,150.0,9238.0,9531.0,141.0,-1386.0,93.0,9.0,0.0,2.0,1.0,3.0,3.0,1.0
TREU/1001490056,complete,http://matchhistory.euw.leagueoflegends.com/en/#match-details/TREU/1001490056?gameHash=c350f47480f2242d,EU CS,2017,,0,2017-01-10 15:44:06,1,6.24,8,Red,mid,MagiFelix,oe:player:e2988afe5ce32f702241090f8b4d856,EURONICS Gaming,oe:team:514d848d968399a239cdcc3d1412f2d,Ryze,Cassiopeia,Olaf,Poppy,,,,,,,,2023,0,0,3,2,3,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.089,0.5042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10940.0,324.4686,0.240118,474.9283,0.0,10.0,0.2966,5.0,0.1483,4.0,0.0,0.0,11840.0,7458.0,221.1962,0.261328,11535.0,,,301.0,299.0,2.0,2.0,0.0,8.9273,3049.0,3915.0,74.0,4177.0,4953.0,95.0,-1128.0,-1038.0,-21.0,0.0,0.0,2.0,1.0,1.0,0.0,4893.0,6529.0,131.0,6009.0,7756.0,149.0,-1116.0,-1227.0,-18.0,0.0,0.0,2.0,1.0,1.0,0.0,7089.0,8905.0,173.0,8110.0,9570.0,177.0,-1021.0,-665.0,-4.0,0.0,0.0,2.0,2.0,2.0,1.0,8811.0,11325.0,217.0,10002.0,11495.0,206.0,-1191.0,-170.0,11.0,0.0,2.0,2.0,3.0,5.0,1.0
TREU/1001490056,complete,http://matchhistory.euw.leagueoflegends.com/en/#match-details/TREU/1001490056?gameHash=c350f47480f2242d,EU CS,2017,,0,2017-01-10 15:44:06,1,6.24,9,Red,bot,Sedrion,oe:player:36ec2fda924e4ab85357320714d24d6,EURONICS Gaming,oe:team:514d848d968399a239cdcc3d1412f2d,Varus,Cassiopeia,Olaf,Poppy,,,,,,,,2023,0,2,1,0,3,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.089,0.5042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,16467.0,488.3935,0.361428,307.563,0.0,14.0,0.4152,4.0,0.1186,5.0,0.0,0.0,12010.0,7628.0,226.2383,0.267285,11750.0,,,283.0,282.0,1.0,1.0,0.0,8.3935,3486.0,3418.0,100.0,3401.0,3120.0,86.0,85.0,298.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,5133.0,5460.0,148.0,5304.0,5610.0,147.0,-171.0,-150.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7423.0,7176.0,189.0,7532.0,8086.0,191.0,-109.0,-910.0,-2.0,0.0,0.0,0.0,0.0,3.0,0.0,9315.0,8642.0,214.0,9695.0,10620.0,239.0,-380.0,-1978.0,-25.0,2.0,0.0,0.0,1.0,5.0,0.0
TREU/1001490056,complete,http://matchhistory.euw.leagueoflegends.com/en/#match-details/TREU/1001490056?gameHash=c350f47480f2242d,EU CS,2017,,0,2017-01-10 15:44:06,1,6.24,10,Red,sup,Noxiak,oe:player:f07350a4b9f5b990d4cdbcfcbc8858a,EURONICS Gaming,oe:team:514d848d968399a239cdcc3d1412f2d,Nami,Cassiopeia,Olaf,Poppy,,,,,,,,2023,0,0,2,2,3,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.089,0.5042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,4974.0,147.5235,0.109172,409.738,0.0,41.0,1.216,14.0,0.4152,7.0,0.0,0.0,7348.0,2966.0,87.9684,0.103926,6825.0,,,16.0,16.0,0.0,0.0,0.0,0.4745,1696.0,2678.0,0.0,1980.0,2573.0,7.0,-284.0,105.0,-7.0,0.0,0.0,0.0,0.0,1.0,0.0,2521.0,3663.0,1.0,2767.0,3746.0,7.0,-246.0,-83.0,-6.0,0.0,0.0,0.0,0.0,1.0,0.0,4190.0,4966.0,5.0,4463.0,4804.0,13.0,-273.0,162.0,-8.0,0.0,0.0,0.0,0.0,3.0,0.0,5472.0,6100.0,9.0,6082.0,6777.0,21.0,-610.0,-677.0,-12.0,0.0,2.0,1.0,0.0,7.0,0.0
