gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT06_2260453,complete,,EUM,2022,Spring,0,2022-04-04 14:29:24,1,12.05,1,Blue,top,Dreedy,oe:player:9c22f358ca4e0542f6205d7bec93433,Barça eSports,oe:team:2d1b8a518ba70fe8352fb0fdd8aec1a,Gnar,Jax,Yasuo,Ryze,Darius,Irelia,,,,,,2027,1,2,0,8,11,9,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3256,0.592,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,1.0,0.0,17164.0,508.0612,0.333865,691.2284,533.7543,19.0,0.5624,8.0,0.2368,9.0,46.0,1.3616,14914,10503.0,310.8929,0.277428,13800.0,,,303.0,298.0,5.0,,,8.9689,3434.0,4843.0,86.0,3032.0,4527.0,78.0,402.0,316.0,8.0,0.0,1.0,0.0,0.0,0.0,1.0,6092.0,7922.0,139.0,4648.0,6999.0,122.0,1444.0,923.0,17.0,1.0,1.0,0.0,0.0,0.0,2.0,8155.0,10409.0,186.0,6307.0,9204.0,158.0,1848.0,1205.0,28.0,1.0,1.0,0.0,0.0,1.0,2.0,10142.0,13244.0,229.0,7672.0,10816.0,185.0,2470.0,2428.0,44.0,1.0,4.0,0.0,0.0,2.0,3.0
ESPORTSTMNT06_2260453,complete,,EUM,2022,Spring,0,2022-04-04 14:29:24,1,12.05,2,Blue,jng,Leb,oe:player:daf977355187d5f85949a456e337be7,Barça eSports,oe:team:2d1b8a518ba70fe8352fb0fdd8aec1a,Volibear,Jax,Yasuo,Ryze,Darius,Irelia,,,,,,2027,1,2,1,8,11,9,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3256,0.592,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,0.0,0.0,6015.0,178.0464,0.117001,585.2294,854.2378,11.0,0.3256,12.0,0.3552,9.0,58.0,1.7168,11958,7547.0,223.3942,0.19935,10175.0,,,183.0,29.0,154.0,,,5.4169,3372.0,3345.0,58.0,3343.0,3500.0,64.0,29.0,-155.0,-6.0,1.0,1.0,0.0,1.0,0.0,0.0,5462.0,5913.0,99.0,5089.0,6097.0,106.0,373.0,-184.0,-7.0,1.0,2.0,0.0,1.0,1.0,0.0,6988.0,7557.0,131.0,7230.0,8909.0,138.0,-242.0,-1352.0,-7.0,1.0,2.0,1.0,3.0,1.0,0.0,8488.0,9602.0,159.0,8534.0,10697.0,162.0,-46.0,-1095.0,-3.0,1.0,5.0,1.0,3.0,2.0,0.0
ESPORTSTMNT06_2260453,complete,,EUM,2022,Spring,0,2022-04-04 14:29:24,1,12.05,3,Blue,mid,twohoyrz,oe:player:5ee6f2e1b3c6000a67c9dc360a63c63,Barça eSports,oe:team:2d1b8a518ba70fe8352fb0fdd8aec1a,Viktor,Jax,Yasuo,Ryze,Darius,Irelia,,,,,,2027,1,3,3,4,11,9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3256,0.592,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,13430.0,397.5333,0.261233,298.3424,318.441,18.0,0.5328,4.0,0.1184,6.0,31.0,0.9176,12171,7760.0,229.6991,0.204976,11900.0,,,278.0,272.0,6.0,,,8.2289,3160.0,4509.0,82.0,3341.0,4862.0,83.0,-181.0,-353.0,-1.0,0.0,0.0,1.0,0.0,1.0,0.0,4740.0,7060.0,131.0,5777.0,8111.0,146.0,-1037.0,-1051.0,-15.0,0.0,0.0,2.0,2.0,1.0,0.0,6452.0,9546.0,174.0,8857.0,10792.0,205.0,-2405.0,-1246.0,-31.0,0.0,0.0,2.0,3.0,2.0,0.0,7956.0,11115.0,200.0,11345.0,13120.0,254.0,-3389.0,-2005.0,-54.0,1.0,1.0,2.0,5.0,2.0,0.0
ESPORTSTMNT06_2260453,complete,,EUM,2022,Spring,0,2022-04-04 14:29:24,1,12.05,4,Blue,bot,Deadly,oe:player:2e39f77d41c8deb6a891c30cf378383,Barça eSports,oe:team:2d1b8a518ba70fe8352fb0fdd8aec1a,Jinx,Jax,Yasuo,Ryze,Darius,Irelia,,,,,,2027,1,3,2,5,11,9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3256,0.592,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,11761.0,348.1302,0.228769,326.4332,172.7183,17.0,0.5032,13.0,0.3848,7.0,50.0,1.48,13702,9291.0,275.0173,0.245415,12275.0,,,326.0,266.0,60.0,,,9.6497,3173.0,3226.0,79.0,3272.0,3677.0,87.0,-99.0,-451.0,-8.0,0.0,1.0,0.0,0.0,0.0,0.0,5079.0,5413.0,133.0,5178.0,5889.0,137.0,-99.0,-476.0,-4.0,0.0,1.0,0.0,0.0,1.0,0.0,6906.0,7225.0,179.0,6935.0,8253.0,189.0,-29.0,-1028.0,-10.0,0.0,1.0,1.0,0.0,1.0,0.0,9539.0,10192.0,235.0,8582.0,9950.0,228.0,957.0,242.0,7.0,2.0,2.0,2.0,0.0,3.0,1.0
ESPORTSTMNT06_2260453,complete,,EUM,2022,Spring,0,2022-04-04 14:29:24,1,12.05,5,Blue,sup,Lucky,oe:player:35650a63e482edbdb82b6950955e052,Barça eSports,oe:team:2d1b8a518ba70fe8352fb0fdd8aec1a,Lulu,Jax,Yasuo,Ryze,Darius,Irelia,,,,,,2027,1,1,3,8,11,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3256,0.592,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,3040.0,89.9852,0.0591325,218.5397,126.2457,34.0,1.0064,9.0,0.2664,8.0,68.0,2.0128,7168,2757.0,81.6083,0.0728301,6450.0,,,12.0,12.0,0.0,,,0.3552,2262.0,2107.0,2.0,2098.0,2271.0,16.0,164.0,-164.0,-14.0,1.0,0.0,0.0,0.0,0.0,1.0,3014.0,3367.0,4.0,3137.0,3574.0,26.0,-123.0,-207.0,-22.0,1.0,0.0,1.0,0.0,1.0,1.0,4038.0,4361.0,5.0,4296.0,5107.0,28.0,-258.0,-746.0,-23.0,1.0,0.0,2.0,0.0,3.0,1.0,5191.0,5695.0,9.0,5028.0,6233.0,29.0,163.0,-538.0,-20.0,1.0,3.0,3.0,0.0,3.0,2.0
ESPORTSTMNT06_2260453,complete,,EUM,2022,Spring,0,2022-04-04 14:29:24,1,12.05,6,Red,top,Empyros,oe:player:9db3f170213f562a9613fe4f99d7dfa,WLGaming Esports,oe:team:b19ab22267512e77945cd498106dcf1,Malphite,Zeri,Hecarim,Ahri,Akali,Camille,,,,,,2027,0,0,4,3,9,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2664,0.592,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,1.0,10632.0,314.7114,0.218707,443.9763,1005.4366,17.0,0.5032,5.0,0.148,8.0,33.0,0.9768,10618,6207.0,183.7296,0.179472,10025.0,,,233.0,229.0,4.0,,,6.8969,3032.0,4527.0,78.0,3434.0,4843.0,86.0,-402.0,-316.0,-8.0,0.0,0.0,1.0,0.0,1.0,0.0,4648.0,6999.0,122.0,6092.0,7922.0,139.0,-1444.0,-923.0,-17.0,0.0,0.0,2.0,1.0,1.0,0.0,6307.0,9204.0,158.0,8155.0,10409.0,186.0,-1848.0,-1205.0,-28.0,0.0,1.0,2.0,1.0,1.0,0.0,7672.0,10816.0,185.0,10142.0,13244.0,229.0,-2470.0,-2428.0,-44.0,0.0,2.0,3.0,1.0,4.0,0.0
ESPORTSTMNT06_2260453,complete,,EUM,2022,Spring,0,2022-04-04 14:29:24,1,12.05,7,Red,jng,WRDN,oe:player:03363ad17685d448dc06c1f252c1896,WLGaming Esports,oe:team:b19ab22267512e77945cd498106dcf1,Viego,Zeri,Hecarim,Ahri,Akali,Camille,,,,,,2027,0,3,1,2,9,11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2664,0.592,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,0.0,0.0,7499.0,221.9734,0.154259,780.7696,719.9112,10.0,0.296,13.0,0.3848,16.0,49.0,1.4504,11061,6650.0,196.8426,0.19228,10600.0,,,202.0,42.0,160.0,,,5.9793,3343.0,3500.0,64.0,3372.0,3345.0,58.0,-29.0,155.0,6.0,1.0,0.0,0.0,1.0,1.0,0.0,5089.0,6097.0,106.0,5462.0,5913.0,99.0,-373.0,184.0,7.0,1.0,1.0,0.0,1.0,2.0,0.0,7230.0,8909.0,138.0,6988.0,7557.0,131.0,242.0,1352.0,7.0,3.0,1.0,0.0,1.0,2.0,1.0,8534.0,10697.0,162.0,8488.0,9602.0,159.0,46.0,1095.0,3.0,3.0,2.0,0.0,1.0,5.0,1.0
ESPORTSTMNT06_2260453,complete,,EUM,2022,Spring,0,2022-04-04 14:29:24,1,12.05,8,Red,mid,Vladi,oe:player:367fecc4cb53a8234abbd9f283b7997,WLGaming Esports,oe:team:b19ab22267512e77945cd498106dcf1,Lucian,Zeri,Hecarim,Ahri,Akali,Camille,,,,,,2027,0,6,1,2,9,11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2664,0.592,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,20448.0,605.2689,0.420628,454.3069,269.1268,16.0,0.4736,14.0,0.4144,4.0,53.0,1.5688,16550,12139.0,359.3192,0.350983,15450.0,,,339.0,315.0,24.0,,,10.0345,3341.0,4862.0,83.0,3160.0,4509.0,82.0,181.0,353.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,5777.0,8111.0,146.0,4740.0,7060.0,131.0,1037.0,1051.0,15.0,2.0,1.0,0.0,0.0,0.0,2.0,8857.0,10792.0,205.0,6452.0,9546.0,174.0,2405.0,1246.0,31.0,3.0,2.0,0.0,0.0,0.0,2.0,11345.0,13120.0,254.0,7956.0,11115.0,200.0,3389.0,2005.0,54.0,5.0,2.0,0.0,1.0,1.0,2.0
ESPORTSTMNT06_2260453,complete,,EUM,2022,Spring,0,2022-04-04 14:29:24,1,12.05,9,Red,bot,Lindgarde,oe:player:371dfc158ccca5d527f0b5b11743e20,WLGaming Esports,oe:team:b19ab22267512e77945cd498106dcf1,Seraphine,Zeri,Hecarim,Ahri,Akali,Camille,,,,,,2027,0,0,2,4,9,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2664,0.592,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,6989.0,206.8772,0.143768,292.8367,256.6946,12.0,0.3552,8.0,0.2368,4.0,34.0,1.0064,11505,7094.0,209.9852,0.205118,9900.0,,,267.0,249.0,18.0,,,7.9033,3272.0,3677.0,87.0,3173.0,3226.0,79.0,99.0,451.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,5178.0,5889.0,137.0,5079.0,5413.0,133.0,99.0,476.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,6935.0,8253.0,189.0,6906.0,7225.0,179.0,29.0,1028.0,10.0,0.0,1.0,0.0,0.0,1.0,1.0,8582.0,9950.0,228.0,9539.0,10192.0,235.0,-957.0,-242.0,-7.0,0.0,3.0,1.0,2.0,2.0,2.0
ESPORTSTMNT06_2260453,complete,,EUM,2022,Spring,0,2022-04-04 14:29:24,1,12.05,10,Red,sup,Brolia,oe:player:8c29150a35520726e52c049db9c53d3,WLGaming Esports,oe:team:b19ab22267512e77945cd498106dcf1,Nautilus,Zeri,Hecarim,Ahri,Akali,Camille,,,,,,2027,0,0,3,3,9,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2664,0.592,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,3045.0,90.1332,0.0626376,348.7222,474.2279,56.0,1.6576,7.0,0.2072,19.0,87.0,2.5752,6906,2495.0,73.853,0.072147,6875.0,,,31.0,31.0,0.0,,,0.9176,2098.0,2271.0,16.0,2262.0,2107.0,2.0,-164.0,164.0,14.0,0.0,0.0,1.0,1.0,0.0,0.0,3137.0,3574.0,26.0,3014.0,3367.0,4.0,123.0,207.0,22.0,0.0,1.0,1.0,1.0,0.0,1.0,4296.0,5107.0,28.0,4038.0,4361.0,5.0,258.0,746.0,23.0,0.0,3.0,1.0,1.0,0.0,2.0,5028.0,6233.0,29.0,5191.0,5695.0,9.0,-163.0,538.0,20.0,0.0,3.0,2.0,1.0,3.0,3.0
