gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_107552,complete,,EWC,2024,,1,2024-07-04 15:07:08,1,14.13,1,Blue,top,Bin,oe:player:fb66ef5885b4be9323905b821dc3a42,Bilibili Gaming,oe:team:d356a144644879dabb5f34cd99c886d,K'Sante,Azir,Kalista,Nidalee,Rakan,Lulu,,,,,,2341,0,2,4,4,9,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2307,0.7433,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,10981,281.4438,0.115543,800.0171,1437.9752,8,0.205,11,0.2819,4,46,1.179,13108,8057,206.5015,0.201884,13250,,,280.0,271.0,9,,,7.1764,2963.0,3777.0,69.0,3459.0,4328.0,90.0,-496.0,-551.0,-21.0,0.0,0.0,1.0,0.0,0.0,0.0,4909.0,6000.0,116.0,7297.0,7900.0,152.0,-2388.0,-1900.0,-36.0,0.0,0.0,3.0,3.0,0.0,0.0,6957.0,8782.0,167.0,9846.0,10550.0,205.0,-2889.0,-1768.0,-38.0,0.0,0.0,3.0,3.0,0.0,0.0,8262.0,11058.0,197.0,11397.0,12816.0,247.0,-3135.0,-1758.0,-50.0,0.0,0.0,3.0,3.0,0.0,0.0
LOLTMNT03_107552,complete,,EWC,2024,,1,2024-07-04 15:07:08,1,14.13,2,Blue,jng,Xun,oe:player:fbdc4428b2d095c83aebeed5da4e4b2,Bilibili Gaming,oe:team:d356a144644879dabb5f34cd99c886d,Zyra,Azir,Kalista,Nidalee,Rakan,Lulu,,,,,,2341,0,1,8,2,9,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2307,0.7433,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,0.0,0.0,21346,547.0995,0.224605,674.5323,345.6984,11,0.2819,20,0.5126,10,55,1.4097,11717,6666,170.8501,0.167029,11690,,,248.0,31.0,217,,,6.3563,3537.0,4301.0,89.0,3072.0,3737.0,62.0,465.0,564.0,27.0,0.0,0.0,1.0,0.0,1.0,1.0,4930.0,5930.0,113.0,4904.0,6448.0,97.0,26.0,-518.0,16.0,0.0,1.0,4.0,1.0,4.0,1.0,6566.0,7806.0,143.0,6443.0,8791.0,132.0,123.0,-985.0,11.0,1.0,1.0,4.0,1.0,4.0,1.0,8123.0,9933.0,179.0,7544.0,9888.0,149.0,579.0,45.0,30.0,1.0,1.0,4.0,1.0,4.0,1.0
LOLTMNT03_107552,complete,,EWC,2024,,1,2024-07-04 15:07:08,1,14.13,3,Blue,mid,Knight,oe:player:ed29043422e3c515e1cb292464b990b,Bilibili Gaming,oe:team:d356a144644879dabb5f34cd99c886d,Tristana,Azir,Kalista,Nidalee,Rakan,Lulu,,,,,,2341,0,2,2,6,9,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2307,0.7433,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,1.0,22372,573.396,0.235401,580.6749,404.3144,19,0.487,21,0.5382,5,63,1.6147,15596,10545,270.2691,0.264228,15525,,,374.0,348.0,26,,,9.5856,3401.0,4931.0,96.0,3845.0,4919.0,99.0,-444.0,12.0,-3.0,0.0,0.0,0.0,1.0,0.0,0.0,5824.0,7925.0,149.0,5981.0,8034.0,152.0,-157.0,-109.0,-3.0,1.0,0.0,0.0,2.0,0.0,1.0,7760.0,10348.0,196.0,8371.0,10972.0,213.0,-611.0,-624.0,-17.0,1.0,1.0,0.0,2.0,0.0,1.0,10073.0,13527.0,260.0,10415.0,13812.0,272.0,-342.0,-285.0,-12.0,1.0,1.0,0.0,2.0,0.0,1.0
LOLTMNT03_107552,complete,,EWC,2024,,1,2024-07-04 15:07:08,1,14.13,4,Blue,bot,Elk,oe:player:a58a0d41103cdc5b58cbb547eeaca2d,Bilibili Gaming,oe:team:d356a144644879dabb5f34cd99c886d,Ezreal,Azir,Kalista,Nidalee,Rakan,Lulu,,,,,,2341,0,2,2,5,9,20,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.2307,0.7433,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,35142,900.692,0.369768,664.1521,487.1252,16,0.4101,19,0.487,7,46,1.179,16099,11048,283.161,0.276832,16258,,,398.0,398.0,0,,,10.2008,3659.0,4307.0,102.0,3738.0,3864.0,93.0,-79.0,443.0,9.0,0.0,1.0,0.0,1.0,0.0,0.0,5749.0,7003.0,165.0,5784.0,6900.0,150.0,-35.0,103.0,15.0,0.0,1.0,0.0,1.0,2.0,0.0,7978.0,9815.0,221.0,7990.0,10190.0,218.0,-12.0,-375.0,3.0,0.0,1.0,0.0,1.0,2.0,0.0,10244.0,12700.0,293.0,9803.0,12607.0,271.0,441.0,93.0,22.0,0.0,1.0,0.0,1.0,2.0,0.0
LOLTMNT03_107552,complete,,EWC,2024,,1,2024-07-04 15:07:08,1,14.13,5,Blue,sup,ON,oe:player:90651ebea9a35ec4e018c8157492e17,Bilibili Gaming,oe:team:d356a144644879dabb5f34cd99c886d,Nautilus,Azir,Kalista,Nidalee,Rakan,Lulu,,,,,,2341,0,2,4,4,9,20,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.2307,0.7433,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,5197,133.1995,0.0546834,574.3956,773.0543,84,2.1529,21,0.5382,26,152,3.8958,8644,3593,92.0889,0.0900265,8425,,,50.0,50.0,0,,,1.2815,2449.0,1978.0,19.0,2155.0,2711.0,16.0,294.0,-733.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,3679.0,3808.0,34.0,3491.0,3974.0,23.0,188.0,-166.0,11.0,1.0,1.0,0.0,0.0,3.0,0.0,4767.0,4769.0,39.0,4786.0,4189.0,26.0,-19.0,580.0,13.0,1.0,2.0,0.0,0.0,3.0,1.0,5775.0,5717.0,43.0,5703.0,4484.0,30.0,72.0,1233.0,13.0,1.0,2.0,0.0,0.0,3.0,1.0
LOLTMNT03_107552,complete,,EWC,2024,,1,2024-07-04 15:07:08,1,14.13,6,Red,top,Zeus,oe:player:98dd15c330fb5abb4508347265a7f76,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,Zeri,Senna,Rumble,Camille,Alistar,Renekton,,,,,,2341,1,8,2,5,20,9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5126,0.7433,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,29641,759.701,0.274235,565.8351,519.5985,17,0.4357,10,0.2563,3,51,1.3071,19179,14128,362.1017,0.271882,17875,,,370.0,324.0,46,,,9.4831,3459.0,4328.0,90.0,2963.0,3777.0,69.0,496.0,551.0,21.0,0.0,0.0,0.0,0.0,0.0,1.0,7297.0,7900.0,152.0,4909.0,6000.0,116.0,2388.0,1900.0,36.0,3.0,0.0,0.0,0.0,0.0,3.0,9846.0,10550.0,205.0,6957.0,8782.0,167.0,2889.0,1768.0,38.0,3.0,0.0,0.0,0.0,0.0,3.0,11397.0,12816.0,247.0,8262.0,11058.0,197.0,3135.0,1758.0,50.0,3.0,0.0,0.0,0.0,0.0,3.0
LOLTMNT03_107552,complete,,EWC,2024,,1,2024-07-04 15:07:08,1,14.13,7,Red,jng,Oner,oe:player:f8b68f268106124fc4bc1c946adc9b0,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,Sejuani,Senna,Rumble,Camille,Alistar,Renekton,,,,,,2341,1,2,2,14,20,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5126,0.7433,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,0.0,0.0,10852,278.1375,0.100402,1215.1474,1783.6736,15,0.3845,16,0.4101,15,66,1.6916,12585,7534,193.097,0.144984,11125,,,205.0,32.0,173,,,5.2542,3072.0,3737.0,62.0,3537.0,4301.0,89.0,-465.0,-564.0,-27.0,0.0,1.0,1.0,0.0,0.0,1.0,4904.0,6448.0,97.0,4930.0,5930.0,113.0,-26.0,518.0,-16.0,1.0,4.0,1.0,0.0,1.0,4.0,6443.0,8791.0,132.0,6566.0,7806.0,143.0,-123.0,985.0,-11.0,1.0,4.0,1.0,1.0,1.0,4.0,7544.0,9888.0,149.0,8123.0,9933.0,179.0,-579.0,-45.0,-30.0,1.0,4.0,1.0,1.0,1.0,4.0
LOLTMNT03_107552,complete,,EWC,2024,,1,2024-07-04 15:07:08,1,14.13,8,Red,mid,Faker,oe:player:e1edfc5cea461399a63cb813cf795cc,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,Corki,Senna,Rumble,Camille,Alistar,Renekton,,,,,,2341,1,3,1,7,20,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5126,0.7433,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,1.0,0.0,30092,771.2601,0.278408,519.214,378.9919,18,0.4613,15,0.3845,4,52,1.3328,18358,13307,341.0594,0.256082,17483,,,425.0,407.0,18,,,10.8928,3845.0,4919.0,99.0,3401.0,4931.0,96.0,444.0,-12.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,5981.0,8034.0,152.0,5824.0,7925.0,149.0,157.0,109.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,8371.0,10972.0,213.0,7760.0,10348.0,196.0,611.0,624.0,17.0,2.0,0.0,1.0,1.0,1.0,0.0,10415.0,13812.0,272.0,10073.0,13527.0,260.0,342.0,285.0,12.0,2.0,0.0,1.0,1.0,1.0,0.0
LOLTMNT03_107552,complete,,EWC,2024,,1,2024-07-04 15:07:08,1,14.13,9,Red,bot,Gumayusi,oe:player:c7319736816efe935787b4381c6f321,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,Kai'Sa,Senna,Rumble,Camille,Alistar,Renekton,,,,,,2341,1,6,0,8,20,9,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5126,0.7433,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,30671,786.1,0.283765,350.44,282.5203,13,0.3332,14,0.3588,3,59,1.5122,17679,12628,323.6566,0.243015,15175,,,404.0,348.0,56,,,10.3545,3738.0,3864.0,93.0,3659.0,4307.0,102.0,79.0,-443.0,-9.0,1.0,0.0,0.0,0.0,1.0,0.0,5784.0,6900.0,150.0,5749.0,7003.0,165.0,35.0,-103.0,-15.0,1.0,2.0,0.0,0.0,1.0,0.0,7990.0,10190.0,218.0,7978.0,9815.0,221.0,12.0,375.0,-3.0,1.0,2.0,0.0,0.0,1.0,0.0,9803.0,12607.0,271.0,10244.0,12700.0,293.0,-441.0,-93.0,-22.0,1.0,2.0,0.0,0.0,1.0,0.0
LOLTMNT03_107552,complete,,EWC,2024,,1,2024-07-04 15:07:08,1,14.13,10,Red,sup,Keria,oe:player:db79ce6ad35451c938fbe2995dabd37,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,Leona,Senna,Rumble,Camille,Alistar,Renekton,,,,,,2341,1,1,4,9,20,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5126,0.7433,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,6830,175.0534,0.0631904,734.0709,693.3191,118,3.0243,13,0.3332,22,179,4.5878,9418,4367,111.9265,0.0840363,8550,,,36.0,36.0,0,,,0.9227,2155.0,2711.0,16.0,2449.0,1978.0,19.0,-294.0,733.0,-3.0,0.0,1.0,0.0,1.0,0.0,0.0,3491.0,3974.0,23.0,3679.0,3808.0,34.0,-188.0,166.0,-11.0,0.0,3.0,0.0,1.0,1.0,0.0,4786.0,4189.0,26.0,4767.0,4769.0,39.0,19.0,-580.0,-13.0,0.0,3.0,1.0,1.0,2.0,0.0,5703.0,4484.0,30.0,5775.0,5717.0,43.0,-72.0,-1233.0,-13.0,0.0,3.0,1.0,1.0,2.0,0.0
