gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,atakhans,opp_atakhans,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT01_210872,complete,,FST,2025,,0,2025-03-10 08:17:32,1,15.05,1,Blue,top,Canna,oe:player:7577c239c73fa5f3011cd7b5503e75e,Karmine Corp,oe:team:f3aa9bbd924ce3af42ac53f8326bc7c,Jayce,Ziggs,Draven,Taliyah,Poppy,K'Sante,,,,,,1921,0,1,5,1,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.6871,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,18510,578.1364,0.309082,705.0703,578.5112,16,0.4997,9,0.2811,8,43,1.3431,11862,7668,239.5003,0.258918,11900,,,263.0,255.0,8,,,8.2145,3893.0,5112.0,98.0,2854.0,4897.0,65.0,1039.0,215.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,5990.0,7667.0,150.0,5123.0,8023.0,119.0,867.0,-356.0,31.0,0.0,0.0,1.0,1.0,0.0,0.0,8648.0,10043.0,196.0,6880.0,11311.0,166.0,1768.0,-1268.0,30.0,1.0,0.0,1.0,1.0,1.0,0.0,10016.0,12033.0,227.0,8475.0,13340.0,186.0,1541.0,-1307.0,41.0,1.0,0.0,2.0,2.0,4.0,0.0
LOLTMNT01_210872,complete,,FST,2025,,0,2025-03-10 08:17:32,1,15.05,2,Blue,jng,Yike,oe:player:4203fc46c4c6333e9bfa9d0a8618677,Karmine Corp,oe:team:f3aa9bbd924ce3af42ac53f8326bc7c,Vi,Ziggs,Draven,Taliyah,Poppy,K'Sante,,,,,,1921,0,1,6,0,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0625,0.6871,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,0.0,0.0,3828,119.5627,0.0639204,934.1697,1023.4669,5,0.1562,12,0.3748,5,39,1.2181,9200,5006,156.3561,0.169028,8900,,,176.0,15.0,161,,,5.4971,2957.0,3170.0,62.0,3200.0,3250.0,66.0,-243.0,-80.0,-4.0,0.0,0.0,1.0,0.0,2.0,0.0,4464.0,5276.0,98.0,4668.0,5281.0,94.0,-204.0,-5.0,4.0,0.0,0.0,1.0,0.0,3.0,0.0,6209.0,7639.0,133.0,6370.0,7733.0,126.0,-161.0,-94.0,7.0,0.0,0.0,2.0,1.0,3.0,0.0,7587.0,9895.0,164.0,7862.0,9880.0,150.0,-275.0,15.0,14.0,0.0,0.0,4.0,2.0,5.0,0.0
LOLTMNT01_210872,complete,,FST,2025,,0,2025-03-10 08:17:32,1,15.05,3,Blue,mid,Vladi,oe:player:367fecc4cb53a8234abbd9f283b7997,Karmine Corp,oe:team:f3aa9bbd924ce3af42ac53f8326bc7c,Aurora,Ziggs,Draven,Taliyah,Poppy,K'Sante,,,,,,1921,0,0,2,2,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.6871,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,1.0,14111,440.7392,0.235627,387.6731,192.8683,9,0.2811,11,0.3436,8,41,1.2806,11158,6964,217.5117,0.235146,11500,,,295.0,295.0,0,,,9.214,3523.0,4797.0,99.0,3348.0,4707.0,88.0,175.0,90.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,5331.0,7443.0,154.0,5711.0,7257.0,141.0,-380.0,186.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,7210.0,10087.0,199.0,7894.0,9496.0,180.0,-684.0,591.0,19.0,0.0,1.0,0.0,0.0,0.0,0.0,9142.0,12417.0,249.0,10004.0,13055.0,238.0,-862.0,-638.0,11.0,0.0,1.0,0.0,0.0,4.0,0.0
LOLTMNT01_210872,complete,,FST,2025,,0,2025-03-10 08:17:32,1,15.05,4,Blue,bot,Caliste,oe:player:e2af2b779499aa25ab9a9c10c9a5ffd,Karmine Corp,oe:team:f3aa9bbd924ce3af42ac53f8326bc7c,Ezreal,Ziggs,Draven,Taliyah,Poppy,K'Sante,,,,,,1921,0,0,1,0,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.6871,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,20028,625.5492,0.33443,523.8834,290.6299,14,0.4373,11,0.3436,3,41,1.2806,11909,7715,240.9682,0.260506,11708,,,322.0,303.0,19,,,10.0573,3009.0,3413.0,77.0,3912.0,3178.0,84.0,-903.0,235.0,-7.0,0.0,0.0,0.0,2.0,0.0,0.0,4725.0,5561.0,128.0,5671.0,5756.0,139.0,-946.0,-195.0,-11.0,0.0,0.0,0.0,2.0,0.0,0.0,7012.0,8517.0,191.0,7654.0,8333.0,192.0,-642.0,184.0,-1.0,0.0,0.0,0.0,2.0,0.0,1.0,8994.0,10750.0,247.0,10236.0,11155.0,242.0,-1242.0,-405.0,5.0,0.0,0.0,0.0,4.0,1.0,1.0
LOLTMNT01_210872,complete,,FST,2025,,0,2025-03-10 08:17:32,1,15.05,5,Blue,sup,Targamas,oe:player:eaf899c6268995f9b1e40d1932c6888,Karmine Corp,oe:team:f3aa9bbd924ce3af42ac53f8326bc7c,Rell,Ziggs,Draven,Taliyah,Poppy,K'Sante,,,,,,1921,0,0,6,2,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.6871,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,3410,106.507,0.0569406,570.5778,700.8225,54,1.6866,12,0.3748,16,108,3.3732,6457,2263,70.6819,0.0764022,6100,,,30.0,30.0,0,,,0.937,2141.0,1913.0,12.0,2296.0,2443.0,16.0,-155.0,-530.0,-4.0,0.0,0.0,1.0,0.0,2.0,0.0,3223.0,2977.0,20.0,3337.0,3107.0,26.0,-114.0,-130.0,-6.0,0.0,0.0,1.0,0.0,2.0,0.0,4462.0,3987.0,26.0,4498.0,4442.0,30.0,-36.0,-455.0,-4.0,0.0,1.0,1.0,0.0,3.0,0.0,5289.0,5407.0,28.0,5616.0,6683.0,35.0,-327.0,-1276.0,-7.0,0.0,1.0,2.0,0.0,6.0,0.0
LOLTMNT01_210872,complete,,FST,2025,,0,2025-03-10 08:17:32,1,15.05,6,Red,top,Impact,oe:player:21f59b54f62b5b8b4bc0f63f0f617fc,Team Liquid,oe:team:8eb884e168f28402ce685bedebb5250,Ornn,Viktor,Rumble,Kalista,Ambessa,Braum,,,,,,1921,1,4,0,9,20,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6247,0.6871,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,13501,421.6866,0.167986,733.7116,1053.9198,8,0.2499,7,0.2186,3,26,0.8121,12368,8174,255.3045,0.202779,11175,,,236.0,236.0,0,,,7.3712,2854.0,4897.0,65.0,3893.0,5112.0,98.0,-1039.0,-215.0,-33.0,0.0,0.0,0.0,0.0,0.0,0.0,5123.0,8023.0,119.0,5990.0,7667.0,150.0,-867.0,356.0,-31.0,1.0,0.0,0.0,0.0,0.0,1.0,6880.0,11311.0,166.0,8648.0,10043.0,196.0,-1768.0,1268.0,-30.0,1.0,1.0,0.0,1.0,0.0,1.0,8475.0,13340.0,186.0,10016.0,12033.0,227.0,-1541.0,1307.0,-41.0,2.0,4.0,0.0,1.0,0.0,2.0
LOLTMNT01_210872,complete,,FST,2025,,0,2025-03-10 08:17:32,1,15.05,7,Red,jng,UmTi,oe:player:1970fcb701acce66e0771946bbb3105,Team Liquid,oe:team:8eb884e168f28402ce685bedebb5250,Maokai,Viktor,Rumble,Kalista,Ambessa,Braum,,,,,,1921,1,3,0,13,20,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6247,0.6871,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,0.0,0.0,10550,329.5159,0.131268,1345.4243,1335.7106,9,0.2811,14,0.4373,6,44,1.3743,11382,7188,224.5081,0.178317,9550,,,190.0,28.0,162,,,5.9344,3200.0,3250.0,66.0,2957.0,3170.0,62.0,243.0,80.0,4.0,0.0,2.0,0.0,0.0,0.0,1.0,4668.0,5281.0,94.0,4464.0,5276.0,98.0,204.0,5.0,-4.0,0.0,3.0,0.0,0.0,0.0,1.0,6370.0,7733.0,126.0,6209.0,7639.0,133.0,161.0,94.0,-7.0,1.0,3.0,0.0,0.0,0.0,2.0,7862.0,9880.0,150.0,7587.0,9895.0,164.0,275.0,-15.0,-14.0,2.0,5.0,0.0,0.0,0.0,4.0
LOLTMNT01_210872,complete,,FST,2025,,0,2025-03-10 08:17:32,1,15.05,8,Red,mid,APA,oe:player:ea9ed09584feecae0991089f087d2ce,Team Liquid,oe:team:8eb884e168f28402ce685bedebb5250,Tristana,Viktor,Rumble,Kalista,Ambessa,Braum,,,,,,1921,1,3,0,8,20,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6247,0.6871,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,1.0,0.0,22552,704.3831,0.280602,507.6731,370.4321,18,0.5622,8,0.2499,7,38,1.1869,13647,9453,295.2525,0.234509,12825,,,289.0,268.0,21,,,9.0265,3348.0,4707.0,88.0,3523.0,4797.0,99.0,-175.0,-90.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,5711.0,7257.0,141.0,5331.0,7443.0,154.0,380.0,-186.0,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,7894.0,9496.0,180.0,7210.0,10087.0,199.0,684.0,-591.0,-19.0,0.0,0.0,0.0,0.0,1.0,0.0,10004.0,13055.0,238.0,9142.0,12417.0,249.0,862.0,638.0,-11.0,0.0,4.0,0.0,0.0,1.0,0.0
LOLTMNT01_210872,complete,,FST,2025,,0,2025-03-10 08:17:32,1,15.05,9,Red,bot,Yeon,oe:player:f6b8af05a5af22004a67a78f3046b92,Team Liquid,oe:team:8eb884e168f28402ce685bedebb5250,Varus,Viktor,Rumble,Kalista,Ambessa,Braum,,,,,,1921,1,10,1,4,20,2,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6247,0.6871,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,28302,883.9771,0.352146,322.6132,167.2879,15,0.4685,8,0.2499,4,37,1.1556,15752,11558,360.9995,0.286733,12610,,,304.0,304.0,0,,,9.4951,3912.0,3178.0,84.0,3009.0,3413.0,77.0,903.0,-235.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,5671.0,5756.0,139.0,4725.0,5561.0,128.0,946.0,195.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,7654.0,8333.0,192.0,7012.0,8517.0,191.0,642.0,-184.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,10236.0,11155.0,242.0,8994.0,10750.0,247.0,1242.0,405.0,-5.0,4.0,1.0,1.0,0.0,0.0,0.0
LOLTMNT01_210872,complete,,FST,2025,,0,2025-03-10 08:17:32,1,15.05,10,Red,sup,CoreJJ,oe:player:05fafeaf23dc3285558a4e968970b9f,Team Liquid,oe:team:8eb884e168f28402ce685bedebb5250,Nautilus,Viktor,Rumble,Kalista,Ambessa,Braum,,,,,,1921,1,0,1,14,20,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6247,0.6871,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,5465,170.6923,0.067998,373.8365,591.0672,53,1.6554,16,0.4997,17,119,3.7168,8131,3937,122.9672,0.0976625,6775,,,39.0,39.0,0,,,1.2181,2296.0,2443.0,16.0,2141.0,1913.0,12.0,155.0,530.0,4.0,0.0,2.0,0.0,0.0,0.0,1.0,3337.0,3107.0,26.0,3223.0,2977.0,20.0,114.0,130.0,6.0,0.0,2.0,0.0,0.0,0.0,1.0,4498.0,4442.0,30.0,4462.0,3987.0,26.0,36.0,455.0,4.0,0.0,3.0,0.0,0.0,1.0,1.0,5616.0,6683.0,35.0,5289.0,5407.0,28.0,327.0,1276.0,7.0,0.0,6.0,0.0,0.0,1.0,2.0
