gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT03_3085465,complete,,GL,2023,,0,2023-01-15 22:05:30,1,13.01,1,Blue,top,Keii,oe:player:c70b6e57e597809a8561caa79c5db8f,Fuego,oe:team:0f0f407ca567fc73cc83d541ef45731,K'Sante,Yuumi,Nami,Sejuani,Wukong,Lissandra,,,,,,1448,1,4,0,10,21,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8702,1.0773,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,20834.0,863.2873,0.355008,844.5994,1602.4724,8.0,0.3315,4.0,0.1657,2.0,24.0,0.9945,12245,9015,373.5497,0.245063,11500.0,,,201.0,200.0,1.0,,,8.3287,3319.0,4720.0,79.0,3040.0,4620.0,77.0,279.0,100.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6526.0,8584.0,139.0,4282.0,7112.0,114.0,2244.0,1472.0,25.0,1.0,0.0,0.0,0.0,0.0,1.0,8967.0,11666.0,175.0,5753.0,9260.0,152.0,3214.0,2406.0,23.0,2.0,4.0,0.0,0.0,0.0,2.0,12245.0,15226.0,201.0,6840.0,10549.0,178.0,5405.0,4677.0,23.0,4.0,10.0,0.0,0.0,0.0,4.0
ESPORTSTMNT03_3085465,complete,,GL,2023,,0,2023-01-15 22:05:30,1,13.01,2,Blue,jng,MrLemon,oe:player:0ce7d005657394093263af4a442a18d,Fuego,oe:team:0f0f407ca567fc73cc83d541ef45731,Graves,Yuumi,Nami,Sejuani,Wukong,Lissandra,,,,,,1448,1,6,0,5,21,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8702,1.0773,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,1.0,0.0,7984.0,330.8287,0.136046,658.7155,774.5304,15.0,0.6215,9.0,0.3729,6.0,49.0,2.0304,12497,9267,383.9917,0.251913,10950.0,,,214.0,48.0,166.0,,,8.8674,3741.0,3822.0,70.0,2517.0,2488.0,42.0,1224.0,1334.0,28.0,1.0,0.0,0.0,0.0,1.0,0.0,6013.0,6189.0,112.0,3859.0,4610.0,73.0,2154.0,1579.0,39.0,2.0,1.0,0.0,0.0,1.0,0.0,9258.0,10240.0,171.0,5144.0,6695.0,98.0,4114.0,3545.0,73.0,3.0,3.0,0.0,0.0,1.0,2.0,12497.0,13736.0,214.0,5998.0,8773.0,109.0,6499.0,4963.0,105.0,6.0,5.0,0.0,0.0,1.0,3.0
ESPORTSTMNT03_3085465,complete,,GL,2023,,0,2023-01-15 22:05:30,1,13.01,3,Blue,mid,Zelt,oe:player:288d8e1e6e78a857421f10ee40d3fba,Fuego,oe:team:0f0f407ca567fc73cc83d541ef45731,Akali,Yuumi,Nami,Sejuani,Wukong,Lissandra,,,,,,1448,1,5,0,4,21,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8702,1.0773,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,8361.0,346.4503,0.14247,389.2956,202.3757,6.0,0.2486,5.0,0.2072,3.0,15.0,0.6215,11106,7876,326.3536,0.214102,10260.0,,,220.0,216.0,4.0,,,9.116,3262.0,4580.0,94.0,2994.0,4912.0,76.0,268.0,-332.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,5203.0,7383.0,146.0,4922.0,8250.0,141.0,281.0,-867.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,8008.0,10898.0,188.0,6431.0,9822.0,165.0,1577.0,1076.0,23.0,3.0,2.0,0.0,1.0,0.0,3.0,11106.0,14038.0,220.0,7637.0,11183.0,192.0,3469.0,2855.0,28.0,5.0,4.0,0.0,1.0,0.0,6.0
ESPORTSTMNT03_3085465,complete,,GL,2023,,0,2023-01-15 22:05:30,1,13.01,4,Blue,bot,Dya,oe:player:5a845bf4d8986c6897abb08708da084,Fuego,oe:team:0f0f407ca567fc73cc83d541ef45731,Jhin,Yuumi,Nami,Sejuani,Wukong,Lissandra,,,,,,1448,1,5,1,9,21,5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.8702,1.0773,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,1.0,0.0,13299.0,551.0635,0.226613,484.7238,233.5773,9.0,0.3729,2.0,0.0829,2.0,23.0,0.953,10498,7268,301.1602,0.197575,9310.0,,,196.0,194.0,2.0,,,8.1215,3456.0,3285.0,80.0,3439.0,3245.0,80.0,17.0,40.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5729.0,5485.0,123.0,5632.0,5257.0,122.0,97.0,228.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,8196.0,8469.0,168.0,7610.0,7067.0,155.0,586.0,1402.0,13.0,4.0,5.0,1.0,3.0,2.0,1.0,10498.0,11776.0,196.0,8991.0,8744.0,192.0,1507.0,3032.0,4.0,5.0,9.0,1.0,3.0,2.0,2.0
ESPORTSTMNT03_3085465,complete,,GL,2023,,0,2023-01-15 22:05:30,1,13.01,5,Blue,sup,Ichiwin,oe:player:4d8833619c7d2128cd31d6098e7e4f3,Fuego,oe:team:0f0f407ca567fc73cc83d541ef45731,Ashe,Yuumi,Nami,Sejuani,Wukong,Lissandra,,,,,,1448,1,1,4,13,21,5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.8702,1.0773,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,8208.0,340.1105,0.139863,466.2845,191.5193,28.0,1.1602,3.0,0.1243,7.0,56.0,2.3204,6590,3360,139.2265,0.0913462,5950.0,,,7.0,7.0,0.0,,,0.2901,2333.0,2641.0,2.0,2288.0,2411.0,3.0,45.0,230.0,-1.0,0.0,2.0,1.0,1.0,0.0,2.0,3710.0,3941.0,4.0,3448.0,4090.0,3.0,262.0,-149.0,1.0,0.0,5.0,2.0,1.0,2.0,4.0,5105.0,5314.0,5.0,4464.0,5887.0,6.0,641.0,-573.0,-1.0,1.0,8.0,4.0,1.0,3.0,5.0,6590.0,7920.0,7.0,5366.0,7022.0,9.0,1224.0,898.0,-2.0,1.0,13.0,4.0,1.0,3.0,6.0
ESPORTSTMNT03_3085465,complete,,GL,2023,,0,2023-01-15 22:05:30,1,13.01,6,Red,top,Pinky,oe:player:10fa3713ec3069f39f6e0da537c297a,Ramo Awake Gaming,oe:team:ef68c2c368d0cd292339d94c268bd19,Gwen,Varus,Ryze,Maokai,Jarvan IV,Vi,,,,,,1448,0,0,4,0,5,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2072,1.0773,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,7246.0,300.2486,0.195079,838.3425,706.989,9.0,0.3729,2.0,0.0829,3.0,18.0,0.7459,6840,3610,149.5856,0.193235,6925.0,,,178.0,174.0,4.0,,,7.3757,3040.0,4620.0,77.0,3319.0,4720.0,79.0,-279.0,-100.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,4282.0,7112.0,114.0,6526.0,8584.0,139.0,-2244.0,-1472.0,-25.0,0.0,0.0,1.0,1.0,0.0,0.0,5753.0,9260.0,152.0,8967.0,11666.0,175.0,-3214.0,-2406.0,-23.0,0.0,0.0,2.0,2.0,4.0,0.0,6840.0,10549.0,178.0,12245.0,15226.0,201.0,-5405.0,-4677.0,-23.0,0.0,0.0,4.0,4.0,10.0,0.0
ESPORTSTMNT03_3085465,complete,,GL,2023,,0,2023-01-15 22:05:30,1,13.01,7,Red,jng,Gatinho,oe:player:114c852a5998ebcc36d25db5f45197d,Ramo Awake Gaming,oe:team:ef68c2c368d0cd292339d94c268bd19,Poppy,Varus,Ryze,Maokai,Jarvan IV,Vi,,,,,,1448,0,0,3,1,5,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2072,1.0773,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,0.0,1.0,3326.0,137.8177,0.0895434,713.0801,1040.9669,5.0,0.2072,12.0,0.4972,3.0,28.0,1.1602,5998,2768,114.6961,0.148171,5825.0,,,109.0,25.0,84.0,,,4.5166,2517.0,2488.0,42.0,3741.0,3822.0,70.0,-1224.0,-1334.0,-28.0,0.0,1.0,0.0,1.0,0.0,0.0,3859.0,4610.0,73.0,6013.0,6189.0,112.0,-2154.0,-1579.0,-39.0,0.0,1.0,0.0,2.0,1.0,0.0,5144.0,6695.0,98.0,9258.0,10240.0,171.0,-4114.0,-3545.0,-73.0,0.0,1.0,2.0,3.0,3.0,0.0,5998.0,8773.0,109.0,12497.0,13736.0,214.0,-6499.0,-4963.0,-105.0,0.0,1.0,3.0,6.0,5.0,0.0
ESPORTSTMNT03_3085465,complete,,GL,2023,,0,2023-01-15 22:05:30,1,13.01,8,Red,mid,Araque,oe:player:6c5c2038de7dd9ff30cda31322a4717,Ramo Awake Gaming,oe:team:ef68c2c368d0cd292339d94c268bd19,Syndra,Varus,Ryze,Maokai,Jarvan IV,Vi,,,,,,1448,0,1,6,0,5,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2072,1.0773,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,8117.0,336.3398,0.218528,600.1657,355.8978,10.0,0.4144,2.0,0.0829,3.0,16.0,0.663,7637,4407,182.6105,0.235891,6825.0,,,192.0,188.0,4.0,,,7.9558,2994.0,4912.0,76.0,3262.0,4580.0,94.0,-268.0,332.0,-18.0,0.0,0.0,0.0,0.0,0.0,0.0,4922.0,8250.0,141.0,5203.0,7383.0,146.0,-281.0,867.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,6431.0,9822.0,165.0,8008.0,10898.0,188.0,-1577.0,-1076.0,-23.0,1.0,0.0,3.0,3.0,2.0,0.0,7637.0,11183.0,192.0,11106.0,14038.0,220.0,-3469.0,-2855.0,-28.0,1.0,0.0,6.0,5.0,4.0,0.0
ESPORTSTMNT03_3085465,complete,,GL,2023,,0,2023-01-15 22:05:30,1,13.01,9,Red,bot,Intio,oe:player:e427c5e627936477e7b83048bf11092,Ramo Awake Gaming,oe:team:ef68c2c368d0cd292339d94c268bd19,Caitlyn,Varus,Ryze,Maokai,Jarvan IV,Vi,,,,,,1448,0,3,2,2,5,21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2072,1.0773,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,1.0,13780.0,570.9945,0.370989,490.7735,321.0083,7.0,0.2901,1.0,0.0414,0.0,9.0,0.3729,8991,5761,238.7155,0.308358,8200.0,,,192.0,188.0,4.0,,,7.9558,3439.0,3245.0,80.0,3456.0,3285.0,80.0,-17.0,-40.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5632.0,5257.0,122.0,5729.0,5485.0,123.0,-97.0,-228.0,-1.0,2.0,1.0,1.0,3.0,1.0,1.0,7610.0,7067.0,155.0,8196.0,8469.0,168.0,-586.0,-1402.0,-13.0,3.0,2.0,1.0,4.0,5.0,1.0,8991.0,8744.0,192.0,10498.0,11776.0,196.0,-1507.0,-3032.0,-4.0,3.0,2.0,2.0,5.0,9.0,1.0
ESPORTSTMNT03_3085465,complete,,GL,2023,,0,2023-01-15 22:05:30,1,13.01,10,Red,sup,Joaquiin,oe:player:fdbe36a90d04e2ea8e0ba50e9a10c19,Ramo Awake Gaming,oe:team:ef68c2c368d0cd292339d94c268bd19,Karma,Varus,Ryze,Maokai,Jarvan IV,Vi,,,,,,1448,0,1,6,3,5,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2072,1.0773,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,4675.0,193.7155,0.125862,437.9834,322.5414,22.0,0.9116,5.0,0.2072,5.0,48.0,1.989,5366,2136,88.5083,0.114346,5510.0,,,9.0,9.0,0.0,,,0.3729,2288.0,2411.0,3.0,2333.0,2641.0,2.0,-45.0,-230.0,1.0,1.0,0.0,2.0,0.0,2.0,1.0,3448.0,4090.0,3.0,3710.0,3941.0,4.0,-262.0,149.0,-1.0,1.0,2.0,4.0,0.0,5.0,2.0,4464.0,5887.0,6.0,5105.0,5314.0,5.0,-641.0,573.0,1.0,1.0,3.0,5.0,1.0,8.0,4.0,5366.0,7022.0,9.0,6590.0,7920.0,7.0,-1224.0,-898.0,2.0,1.0,3.0,6.0,1.0,13.0,4.0
ESPORTSTMNT03_3085465,complete,,GL,2023,,0,2023-01-15 22:05:30,1,13.01,100,Blue,team,,,Fuego,oe:team:0f0f407ca567fc73cc83d541ef45731,,Yuumi,Nami,Sejuani,Wukong,Lissandra,K'Sante,Jhin,Ashe,Akali,Graves,1448,1,21,5,41,21,5,2.0,0.0,0.0,0.0,1.0,,,,0.8702,1.0773,0.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,2.0,0.0,,,1.0,1.0,0.0,1.0,10.0,0.0,1.0,1.0,6.0,2.0,2.0,0.0,58686.0,2431.7403,,2843.6188,3004.4751,66.0,2.7348,23.0,0.953,20.0,167.0,6.9199,52936,36788,1524.3646,,47970.0,0.361455,5.45,,665.0,173.0,,,34.7238,16111.0,19048.0,325.0,14278.0,17676.0,278.0,1833.0,1372.0,47.0,2.0,2.0,1.0,1.0,2.0,2.0,27181.0,31582.0,524.0,22143.0,29319.0,453.0,5038.0,2263.0,71.0,6.0,7.0,3.0,3.0,4.0,6.0,39534.0,46587.0,707.0,29402.0,38731.0,576.0,10132.0,7856.0,131.0,13.0,22.0,5.0,5.0,6.0,13.0,52936.0,62696.0,838.0,34832.0,46271.0,680.0,18104.0,16425.0,158.0,21.0,41.0,5.0,5.0,6.0,21.0
ESPORTSTMNT03_3085465,complete,,GL,2023,,0,2023-01-15 22:05:30,1,13.01,200,Red,team,,,Ramo Awake Gaming,oe:team:ef68c2c368d0cd292339d94c268bd19,,Varus,Ryze,Maokai,Jarvan IV,Vi,Caitlyn,Karma,Gwen,Syndra,Poppy,1448,0,5,21,6,5,21,1.0,0.0,0.0,0.0,0.0,,,,0.2072,1.0773,1.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,,,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,2.0,6.0,0.0,2.0,37144.0,1539.116,,3080.3453,2747.4033,53.0,2.1961,22.0,0.9116,14.0,119.0,4.9309,34832,18684,774.1989,,33285.0,-0.361455,-5.45,,584.0,96.0,,,28.1768,14278.0,17676.0,278.0,16111.0,19048.0,325.0,-1833.0,-1372.0,-47.0,1.0,2.0,2.0,2.0,2.0,1.0,22143.0,29319.0,453.0,27181.0,31582.0,524.0,-5038.0,-2263.0,-71.0,3.0,4.0,6.0,6.0,7.0,3.0,29402.0,38731.0,576.0,39534.0,46587.0,707.0,-10132.0,-7856.0,-131.0,5.0,6.0,13.0,13.0,22.0,5.0,34832.0,46271.0,680.0,52936.0,62696.0,838.0,-18104.0,-16425.0,-158.0,5.0,6.0,21.0,21.0,41.0,5.0
ESPORTSTMNT03_3083460,complete,,GL,2023,,0,2023-01-15 23:00:08,2,13.01,1,Blue,top,Keii,oe:player:c70b6e57e597809a8561caa79c5db8f,Fuego,oe:team:0f0f407ca567fc73cc83d541ef45731,Kennen,Yuumi,Nami,Sejuani,Syndra,Fiora,,,,,,1325,1,2,2,4,24,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0868,1.6302,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,14525.0,657.7358,0.2165,600.634,338.4453,5.0,0.2264,1.0,0.0453,1.0,10.0,0.4528,8786,5807,262.9585,0.159155,7725.0,,,158.0,154.0,4.0,,,7.1547,4014.0,5501.0,86.0,3133.0,4303.0,64.0,881.0,1198.0,22.0,1.0,2.0,1.0,0.0,1.0,2.0,5951.0,7662.0,126.0,4516.0,6376.0,91.0,1435.0,1286.0,35.0,1.0,2.0,2.0,0.0,2.0,3.0,7792.0,9950.0,151.0,7395.0,9739.0,143.0,397.0,211.0,8.0,2.0,2.0,2.0,1.0,4.0,3.0,,,,,,,,,,,,,,,
ESPORTSTMNT03_3083460,complete,,GL,2023,,0,2023-01-15 23:00:08,2,13.01,2,Blue,jng,MrLemon,oe:player:0ce7d005657394093263af4a442a18d,Fuego,oe:team:0f0f407ca567fc73cc83d541ef45731,Wukong,Yuumi,Nami,Sejuani,Syndra,Fiora,,,,,,1325,1,5,1,9,24,12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0868,1.6302,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,1.0,0.0,10388.0,470.4,0.154837,937.3585,906.7925,5.0,0.2264,8.0,0.3623,4.0,32.0,1.4491,10590,7611,344.6491,0.208594,9600.0,,,132.0,14.0,118.0,,,5.9774,4311.0,3785.0,61.0,3511.0,4057.0,60.0,800.0,-272.0,1.0,3.0,2.0,0.0,1.0,2.0,1.0,7226.0,6406.0,101.0,5377.0,5571.0,72.0,1849.0,835.0,29.0,5.0,2.0,0.0,3.0,2.0,1.0,9624.0,8907.0,129.0,7261.0,8331.0,90.0,2363.0,576.0,39.0,5.0,6.0,1.0,4.0,5.0,1.0,,,,,,,,,,,,,,,
ESPORTSTMNT03_3083460,complete,,GL,2023,,0,2023-01-15 23:00:08,2,13.01,3,Blue,mid,Zelt,oe:player:288d8e1e6e78a857421f10ee40d3fba,Fuego,oe:team:0f0f407ca567fc73cc83d541ef45731,Irelia,Yuumi,Nami,Sejuani,Syndra,Fiora,,,,,,1325,1,7,5,8,24,12,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0868,1.6302,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,20608.0,933.1925,0.307169,967.7887,731.4113,2.0,0.0906,3.0,0.1358,1.0,9.0,0.4075,12422,9443,427.6075,0.258801,12475.0,,,195.0,183.0,12.0,,,8.8302,4569.0,4819.0,83.0,3159.0,3891.0,57.0,1410.0,928.0,26.0,3.0,1.0,2.0,2.0,0.0,4.0,7926.0,8132.0,142.0,5147.0,7091.0,102.0,2779.0,1041.0,40.0,5.0,1.0,3.0,3.0,0.0,5.0,11208.0,10132.0,191.0,6446.0,8704.0,120.0,4762.0,1428.0,71.0,6.0,5.0,4.0,3.0,4.0,7.0,,,,,,,,,,,,,,,
ESPORTSTMNT03_3083460,complete,,GL,2023,,0,2023-01-15 23:00:08,2,13.01,4,Blue,bot,Dya,oe:player:5a845bf4d8986c6897abb08708da084,Fuego,oe:team:0f0f407ca567fc73cc83d541ef45731,Caitlyn,Yuumi,Nami,Sejuani,Syndra,Fiora,,,,,,1325,1,9,2,4,24,12,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0868,1.6302,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,1.0,0.0,17087.0,773.7509,0.254688,469.8113,241.766,7.0,0.317,5.0,0.2264,2.0,24.0,1.0868,12552,9573,433.4943,0.262364,10225.0,,,203.0,196.0,7.0,,,9.1925,4177.0,3658.0,98.0,2939.0,2603.0,71.0,1238.0,1055.0,27.0,1.0,2.0,0.0,0.0,0.0,1.0,7192.0,6454.0,154.0,5074.0,5239.0,106.0,2118.0,1215.0,48.0,2.0,3.0,1.0,1.0,1.0,3.0,10419.0,9242.0,196.0,8311.0,7905.0,150.0,2108.0,1337.0,46.0,5.0,4.0,2.0,3.0,3.0,4.0,,,,,,,,,,,,,,,
ESPORTSTMNT03_3083460,complete,,GL,2023,,0,2023-01-15 23:00:08,2,13.01,5,Blue,sup,Ichiwin,oe:player:4d8833619c7d2128cd31d6098e7e4f3,Fuego,oe:team:0f0f407ca567fc73cc83d541ef45731,Nautilus,Yuumi,Nami,Sejuani,Syndra,Fiora,,,,,,1325,1,1,2,15,24,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0868,1.6302,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,4482.0,202.9585,0.0668058,414.4302,645.2377,24.0,1.0868,6.0,0.2717,8.0,54.0,2.4453,7032,4053,183.5321,0.111086,5900.0,,,27.0,27.0,0.0,,,1.2226,2669.0,2921.0,14.0,2062.0,2267.0,4.0,607.0,654.0,10.0,1.0,2.0,0.0,0.0,0.0,1.0,4429.0,4646.0,24.0,3266.0,4125.0,9.0,1163.0,521.0,15.0,1.0,5.0,1.0,0.0,2.0,2.0,5961.0,6050.0,27.0,4468.0,5802.0,12.0,1493.0,248.0,15.0,1.0,10.0,2.0,0.0,5.0,4.0,,,,,,,,,,,,,,,
ESPORTSTMNT03_3083460,complete,,GL,2023,,0,2023-01-15 23:00:08,2,13.01,6,Red,top,Pinky,oe:player:10fa3713ec3069f39f6e0da537c297a,Ramo Awake Gaming,oe:team:ef68c2c368d0cd292339d94c268bd19,Gangplank,K'Sante,Varus,Ryze,Akali,LeBlanc,,,,,,1325,0,1,4,4,12,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5434,1.6302,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,9699.0,439.2,0.22972,851.7736,461.6604,7.0,0.317,2.0,0.0906,1.0,13.0,0.5887,8593,5614,254.2189,0.247647,7758.0,,,176.0,176.0,0.0,,,7.9698,3133.0,4303.0,64.0,4014.0,5501.0,86.0,-881.0,-1198.0,-22.0,0.0,1.0,2.0,1.0,2.0,1.0,4516.0,6376.0,91.0,5951.0,7662.0,126.0,-1435.0,-1286.0,-35.0,0.0,2.0,3.0,1.0,2.0,2.0,7395.0,9739.0,143.0,7792.0,9950.0,151.0,-397.0,-211.0,-8.0,1.0,4.0,3.0,2.0,2.0,2.0,,,,,,,,,,,,,,,
