gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT02/1070388,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1070388?gameHash=1fdeff35a2004f75,GLL,2019,Summer,0,2019-05-19 15:23:29,1,9.09,1,Blue,top,NorthnLghts,oe:player:657e73d55c0adcfeefe2c8beb11fa64,Reformed Gaming,oe:team:61c8ded0aba830147de246ec1efdbb0,Irelia,Neeko,Kindred,Jayce,Renekton,Poppy,,,,,,2361,0,2,2,2,11,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2795,0.7116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,13948.0,354.46,0.266667,902.6938,928.4371,17.0,0.432,3.0,0.0762,4.0,33.0,0.8386,15813.0,10721.0,272.4524,0.261367,15583.0,,,349.0,330.0,19.0,14.0,0.0,8.8691,3287.0,4581.0,87.0,3107.0,4657.0,78.0,180.0,-76.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,4801.0,6907.0,134.0,4648.0,7110.0,121.0,153.0,-203.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,6674.0,9565.0,184.0,5913.0,8765.0,146.0,761.0,800.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,9111.0,12680.0,235.0,7891.0,11758.0,185.0,1220.0,922.0,50.0,0.0,1.0,0.0,0.0,0.0,1.0
ESPORTSTMNT02/1070388,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1070388?gameHash=1fdeff35a2004f75,GLL,2019,Summer,0,2019-05-19 15:23:29,1,9.09,2,Blue,jng,Gjerg,oe:player:8e1cad5f8aabcc91e9bdc0162389128,Reformed Gaming,oe:team:61c8ded0aba830147de246ec1efdbb0,Jarvan IV,Neeko,Kindred,Jayce,Renekton,Poppy,,,,,,2361,0,2,4,6,11,17,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.2795,0.7116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4056.0,103.075,0.0775452,984.5235,1070.2668,30.0,0.7624,12.0,0.305,8.0,60.0,1.5248,12069.0,6977.0,177.3062,0.170092,11900.0,,,201.0,34.0,167.0,126.0,12.0,5.108,3078.0,3240.0,56.0,3482.0,3607.0,62.0,-404.0,-367.0,-6.0,0.0,1.0,0.0,1.0,0.0,0.0,4785.0,5723.0,88.0,4920.0,5456.0,95.0,-135.0,267.0,-7.0,0.0,2.0,0.0,1.0,0.0,0.0,7169.0,9221.0,135.0,6340.0,7096.0,121.0,829.0,2125.0,14.0,2.0,2.0,0.0,1.0,0.0,1.0,8582.0,10842.0,161.0,8459.0,9743.0,155.0,123.0,1099.0,6.0,2.0,2.0,0.0,2.0,0.0,1.0
ESPORTSTMNT02/1070388,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1070388?gameHash=1fdeff35a2004f75,GLL,2019,Summer,0,2019-05-19 15:23:29,1,9.09,3,Blue,mid,Hated,oe:player:573060e112ca90811f30e734bdc2b92,Reformed Gaming,oe:team:61c8ded0aba830147de246ec1efdbb0,Sylas,Neeko,Kindred,Jayce,Renekton,Poppy,,,,,,2361,0,2,1,4,11,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2795,0.7116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,15303.0,388.8945,0.292572,427.5985,579.8475,21.0,0.5337,12.0,0.305,10.0,48.0,1.2198,13999.0,8907.0,226.3532,0.217143,14330.0,,,305.0,293.0,12.0,12.0,0.0,7.751,3100.0,4633.0,78.0,3195.0,4588.0,87.0,-95.0,45.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,5219.0,7540.0,134.0,4913.0,7249.0,141.0,306.0,291.0,-7.0,1.0,0.0,0.0,0.0,0.0,1.0,7172.0,10587.0,178.0,6682.0,9754.0,186.0,490.0,833.0,-8.0,1.0,2.0,0.0,0.0,0.0,2.0,9170.0,13275.0,216.0,9563.0,14318.0,253.0,-393.0,-1043.0,-37.0,2.0,2.0,0.0,0.0,0.0,2.0
ESPORTSTMNT02/1070388,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1070388?gameHash=1fdeff35a2004f75,GLL,2019,Summer,0,2019-05-19 15:23:29,1,9.09,4,Blue,bot,Rulet,oe:player:c3f00cb635d82fe823d8b0ab2bfe65f,Reformed Gaming,oe:team:61c8ded0aba830147de246ec1efdbb0,Vayne,Neeko,Kindred,Jayce,Renekton,Poppy,,,,,,2361,0,5,3,2,11,17,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.2795,0.7116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,11664.0,296.4168,0.223,334.4854,378.0686,14.0,0.3558,7.0,0.1779,4.0,47.0,1.1944,16208.0,11116.0,282.4905,0.270997,14750.0,,,350.0,310.0,40.0,26.0,0.0,8.8945,3253.0,3395.0,69.0,3337.0,3032.0,83.0,-84.0,363.0,-14.0,1.0,0.0,0.0,0.0,1.0,0.0,5244.0,5789.0,120.0,5146.0,5432.0,136.0,98.0,357.0,-16.0,2.0,0.0,0.0,0.0,1.0,0.0,6768.0,7378.0,160.0,7800.0,7674.0,197.0,-1032.0,-296.0,-37.0,2.0,0.0,0.0,0.0,1.0,0.0,8941.0,9891.0,220.0,10464.0,10689.0,247.0,-1523.0,-798.0,-27.0,2.0,0.0,0.0,1.0,2.0,0.0
ESPORTSTMNT02/1070388,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1070388?gameHash=1fdeff35a2004f75,GLL,2019,Summer,0,2019-05-19 15:23:29,1,9.09,5,Blue,sup,Soap,oe:player:2b8e361b8e4a1cfb297f767544c5bf3,Reformed Gaming,oe:team:61c8ded0aba830147de246ec1efdbb0,Morgana,Neeko,Kindred,Jayce,Renekton,Poppy,,,,,,2361,0,0,7,5,11,17,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.2795,0.7116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,7334.0,186.3787,0.140216,428.5133,233.2656,50.0,1.2706,16.0,0.4066,11.0,100.0,2.5413,8390.0,3298.0,83.8119,0.0804012,7925.0,,,21.0,21.0,0.0,0.0,0.0,0.5337,2211.0,2773.0,3.0,2063.0,2881.0,2.0,148.0,-108.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3359.0,4383.0,6.0,3281.0,4010.0,7.0,78.0,373.0,-1.0,0.0,2.0,1.0,0.0,1.0,2.0,4375.0,5669.0,10.0,4474.0,5809.0,9.0,-99.0,-140.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,5350.0,6927.0,11.0,6252.0,9031.0,15.0,-902.0,-2104.0,-4.0,0.0,2.0,3.0,0.0,3.0,2.0
ESPORTSTMNT02/1070388,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1070388?gameHash=1fdeff35a2004f75,GLL,2019,Summer,0,2019-05-19 15:23:29,1,9.09,6,Red,top,Delitto,oe:player:2c759ab177ab9c6e906ef01c3772ace,WLGaming Esports,oe:team:b19ab22267512e77945cd498106dcf1,Gnar,Akali,Aatrox,Nautilus,Hecarim,Sejuani,,,,,,2361,1,3,1,3,17,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.432,0.7116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,15919.0,404.5489,0.177852,552.6557,534.46,24.0,0.6099,17.0,0.432,10.0,61.0,1.5502,13605.0,8513.0,216.3405,0.182824,11450.0,,,255.0,251.0,4.0,4.0,0.0,6.4803,3107.0,4657.0,78.0,3287.0,4581.0,87.0,-180.0,76.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,4648.0,7110.0,121.0,4801.0,6907.0,134.0,-153.0,203.0,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,5913.0,8765.0,146.0,6674.0,9565.0,184.0,-761.0,-800.0,-38.0,0.0,0.0,0.0,0.0,0.0,0.0,7891.0,11758.0,185.0,9111.0,12680.0,235.0,-1220.0,-922.0,-50.0,0.0,0.0,1.0,0.0,1.0,0.0
ESPORTSTMNT02/1070388,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1070388?gameHash=1fdeff35a2004f75,GLL,2019,Summer,0,2019-05-19 15:23:29,1,9.09,7,Red,jng,Muscle,oe:player:36143fa4f2c24dd4816fd6e238cfd5e,WLGaming Esports,oe:team:b19ab22267512e77945cd498106dcf1,Karthus,Akali,Aatrox,Nautilus,Hecarim,Sejuani,,,,,,2361,1,2,3,10,17,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.432,0.7116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,19206.0,488.0813,0.214575,806.2516,357.9416,20.0,0.5083,10.0,0.2541,11.0,51.0,1.2961,13104.0,8012.0,203.6086,0.172064,11900.0,,,235.0,47.0,188.0,123.0,8.0,5.972,3482.0,3607.0,62.0,3078.0,3240.0,56.0,404.0,367.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,4920.0,5456.0,95.0,4785.0,5723.0,88.0,135.0,-267.0,7.0,1.0,0.0,0.0,0.0,2.0,0.0,6340.0,7096.0,121.0,7169.0,9221.0,135.0,-829.0,-2125.0,-14.0,1.0,0.0,1.0,2.0,2.0,0.0,8459.0,9743.0,155.0,8582.0,10842.0,161.0,-123.0,-1099.0,-6.0,2.0,0.0,1.0,2.0,2.0,0.0
ESPORTSTMNT02/1070388,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1070388?gameHash=1fdeff35a2004f75,GLL,2019,Summer,0,2019-05-19 15:23:29,1,9.09,8,Red,mid,Paris,oe:player:e20d37a5d7fcc4c35be6fc18a8e71bf,WLGaming Esports,oe:team:b19ab22267512e77945cd498106dcf1,Ryze,Akali,Aatrox,Nautilus,Hecarim,Sejuani,,,,,,2361,1,3,2,8,17,11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.432,0.7116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,20560.0,522.4905,0.229703,323.3037,315.9848,17.0,0.432,4.0,0.1017,6.0,44.0,1.1182,15689.0,10597.0,269.3011,0.227579,13550.0,,,349.0,320.0,29.0,12.0,8.0,8.8691,3195.0,4588.0,87.0,3100.0,4633.0,78.0,95.0,-45.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,4913.0,7249.0,141.0,5219.0,7540.0,134.0,-306.0,-291.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,6682.0,9754.0,186.0,7172.0,10587.0,178.0,-490.0,-833.0,8.0,0.0,0.0,2.0,1.0,2.0,0.0,9563.0,14318.0,253.0,9170.0,13275.0,216.0,393.0,1043.0,37.0,0.0,0.0,2.0,2.0,2.0,0.0
ESPORTSTMNT02/1070388,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1070388?gameHash=1fdeff35a2004f75,GLL,2019,Summer,0,2019-05-19 15:23:29,1,9.09,9,Red,bot,Bananitoo,oe:player:148e116847c069d852ad0696d4180fe,WLGaming Esports,oe:team:b19ab22267512e77945cd498106dcf1,Kai'Sa,Akali,Aatrox,Nautilus,Hecarim,Sejuani,,,,,,2361,1,9,1,7,17,11,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.432,0.7116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,26060.0,662.2618,0.29115,318.3736,393.9771,13.0,0.3304,11.0,0.2795,3.0,36.0,0.9149,19796.0,14704.0,373.6722,0.315781,17775.0,,,387.0,351.0,36.0,28.0,4.0,9.8348,3337.0,3032.0,83.0,3253.0,3395.0,69.0,84.0,-363.0,14.0,0.0,1.0,0.0,1.0,0.0,0.0,5146.0,5432.0,136.0,5244.0,5789.0,120.0,-98.0,-357.0,16.0,0.0,1.0,0.0,2.0,0.0,0.0,7800.0,7674.0,197.0,6768.0,7378.0,160.0,1032.0,296.0,37.0,0.0,1.0,0.0,2.0,0.0,0.0,10464.0,10689.0,247.0,8941.0,9891.0,220.0,1523.0,798.0,27.0,1.0,2.0,0.0,2.0,0.0,0.0
ESPORTSTMNT02/1070388,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1070388?gameHash=1fdeff35a2004f75,GLL,2019,Summer,0,2019-05-19 15:23:29,1,9.09,10,Red,sup,kamilius,oe:player:7aa0aebd379414d25f1fcdc396407f1,WLGaming Esports,oe:team:b19ab22267512e77945cd498106dcf1,Karma,Akali,Aatrox,Nautilus,Hecarim,Sejuani,,,,,,2361,1,0,4,13,17,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.432,0.7116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,7762.0,197.2554,0.0867195,376.5438,255.9339,46.0,1.169,17.0,0.432,14.0,93.0,2.3634,9830.0,4738.0,120.4066,0.101752,8680.0,,,26.0,26.0,0.0,0.0,0.0,0.6607,2063.0,2881.0,2.0,2211.0,2773.0,3.0,-148.0,108.0,-1.0,0.0,1.0,1.0,0.0,1.0,1.0,3281.0,4010.0,7.0,3359.0,4383.0,6.0,-78.0,-373.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0,4474.0,5809.0,9.0,4375.0,5669.0,10.0,99.0,140.0,-1.0,0.0,1.0,2.0,0.0,2.0,1.0,6252.0,9031.0,15.0,5350.0,6927.0,11.0,902.0,2104.0,4.0,0.0,3.0,2.0,0.0,2.0,3.0
