gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT03_3000369,complete,,GLLPA,2022,,0,2022-10-11 14:36:17,1,12.19,1,Blue,top,Raigos,oe:player:60870452b3f0c5b4797fb5ba8c49dad,Convict of Shadows,oe:team:c039bb272b825e4259c17a016622bd5,Irelia,Maokai,Aatrox,Olaf,Thresh,Corki,,,,,,1320,0,2,6,1,12,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5455,1.7727,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,0.0,0.0,9693.0,440.5909,0.204429,831.5455,435.1364,6.0,0.2727,0.0,0.0,3.0,5.0,0.2273,8160,5192.0,236.0,0.247703,8175.0,,,193.0,185.0,8.0,,,8.7727,3173.0,4286.0,83.0,3697.0,4328.0,73.0,-524.0,-42.0,10.0,0.0,0.0,2.0,1.0,1.0,0.0,5553.0,7075.0,142.0,5662.0,7299.0,129.0,-109.0,-224.0,13.0,1.0,0.0,2.0,1.0,1.0,1.0,7822.0,9633.0,190.0,8819.0,10471.0,186.0,-997.0,-838.0,4.0,2.0,0.0,3.0,2.0,5.0,2.0,,,,,,,,,,,,,,,
ESPORTSTMNT03_3000369,complete,,GLLPA,2022,,0,2022-10-11 14:36:17,1,12.19,2,Blue,jng,COS Sidestep,,Convict of Shadows,oe:team:c039bb272b825e4259c17a016622bd5,Volibear,Maokai,Aatrox,Olaf,Thresh,Corki,,,,,,1320,0,2,6,6,12,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5455,1.7727,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,7081.0,321.8636,0.149341,892.8182,703.4091,2.0,0.0909,4.0,0.1818,3.0,18.0,0.8182,5893,2925.0,132.9545,0.139539,5275.0,,,77.0,13.0,64.0,,,3.5,2864.0,2617.0,42.0,4343.0,4135.0,69.0,-1479.0,-1518.0,-27.0,1.0,0.0,2.0,3.0,2.0,0.0,4572.0,5038.0,62.0,6191.0,6413.0,113.0,-1619.0,-1375.0,-51.0,2.0,3.0,2.0,3.0,2.0,1.0,5597.0,6367.0,76.0,9199.0,9451.0,146.0,-3602.0,-3084.0,-70.0,2.0,5.0,4.0,6.0,5.0,2.0,,,,,,,,,,,,,,,
ESPORTSTMNT03_3000369,complete,,GLLPA,2022,,0,2022-10-11 14:36:17,1,12.19,3,Blue,mid,COS Katsos,,Convict of Shadows,oe:team:c039bb272b825e4259c17a016622bd5,Viktor,Maokai,Aatrox,Olaf,Thresh,Corki,,,,,,1320,0,3,3,3,12,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5455,1.7727,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,15426.0,701.1818,0.32534,438.1364,266.0,6.0,0.2727,1.0,0.0455,1.0,12.0,0.5455,8336,5368.0,244.0,0.2561,7675.0,,,180.0,168.0,12.0,,,8.1818,3139.0,4730.0,81.0,3204.0,4812.0,82.0,-65.0,-82.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,5770.0,7825.0,129.0,5034.0,7481.0,125.0,736.0,344.0,4.0,2.0,2.0,0.0,1.0,0.0,1.0,7444.0,10086.0,167.0,7367.0,10219.0,159.0,77.0,-133.0,8.0,2.0,3.0,2.0,2.0,3.0,2.0,,,,,,,,,,,,,,,
ESPORTSTMNT03_3000369,complete,,GLLPA,2022,,0,2022-10-11 14:36:17,1,12.19,4,Blue,bot,COS Puri,,Convict of Shadows,oe:team:c039bb272b825e4259c17a016622bd5,Kai'Sa,Maokai,Aatrox,Olaf,Thresh,Corki,,,,,,1320,0,5,6,4,12,27,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5455,1.7727,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,1.0,11196.0,508.9091,0.236128,600.7273,278.2727,8.0,0.3636,0.0,0.0,3.0,18.0,0.8182,8195,5227.0,237.5909,0.249373,10985.0,,,146.0,142.0,4.0,,,6.6364,3517.0,3043.0,81.0,5299.0,3858.0,87.0,-1782.0,-815.0,-6.0,1.0,1.0,2.0,2.0,3.0,1.0,5806.0,5393.0,111.0,7974.0,5965.0,131.0,-2168.0,-572.0,-20.0,3.0,3.0,2.0,2.0,3.0,3.0,7725.0,7382.0,139.0,12411.0,9248.0,185.0,-4686.0,-1866.0,-46.0,5.0,3.0,4.0,6.0,7.0,3.0,,,,,,,,,,,,,,,
ESPORTSTMNT03_3000369,complete,,GLLPA,2022,,0,2022-10-11 14:36:17,1,12.19,5,Blue,sup,Whoami,oe:player:b5905e09f21d5864e3d35c42e06cc89,Convict of Shadows,oe:team:c039bb272b825e4259c17a016622bd5,Leona,Maokai,Aatrox,Olaf,Thresh,Corki,,,,,,1320,0,0,6,11,12,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5455,1.7727,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,4019.0,182.6818,0.0847622,619.0,550.1818,17.0,0.7727,9.0,0.4091,7.0,43.0,1.9545,5217,2249.0,102.2273,0.107286,4625.0,,,35.0,35.0,0.0,,,1.5909,2337.0,2519.0,20.0,2744.0,2579.0,14.0,-407.0,-60.0,6.0,0.0,2.0,1.0,1.0,4.0,1.0,3632.0,4423.0,27.0,3627.0,2956.0,16.0,5.0,1467.0,11.0,0.0,7.0,2.0,1.0,4.0,2.0,4745.0,5789.0,30.0,5647.0,6114.0,28.0,-902.0,-325.0,2.0,0.0,10.0,4.0,1.0,13.0,2.0,,,,,,,,,,,,,,,
ESPORTSTMNT03_3000369,complete,,GLLPA,2022,,0,2022-10-11 14:36:17,1,12.19,6,Red,top,JohnGiannis,oe:player:dba8a17e359c34ae247f90a921b8386,Project Sinners,oe:team:17b1cb79fe8d299f0eaed063132fdff,Sion,Caitlyn,Miss Fortune,Hecarim,Azir,Renata Glasc,,,,,,1320,1,4,2,8,27,12,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.2273,1.7727,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,0.0,0.0,10681.0,485.5,0.177528,632.3636,998.2273,5.0,0.2273,3.0,0.1364,2.0,15.0,0.6818,10406,7438.0,338.0909,0.197845,10250.0,,,198.0,170.0,28.0,,,9.0,3697.0,4328.0,73.0,3173.0,4286.0,83.0,524.0,42.0,-10.0,1.0,1.0,0.0,0.0,0.0,2.0,5662.0,7299.0,129.0,5553.0,7075.0,142.0,109.0,224.0,-13.0,1.0,1.0,1.0,1.0,0.0,2.0,8819.0,10471.0,186.0,7822.0,9633.0,190.0,997.0,838.0,-4.0,2.0,5.0,2.0,2.0,0.0,3.0,,,,,,,,,,,,,,,
ESPORTSTMNT03_3000369,complete,,GLLPA,2022,,0,2022-10-11 14:36:17,1,12.19,7,Red,jng,N3znamy,oe:player:5dbe350ac58198a3af0e3d0c6d939ac,Project Sinners,oe:team:17b1cb79fe8d299f0eaed063132fdff,Lillia,Caitlyn,Miss Fortune,Hecarim,Azir,Renata Glasc,,,,,,1320,1,7,2,11,27,12,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.2273,1.7727,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,12314.0,559.7273,0.20467,1006.5909,586.1364,7.0,0.3182,4.0,0.1818,1.0,20.0,0.9091,11068,8100.0,368.1818,0.215455,8975.0,,,160.0,33.0,127.0,,,7.2727,4343.0,4135.0,69.0,2864.0,2617.0,42.0,1479.0,1518.0,27.0,3.0,2.0,0.0,1.0,0.0,2.0,6191.0,6413.0,113.0,4572.0,5038.0,62.0,1619.0,1375.0,51.0,3.0,2.0,1.0,2.0,3.0,2.0,9199.0,9451.0,146.0,5597.0,6367.0,76.0,3602.0,3084.0,70.0,6.0,5.0,2.0,2.0,5.0,4.0,,,,,,,,,,,,,,,
ESPORTSTMNT03_3000369,complete,,GLLPA,2022,,0,2022-10-11 14:36:17,1,12.19,8,Red,mid,Faded,oe:player:0e9764ca8971894af709c0cd603e6b6,Project Sinners,oe:team:17b1cb79fe8d299f0eaed063132fdff,Kassadin,Caitlyn,Miss Fortune,Hecarim,Azir,Renata Glasc,,,,,,1320,1,6,2,9,27,12,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2273,1.7727,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,13035.0,592.5,0.216654,641.6818,373.7727,7.0,0.3182,5.0,0.2273,0.0,14.0,0.6364,9722,6754.0,307.0,0.17965,7500.0,,,173.0,165.0,8.0,,,7.8636,3204.0,4812.0,82.0,3139.0,4730.0,81.0,65.0,82.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5034.0,7481.0,125.0,5770.0,7825.0,129.0,-736.0,-344.0,-4.0,1.0,0.0,1.0,2.0,2.0,0.0,7367.0,10219.0,159.0,7444.0,10086.0,167.0,-77.0,133.0,-8.0,2.0,3.0,2.0,2.0,3.0,2.0,,,,,,,,,,,,,,,
ESPORTSTMNT03_3000369,complete,,GLLPA,2022,,0,2022-10-11 14:36:17,1,12.19,9,Red,bot,Blue,oe:player:980f7a7cc13b492b6d62b2de772abf5,Project Sinners,oe:team:17b1cb79fe8d299f0eaed063132fdff,Draven,Caitlyn,Miss Fortune,Hecarim,Azir,Renata Glasc,,,,,,1320,1,9,3,10,27,12,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.2273,1.7727,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,1.0,0.0,18834.0,856.0909,0.313039,455.2727,226.3182,4.0,0.1818,4.0,0.1818,0.0,9.0,0.4091,14761,11793.0,536.0455,0.313691,12550.0,,,194.0,178.0,16.0,,,8.8182,5299.0,3858.0,87.0,3517.0,3043.0,81.0,1782.0,815.0,6.0,2.0,3.0,1.0,1.0,1.0,2.0,7974.0,5965.0,131.0,5806.0,5393.0,111.0,2168.0,572.0,20.0,2.0,3.0,3.0,3.0,3.0,2.0,12411.0,9248.0,185.0,7725.0,7382.0,139.0,4686.0,1866.0,46.0,6.0,7.0,3.0,5.0,3.0,4.0,,,,,,,,,,,,,,,
ESPORTSTMNT03_3000369,complete,,GLLPA,2022,,0,2022-10-11 14:36:17,1,12.19,10,Red,sup,Papil,oe:player:44368eda1e3c249323092aa04fef61c,Project Sinners,oe:team:17b1cb79fe8d299f0eaed063132fdff,Nautilus,Caitlyn,Miss Fortune,Hecarim,Azir,Renata Glasc,,,,,,1320,1,1,3,15,27,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2273,1.7727,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,5301.0,240.9545,0.0881077,478.8636,585.2727,22.0,1.0,4.0,0.1818,10.0,49.0,2.2273,6478,3510.0,159.5455,0.0933578,6100.0,,,28.0,24.0,4.0,,,1.2727,2744.0,2579.0,14.0,2337.0,2519.0,20.0,407.0,60.0,-6.0,1.0,4.0,1.0,0.0,2.0,1.0,3627.0,2956.0,16.0,3632.0,4423.0,27.0,-5.0,-1467.0,-11.0,1.0,4.0,2.0,0.0,7.0,2.0,5647.0,6114.0,28.0,4745.0,5789.0,30.0,902.0,325.0,-2.0,1.0,13.0,2.0,0.0,10.0,4.0,,,,,,,,,,,,,,,
