gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT02_176642,complete,,GLLPA,2024,,0,2024-10-08 15:08:49,1,14.18,1,Blue,top,SPAR Xhi,,Spartans EU,,Sion,Pyke,Poppy,Yone,Orianna,,,,,,,2590,0,0,6,6,12,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.278,0.7645,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,2.0,0.0,15573,360.7645,0.183231,1327.9923,2728.7722,7,0.1622,5,0.1158,5,27,0.6255,15980,10421,241.4131,0.216852,14725,,,334.0,322.0,12,,,7.7375,3090.0,4929.0,77.0,3070.0,4927.0,83.0,20.0,2.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,4779.0,7757.0,130.0,4880.0,7590.0,135.0,-101.0,167.0,-5.0,0.0,0.0,1.0,0.0,0.0,0.0,6273.0,10521.0,162.0,6640.0,9726.0,172.0,-367.0,795.0,-10.0,0.0,2.0,1.0,0.0,1.0,0.0,7933.0,13157.0,208.0,8038.0,11619.0,199.0,-105.0,1538.0,9.0,0.0,2.0,2.0,0.0,3.0,0.0
LOLTMNT02_176642,complete,,GLLPA,2024,,0,2024-10-08 15:08:49,1,14.18,2,Blue,jng,Shadow9,oe:player:f4947c1d6744b96bf7c9793624e0e80,Spartans EU,,Viego,Pyke,Poppy,Yone,Orianna,,,,,,,2590,0,3,4,4,12,21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.278,0.7645,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,0.0,0.0,15449,357.8919,0.181772,1218.3707,1092.4633,16,0.3707,18,0.417,18,79,1.8301,15869,10310,238.8417,0.214542,15000,,,315.0,65.0,250,,,7.2973,3915.0,4341.0,80.0,3391.0,4026.0,75.0,524.0,315.0,5.0,2.0,0.0,0.0,0.0,1.0,1.0,5576.0,6441.0,113.0,4802.0,5937.0,103.0,774.0,504.0,10.0,2.0,0.0,0.0,0.0,2.0,1.0,7472.0,8876.0,151.0,6772.0,8125.0,135.0,700.0,751.0,16.0,3.0,0.0,1.0,1.0,3.0,2.0,8948.0,10816.0,185.0,8766.0,10677.0,164.0,182.0,139.0,21.0,3.0,0.0,2.0,2.0,5.0,2.0
LOLTMNT02_176642,complete,,GLLPA,2024,,0,2024-10-08 15:08:49,1,14.18,3,Blue,mid,Dawi,oe:player:4c71a46899d53404f3d3843c0bb6212,Spartans EU,,Syndra,Pyke,Poppy,Yone,Orianna,,,,,,,2590,0,5,5,5,12,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.278,0.7645,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,1.0,26937,624.0232,0.316939,428.7104,274.4247,22,0.5097,4,0.0927,6,46,1.0656,17619,12060,279.3822,0.250958,15950,,,345.0,345.0,0,,,7.9923,3573.0,4650.0,79.0,3460.0,4522.0,76.0,113.0,128.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,5553.0,7592.0,138.0,5582.0,7371.0,135.0,-29.0,221.0,3.0,1.0,1.0,1.0,2.0,0.0,1.0,7940.0,10529.0,186.0,7837.0,10220.0,186.0,103.0,309.0,0.0,2.0,1.0,1.0,2.0,2.0,1.0,9391.0,12431.0,224.0,10283.0,13438.0,238.0,-892.0,-1007.0,-14.0,2.0,1.0,2.0,4.0,3.0,1.0
LOLTMNT02_176642,complete,,GLLPA,2024,,0,2024-10-08 15:08:49,1,14.18,4,Blue,bot,Messclick,oe:player:8f795733ef6cce05a5cf2a971026a89,Spartans EU,,Ashe,Pyke,Poppy,Yone,Orianna,,,,,,,2590,0,4,2,3,12,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.278,0.7645,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,21308,493.6216,0.250709,455.1892,398.2471,15,0.3475,8,0.1853,4,60,1.39,16782,11223,259.9923,0.233541,16680,,,339.0,322.0,17,,,7.8533,3230.0,3656.0,85.0,3216.0,3164.0,87.0,14.0,492.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,5285.0,6455.0,140.0,5008.0,5733.0,140.0,277.0,722.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6980.0,8496.0,181.0,7398.0,8701.0,197.0,-418.0,-205.0,-16.0,0.0,1.0,0.0,1.0,1.0,0.0,8708.0,10680.0,229.0,9180.0,11347.0,246.0,-472.0,-667.0,-17.0,0.0,1.0,0.0,1.0,3.0,0.0
LOLTMNT02_176642,complete,,GLLPA,2024,,0,2024-10-08 15:08:49,1,14.18,5,Blue,sup,Degla,oe:player:c269d420afb5c2ba49c3dd55a4a8e1a,Spartans EU,,Alistar,Pyke,Poppy,Yone,Orianna,,,,,,,2590,0,0,4,7,12,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.278,0.7645,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,1.0,5724,132.6023,0.0673483,518.1776,1041.0347,74,1.7143,20,0.4633,17,145,3.3591,9601,4042,93.6371,0.0841078,7975,,,44.0,44.0,0,,,1.0193,2197.0,2789.0,18.0,2147.0,2898.0,17.0,50.0,-109.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,3423.0,3480.0,22.0,3163.0,4342.0,27.0,260.0,-862.0,-5.0,0.0,1.0,0.0,0.0,1.0,1.0,4536.0,4837.0,28.0,4323.0,5262.0,34.0,213.0,-425.0,-6.0,0.0,2.0,1.0,0.0,3.0,2.0,5343.0,6480.0,30.0,5297.0,6693.0,37.0,46.0,-213.0,-7.0,0.0,2.0,1.0,0.0,5.0,2.0
LOLTMNT02_176642,complete,,GLLPA,2024,,0,2024-10-08 15:08:49,1,14.18,6,Red,top,Phyraxx,oe:player:751e44408b250f193cb6456c21e4d1f,Team Refuse,oe:team:d932b52fb3a9d5fad174728a969ee14,Aurora,Ziggs,Neeko,Taric,Braum,Rell,,,,,,2590,1,1,1,12,21,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4865,0.7645,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,2.0,28689,664.61,0.223658,610.0541,389.6293,18,0.417,7,0.1622,1,39,0.9035,15858,10299,238.5869,0.205393,14925,,,319.0,307.0,12,,,7.39,3070.0,4927.0,83.0,3090.0,4929.0,77.0,-20.0,-2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4880.0,7590.0,135.0,4779.0,7757.0,130.0,101.0,-167.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,6640.0,9726.0,172.0,6273.0,10521.0,162.0,367.0,-795.0,10.0,0.0,1.0,0.0,0.0,2.0,1.0,8038.0,11619.0,199.0,7933.0,13157.0,208.0,105.0,-1538.0,-9.0,0.0,3.0,0.0,0.0,2.0,2.0
LOLTMNT02_176642,complete,,GLLPA,2024,,0,2024-10-08 15:08:49,1,14.18,7,Red,jng,Fame,oe:player:c911f66336db65ab5fd553c7385734c,Team Refuse,oe:team:d932b52fb3a9d5fad174728a969ee14,Jarvan IV,Ziggs,Neeko,Taric,Braum,Rell,,,,,,2590,1,4,2,15,21,12,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4865,0.7645,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,0.0,0.0,20049,464.4556,0.156301,735.5907,1769.1429,23,0.5328,14,0.3243,20,71,1.6448,15160,9601,222.417,0.191472,14250,,,231.0,31.0,200,,,5.3514,3391.0,4026.0,75.0,3915.0,4341.0,80.0,-524.0,-315.0,-5.0,0.0,1.0,1.0,2.0,0.0,0.0,4802.0,5937.0,103.0,5576.0,6441.0,113.0,-774.0,-504.0,-10.0,0.0,2.0,1.0,2.0,0.0,0.0,6772.0,8125.0,135.0,7472.0,8876.0,151.0,-700.0,-751.0,-16.0,1.0,3.0,2.0,3.0,0.0,1.0,8766.0,10677.0,164.0,8948.0,10816.0,185.0,-182.0,-139.0,-21.0,2.0,5.0,2.0,3.0,0.0,2.0
LOLTMNT02_176642,complete,,GLLPA,2024,,0,2024-10-08 15:08:49,1,14.18,8,Red,mid,JayJay,oe:player:eb4afbc02f6cf896b0bd94b5dd274dc,Team Refuse,oe:team:d932b52fb3a9d5fad174728a969ee14,Smolder,Ziggs,Neeko,Taric,Braum,Rell,,,,,,2590,1,12,2,6,21,12,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.4865,0.7645,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,1.0,0.0,45220,1047.5676,0.352532,429.2664,286.5637,19,0.4402,8,0.1853,4,50,1.1583,20538,14979,347.0039,0.298728,19683,,,386.0,357.0,29,,,8.9421,3460.0,4522.0,76.0,3573.0,4650.0,79.0,-113.0,-128.0,-3.0,1.0,0.0,1.0,1.0,1.0,1.0,5582.0,7371.0,135.0,5553.0,7592.0,138.0,29.0,-221.0,-3.0,2.0,0.0,1.0,1.0,1.0,1.0,7837.0,10220.0,186.0,7940.0,10529.0,186.0,-103.0,-309.0,0.0,2.0,2.0,1.0,2.0,1.0,1.0,10283.0,13438.0,238.0,9391.0,12431.0,224.0,892.0,1007.0,14.0,4.0,3.0,1.0,2.0,1.0,2.0
LOLTMNT02_176642,complete,,GLLPA,2024,,0,2024-10-08 15:08:49,1,14.18,9,Red,bot,Aitlade,oe:player:fcad22cfbbf80065adc8436d9f82492,Team Refuse,oe:team:d932b52fb3a9d5fad174728a969ee14,Ezreal,Ziggs,Neeko,Taric,Braum,Rell,,,,,,2590,1,3,2,5,21,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4865,0.7645,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,26565,615.4054,0.207099,470.4556,318.3012,13,0.3012,12,0.278,4,40,0.9266,16295,10736,248.7104,0.214108,14883,,,371.0,358.0,13,,,8.5946,3216.0,3164.0,87.0,3230.0,3656.0,85.0,-14.0,-492.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5008.0,5733.0,140.0,5285.0,6455.0,140.0,-277.0,-722.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7398.0,8701.0,197.0,6980.0,8496.0,181.0,418.0,205.0,16.0,1.0,1.0,0.0,0.0,1.0,0.0,9180.0,11347.0,246.0,8708.0,10680.0,229.0,472.0,667.0,17.0,1.0,3.0,0.0,0.0,1.0,0.0
LOLTMNT02_176642,complete,,GLLPA,2024,,0,2024-10-08 15:08:49,1,14.18,10,Red,sup,Undefined,oe:player:ec0fc0100c4fc1ce4eea230c3dc1036,Team Refuse,oe:team:d932b52fb3a9d5fad174728a969ee14,Leona,Ziggs,Neeko,Taric,Braum,Rell,,,,,,2590,1,1,5,16,21,12,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4865,0.7645,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,1.0,0.0,7749,179.5135,0.0604107,507.7992,618.278,71,1.6448,16,0.3707,19,142,3.2896,10087,4528,104.8958,0.0902995,9150,,,45.0,45.0,0,,,1.0425,2147.0,2898.0,17.0,2197.0,2789.0,18.0,-50.0,109.0,-1.0,0.0,1.0,1.0,0.0,1.0,0.0,3163.0,4342.0,27.0,3423.0,3480.0,22.0,-260.0,862.0,5.0,0.0,1.0,1.0,0.0,1.0,0.0,4323.0,5262.0,34.0,4536.0,4837.0,28.0,-213.0,425.0,6.0,0.0,3.0,2.0,0.0,2.0,1.0,5297.0,6693.0,37.0,5343.0,6480.0,30.0,-46.0,213.0,7.0,0.0,5.0,2.0,0.0,2.0,1.0
