gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
TRTW/650024,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/650024?gameHash=c00993c7b021a6c7,GPL,2016,Spring,0,2016-04-07 03:15:00,1,6.06,1,Blue,top,Oceans11,oe:player:8ca6aecfec2c24316126302778eacb9,Kayana Gaming,oe:team:a87f96bba57cf77564601348d413ced,Maokai,Nautilus,Ekko,Kindred,,,,,,,,1916,0,0,3,2,5,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1566,0.7203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12905.0,404.1232,0.281732,756.1691,0.0,16.0,0.501,8.0,0.2505,3.0,0.0,0.0,9015.0,4851.0,151.9102,0.192332,8995.0,,,211.0,207.0,4.0,4.0,0.0,6.6075,2671.0,3357.0,56.0,2725.0,3870.0,52.0,-54.0,-513.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4140.0,5013.0,92.0,4277.0,5979.0,78.0,-137.0,-966.0,14.0,0.0,1.0,1.0,0.0,3.0,0.0,5768.0,7308.0,135.0,6204.0,8338.0,128.0,-436.0,-1030.0,7.0,0.0,1.0,1.0,0.0,3.0,0.0,7335.0,9606.0,179.0,8603.0,11191.0,182.0,-1268.0,-1585.0,-3.0,0.0,1.0,1.0,0.0,3.0,0.0
TRTW/650024,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/650024?gameHash=c00993c7b021a6c7,GPL,2016,Spring,0,2016-04-07 03:15:00,1,6.06,2,Blue,jng,Phoenix,oe:player:8bccb18ee11b1498ab14e93b5c5e285,Kayana Gaming,oe:team:a87f96bba57cf77564601348d413ced,Sejuani,Nautilus,Ekko,Kindred,,,,,,,,1916,0,0,4,4,5,18,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.1566,0.7203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,8943.0,280.0522,0.195236,758.3299,0.0,25.0,0.7829,13.0,0.4071,6.0,0.0,0.0,9077.0,4913.0,153.8518,0.19479,9250.0,,,130.0,52.0,78.0,74.0,4.0,4.071,2920.0,3198.0,35.0,2752.0,2830.0,31.0,168.0,368.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,4275.0,5047.0,61.0,4945.0,4873.0,46.0,-670.0,174.0,15.0,0.0,1.0,1.0,3.0,1.0,0.0,5773.0,7068.0,80.0,6319.0,6424.0,62.0,-546.0,644.0,18.0,0.0,3.0,2.0,3.0,1.0,0.0,7144.0,9072.0,99.0,7656.0,7487.0,71.0,-512.0,1585.0,28.0,0.0,3.0,2.0,3.0,1.0,0.0
TRTW/650024,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/650024?gameHash=c00993c7b021a6c7,GPL,2016,Spring,0,2016-04-07 03:15:00,1,6.06,3,Blue,mid,Banana,oe:player:b38f6bf2b6a24ae9acaaf408a304f13,Kayana Gaming,oe:team:a87f96bba57cf77564601348d413ced,Lulu,Nautilus,Ekko,Kindred,,,,,,,,1916,0,4,2,1,5,18,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.1566,0.7203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8802.0,275.6367,0.192158,358.3716,0.0,14.0,0.4384,6.0,0.1879,2.0,0.0,0.0,10619.0,6455.0,202.1399,0.255926,8950.0,,,231.0,222.0,9.0,9.0,0.0,7.2338,3226.0,4684.0,77.0,3375.0,4599.0,87.0,-149.0,85.0,-10.0,0.0,1.0,0.0,0.0,0.0,0.0,4851.0,6630.0,111.0,5289.0,6690.0,122.0,-438.0,-60.0,-11.0,1.0,1.0,0.0,1.0,1.0,0.0,6806.0,8719.0,144.0,7029.0,8396.0,163.0,-223.0,323.0,-19.0,3.0,1.0,0.0,1.0,2.0,0.0,9006.0,11662.0,198.0,9327.0,11078.0,220.0,-321.0,584.0,-22.0,3.0,1.0,0.0,1.0,2.0,0.0
TRTW/650024,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/650024?gameHash=c00993c7b021a6c7,GPL,2016,Spring,0,2016-04-07 03:15:00,1,6.06,4,Blue,bot,Chupper,oe:player:c90f27240da8d7a3709db3cb74c81f0,Kayana Gaming,oe:team:a87f96bba57cf77564601348d413ced,Kog'Maw,Nautilus,Ekko,Kindred,,,,,,,,1916,0,1,4,3,5,18,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1566,0.7203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12437.0,389.4676,0.271515,487.8288,0.0,8.0,0.2505,6.0,0.1879,1.0,0.0,0.0,10568.0,6404.0,200.5428,0.253904,9425.0,,,237.0,224.0,13.0,13.0,0.0,7.4217,3830.0,3403.0,80.0,3355.0,2783.0,75.0,475.0,620.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,4936.0,4414.0,101.0,5635.0,5241.0,130.0,-699.0,-827.0,-29.0,1.0,1.0,1.0,0.0,1.0,1.0,6431.0,6564.0,138.0,8551.0,8209.0,180.0,-2120.0,-1645.0,-42.0,1.0,2.0,1.0,2.0,1.0,2.0,8662.0,8581.0,196.0,10726.0,10481.0,232.0,-2064.0,-1900.0,-36.0,1.0,2.0,1.0,2.0,1.0,2.0
TRTW/650024,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/650024?gameHash=c00993c7b021a6c7,GPL,2016,Spring,0,2016-04-07 03:15:00,1,6.06,5,Blue,sup,Andre,oe:player:69281295089e026befcc43c67976db8,Kayana Gaming,oe:team:a87f96bba57cf77564601348d413ced,Alistar,Nautilus,Ekko,Kindred,,,,,,,,1916,0,0,5,4,5,18,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.1566,0.7203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2719.0,85.1461,0.059359,701.8685,0.0,35.0,1.096,12.0,0.3758,9.0,0.0,0.0,6763.0,2599.0,81.3883,0.103048,6675.0,,,33.0,32.0,1.0,0.0,1.0,1.0334,2225.0,2534.0,9.0,2189.0,2938.0,2.0,36.0,-404.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,3084.0,2747.0,13.0,3500.0,3806.0,2.0,-416.0,-1059.0,11.0,0.0,1.0,1.0,0.0,3.0,1.0,4220.0,3919.0,19.0,4841.0,5297.0,5.0,-621.0,-1378.0,14.0,0.0,3.0,2.0,0.0,4.0,2.0,5327.0,5376.0,25.0,6389.0,6438.0,9.0,-1062.0,-1062.0,16.0,0.0,3.0,2.0,0.0,4.0,2.0
TRTW/650024,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/650024?gameHash=c00993c7b021a6c7,GPL,2016,Spring,0,2016-04-07 03:15:00,1,6.06,6,Red,top,Revive,oe:player:a263ff189e0de0ff524d5fdc9dee809,Team Rigel,oe:team:95786f2a93617fcde81ed16ee15f5bb,Poppy,Gangplank,Gragas,Azir,,,,,,,,1916,1,1,0,9,18,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5637,0.7203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,15341.0,480.4071,0.194404,657.714,0.0,13.0,0.4071,7.0,0.2192,2.0,0.0,0.0,11869.0,7705.0,241.2839,0.195598,10200.0,,,241.0,234.0,7.0,6.0,1.0,7.547,2725.0,3870.0,52.0,2671.0,3357.0,56.0,54.0,513.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,4277.0,5979.0,78.0,4140.0,5013.0,92.0,137.0,966.0,-14.0,0.0,3.0,0.0,0.0,1.0,1.0,6204.0,8338.0,128.0,5768.0,7308.0,135.0,436.0,1030.0,-7.0,0.0,3.0,0.0,0.0,1.0,1.0,8603.0,11191.0,182.0,7335.0,9606.0,179.0,1268.0,1585.0,3.0,0.0,3.0,0.0,0.0,1.0,1.0
TRTW/650024,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/650024?gameHash=c00993c7b021a6c7,GPL,2016,Spring,0,2016-04-07 03:15:00,1,6.06,7,Red,jng,Zancazor,oe:player:bdc6e5ef5a22c522082f74e41114267,Team Rigel,oe:team:95786f2a93617fcde81ed16ee15f5bb,Elise,Gangplank,Gragas,Azir,,,,,,,,1916,1,6,0,7,18,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5637,0.7203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,11914.0,373.0898,0.150976,589.7912,0.0,24.0,0.7516,17.0,0.5324,4.0,0.0,0.0,10977.0,6813.0,213.3507,0.172954,9825.0,,,85.0,26.0,59.0,39.0,20.0,2.6618,2752.0,2830.0,31.0,2920.0,3198.0,35.0,-168.0,-368.0,-4.0,0.0,0.0,0.0,0.0,1.0,0.0,4945.0,4873.0,46.0,4275.0,5047.0,61.0,670.0,-174.0,-15.0,3.0,1.0,0.0,0.0,1.0,1.0,6319.0,6424.0,62.0,5773.0,7068.0,80.0,546.0,-644.0,-18.0,3.0,1.0,0.0,0.0,3.0,2.0,7656.0,7487.0,71.0,7144.0,9072.0,99.0,512.0,-1585.0,-28.0,3.0,1.0,0.0,0.0,3.0,2.0
TRTW/650024,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/650024?gameHash=c00993c7b021a6c7,GPL,2016,Spring,0,2016-04-07 03:15:00,1,6.06,8,Red,mid,PandaPaws,oe:player:992a3e5fc8e34effe2d4a00cca0313e,Team Rigel,oe:team:95786f2a93617fcde81ed16ee15f5bb,Viktor,Gangplank,Gragas,Azir,,,,,,,,1916,1,4,0,10,18,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5637,0.7203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,19334.0,605.4489,0.245004,235.8038,0.0,23.0,0.7203,9.0,0.2818,6.0,0.0,0.0,12978.0,8814.0,276.0125,0.223751,12150.0,,,264.0,246.0,18.0,15.0,3.0,8.2672,3375.0,4599.0,87.0,3226.0,4684.0,77.0,149.0,-85.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,5289.0,6690.0,122.0,4851.0,6630.0,111.0,438.0,60.0,11.0,1.0,1.0,0.0,1.0,1.0,0.0,7029.0,8396.0,163.0,6806.0,8719.0,144.0,223.0,-323.0,19.0,1.0,2.0,0.0,3.0,1.0,0.0,9327.0,11078.0,220.0,9006.0,11662.0,198.0,321.0,-584.0,22.0,1.0,2.0,0.0,3.0,1.0,0.0
TRTW/650024,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/650024?gameHash=c00993c7b021a6c7,GPL,2016,Spring,0,2016-04-07 03:15:00,1,6.06,9,Red,bot,Mexi,oe:player:d19deeefca7fddaa319f8a8e390292b,Team Rigel,oe:team:95786f2a93617fcde81ed16ee15f5bb,Lucian,Gangplank,Gragas,Azir,,,,,,,,1916,1,7,2,6,18,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5637,0.7203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,24451.0,765.6889,0.309848,358.4969,0.0,10.0,0.3132,6.0,0.1879,3.0,0.0,0.0,15449.0,11285.0,353.3925,0.286478,13475.0,,,286.0,264.0,22.0,12.0,10.0,8.9562,3355.0,2783.0,75.0,3830.0,3403.0,80.0,-475.0,-620.0,-5.0,0.0,0.0,1.0,1.0,0.0,0.0,5635.0,5241.0,130.0,4936.0,4414.0,101.0,699.0,827.0,29.0,0.0,1.0,1.0,1.0,1.0,1.0,8551.0,8209.0,180.0,6431.0,6564.0,138.0,2120.0,1645.0,42.0,2.0,1.0,2.0,1.0,2.0,1.0,10726.0,10481.0,232.0,8662.0,8581.0,196.0,2064.0,1900.0,36.0,2.0,1.0,2.0,1.0,2.0,1.0
TRTW/650024,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/650024?gameHash=c00993c7b021a6c7,GPL,2016,Spring,0,2016-04-07 03:15:00,1,6.06,10,Red,sup,Arkane,oe:player:9b59b40ceb8e288ec0b2e082bbdb0db,Team Rigel,oe:team:95786f2a93617fcde81ed16ee15f5bb,Bard,Gangplank,Gragas,Azir,,,,,,,,1916,1,0,3,13,18,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5637,0.7203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7873.0,246.5449,0.0997681,357.2129,0.0,34.0,1.0647,11.0,0.3445,8.0,0.0,0.0,8939.0,4775.0,149.5303,0.121219,7575.0,,,14.0,13.0,1.0,0.0,1.0,0.4384,2189.0,2938.0,2.0,2225.0,2534.0,9.0,-36.0,404.0,-7.0,0.0,0.0,0.0,0.0,1.0,0.0,3500.0,3806.0,2.0,3084.0,2747.0,13.0,416.0,1059.0,-11.0,0.0,3.0,1.0,0.0,1.0,1.0,4841.0,5297.0,5.0,4220.0,3919.0,19.0,621.0,1378.0,-14.0,0.0,4.0,2.0,0.0,3.0,2.0,6389.0,6438.0,9.0,5327.0,5376.0,25.0,1062.0,1062.0,-16.0,0.0,4.0,2.0,0.0,3.0,2.0
