gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT02/1720355,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1720355?gameHash=c3d5b68aece7aed3,GSG,2021,,0,2021-03-08 22:52:52,1.0,11.05,1,Blue,top,Srtty,oe:player:4d0ec5fa505ee341aff8b2309356afc,Evil Geniuses Prodigies,oe:team:72988cb15f0a6129beb79508d9a3162,Gragas,Kha'Zix,Hecarim,Nocturne,Gnar,Urgot,,,,,,1607,1,1,2,7,18,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6721,1.0454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12803.0,478.0212,0.239537,660.8587,394.8351,5.0,0.1867,6.0,0.224,2.0,19.0,0.7094,8405,4851.0,181.1201,0.135326,6935.0,,,136.0,135.0,1.0,0.0,1.0,5.0778,2812.0,3607.0,52.0,2660.0,3755.0,53.0,152.0,-148.0,-1.0,0.0,2.0,0.0,0.0,2.0,0.0,4368.0,5726.0,83.0,4910.0,6090.0,84.0,-542.0,-364.0,-1.0,0.0,3.0,1.0,2.0,3.0,1.0,5633.0,7123.0,104.0,5904.0,7756.0,102.0,-271.0,-633.0,2.0,0.0,3.0,1.0,2.0,4.0,1.0,7489.0,10006.0,127.0,8257.0,9995.0,131.0,-768.0,11.0,-4.0,0.0,4.0,2.0,5.0,4.0,2.0
ESPORTSTMNT02/1720355,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1720355?gameHash=c3d5b68aece7aed3,GSG,2021,,0,2021-03-08 22:52:52,1.0,11.05,2,Blue,jng,Tomio,oe:player:6ebdf3a3b56c113137109c45c2abc8f,Evil Geniuses Prodigies,oe:team:72988cb15f0a6129beb79508d9a3162,Udyr,Kha'Zix,Hecarim,Nocturne,Gnar,Urgot,,,,,,1607,1,2,0,7,18,10,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6721,1.0454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5273.0,196.8762,0.0986548,993.1176,917.5482,6.0,0.224,9.0,0.336,5.0,42.0,1.5681,9989,6435.0,240.2614,0.179513,9125.0,,,174.0,21.0,153.0,84.0,22.0,6.4966,3557.0,3755.0,71.0,2804.0,2789.0,51.0,753.0,966.0,20.0,1.0,1.0,0.0,0.0,2.0,3.0,5337.0,5783.0,104.0,4341.0,4728.0,75.0,996.0,1055.0,29.0,1.0,2.0,0.0,0.0,5.0,3.0,7107.0,8227.0,147.0,5999.0,6861.0,108.0,1108.0,1366.0,39.0,1.0,2.0,0.0,1.0,5.0,3.0,9156.0,10945.0,169.0,7157.0,8373.0,125.0,1999.0,2572.0,44.0,2.0,2.0,0.0,1.0,6.0,5.0
ESPORTSTMNT02/1720355,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1720355?gameHash=c3d5b68aece7aed3,GSG,2021,,0,2021-03-08 22:52:52,1.0,11.05,3,Blue,mid,Aspect,oe:player:6f10a2717479aea87d996e2989d4dd5,Evil Geniuses Prodigies,oe:team:72988cb15f0a6129beb79508d9a3162,Tristana,Kha'Zix,Hecarim,Nocturne,Gnar,Urgot,,,,,,1607,1,6,2,4,18,10,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6721,1.0454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,12781.0,477.1998,0.239125,453.4536,223.9452,11.0,0.4107,6.0,0.224,5.0,26.0,0.9708,14270,10716.0,400.0996,0.298936,11375.0,,,246.0,226.0,20.0,16.0,4.0,9.1848,3923.0,4854.0,93.0,3643.0,4127.0,74.0,280.0,727.0,19.0,1.0,1.0,1.0,2.0,0.0,0.0,7555.0,7943.0,139.0,5992.0,6763.0,120.0,1563.0,1180.0,19.0,2.0,1.0,2.0,3.0,2.0,0.0,9309.0,10056.0,180.0,7604.0,8855.0,159.0,1705.0,1201.0,21.0,2.0,1.0,2.0,3.0,3.0,0.0,12829.0,13647.0,220.0,9169.0,10765.0,184.0,3660.0,2882.0,36.0,5.0,2.0,2.0,3.0,6.0,1.0
ESPORTSTMNT02/1720355,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1720355?gameHash=c3d5b68aece7aed3,GSG,2021,,0,2021-03-08 22:52:52,1.0,11.05,4,Blue,bot,Danny,oe:player:b57dad2e02488237bab9f06f7bb9f54,Evil Geniuses Prodigies,oe:team:72988cb15f0a6129beb79508d9a3162,Kai'Sa,Kha'Zix,Hecarim,Nocturne,Gnar,Urgot,,,,,,1607,1,6,0,4,18,10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6721,1.0454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,16923.0,631.8482,0.31662,287.8656,153.0056,11.0,0.4107,12.0,0.448,5.0,38.0,1.4188,13502,9948.0,371.425,0.277511,10675.0,,,248.0,242.0,6.0,2.0,0.0,9.2595,3664.0,3211.0,76.0,3754.0,3309.0,79.0,-90.0,-98.0,-3.0,1.0,1.0,0.0,1.0,2.0,1.0,6758.0,5481.0,131.0,5886.0,5386.0,131.0,872.0,95.0,0.0,2.0,1.0,0.0,1.0,5.0,2.0,8876.0,7563.0,187.0,7856.0,7459.0,192.0,1020.0,104.0,-5.0,2.0,1.0,0.0,1.0,6.0,2.0,11771.0,10865.0,237.0,9738.0,9077.0,234.0,2033.0,1788.0,3.0,3.0,3.0,0.0,1.0,7.0,3.0
ESPORTSTMNT02/1720355,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1720355?gameHash=c3d5b68aece7aed3,GSG,2021,,0,2021-03-08 22:52:52,1.0,11.05,5,Blue,sup,Mist,oe:player:c9fe742896cf95349db15b35ec262e1,Evil Geniuses Prodigies,oe:team:72988cb15f0a6129beb79508d9a3162,Alistar,Kha'Zix,Hecarim,Nocturne,Gnar,Urgot,,,,,,1607,1,3,6,10,18,10,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6721,1.0454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5669.0,211.6615,0.106064,514.8351,636.3659,43.0,1.6055,5.0,0.1867,14.0,72.0,2.6882,7451,3897.0,145.5009,0.108714,6600.0,,,29.0,29.0,0.0,0.0,0.0,1.0828,3035.0,2231.0,13.0,2306.0,2223.0,15.0,729.0,8.0,-2.0,2.0,3.0,2.0,0.0,3.0,1.0,4073.0,2970.0,19.0,3728.0,4038.0,23.0,345.0,-1068.0,-4.0,2.0,4.0,3.0,0.0,6.0,1.0,5141.0,4143.0,27.0,4781.0,5224.0,29.0,360.0,-1081.0,-2.0,2.0,4.0,4.0,0.0,7.0,1.0,6908.0,6469.0,28.0,5608.0,6165.0,29.0,1300.0,304.0,-1.0,3.0,6.0,6.0,0.0,8.0,2.0
ESPORTSTMNT02/1720355,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1720355?gameHash=c3d5b68aece7aed3,GSG,2021,,0,2021-03-08 22:52:52,1.0,11.05,6,Red,top,Concept,oe:player:d99a604c79ce3c2e76a2f43488d5d4c,Revival,oe:team:a90653c5054faaece9e6462622a1593,Singed,Senna,Seraphine,Karma,Camille,Irelia,,,,,,1607,0,5,3,4,10,18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3734,1.0454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,13536.0,505.3889,0.266237,684.3062,645.9988,10.0,0.3734,5.0,0.1867,2.0,24.0,0.8961,8611,5057.0,188.8114,0.213043,7550.0,,,134.0,130.0,4.0,4.0,0.0,5.0031,2660.0,3755.0,53.0,2812.0,3607.0,52.0,-152.0,148.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,4910.0,6090.0,84.0,4368.0,5726.0,83.0,542.0,364.0,1.0,2.0,3.0,1.0,0.0,3.0,1.0,5904.0,7756.0,102.0,5633.0,7123.0,104.0,271.0,633.0,-2.0,2.0,4.0,1.0,0.0,3.0,1.0,8257.0,9995.0,131.0,7489.0,10006.0,127.0,768.0,-11.0,4.0,5.0,4.0,2.0,0.0,4.0,2.0
ESPORTSTMNT02/1720355,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1720355?gameHash=c3d5b68aece7aed3,GSG,2021,,0,2021-03-08 22:52:52,1.0,11.05,7,Red,jng,Sybr,oe:player:ec49ee309f41de6026b88d00ac081c4,Revival,oe:team:a90653c5054faaece9e6462622a1593,Olaf,Senna,Seraphine,Karma,Camille,Irelia,,,,,,1607,0,1,6,6,10,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3734,1.0454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,11725.0,437.7722,0.230616,1053.5283,675.6441,6.0,0.224,6.0,0.224,4.0,27.0,1.0081,7417,3863.0,144.2315,0.162743,6875.0,,,127.0,11.0,116.0,71.0,14.0,4.7418,2804.0,2789.0,51.0,3557.0,3755.0,71.0,-753.0,-966.0,-20.0,0.0,2.0,3.0,1.0,1.0,0.0,4341.0,4728.0,75.0,5337.0,5783.0,104.0,-996.0,-1055.0,-29.0,0.0,5.0,3.0,1.0,2.0,0.0,5999.0,6861.0,108.0,7107.0,8227.0,147.0,-1108.0,-1366.0,-39.0,1.0,5.0,3.0,1.0,2.0,0.0,7157.0,8373.0,125.0,9156.0,10945.0,169.0,-1999.0,-2572.0,-44.0,1.0,6.0,5.0,2.0,2.0,0.0
ESPORTSTMNT02/1720355,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1720355?gameHash=c3d5b68aece7aed3,GSG,2021,,0,2021-03-08 22:52:52,1.0,11.05,8,Red,mid,Sudzzi,oe:player:4c992404b9946c957aac7c12dd061ed,Revival,oe:team:a90653c5054faaece9e6462622a1593,Orianna,Senna,Seraphine,Karma,Camille,Irelia,,,,,,1607,0,3,2,6,10,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3734,1.0454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,11862.0,442.8874,0.233311,304.1444,235.6316,12.0,0.448,3.0,0.112,4.0,18.0,0.6721,9444,5890.0,219.9129,0.248135,8475.0,,,188.0,180.0,8.0,8.0,0.0,7.0193,3643.0,4127.0,74.0,3923.0,4854.0,93.0,-280.0,-727.0,-19.0,2.0,0.0,0.0,1.0,1.0,1.0,5992.0,6763.0,120.0,7555.0,7943.0,139.0,-1563.0,-1180.0,-19.0,3.0,2.0,0.0,2.0,1.0,2.0,7604.0,8855.0,159.0,9309.0,10056.0,180.0,-1705.0,-1201.0,-21.0,3.0,3.0,0.0,2.0,1.0,2.0,9169.0,10765.0,184.0,12829.0,13647.0,220.0,-3660.0,-2882.0,-36.0,3.0,6.0,1.0,5.0,2.0,2.0
ESPORTSTMNT02/1720355,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1720355?gameHash=c3d5b68aece7aed3,GSG,2021,,0,2021-03-08 22:52:52,1.0,11.05,9,Red,bot,Azog,oe:player:fba26591b2a75a8e370c2d51bc9eb90,Revival,oe:team:a90653c5054faaece9e6462622a1593,Jinx,Senna,Seraphine,Karma,Camille,Irelia,,,,,,1607,0,1,4,7,10,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3734,1.0454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9180.0,342.7505,0.180559,402.4518,183.6963,6.0,0.224,8.0,0.2987,1.0,20.0,0.7467,10147,6593.0,246.1605,0.27775,9725.0,,,240.0,220.0,20.0,20.0,0.0,8.9608,3754.0,3309.0,79.0,3664.0,3211.0,76.0,90.0,98.0,3.0,1.0,2.0,1.0,1.0,1.0,0.0,5886.0,5386.0,131.0,6758.0,5481.0,131.0,-872.0,-95.0,0.0,1.0,5.0,2.0,2.0,1.0,0.0,7856.0,7459.0,192.0,8876.0,7563.0,187.0,-1020.0,-104.0,5.0,1.0,6.0,2.0,2.0,1.0,0.0,9738.0,9077.0,234.0,11771.0,10865.0,237.0,-2033.0,-1788.0,-3.0,1.0,7.0,3.0,3.0,3.0,0.0
ESPORTSTMNT02/1720355,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1720355?gameHash=c3d5b68aece7aed3,GSG,2021,,0,2021-03-08 22:52:52,1.0,11.05,10,Red,sup,Chookies,oe:player:d778769103b62e1222414cd182c4e25,Revival,oe:team:a90653c5054faaece9e6462622a1593,Rell,Senna,Seraphine,Karma,Camille,Irelia,,,,,,1607,0,0,3,8,10,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3734,1.0454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4539.0,169.4711,0.0892766,354.3622,478.4692,36.0,1.3441,4.0,0.1493,12.0,51.0,1.9042,5888,2334.0,87.1437,0.0983301,5800.0,,,29.0,29.0,0.0,0.0,0.0,1.0828,2306.0,2223.0,15.0,3035.0,2231.0,13.0,-729.0,-8.0,2.0,0.0,3.0,1.0,2.0,3.0,2.0,3728.0,4038.0,23.0,4073.0,2970.0,19.0,-345.0,1068.0,4.0,0.0,6.0,1.0,2.0,4.0,3.0,4781.0,5224.0,29.0,5141.0,4143.0,27.0,-360.0,1081.0,2.0,0.0,7.0,1.0,2.0,4.0,4.0,5608.0,6165.0,29.0,6908.0,6469.0,28.0,-1300.0,-304.0,1.0,0.0,8.0,2.0,3.0,6.0,6.0
