gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
EUN1/2528488753,complete,https://matchhistory.eune.leagueoflegends.com/en/#match-details/EUN1/2528488753/205216886,HC,2020,Summer,0,2020-07-09 12:26:23,1,10.14,1,Blue,top,Kebabák,oe:player:d88c88ab31c26739e99e283523b59e2,Gaming Team Kravaře,oe:team:1d2d98dc13fa45e5f9b24ddce88c9e0,Renekton,Aphelios,Elise,Cassiopeia,Vladimir,Corki,,,,,,1886,1,3,1,5,22,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6999,1.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10803.0,343.6797,0.169781,639.2577,775.8006,13.0,0.4136,8.0,0.2545,3.0,35.0,1.1135,12602,8479.0,269.7455,0.220681,9308.0,,,247.0,235.0,12.0,0.0,4.0,7.8579,3207.0,4726.0,85.0,3528.0,4914.0,77.0,-321.0,-188.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,4945.0,7471.0,136.0,5448.0,7696.0,127.0,-503.0,-225.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,7782.0,10529.0,185.0,7298.0,9396.0,145.0,484.0,1133.0,40.0,1.0,4.0,1.0,3.0,2.0,1.0,9377.0,12662.0,215.0,9046.0,12083.0,192.0,331.0,579.0,23.0,1.0,4.0,1.0,3.0,2.0,2.0
EUN1/2528488753,complete,https://matchhistory.eune.leagueoflegends.com/en/#match-details/EUN1/2528488753/205216886,HC,2020,Summer,0,2020-07-09 12:26:23,1,10.14,2,Blue,jng,Hrošo,oe:player:c78d3fbcf39c7996d08a36ebdb6ffcc,Gaming Team Kravaře,oe:team:1d2d98dc13fa45e5f9b24ddce88c9e0,Trundle,Aphelios,Elise,Cassiopeia,Vladimir,Corki,,,,,,1886,1,2,1,9,22,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6999,1.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,5077.0,161.5164,0.0797907,1030.6575,1079.6182,4.0,0.1273,8.0,0.2545,3.0,33.0,1.0498,10607,6484.0,206.2778,0.168757,6625.0,,,159.0,36.0,123.0,84.0,3.0,5.0583,2762.0,2626.0,46.0,2664.0,2865.0,49.0,98.0,-239.0,-3.0,0.0,1.0,0.0,0.0,0.0,1.0,4275.0,4627.0,88.0,4756.0,4785.0,85.0,-481.0,-158.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,6340.0,6595.0,109.0,6581.0,7246.0,110.0,-241.0,-651.0,-1.0,2.0,4.0,1.0,1.0,2.0,2.0,7683.0,8844.0,130.0,7981.0,9437.0,136.0,-298.0,-593.0,-6.0,2.0,4.0,1.0,1.0,3.0,3.0
EUN1/2528488753,complete,https://matchhistory.eune.leagueoflegends.com/en/#match-details/EUN1/2528488753/205216886,HC,2020,Summer,0,2020-07-09 12:26:23,1,10.14,3,Blue,mid,Ghostík,oe:player:d6fe98830d6073ed57ee8d4601d2151,Gaming Team Kravaře,oe:team:1d2d98dc13fa45e5f9b24ddce88c9e0,Irelia,Aphelios,Elise,Cassiopeia,Vladimir,Corki,,,,,,1886,1,5,4,8,22,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6999,1.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,16215.0,515.8537,0.254837,677.3383,740.5196,12.0,0.3818,6.0,0.1909,5.0,32.0,1.018,13119,8996.0,286.193,0.234137,8975.0,,,247.0,231.0,16.0,16.0,0.0,7.8579,3361.0,4459.0,85.0,3241.0,4170.0,62.0,120.0,289.0,23.0,0.0,2.0,1.0,1.0,0.0,1.0,5408.0,7084.0,135.0,4595.0,5837.0,93.0,813.0,1247.0,42.0,0.0,3.0,1.0,1.0,0.0,3.0,7378.0,9487.0,174.0,6751.0,7991.0,132.0,627.0,1496.0,42.0,1.0,4.0,2.0,2.0,1.0,5.0,8880.0,11343.0,212.0,8084.0,9898.0,164.0,796.0,1445.0,48.0,1.0,4.0,3.0,2.0,1.0,6.0
EUN1/2528488753,complete,https://matchhistory.eune.leagueoflegends.com/en/#match-details/EUN1/2528488753/205216886,HC,2020,Summer,0,2020-07-09 12:26:23,1,10.14,4,Blue,bot,Esko,oe:player:66d040632ba3e1ae771ddced2f6e050,Gaming Team Kravaře,oe:team:1d2d98dc13fa45e5f9b24ddce88c9e0,Syndra,Aphelios,Elise,Cassiopeia,Vladimir,Corki,,,,,,1886,1,10,3,4,22,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6999,1.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,23299.0,741.2195,0.36617,391.1453,306.9353,14.0,0.4454,5.0,0.1591,4.0,34.0,1.0817,14011,9888.0,314.5705,0.257353,11495.0,,,226.0,221.0,5.0,1.0,0.0,7.1898,3399.0,3727.0,79.0,3077.0,3188.0,77.0,322.0,539.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,5642.0,6708.0,121.0,5811.0,5171.0,121.0,-169.0,1537.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,7611.0,8720.0,153.0,7505.0,7392.0,164.0,106.0,1328.0,-11.0,4.0,3.0,2.0,0.0,3.0,0.0,10744.0,11725.0,200.0,9414.0,9163.0,205.0,1330.0,2562.0,-5.0,7.0,3.0,2.0,1.0,3.0,0.0
EUN1/2528488753,complete,https://matchhistory.eune.leagueoflegends.com/en/#match-details/EUN1/2528488753/205216886,HC,2020,Summer,0,2020-07-09 12:26:23,1,10.14,5,Blue,sup,Knedla,oe:player:b4c1ccfbb0c996bdb6369cc6b7163eb,Gaming Team Kravaře,oe:team:1d2d98dc13fa45e5f9b24ddce88c9e0,Bard,Aphelios,Elise,Cassiopeia,Vladimir,Corki,,,,,,1886,1,2,1,12,22,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6999,1.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8235.0,261.983,0.129422,301.018,459.5122,57.0,1.8134,18.0,0.5726,11.0,117.0,3.7222,8698,4575.0,145.5461,0.119072,5775.0,,,47.0,43.0,4.0,0.0,0.0,1.4952,2415.0,2541.0,17.0,1920.0,2118.0,14.0,495.0,423.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,3444.0,3723.0,25.0,3251.0,3305.0,26.0,193.0,418.0,-1.0,1.0,1.0,0.0,1.0,0.0,0.0,4816.0,5750.0,34.0,4425.0,4583.0,32.0,391.0,1167.0,2.0,2.0,3.0,1.0,1.0,3.0,2.0,6152.0,7996.0,40.0,5511.0,7104.0,50.0,641.0,892.0,-10.0,2.0,5.0,1.0,1.0,4.0,2.0
EUN1/2528488753,complete,https://matchhistory.eune.leagueoflegends.com/en/#match-details/EUN1/2528488753/205216886,HC,2020,Summer,0,2020-07-09 12:26:23,1,10.14,6,Red,top,Reedfoo,oe:player:4d30fb6db6e53cf5bdd9e9d33297fa6,GLORE,oe:team:5e86e312935ad545ee215e67adcee9c,Wukong,Yasuo,Volibear,Ezreal,Varus,Ornn,,,,,,1886,0,3,3,3,10,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3181,1.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8959.0,285.0159,0.158887,543.5313,382.5239,11.0,0.3499,5.0,0.1591,2.0,22.0,0.6999,11094,6971.0,221.7709,0.246047,10558.0,,,235.0,207.0,28.0,19.0,0.0,7.4761,3528.0,4914.0,77.0,3207.0,4726.0,85.0,321.0,188.0,-8.0,1.0,0.0,0.0,0.0,0.0,1.0,5448.0,7696.0,127.0,4945.0,7471.0,136.0,503.0,225.0,-9.0,1.0,0.0,0.0,0.0,0.0,1.0,7298.0,9396.0,145.0,7782.0,10529.0,185.0,-484.0,-1133.0,-40.0,3.0,2.0,1.0,1.0,4.0,1.0,9046.0,12083.0,192.0,9377.0,12662.0,215.0,-331.0,-579.0,-23.0,3.0,2.0,2.0,1.0,4.0,1.0
EUN1/2528488753,complete,https://matchhistory.eune.leagueoflegends.com/en/#match-details/EUN1/2528488753/205216886,HC,2020,Summer,0,2020-07-09 12:26:23,1,10.14,7,Red,jng,Rostak,oe:player:0f16ac390bc43949625d1d01b1c5e41,GLORE,oe:team:5e86e312935ad545ee215e67adcee9c,Lee Sin,Yasuo,Volibear,Ezreal,Varus,Ornn,,,,,,1886,0,1,6,3,10,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3181,1.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,7242.0,230.3924,0.128436,754.7402,648.8653,18.0,0.5726,9.0,0.2863,12.0,32.0,1.018,8961,4838.0,153.913,0.170761,8925.0,,,144.0,21.0,123.0,95.0,0.0,4.5811,2664.0,2865.0,49.0,2762.0,2626.0,46.0,-98.0,239.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,4756.0,4785.0,85.0,4275.0,4627.0,88.0,481.0,158.0,-3.0,0.0,0.0,1.0,0.0,1.0,1.0,6581.0,7246.0,110.0,6340.0,6595.0,109.0,241.0,651.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,7981.0,9437.0,136.0,7683.0,8844.0,130.0,298.0,593.0,6.0,1.0,3.0,3.0,2.0,4.0,1.0
EUN1/2528488753,complete,https://matchhistory.eune.leagueoflegends.com/en/#match-details/EUN1/2528488753/205216886,HC,2020,Summer,0,2020-07-09 12:26:23,1,10.14,8,Red,mid,Laudy,oe:player:12365da16cc93a1d0347f1a90c96317,GLORE,oe:team:5e86e312935ad545ee215e67adcee9c,Akali,Yasuo,Volibear,Ezreal,Varus,Ornn,,,,,,1886,0,3,8,1,10,22,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3181,1.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,13228.0,420.8271,0.234597,610.7211,315.3659,11.0,0.3499,7.0,0.2227,2.0,27.0,0.859,10163,6040.0,192.1527,0.213187,9300.0,,,184.0,176.0,8.0,8.0,0.0,5.8537,3241.0,4170.0,62.0,3361.0,4459.0,85.0,-120.0,-289.0,-23.0,1.0,0.0,1.0,0.0,2.0,1.0,4595.0,5837.0,93.0,5408.0,7084.0,135.0,-813.0,-1247.0,-42.0,1.0,0.0,3.0,0.0,3.0,1.0,6751.0,7991.0,132.0,7378.0,9487.0,174.0,-627.0,-1496.0,-42.0,2.0,1.0,5.0,1.0,4.0,2.0,8084.0,9898.0,164.0,8880.0,11343.0,212.0,-796.0,-1445.0,-48.0,2.0,1.0,6.0,1.0,4.0,3.0
EUN1/2528488753,complete,https://matchhistory.eune.leagueoflegends.com/en/#match-details/EUN1/2528488753/205216886,HC,2020,Summer,0,2020-07-09 12:26:23,1,10.14,9,Red,bot,Mauss,oe:player:294728275f5e17a0dbd93d28bde1cc0,GLORE,oe:team:5e86e312935ad545ee215e67adcee9c,Xayah,Yasuo,Volibear,Ezreal,Varus,Ornn,,,,,,1886,0,2,1,3,10,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3181,1.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,16142.0,513.5313,0.286277,320.5196,191.0392,12.0,0.3818,3.0,0.0954,3.0,19.0,0.6045,11915,7792.0,247.8897,0.275025,11625.0,,,242.0,230.0,12.0,12.0,0.0,7.6988,3077.0,3188.0,77.0,3399.0,3727.0,79.0,-322.0,-539.0,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,5811.0,5171.0,121.0,5642.0,6708.0,121.0,169.0,-1537.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,7505.0,7392.0,164.0,7611.0,8720.0,153.0,-106.0,-1328.0,11.0,0.0,3.0,0.0,4.0,3.0,2.0,9414.0,9163.0,205.0,10744.0,11725.0,200.0,-1330.0,-2562.0,5.0,1.0,3.0,0.0,7.0,3.0,2.0
EUN1/2528488753,complete,https://matchhistory.eune.leagueoflegends.com/en/#match-details/EUN1/2528488753/205216886,HC,2020,Summer,0,2020-07-09 12:26:23,1,10.14,10,Red,sup,Skyp,oe:player:626ce4966b5ec76ebc22d57c1fe9c55,GLORE,oe:team:5e86e312935ad545ee215e67adcee9c,Karma,Yasuo,Volibear,Ezreal,Varus,Ornn,,,,,,1886,0,1,4,5,10,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3181,1.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10815.0,344.0615,0.191803,410.5514,332.5133,34.0,1.0817,21.0,0.6681,13.0,62.0,1.9724,6814,2691.0,85.6098,0.0949802,6475.0,,,65.0,65.0,0.0,0.0,0.0,2.0679,1920.0,2118.0,14.0,2415.0,2541.0,17.0,-495.0,-423.0,-3.0,0.0,0.0,0.0,1.0,1.0,0.0,3251.0,3305.0,26.0,3444.0,3723.0,25.0,-193.0,-418.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,4425.0,4583.0,32.0,4816.0,5750.0,34.0,-391.0,-1167.0,-2.0,1.0,3.0,2.0,2.0,3.0,1.0,5511.0,7104.0,50.0,6152.0,7996.0,40.0,-641.0,-892.0,10.0,1.0,4.0,2.0,2.0,5.0,1.0
