gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT01_189329,complete,,HLL,2025,Winter,0,2025-01-21 14:10:53,1,15.01,1,Blue,top,Aytekn,oe:player:dda1e64c8150531b8c60ac8607accb7,Gamespace Mediterranean College Esports,oe:team:4410ecf1b88f1316b6e6c110120c896,K'Sante,Kalista,Karthus,Aurora,Darius,Jayce,,,,,,1779,1,3,2,5,16,8,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5396,0.8094,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,17681,596.3238,0.203628,972.2428,1586.3406,6,0.2024,4,0.1349,2,18,0.6071,11009,7104,239.5953,0.189339,10550,,,194.0,194.0,0,,,6.543,3647.0,4817.0,85.0,3095.0,4339.0,74.0,552.0,478.0,11.0,1.0,2.0,0.0,0.0,1.0,1.0,5392.0,7758.0,133.0,4523.0,6664.0,114.0,869.0,1094.0,19.0,1.0,3.0,0.0,0.0,1.0,2.0,6861.0,10171.0,166.0,6077.0,8970.0,150.0,784.0,1201.0,16.0,1.0,3.0,0.0,0.0,1.0,3.0,9255.0,12403.0,187.0,7732.0,10791.0,170.0,1523.0,1612.0,17.0,2.0,3.0,0.0,0.0,2.0,4.0
LOLTMNT01_189329,complete,,HLL,2025,Winter,0,2025-01-21 14:10:53,1,15.01,2,Blue,jng,Pallet,oe:player:fe78f3efbfa84d8485d589031596c5b,Gamespace Mediterranean College Esports,oe:team:4410ecf1b88f1316b6e6c110120c896,Maokai,Kalista,Karthus,Aurora,Darius,Jayce,,,,,,1779,1,2,2,12,16,8,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5396,0.8094,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,1.0,0.0,14936,503.7437,0.172014,1173.1535,1398.7858,6,0.2024,10,0.3373,5,41,1.3828,10765,6860,231.3659,0.182836,10125,,,168.0,19.0,149,,,5.6661,3326.0,3677.0,73.0,3183.0,3515.0,68.0,143.0,162.0,5.0,0.0,3.0,0.0,0.0,1.0,1.0,5249.0,5608.0,96.0,4550.0,4999.0,98.0,699.0,609.0,-2.0,1.0,7.0,0.0,0.0,1.0,3.0,6916.0,8110.0,132.0,6112.0,7647.0,132.0,804.0,463.0,0.0,1.0,8.0,1.0,0.0,2.0,3.0,8933.0,10323.0,157.0,8283.0,9380.0,146.0,650.0,943.0,11.0,1.0,8.0,1.0,1.0,2.0,4.0
LOLTMNT01_189329,complete,,HLL,2025,Winter,0,2025-01-21 14:10:53,1,15.01,3,Blue,mid,FIERCE,oe:player:df72759c8339d15228c11df5bdc62bb,Gamespace Mediterranean College Esports,oe:team:4410ecf1b88f1316b6e6c110120c896,Viktor,Kalista,Karthus,Aurora,Darius,Jayce,,,,,,1779,1,6,3,6,16,8,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5396,0.8094,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,1.0,0.0,20876,704.0809,0.240424,651.5346,561.2479,13,0.4384,0,0.0,3,23,0.7757,12808,8903,300.2698,0.237286,12775,,,259.0,249.0,10,,,8.7352,3533.0,4364.0,81.0,3222.0,4704.0,87.0,311.0,-340.0,-6.0,1.0,2.0,1.0,0.0,0.0,0.0,5595.0,7462.0,126.0,4903.0,7445.0,140.0,692.0,17.0,-14.0,2.0,5.0,1.0,0.0,0.0,1.0,8179.0,11445.0,176.0,6781.0,10132.0,192.0,1398.0,1313.0,-16.0,4.0,5.0,1.0,0.0,1.0,1.0,10156.0,13895.0,220.0,10302.0,13616.0,259.0,-146.0,279.0,-39.0,4.0,5.0,2.0,0.0,1.0,1.0
LOLTMNT01_189329,complete,,HLL,2025,Winter,0,2025-01-21 14:10:53,1,15.01,4,Blue,bot,Lindgarde,oe:player:371dfc158ccca5d527f0b5b11743e20,Gamespace Mediterranean College Esports,oe:team:4410ecf1b88f1316b6e6c110120c896,Miss Fortune,Kalista,Karthus,Aurora,Darius,Jayce,,,,,,1779,1,4,0,9,16,8,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5396,0.8094,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,2.0,0.0,24338,820.8432,0.280295,421.2479,639.4604,12,0.4047,5,0.1686,4,27,0.9106,14086,10181,343.3727,0.271346,12750,,,288.0,259.0,29,,,9.7133,3667.0,3094.0,84.0,3217.0,2924.0,71.0,450.0,170.0,13.0,1.0,2.0,0.0,1.0,0.0,0.0,6482.0,5519.0,138.0,4960.0,5069.0,118.0,1522.0,450.0,20.0,3.0,5.0,0.0,1.0,0.0,1.0,8815.0,8687.0,197.0,7415.0,7621.0,173.0,1400.0,1066.0,24.0,3.0,6.0,0.0,2.0,0.0,1.0,11712.0,10802.0,246.0,9575.0,10306.0,225.0,2137.0,496.0,21.0,3.0,7.0,0.0,2.0,0.0,1.0
LOLTMNT01_189329,complete,,HLL,2025,Winter,0,2025-01-21 14:10:53,1,15.01,5,Blue,sup,Centu,oe:player:0ff3d05047e5a7d2838bd6cb11fe7a1,Gamespace Mediterranean College Esports,oe:team:4410ecf1b88f1316b6e6c110120c896,Seraphine,Kalista,Karthus,Aurora,Darius,Jayce,,,,,,1779,1,1,1,13,16,8,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5396,0.8094,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,8999,303.5076,0.103639,561.8887,349.747,38,1.2816,1,0.0337,10,69,2.3272,8377,4472,150.8263,0.119192,7450,,,17.0,17.0,0,,,0.5734,2261.0,2617.0,8.0,2091.0,1940.0,13.0,170.0,677.0,-5.0,0.0,3.0,0.0,0.0,1.0,1.0,4188.0,4694.0,13.0,3094.0,2747.0,20.0,1094.0,1947.0,-7.0,1.0,7.0,0.0,0.0,1.0,1.0,5311.0,6254.0,15.0,4228.0,4530.0,26.0,1083.0,1724.0,-11.0,1.0,8.0,0.0,0.0,2.0,2.0,7005.0,7494.0,16.0,5686.0,7587.0,35.0,1319.0,-93.0,-19.0,1.0,9.0,0.0,0.0,3.0,2.0
LOLTMNT01_189329,complete,,HLL,2025,Winter,0,2025-01-21 14:10:53,1,15.01,6,Red,top,Petoska,oe:player:bb5c7206e3649115d113a7618b0abe6,Team Refuse,oe:team:d932b52fb3a9d5fad174728a969ee14,Ambessa,Hwei,Skarner,Varus,Karma,Nautilus,,,,,,1779,0,1,6,4,8,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2698,0.8094,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,15961,538.3137,0.188771,865.4637,904.2833,8,0.2698,2,0.0675,0,14,0.4722,10147,6242,210.5228,0.19237,9900,,,205.0,205.0,0,,,6.914,3095.0,4339.0,74.0,3647.0,4817.0,85.0,-552.0,-478.0,-11.0,0.0,1.0,1.0,1.0,2.0,0.0,4523.0,6664.0,114.0,5392.0,7758.0,133.0,-869.0,-1094.0,-19.0,0.0,1.0,2.0,1.0,3.0,0.0,6077.0,8970.0,150.0,6861.0,10171.0,166.0,-784.0,-1201.0,-16.0,0.0,1.0,3.0,1.0,3.0,0.0,7732.0,10791.0,170.0,9255.0,12403.0,187.0,-1523.0,-1612.0,-17.0,0.0,2.0,4.0,2.0,3.0,0.0
LOLTMNT01_189329,complete,,HLL,2025,Winter,0,2025-01-21 14:10:53,1,15.01,7,Red,jng,Nasut,oe:player:9c44293e765f6adb67f24410977ef10,Team Refuse,oe:team:d932b52fb3a9d5fad174728a969ee14,Wukong,Hwei,Skarner,Varus,Karma,Nautilus,,,,,,1779,0,1,6,6,8,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2698,0.8094,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,0.0,1.0,12975,437.6054,0.153456,1439.3929,1159.7639,3,0.1012,8,0.2698,1,28,0.9444,9734,5829,196.5936,0.179642,9458,,,160.0,20.0,140,,,5.3963,3183.0,3515.0,68.0,3326.0,3677.0,73.0,-143.0,-162.0,-5.0,0.0,1.0,1.0,0.0,3.0,0.0,4550.0,4999.0,98.0,5249.0,5608.0,96.0,-699.0,-609.0,2.0,0.0,1.0,3.0,1.0,7.0,0.0,6112.0,7647.0,132.0,6916.0,8110.0,132.0,-804.0,-463.0,0.0,0.0,2.0,3.0,1.0,8.0,1.0,8283.0,9380.0,146.0,8933.0,10323.0,157.0,-650.0,-943.0,-11.0,1.0,2.0,4.0,1.0,8.0,1.0
LOLTMNT01_189329,complete,,HLL,2025,Winter,0,2025-01-21 14:10:53,1,15.01,8,Red,mid,Ivok,oe:player:b3930e087fe235378c3be105e7f5972,Team Refuse,oe:team:d932b52fb3a9d5fad174728a969ee14,Kog'Maw,Hwei,Skarner,Varus,Karma,Nautilus,,,,,,1779,0,3,1,3,8,17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2698,0.8094,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,1.0,31495,1062.226,0.372493,344.2159,186.1046,11,0.371,3,0.1012,1,20,0.6745,13782,9877,333.1197,0.304391,13475,,,309.0,306.0,3,,,10.4216,3222.0,4704.0,87.0,3533.0,4364.0,81.0,-311.0,340.0,6.0,0.0,0.0,0.0,1.0,2.0,1.0,4903.0,7445.0,140.0,5595.0,7462.0,126.0,-692.0,-17.0,14.0,0.0,0.0,1.0,2.0,5.0,1.0,6781.0,10132.0,192.0,8179.0,11445.0,176.0,-1398.0,-1313.0,16.0,0.0,1.0,1.0,4.0,5.0,1.0,10302.0,13616.0,259.0,10156.0,13895.0,220.0,146.0,-279.0,39.0,0.0,1.0,1.0,4.0,5.0,2.0
LOLTMNT01_189329,complete,,HLL,2025,Winter,0,2025-01-21 14:10:53,1,15.01,9,Red,bot,CHECKFIDER,oe:player:28c288f70870e8d85a0db92518206aa,Team Refuse,oe:team:d932b52fb3a9d5fad174728a969ee14,Ezreal,Hwei,Skarner,Varus,Karma,Nautilus,,,,,,1779,0,2,2,5,8,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2698,0.8094,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,2.0,19588,660.6408,0.231668,515.312,342.7319,8,0.2698,2,0.0675,0,12,0.4047,11276,7371,248.6003,0.227162,10963,,,251.0,247.0,4,,,8.4654,3217.0,2924.0,71.0,3667.0,3094.0,84.0,-450.0,-170.0,-13.0,1.0,0.0,0.0,1.0,2.0,0.0,4960.0,5069.0,118.0,6482.0,5519.0,138.0,-1522.0,-450.0,-20.0,1.0,0.0,1.0,3.0,5.0,0.0,7415.0,7621.0,173.0,8815.0,8687.0,197.0,-1400.0,-1066.0,-24.0,2.0,0.0,1.0,3.0,6.0,0.0,9575.0,10306.0,225.0,11712.0,10802.0,246.0,-2137.0,-496.0,-21.0,2.0,0.0,1.0,3.0,7.0,0.0
LOLTMNT01_189329,complete,,HLL,2025,Winter,0,2025-01-21 14:10:53,1,15.01,10,Red,sup,Leo D Aras,oe:player:fc2f901050e822b97a11696ddb2e67f,Team Refuse,oe:team:d932b52fb3a9d5fad174728a969ee14,Braum,Hwei,Skarner,Varus,Karma,Nautilus,,,,,,1779,0,1,2,6,8,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2698,0.8094,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,4533,152.8836,0.053612,831.6695,809.3761,43,1.4503,7,0.2361,10,81,2.7319,7034,3129,105.5312,0.096435,6500,,,36.0,36.0,0,,,1.2142,2091.0,1940.0,13.0,2261.0,2617.0,8.0,-170.0,-677.0,5.0,0.0,1.0,1.0,0.0,3.0,0.0,3094.0,2747.0,20.0,4188.0,4694.0,13.0,-1094.0,-1947.0,7.0,0.0,1.0,1.0,1.0,7.0,0.0,4228.0,4530.0,26.0,5311.0,6254.0,15.0,-1083.0,-1724.0,11.0,0.0,2.0,2.0,1.0,8.0,0.0,5686.0,7587.0,35.0,7005.0,7494.0,16.0,-1319.0,93.0,19.0,0.0,3.0,2.0,1.0,9.0,0.0
