gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_215656,complete,,HM,2025,Spring,0,2025-04-08 14:21:11,1,15.07,1,Blue,top,Addusto,oe:player:a322887f1f9792197e30825f1a6571d,BRUTE,oe:team:ddb6aa775eebeffd5cc41ba5c35c6a1,Gwen,Skarner,Naafiri,Fiora,Syndra,Orianna,,,,,,2096,1,3,4,7,27,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7729,1.0592,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,23930,685.0191,0.249206,869.7137,726.6985,7,0.2004,3,0.0859,0,19,0.5439,14180,9629,275.6393,0.201174,13510,,,288.0,272.0,16,,,8.2443,2979.0,4393.0,73.0,3554.0,4690.0,80.0,-575.0,-297.0,-7.0,0.0,0.0,1.0,0.0,1.0,0.0,5141.0,6015.0,99.0,6308.0,6582.0,112.0,-1167.0,-567.0,-13.0,0.0,1.0,2.0,1.0,3.0,1.0,6947.0,9058.0,141.0,7785.0,8787.0,148.0,-838.0,271.0,-7.0,1.0,2.0,3.0,1.0,4.0,2.0,9297.0,13220.0,194.0,9574.0,11691.0,189.0,-277.0,1529.0,5.0,2.0,5.0,3.0,1.0,5.0,3.0
LOLTMNT03_215656,complete,,HM,2025,Spring,0,2025-04-08 14:21:11,1,15.07,2,Blue,jng,Fallen,oe:player:a2343d04ce4dafae3aa458b006ec880,BRUTE,oe:team:ddb6aa775eebeffd5cc41ba5c35c6a1,Sejuani,Skarner,Naafiri,Fiora,Syndra,Orianna,,,,,,2096,1,5,1,22,27,10,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.7729,1.0592,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,1.0,0.0,25025,716.3645,0.260609,1101.2977,1259.5706,14,0.4008,9,0.2576,12,51,1.4599,13252,8701,249.0744,0.181785,11900,,,174.0,26.0,148,,,4.9809,4223.0,3836.0,74.0,3200.0,3537.0,63.0,1023.0,299.0,11.0,3.0,1.0,0.0,1.0,0.0,1.0,6298.0,5711.0,105.0,4979.0,5601.0,94.0,1319.0,110.0,11.0,3.0,6.0,0.0,2.0,0.0,2.0,7975.0,8121.0,129.0,6400.0,7650.0,118.0,1575.0,471.0,11.0,3.0,9.0,0.0,2.0,2.0,2.0,9139.0,9751.0,140.0,7639.0,9753.0,136.0,1500.0,-2.0,4.0,3.0,15.0,1.0,2.0,4.0,3.0
LOLTMNT03_215656,complete,,HM,2025,Spring,0,2025-04-08 14:21:11,1,15.07,3,Blue,mid,Tibor,oe:player:eaee5a7ad7c9bc645114d51d039f2fb,BRUTE,oe:team:ddb6aa775eebeffd5cc41ba5c35c6a1,Yone,Skarner,Naafiri,Fiora,Syndra,Orianna,,,,,,2096,1,4,3,9,27,10,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.7729,1.0592,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,0.0,0.0,15620,447.1374,0.162666,650.6966,713.5592,18,0.5153,8,0.229,6,50,1.4313,14899,10348,296.2214,0.216197,12100,,,314.0,261.0,53,,,8.9885,3610.0,4775.0,82.0,3143.0,4360.0,79.0,467.0,415.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,5576.0,7959.0,134.0,4751.0,6854.0,121.0,825.0,1105.0,13.0,0.0,4.0,1.0,0.0,2.0,1.0,7817.0,10712.0,181.0,6723.0,9298.0,163.0,1094.0,1414.0,18.0,1.0,5.0,1.0,1.0,3.0,2.0,9204.0,12832.0,204.0,8263.0,11988.0,200.0,941.0,844.0,4.0,2.0,6.0,2.0,1.0,4.0,3.0
LOLTMNT03_215656,complete,,HM,2025,Spring,0,2025-04-08 14:21:11,1,15.07,4,Blue,bot,Esko,oe:player:66d040632ba3e1ae771ddced2f6e050,BRUTE,oe:team:ddb6aa775eebeffd5cc41ba5c35c6a1,Xayah,Skarner,Naafiri,Fiora,Syndra,Orianna,,,,,,2096,1,12,0,7,27,10,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7729,1.0592,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,1.0,0.0,21903,626.9943,0.228097,408.5496,252.1088,16,0.458,7,0.2004,3,38,1.0878,17641,13090,374.7137,0.273487,15975,,,324.0,286.0,38,,,9.2748,3416.0,3463.0,78.0,2859.0,3149.0,73.0,557.0,314.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,6596.0,5954.0,119.0,4881.0,4930.0,113.0,1715.0,1024.0,6.0,6.0,1.0,0.0,1.0,1.0,1.0,8700.0,8619.0,162.0,7467.0,8232.0,183.0,1233.0,387.0,-21.0,7.0,3.0,0.0,2.0,1.0,1.0,11469.0,11273.0,198.0,10157.0,11124.0,215.0,1312.0,149.0,-17.0,10.0,5.0,0.0,4.0,1.0,2.0
LOLTMNT03_215656,complete,,HM,2025,Spring,0,2025-04-08 14:21:11,1,15.07,5,Blue,sup,Mita,oe:player:48b88375b88ea3c0d85739b5ae8cc3e,BRUTE,oe:team:ddb6aa775eebeffd5cc41ba5c35c6a1,Rakan,Skarner,Naafiri,Fiora,Syndra,Orianna,,,,,,2096,1,3,2,24,27,10,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.7729,1.0592,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,9547,273.292,0.099422,380.9256,633.4637,49,1.4027,13,0.3721,12,114,3.2634,10647,6096,174.5038,0.127358,9050,,,29.0,29.0,0,,,0.8302,2438.0,3118.0,12.0,2116.0,2185.0,8.0,322.0,933.0,4.0,0.0,4.0,0.0,0.0,0.0,2.0,4281.0,4211.0,15.0,3429.0,3805.0,16.0,852.0,406.0,-1.0,0.0,9.0,1.0,0.0,3.0,4.0,5520.0,5237.0,20.0,4425.0,5332.0,22.0,1095.0,-95.0,-2.0,0.0,12.0,2.0,0.0,4.0,5.0,6866.0,7054.0,22.0,5452.0,7092.0,23.0,1414.0,-38.0,-1.0,1.0,17.0,2.0,0.0,6.0,7.0
LOLTMNT03_215656,complete,,HM,2025,Spring,0,2025-04-08 14:21:11,1,15.07,6,Red,top,pr1me,oe:player:f3f1edfba7200c65b417d359a6f9c82,GLORE,oe:team:5e86e312935ad545ee215e67adcee9c,Jax,Taliyah,Jayce,Corki,Varus,Braum,,,,,,2096,0,1,5,6,10,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2863,1.0592,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,21779,623.4447,0.263965,958.4542,823.8263,15,0.4294,2,0.0573,2,24,0.687,13208,8657,247.8149,0.241245,12633,,,266.0,266.0,0,,,7.6145,3554.0,4690.0,80.0,2979.0,4393.0,73.0,575.0,297.0,7.0,0.0,1.0,0.0,0.0,0.0,1.0,6308.0,6582.0,112.0,5141.0,6015.0,99.0,1167.0,567.0,13.0,1.0,3.0,1.0,0.0,1.0,2.0,7785.0,8787.0,148.0,6947.0,9058.0,141.0,838.0,-271.0,7.0,1.0,4.0,2.0,1.0,2.0,3.0,9574.0,11691.0,189.0,9297.0,13220.0,194.0,277.0,-1529.0,-5.0,1.0,5.0,3.0,2.0,5.0,3.0
LOLTMNT03_215656,complete,,HM,2025,Spring,0,2025-04-08 14:21:11,1,15.07,7,Red,jng,FoobaR,oe:player:9203016d817c256b8ad3dbbcf2214fa,GLORE,oe:team:5e86e312935ad545ee215e67adcee9c,Pantheon,Taliyah,Jayce,Corki,Varus,Braum,,,,,,2096,0,2,7,5,10,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2863,1.0592,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,0.0,1.0,11038,315.9733,0.133783,1188.1202,850.5057,3,0.0859,10,0.2863,2,28,0.8015,9743,5192,148.626,0.144681,9600,,,151.0,19.0,132,,,4.3225,3200.0,3537.0,63.0,4223.0,3836.0,74.0,-1023.0,-299.0,-11.0,1.0,0.0,1.0,3.0,1.0,0.0,4979.0,5601.0,94.0,6298.0,5711.0,105.0,-1319.0,-110.0,-11.0,2.0,0.0,2.0,3.0,6.0,0.0,6400.0,7650.0,118.0,7975.0,8121.0,129.0,-1575.0,-471.0,-11.0,2.0,2.0,2.0,3.0,9.0,0.0,7639.0,9753.0,136.0,9139.0,9751.0,140.0,-1500.0,2.0,-4.0,2.0,4.0,3.0,3.0,15.0,1.0
LOLTMNT03_215656,complete,,HM,2025,Spring,0,2025-04-08 14:21:11,1,15.07,8,Red,mid,SeMike,oe:player:6425cdfcdd02de2de34b914e20c41a7,GLORE,oe:team:5e86e312935ad545ee215e67adcee9c,Azir,Taliyah,Jayce,Corki,Varus,Braum,,,,,,2096,0,1,4,4,10,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2863,1.0592,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,0.0,0.0,24253,694.2653,0.293951,593.187,422.8053,14,0.4008,3,0.0859,1,23,0.6584,12883,8332,238.5115,0.232188,13175,,,308.0,293.0,15,,,8.8168,3143.0,4360.0,79.0,3610.0,4775.0,82.0,-467.0,-415.0,-3.0,0.0,0.0,1.0,0.0,2.0,0.0,4751.0,6854.0,121.0,5576.0,7959.0,134.0,-825.0,-1105.0,-13.0,0.0,2.0,1.0,0.0,4.0,1.0,6723.0,9298.0,163.0,7817.0,10712.0,181.0,-1094.0,-1414.0,-18.0,1.0,3.0,2.0,1.0,5.0,1.0,8263.0,11988.0,200.0,9204.0,12832.0,204.0,-941.0,-844.0,-4.0,1.0,4.0,3.0,2.0,6.0,2.0
LOLTMNT03_215656,complete,,HM,2025,Spring,0,2025-04-08 14:21:11,1,15.07,9,Red,bot,Neramin,oe:player:c032df73970ffb2f2b585d912f6b20d,GLORE,oe:team:5e86e312935ad545ee215e67adcee9c,Kai'Sa,Taliyah,Jayce,Corki,Varus,Braum,,,,,,2096,0,6,3,1,10,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2863,1.0592,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,1.0,17779,508.9408,0.215485,387.395,329.313,5,0.1431,10,0.2863,0,20,0.5725,15258,10707,306.4981,0.298376,14675,,,313.0,295.0,18,,,8.9599,2859.0,3149.0,73.0,3416.0,3463.0,78.0,-557.0,-314.0,-5.0,0.0,0.0,0.0,1.0,1.0,0.0,4881.0,4930.0,113.0,6596.0,5954.0,119.0,-1715.0,-1024.0,-6.0,1.0,1.0,1.0,6.0,1.0,0.0,7467.0,8232.0,183.0,8700.0,8619.0,162.0,-1233.0,-387.0,21.0,2.0,1.0,1.0,7.0,3.0,0.0,10157.0,11124.0,215.0,11469.0,11273.0,198.0,-1312.0,-149.0,17.0,4.0,1.0,2.0,10.0,5.0,0.0
LOLTMNT03_215656,complete,,HM,2025,Spring,0,2025-04-08 14:21:11,1,15.07,10,Red,sup,Sparz,oe:player:f216690ac90e0a1c2097a616cb4453e,GLORE,oe:team:5e86e312935ad545ee215e67adcee9c,Rell,Taliyah,Jayce,Corki,Varus,Braum,,,,,,2096,0,0,8,7,10,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2863,1.0592,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,7658,219.2176,0.0928164,575.9256,826.5744,70,2.0038,11,0.3149,15,126,3.6069,7548,2997,85.792,0.0835096,7325,,,28.0,28.0,0,,,0.8015,2116.0,2185.0,8.0,2438.0,3118.0,12.0,-322.0,-933.0,-4.0,0.0,0.0,2.0,0.0,4.0,0.0,3429.0,3805.0,16.0,4281.0,4211.0,15.0,-852.0,-406.0,1.0,0.0,3.0,4.0,0.0,9.0,1.0,4425.0,5332.0,22.0,5520.0,5237.0,20.0,-1095.0,95.0,2.0,0.0,4.0,5.0,0.0,12.0,2.0,5452.0,7092.0,23.0,6866.0,7054.0,22.0,-1414.0,38.0,1.0,0.0,6.0,7.0,1.0,17.0,2.0
