gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT05/1870120,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1870120?gameHash=f2e9e56c4f28944c,HS,2021,,0,2021-03-09 16:47:41,1.0,11.05,1,Blue,top,ManoloGap,oe:player:e6ce7283fdcbb1efe1b120228a44fd3,FekyX eSports,,Urgot,Senna,Udyr,Olaf,Gnar,Volibear,,,,,,2224,0,5,2,4,13,17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3507,0.8094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,20530.0,553.8669,0.248511,571.1601,579.3345,9.0,0.2428,18.0,0.4856,7.0,52.0,1.4029,14478,9665.0,260.7464,0.255408,13775.0,,,253.0,234.0,19.0,7.0,0.0,6.8255,2963.0,4127.0,71.0,3021.0,4553.0,77.0,-58.0,-426.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,5221.0,6444.0,117.0,4672.0,7094.0,114.0,549.0,-650.0,3.0,1.0,0.0,0.0,0.0,2.0,1.0,7338.0,8785.0,156.0,6365.0,9940.0,161.0,973.0,-1155.0,-5.0,1.0,1.0,0.0,0.0,2.0,1.0,9848.0,11023.0,187.0,7897.0,12227.0,196.0,1951.0,-1204.0,-9.0,3.0,1.0,0.0,0.0,4.0,1.0
ESPORTSTMNT05/1870120,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1870120?gameHash=f2e9e56c4f28944c,HS,2021,,0,2021-03-09 16:47:41,1.0,11.05,2,Blue,jng,Balyy,oe:player:a44ae9bfcb722ad18088def7d750319,FekyX eSports,,Lillia,Senna,Udyr,Olaf,Gnar,Volibear,,,,,,2224,0,2,6,6,13,17,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3507,0.8094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,15417.0,415.9263,0.186619,1006.3219,591.286,3.0,0.0809,5.0,0.1349,2.0,20.0,0.5396,12811,7998.0,215.7734,0.211357,13735.0,,,260.0,51.0,209.0,153.0,7.0,7.0144,3701.0,4263.0,78.0,3150.0,3369.0,70.0,551.0,894.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,5517.0,6514.0,116.0,4377.0,4831.0,95.0,1140.0,1683.0,21.0,1.0,2.0,1.0,0.0,1.0,1.0,7037.0,8521.0,153.0,6049.0,7272.0,132.0,988.0,1249.0,21.0,1.0,2.0,2.0,0.0,3.0,1.0,8915.0,11611.0,200.0,7485.0,9140.0,164.0,1430.0,2471.0,36.0,1.0,3.0,2.0,0.0,5.0,2.0
ESPORTSTMNT05/1870120,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1870120?gameHash=f2e9e56c4f28944c,HS,2021,,0,2021-03-09 16:47:41,1.0,11.05,3,Blue,mid,Alex Taylør,oe:player:2503bad94c2f814df466219d15436a4,FekyX eSports,,Ahri,Senna,Udyr,Olaf,Gnar,Volibear,,,,,,2224,0,4,3,8,13,17,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3507,0.8094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,21002.0,566.6007,0.254225,492.8957,369.9281,21.0,0.5665,9.0,0.2428,9.0,44.0,1.1871,13589,8776.0,236.7626,0.231916,13375.0,,,293.0,281.0,12.0,5.0,0.0,7.9047,3289.0,4456.0,82.0,3020.0,4589.0,80.0,269.0,-133.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,5069.0,6816.0,121.0,5015.0,7274.0,132.0,54.0,-458.0,-11.0,1.0,2.0,1.0,1.0,1.0,1.0,7245.0,9582.0,176.0,7049.0,10295.0,180.0,196.0,-713.0,-4.0,2.0,2.0,1.0,2.0,1.0,1.0,9004.0,12048.0,220.0,9455.0,13436.0,245.0,-451.0,-1388.0,-25.0,2.0,4.0,1.0,3.0,2.0,2.0
ESPORTSTMNT05/1870120,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1870120?gameHash=f2e9e56c4f28944c,HS,2021,,0,2021-03-09 16:47:41,1.0,11.05,4,Blue,bot,Izeman,oe:player:d769a1d05bb0ff260156a38f1f168bf,FekyX eSports,,Jhin,Senna,Udyr,Olaf,Gnar,Volibear,,,,,,2224,0,2,2,8,13,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3507,0.8094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,21684.0,585.0,0.26248,414.2536,223.3004,12.0,0.3237,6.0,0.1619,3.0,31.0,0.8363,13033,8220.0,221.7626,0.217224,12325.0,,,281.0,263.0,18.0,16.0,0.0,7.5809,3240.0,3715.0,87.0,3333.0,2942.0,90.0,-93.0,773.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,4927.0,5917.0,135.0,5576.0,5361.0,143.0,-649.0,556.0,-8.0,0.0,0.0,0.0,1.0,0.0,0.0,7007.0,8997.0,193.0,8047.0,7676.0,193.0,-1040.0,1321.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,8516.0,10990.0,225.0,10366.0,10317.0,242.0,-1850.0,673.0,-17.0,0.0,3.0,0.0,3.0,0.0,0.0
ESPORTSTMNT05/1870120,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1870120?gameHash=f2e9e56c4f28944c,HS,2021,,0,2021-03-09 16:47:41,1.0,11.05,5,Blue,sup,FKX ZeroPokel,,FekyX eSports,,Nautilus,Senna,Udyr,Olaf,Gnar,Volibear,,,,,,2224,0,0,4,7,13,17,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3507,0.8094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3979.0,107.3471,0.0481649,378.3723,522.2482,69.0,1.8615,22.0,0.5935,24.0,111.0,2.9946,7995,3182.0,85.8453,0.0840954,7500.0,,,51.0,51.0,0.0,0.0,0.0,1.3759,2181.0,2291.0,18.0,2137.0,2851.0,14.0,44.0,-560.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,3370.0,3929.0,31.0,3296.0,4687.0,23.0,74.0,-758.0,8.0,0.0,2.0,0.0,0.0,2.0,0.0,4384.0,5273.0,38.0,4233.0,5729.0,25.0,151.0,-456.0,13.0,0.0,2.0,1.0,0.0,4.0,1.0,5299.0,6353.0,44.0,5114.0,6524.0,26.0,185.0,-171.0,18.0,0.0,3.0,3.0,0.0,6.0,1.0
ESPORTSTMNT05/1870120,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1870120?gameHash=f2e9e56c4f28944c,HS,2021,,0,2021-03-09 16:47:41,1.0,11.05,6,Red,top,Togep1,oe:player:5e382c60fe2eda110513bdfc13e95e2,Quimera Esports,,Sion,Seraphine,Hecarim,Gragas,Morgana,Thresh,,,,,,2224,1,0,5,6,17,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4586,0.8094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,13526.0,364.9101,0.193624,980.5845,1532.9406,16.0,0.4317,4.0,0.1079,10.0,33.0,0.8903,11054,6241.0,168.3723,0.149445,10250.0,,,228.0,224.0,4.0,2.0,0.0,6.1511,3021.0,4553.0,77.0,2963.0,4127.0,71.0,58.0,426.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4672.0,7094.0,114.0,5221.0,6444.0,117.0,-549.0,650.0,-3.0,0.0,2.0,1.0,1.0,0.0,0.0,6365.0,9940.0,161.0,7338.0,8785.0,156.0,-973.0,1155.0,5.0,0.0,2.0,1.0,1.0,1.0,0.0,7897.0,12227.0,196.0,9848.0,11023.0,187.0,-1951.0,1204.0,9.0,0.0,4.0,1.0,3.0,1.0,0.0
ESPORTSTMNT05/1870120,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1870120?gameHash=f2e9e56c4f28944c,HS,2021,,0,2021-03-09 16:47:41,1.0,11.05,7,Red,jng,Jorx,oe:player:2d8d532cbcd9a4122f3aa4f5c231661,Quimera Esports,,Skarner,Seraphine,Hecarim,Gragas,Morgana,Thresh,,,,,,2224,1,0,3,9,17,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4586,0.8094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5992.0,161.6547,0.0857752,772.3112,1344.3615,22.0,0.5935,9.0,0.2428,8.0,44.0,1.1871,11190,6377.0,172.0414,0.152701,10600.0,,,214.0,28.0,186.0,136.0,8.0,5.7734,3150.0,3369.0,70.0,3701.0,4263.0,78.0,-551.0,-894.0,-8.0,0.0,0.0,0.0,1.0,0.0,0.0,4377.0,4831.0,95.0,5517.0,6514.0,116.0,-1140.0,-1683.0,-21.0,0.0,1.0,1.0,1.0,2.0,1.0,6049.0,7272.0,132.0,7037.0,8521.0,153.0,-988.0,-1249.0,-21.0,0.0,3.0,1.0,1.0,2.0,2.0,7485.0,9140.0,164.0,8915.0,11611.0,200.0,-1430.0,-2471.0,-36.0,0.0,5.0,2.0,1.0,3.0,2.0
ESPORTSTMNT05/1870120,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1870120?gameHash=f2e9e56c4f28944c,HS,2021,,0,2021-03-09 16:47:41,1.0,11.05,8,Red,mid,FeeNiixZ,oe:player:2ce40d4fbbf0ead33ca1614540f4479,Quimera Esports,,Syndra,Seraphine,Hecarim,Gragas,Morgana,Thresh,,,,,,2224,1,6,3,5,17,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4586,0.8094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,24823.0,669.6853,0.35534,369.3345,208.6241,17.0,0.4586,9.0,0.2428,8.0,45.0,1.214,15123,10310.0,278.1475,0.246873,14200.0,,,334.0,302.0,32.0,28.0,3.0,9.0108,3020.0,4589.0,80.0,3289.0,4456.0,82.0,-269.0,133.0,-2.0,0.0,0.0,1.0,0.0,1.0,0.0,5015.0,7274.0,132.0,5069.0,6816.0,121.0,-54.0,458.0,11.0,1.0,1.0,1.0,1.0,2.0,1.0,7049.0,10295.0,180.0,7245.0,9582.0,176.0,-196.0,713.0,4.0,2.0,1.0,1.0,2.0,2.0,1.0,9455.0,13436.0,245.0,9004.0,12048.0,220.0,451.0,1388.0,25.0,3.0,2.0,2.0,2.0,4.0,1.0
ESPORTSTMNT05/1870120,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1870120?gameHash=f2e9e56c4f28944c,HS,2021,,0,2021-03-09 16:47:41,1.0,11.05,9,Red,bot,Ace,oe:player:73933848061d300bbe7293d9b38a2d4,Quimera Esports,,Kai'Sa,Seraphine,Hecarim,Gragas,Morgana,Thresh,,,,,,2224,1,11,0,1,17,13,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4586,0.8094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,23382.0,630.8094,0.334712,432.3291,343.5432,13.0,0.3507,12.0,0.3237,3.0,57.0,1.5378,20581,15768.0,425.3957,0.377559,17325.0,,,394.0,348.0,46.0,21.0,10.0,10.6295,3333.0,2942.0,90.0,3240.0,3715.0,87.0,93.0,-773.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5576.0,5361.0,143.0,4927.0,5917.0,135.0,649.0,-556.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,8047.0,7676.0,193.0,7007.0,8997.0,193.0,1040.0,-1321.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,10366.0,10317.0,242.0,8516.0,10990.0,225.0,1850.0,-673.0,17.0,3.0,0.0,0.0,0.0,3.0,0.0
ESPORTSTMNT05/1870120,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1870120?gameHash=f2e9e56c4f28944c,HS,2021,,0,2021-03-09 16:47:41,1.0,11.05,10,Red,sup,QMR Willy Fanboy,,Quimera Esports,,Taric,Seraphine,Hecarim,Gragas,Morgana,Thresh,,,,,,2224,1,0,2,10,17,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4586,0.8094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2134.0,57.5719,0.0305481,399.1996,491.277,43.0,1.1601,5.0,0.1349,9.0,73.0,1.9694,7879,3066.0,82.7158,0.0734227,7275.0,,,31.0,31.0,0.0,0.0,0.0,0.8363,2137.0,2851.0,14.0,2181.0,2291.0,18.0,-44.0,560.0,-4.0,0.0,0.0,0.0,0.0,1.0,0.0,3296.0,4687.0,23.0,3370.0,3929.0,31.0,-74.0,758.0,-8.0,0.0,2.0,0.0,0.0,2.0,0.0,4233.0,5729.0,25.0,4384.0,5273.0,38.0,-151.0,456.0,-13.0,0.0,4.0,1.0,0.0,2.0,1.0,5114.0,6524.0,26.0,5299.0,6353.0,44.0,-185.0,171.0,-18.0,0.0,6.0,1.0,0.0,3.0,3.0
