gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT02_2343360,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/2343360?gameHash=8cd413f7f796818e,HW,2021,,0,2021-11-11 16:50:43,1.0,11.21,1,Blue,top,Formes,oe:player:5c3e6f867a0a7dcaa96cdb85fcec47f,Gifted Gaming,oe:team:9d7d942898d9cacc967e8e96f21f17c,Yasuo,Graves,Irelia,Thresh,Xin Zhao,Talon,,,,,,1541,0,0,3,2,4,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1557,0.623,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,7261.0,282.7125,0.187569,454.6528,547.8261,8.0,0.3115,6.0,0.2336,4.0,23.0,0.8955,8861,5442.0,211.8884,0.255101,8550.0,,,217.0,197.0,20.0,,,8.4491,3078.0,4563.0,78.0,3666.0,4309.0,83.0,-588.0,254.0,-5.0,0.0,1.0,1.0,1.0,0.0,1.0,5397.0,7147.0,131.0,5439.0,7063.0,133.0,-42.0,84.0,-2.0,0.0,2.0,1.0,1.0,0.0,2.0,7219.0,9833.0,183.0,7573.0,10346.0,195.0,-354.0,-513.0,-12.0,0.0,2.0,1.0,1.0,0.0,2.0,8763.0,11863.0,216.0,9726.0,14120.0,236.0,-963.0,-2257.0,-20.0,0.0,2.0,3.0,1.0,4.0,2.0
ESPORTSTMNT02_2343360,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/2343360?gameHash=8cd413f7f796818e,HW,2021,,0,2021-11-11 16:50:43,1.0,11.21,2,Blue,jng,Pluto,oe:player:9695e32b91c8bda4886bc00e6ec02a0,Gifted Gaming,oe:team:9d7d942898d9cacc967e8e96f21f17c,Hecarim,Graves,Irelia,Thresh,Xin Zhao,Talon,,,,,,1541,0,0,2,3,4,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1557,0.623,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,0.0,0.0,4999.0,194.6398,0.129136,940.8047,581.3498,7.0,0.2726,5.0,0.1947,9.0,29.0,1.1291,7747,4328.0,168.514,0.202878,7450.0,,,133.0,18.0,115.0,,,5.1785,3096.0,3636.0,61.0,3247.0,3344.0,67.0,-151.0,292.0,-6.0,0.0,1.0,0.0,0.0,1.0,0.0,5049.0,5727.0,91.0,5489.0,5381.0,96.0,-440.0,346.0,-5.0,0.0,2.0,0.0,1.0,2.0,0.0,6578.0,7516.0,118.0,6813.0,7330.0,126.0,-235.0,186.0,-8.0,0.0,3.0,0.0,1.0,2.0,0.0,7664.0,8659.0,133.0,9113.0,10746.0,149.0,-1449.0,-2087.0,-16.0,0.0,3.0,2.0,3.0,7.0,0.0
ESPORTSTMNT02_2343360,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/2343360?gameHash=8cd413f7f796818e,HW,2021,,0,2021-11-11 16:50:43,1.0,11.21,3,Blue,mid,Adyyy,oe:player:d2d4975b4d0bd62e7aa907af8ffdf15,Gifted Gaming,oe:team:9d7d942898d9cacc967e8e96f21f17c,Lissandra,Graves,Irelia,Thresh,Xin Zhao,Talon,,,,,,1541,0,2,2,1,4,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1557,0.623,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,8241.0,320.8696,0.212885,362.3361,257.3653,7.0,0.2726,2.0,0.0779,2.0,11.0,0.4283,8402,4983.0,194.0169,0.233584,8135.0,,,183.0,175.0,8.0,,,7.1252,2953.0,4272.0,68.0,3011.0,4700.0,79.0,-58.0,-428.0,-11.0,0.0,1.0,0.0,0.0,0.0,0.0,5233.0,7161.0,118.0,5098.0,7839.0,143.0,135.0,-678.0,-25.0,1.0,1.0,0.0,0.0,0.0,0.0,7142.0,9540.0,153.0,7094.0,10054.0,186.0,48.0,-514.0,-33.0,2.0,1.0,0.0,0.0,0.0,1.0,8319.0,10802.0,183.0,9660.0,13111.0,211.0,-1341.0,-2309.0,-28.0,2.0,1.0,2.0,3.0,3.0,1.0
ESPORTSTMNT02_2343360,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/2343360?gameHash=8cd413f7f796818e,HW,2021,,0,2021-11-11 16:50:43,1.0,11.21,4,Blue,bot,ONLY,oe:player:e4eb0cb44f9e94d04413f4b9a376b7e,Gifted Gaming,oe:team:9d7d942898d9cacc967e8e96f21f17c,Ezreal,Graves,Irelia,Thresh,Xin Zhao,Talon,,,,,,1541,0,1,3,1,4,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1557,0.623,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,1.0,13207.0,514.2245,0.341169,442.1544,157.4951,8.0,0.3115,4.0,0.1557,2.0,15.0,0.584,8018,4599.0,179.0655,0.215582,6750.0,,,187.0,179.0,8.0,,,7.281,3105.0,3736.0,80.0,3771.0,3880.0,97.0,-666.0,-144.0,-17.0,0.0,1.0,0.0,0.0,0.0,0.0,4481.0,5305.0,116.0,6194.0,6165.0,154.0,-1713.0,-860.0,-38.0,0.0,1.0,1.0,1.0,1.0,0.0,6064.0,7559.0,159.0,8492.0,8587.0,218.0,-2428.0,-1028.0,-59.0,0.0,1.0,1.0,1.0,1.0,0.0,7635.0,8869.0,187.0,11676.0,12682.0,276.0,-4041.0,-3813.0,-89.0,0.0,1.0,2.0,3.0,6.0,0.0
ESPORTSTMNT02_2343360,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/2343360?gameHash=8cd413f7f796818e,HW,2021,,0,2021-11-11 16:50:43,1.0,11.21,5,Blue,sup,Sobakk,oe:player:fedd1e92aa2d2a6e3ee95c110509805,Gifted Gaming,oe:team:9d7d942898d9cacc967e8e96f21f17c,Bard,Graves,Irelia,Thresh,Xin Zhao,Talon,,,,,,1541,0,1,2,1,4,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1557,0.623,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,5003.0,194.7956,0.12924,298.5983,230.889,43.0,1.6742,10.0,0.3894,11.0,59.0,2.2972,5400,1981.0,77.1317,0.0928548,5175.0,,,11.0,11.0,0.0,,,0.4283,2248.0,2067.0,1.0,2015.0,2110.0,16.0,233.0,-43.0,-15.0,1.0,0.0,0.0,0.0,0.0,0.0,3297.0,3299.0,3.0,3387.0,3932.0,25.0,-90.0,-633.0,-22.0,1.0,0.0,1.0,0.0,2.0,0.0,4531.0,4742.0,10.0,4530.0,5408.0,30.0,1.0,-666.0,-20.0,1.0,1.0,1.0,0.0,2.0,0.0,5283.0,5887.0,10.0,6272.0,8626.0,35.0,-989.0,-2739.0,-25.0,1.0,1.0,2.0,1.0,8.0,0.0
ESPORTSTMNT02_2343360,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/2343360?gameHash=8cd413f7f796818e,HW,2021,,0,2021-11-11 16:50:43,1.0,11.21,6,Red,top,Hachi,oe:player:4dfdea9daf0101f5a17aff09671e76c,Inaequalis,oe:team:f6ac342191e871ae8b13952ed61c31a,Renekton,Katarina,Yone,Lucian,Syndra,Camille,,,,,,1541,1,1,2,4,12,4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.4672,0.623,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,6899.0,268.6178,0.159202,698.7411,527.0733,11.0,0.4283,3.0,0.1168,7.0,23.0,0.8955,10230,6811.0,265.1914,0.213666,9400.0,,,238.0,222.0,16.0,,,9.2667,3666.0,4309.0,83.0,3078.0,4563.0,78.0,588.0,-254.0,5.0,1.0,0.0,1.0,0.0,1.0,1.0,5439.0,7063.0,133.0,5397.0,7147.0,131.0,42.0,-84.0,2.0,1.0,0.0,2.0,0.0,2.0,1.0,7573.0,10346.0,195.0,7219.0,9833.0,183.0,354.0,513.0,12.0,1.0,0.0,2.0,0.0,2.0,1.0,9726.0,14120.0,236.0,8763.0,11863.0,216.0,963.0,2257.0,20.0,1.0,4.0,2.0,0.0,2.0,3.0
ESPORTSTMNT02_2343360,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/2343360?gameHash=8cd413f7f796818e,HW,2021,,0,2021-11-11 16:50:43,1.0,11.21,7,Red,jng,Flawed,oe:player:29168c0f1c2da65c3b84bd1d53f2569,Inaequalis,oe:team:f6ac342191e871ae8b13952ed61c31a,Trundle,Katarina,Yone,Lucian,Syndra,Camille,,,,,,1541,1,3,0,7,12,4,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4672,0.623,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,0.0,0.0,5581.0,217.3005,0.128787,834.1986,714.6269,7.0,0.2726,11.0,0.4283,6.0,38.0,1.4796,9513,6094.0,237.2745,0.191172,8150.0,,,149.0,17.0,132.0,,,5.8014,3247.0,3344.0,67.0,3096.0,3636.0,61.0,151.0,-292.0,6.0,0.0,1.0,0.0,0.0,1.0,0.0,5489.0,5381.0,96.0,5049.0,5727.0,91.0,440.0,-346.0,5.0,1.0,2.0,0.0,0.0,2.0,0.0,6813.0,7330.0,126.0,6578.0,7516.0,118.0,235.0,-186.0,8.0,1.0,2.0,0.0,0.0,3.0,0.0,9113.0,10746.0,149.0,7664.0,8659.0,133.0,1449.0,2087.0,16.0,3.0,7.0,0.0,0.0,3.0,2.0
ESPORTSTMNT02_2343360,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/2343360?gameHash=8cd413f7f796818e,HW,2021,,0,2021-11-11 16:50:43,1.0,11.21,8,Red,mid,Mano,oe:player:578eeea259cfd29fa2fadec3b575513,Inaequalis,oe:team:f6ac342191e871ae8b13952ed61c31a,LeBlanc,Katarina,Yone,Lucian,Syndra,Camille,,,,,,1541,1,4,1,3,12,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4672,0.623,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,14233.0,554.1726,0.328441,429.6171,205.9701,9.0,0.3504,7.0,0.2726,1.0,23.0,0.8955,10294,6875.0,267.6833,0.215673,8875.0,,,211.0,195.0,16.0,,,8.2154,3011.0,4700.0,79.0,2953.0,4272.0,68.0,58.0,428.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,5098.0,7839.0,143.0,5233.0,7161.0,118.0,-135.0,678.0,25.0,0.0,0.0,0.0,1.0,1.0,0.0,7094.0,10054.0,186.0,7142.0,9540.0,153.0,-48.0,514.0,33.0,0.0,0.0,1.0,2.0,1.0,0.0,9660.0,13111.0,211.0,8319.0,10802.0,183.0,1341.0,2309.0,28.0,3.0,3.0,1.0,2.0,1.0,2.0
ESPORTSTMNT02_2343360,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/2343360?gameHash=8cd413f7f796818e,HW,2021,,0,2021-11-11 16:50:43,1.0,11.21,9,Red,bot,Promise0,oe:player:1e2faa85fd4b8eeeb60f677594ee8b9,Inaequalis,oe:team:f6ac342191e871ae8b13952ed61c31a,Xayah,Katarina,Yone,Lucian,Syndra,Camille,,,,,,1541,1,3,0,6,12,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4672,0.623,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,1.0,0.0,11965.0,465.8663,0.276105,329.669,194.7956,10.0,0.3894,9.0,0.3504,6.0,29.0,1.1291,12217,8798.0,342.5568,0.276001,11000.0,,,281.0,241.0,40.0,,,10.9409,3771.0,3880.0,97.0,3105.0,3736.0,80.0,666.0,144.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,6194.0,6165.0,154.0,4481.0,5305.0,116.0,1713.0,860.0,38.0,1.0,1.0,0.0,0.0,1.0,1.0,8492.0,8587.0,218.0,6064.0,7559.0,159.0,2428.0,1028.0,59.0,1.0,1.0,0.0,0.0,1.0,1.0,11676.0,12682.0,276.0,7635.0,8869.0,187.0,4041.0,3813.0,89.0,3.0,6.0,0.0,0.0,1.0,2.0
ESPORTSTMNT02_2343360,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/2343360?gameHash=8cd413f7f796818e,HW,2021,,0,2021-11-11 16:50:43,1.0,11.21,10,Red,sup,Tristeqt,oe:player:6e6f044580ef2a52363ab38ae9e8c45,Inaequalis,oe:team:f6ac342191e871ae8b13952ed61c31a,Rakan,Katarina,Yone,Lucian,Syndra,Camille,,,,,,1541,1,1,1,9,12,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4672,0.623,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,4657.0,181.3238,0.107465,275.3926,400.2985,46.0,1.791,7.0,0.2726,11.0,79.0,3.0759,6718,3299.0,128.4491,0.103488,6625.0,,,35.0,35.0,0.0,,,1.3628,2015.0,2110.0,16.0,2248.0,2067.0,1.0,-233.0,43.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,3387.0,3932.0,25.0,3297.0,3299.0,3.0,90.0,633.0,22.0,0.0,2.0,0.0,1.0,0.0,1.0,4530.0,5408.0,30.0,4531.0,4742.0,10.0,-1.0,666.0,20.0,0.0,2.0,0.0,1.0,1.0,1.0,6272.0,8626.0,35.0,5283.0,5887.0,10.0,989.0,2739.0,25.0,1.0,8.0,0.0,1.0,1.0,2.0
