gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT02_3239537,complete,,IC,2023,,0,2023-10-02 16:05:14,1,13.18,1,Blue,top,Papiteero,oe:player:1ee921aeb89df0c447cb6d54a6e8db3,UCAM Esports,oe:team:746e6715fc4295c54954be5efc385af,Camille,Xayah,Talon,Renekton,Ahri,Sylas,,,,,,1760,1,10,1,0,22,4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.8864,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,1.0,0.0,18066.0,615.8864,0.241421,739.2614,647.4545,13.0,0.4432,9.0,0.3068,3.0,42.0,1.4318,14517,10651,363.1023,0.255874,12700.0,,,252.0,251.0,1.0,,,8.5909,3268.0,4925.0,89.0,2845.0,4472.0,68.0,423.0,453.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,5599.0,7856.0,122.0,4464.0,6403.0,98.0,1135.0,1453.0,24.0,2.0,0.0,0.0,0.0,0.0,1.0,8486.0,11197.0,178.0,6970.0,9531.0,142.0,1516.0,1666.0,36.0,3.0,0.0,0.0,1.0,0.0,2.0,11546.0,15409.0,218.0,9175.0,12362.0,198.0,2371.0,3047.0,20.0,6.0,0.0,0.0,1.0,0.0,2.0
ESPORTSTMNT02_3239537,complete,,IC,2023,,0,2023-10-02 16:05:14,1,13.18,2,Blue,jng,Xeonerr,oe:player:4c56aef4b6fee236568a5769a8328aa,UCAM Esports,oe:team:746e6715fc4295c54954be5efc385af,Maokai,Xayah,Talon,Renekton,Ahri,Sylas,,,,,,1760,1,4,1,12,22,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.8864,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,0.0,0.0,14967.0,510.2386,0.200008,1055.0795,850.2273,10.0,0.3409,6.0,0.2045,7.0,45.0,1.5341,11450,7584,258.5455,0.182194,10125.0,,,145.0,20.0,125.0,,,4.9432,3152.0,3163.0,55.0,3396.0,3029.0,65.0,-244.0,134.0,-10.0,0.0,1.0,1.0,1.0,0.0,0.0,5241.0,5404.0,76.0,4936.0,4978.0,107.0,305.0,426.0,-31.0,2.0,2.0,1.0,1.0,0.0,2.0,7672.0,7890.0,104.0,6747.0,7572.0,158.0,925.0,318.0,-54.0,3.0,4.0,1.0,1.0,0.0,3.0,9754.0,10633.0,123.0,8507.0,9359.0,189.0,1247.0,1274.0,-66.0,4.0,7.0,1.0,1.0,0.0,5.0
ESPORTSTMNT02_3239537,complete,,IC,2023,,0,2023-10-02 16:05:14,1,13.18,3,Blue,mid,Hatrixx,oe:player:d284c886209920a7c477e95581cd099,UCAM Esports,oe:team:746e6715fc4295c54954be5efc385af,Azir,Xayah,Talon,Renekton,Ahri,Sylas,,,,,,1760,1,6,1,6,22,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.8864,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,1.0,0.0,19454.0,663.2045,0.259969,506.5568,383.5568,12.0,0.4091,11.0,0.375,5.0,40.0,1.3636,13956,10090,343.9773,0.242397,12435.0,,,272.0,256.0,16.0,,,9.2727,3903.0,5030.0,95.0,3115.0,4280.0,78.0,788.0,750.0,17.0,1.0,0.0,0.0,0.0,0.0,1.0,6246.0,7459.0,147.0,4824.0,6412.0,117.0,1422.0,1047.0,30.0,2.0,1.0,0.0,0.0,0.0,2.0,9178.0,9492.0,182.0,6671.0,8741.0,157.0,2507.0,751.0,25.0,5.0,2.0,1.0,0.0,0.0,2.0,11641.0,13213.0,238.0,8755.0,10855.0,192.0,2886.0,2358.0,46.0,5.0,2.0,1.0,0.0,0.0,3.0
ESPORTSTMNT02_3239537,complete,,IC,2023,,0,2023-10-02 16:05:14,1,13.18,4,Blue,bot,Rafitta,oe:player:ab943d97892a252a6d27378f8ed94ee,UCAM Esports,oe:team:746e6715fc4295c54954be5efc385af,Ashe,Xayah,Talon,Renekton,Ahri,Sylas,,,,,,1760,1,2,1,12,22,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.8864,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,1.0,0.0,18920.0,645.0,0.252833,514.0909,277.125,11.0,0.375,8.0,0.2727,3.0,30.0,1.0227,13462,9596,327.1364,0.230529,11608.0,,,287.0,269.0,18.0,,,9.7841,3371.0,3838.0,91.0,3103.0,3189.0,81.0,268.0,649.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,5144.0,5579.0,132.0,5046.0,5363.0,125.0,98.0,216.0,7.0,0.0,2.0,1.0,1.0,0.0,0.0,7454.0,8229.0,181.0,6625.0,7076.0,160.0,829.0,1153.0,21.0,0.0,6.0,1.0,1.0,0.0,1.0,10454.0,11055.0,237.0,9072.0,9486.0,213.0,1382.0,1569.0,24.0,1.0,7.0,1.0,1.0,0.0,1.0
ESPORTSTMNT02_3239537,complete,,IC,2023,,0,2023-10-02 16:05:14,1,13.18,5,Blue,sup,Infoneral,oe:player:76c156cf4aaf3bdeba0e8156184ac95,UCAM Esports,oe:team:746e6715fc4295c54954be5efc385af,Braum,Xayah,Talon,Renekton,Ahri,Sylas,,,,,,1760,1,0,0,14,22,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.8864,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,3425.0,116.7614,0.0457692,482.1136,492.8864,35.0,1.1932,4.0,0.1364,5.0,64.0,2.1818,7571,3705,126.3068,0.0890069,6625.0,,,27.0,27.0,0.0,,,0.9205,2016.0,2128.0,13.0,1932.0,2283.0,13.0,84.0,-155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3240.0,3382.0,21.0,3145.0,3875.0,21.0,95.0,-493.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,4774.0,5061.0,24.0,4140.0,4949.0,28.0,634.0,112.0,-4.0,0.0,7.0,0.0,0.0,1.0,3.0,6224.0,7445.0,25.0,5257.0,6376.0,30.0,967.0,1069.0,-5.0,0.0,9.0,0.0,0.0,1.0,5.0
ESPORTSTMNT02_3239537,complete,,IC,2023,,0,2023-10-02 16:05:14,1,13.18,6,Red,top,Poweh,oe:player:137daadb3bab4f0b992eb08a3939e72,Heracles Gaming,oe:team:9c11dcc627ab2baf49d113ce6aba078,Olaf,Viego,Tristana,Rell,Jax,Jayce,,,,,,1760,0,1,4,0,4,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1364,0.8864,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,1.0,7995.0,272.5568,0.129392,671.4886,565.3295,8.0,0.2727,2.0,0.0682,3.0,20.0,0.6818,10199,6333,215.8977,0.22001,9683.0,,,214.0,214.0,0.0,,,7.2955,2845.0,4472.0,68.0,3268.0,4925.0,89.0,-423.0,-453.0,-21.0,0.0,0.0,0.0,0.0,0.0,0.0,4464.0,6403.0,98.0,5599.0,7856.0,122.0,-1135.0,-1453.0,-24.0,0.0,0.0,1.0,2.0,0.0,0.0,6970.0,9531.0,142.0,8486.0,11197.0,178.0,-1516.0,-1666.0,-36.0,1.0,0.0,2.0,3.0,0.0,0.0,9175.0,12362.0,198.0,11546.0,15409.0,218.0,-2371.0,-3047.0,-20.0,1.0,0.0,2.0,6.0,0.0,0.0
ESPORTSTMNT02_3239537,complete,,IC,2023,,0,2023-10-02 16:05:14,1,13.18,7,Red,jng,Jeykup,oe:player:968cb43bee81aaf745a5e20301ec55d,Heracles Gaming,oe:team:9c11dcc627ab2baf49d113ce6aba078,Graves,Viego,Tristana,Rell,Jax,Jayce,,,,,,1760,0,1,7,1,4,22,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1364,0.8864,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,0.0,0.0,12666.0,431.7955,0.204988,834.1705,520.3977,4.0,0.1364,5.0,0.1705,4.0,24.0,0.8182,9504,5638,192.2045,0.195866,8750.0,,,205.0,70.0,135.0,,,6.9886,3396.0,3029.0,65.0,3152.0,3163.0,55.0,244.0,-134.0,10.0,1.0,0.0,0.0,0.0,1.0,1.0,4936.0,4978.0,107.0,5241.0,5404.0,76.0,-305.0,-426.0,31.0,1.0,0.0,2.0,2.0,2.0,1.0,6747.0,7572.0,158.0,7672.0,7890.0,104.0,-925.0,-318.0,54.0,1.0,0.0,3.0,3.0,4.0,1.0,8507.0,9359.0,189.0,9754.0,10633.0,123.0,-1247.0,-1274.0,66.0,1.0,0.0,5.0,4.0,7.0,1.0
ESPORTSTMNT02_3239537,complete,,IC,2023,,0,2023-10-02 16:05:14,1,13.18,8,Red,mid,Opeduy,oe:player:e45341b36448fbd115941562ec07aec,Heracles Gaming,oe:team:9c11dcc627ab2baf49d113ce6aba078,Syndra,Viego,Tristana,Rell,Jax,Jayce,,,,,,1760,0,0,4,1,4,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1364,0.8864,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,1.0,21029.0,716.8977,0.340336,430.125,225.3409,14.0,0.4773,3.0,0.1023,4.0,29.0,0.9886,10349,6483,221.0114,0.225221,10300.0,,,225.0,221.0,4.0,,,7.6705,3115.0,4280.0,78.0,3903.0,5030.0,95.0,-788.0,-750.0,-17.0,0.0,0.0,1.0,1.0,0.0,0.0,4824.0,6412.0,117.0,6246.0,7459.0,147.0,-1422.0,-1047.0,-30.0,0.0,0.0,2.0,2.0,1.0,0.0,6671.0,8741.0,157.0,9178.0,9492.0,182.0,-2507.0,-751.0,-25.0,0.0,0.0,2.0,5.0,2.0,1.0,8755.0,10855.0,192.0,11641.0,13213.0,238.0,-2886.0,-2358.0,-46.0,0.0,0.0,3.0,5.0,2.0,1.0
ESPORTSTMNT02_3239537,complete,,IC,2023,,0,2023-10-02 16:05:14,1,13.18,9,Red,bot,aleykxar,oe:player:d0e2a334135a535dc3a02eccd0010cf,Heracles Gaming,oe:team:9c11dcc627ab2baf49d113ce6aba078,Kai'Sa,Viego,Tristana,Rell,Jax,Jayce,,,,,,1760,0,2,1,0,4,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1364,0.8864,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,0.0,1.0,12588.0,429.1364,0.203726,437.3182,266.8295,16.0,0.5455,6.0,0.2045,7.0,33.0,1.125,12118,8252,281.3182,0.286677,11925.0,,,263.0,239.0,24.0,,,8.9659,3103.0,3189.0,81.0,3371.0,3838.0,91.0,-268.0,-649.0,-10.0,0.0,0.0,0.0,0.0,1.0,0.0,5046.0,5363.0,125.0,5144.0,5579.0,132.0,-98.0,-216.0,-7.0,1.0,0.0,0.0,0.0,2.0,1.0,6625.0,7076.0,160.0,7454.0,8229.0,181.0,-829.0,-1153.0,-21.0,1.0,0.0,1.0,0.0,6.0,1.0,9072.0,9486.0,213.0,10454.0,11055.0,237.0,-1382.0,-1569.0,-24.0,1.0,0.0,1.0,1.0,7.0,1.0
ESPORTSTMNT02_3239537,complete,,IC,2023,,0,2023-10-02 16:05:14,1,13.18,10,Red,sup,Aglaro,oe:player:9fcc44febebcae8479bdabb4afe1b79,Heracles Gaming,oe:team:9c11dcc627ab2baf49d113ce6aba078,Alistar,Viego,Tristana,Rell,Jax,Jayce,,,,,,1760,0,0,6,2,4,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1364,0.8864,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,7511.0,256.0568,0.121559,782.7273,1087.9432,32.0,1.0909,7.0,0.2386,7.0,66.0,2.25,5945,2079,70.875,0.0722251,5475.0,,,30.0,30.0,0.0,,,1.0227,1932.0,2283.0,13.0,2016.0,2128.0,13.0,-84.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3145.0,3875.0,21.0,3240.0,3382.0,21.0,-95.0,493.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,4140.0,4949.0,28.0,4774.0,5061.0,24.0,-634.0,-112.0,4.0,0.0,1.0,3.0,0.0,7.0,0.0,5257.0,6376.0,30.0,6224.0,7445.0,25.0,-967.0,-1069.0,5.0,0.0,1.0,5.0,0.0,9.0,0.0
