gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
TREU/1001120538,complete,http://matchhistory.euw.leagueoflegends.com/en/#match-details/TREU/1001120538?gameHash=729fe79efb1a4d87,IEM,2016,,0,2016-03-04 12:06:25,1,6.03,1,Blue,top,Crazy,oe:player:d7c528ab090b1cda9854e13aaf94505,ESC Ever,oe:team:2e32a1985132a6c92ac8d39a3d158f0,Nautilus,LeBlanc,Kog'Maw,Kalista,,,,,,,,2219,1,3,6,8,16,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4326,1.0545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,20527.0,555.0338,0.243061,690.1758,0.0,23.0,0.6219,5.0,0.1352,4.0,0.0,0.0,13102.0,8320.0,224.9662,0.200048,10700.0,,,268.0,259.0,9.0,9.0,0.0,7.2465,3027.0,4270.0,76.0,3329.0,4352.0,65.0,-302.0,-82.0,11.0,0.0,0.0,2.0,1.0,3.0,0.0,4490.0,6162.0,111.0,5970.0,6892.0,107.0,-1480.0,-730.0,4.0,0.0,0.0,3.0,3.0,5.0,0.0,6114.0,8656.0,158.0,7991.0,9570.0,158.0,-1877.0,-914.0,0.0,0.0,0.0,3.0,3.0,5.0,0.0,8273.0,11229.0,197.0,10485.0,12405.0,209.0,-2212.0,-1176.0,-12.0,1.0,2.0,4.0,5.0,5.0,1.0
TREU/1001120538,complete,http://matchhistory.euw.leagueoflegends.com/en/#match-details/TREU/1001120538?gameHash=729fe79efb1a4d87,IEM,2016,,0,2016-03-04 12:06:25,1,6.03,2,Blue,jng,Ares,oe:player:357a1b7171bf610ec20c56bc260bd08,ESC Ever,oe:team:2e32a1985132a6c92ac8d39a3d158f0,Graves,LeBlanc,Kog'Maw,Kalista,,,,,,,,2219,1,1,6,4,16,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4326,1.0545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9800.0,264.9842,0.116042,716.0793,0.0,36.0,0.9734,15.0,0.4056,6.0,0.0,0.0,11496.0,6714.0,181.5412,0.161433,10450.0,,,129.0,48.0,81.0,64.0,17.0,3.4881,2724.0,3311.0,35.0,3658.0,4063.0,47.0,-934.0,-752.0,-12.0,0.0,0.0,1.0,1.0,4.0,0.0,4184.0,5112.0,54.0,5918.0,6633.0,68.0,-1734.0,-1521.0,-14.0,0.0,0.0,2.0,2.0,8.0,0.0,5715.0,7843.0,78.0,7533.0,8324.0,89.0,-1818.0,-481.0,-11.0,0.0,0.0,2.0,2.0,8.0,0.0,7361.0,9856.0,94.0,9203.0,10538.0,104.0,-1842.0,-682.0,-10.0,0.0,1.0,4.0,2.0,11.0,0.0
TREU/1001120538,complete,http://matchhistory.euw.leagueoflegends.com/en/#match-details/TREU/1001120538?gameHash=729fe79efb1a4d87,IEM,2016,,0,2016-03-04 12:06:25,1,6.03,3,Blue,mid,Tempt,oe:player:2861898294dd867b05fd28dca284e57,ESC Ever,oe:team:2e32a1985132a6c92ac8d39a3d158f0,Twisted Fate,LeBlanc,Kog'Maw,Kalista,,,,,,,,2219,1,3,4,12,16,23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4326,1.0545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,17744.0,479.7837,0.210108,547.8143,0.0,20.0,0.5408,3.0,0.0811,4.0,0.0,0.0,15062.0,10280.0,277.963,0.247175,11985.0,,,298.0,277.0,21.0,21.0,0.0,8.0577,3395.0,4116.0,77.0,3709.0,5027.0,87.0,-314.0,-911.0,-10.0,0.0,0.0,1.0,1.0,2.0,0.0,5950.0,6957.0,139.0,6016.0,8154.0,137.0,-66.0,-1197.0,2.0,1.0,0.0,2.0,1.0,7.0,0.0,7868.0,8881.0,187.0,7755.0,9985.0,176.0,113.0,-1104.0,11.0,1.0,1.0,2.0,1.0,7.0,1.0,9784.0,11196.0,225.0,9311.0,12123.0,210.0,473.0,-927.0,15.0,1.0,4.0,2.0,1.0,9.0,2.0
TREU/1001120538,complete,http://matchhistory.euw.leagueoflegends.com/en/#match-details/TREU/1001120538?gameHash=729fe79efb1a4d87,IEM,2016,,0,2016-03-04 12:06:25,1,6.03,4,Blue,bot,LokeN,oe:player:3d22ad7cc53c6c281ba55278d87f935,ESC Ever,oe:team:2e32a1985132a6c92ac8d39a3d158f0,Lucian,LeBlanc,Kog'Maw,Kalista,,,,,,,,2219,1,7,3,6,16,23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4326,1.0545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,26125.0,706.3993,0.309347,550.6264,0.0,15.0,0.4056,10.0,0.2704,2.0,0.0,0.0,15651.0,10869.0,293.8891,0.261337,13650.0,,,305.0,287.0,18.0,18.0,0.0,8.247,2998.0,2997.0,75.0,3606.0,3590.0,88.0,-608.0,-593.0,-13.0,0.0,0.0,0.0,1.0,0.0,0.0,4921.0,4938.0,115.0,6815.0,6435.0,154.0,-1894.0,-1497.0,-39.0,0.0,1.0,1.0,3.0,2.0,0.0,6925.0,7787.0,159.0,8974.0,8839.0,213.0,-2049.0,-1052.0,-54.0,1.0,1.0,1.0,3.0,2.0,0.0,9129.0,10440.0,207.0,11153.0,10961.0,257.0,-2024.0,-521.0,-50.0,2.0,3.0,1.0,4.0,3.0,1.0
TREU/1001120538,complete,http://matchhistory.euw.leagueoflegends.com/en/#match-details/TREU/1001120538?gameHash=729fe79efb1a4d87,IEM,2016,,0,2016-03-04 12:06:25,1,6.03,5,Blue,sup,Key,oe:player:897356954c2cd3d41b221e3f24f99bb,ESC Ever,oe:team:2e32a1985132a6c92ac8d39a3d158f0,Bard,LeBlanc,Kog'Maw,Kalista,,,,,,,,2219,1,2,4,13,16,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4326,1.0545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10256.0,277.3141,0.121442,450.1487,0.0,37.0,1.0005,22.0,0.5949,3.0,0.0,0.0,10189.0,5407.0,146.201,0.130008,7975.0,,,33.0,32.0,1.0,1.0,0.0,0.8923,1912.0,2427.0,3.0,2228.0,2083.0,8.0,-316.0,344.0,-5.0,0.0,0.0,1.0,1.0,1.0,0.0,3049.0,3604.0,8.0,3537.0,3538.0,13.0,-488.0,66.0,-5.0,0.0,1.0,2.0,1.0,4.0,1.0,4109.0,4697.0,12.0,4788.0,4591.0,20.0,-679.0,106.0,-8.0,0.0,2.0,2.0,1.0,4.0,1.0,6079.0,6839.0,19.0,6144.0,6328.0,27.0,-65.0,511.0,-8.0,2.0,4.0,2.0,1.0,5.0,2.0
TREU/1001120538,complete,http://matchhistory.euw.leagueoflegends.com/en/#match-details/TREU/1001120538?gameHash=729fe79efb1a4d87,IEM,2016,,0,2016-03-04 12:06:25,1,6.03,6,Red,top,Hauntzer,oe:player:20aba59cf47a04a6cf10436ce1946ac,TSM,oe:team:a22510a4756fa424cb0771b13261139,Fiora,Braum,Lulu,Corki,,,,,,,,2219,0,6,2,11,23,16,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6219,1.0545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,19128.0,517.2059,0.20988,917.4673,0.0,19.0,0.5137,8.0,0.2163,2.0,0.0,0.0,15853.0,11071.0,299.3511,0.234,15900.0,,,309.0,297.0,12.0,12.0,0.0,8.3551,3329.0,4352.0,65.0,3027.0,4270.0,76.0,302.0,82.0,-11.0,1.0,3.0,0.0,0.0,0.0,2.0,5970.0,6892.0,107.0,4490.0,6162.0,111.0,1480.0,730.0,-4.0,3.0,5.0,0.0,0.0,0.0,3.0,7991.0,9570.0,158.0,6114.0,8656.0,158.0,1877.0,914.0,0.0,3.0,5.0,0.0,0.0,0.0,3.0,10485.0,12405.0,209.0,8273.0,11229.0,197.0,2212.0,1176.0,12.0,5.0,5.0,1.0,1.0,2.0,4.0
TREU/1001120538,complete,http://matchhistory.euw.leagueoflegends.com/en/#match-details/TREU/1001120538?gameHash=729fe79efb1a4d87,IEM,2016,,0,2016-03-04 12:06:25,1,6.03,7,Red,jng,Svenskeren,oe:player:c271341160441d375411fef9bf2f9ef,TSM,oe:team:a22510a4756fa424cb0771b13261139,Elise,Braum,Lulu,Corki,,,,,,,,2219,0,3,2,18,23,16,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6219,1.0545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,13529.0,365.8134,0.148445,806.3091,0.0,28.0,0.7571,24.0,0.6489,3.0,0.0,0.0,13677.0,8895.0,240.5137,0.188007,12950.0,,,145.0,46.0,99.0,60.0,39.0,3.9207,3658.0,4063.0,47.0,2724.0,3311.0,35.0,934.0,752.0,12.0,1.0,4.0,0.0,0.0,0.0,1.0,5918.0,6633.0,68.0,4184.0,5112.0,54.0,1734.0,1521.0,14.0,2.0,8.0,0.0,0.0,0.0,2.0,7533.0,8324.0,89.0,5715.0,7843.0,78.0,1818.0,481.0,11.0,2.0,8.0,0.0,0.0,0.0,2.0,9203.0,10538.0,104.0,7361.0,9856.0,94.0,1842.0,682.0,10.0,2.0,11.0,0.0,0.0,1.0,4.0
TREU/1001120538,complete,http://matchhistory.euw.leagueoflegends.com/en/#match-details/TREU/1001120538?gameHash=729fe79efb1a4d87,IEM,2016,,0,2016-03-04 12:06:25,1,6.03,8,Red,mid,Bjergsen,oe:player:63ba5c5e5bb73ace706183b5e05a27e,TSM,oe:team:a22510a4756fa424cb0771b13261139,Lissandra,Braum,Lulu,Corki,,,,,,,,2219,0,1,5,16,23,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6219,1.0545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,18134.0,490.329,0.198973,535.2952,0.0,14.0,0.3785,7.0,0.1893,2.0,0.0,0.0,13847.0,9065.0,245.1104,0.1916,13800.0,,,283.0,272.0,11.0,9.0,2.0,7.6521,3709.0,5027.0,87.0,3395.0,4116.0,77.0,314.0,911.0,10.0,1.0,2.0,0.0,0.0,0.0,1.0,6016.0,8154.0,137.0,5950.0,6957.0,139.0,66.0,1197.0,-2.0,1.0,7.0,0.0,1.0,0.0,2.0,7755.0,9985.0,176.0,7868.0,8881.0,187.0,-113.0,1104.0,-11.0,1.0,7.0,1.0,1.0,1.0,2.0,9311.0,12123.0,210.0,9784.0,11196.0,225.0,-473.0,927.0,-15.0,1.0,9.0,2.0,1.0,4.0,2.0
TREU/1001120538,complete,http://matchhistory.euw.leagueoflegends.com/en/#match-details/TREU/1001120538?gameHash=729fe79efb1a4d87,IEM,2016,,0,2016-03-04 12:06:25,1,6.03,9,Red,bot,Doublelift,oe:player:f25df399390d86b9a1e83216dae597b,TSM,oe:team:a22510a4756fa424cb0771b13261139,Ezreal,Braum,Lulu,Corki,,,,,,,,2219,0,12,2,4,23,16,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.6219,1.0545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,37526.0,1014.6733,0.411749,413.3484,0.0,12.0,0.3245,9.0,0.2434,1.0,0.0,0.0,18094.0,13312.0,359.9459,0.281366,17725.0,,,336.0,311.0,25.0,17.0,8.0,9.0852,3606.0,3590.0,88.0,2998.0,2997.0,75.0,608.0,593.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,6815.0,6435.0,154.0,4921.0,4938.0,115.0,1894.0,1497.0,39.0,3.0,2.0,0.0,0.0,1.0,1.0,8974.0,8839.0,213.0,6925.0,7787.0,159.0,2049.0,1052.0,54.0,3.0,2.0,0.0,1.0,1.0,1.0,11153.0,10961.0,257.0,9129.0,10440.0,207.0,2024.0,521.0,50.0,4.0,3.0,1.0,2.0,3.0,1.0
TREU/1001120538,complete,http://matchhistory.euw.leagueoflegends.com/en/#match-details/TREU/1001120538?gameHash=729fe79efb1a4d87,IEM,2016,,0,2016-03-04 12:06:25,1,6.03,10,Red,sup,YellOwStaR,oe:player:5ebcf3b41dc66e5839da4c5f58bd907,TSM,oe:team:a22510a4756fa424cb0771b13261139,Alistar,Braum,Lulu,Corki,,,,,,,,2219,0,1,5,9,23,16,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6219,1.0545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2821.0,76.2776,0.0309531,733.79,0.0,43.0,1.1627,10.0,0.2704,8.0,0.0,0.0,9751.0,4969.0,134.3578,0.105027,9050.0,,,38.0,38.0,0.0,0.0,0.0,1.0275,2228.0,2083.0,8.0,1912.0,2427.0,3.0,316.0,-344.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,3537.0,3538.0,13.0,3049.0,3604.0,8.0,488.0,-66.0,5.0,1.0,4.0,1.0,0.0,1.0,2.0,4788.0,4591.0,20.0,4109.0,4697.0,12.0,679.0,-106.0,8.0,1.0,4.0,1.0,0.0,2.0,2.0,6144.0,6328.0,27.0,6079.0,6839.0,19.0,65.0,-511.0,8.0,1.0,5.0,2.0,2.0,4.0,2.0
