gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
TRNA1/1001100080,complete,http://matchhistory.lan.leagueoflegends.com/es/#match-details/TRNA1/1001100080?gameHash=84cbb6e07ad79eb9,IWCI,2016,,0,2016-04-16 20:42:21,1,6.07,1,Blue,top,Jirall,oe:player:ff1c2739dbfa8f1dfeccb61919cb9ab,Lyon Gaming,oe:team:d996d27c1737a1f7494fc09d6911339,Maokai,Sivir,Corki,Ryze,,,,,,,,3366,0,1,4,6,10,13,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1783,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12365.0,220.41,0.105654,594.3672,0.0,28.0,0.4991,16.0,0.2852,4.0,0.0,0.0,18319.0,11197.0,199.59,0.214967,18500.0,,,378.0,359.0,19.0,18.0,1.0,6.738,4098.0,3500.0,56.0,2697.0,2400.0,37.0,1401.0,1100.0,19.0,1.0,1.0,0.0,0.0,0.0,1.0,5827.0,6006.0,107.0,4324.0,5046.0,80.0,1503.0,960.0,27.0,1.0,1.0,0.0,0.0,0.0,1.0,7646.0,8423.0,154.0,6365.0,7717.0,125.0,1281.0,706.0,29.0,1.0,1.0,1.0,1.0,1.0,1.0,9466.0,11018.0,209.0,7812.0,9420.0,151.0,1654.0,1598.0,58.0,1.0,1.0,1.0,1.0,1.0,1.0
TRNA1/1001100080,complete,http://matchhistory.lan.leagueoflegends.com/es/#match-details/TRNA1/1001100080?gameHash=84cbb6e07ad79eb9,IWCI,2016,,0,2016-04-16 20:42:21,1,6.07,2,Blue,jng,Thyak,oe:player:acafb176aa8f2cf623dba0016fe909d,Lyon Gaming,oe:team:d996d27c1737a1f7494fc09d6911339,Gragas,Sivir,Corki,Ryze,,,,,,,,3366,0,0,1,7,10,13,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.1783,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,15583.0,277.7718,0.13315,1007.5401,0.0,50.0,0.8913,25.0,0.4456,12.0,0.0,0.0,15502.0,8380.0,149.3761,0.160885,13575.0,,,163.0,62.0,101.0,77.0,24.0,2.9055,3184.0,3062.0,31.0,3188.0,3262.0,40.0,-4.0,-200.0,-9.0,0.0,2.0,0.0,0.0,0.0,0.0,4462.0,4627.0,53.0,4385.0,4744.0,60.0,77.0,-117.0,-7.0,0.0,2.0,0.0,0.0,0.0,0.0,5943.0,6100.0,72.0,6168.0,6621.0,82.0,-225.0,-521.0,-10.0,0.0,2.0,0.0,1.0,1.0,0.0,7438.0,7880.0,93.0,7852.0,8326.0,113.0,-414.0,-446.0,-20.0,0.0,2.0,0.0,1.0,1.0,0.0
TRNA1/1001100080,complete,http://matchhistory.lan.leagueoflegends.com/es/#match-details/TRNA1/1001100080?gameHash=84cbb6e07ad79eb9,IWCI,2016,,0,2016-04-16 20:42:21,1,6.07,3,Blue,mid,Uri,oe:player:3840cd8f73026713059f0ed0562c549,Lyon Gaming,oe:team:d996d27c1737a1f7494fc09d6911339,Varus,Sivir,Corki,Ryze,,,,,,,,3366,0,4,2,3,10,13,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1783,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,52761.0,940.4813,0.450822,255.3119,0.0,28.0,0.4991,15.0,0.2674,4.0,0.0,0.0,17870.0,10748.0,191.5865,0.206347,17350.0,,,326.0,302.0,24.0,18.0,6.0,5.8111,3599.0,4729.0,83.0,3433.0,4728.0,85.0,166.0,1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,4660.0,5977.0,104.0,4659.0,6015.0,112.0,1.0,-38.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,6415.0,7948.0,145.0,6173.0,7777.0,149.0,242.0,171.0,-4.0,0.0,0.0,0.0,0.0,1.0,0.0,7758.0,9558.0,172.0,7883.0,9240.0,186.0,-125.0,318.0,-14.0,0.0,1.0,0.0,0.0,1.0,0.0
TRNA1/1001100080,complete,http://matchhistory.lan.leagueoflegends.com/es/#match-details/TRNA1/1001100080?gameHash=84cbb6e07ad79eb9,IWCI,2016,,0,2016-04-16 20:42:21,1,6.07,4,Blue,bot,Seiya,oe:player:7378a82177ee6bee2015ac5d134abe3,Lyon Gaming,oe:team:d996d27c1737a1f7494fc09d6911339,Jhin,Sivir,Corki,Ryze,,,,,,,,3366,0,4,2,5,10,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1783,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,30510.0,543.8503,0.260696,253.6185,0.0,32.0,0.5704,12.0,0.2139,2.0,0.0,0.0,22292.0,15170.0,270.41,0.291242,19700.0,,,456.0,412.0,44.0,38.0,6.0,8.1283,3370.0,2806.0,64.0,3449.0,3098.0,73.0,-79.0,-292.0,-9.0,0.0,1.0,0.0,0.0,0.0,1.0,5007.0,4911.0,113.0,4956.0,4955.0,112.0,51.0,-44.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,7092.0,6834.0,150.0,6762.0,6891.0,147.0,330.0,-57.0,3.0,0.0,1.0,1.0,0.0,2.0,1.0,8859.0,8854.0,189.0,8316.0,8592.0,182.0,543.0,262.0,7.0,1.0,1.0,1.0,0.0,2.0,2.0
TRNA1/1001100080,complete,http://matchhistory.lan.leagueoflegends.com/es/#match-details/TRNA1/1001100080?gameHash=84cbb6e07ad79eb9,IWCI,2016,,0,2016-04-16 20:42:21,1,6.07,5,Blue,sup,Arce,oe:player:f8973e628fba305c55004351b4f7e34,Lyon Gaming,oe:team:d996d27c1737a1f7494fc09d6911339,Braum,Sivir,Corki,Ryze,,,,,,,,3366,0,1,4,5,10,13,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.1783,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5814.0,103.6364,0.0496783,540.7843,0.0,95.0,1.6934,23.0,0.41,25.0,0.0,0.0,13714.0,6592.0,117.5045,0.126559,12825.0,,,66.0,66.0,0.0,0.0,0.0,1.1765,2750.0,1831.0,9.0,2059.0,1324.0,8.0,691.0,507.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3708.0,2693.0,14.0,3007.0,2184.0,13.0,701.0,509.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5016.0,3451.0,23.0,4166.0,3280.0,20.0,850.0,171.0,3.0,1.0,1.0,0.0,0.0,2.0,0.0,6141.0,4605.0,33.0,5267.0,3884.0,25.0,874.0,721.0,8.0,1.0,1.0,0.0,0.0,2.0,0.0
TRNA1/1001100080,complete,http://matchhistory.lan.leagueoflegends.com/es/#match-details/TRNA1/1001100080?gameHash=84cbb6e07ad79eb9,IWCI,2016,,0,2016-04-16 20:42:21,1,6.07,6,Red,top,Pride,oe:player:76a3e3b45425410522c1805b3a0403f,Isurus,oe:team:5737b101780a9835142549164be1ac4,Nautilus,Lulu,Ekko,Kalista,,,,,,,,3366,1,2,3,9,13,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2317,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,19309.0,344.1889,0.182596,552.3173,0.0,31.0,0.5526,11.0,0.1961,3.0,0.0,0.0,19303.0,12181.0,217.1301,0.195205,16625.0,,,334.0,326.0,8.0,5.0,3.0,5.9537,2697.0,2400.0,37.0,4098.0,3500.0,56.0,-1401.0,-1100.0,-19.0,0.0,0.0,1.0,1.0,1.0,0.0,4324.0,5046.0,80.0,5827.0,6006.0,107.0,-1503.0,-960.0,-27.0,0.0,0.0,1.0,1.0,1.0,0.0,6365.0,7717.0,125.0,7646.0,8423.0,154.0,-1281.0,-706.0,-29.0,1.0,1.0,1.0,1.0,1.0,1.0,7812.0,9420.0,151.0,9466.0,11018.0,209.0,-1654.0,-1598.0,-58.0,1.0,1.0,1.0,1.0,1.0,1.0
TRNA1/1001100080,complete,http://matchhistory.lan.leagueoflegends.com/es/#match-details/TRNA1/1001100080?gameHash=84cbb6e07ad79eb9,IWCI,2016,,0,2016-04-16 20:42:21,1,6.07,7,Red,jng,Clatos,oe:player:8532de3deb7d10f0543306d84382e3b,Isurus,oe:team:5737b101780a9835142549164be1ac4,Graves,Lulu,Ekko,Kalista,,,,,,,,3366,1,5,2,6,13,11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2317,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,17613.0,313.9572,0.166558,506.738,0.0,10.0,0.1783,51.0,0.9091,6.0,0.0,0.0,20519.0,13397.0,238.8057,0.214692,17975.0,,,300.0,179.0,121.0,85.0,36.0,5.3476,3188.0,3262.0,40.0,3184.0,3062.0,31.0,4.0,200.0,9.0,0.0,0.0,0.0,0.0,2.0,0.0,4385.0,4744.0,60.0,4462.0,4627.0,53.0,-77.0,117.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,6168.0,6621.0,82.0,5943.0,6100.0,72.0,225.0,521.0,10.0,1.0,1.0,0.0,0.0,2.0,0.0,7852.0,8326.0,113.0,7438.0,7880.0,93.0,414.0,446.0,20.0,1.0,1.0,0.0,0.0,2.0,0.0
TRNA1/1001100080,complete,http://matchhistory.lan.leagueoflegends.com/es/#match-details/TRNA1/1001100080?gameHash=84cbb6e07ad79eb9,IWCI,2016,,0,2016-04-16 20:42:21,1,6.07,8,Red,mid,Emp,oe:player:30fda405a39a1754550e87835c669fb,Isurus,oe:team:5737b101780a9835142549164be1ac4,Azir,Lulu,Ekko,Kalista,,,,,,,,3366,1,3,2,7,13,11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2317,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,40002.0,713.0481,0.37828,530.41,0.0,25.0,0.4456,23.0,0.41,2.0,0.0,0.0,20969.0,13847.0,246.8271,0.221903,18550.0,,,438.0,361.0,77.0,70.0,7.0,7.8075,3433.0,4728.0,85.0,3599.0,4729.0,83.0,-166.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4659.0,6015.0,112.0,4660.0,5977.0,104.0,-1.0,38.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,6173.0,7777.0,149.0,6415.0,7948.0,145.0,-242.0,-171.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,7883.0,9240.0,186.0,7758.0,9558.0,172.0,125.0,-318.0,14.0,0.0,1.0,0.0,0.0,1.0,0.0
TRNA1/1001100080,complete,http://matchhistory.lan.leagueoflegends.com/es/#match-details/TRNA1/1001100080?gameHash=84cbb6e07ad79eb9,IWCI,2016,,0,2016-04-16 20:42:21,1,6.07,9,Red,bot,Zeicro,oe:player:e6f383fc7318fb2ab6aa67191ce5231,Isurus,oe:team:5737b101780a9835142549164be1ac4,Lucian,Lulu,Ekko,Kalista,,,,,,,,3366,1,3,4,7,13,11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2317,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,23382.0,416.7914,0.221113,597.1123,0.0,25.0,0.4456,20.0,0.3565,3.0,0.0,0.0,22596.0,15474.0,275.8289,0.247976,20175.0,,,492.0,459.0,33.0,28.0,5.0,8.7701,3449.0,3098.0,73.0,3370.0,2806.0,64.0,79.0,292.0,9.0,0.0,0.0,1.0,0.0,1.0,0.0,4956.0,4955.0,112.0,5007.0,4911.0,113.0,-51.0,44.0,-1.0,0.0,0.0,1.0,0.0,1.0,0.0,6762.0,6891.0,147.0,7092.0,6834.0,150.0,-330.0,57.0,-3.0,0.0,2.0,1.0,0.0,1.0,1.0,8316.0,8592.0,182.0,8859.0,8854.0,189.0,-543.0,-262.0,-7.0,0.0,2.0,2.0,1.0,1.0,1.0
TRNA1/1001100080,complete,http://matchhistory.lan.leagueoflegends.com/es/#match-details/TRNA1/1001100080?gameHash=84cbb6e07ad79eb9,IWCI,2016,,0,2016-04-16 20:42:21,1,6.07,10,Red,sup,Newbie,oe:player:27aa6f7581052e7ff48e1bca901313f,Isurus,oe:team:5737b101780a9835142549164be1ac4,Trundle,Lulu,Ekko,Kalista,,,,,,,,3366,1,0,0,13,13,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2317,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5441.0,96.9875,0.051453,658.1996,0.0,97.0,1.7291,35.0,0.6239,15.0,0.0,0.0,14624.0,7502.0,133.7255,0.120223,13175.0,,,82.0,81.0,1.0,0.0,1.0,1.4617,2059.0,1324.0,8.0,2750.0,1831.0,9.0,-691.0,-507.0,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,3007.0,2184.0,13.0,3708.0,2693.0,14.0,-701.0,-509.0,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,4166.0,3280.0,20.0,5016.0,3451.0,23.0,-850.0,-171.0,-3.0,0.0,2.0,0.0,1.0,1.0,0.0,5267.0,3884.0,25.0,6141.0,4605.0,33.0,-874.0,-721.0,-8.0,0.0,2.0,0.0,1.0,1.0,0.0
TRNA1/1001100080,complete,http://matchhistory.lan.leagueoflegends.com/es/#match-details/TRNA1/1001100080?gameHash=84cbb6e07ad79eb9,IWCI,2016,,0,2016-04-16 20:42:21,1,6.07,100,Blue,team,,,Lyon Gaming,oe:team:d996d27c1737a1f7494fc09d6911339,,Sivir,Corki,Ryze,,,,,,,,3366,0,10,13,26,10,13,1.0,1.0,0.0,0.0,1.0,,,,0.1783,0.41,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,1.0,2.0,1.0,,,0.0,1.0,1.0,1.0,7.0,10.0,1.0,1.0,,,2.0,1.0,117033.0,2086.1497,,2651.6221,0.0,233.0,4.1533,91.0,1.6221,47.0,0.0,0.0,87697.0,52088.0,928.4848,,81950.0,-0.054022,0.54,,1201.0,188.0,151.0,37.0,24.7594,17001.0,15928.0,243.0,14826.0,14812.0,243.0,2175.0,1116.0,0.0,2.0,5.0,0.0,0.0,0.0,2.0,23664.0,24214.0,391.0,21331.0,22944.0,377.0,2333.0,1270.0,14.0,2.0,5.0,0.0,0.0,0.0,2.0,32112.0,32756.0,544.0,29634.0,32286.0,523.0,2478.0,470.0,21.0,2.0,5.0,2.0,2.0,7.0,2.0,39662.0,41915.0,696.0,37130.0,39462.0,657.0,2532.0,2453.0,39.0,3.0,6.0,2.0,2.0,7.0,3.0
