gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT06/920043,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/920043?gameHash=d038c9e5c8a87309,KeSPA,2019,,0,2018-12-26 07:24:46,1,8.24,1,Blue,top,Smeb,oe:player:0906d77d4804d5ba6d0c0a7bcf707da,KT Rolster,oe:team:d723992568441c6bafa2658129eade7,Urgot,Ryze,Ezreal,Tahm Kench,Rakan,Morgana,,,,,,1528,1,5,1,5,17,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6675,0.7068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8699.0,341.5838,0.218409,407.0419,666.1649,12.0,0.4712,5.0,0.1963,4.0,27.0,1.0602,10772.0,7379.0,289.7513,0.212009,8650.0,,,196.0,184.0,12.0,4.0,0.0,7.6963,3725.0,4605.0,88.0,3097.0,4257.0,78.0,628.0,348.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,5448.0,7306.0,137.0,5675.0,6189.0,121.0,-227.0,1117.0,16.0,1.0,0.0,1.0,1.0,0.0,1.0,7214.0,9434.0,163.0,7396.0,8439.0,163.0,-182.0,995.0,0.0,2.0,1.0,1.0,1.0,0.0,2.0,10017.0,13416.0,194.0,8785.0,10308.0,194.0,1232.0,3108.0,0.0,3.0,3.0,1.0,1.0,0.0,4.0
ESPORTSTMNT06/920043,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/920043?gameHash=d038c9e5c8a87309,KeSPA,2019,,0,2018-12-26 07:24:46,1,8.24,2,Blue,jng,UmTi,oe:player:1970fcb701acce66e0771946bbb3105,KT Rolster,oe:team:d723992568441c6bafa2658129eade7,Lee Sin,Ryze,Ezreal,Tahm Kench,Rakan,Morgana,,,,,,1528,1,7,0,7,17,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6675,0.7068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10264.0,403.0366,0.257702,748.4293,681.8717,15.0,0.589,8.0,0.3141,7.0,42.0,1.6492,11100.0,7707.0,302.6309,0.221433,9200.0,,,144.0,22.0,122.0,77.0,21.0,5.6545,3185.0,3527.0,61.0,3114.0,3522.0,60.0,71.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5225.0,5755.0,85.0,4719.0,5548.0,85.0,506.0,207.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7332.0,8092.0,117.0,6157.0,7566.0,116.0,1175.0,526.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,10669.0,12256.0,144.0,7235.0,8955.0,133.0,3434.0,3301.0,11.0,6.0,5.0,0.0,0.0,0.0,2.0
ESPORTSTMNT06/920043,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/920043?gameHash=d038c9e5c8a87309,KeSPA,2019,,0,2018-12-26 07:24:46,1,8.24,3,Blue,mid,Bdd,oe:player:30361653a485a9609fb2d3aa073282c,KT Rolster,oe:team:d723992568441c6bafa2658129eade7,Lissandra,Ryze,Ezreal,Tahm Kench,Rakan,Morgana,,,,,,1528,1,1,0,12,17,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6675,0.7068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10154.0,398.7173,0.25494,361.3351,342.8796,11.0,0.4319,3.0,0.1178,8.0,25.0,0.9817,10474.0,7081.0,278.0497,0.203448,9700.0,,,236.0,224.0,12.0,12.0,0.0,9.267,3560.0,4884.0,95.0,3253.0,4660.0,88.0,307.0,224.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,5359.0,7478.0,147.0,5147.0,7499.0,142.0,212.0,-21.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,7703.0,10523.0,205.0,6697.0,9718.0,187.0,1006.0,805.0,18.0,1.0,2.0,0.0,0.0,0.0,1.0,10038.0,13376.0,232.0,8053.0,11338.0,214.0,1985.0,2038.0,18.0,1.0,7.0,0.0,0.0,0.0,1.0
ESPORTSTMNT06/920043,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/920043?gameHash=d038c9e5c8a87309,KeSPA,2019,,0,2018-12-26 07:24:46,1,8.24,4,Blue,bot,Zenit,oe:player:479bf0803cf7122f9d77ebf7bfb7576,KT Rolster,oe:team:d723992568441c6bafa2658129eade7,Lucian,Ryze,Ezreal,Tahm Kench,Rakan,Morgana,,,,,,1528,1,4,0,8,17,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6675,0.7068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,7850.0,308.2461,0.197093,418.4686,211.5707,10.0,0.3927,5.0,0.1963,4.0,24.0,0.9424,12030.0,8637.0,339.1492,0.248152,10050.0,,,230.0,222.0,8.0,8.0,0.0,9.0314,3084.0,2916.0,79.0,3468.0,3290.0,91.0,-384.0,-374.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,5544.0,4894.0,130.0,6270.0,5427.0,128.0,-726.0,-533.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,7995.0,7649.0,178.0,8147.0,8258.0,179.0,-152.0,-609.0,-1.0,1.0,2.0,0.0,0.0,1.0,0.0,11203.0,10713.0,227.0,9143.0,9083.0,195.0,2060.0,1630.0,32.0,2.0,6.0,0.0,0.0,1.0,3.0
ESPORTSTMNT06/920043,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/920043?gameHash=d038c9e5c8a87309,KeSPA,2019,,0,2018-12-26 07:24:46,1,8.24,5,Blue,sup,Mia,oe:player:46e6f8781dd60e2635430b61db51126,KT Rolster,oe:team:d723992568441c6bafa2658129eade7,Thresh,Ryze,Ezreal,Tahm Kench,Rakan,Morgana,,,,,,1528,1,0,0,10,17,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6675,0.7068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,2862.0,112.3822,0.0718572,194.3325,211.8063,26.0,1.0209,6.0,0.2356,9.0,44.0,1.7277,7394.0,4001.0,157.1073,0.114958,5950.0,,,11.0,11.0,0.0,0.0,0.0,0.4319,1999.0,2857.0,6.0,2501.0,3055.0,13.0,-502.0,-198.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,3713.0,3965.0,8.0,4257.0,3927.0,24.0,-544.0,38.0,-16.0,0.0,0.0,0.0,0.0,1.0,0.0,4998.0,5783.0,11.0,5029.0,4338.0,28.0,-31.0,1445.0,-17.0,0.0,2.0,0.0,0.0,1.0,1.0,6995.0,8617.0,11.0,6028.0,6350.0,38.0,967.0,2267.0,-27.0,0.0,6.0,0.0,0.0,1.0,2.0
ESPORTSTMNT06/920043,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/920043?gameHash=d038c9e5c8a87309,KeSPA,2019,,0,2018-12-26 07:24:46,1,8.24,6,Red,top,SoaR,oe:player:93f82d825f42b45556c854fdfcef571,GC Busan Rising Star,oe:team:0327d25d005275cfaf3cdb62628d33f,Irelia,Cassiopeia,Camille,Galio,Fiora,Jax,,,,,,1528,0,1,5,0,1,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0393,0.7068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5145.0,202.0288,0.19115,641.466,439.9476,10.0,0.3927,0.0,0.0,3.0,21.0,0.8246,8931.0,5538.0,217.4607,0.244479,8908.0,,,195.0,187.0,8.0,4.0,0.0,7.6571,3097.0,4257.0,78.0,3725.0,4605.0,88.0,-628.0,-348.0,-10.0,0.0,0.0,1.0,1.0,0.0,0.0,5675.0,6189.0,121.0,5448.0,7306.0,137.0,227.0,-1117.0,-16.0,1.0,0.0,1.0,1.0,0.0,1.0,7396.0,8439.0,163.0,7214.0,9434.0,163.0,182.0,-995.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,8785.0,10308.0,194.0,10017.0,13416.0,194.0,-1232.0,-3108.0,0.0,1.0,0.0,4.0,3.0,3.0,1.0
ESPORTSTMNT06/920043,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/920043?gameHash=d038c9e5c8a87309,KeSPA,2019,,0,2018-12-26 07:24:46,1,8.24,7,Red,jng,Ryan,oe:player:131b98dac8609f781484f08c22a8aba,GC Busan Rising Star,oe:team:0327d25d005275cfaf3cdb62628d33f,Kha'Zix,Cassiopeia,Camille,Galio,Fiora,Jax,,,,,,1528,0,0,3,0,1,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0393,0.7068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3400.0,133.5079,0.126319,905.7723,423.6911,10.0,0.3927,6.0,0.2356,9.0,35.0,1.3743,7291.0,3898.0,153.0628,0.172084,6750.0,,,133.0,10.0,123.0,80.0,4.0,5.2225,3114.0,3522.0,60.0,3185.0,3527.0,61.0,-71.0,-5.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,4719.0,5548.0,85.0,5225.0,5755.0,85.0,-506.0,-207.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6157.0,7566.0,116.0,7332.0,8092.0,117.0,-1175.0,-526.0,-1.0,0.0,0.0,1.0,1.0,4.0,0.0,7235.0,8955.0,133.0,10669.0,12256.0,144.0,-3434.0,-3301.0,-11.0,0.0,0.0,2.0,6.0,5.0,0.0
ESPORTSTMNT06/920043,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/920043?gameHash=d038c9e5c8a87309,KeSPA,2019,,0,2018-12-26 07:24:46,1,8.24,8,Red,mid,reM,oe:player:12f51fc5d876a7dd330eff44bca8291,GC Busan Rising Star,oe:team:0327d25d005275cfaf3cdb62628d33f,Zoe,Cassiopeia,Camille,Galio,Fiora,Jax,,,,,,1528,0,0,2,0,1,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0393,0.7068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10276.0,403.5079,0.38178,329.5681,157.7356,10.0,0.3927,0.0,0.0,3.0,16.0,0.6283,8109.0,4716.0,185.1832,0.208193,7925.0,,,214.0,200.0,14.0,14.0,0.0,8.4031,3253.0,4660.0,88.0,3560.0,4884.0,95.0,-307.0,-224.0,-7.0,0.0,0.0,0.0,0.0,1.0,0.0,5147.0,7499.0,142.0,5359.0,7478.0,147.0,-212.0,21.0,-5.0,0.0,0.0,0.0,0.0,1.0,0.0,6697.0,9718.0,187.0,7703.0,10523.0,205.0,-1006.0,-805.0,-18.0,0.0,0.0,1.0,1.0,2.0,0.0,8053.0,11338.0,214.0,10038.0,13376.0,232.0,-1985.0,-2038.0,-18.0,0.0,0.0,1.0,1.0,7.0,0.0
ESPORTSTMNT06/920043,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/920043?gameHash=d038c9e5c8a87309,KeSPA,2019,,0,2018-12-26 07:24:46,1,8.24,9,Red,bot,Moo,oe:player:41475c871490d3830688976dc0700a3,GC Busan Rising Star,oe:team:0327d25d005275cfaf3cdb62628d33f,Kai'Sa,Cassiopeia,Camille,Galio,Fiora,Jax,,,,,,1528,0,0,4,1,1,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0393,0.7068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,4694.0,184.3194,0.174394,370.9162,229.7513,10.0,0.3927,8.0,0.3141,3.0,38.0,1.4921,9199.0,5806.0,227.9843,0.256309,8175.0,,,195.0,195.0,0.0,0.0,0.0,7.6571,3468.0,3290.0,91.0,3084.0,2916.0,79.0,384.0,374.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,6270.0,5427.0,128.0,5544.0,4894.0,130.0,726.0,533.0,-2.0,0.0,1.0,0.0,0.0,0.0,0.0,8147.0,8258.0,179.0,7995.0,7649.0,178.0,152.0,609.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,9143.0,9083.0,195.0,11203.0,10713.0,227.0,-2060.0,-1630.0,-32.0,0.0,1.0,3.0,2.0,6.0,0.0
ESPORTSTMNT06/920043,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/920043?gameHash=d038c9e5c8a87309,KeSPA,2019,,0,2018-12-26 07:24:46,1,8.24,10,Red,sup,Minit,oe:player:cf1fc00c5f362d9b4988cbb260cbc95,GC Busan Rising Star,oe:team:0327d25d005275cfaf3cdb62628d33f,Alistar,Cassiopeia,Camille,Galio,Fiora,Jax,,,,,,1528,0,0,3,1,1,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0393,0.7068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,3401.0,133.5471,0.126356,330.0393,551.5445,43.0,1.6885,13.0,0.5105,15.0,69.0,2.7094,6087.0,2694.0,105.7853,0.118935,5125.0,,,38.0,38.0,0.0,0.0,0.0,1.4921,2501.0,3055.0,13.0,1999.0,2857.0,6.0,502.0,198.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,4257.0,3927.0,24.0,3713.0,3965.0,8.0,544.0,-38.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,5029.0,4338.0,28.0,4998.0,5783.0,11.0,31.0,-1445.0,17.0,0.0,1.0,1.0,0.0,2.0,0.0,6028.0,6350.0,38.0,6995.0,8617.0,11.0,-967.0,-2267.0,27.0,0.0,1.0,2.0,0.0,6.0,0.0
