gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT03/1250366,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1250366?gameHash=9a864a9d15d4f237,KeSPA,2020,,0,2019-12-23 07:46:06,1,9.24,1,Blue,top,Kiin,oe:player:03daae1844b9ad257324c3eedf41e28,DN Freecs,oe:team:b05347770d44de27f5e7a25c8cfcbb2,Aatrox,Irelia,Sejuani,LeBlanc,Ekko,Nocturne,,,,,,2219,1,0,0,2,9,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2434,0.2974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,12585.0,340.2884,0.242094,746.904,637.936,19.0,0.5137,7.0,0.1893,8.0,49.0,1.3249,14385.0,9583.0,259.1167,0.224875,13150.0,,,350.0,299.0,51.0,26.0,10.0,9.4637,3175.0,5101.0,86.0,3483.0,5065.0,93.0,-308.0,36.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,5315.0,8057.0,143.0,5124.0,7557.0,138.0,191.0,500.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,7334.0,11030.0,197.0,7028.0,10355.0,197.0,306.0,675.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9201.0,13579.0,245.0,8904.0,13436.0,254.0,297.0,143.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0
ESPORTSTMNT03/1250366,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1250366?gameHash=9a864a9d15d4f237,KeSPA,2020,,0,2019-12-23 07:46:06,1,9.24,2,Blue,jng,Spirit,oe:player:ae4cccea87290717523772f7472e7f5,DN Freecs,oe:team:b05347770d44de27f5e7a25c8cfcbb2,Lee Sin,Irelia,Sejuani,LeBlanc,Ekko,Nocturne,,,,,,2219,1,4,0,2,9,2,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.2434,0.2974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6807.0,184.0559,0.130944,447.3096,496.521,25.0,0.676,25.0,0.676,14.0,87.0,2.3524,11064.0,6262.0,169.3195,0.146941,9525.0,,,151.0,35.0,116.0,53.0,14.0,4.0829,3260.0,2715.0,56.0,2740.0,2486.0,53.0,520.0,229.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,4584.0,4232.0,84.0,4128.0,4279.0,87.0,456.0,-47.0,-3.0,1.0,0.0,0.0,0.0,0.0,0.0,5826.0,5404.0,107.0,5430.0,5890.0,113.0,396.0,-486.0,-6.0,1.0,0.0,0.0,0.0,0.0,0.0,7002.0,6562.0,124.0,6293.0,6876.0,127.0,709.0,-314.0,-3.0,1.0,0.0,0.0,0.0,0.0,0.0
ESPORTSTMNT03/1250366,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1250366?gameHash=9a864a9d15d4f237,KeSPA,2020,,0,2019-12-23 07:46:06,1,9.24,3,Blue,mid,Fly,oe:player:6c1fa8d6ae91f559b9d317477dad3ea,DN Freecs,oe:team:b05347770d44de27f5e7a25c8cfcbb2,Syndra,Irelia,Sejuani,LeBlanc,Ekko,Nocturne,,,,,,2219,1,0,0,5,9,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2434,0.2974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10440.0,282.2893,0.200831,161.1537,103.5872,21.0,0.5678,5.0,0.1352,11.0,48.0,1.2979,13677.0,8875.0,239.973,0.20826,12925.0,,,309.0,276.0,33.0,24.0,5.0,8.3551,3440.0,5267.0,100.0,3132.0,4758.0,85.0,308.0,509.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,5297.0,7764.0,151.0,4759.0,7295.0,136.0,538.0,469.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,7518.0,10168.0,198.0,6327.0,9290.0,175.0,1191.0,878.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,9123.0,11990.0,234.0,7965.0,11361.0,213.0,1158.0,629.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0
ESPORTSTMNT03/1250366,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1250366?gameHash=9a864a9d15d4f237,KeSPA,2020,,0,2019-12-23 07:46:06,1,9.24,4,Blue,bot,Mystic,oe:player:7b28158d613ea1869441676fa32a3b5,DN Freecs,oe:team:b05347770d44de27f5e7a25c8cfcbb2,Varus,Irelia,Sejuani,LeBlanc,Ekko,Nocturne,,,,,,2219,1,3,1,4,9,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2434,0.2974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,18339.0,495.872,0.352782,185.8945,391.4736,18.0,0.4867,20.0,0.5408,7.0,82.0,2.2172,17799.0,12997.0,351.4286,0.304991,15975.0,,,397.0,335.0,62.0,24.0,34.0,10.7346,3488.0,3310.0,91.0,3038.0,3171.0,76.0,450.0,139.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,6251.0,5937.0,146.0,4432.0,5015.0,114.0,1819.0,922.0,32.0,1.0,1.0,0.0,0.0,0.0,1.0,8539.0,8276.0,208.0,6407.0,7459.0,174.0,2132.0,817.0,34.0,1.0,1.0,0.0,0.0,0.0,1.0,10527.0,9817.0,254.0,8592.0,10365.0,238.0,1935.0,-548.0,16.0,1.0,1.0,0.0,0.0,0.0,1.0
ESPORTSTMNT03/1250366,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1250366?gameHash=9a864a9d15d4f237,KeSPA,2020,,0,2019-12-23 07:46:06,1,9.24,5,Blue,sup,Jelly,oe:player:1e48e6a94caf09f3d8275ffba847eea,DN Freecs,oe:team:b05347770d44de27f5e7a25c8cfcbb2,Tahm Kench,Irelia,Sejuani,LeBlanc,Ekko,Nocturne,,,,,,2219,1,2,1,6,9,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.2434,0.2974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3813.0,103.1005,0.0733495,258.4137,475.0248,54.0,1.4601,10.0,0.2704,17.0,95.0,2.5687,9700.0,4898.0,132.438,0.114932,8625.0,,,35.0,35.0,0.0,0.0,0.0,0.9464,2620.0,3070.0,16.0,2053.0,2619.0,14.0,567.0,451.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,4077.0,4047.0,24.0,2977.0,3385.0,23.0,1100.0,662.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,5159.0,4982.0,30.0,3921.0,4206.0,28.0,1238.0,776.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,6191.0,5953.0,31.0,4783.0,5456.0,34.0,1408.0,497.0,-3.0,1.0,2.0,0.0,0.0,0.0,2.0
ESPORTSTMNT03/1250366,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1250366?gameHash=9a864a9d15d4f237,KeSPA,2020,,0,2019-12-23 07:46:06,1,9.24,6,Red,top,SoaR,oe:player:93f82d825f42b45556c854fdfcef571,Rockhead Players,oe:team:14098ac4d339fe1a0f13e74109a493c,Fiora,Lucian,Miss Fortune,Akali,Leona,Thresh,,,,,,2219,0,0,2,1,2,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0541,0.2974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,9446.0,255.4123,0.257862,638.2334,723.2447,16.0,0.4326,9.0,0.2434,5.0,36.0,0.9734,13557.0,8755.0,236.7283,0.285752,13843.0,,,353.0,318.0,35.0,25.0,1.0,9.5448,3483.0,5065.0,93.0,3175.0,5101.0,86.0,308.0,-36.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,5124.0,7557.0,138.0,5315.0,8057.0,143.0,-191.0,-500.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,7028.0,10355.0,197.0,7334.0,11030.0,197.0,-306.0,-675.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8904.0,13436.0,254.0,9201.0,13579.0,245.0,-297.0,-143.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
ESPORTSTMNT03/1250366,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1250366?gameHash=9a864a9d15d4f237,KeSPA,2020,,0,2019-12-23 07:46:06,1,9.24,7,Red,jng,BroCColi,oe:player:be26898a3600cb5e9898c0ab68d9139,Rockhead Players,oe:team:14098ac4d339fe1a0f13e74109a493c,Olaf,Lucian,Miss Fortune,Akali,Leona,Thresh,,,,,,2219,0,0,0,2,2,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0541,0.2974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4370.0,118.1613,0.119295,523.452,424.0559,19.0,0.5137,12.0,0.3245,19.0,45.0,1.2168,8598.0,3796.0,102.6408,0.12389,8500.0,,,152.0,35.0,117.0,96.0,0.0,4.11,2740.0,2486.0,53.0,3260.0,2715.0,56.0,-520.0,-229.0,-3.0,0.0,0.0,0.0,1.0,0.0,0.0,4128.0,4279.0,87.0,4584.0,4232.0,84.0,-456.0,47.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,5430.0,5890.0,113.0,5826.0,5404.0,107.0,-396.0,486.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,6293.0,6876.0,127.0,7002.0,6562.0,124.0,-709.0,314.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0
ESPORTSTMNT03/1250366,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1250366?gameHash=9a864a9d15d4f237,KeSPA,2020,,0,2019-12-23 07:46:06,1,9.24,8,Red,mid,Ian,oe:player:245a58a5dc42397caf57bc06c2c0afd,Rockhead Players,oe:team:14098ac4d339fe1a0f13e74109a493c,Ryze,Lucian,Miss Fortune,Akali,Leona,Thresh,,,,,,2219,0,1,2,1,2,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0541,0.2974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10410.0,281.4781,0.284178,336.7192,162.4245,21.0,0.5678,4.0,0.1082,9.0,25.0,0.676,12107.0,7305.0,197.5214,0.238424,10725.0,,,287.0,270.0,17.0,10.0,0.0,7.7603,3132.0,4758.0,85.0,3440.0,5267.0,100.0,-308.0,-509.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,4759.0,7295.0,136.0,5297.0,7764.0,151.0,-538.0,-469.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,6327.0,9290.0,175.0,7518.0,10168.0,198.0,-1191.0,-878.0,-23.0,0.0,0.0,0.0,0.0,0.0,0.0,7965.0,11361.0,213.0,9123.0,11990.0,234.0,-1158.0,-629.0,-21.0,0.0,0.0,0.0,0.0,0.0,0.0
ESPORTSTMNT03/1250366,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1250366?gameHash=9a864a9d15d4f237,KeSPA,2020,,0,2019-12-23 07:46:06,1,9.24,9,Red,bot,Pilot,oe:player:ebec939da49d80219030b8441845ef9,Rockhead Players,oe:team:14098ac4d339fe1a0f13e74109a493c,Xayah,Lucian,Miss Fortune,Akali,Leona,Thresh,,,,,,2219,0,1,2,1,2,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0541,0.2974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,8898.0,240.5949,0.242902,317.1699,229.1302,14.0,0.3785,11.0,0.2974,2.0,37.0,1.0005,13674.0,8872.0,239.8918,0.289571,13225.0,,,351.0,337.0,14.0,14.0,0.0,9.4908,3038.0,3171.0,76.0,3488.0,3310.0,91.0,-450.0,-139.0,-15.0,0.0,0.0,0.0,0.0,1.0,0.0,4432.0,5015.0,114.0,6251.0,5937.0,146.0,-1819.0,-922.0,-32.0,0.0,0.0,1.0,1.0,1.0,0.0,6407.0,7459.0,174.0,8539.0,8276.0,208.0,-2132.0,-817.0,-34.0,0.0,0.0,1.0,1.0,1.0,0.0,8592.0,10365.0,238.0,10527.0,9817.0,254.0,-1935.0,548.0,-16.0,0.0,0.0,1.0,1.0,1.0,0.0
ESPORTSTMNT03/1250366,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1250366?gameHash=9a864a9d15d4f237,KeSPA,2020,,0,2019-12-23 07:46:06,1,9.24,10,Red,sup,Motive,oe:player:0e44b4982a2269376148c9c3bc7f9c3,Rockhead Players,oe:team:14098ac4d339fe1a0f13e74109a493c,Nautilus,Lucian,Miss Fortune,Akali,Leona,Thresh,,,,,,2219,0,0,3,2,2,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0541,0.2974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3508.0,94.8535,0.0957633,339.5313,529.8333,60.0,1.6224,12.0,0.3245,15.0,79.0,2.1361,6713.0,1911.0,51.6719,0.0623634,6750.0,,,38.0,38.0,0.0,0.0,0.0,1.0275,2053.0,2619.0,14.0,2620.0,3070.0,16.0,-567.0,-451.0,-2.0,0.0,0.0,2.0,1.0,1.0,0.0,2977.0,3385.0,23.0,4077.0,4047.0,24.0,-1100.0,-662.0,-1.0,0.0,0.0,2.0,1.0,2.0,0.0,3921.0,4206.0,28.0,5159.0,4982.0,30.0,-1238.0,-776.0,-2.0,0.0,0.0,2.0,1.0,2.0,0.0,4783.0,5456.0,34.0,6191.0,5953.0,31.0,-1408.0,-497.0,3.0,0.0,0.0,2.0,1.0,2.0,0.0
