gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
TRKR1/750688,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRKR1/750688?gameHash=06e9510be4d6e87a,LCK,2016,Spring,0,2015-09-11 08:58:54,1,5.15,1,Blue,top,Expession,oe:player:5cc34b104708b2c71f1fb0fa6cdcecc,Incredible Miracle,oe:team:d4553ea5020d1c35901ff030e2b4922,Gangplank,Rumble,Lulu,Azir,,,,,,,,1744,1,8,1,3,17,6,3,0,0,0,0,0.0,0.0,0.0,0.5849,0.7913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,21672,745.5963,0.35026,406.5482,0.0,10,0.344,4,0.1376,1,0,0.0,13567,9949,342.2821,0.269114,12113,,,210.0,204,6,4,2,7.2248,2986,4200,64,2982,4443,77,4,-243,-13,0,0,0,0,0,0,5003,6557,100,4708,7190,117,295,-633,-17,1,1,1,1,0,1,8568,9110,125,6537,9825,158,2031,-715,-33,6,2,1,2,1,2,10937.0,11295.0,176.0,8305.0,12825.0,210.0,2632.0,-1530.0,-34.0,6.0,2.0,1.0,2.0,1.0,2.0
TRKR1/750688,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRKR1/750688?gameHash=06e9510be4d6e87a,LCK,2016,Spring,0,2015-09-11 08:58:54,1,5.15,2,Blue,jng,TusiN,oe:player:45fa65486c55c031328f189912bbe4b,Incredible Miracle,oe:team:d4553ea5020d1c35901ff030e2b4922,Elise,Rumble,Lulu,Azir,,,,,,,,1744,1,2,2,12,17,6,0,0,0,0,1,0.0,1.0,0.0,0.5849,0.7913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,10600,364.6789,0.171316,742.0183,0.0,31,1.0665,16,0.5505,5,0,0.0,10245,6627,227.9931,0.179259,9460,,,91.0,23,68,49,19,3.1307,2759,2968,30,2690,3222,37,69,-254,-7,0,1,0,0,0,0,4902,5501,54,4054,4809,51,848,692,3,2,2,0,1,0,2,7355,7892,68,5584,7380,65,1771,512,3,2,9,1,2,1,4,8524.0,9062.0,79.0,6700.0,8817.0,84.0,1824.0,245.0,-5.0,2.0,9.0,1.0,2.0,1.0,4.0
TRKR1/750688,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRKR1/750688?gameHash=06e9510be4d6e87a,LCK,2016,Spring,0,2015-09-11 08:58:54,1,5.15,3,Blue,mid,Frozen,oe:player:e6044507491a7471342098b2fa21ce8,Incredible Miracle,oe:team:d4553ea5020d1c35901ff030e2b4922,Diana,Rumble,Lulu,Azir,,,,,,,,1744,1,4,3,8,17,6,0,0,0,0,0,0.0,0.0,0.0,0.5849,0.7913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,11270,387.7294,0.182144,462.2133,0.0,15,0.5161,2,0.0688,1,0,0.0,11611,7993,274.9885,0.216207,10350,,,224.0,194,30,24,6,7.7064,2902,4722,73,3096,4868,86,-194,-146,-13,0,0,0,0,0,0,4763,7212,116,4463,6873,119,300,339,-3,1,2,1,0,1,2,7534,9482,149,6060,9391,163,1474,91,-14,3,6,3,0,3,4,9363.0,12137.0,195.0,7569.0,11320.0,204.0,1794.0,817.0,-9.0,3.0,6.0,3.0,0.0,3.0,4.0
TRKR1/750688,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRKR1/750688?gameHash=06e9510be4d6e87a,LCK,2016,Spring,0,2015-09-11 08:58:54,1,5.15,4,Blue,bot,Sonstar,oe:player:ec37b11727d86633815d7a7a00c6b7d,Incredible Miracle,oe:team:d4553ea5020d1c35901ff030e2b4922,Ashe,Rumble,Lulu,Azir,,,,,,,,1744,1,3,0,7,17,6,0,0,0,0,1,1.0,0.0,0.0,0.5849,0.7913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,14848,510.8257,0.239972,200.3326,0.0,1,0.0344,3,0.1032,0,0,0.0,12097,8479,291.7087,0.229353,10690,,,232.0,213,19,15,4,7.9817,3416,3223,78,2970,2986,78,446,237,0,1,0,0,0,0,1,5677,6139,136,4661,5152,127,1016,987,9,2,1,0,0,0,1,8340,8619,182,6678,7515,170,1662,1104,12,2,4,0,1,1,1,9785.0,10553.0,211.0,8407.0,9842.0,215.0,1378.0,711.0,-4.0,2.0,4.0,0.0,1.0,1.0,1.0
TRKR1/750688,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRKR1/750688?gameHash=06e9510be4d6e87a,LCK,2016,Spring,0,2015-09-11 08:58:54,1,5.15,5,Blue,sup,IgNar,oe:player:e22cffb92554f5dde312609feccc6f8,Incredible Miracle,oe:team:d4553ea5020d1c35901ff030e2b4922,Alistar,Rumble,Lulu,Azir,,,,,,,,1744,1,0,0,12,17,6,0,0,0,0,1,0.0,1.0,0.0,0.5849,0.7913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3484,119.8624,0.056308,565.4243,0.0,41,1.4106,12,0.4128,6,0,0.0,7539,3921,134.8968,0.106067,6285,,,31.0,30,1,1,0,1.0665,1875,2582,7,1853,2737,10,22,-155,-3,0,1,0,0,0,0,3095,4160,14,2682,3815,17,413,345,-3,0,4,0,0,0,0,5032,6018,19,3774,5486,26,1258,532,-7,0,9,0,0,3,2,5990.0,6737.0,24.0,4646.0,7237.0,34.0,1344.0,-500.0,-10.0,0.0,9.0,0.0,0.0,3.0,2.0
TRKR1/750688,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRKR1/750688?gameHash=06e9510be4d6e87a,LCK,2016,Spring,0,2015-09-11 08:58:54,1,5.15,6,Red,top,Cube,oe:player:742a0e380d90d40541e9f5be33dcf9d,Dark Wolves,oe:team:2419c102f4ed9d9a100f80381aa8923,Hecarim,Kalista,Fiora,Viktor,,,,,,,,1744,0,3,2,1,6,17,0,0,0,0,0,0.0,0.0,0.0,0.2064,0.7913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,11527,396.5711,0.248427,715.5619,0.0,12,0.4128,2,0.0688,2,0,0.0,10087,6469,222.5573,0.27422,9508,,,242.0,232,10,10,0,8.3257,2982,4443,77,2986,4200,64,-4,243,13,0,0,0,0,0,0,4708,7190,117,5003,6557,100,-295,633,17,1,0,1,1,1,1,6537,9825,158,8568,9110,125,-2031,715,33,2,1,2,6,2,1,8305.0,12825.0,210.0,10937.0,11295.0,176.0,-2632.0,1530.0,34.0,2.0,1.0,2.0,6.0,2.0,1.0
TRKR1/750688,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRKR1/750688?gameHash=06e9510be4d6e87a,LCK,2016,Spring,0,2015-09-11 08:58:54,1,5.15,7,Red,jng,Krvavy,oe:player:a6da5364e3c986af70fc4eedc16c142,Dark Wolves,oe:team:2419c102f4ed9d9a100f80381aa8923,Rek'Sai,Kalista,Fiora,Viktor,,,,,,,,1744,0,2,5,2,6,17,0,0,0,0,0,0.0,0.0,0.0,0.2064,0.7913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,7231,248.7729,0.155841,901.5138,0.0,24,0.8257,10,0.344,4,0,0.0,7702,4084,140.5046,0.173126,7270,,,99.0,32,67,61,6,3.406,2690,3222,37,2759,2968,30,-69,254,7,0,0,0,0,1,0,4054,4809,51,4902,5501,54,-848,-692,-3,1,0,2,2,2,0,5584,7380,65,7355,7892,68,-1771,-512,-3,2,1,4,2,9,1,6700.0,8817.0,84.0,8524.0,9062.0,79.0,-1824.0,-245.0,5.0,2.0,1.0,4.0,2.0,9.0,1.0
TRKR1/750688,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRKR1/750688?gameHash=06e9510be4d6e87a,LCK,2016,Spring,0,2015-09-11 08:58:54,1,5.15,8,Red,mid,Kyle,oe:player:6422919f4ee131bbd63a41628197298,Dark Wolves,oe:team:2419c102f4ed9d9a100f80381aa8923,Jayce,Kalista,Fiora,Viktor,,,,,,,,1744,0,0,6,4,6,17,0,0,0,0,0,0.0,0.0,0.0,0.2064,0.7913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,12490,429.7018,0.269181,540.7913,0.0,18,0.6193,1,0.0344,0,0,0.0,8671,5053,173.8417,0.2142,8580,,,224.0,212,12,12,0,7.7064,3096,4868,86,2902,4722,73,194,146,13,0,0,0,0,0,0,4463,6873,119,4763,7212,116,-300,-339,3,0,1,2,1,2,1,6060,9391,163,7534,9482,149,-1474,-91,14,0,3,4,3,6,3,7569.0,11320.0,204.0,9363.0,12137.0,195.0,-1794.0,-817.0,9.0,0.0,3.0,4.0,3.0,6.0,3.0
TRKR1/750688,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRKR1/750688?gameHash=06e9510be4d6e87a,LCK,2016,Spring,0,2015-09-11 08:58:54,1,5.15,9,Red,bot,Chelly,oe:player:51ed08ba7ddb9aaed510fe11f8a3f23,Dark Wolves,oe:team:2419c102f4ed9d9a100f80381aa8923,Lucian,Kalista,Fiora,Viktor,,,,,,,,1744,0,1,2,1,6,17,0,0,0,0,0,0.0,0.0,1.0,0.2064,0.7913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,8992,309.3578,0.193793,387.1445,0.0,6,0.2064,3,0.1032,0,0,0.0,9646,6028,207.3853,0.255527,9265,,,240.0,226,14,13,1,8.2569,2970,2986,78,3416,3223,78,-446,-237,0,0,0,1,1,0,0,4661,5152,127,5677,6139,136,-1016,-987,-9,0,0,1,2,1,0,6678,7515,170,8340,8619,182,-1662,-1104,-12,1,1,1,2,4,0,8407.0,9842.0,215.0,9785.0,10553.0,211.0,-1378.0,-711.0,4.0,1.0,1.0,1.0,2.0,4.0,0.0
TRKR1/750688,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRKR1/750688?gameHash=06e9510be4d6e87a,LCK,2016,Spring,0,2015-09-11 08:58:54,1,5.15,10,Red,sup,Jelly,oe:player:1e48e6a94caf09f3d8275ffba847eea,Dark Wolves,oe:team:2419c102f4ed9d9a100f80381aa8923,Braum,Kalista,Fiora,Viktor,,,,,,,,1744,0,0,2,4,6,17,0,0,0,0,0,0.0,0.0,0.0,0.2064,0.7913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,6160,211.9266,0.132759,405.2064,0.0,27,0.9289,9,0.3096,4,0,0.0,5574,1956,67.2936,0.0829264,5420,,,39.0,39,0,0,0,1.3417,1853,2737,10,1875,2582,7,-22,155,3,0,0,0,0,1,0,2682,3815,17,3095,4160,14,-413,-345,3,0,0,0,0,4,0,3774,5486,26,5032,6018,19,-1258,-532,7,0,3,2,0,9,0,4646.0,7237.0,34.0,5990.0,6737.0,24.0,-1344.0,500.0,10.0,0.0,3.0,2.0,0.0,9.0,0.0
