gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT03_3086775,complete,,LCO,2023,Split 1,0,2023-01-23 07:15:02,1,13.01,1,Blue,top,Lived,oe:player:0579842ca3ad16b00b58a1c432faa1c,Team Bliss,oe:team:0b27fc98592297c4441bce44760a642,Gnar,Zeri,Maokai,Yuumi,Jax,Ahri,,,,,,1526,0,0,4,1,11,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4325,1.4155,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,10302.0,405.059,0.177001,613.5256,567.1298,9.0,0.3539,2.0,0.0786,3.0,24.0,0.9436,8214,4825,189.7117,0.177059,8258.0,,,210.0,199.0,11.0,,,8.2569,3233.0,5052.0,87.0,3314.0,4806.0,89.0,-81.0,246.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,5295.0,7956.0,145.0,4949.0,7642.0,138.0,346.0,314.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,6750.0,9736.0,181.0,7042.0,10395.0,176.0,-292.0,-659.0,5.0,0.0,0.0,2.0,1.0,5.0,0.0,8160.0,11836.0,210.0,9221.0,13893.0,202.0,-1061.0,-2057.0,8.0,0.0,1.0,4.0,1.0,11.0,1.0
ESPORTSTMNT03_3086775,complete,,LCO,2023,Split 1,0,2023-01-23 07:15:02,1,13.01,2,Blue,jng,Whynot,oe:player:e35edef8a2cb6212af8fe231b48ea5e,Team Bliss,oe:team:0b27fc98592297c4441bce44760a642,Gragas,Zeri,Maokai,Yuumi,Jax,Ahri,,,,,,1526,0,5,6,2,11,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4325,1.4155,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,0.0,0.0,11263.0,442.844,0.193512,1010.7208,657.2084,12.0,0.4718,6.0,0.2359,5.0,40.0,1.5727,9062,5673,223.0537,0.208175,8735.0,,,143.0,27.0,116.0,,,5.6225,3680.0,3181.0,66.0,3313.0,3245.0,65.0,367.0,-64.0,1.0,2.0,1.0,1.0,0.0,3.0,1.0,5136.0,4489.0,86.0,4844.0,5431.0,96.0,292.0,-942.0,-10.0,2.0,1.0,2.0,0.0,5.0,2.0,6823.0,6899.0,115.0,6469.0,7843.0,123.0,354.0,-944.0,-8.0,2.0,2.0,4.0,0.0,11.0,2.0,9008.0,9436.0,143.0,8440.0,11073.0,137.0,568.0,-1637.0,6.0,5.0,2.0,6.0,0.0,15.0,4.0
ESPORTSTMNT03_3086775,complete,,LCO,2023,Split 1,0,2023-01-23 07:15:02,1,13.01,3,Blue,mid,Daystar,oe:player:e68cc4b2bef76a96aae344b49a81579,Team Bliss,oe:team:0b27fc98592297c4441bce44760a642,Akali,Zeri,Maokai,Yuumi,Jax,Ahri,,,,,,1526,0,1,5,1,11,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4325,1.4155,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,14795.0,581.7169,0.254197,746.9725,528.6763,4.0,0.1573,2.0,0.0786,3.0,13.0,0.5111,9638,6249,245.7012,0.229311,9075.0,,,203.0,203.0,0.0,,,7.9817,3277.0,4966.0,93.0,3280.0,5078.0,93.0,-3.0,-112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4922.0,7327.0,136.0,5381.0,8154.0,148.0,-459.0,-827.0,-12.0,0.0,0.0,1.0,1.0,1.0,0.0,7169.0,9930.0,186.0,9376.0,11613.0,204.0,-2207.0,-1683.0,-18.0,0.0,0.0,2.0,5.0,4.0,0.0,9584.0,11759.0,203.0,14041.0,17437.0,256.0,-4457.0,-5678.0,-53.0,1.0,1.0,5.0,12.0,6.0,0.0
ESPORTSTMNT03_3086775,complete,,LCO,2023,Split 1,0,2023-01-23 07:15:02,1,13.01,4,Blue,bot,Leemas,oe:player:de6a79c709c8f1a5538dff9c2bf0ed3,Team Bliss,oe:team:0b27fc98592297c4441bce44760a642,Lucian,Zeri,Maokai,Yuumi,Jax,Ahri,,,,,,1526,0,5,5,3,11,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4325,1.4155,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,1.0,16715.0,657.2084,0.287185,512.1625,261.8611,10.0,0.3932,7.0,0.2752,1.0,29.0,1.1402,10910,7521,295.7143,0.275985,11775.0,,,220.0,212.0,8.0,,,8.6501,4175.0,3340.0,86.0,3847.0,2608.0,62.0,328.0,732.0,24.0,2.0,1.0,2.0,2.0,1.0,2.0,6680.0,5577.0,132.0,6222.0,4846.0,107.0,458.0,731.0,25.0,4.0,1.0,3.0,3.0,1.0,3.0,9144.0,7490.0,183.0,9001.0,7471.0,142.0,143.0,19.0,41.0,5.0,1.0,4.0,5.0,6.0,4.0,10841.0,9505.0,220.0,12446.0,11463.0,193.0,-1605.0,-1958.0,27.0,5.0,3.0,5.0,7.0,9.0,4.0
ESPORTSTMNT03_3086775,complete,,LCO,2023,Split 1,0,2023-01-23 07:15:02,1,13.01,5,Blue,sup,Benvi,oe:player:994882ce341b5949034f3975746ff32,Team Bliss,oe:team:0b27fc98592297c4441bce44760a642,Nami,Zeri,Maokai,Yuumi,Jax,Ahri,,,,,,1526,0,0,5,9,11,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4325,1.4155,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,5128.0,201.6252,0.0881054,423.1848,207.6409,14.0,0.5505,6.0,0.2359,5.0,40.0,1.5727,6372,2983,117.287,0.10947,6075.0,,,16.0,16.0,0.0,,,0.6291,2606.0,2664.0,5.0,2760.0,2428.0,13.0,-154.0,236.0,-8.0,0.0,4.0,1.0,2.0,2.0,1.0,4088.0,4707.0,12.0,4163.0,4042.0,20.0,-75.0,665.0,-8.0,0.0,6.0,1.0,3.0,4.0,1.0,5430.0,6157.0,16.0,5439.0,6373.0,27.0,-9.0,-216.0,-11.0,0.0,7.0,2.0,3.0,11.0,1.0,6310.0,7337.0,16.0,7823.0,9723.0,32.0,-1513.0,-2386.0,-16.0,0.0,9.0,5.0,5.0,16.0,2.0
ESPORTSTMNT03_3086775,complete,,LCO,2023,Split 1,0,2023-01-23 07:15:02,1,13.01,6,Red,top,BioPanther,oe:player:c1ddab75d1d921ffed44398c4188d60,Chiefs Esports Club,oe:team:692bccdba8ec7050f5aeb916815439e,K'Sante,Caitlyn,Ryze,Wukong,Gangplank,Yasuo,,,,,,1526,1,1,1,11,25,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.983,1.4155,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,6986.0,274.6789,0.120034,627.5623,748.8991,14.0,0.5505,1.0,0.0393,6.0,22.0,0.865,9479,6090,239.4495,0.16809,8980.0,,,204.0,200.0,4.0,,,8.021,3314.0,4806.0,89.0,3233.0,5052.0,87.0,81.0,-246.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4949.0,7642.0,138.0,5295.0,7956.0,145.0,-346.0,-314.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,7042.0,10395.0,176.0,6750.0,9736.0,181.0,292.0,659.0,-5.0,1.0,5.0,0.0,0.0,0.0,2.0,9221.0,13893.0,202.0,8160.0,11836.0,210.0,1061.0,2057.0,-8.0,1.0,11.0,1.0,0.0,1.0,4.0
ESPORTSTMNT03_3086775,complete,,LCO,2023,Split 1,0,2023-01-23 07:15:02,1,13.01,7,Red,jng,Babip,oe:player:cc75d3f9b862e7e5d667d1ce2430fbd,Chiefs Esports Club,oe:team:692bccdba8ec7050f5aeb916815439e,Vi,Caitlyn,Ryze,Wukong,Gangplank,Yasuo,,,,,,1526,1,0,4,15,25,11,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.983,1.4155,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,0.0,0.0,5623.0,221.0878,0.0966151,898.9384,1220.0524,10.0,0.3932,3.0,0.118,7.0,32.0,1.2582,8594,5205,204.6527,0.143664,7625.0,,,137.0,18.0,119.0,,,5.3866,3313.0,3245.0,65.0,3680.0,3181.0,66.0,-367.0,64.0,-1.0,0.0,3.0,1.0,2.0,1.0,1.0,4844.0,5431.0,96.0,5136.0,4489.0,86.0,-292.0,942.0,10.0,0.0,5.0,2.0,2.0,1.0,2.0,6469.0,7843.0,123.0,6823.0,6899.0,115.0,-354.0,944.0,8.0,0.0,11.0,2.0,2.0,2.0,4.0,8440.0,11073.0,137.0,9008.0,9436.0,143.0,-568.0,1637.0,-6.0,0.0,15.0,4.0,5.0,2.0,6.0
ESPORTSTMNT03_3086775,complete,,LCO,2023,Split 1,0,2023-01-23 07:15:02,1,13.01,8,Red,mid,Kisee,oe:player:d51674883fd227c219c9a1fc7da7db4,Chiefs Esports Club,oe:team:692bccdba8ec7050f5aeb916815439e,Kassadin,Caitlyn,Ryze,Wukong,Gangplank,Yasuo,,,,,,1526,1,12,0,6,25,11,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.983,1.4155,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,25517.0,1003.2896,0.438436,814.4037,547.3132,7.0,0.2752,6.0,0.2359,5.0,25.0,0.983,14351,10962,431.0092,0.302553,12760.0,,,262.0,254.0,8.0,,,10.3014,3280.0,5078.0,93.0,3277.0,4966.0,93.0,3.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5381.0,8154.0,148.0,4922.0,7327.0,136.0,459.0,827.0,12.0,1.0,1.0,0.0,0.0,0.0,1.0,9376.0,11613.0,204.0,7169.0,9930.0,186.0,2207.0,1683.0,18.0,5.0,4.0,0.0,0.0,0.0,2.0,14041.0,17437.0,256.0,9584.0,11759.0,203.0,4457.0,5678.0,53.0,12.0,6.0,0.0,1.0,1.0,5.0
ESPORTSTMNT03_3086775,complete,,LCO,2023,Split 1,0,2023-01-23 07:15:02,1,13.01,9,Red,bot,Raes,oe:player:c2c140b8d1f76f3f79b1aba6bb08c37,Chiefs Esports Club,oe:team:692bccdba8ec7050f5aeb916815439e,Kalista,Caitlyn,Ryze,Wukong,Gangplank,Yasuo,,,,,,1526,1,7,4,9,25,11,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.983,1.4155,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,1.0,0.0,14941.0,587.4574,0.256718,503.0406,297.9554,9.0,0.3539,7.0,0.2752,3.0,25.0,0.983,12711,9322,366.5269,0.257291,11400.0,,,195.0,181.0,14.0,,,7.6671,3847.0,2608.0,62.0,4175.0,3340.0,86.0,-328.0,-732.0,-24.0,2.0,1.0,2.0,2.0,1.0,2.0,6222.0,4846.0,107.0,6680.0,5577.0,132.0,-458.0,-731.0,-25.0,3.0,1.0,3.0,4.0,1.0,3.0,9001.0,7471.0,142.0,9144.0,7490.0,183.0,-143.0,-19.0,-41.0,5.0,6.0,4.0,5.0,1.0,4.0,12446.0,11463.0,193.0,10841.0,9505.0,220.0,1605.0,1958.0,-27.0,7.0,9.0,4.0,5.0,3.0,5.0
ESPORTSTMNT03_3086775,complete,,LCO,2023,Split 1,0,2023-01-23 07:15:02,1,13.01,10,Red,sup,Aladoric,oe:player:eaaf2e20683cde8408d05159c05528c,Chiefs Esports Club,oe:team:692bccdba8ec7050f5aeb916815439e,Leona,Caitlyn,Ryze,Wukong,Gangplank,Yasuo,,,,,,1526,1,5,2,16,25,11,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.983,1.4155,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,5133.0,201.8218,0.0881959,507.2477,564.4561,35.0,1.3761,6.0,0.2359,11.0,63.0,2.4771,8041,4652,182.9096,0.128402,6775.0,,,35.0,33.0,2.0,,,1.3761,2760.0,2428.0,13.0,2606.0,2664.0,5.0,154.0,-236.0,8.0,2.0,2.0,1.0,0.0,4.0,1.0,4163.0,4042.0,20.0,4088.0,4707.0,12.0,75.0,-665.0,8.0,3.0,4.0,1.0,0.0,6.0,1.0,5439.0,6373.0,27.0,5430.0,6157.0,16.0,9.0,216.0,11.0,3.0,11.0,1.0,0.0,7.0,2.0,7823.0,9723.0,32.0,6310.0,7337.0,16.0,1513.0,2386.0,16.0,5.0,16.0,2.0,0.0,9.0,5.0
