gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT02/992625,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/992625?gameHash=76f99e0eb8658976,LCS,2019,Spring,0,2019-01-26 21:25:38,1,9.01,1,Blue,top,Impact,oe:player:21f59b54f62b5b8b4bc0f63f0f617fc,Team Liquid,oe:team:8eb884e168f28402ce685bedebb5250,Sion,Irelia,Karthus,Akali,Xin Zhao,Nocturne,,,,,,2182,1,0,1,9,19,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5225,0.8249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9718.0,267.2227,0.0945708,691.2374,1423.7489,14.0,0.385,2.0,0.055,2.0,30.0,0.8249,11774.0,7047.0,193.7764,0.163644,11500.0,,,211.0,211.0,0.0,0.0,0.0,5.802,3111.0,4772.0,72.0,3737.0,4906.0,93.0,-626.0,-134.0,-21.0,0.0,1.0,1.0,0.0,1.0,0.0,4367.0,6656.0,99.0,5774.0,7179.0,134.0,-1407.0,-523.0,-35.0,0.0,2.0,1.0,1.0,2.0,0.0,6389.0,8914.0,142.0,7341.0,9364.0,175.0,-952.0,-450.0,-33.0,0.0,2.0,1.0,1.0,2.0,0.0,7716.0,11068.0,170.0,8824.0,11370.0,205.0,-1108.0,-302.0,-35.0,0.0,3.0,1.0,1.0,3.0,0.0
ESPORTSTMNT02/992625,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/992625?gameHash=76f99e0eb8658976,LCS,2019,Spring,0,2019-01-26 21:25:38,1,9.01,2,Blue,jng,Xmithie,oe:player:419bc348a61e7433593ea741189d833,Team Liquid,oe:team:8eb884e168f28402ce685bedebb5250,Lee Sin,Irelia,Karthus,Akali,Xin Zhao,Nocturne,,,,,,2182,1,3,2,10,19,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5225,0.8249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,13096.0,360.11,0.127444,930.385,1018.6801,19.0,0.5225,9.0,0.2475,11.0,56.0,1.5399,12146.0,7419.0,204.0055,0.172283,12150.0,,,173.0,21.0,152.0,80.0,30.0,4.7571,3092.0,3556.0,57.0,3278.0,3620.0,54.0,-186.0,-64.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,4739.0,5548.0,77.0,4631.0,5741.0,76.0,108.0,-193.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,6260.0,8067.0,108.0,5957.0,7662.0,101.0,303.0,405.0,7.0,1.0,2.0,1.0,1.0,2.0,2.0,7608.0,10226.0,126.0,7471.0,9509.0,123.0,137.0,717.0,3.0,1.0,5.0,1.0,1.0,3.0,3.0
ESPORTSTMNT02/992625,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/992625?gameHash=76f99e0eb8658976,LCS,2019,Spring,0,2019-01-26 21:25:38,1,9.01,3,Blue,mid,Jensen,oe:player:7e0e7ac2a199e8e2ecb30499a3b2153,Team Liquid,oe:team:8eb884e168f28402ce685bedebb5250,Cassiopeia,Irelia,Karthus,Akali,Xin Zhao,Nocturne,,,,,,2182,1,10,2,7,19,11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5225,0.8249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,37165.0,1021.9523,0.361671,546.7644,296.5628,13.0,0.3575,8.0,0.22,5.0,29.0,0.7974,16243.0,11516.0,316.6636,0.267421,14600.0,,,280.0,260.0,20.0,12.0,4.0,7.6994,3613.0,4667.0,77.0,2832.0,3626.0,68.0,781.0,1041.0,9.0,2.0,0.0,0.0,0.0,0.0,1.0,5922.0,7270.0,131.0,5065.0,6636.0,115.0,857.0,634.0,16.0,3.0,1.0,1.0,1.0,1.0,1.0,7830.0,9771.0,184.0,6786.0,8895.0,163.0,1044.0,876.0,21.0,3.0,1.0,1.0,1.0,1.0,1.0,9777.0,11266.0,207.0,8991.0,10937.0,208.0,786.0,329.0,-1.0,5.0,2.0,2.0,2.0,2.0,1.0
ESPORTSTMNT02/992625,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/992625?gameHash=76f99e0eb8658976,LCS,2019,Spring,0,2019-01-26 21:25:38,1,9.01,4,Blue,bot,Doublelift,oe:player:f25df399390d86b9a1e83216dae597b,Team Liquid,oe:team:8eb884e168f28402ce685bedebb5250,Lucian,Irelia,Karthus,Akali,Xin Zhao,Nocturne,,,,,,2182,1,6,2,9,19,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5225,0.8249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,35734.0,982.6031,0.347746,504.1155,338.4418,11.0,0.3025,13.0,0.3575,3.0,39.0,1.0724,16936.0,12209.0,335.7195,0.283514,14825.0,,,347.0,311.0,36.0,16.0,13.0,9.5417,3631.0,3673.0,92.0,3379.0,3260.0,80.0,252.0,413.0,12.0,1.0,0.0,0.0,0.0,0.0,1.0,5602.0,5911.0,147.0,5343.0,5579.0,122.0,259.0,332.0,25.0,1.0,1.0,0.0,1.0,1.0,1.0,7259.0,8112.0,191.0,6966.0,7682.0,158.0,293.0,430.0,33.0,1.0,1.0,0.0,1.0,1.0,1.0,9527.0,10132.0,241.0,9462.0,9993.0,195.0,65.0,139.0,46.0,2.0,3.0,1.0,2.0,2.0,1.0
ESPORTSTMNT02/992625,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/992625?gameHash=76f99e0eb8658976,LCS,2019,Spring,0,2019-01-26 21:25:38,1,9.01,5,Blue,sup,CoreJJ,oe:player:05fafeaf23dc3285558a4e968970b9f,Team Liquid,oe:team:8eb884e168f28402ce685bedebb5250,Braum,Irelia,Karthus,Akali,Xin Zhao,Nocturne,,,,,,2182,1,0,4,12,19,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5225,0.8249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7046.0,193.7489,0.0685682,538.7351,426.407,62.0,1.7049,16.0,0.44,16.0,112.0,3.0797,9599.0,4872.0,133.9688,0.113138,7850.0,,,52.0,52.0,0.0,0.0,0.0,1.4299,2518.0,2713.0,13.0,2331.0,2298.0,11.0,187.0,415.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,4136.0,4004.0,24.0,3836.0,3954.0,22.0,300.0,50.0,2.0,0.0,2.0,1.0,0.0,3.0,1.0,5094.0,4672.0,33.0,4756.0,4683.0,27.0,338.0,-11.0,6.0,0.0,2.0,1.0,0.0,3.0,1.0,6158.0,6009.0,39.0,5840.0,6364.0,33.0,318.0,-355.0,6.0,0.0,5.0,1.0,0.0,4.0,3.0
ESPORTSTMNT02/992625,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/992625?gameHash=76f99e0eb8658976,LCS,2019,Spring,0,2019-01-26 21:25:38,1,9.01,6,Red,top,Licorice,oe:player:e03d0722b6dce835cde3268c08c4f54,Cloud9,oe:team:fc8e90107dabb9a35c490b0d86adea0,Urgot,Aatrox,Galio,Rakan,Tahm Kench,Gragas,,,,,,2182,0,4,3,4,11,19,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3025,0.8249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,17113.0,470.5683,0.189849,766.5811,1450.0367,21.0,0.5775,8.0,0.22,11.0,47.0,1.2924,12564.0,7837.0,215.4995,0.230459,11875.0,,,245.0,225.0,20.0,8.0,4.0,6.7369,3737.0,4906.0,93.0,3111.0,4772.0,72.0,626.0,134.0,21.0,0.0,1.0,0.0,0.0,1.0,1.0,5774.0,7179.0,134.0,4367.0,6656.0,99.0,1407.0,523.0,35.0,1.0,2.0,0.0,0.0,2.0,1.0,7341.0,9364.0,175.0,6389.0,8914.0,142.0,952.0,450.0,33.0,1.0,2.0,0.0,0.0,2.0,1.0,8824.0,11370.0,205.0,7716.0,11068.0,170.0,1108.0,302.0,35.0,1.0,3.0,0.0,0.0,3.0,1.0
ESPORTSTMNT02/992625,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/992625?gameHash=76f99e0eb8658976,LCS,2019,Spring,0,2019-01-26 21:25:38,1,9.01,7,Red,jng,Svenskeren,oe:player:c271341160441d375411fef9bf2f9ef,Cloud9,oe:team:fc8e90107dabb9a35c490b0d86adea0,Nunu & Willump,Aatrox,Galio,Rakan,Tahm Kench,Gragas,,,,,,2182,0,1,7,4,11,19,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3025,0.8249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8237.0,226.4986,0.0913801,1387.8918,1382.1448,13.0,0.3575,14.0,0.385,10.0,54.0,1.4849,9778.0,5051.0,138.8909,0.148534,9470.0,,,157.0,29.0,128.0,79.0,19.0,4.3171,3278.0,3620.0,54.0,3092.0,3556.0,57.0,186.0,64.0,-3.0,1.0,0.0,1.0,0.0,1.0,0.0,4631.0,5741.0,76.0,4739.0,5548.0,77.0,-108.0,193.0,-1.0,1.0,2.0,2.0,1.0,2.0,1.0,5957.0,7662.0,101.0,6260.0,8067.0,108.0,-303.0,-405.0,-7.0,1.0,2.0,2.0,1.0,2.0,1.0,7471.0,9509.0,123.0,7608.0,10226.0,126.0,-137.0,-717.0,-3.0,1.0,3.0,3.0,1.0,5.0,1.0
ESPORTSTMNT02/992625,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/992625?gameHash=76f99e0eb8658976,LCS,2019,Spring,0,2019-01-26 21:25:38,1,9.01,8,Red,mid,Nisqy,oe:player:7adc518d589f32912c06de8dae7848e,Cloud9,oe:team:fc8e90107dabb9a35c490b0d86adea0,Zoe,Aatrox,Galio,Rakan,Tahm Kench,Gragas,,,,,,2182,0,3,3,4,11,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3025,0.8249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,32709.0,899.4225,0.362869,601.3474,265.4079,18.0,0.495,6.0,0.165,11.0,34.0,0.9349,12766.0,8039.0,221.0541,0.236399,12635.0,,,275.0,259.0,16.0,12.0,4.0,7.5619,2832.0,3626.0,68.0,3613.0,4667.0,77.0,-781.0,-1041.0,-9.0,0.0,0.0,1.0,2.0,0.0,0.0,5065.0,6636.0,115.0,5922.0,7270.0,131.0,-857.0,-634.0,-16.0,1.0,1.0,1.0,3.0,1.0,1.0,6786.0,8895.0,163.0,7830.0,9771.0,184.0,-1044.0,-876.0,-21.0,1.0,1.0,1.0,3.0,1.0,1.0,8991.0,10937.0,208.0,9777.0,11266.0,207.0,-786.0,-329.0,1.0,2.0,2.0,1.0,5.0,2.0,2.0
ESPORTSTMNT02/992625,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/992625?gameHash=76f99e0eb8658976,LCS,2019,Spring,0,2019-01-26 21:25:38,1,9.01,9,Red,bot,Sneaky,oe:player:267b730dd2e2dcb97182a2795935491,Cloud9,oe:team:fc8e90107dabb9a35c490b0d86adea0,Ezreal,Aatrox,Galio,Rakan,Tahm Kench,Gragas,,,,,,2182,0,3,2,3,11,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3025,0.8249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,28535.0,784.6471,0.316563,318.0385,195.7012,14.0,0.385,9.0,0.2475,5.0,37.0,1.0174,13814.0,9087.0,249.8717,0.267216,13225.0,,,279.0,266.0,13.0,8.0,0.0,7.6719,3379.0,3260.0,80.0,3631.0,3673.0,92.0,-252.0,-413.0,-12.0,0.0,0.0,1.0,1.0,0.0,0.0,5343.0,5579.0,122.0,5602.0,5911.0,147.0,-259.0,-332.0,-25.0,1.0,1.0,1.0,1.0,1.0,0.0,6966.0,7682.0,158.0,7259.0,8112.0,191.0,-293.0,-430.0,-33.0,1.0,1.0,1.0,1.0,1.0,0.0,9462.0,9993.0,195.0,9527.0,10132.0,241.0,-65.0,-139.0,-46.0,2.0,2.0,1.0,2.0,3.0,1.0
ESPORTSTMNT02/992625,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/992625?gameHash=76f99e0eb8658976,LCS,2019,Spring,0,2019-01-26 21:25:38,1,9.01,10,Red,sup,Zeyzal,oe:player:6841f2d68619d53bdd1cdbf30b5be2c,Cloud9,oe:team:fc8e90107dabb9a35c490b0d86adea0,Alistar,Aatrox,Galio,Rakan,Tahm Kench,Gragas,,,,,,2182,0,0,4,5,11,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3025,0.8249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3546.0,97.5069,0.0393388,481.8973,1007.516,49.0,1.3474,6.0,0.165,17.0,73.0,2.0073,8719.0,3992.0,109.7709,0.117393,6975.0,,,53.0,53.0,0.0,0.0,0.0,1.4574,2331.0,2298.0,11.0,2518.0,2713.0,13.0,-187.0,-415.0,-2.0,0.0,0.0,0.0,0.0,1.0,0.0,3836.0,3954.0,22.0,4136.0,4004.0,24.0,-300.0,-50.0,-2.0,0.0,3.0,1.0,0.0,2.0,1.0,4756.0,4683.0,27.0,5094.0,4672.0,33.0,-338.0,11.0,-6.0,0.0,3.0,1.0,0.0,2.0,1.0,5840.0,6364.0,33.0,6158.0,6009.0,39.0,-318.0,355.0,-6.0,0.0,4.0,3.0,0.0,5.0,1.0
