gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT02/990488,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/990488?gameHash=c59f1f1e15ae17ee,LCSA,2019,Spring,0,2019-01-17 23:31:27,1,9.01,1,Blue,top,Kumo,oe:player:61f2c08eb43e1b4fc0bdd988013ee49,Cloud9 Academy,oe:team:4e28e7839cbb263369dfcb1794a25e2,Aatrox,Kennen,Camille,Akali,Xin Zhao,Olaf,,,,,,1846,1,2,2,8,19,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6176,0.8451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12561.0,408.2665,0.212072,935.5905,733.3911,15.0,0.4875,4.0,0.13,6.0,34.0,1.1051,13109.0,9068.0,294.7346,0.21308,12550.0,,,285.0,258.0,27.0,3.0,17.0,9.2633,3625.0,5001.0,99.0,3016.0,4736.0,73.0,609.0,265.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,6464.0,8399.0,150.0,4244.0,6509.0,102.0,2220.0,1890.0,48.0,2.0,1.0,0.0,0.0,0.0,2.0,8845.0,11917.0,210.0,5686.0,8678.0,137.0,3159.0,3239.0,73.0,2.0,3.0,0.0,0.0,0.0,3.0,10232.0,13849.0,234.0,8633.0,11999.0,174.0,1599.0,1850.0,60.0,2.0,5.0,1.0,2.0,0.0,4.0
ESPORTSTMNT02/990488,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/990488?gameHash=c59f1f1e15ae17ee,LCSA,2019,Spring,0,2019-01-17 23:31:27,1,9.01,2,Blue,jng,Blaber,oe:player:ed455f823b6586e9e3621dfb5aeb42e,Cloud9 Academy,oe:team:4e28e7839cbb263369dfcb1794a25e2,Sejuani,Kennen,Camille,Akali,Xin Zhao,Olaf,,,,,,1846,1,1,0,16,19,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6176,0.8451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,14180.0,460.8884,0.239406,824.1712,826.2189,15.0,0.4875,3.0,0.0975,11.0,37.0,1.2026,10969.0,6928.0,225.1788,0.162792,9625.0,,,146.0,20.0,126.0,78.0,9.0,4.7454,3014.0,3442.0,52.0,3085.0,3573.0,57.0,-71.0,-131.0,-5.0,0.0,0.0,0.0,0.0,1.0,0.0,4934.0,6134.0,77.0,4519.0,5373.0,86.0,415.0,761.0,-9.0,1.0,2.0,0.0,0.0,1.0,1.0,7057.0,8478.0,98.0,5943.0,7447.0,116.0,1114.0,1031.0,-18.0,1.0,7.0,0.0,0.0,2.0,2.0,8547.0,11134.0,119.0,7391.0,10069.0,138.0,1156.0,1065.0,-19.0,1.0,10.0,0.0,0.0,3.0,3.0
ESPORTSTMNT02/990488,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/990488?gameHash=c59f1f1e15ae17ee,LCSA,2019,Spring,0,2019-01-17 23:31:27,1,9.01,3,Blue,mid,Goldenglue,oe:player:88b2fc44169f986bdffd0ffdb0b534a,Cloud9 Academy,oe:team:4e28e7839cbb263369dfcb1794a25e2,Irelia,Kennen,Camille,Akali,Xin Zhao,Olaf,,,,,,1846,1,4,4,3,19,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6176,0.8451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,8512.0,276.6631,0.143711,646.4789,377.1614,18.0,0.585,9.0,0.2925,9.0,41.0,1.3326,11771.0,7730.0,251.2459,0.181638,9658.0,,,249.0,241.0,8.0,8.0,0.0,8.0932,2696.0,3959.0,62.0,3609.0,4735.0,73.0,-913.0,-776.0,-11.0,0.0,0.0,2.0,2.0,0.0,0.0,4574.0,6747.0,117.0,5381.0,7722.0,125.0,-807.0,-975.0,-8.0,0.0,0.0,2.0,2.0,0.0,0.0,6777.0,9381.0,165.0,7394.0,9906.0,165.0,-617.0,-525.0,0.0,1.0,1.0,3.0,3.0,0.0,1.0,8585.0,11380.0,205.0,8801.0,11767.0,190.0,-216.0,-387.0,15.0,2.0,1.0,4.0,4.0,0.0,2.0
ESPORTSTMNT02/990488,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/990488?gameHash=c59f1f1e15ae17ee,LCSA,2019,Spring,0,2019-01-17 23:31:27,1,9.01,4,Blue,bot,Keith,oe:player:e6e30c037d0b75caa94827ead86b4ed,Cloud9 Academy,oe:team:4e28e7839cbb263369dfcb1794a25e2,Corki,Kennen,Camille,Akali,Xin Zhao,Olaf,,,,,,1846,1,7,0,6,19,7,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6176,0.8451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,19926.0,647.649,0.336417,335.7855,193.5536,11.0,0.3575,15.0,0.4875,5.0,42.0,1.3651,15378.0,11337.0,368.4832,0.266399,12608.0,,,319.0,299.0,20.0,20.0,0.0,10.3684,3527.0,3177.0,101.0,3238.0,3269.0,88.0,289.0,-92.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,5718.0,5224.0,162.0,5282.0,5592.0,147.0,436.0,-368.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,8655.0,7935.0,210.0,6863.0,7730.0,187.0,1792.0,205.0,23.0,2.0,1.0,0.0,0.0,1.0,1.0,11410.0,10600.0,262.0,8790.0,10270.0,241.0,2620.0,330.0,21.0,4.0,3.0,0.0,0.0,2.0,2.0
ESPORTSTMNT02/990488,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/990488?gameHash=c59f1f1e15ae17ee,LCSA,2019,Spring,0,2019-01-17 23:31:27,1,9.01,5,Blue,sup,Diamond,oe:player:5a4ed34a7baf1d14942def4ab49ce38,Cloud9 Academy,oe:team:4e28e7839cbb263369dfcb1794a25e2,Leona,Kennen,Camille,Akali,Xin Zhao,Olaf,,,,,,1846,1,5,1,7,19,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6176,0.8451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4051.0,131.6685,0.0683944,305.2979,406.5114,29.0,0.9426,6.0,0.195,5.0,63.0,2.0477,11535.0,7494.0,243.5753,0.176092,6675.0,,,65.0,65.0,0.0,0.0,0.0,2.1127,2616.0,3088.0,15.0,1889.0,2939.0,1.0,727.0,149.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,4328.0,4831.0,26.0,2799.0,4783.0,2.0,1529.0,48.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,6665.0,7420.0,39.0,3722.0,5957.0,5.0,2943.0,1463.0,34.0,2.0,2.0,0.0,0.0,1.0,1.0,8597.0,9533.0,51.0,4629.0,7300.0,7.0,3968.0,2233.0,44.0,4.0,2.0,1.0,0.0,2.0,2.0
ESPORTSTMNT02/990488,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/990488?gameHash=c59f1f1e15ae17ee,LCSA,2019,Spring,0,2019-01-17 23:31:27,1,9.01,6,Red,top,Jenkins,oe:player:2e54334c0a5ce2e3e5a5845df3ab3ad,Team Liquid Academy,oe:team:3406c21f701022dbe9d9bf397b41465,Urgot,Cassiopeia,Galio,Lissandra,Lucian,Kai'Sa,,,,,,1846,0,3,5,0,7,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2275,0.8451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,14343.0,466.1863,0.245616,728.9707,1033.7486,14.0,0.455,5.0,0.1625,4.0,24.0,0.7801,10407.0,6366.0,206.9122,0.247323,9750.0,,,206.0,202.0,4.0,0.0,0.0,6.6956,3016.0,4736.0,73.0,3625.0,5001.0,99.0,-609.0,-265.0,-26.0,0.0,0.0,0.0,0.0,0.0,0.0,4244.0,6509.0,102.0,6464.0,8399.0,150.0,-2220.0,-1890.0,-48.0,0.0,0.0,2.0,2.0,1.0,0.0,5686.0,8678.0,137.0,8845.0,11917.0,210.0,-3159.0,-3239.0,-73.0,0.0,0.0,3.0,2.0,3.0,0.0,8633.0,11999.0,174.0,10232.0,13849.0,234.0,-1599.0,-1850.0,-60.0,2.0,0.0,4.0,2.0,5.0,1.0
ESPORTSTMNT02/990488,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/990488?gameHash=c59f1f1e15ae17ee,LCSA,2019,Spring,0,2019-01-17 23:31:27,1,9.01,7,Red,jng,MikeYeung,oe:player:d9c7d53c5d367ca3d5e760ba0355d9e,Team Liquid Academy,oe:team:3406c21f701022dbe9d9bf397b41465,Jax,Cassiopeia,Galio,Lissandra,Lucian,Kai'Sa,,,,,,1846,0,0,5,3,7,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2275,0.8451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5391.0,175.2221,0.092318,679.2091,461.961,14.0,0.455,7.0,0.2275,8.0,34.0,1.1051,8592.0,4551.0,147.9198,0.176805,8208.0,,,154.0,19.0,135.0,94.0,12.0,5.0054,3085.0,3573.0,57.0,3014.0,3442.0,52.0,71.0,131.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,4519.0,5373.0,86.0,4934.0,6134.0,77.0,-415.0,-761.0,9.0,0.0,1.0,1.0,1.0,2.0,0.0,5943.0,7447.0,116.0,7057.0,8478.0,98.0,-1114.0,-1031.0,18.0,0.0,2.0,2.0,1.0,7.0,0.0,7391.0,10069.0,138.0,8547.0,11134.0,119.0,-1156.0,-1065.0,19.0,0.0,3.0,3.0,1.0,10.0,0.0
ESPORTSTMNT02/990488,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/990488?gameHash=c59f1f1e15ae17ee,LCSA,2019,Spring,0,2019-01-17 23:31:27,1,9.01,8,Red,mid,Insanity,oe:player:ef97df9d746d0e65ed18786ab30031c,Team Liquid Academy,oe:team:3406c21f701022dbe9d9bf397b41465,LeBlanc,Cassiopeia,Galio,Lissandra,Lucian,Kai'Sa,,,,,,1846,0,4,3,0,7,19,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.2275,0.8451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,18966.0,616.4464,0.324783,507.9198,218.5482,13.0,0.4225,5.0,0.1625,7.0,28.0,0.9101,10205.0,6164.0,200.3467,0.239475,9575.0,,,216.0,208.0,8.0,8.0,0.0,7.0206,3609.0,4735.0,73.0,2696.0,3959.0,62.0,913.0,776.0,11.0,2.0,0.0,0.0,0.0,0.0,2.0,5381.0,7722.0,125.0,4574.0,6747.0,117.0,807.0,975.0,8.0,2.0,0.0,0.0,0.0,0.0,2.0,7394.0,9906.0,165.0,6777.0,9381.0,165.0,617.0,525.0,0.0,3.0,0.0,1.0,1.0,1.0,3.0,8801.0,11767.0,190.0,8585.0,11380.0,205.0,216.0,387.0,-15.0,4.0,0.0,2.0,2.0,1.0,4.0
ESPORTSTMNT02/990488,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/990488?gameHash=c59f1f1e15ae17ee,LCSA,2019,Spring,0,2019-01-17 23:31:27,1,9.01,9,Red,bot,Shoryu,oe:player:9129215e2b3c4ffb00f2de34e68c7fb,Team Liquid Academy,oe:team:3406c21f701022dbe9d9bf397b41465,Xayah,Cassiopeia,Galio,Lissandra,Lucian,Kai'Sa,,,,,,1846,0,0,3,3,7,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2275,0.8451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,14902.0,484.3554,0.255189,379.3066,175.0921,11.0,0.3575,5.0,0.1625,3.0,30.0,0.9751,11074.0,7033.0,228.5915,0.273239,10975.0,,,296.0,280.0,16.0,12.0,0.0,9.6208,3238.0,3269.0,88.0,3527.0,3177.0,101.0,-289.0,92.0,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,5282.0,5592.0,147.0,5718.0,5224.0,162.0,-436.0,368.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,6863.0,7730.0,187.0,8655.0,7935.0,210.0,-1792.0,-205.0,-23.0,0.0,1.0,1.0,2.0,1.0,0.0,8790.0,10270.0,241.0,11410.0,10600.0,262.0,-2620.0,-330.0,-21.0,0.0,2.0,2.0,4.0,3.0,0.0
ESPORTSTMNT02/990488,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/990488?gameHash=c59f1f1e15ae17ee,LCSA,2019,Spring,0,2019-01-17 23:31:27,1,9.01,10,Red,sup,Matt Elento,oe:player:d405d30cc615b2947aa5af369ad9fba,Team Liquid Academy,oe:team:3406c21f701022dbe9d9bf397b41465,Rakan,Cassiopeia,Galio,Lissandra,Lucian,Kai'Sa,,,,,,1846,0,0,3,2,7,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2275,0.8451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4794.0,155.818,0.0820947,289.3716,377.519,27.0,0.8776,8.0,0.26,11.0,51.0,1.6576,5667.0,1626.0,52.8494,0.0631585,5525.0,,,9.0,9.0,0.0,0.0,0.0,0.2925,1889.0,2939.0,1.0,2616.0,3088.0,15.0,-727.0,-149.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,2799.0,4783.0,2.0,4328.0,4831.0,26.0,-1529.0,-48.0,-24.0,0.0,0.0,0.0,0.0,0.0,0.0,3722.0,5957.0,5.0,6665.0,7420.0,39.0,-2943.0,-1463.0,-34.0,0.0,1.0,1.0,2.0,2.0,0.0,4629.0,7300.0,7.0,8597.0,9533.0,51.0,-3968.0,-2233.0,-44.0,0.0,2.0,2.0,4.0,2.0,1.0
