gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
TRLH3/1002250012,complete,http://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002250012?gameHash=76825b8eab846cad,LEC,2017,,0,2017-09-08 14:24:46,1,7.16,1,Blue,top,Odoamne,oe:player:2b819506567c258f6fffdd4ec78ca0c,H2k-Gaming,oe:team:5b90b1fda6971ccdccf9eb32286aa50,Rumble,Camille,Galio,Xayah,Orianna,Syndra,,,,,,2042,1,3,3,7,18,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5289,0.8227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,22460.0,659.9412,0.295153,523.2517,537.7963,20.0,0.5877,3.0,0.0881,4.0,33.0,0.9696,13405.0,8984.0,263.9765,0.195896,12385.0,,,268.0,244.0,24.0,7.0,0.0,7.8746,3217.0,4624.0,80.0,3070.0,4281.0,77.0,147.0,343.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,4832.0,7296.0,123.0,4816.0,6806.0,130.0,16.0,490.0,-7.0,0.0,1.0,0.0,0.0,0.0,1.0,6909.0,9567.0,163.0,7103.0,9556.0,185.0,-194.0,11.0,-22.0,1.0,2.0,2.0,0.0,2.0,2.0,8564.0,11490.0,195.0,9332.0,12926.0,236.0,-768.0,-1436.0,-41.0,1.0,4.0,3.0,0.0,4.0,2.0
TRLH3/1002250012,complete,http://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002250012?gameHash=76825b8eab846cad,LEC,2017,,0,2017-09-08 14:24:46,1,7.16,2,Blue,jng,Jankos,oe:player:a2f6e754fc2b358f7786f52decb4274,H2k-Gaming,oe:team:5b90b1fda6971ccdccf9eb32286aa50,Sejuani,Camille,Galio,Xayah,Orianna,Syndra,,,,,,2042,1,6,0,10,18,10,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5289,0.8227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10778.0,316.6895,0.141637,843.3203,1236.7287,34.0,0.999,16.0,0.4701,12.0,87.0,2.5563,13264.0,8843.0,259.8335,0.192822,11650.0,,,154.0,36.0,118.0,71.0,9.0,4.525,3645.0,3574.0,53.0,2722.0,3324.0,35.0,923.0,250.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,4862.0,5086.0,76.0,4130.0,5581.0,67.0,732.0,-495.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,6812.0,7351.0,103.0,5712.0,8015.0,85.0,1100.0,-664.0,18.0,3.0,1.0,0.0,0.0,2.0,0.0,8655.0,9758.0,123.0,7868.0,10776.0,110.0,787.0,-1018.0,13.0,4.0,3.0,0.0,1.0,5.0,1.0
TRLH3/1002250012,complete,http://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002250012?gameHash=76825b8eab846cad,LEC,2017,,0,2017-09-08 14:24:46,1,7.16,3,Blue,mid,FEBIVEN,oe:player:d62421836c8b27dc3ffaffa058b8098,H2k-Gaming,oe:team:5b90b1fda6971ccdccf9eb32286aa50,Cassiopeia,Camille,Galio,Xayah,Orianna,Syndra,,,,,,2042,1,5,1,9,18,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5289,0.8227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,15680.0,460.7248,0.206056,532.8012,328.7659,8.0,0.2351,10.0,0.2938,4.0,36.0,1.0578,15461.0,11040.0,324.3879,0.240727,13135.0,,,328.0,322.0,6.0,5.0,0.0,9.6376,3363.0,4613.0,95.0,3096.0,4760.0,77.0,267.0,-147.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,5233.0,7470.0,154.0,5039.0,7934.0,135.0,194.0,-464.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,7187.0,10256.0,201.0,7924.0,10779.0,177.0,-737.0,-523.0,24.0,0.0,1.0,0.0,3.0,2.0,0.0,9422.0,12831.0,250.0,10169.0,13831.0,215.0,-747.0,-1000.0,35.0,1.0,3.0,1.0,4.0,4.0,1.0
TRLH3/1002250012,complete,http://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002250012?gameHash=76825b8eab846cad,LEC,2017,,0,2017-09-08 14:24:46,1,7.16,4,Blue,bot,Nuclear,oe:player:c49e6d739a7a7356e88aa84503666ee,H2k-Gaming,oe:team:5b90b1fda6971ccdccf9eb32286aa50,Varus,Camille,Galio,Xayah,Orianna,Syndra,,,,,,2042,1,4,3,9,18,10,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5289,0.8227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,22161.0,651.1557,0.291224,496.3075,199.2752,16.0,0.4701,15.0,0.4407,6.0,68.0,1.998,16061.0,11640.0,342.0176,0.25381,14075.0,,,336.0,326.0,10.0,7.0,2.0,9.8727,3187.0,3078.0,80.0,3640.0,3313.0,91.0,-453.0,-235.0,-11.0,0.0,1.0,1.0,1.0,0.0,0.0,4902.0,4771.0,131.0,5396.0,5167.0,145.0,-494.0,-396.0,-14.0,0.0,1.0,1.0,1.0,0.0,0.0,7437.0,7457.0,189.0,8110.0,7427.0,184.0,-673.0,30.0,5.0,0.0,3.0,2.0,2.0,2.0,0.0,9835.0,10210.0,234.0,10513.0,10669.0,221.0,-678.0,-459.0,13.0,1.0,4.0,2.0,3.0,5.0,0.0
TRLH3/1002250012,complete,http://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002250012?gameHash=76825b8eab846cad,LEC,2017,,0,2017-09-08 14:24:46,1,7.16,5,Blue,sup,Chei,oe:player:edfacb40d6409e2d9860254c723799c,H2k-Gaming,oe:team:5b90b1fda6971ccdccf9eb32286aa50,Alistar,Camille,Galio,Xayah,Orianna,Syndra,,,,,,2042,1,0,3,12,18,10,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5289,0.8227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5017.0,147.4143,0.0659299,567.2968,946.6601,48.0,1.4104,10.0,0.2938,16.0,74.0,2.1743,9775.0,5354.0,157.3164,0.116745,8550.0,,,55.0,55.0,0.0,0.0,0.0,1.6161,2019.0,2618.0,11.0,2061.0,2799.0,2.0,-42.0,-181.0,9.0,0.0,1.0,0.0,0.0,1.0,1.0,3077.0,4311.0,21.0,3057.0,4091.0,3.0,20.0,220.0,18.0,0.0,1.0,0.0,0.0,1.0,1.0,4735.0,5848.0,35.0,4433.0,5271.0,8.0,302.0,577.0,27.0,0.0,3.0,1.0,0.0,2.0,2.0,6133.0,7399.0,44.0,6532.0,7540.0,15.0,-399.0,-141.0,29.0,0.0,5.0,3.0,1.0,5.0,3.0
TRLH3/1002250012,complete,http://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002250012?gameHash=76825b8eab846cad,LEC,2017,,0,2017-09-08 14:24:46,1,7.16,6,Red,top,Wunder,oe:player:d11068c782573b34be81beb5a4eeb12,Splyce,oe:team:3413ca4510110b5181f3e4b24d52719,Gnar,Kalista,Jarvan IV,Tristana,Jayce,Kennen,,,,,,2042,0,0,5,5,10,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2938,0.8227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,15411.0,452.8208,0.199392,883.5162,631.0872,18.0,0.5289,4.0,0.1175,3.0,35.0,1.0284,12259.0,7838.0,230.3036,0.219539,11875.0,,,309.0,305.0,4.0,1.0,0.0,9.0793,3070.0,4281.0,77.0,3217.0,4624.0,80.0,-147.0,-343.0,-3.0,0.0,0.0,1.0,0.0,1.0,0.0,4816.0,6806.0,130.0,4832.0,7296.0,123.0,-16.0,-490.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0,7103.0,9556.0,185.0,6909.0,9567.0,163.0,194.0,-11.0,22.0,0.0,2.0,2.0,1.0,2.0,2.0,9332.0,12926.0,236.0,8564.0,11490.0,195.0,768.0,1436.0,41.0,0.0,4.0,2.0,1.0,4.0,3.0
TRLH3/1002250012,complete,http://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002250012?gameHash=76825b8eab846cad,LEC,2017,,0,2017-09-08 14:24:46,1,7.16,7,Red,jng,Kold,oe:player:da3c9352492e69b0e04b2cd51c3984b,Splyce,oe:team:3413ca4510110b5181f3e4b24d52719,Gragas,Kalista,Jarvan IV,Tristana,Jayce,Kennen,,,,,,2042,0,1,3,6,10,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2938,0.8227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8001.0,235.093,0.103519,941.8413,997.287,28.0,0.8227,9.0,0.2644,8.0,63.0,1.8511,10052.0,5631.0,165.4554,0.157723,9350.0,,,143.0,22.0,121.0,88.0,7.0,4.2018,2722.0,3324.0,35.0,3645.0,3574.0,53.0,-923.0,-250.0,-18.0,0.0,0.0,0.0,2.0,0.0,0.0,4130.0,5581.0,67.0,4862.0,5086.0,76.0,-732.0,495.0,-9.0,0.0,0.0,0.0,2.0,0.0,0.0,5712.0,8015.0,85.0,6812.0,7351.0,103.0,-1100.0,664.0,-18.0,0.0,2.0,0.0,3.0,1.0,0.0,7868.0,10776.0,110.0,8655.0,9758.0,123.0,-787.0,1018.0,-13.0,1.0,5.0,1.0,4.0,3.0,0.0
TRLH3/1002250012,complete,http://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002250012?gameHash=76825b8eab846cad,LEC,2017,,0,2017-09-08 14:24:46,1,7.16,8,Red,mid,Sencux,oe:player:2096ff50c6496d70e4b39793390c9ce,Splyce,oe:team:3413ca4510110b5181f3e4b24d52719,Vel'Koz,Kalista,Jarvan IV,Tristana,Jayce,Kennen,,,,,,2042,0,4,3,4,10,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2938,0.8227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,22351.0,656.7385,0.289184,389.6768,129.8727,18.0,0.5289,4.0,0.1175,5.0,27.0,0.7933,12828.0,8407.0,247.0225,0.235476,11575.0,,,276.0,266.0,10.0,10.0,0.0,8.1097,3096.0,4760.0,77.0,3363.0,4613.0,95.0,-267.0,147.0,-18.0,0.0,1.0,0.0,0.0,0.0,0.0,5039.0,7934.0,135.0,5233.0,7470.0,154.0,-194.0,464.0,-19.0,0.0,1.0,0.0,0.0,0.0,0.0,7924.0,10779.0,177.0,7187.0,10256.0,201.0,737.0,523.0,-24.0,3.0,2.0,0.0,0.0,1.0,0.0,10169.0,13831.0,215.0,9422.0,12831.0,250.0,747.0,1000.0,-35.0,4.0,4.0,1.0,1.0,3.0,1.0
TRLH3/1002250012,complete,http://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002250012?gameHash=76825b8eab846cad,LEC,2017,,0,2017-09-08 14:24:46,1,7.16,9,Red,bot,Kobbe,oe:player:bdb90de1ad7c2b7c38ce6f1177c1f62,Splyce,oe:team:3413ca4510110b5181f3e4b24d52719,Jhin,Kalista,Jarvan IV,Tristana,Jayce,Kennen,,,,,,2042,0,4,2,5,10,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2938,0.8227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,24225.0,711.8022,0.31343,318.4525,162.0176,14.0,0.4114,7.0,0.2057,5.0,51.0,1.4985,13763.0,9342.0,274.4956,0.261665,12725.0,,,293.0,277.0,16.0,11.0,0.0,8.6092,3640.0,3313.0,91.0,3187.0,3078.0,80.0,453.0,235.0,11.0,1.0,0.0,0.0,0.0,1.0,1.0,5396.0,5167.0,145.0,4902.0,4771.0,131.0,494.0,396.0,14.0,1.0,0.0,0.0,0.0,1.0,1.0,8110.0,7427.0,184.0,7437.0,7457.0,189.0,673.0,-30.0,-5.0,2.0,2.0,0.0,0.0,3.0,2.0,10513.0,10669.0,221.0,9835.0,10210.0,234.0,678.0,459.0,-13.0,3.0,5.0,0.0,1.0,4.0,2.0
TRLH3/1002250012,complete,http://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002250012?gameHash=76825b8eab846cad,LEC,2017,,0,2017-09-08 14:24:46,1,7.16,10,Red,sup,Mikyx,oe:player:9d5052e9f9f4a63835f738441a3b1f6,Splyce,oe:team:3413ca4510110b5181f3e4b24d52719,Rakan,Kalista,Jarvan IV,Tristana,Jayce,Kennen,,,,,,2042,0,1,5,6,10,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2938,0.8227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7302.0,214.5544,0.0944754,481.6748,438.2468,49.0,1.4398,21.0,0.617,15.0,109.0,3.2027,8905.0,4484.0,131.7532,0.125596,8675.0,,,25.0,25.0,0.0,0.0,0.0,0.7346,2061.0,2799.0,2.0,2019.0,2618.0,11.0,42.0,181.0,-9.0,0.0,1.0,1.0,0.0,1.0,0.0,3057.0,4091.0,3.0,3077.0,4311.0,21.0,-20.0,-220.0,-18.0,0.0,1.0,1.0,0.0,1.0,0.0,4433.0,5271.0,8.0,4735.0,5848.0,35.0,-302.0,-577.0,-27.0,0.0,2.0,2.0,0.0,3.0,1.0,6532.0,7540.0,15.0,6133.0,7399.0,44.0,399.0,141.0,-29.0,1.0,5.0,3.0,0.0,5.0,3.0
