gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
97bd2c23-1921-44c2-b70c-d2f91c9165ce,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1390161?gameHash=c77bd1d7e54d4801,LEC,2020,Spring,0,2020-01-24 16:17:25,1,10.01,1,Blue,top,Wunder,cce31a73-d979-4903-8685-badb0bef90ae,G2 Esports,00e3c82f-87c7-4a6a-a0fe-59dc8be2c789,Aatrox,Irelia,Rumble,Pantheon,LeBlanc,Thresh,,,,,,2059,1,4,3,9,21,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6119,1.0199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,20688.0,602.8558,0.229339,861.3599,836.8528,15.0,0.4371,4.0,0.1166,5.0,37.0,1.0782,13645,9169.0,267.188,0.230748,13575.0,,,262.0,214.0,48.0,27.0,4.0,7.6348,3115.0,4500.0,80.0,3143.0,4814.0,69.0,-28.0,-314.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,4767.0,7130.0,131.0,5538.0,8084.0,126.0,-771.0,-954.0,5.0,0.0,0.0,2.0,0.0,2.0,0.0,7381.0,9957.0,176.0,7146.0,10080.0,154.0,235.0,-123.0,22.0,1.0,0.0,2.0,0.0,4.0,0.0,9948.0,13201.0,226.0,8543.0,12325.0,181.0,1405.0,876.0,45.0,2.0,1.0,2.0,0.0,6.0,0.0
97bd2c23-1921-44c2-b70c-d2f91c9165ce,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1390161?gameHash=c77bd1d7e54d4801,LEC,2020,Spring,0,2020-01-24 16:17:25,1,10.01,2,Blue,jng,Jankos,9b28b106-b00b-458c-9a91-b2e3ca1bd9c2,G2 Esports,00e3c82f-87c7-4a6a-a0fe-59dc8be2c789,Elise,Irelia,Rumble,Pantheon,LeBlanc,Thresh,,,,,,2059,1,3,4,8,21,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6119,1.0199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,17087.0,497.9213,0.18942,638.7567,310.8402,36.0,1.0491,21.0,0.6119,10.0,90.0,2.6226,11239,6763.0,197.0763,0.170198,10560.0,,,195.0,38.0,157.0,108.0,12.0,5.6824,2819.0,2654.0,57.0,3227.0,3177.0,58.0,-408.0,-523.0,-1.0,0.0,0.0,1.0,1.0,0.0,0.0,4397.0,4539.0,96.0,4560.0,4513.0,73.0,-163.0,26.0,23.0,0.0,0.0,1.0,2.0,0.0,0.0,5890.0,5933.0,117.0,6605.0,6863.0,108.0,-715.0,-930.0,9.0,1.0,0.0,2.0,3.0,1.0,0.0,7632.0,7688.0,146.0,8133.0,8733.0,140.0,-501.0,-1045.0,6.0,2.0,1.0,3.0,3.0,3.0,0.0
97bd2c23-1921-44c2-b70c-d2f91c9165ce,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1390161?gameHash=c77bd1d7e54d4801,LEC,2020,Spring,0,2020-01-24 16:17:25,1,10.01,3,Blue,mid,Perkz,38ea333e-d986-4e67-9329-92d94565d0a9,G2 Esports,00e3c82f-87c7-4a6a-a0fe-59dc8be2c789,Qiyana,Irelia,Rumble,Pantheon,LeBlanc,Thresh,,,,,,2059,1,5,1,7,21,14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6119,1.0199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,20485.0,596.9403,0.227089,378.067,213.9777,36.0,1.0491,16.0,0.4662,9.0,67.0,1.9524,13172,8696.0,253.4046,0.218844,12175.0,,,260.0,242.0,18.0,8.0,4.0,7.5765,3076.0,4491.0,80.0,3173.0,4817.0,84.0,-97.0,-326.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,4836.0,7300.0,129.0,4884.0,7203.0,127.0,-48.0,97.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,6829.0,9741.0,168.0,6623.0,9428.0,168.0,206.0,313.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,9143.0,12833.0,223.0,8659.0,11741.0,212.0,484.0,1092.0,11.0,1.0,3.0,0.0,1.0,1.0,4.0
97bd2c23-1921-44c2-b70c-d2f91c9165ce,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1390161?gameHash=c77bd1d7e54d4801,LEC,2020,Spring,0,2020-01-24 16:17:25,1,10.01,4,Blue,bot,Caps,6d52af9f-4c95-4b3f-ab93-82f9e3dc2374,G2 Esports,00e3c82f-87c7-4a6a-a0fe-59dc8be2c789,Senna,Irelia,Rumble,Pantheon,LeBlanc,Thresh,,,,,,2059,1,9,0,12,21,14,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6119,1.0199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,24729.0,720.6119,0.274136,330.2186,209.898,6.0,0.1748,7.0,0.204,1.0,29.0,0.8451,15834,11358.0,330.9762,0.285836,13325.0,,,261.0,243.0,18.0,14.0,0.0,7.6056,3051.0,3195.0,76.0,3523.0,2982.0,65.0,-472.0,213.0,11.0,0.0,0.0,0.0,2.0,1.0,0.0,5188.0,5508.0,124.0,5985.0,4882.0,115.0,-797.0,626.0,9.0,1.0,0.0,0.0,2.0,1.0,0.0,7824.0,8566.0,182.0,7928.0,6726.0,159.0,-104.0,1840.0,23.0,2.0,2.0,0.0,3.0,1.0,2.0,10009.0,11358.0,228.0,10518.0,9177.0,215.0,-509.0,2181.0,13.0,2.0,5.0,0.0,5.0,1.0,3.0
97bd2c23-1921-44c2-b70c-d2f91c9165ce,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1390161?gameHash=c77bd1d7e54d4801,LEC,2020,Spring,0,2020-01-24 16:17:25,1,10.01,5,Blue,sup,Mikyx,98a8a2d0-fa87-45af-b5a5-e532007ef3d7,G2 Esports,00e3c82f-87c7-4a6a-a0fe-59dc8be2c789,Nautilus,Irelia,Rumble,Pantheon,LeBlanc,Thresh,,,,,,2059,1,0,6,17,21,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6119,1.0199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,7218.0,210.3351,0.080016,472.2487,732.6469,60.0,1.7484,11.0,0.3205,20.0,98.0,2.8558,8226,3750.0,109.2763,0.0943734,7650.0,,,39.0,39.0,0.0,0.0,0.0,1.1365,2054.0,2321.0,13.0,2578.0,2832.0,13.0,-524.0,-511.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,3178.0,3922.0,23.0,3944.0,4299.0,21.0,-766.0,-377.0,2.0,0.0,1.0,2.0,1.0,2.0,0.0,4390.0,5515.0,29.0,5130.0,5308.0,28.0,-740.0,207.0,1.0,0.0,3.0,3.0,1.0,4.0,0.0,5320.0,7030.0,31.0,6203.0,7108.0,33.0,-883.0,-78.0,-2.0,0.0,5.0,5.0,1.0,7.0,0.0
97bd2c23-1921-44c2-b70c-d2f91c9165ce,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1390161?gameHash=c77bd1d7e54d4801,LEC,2020,Spring,0,2020-01-24 16:17:25,1,10.01,6,Red,top,Orome,6e984ace-2a73-4d89-9fa3-f66aa1d51e98,MAD Lions KOI,5145a0f9-45ec-4fc0-9a21-36a6a8c105f1,Ornn,Akali,Yasuo,Diana,Kayle,Rakan,,,,,,2059,0,0,3,7,14,21,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.408,1.0199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10195.0,297.086,0.169968,702.4575,882.6323,13.0,0.3788,6.0,0.1748,4.0,27.0,0.7868,11225,6749.0,196.6683,0.205995,10960.0,,,232.0,231.0,1.0,1.0,0.0,6.7606,3143.0,4814.0,69.0,3115.0,4500.0,80.0,28.0,314.0,-11.0,0.0,1.0,0.0,0.0,0.0,1.0,5538.0,8084.0,126.0,4767.0,7130.0,131.0,771.0,954.0,-5.0,0.0,2.0,0.0,0.0,0.0,2.0,7146.0,10080.0,154.0,7381.0,9957.0,176.0,-235.0,123.0,-22.0,0.0,4.0,0.0,1.0,0.0,2.0,8543.0,12325.0,181.0,9948.0,13201.0,226.0,-1405.0,-876.0,-45.0,0.0,6.0,0.0,2.0,1.0,2.0
97bd2c23-1921-44c2-b70c-d2f91c9165ce,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1390161?gameHash=c77bd1d7e54d4801,LEC,2020,Spring,0,2020-01-24 16:17:25,1,10.01,7,Red,jng,Shad0w,6a0a84f4-28fc-4978-a5b6-003a1e1b7743,MAD Lions KOI,5145a0f9-45ec-4fc0-9a21-36a6a8c105f1,Lee Sin,Akali,Yasuo,Diana,Kayle,Rakan,,,,,,2059,0,4,1,4,14,21,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.408,1.0199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8461.0,246.5566,0.141059,762.3701,759.1064,18.0,0.5245,10.0,0.2914,10.0,38.0,1.1073,10539,6063.0,176.678,0.185056,10025.0,,,177.0,25.0,152.0,116.0,8.0,5.1578,3227.0,3177.0,58.0,2819.0,2654.0,57.0,408.0,523.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4560.0,4513.0,73.0,4397.0,4539.0,96.0,163.0,-26.0,-23.0,2.0,0.0,0.0,0.0,0.0,1.0,6605.0,6863.0,108.0,5890.0,5933.0,117.0,715.0,930.0,-9.0,3.0,1.0,0.0,1.0,0.0,2.0,8133.0,8733.0,140.0,7632.0,7688.0,146.0,501.0,1045.0,-6.0,3.0,3.0,0.0,2.0,1.0,3.0
97bd2c23-1921-44c2-b70c-d2f91c9165ce,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1390161?gameHash=c77bd1d7e54d4801,LEC,2020,Spring,0,2020-01-24 16:17:25,1,10.01,8,Red,mid,Humanoid,7e0604c8-1384-4ef5-bb6a-1749aaf91737,MAD Lions KOI,5145a0f9-45ec-4fc0-9a21-36a6a8c105f1,Mordekaiser,Akali,Yasuo,Diana,Kayle,Rakan,,,,,,2059,0,2,8,2,14,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.408,1.0199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,13858.0,403.8271,0.231036,884.4682,709.5678,18.0,0.5245,9.0,0.2623,7.0,29.0,0.8451,11247,6771.0,197.3094,0.206666,10125.0,,,239.0,224.0,15.0,7.0,0.0,6.9645,3173.0,4817.0,84.0,3076.0,4491.0,80.0,97.0,326.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4884.0,7203.0,127.0,4836.0,7300.0,129.0,48.0,-97.0,-2.0,0.0,0.0,1.0,0.0,1.0,0.0,6623.0,9428.0,168.0,6829.0,9741.0,168.0,-206.0,-313.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,8659.0,11741.0,212.0,9143.0,12833.0,223.0,-484.0,-1092.0,-11.0,1.0,1.0,4.0,1.0,3.0,0.0
97bd2c23-1921-44c2-b70c-d2f91c9165ce,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1390161?gameHash=c77bd1d7e54d4801,LEC,2020,Spring,0,2020-01-24 16:17:25,1,10.01,9,Red,bot,Carzzy,ec85e00c-32bd-41ae-9004-5723043ec100,MAD Lions KOI,5145a0f9-45ec-4fc0-9a21-36a6a8c105f1,Aphelios,Akali,Yasuo,Diana,Kayle,Rakan,,,,,,2059,0,7,6,2,14,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.408,1.0199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,20798.0,606.0612,0.346737,443.866,420.0,8.0,0.2331,17.0,0.4954,3.0,29.0,0.8451,14341,9865.0,287.4696,0.301101,14585.0,,,283.0,251.0,32.0,24.0,4.0,8.2467,3523.0,2982.0,65.0,3051.0,3195.0,76.0,472.0,-213.0,-11.0,2.0,1.0,0.0,0.0,0.0,0.0,5985.0,4882.0,115.0,5188.0,5508.0,124.0,797.0,-626.0,-9.0,2.0,1.0,0.0,1.0,0.0,0.0,7928.0,6726.0,159.0,7824.0,8566.0,182.0,104.0,-1840.0,-23.0,3.0,1.0,2.0,2.0,2.0,0.0,10518.0,9177.0,215.0,10009.0,11358.0,228.0,509.0,-2181.0,-13.0,5.0,1.0,3.0,2.0,5.0,0.0
97bd2c23-1921-44c2-b70c-d2f91c9165ce,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1390161?gameHash=c77bd1d7e54d4801,LEC,2020,Spring,0,2020-01-24 16:17:25,1,10.01,10,Red,sup,Kaiser,64bbf9f3-d904-4f89-8d09-e189ff171f79,MAD Lions KOI,5145a0f9-45ec-4fc0-9a21-36a6a8c105f1,Braum,Akali,Yasuo,Diana,Kayle,Rakan,,,,,,2059,0,1,3,9,14,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.408,1.0199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,6670.0,194.3662,0.1112,520.5051,605.7698,54.0,1.5736,14.0,0.408,22.0,78.0,2.2729,7791,3315.0,96.6003,0.101182,7400.0,,,36.0,36.0,0.0,0.0,0.0,1.0491,2578.0,2832.0,13.0,2054.0,2321.0,13.0,524.0,511.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,3944.0,4299.0,21.0,3178.0,3922.0,23.0,766.0,377.0,-2.0,1.0,2.0,0.0,0.0,1.0,2.0,5130.0,5308.0,28.0,4390.0,5515.0,29.0,740.0,-207.0,-1.0,1.0,4.0,0.0,0.0,3.0,3.0,6203.0,7108.0,33.0,5320.0,7030.0,31.0,883.0,78.0,2.0,1.0,7.0,0.0,0.0,5.0,5.0
