gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT02/991129,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/991129?gameHash=9c46ef355290c26b,LFL,2019,Spring,0,2019-01-22 17:24:40,1,9.01,1,Blue,top,Katare,oe:player:eec4b8988cbdbc6ba19055261f926e7,Solary,oe:team:90938c428db11f6e372f5c6833b9743,Ryze,Irelia,Galio,Akali,Ezreal,Tahm Kench,,,,,,1846,0,1,3,1,6,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.195,0.6176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8424.0,273.8028,0.178407,401.0834,361.6251,16.0,0.52,5.0,0.1625,7.0,27.0,0.8776,11255.0,7214.0,234.4745,0.219659,11425.0,,,276.0,255.0,21.0,9.0,0.0,8.9707,3295.0,4636.0,88.0,3500.0,4902.0,98.0,-205.0,-266.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,5117.0,7604.0,144.0,6145.0,7441.0,143.0,-1028.0,163.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,6730.0,10057.0,180.0,7795.0,9878.0,189.0,-1065.0,179.0,-9.0,0.0,1.0,1.0,1.0,1.0,2.0,8598.0,12549.0,224.0,10847.0,13791.0,242.0,-2249.0,-1242.0,-18.0,0.0,1.0,2.0,2.0,4.0,2.0
ESPORTSTMNT02/991129,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/991129?gameHash=9c46ef355290c26b,LFL,2019,Spring,0,2019-01-22 17:24:40,1,9.01,2,Blue,jng,Manaty,oe:player:48214ce48e2b8ba2391244084ddd226,Solary,oe:team:90938c428db11f6e372f5c6833b9743,Udyr,Irelia,Galio,Akali,Ezreal,Tahm Kench,,,,,,1846,0,1,3,1,6,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.195,0.6176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4946.0,160.7584,0.104748,779.3499,586.8364,8.0,0.26,15.0,0.4875,8.0,47.0,1.5276,9915.0,5874.0,190.9209,0.178855,9858.0,,,202.0,33.0,169.0,111.0,12.0,6.5655,3333.0,4142.0,71.0,3208.0,3908.0,63.0,125.0,234.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,5224.0,6838.0,108.0,5735.0,7697.0,117.0,-511.0,-859.0,-9.0,1.0,0.0,1.0,0.0,2.0,0.0,7069.0,9332.0,148.0,7101.0,9595.0,140.0,-32.0,-263.0,8.0,1.0,0.0,1.0,0.0,3.0,1.0,8410.0,11341.0,174.0,9692.0,12880.0,177.0,-1282.0,-1539.0,-3.0,1.0,0.0,1.0,2.0,5.0,1.0
ESPORTSTMNT02/991129,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/991129?gameHash=9c46ef355290c26b,LFL,2019,Spring,0,2019-01-22 17:24:40,1,9.01,3,Blue,mid,Tioo,oe:player:958f7ec401e086653c254f5cc1695b1,Solary,oe:team:90938c428db11f6e372f5c6833b9743,Vladimir,Irelia,Galio,Akali,Ezreal,Tahm Kench,,,,,,1846,0,2,4,1,6,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.195,0.6176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,13323.0,433.0336,0.282159,834.117,353.7595,10.0,0.325,3.0,0.0975,4.0,19.0,0.6176,10728.0,6687.0,217.3456,0.203611,10385.0,,,248.0,240.0,8.0,5.0,0.0,8.0607,3393.0,4862.0,94.0,3154.0,4578.0,82.0,239.0,284.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,5612.0,7757.0,150.0,4895.0,7379.0,133.0,717.0,378.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0,7416.0,10187.0,183.0,6643.0,9797.0,179.0,773.0,390.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0,8805.0,12050.0,218.0,8698.0,12706.0,222.0,107.0,-656.0,-4.0,1.0,0.0,2.0,0.0,1.0,1.0
ESPORTSTMNT02/991129,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/991129?gameHash=9c46ef355290c26b,LFL,2019,Spring,0,2019-01-22 17:24:40,1,9.01,4,Blue,bot,Wakz,oe:player:fbf3b6f00248487b0938436093c4ef7,Solary,oe:team:90938c428db11f6e372f5c6833b9743,Lucian,Irelia,Galio,Akali,Ezreal,Tahm Kench,,,,,,1846,0,1,1,3,6,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.195,0.6176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,15205.0,494.2037,0.322017,416.1972,301.8852,12.0,0.39,7.0,0.2275,4.0,29.0,0.9426,12069.0,8028.0,260.9317,0.244446,12000.0,,,298.0,282.0,16.0,16.0,0.0,9.6858,3426.0,3284.0,97.0,3350.0,3035.0,95.0,76.0,249.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6133.0,5742.0,151.0,6002.0,5345.0,141.0,131.0,397.0,10.0,0.0,1.0,0.0,2.0,1.0,0.0,8603.0,8437.0,213.0,8054.0,7339.0,186.0,549.0,1098.0,27.0,1.0,1.0,0.0,3.0,1.0,0.0,10115.0,10087.0,255.0,10629.0,10436.0,220.0,-514.0,-349.0,35.0,1.0,1.0,1.0,4.0,4.0,0.0
ESPORTSTMNT02/991129,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/991129?gameHash=9c46ef355290c26b,LFL,2019,Spring,0,2019-01-22 17:24:40,1,9.01,5,Blue,sup,Hantera,oe:player:de1fb222dafded7d06b10df578fdd0e,Solary,oe:team:90938c428db11f6e372f5c6833b9743,Sejuani,Irelia,Galio,Akali,Ezreal,Tahm Kench,,,,,,1846,0,1,2,3,6,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.195,0.6176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5320.0,172.9144,0.112669,418.8299,373.9437,42.0,1.3651,3.0,0.0975,12.0,65.0,2.1127,9080.0,5039.0,163.7811,0.153428,6950.0,,,57.0,57.0,0.0,0.0,0.0,1.8527,2545.0,3012.0,13.0,2365.0,2947.0,13.0,180.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4587.0,5057.0,22.0,4411.0,4600.0,24.0,176.0,457.0,-2.0,1.0,1.0,1.0,0.0,3.0,0.0,6393.0,6560.0,35.0,6284.0,6440.0,38.0,109.0,120.0,-3.0,1.0,2.0,1.0,0.0,4.0,0.0,7419.0,7573.0,46.0,8209.0,9526.0,52.0,-790.0,-1953.0,-6.0,1.0,2.0,2.0,0.0,8.0,0.0
ESPORTSTMNT02/991129,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/991129?gameHash=9c46ef355290c26b,LFL,2019,Spring,0,2019-01-22 17:24:40,1,9.01,6,Red,top,Jaeger,oe:player:a688eba372e5b7f4f1a3e15341e369c,GamersOrigin,oe:team:d4795b41be2ffe2063d40d1509eb890,Urgot,Cassiopeia,Aatrox,Camille,Morgana,Thresh,,,,,,1846,1,2,2,7,13,6,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.4225,0.6176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9742.0,316.6414,0.159037,544.6479,888.299,13.0,0.4225,13.0,0.4225,3.0,45.0,1.4626,12877.0,8836.0,287.1939,0.217203,11025.0,,,266.0,254.0,12.0,1.0,0.0,8.6457,3500.0,4902.0,98.0,3295.0,4636.0,88.0,205.0,266.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,6145.0,7441.0,143.0,5117.0,7604.0,144.0,1028.0,-163.0,-1.0,1.0,1.0,1.0,0.0,0.0,1.0,7795.0,9878.0,189.0,6730.0,10057.0,180.0,1065.0,-179.0,9.0,1.0,1.0,2.0,0.0,1.0,1.0,10847.0,13791.0,242.0,8598.0,12549.0,224.0,2249.0,1242.0,18.0,2.0,4.0,2.0,0.0,1.0,2.0
ESPORTSTMNT02/991129,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/991129?gameHash=9c46ef355290c26b,LFL,2019,Spring,0,2019-01-22 17:24:40,1,9.01,7,Red,jng,Pridestalkr,oe:player:99594a251af944b3571fe7f37363303,GamersOrigin,oe:team:d4795b41be2ffe2063d40d1509eb890,Karthus,Cassiopeia,Aatrox,Camille,Morgana,Thresh,,,,,,1846,1,4,3,7,13,6,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4225,0.6176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,17691.0,575.0054,0.288804,655.6771,252.0585,12.0,0.39,6.0,0.195,9.0,32.0,1.0401,12351.0,8310.0,270.0975,0.204272,13185.0,,,209.0,30.0,179.0,132.0,9.0,6.7931,3208.0,3908.0,63.0,3333.0,4142.0,71.0,-125.0,-234.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,5735.0,7697.0,117.0,5224.0,6838.0,108.0,511.0,859.0,9.0,0.0,2.0,0.0,1.0,0.0,1.0,7101.0,9595.0,140.0,7069.0,9332.0,148.0,32.0,263.0,-8.0,0.0,3.0,1.0,1.0,0.0,1.0,9692.0,12880.0,177.0,8410.0,11341.0,174.0,1282.0,1539.0,3.0,2.0,5.0,1.0,1.0,0.0,1.0
ESPORTSTMNT02/991129,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/991129?gameHash=9c46ef355290c26b,LFL,2019,Spring,0,2019-01-22 17:24:40,1,9.01,8,Red,mid,Tonerre,oe:player:e3c9e8502497e64cee54730fbcb10a9,GamersOrigin,oe:team:d4795b41be2ffe2063d40d1509eb890,Sion,Cassiopeia,Aatrox,Camille,Morgana,Thresh,,,,,,1846,1,1,1,4,13,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4225,0.6176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,11776.0,382.7519,0.192242,524.1062,731.6685,17.0,0.5525,5.0,0.1625,7.0,31.0,1.0076,11008.0,6967.0,226.4464,0.171258,10875.0,,,251.0,251.0,0.0,0.0,0.0,8.1582,3154.0,4578.0,82.0,3393.0,4862.0,94.0,-239.0,-284.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,4895.0,7379.0,133.0,5612.0,7757.0,150.0,-717.0,-378.0,-17.0,0.0,0.0,1.0,0.0,0.0,0.0,6643.0,9797.0,179.0,7416.0,10187.0,183.0,-773.0,-390.0,-4.0,0.0,0.0,1.0,1.0,0.0,1.0,8698.0,12706.0,222.0,8805.0,12050.0,218.0,-107.0,656.0,4.0,0.0,1.0,1.0,1.0,0.0,2.0
ESPORTSTMNT02/991129,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/991129?gameHash=9c46ef355290c26b,LFL,2019,Spring,0,2019-01-22 17:24:40,1,9.01,9,Red,bot,Toaster,oe:player:372172c97c0fea4e4a73d2186fc3dab,GamersOrigin,oe:team:d4795b41be2ffe2063d40d1509eb890,Kai'Sa,Cassiopeia,Aatrox,Camille,Morgana,Thresh,,,,,,1846,1,6,0,7,13,6,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4225,0.6176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,15189.0,493.6836,0.247959,406.4789,268.0823,11.0,0.3575,9.0,0.2925,4.0,35.0,1.1376,13951.0,9910.0,322.1018,0.243605,11900.0,,,260.0,252.0,8.0,4.0,0.0,8.4507,3350.0,3035.0,95.0,3426.0,3284.0,97.0,-76.0,-249.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,6002.0,5345.0,141.0,6133.0,5742.0,151.0,-131.0,-397.0,-10.0,2.0,1.0,0.0,0.0,1.0,0.0,8054.0,7339.0,186.0,8603.0,8437.0,213.0,-549.0,-1098.0,-27.0,3.0,1.0,0.0,1.0,1.0,0.0,10629.0,10436.0,220.0,10115.0,10087.0,255.0,514.0,349.0,-35.0,4.0,4.0,0.0,1.0,1.0,1.0
ESPORTSTMNT02/991129,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/991129?gameHash=9c46ef355290c26b,LFL,2019,Spring,0,2019-01-22 17:24:40,1,9.01,10,Red,sup,Hustlin,oe:player:566e0849f6b96ad25981ba1c79ce1a7,GamersOrigin,oe:team:d4795b41be2ffe2063d40d1509eb890,Braum,Cassiopeia,Aatrox,Camille,Morgana,Thresh,,,,,,1846,1,0,0,13,13,6,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4225,0.6176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6858.0,222.9036,0.111956,281.6685,338.1582,36.0,1.1701,8.0,0.26,10.0,68.0,2.2102,10699.0,6658.0,216.403,0.163662,7100.0,,,61.0,61.0,0.0,0.0,0.0,1.9827,2365.0,2947.0,13.0,2545.0,3012.0,13.0,-180.0,-65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4411.0,4600.0,24.0,4587.0,5057.0,22.0,-176.0,-457.0,2.0,0.0,3.0,0.0,1.0,1.0,1.0,6284.0,6440.0,38.0,6393.0,6560.0,35.0,-109.0,-120.0,3.0,0.0,4.0,0.0,1.0,2.0,1.0,8209.0,9526.0,52.0,7419.0,7573.0,46.0,790.0,1953.0,6.0,0.0,8.0,0.0,1.0,2.0,2.0
