gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT05/1770231,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1770231?gameHash=681c968086af2c9a,LFL,2021,Spring,0,2021-01-19 17:16:17,1.0,11.01,1,Blue,top,Agresivoo,oe:player:5be118a1aa52664e1dff15ff96c1e67,Misfits Premier,oe:team:c59bcb753bac65c0397bf9ebbcf850b,Ornn,Lillia,Lucian,Camille,Yone,Aatrox,,,,,,1478,1,0,0,5,16,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6495,0.8525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4482.0,181.9486,0.0996111,531.272,676.1976,11.0,0.4465,4.0,0.1624,4.0,28.0,1.1367,8820,5529.0,224.452,0.162024,7650.0,,,211.0,211.0,0.0,0.0,0.0,8.5656,3364.0,4928.0,93.0,3437.0,4735.0,82.0,-73.0,193.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,5113.0,7393.0,133.0,5525.0,7544.0,138.0,-412.0,-151.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,7009.0,10542.0,187.0,8335.0,10593.0,201.0,-1326.0,-51.0,-14.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,
ESPORTSTMNT05/1770231,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1770231?gameHash=681c968086af2c9a,LFL,2021,Spring,0,2021-01-19 17:16:17,1.0,11.01,2,Blue,jng,Shlatan,oe:player:e041923a70bcde3b24d608958f8edc8,Misfits Premier,oe:team:c59bcb753bac65c0397bf9ebbcf850b,Graves,Lillia,Lucian,Camille,Yone,Aatrox,,,,,,1478,1,6,0,5,16,5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6495,0.8525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12141.0,492.8687,0.26983,623.8701,775.2503,8.0,0.3248,6.0,0.2436,2.0,28.0,1.1367,11248,7957.0,323.0176,0.233171,9625.0,,,195.0,39.0,156.0,79.0,37.0,7.9161,4730.0,4171.0,72.0,2911.0,3002.0,61.0,1819.0,1169.0,11.0,4.0,1.0,0.0,0.0,0.0,2.0,6698.0,6735.0,125.0,4680.0,4849.0,92.0,2018.0,1886.0,33.0,4.0,1.0,0.0,1.0,0.0,2.0,8783.0,9092.0,167.0,6700.0,7528.0,135.0,2083.0,1564.0,32.0,5.0,1.0,0.0,2.0,0.0,2.0,,,,,,,,,,,,,,,
ESPORTSTMNT05/1770231,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1770231?gameHash=681c968086af2c9a,LFL,2021,Spring,0,2021-01-19 17:16:17,1.0,11.01,3,Blue,mid,Sertuss,oe:player:17a3d1accbb8bbdaaabfd34e1d69c18,Misfits Premier,oe:team:c59bcb753bac65c0397bf9ebbcf850b,Zoe,Lillia,Lucian,Camille,Yone,Aatrox,,,,,,1478,1,4,1,9,16,5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6495,0.8525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,14531.0,589.8917,0.322947,445.5345,218.6468,13.0,0.5277,6.0,0.2436,4.0,32.0,1.2991,11860,8569.0,347.862,0.251104,10100.0,,,210.0,206.0,4.0,4.0,0.0,8.525,4164.0,4952.0,88.0,2981.0,4266.0,73.0,1183.0,686.0,15.0,1.0,4.0,0.0,0.0,0.0,2.0,6335.0,7290.0,138.0,4960.0,6897.0,123.0,1375.0,393.0,15.0,1.0,4.0,1.0,0.0,1.0,2.0,8911.0,9869.0,191.0,6723.0,9665.0,174.0,2188.0,204.0,17.0,1.0,4.0,1.0,0.0,2.0,2.0,,,,,,,,,,,,,,,
ESPORTSTMNT05/1770231,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1770231?gameHash=681c968086af2c9a,LFL,2021,Spring,0,2021-01-19 17:16:17,1.0,11.01,4,Blue,bot,Woolite,oe:player:40fa7615556f33971d67c95a702fbcc,Misfits Premier,oe:team:c59bcb753bac65c0397bf9ebbcf850b,Kai'Sa,Lillia,Lucian,Camille,Yone,Aatrox,,,,,,1478,1,5,2,4,16,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6495,0.8525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,10015.0,406.5629,0.22258,461.7321,295.3721,11.0,0.4465,8.0,0.3248,3.0,26.0,1.0555,11676,8385.0,340.3924,0.245712,8975.0,,,221.0,213.0,8.0,1.0,7.0,8.9716,3764.0,3317.0,85.0,3743.0,3149.0,81.0,21.0,168.0,4.0,1.0,3.0,1.0,2.0,0.0,1.0,6215.0,6312.0,143.0,5454.0,5311.0,131.0,761.0,1001.0,12.0,1.0,3.0,1.0,2.0,0.0,1.0,8230.0,8487.0,194.0,7286.0,7507.0,184.0,944.0,980.0,10.0,1.0,3.0,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,,
ESPORTSTMNT05/1770231,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1770231?gameHash=681c968086af2c9a,LFL,2021,Spring,0,2021-01-19 17:16:17,1.0,11.01,5,Blue,sup,JACTROLL,oe:player:3e6a33c44716bae499ef0111a7e60d4,Misfits Premier,oe:team:c59bcb753bac65c0397bf9ebbcf850b,Alistar,Lillia,Lucian,Camille,Yone,Aatrox,,,,,,1478,1,1,2,12,16,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6495,0.8525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3826.0,155.318,0.0850317,426.1705,496.6441,39.0,1.5832,2.0,0.0812,12.0,58.0,2.3545,6976,3685.0,149.594,0.107989,6000.0,,,23.0,23.0,0.0,0.0,0.0,0.9337,2774.0,3004.0,12.0,2404.0,2457.0,15.0,370.0,547.0,-3.0,1.0,3.0,1.0,0.0,2.0,2.0,3882.0,3532.0,17.0,3509.0,3989.0,23.0,373.0,-457.0,-6.0,1.0,3.0,1.0,0.0,3.0,2.0,5280.0,5097.0,21.0,4403.0,5598.0,27.0,877.0,-501.0,-6.0,1.0,4.0,1.0,0.0,4.0,2.0,,,,,,,,,,,,,,,
ESPORTSTMNT05/1770231,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1770231?gameHash=681c968086af2c9a,LFL,2021,Spring,0,2021-01-19 17:16:17,1.0,11.01,6,Red,top,Dan Dan,oe:player:753b4404968cabe86d655195131ab93,LDLC OL,oe:team:e31c6dcc465e0b94500ef023f42cdc1,Gangplank,Taliyah,Akali,Nidalee,Syndra,Orianna,,,,,,1478,0,0,1,2,5,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.203,0.8525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9731.0,395.0338,0.235817,545.0338,320.0135,11.0,0.4465,2.0,0.0812,5.0,15.0,0.6089,9572,6281.0,254.9797,0.270927,9725.0,,,223.0,220.0,3.0,1.0,0.0,9.0528,3437.0,4735.0,82.0,3364.0,4928.0,93.0,73.0,-193.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,5525.0,7544.0,138.0,5113.0,7393.0,133.0,412.0,151.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,8335.0,10593.0,201.0,7009.0,10542.0,187.0,1326.0,51.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
ESPORTSTMNT05/1770231,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1770231?gameHash=681c968086af2c9a,LFL,2021,Spring,0,2021-01-19 17:16:17,1.0,11.01,7,Red,jng,Manaty,oe:player:48214ce48e2b8ba2391244084ddd226,LDLC OL,oe:team:e31c6dcc465e0b94500ef023f42cdc1,Karthus,Taliyah,Akali,Nidalee,Syndra,Orianna,,,,,,1478,0,3,4,0,5,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.203,0.8525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10801.0,438.4709,0.261747,702.0162,254.2896,6.0,0.2436,3.0,0.1218,5.0,19.0,0.7713,7927,4636.0,188.2003,0.199974,7275.0,,,144.0,14.0,130.0,86.0,12.0,5.8457,2911.0,3002.0,61.0,4730.0,4171.0,72.0,-1819.0,-1169.0,-11.0,0.0,0.0,2.0,4.0,1.0,0.0,4680.0,4849.0,92.0,6698.0,6735.0,125.0,-2018.0,-1886.0,-33.0,1.0,0.0,2.0,4.0,1.0,0.0,6700.0,7528.0,135.0,8783.0,9092.0,167.0,-2083.0,-1564.0,-32.0,2.0,0.0,2.0,5.0,1.0,0.0,,,,,,,,,,,,,,,
ESPORTSTMNT05/1770231,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1770231?gameHash=681c968086af2c9a,LFL,2021,Spring,0,2021-01-19 17:16:17,1.0,11.01,8,Red,mid,Eika,oe:player:adfab52b74587bc5acc4201c140451a,LDLC OL,oe:team:e31c6dcc465e0b94500ef023f42cdc1,Sylas,Taliyah,Akali,Nidalee,Syndra,Orianna,,,,,,1478,0,0,4,2,5,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.203,0.8525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6147.0,249.5399,0.148964,541.705,316.157,9.0,0.3654,4.0,0.1624,3.0,27.0,1.0961,8218,4927.0,200.0135,0.212526,8275.0,,,202.0,202.0,0.0,0.0,0.0,8.2003,2981.0,4266.0,73.0,4164.0,4952.0,88.0,-1183.0,-686.0,-15.0,0.0,0.0,2.0,1.0,4.0,0.0,4960.0,6897.0,123.0,6335.0,7290.0,138.0,-1375.0,-393.0,-15.0,0.0,1.0,2.0,1.0,4.0,1.0,6723.0,9665.0,174.0,8911.0,9869.0,191.0,-2188.0,-204.0,-17.0,0.0,2.0,2.0,1.0,4.0,1.0,,,,,,,,,,,,,,,
ESPORTSTMNT05/1770231,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1770231?gameHash=681c968086af2c9a,LFL,2021,Spring,0,2021-01-19 17:16:17,1.0,11.01,9,Red,bot,3XA,oe:player:eff6236e2369eaeccf4c9434031d20c,LDLC OL,oe:team:e31c6dcc465e0b94500ef023f42cdc1,Aphelios,Taliyah,Akali,Nidalee,Syndra,Orianna,,,,,,1478,0,2,3,2,5,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.203,0.8525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,10329.0,419.3099,0.250309,353.5047,286.9689,10.0,0.406,11.0,0.4465,4.0,37.0,1.502,8767,5476.0,222.3004,0.236205,8825.0,,,215.0,207.0,8.0,8.0,0.0,8.728,3743.0,3149.0,81.0,3764.0,3317.0,85.0,-21.0,-168.0,-4.0,2.0,0.0,1.0,1.0,3.0,1.0,5454.0,5311.0,131.0,6215.0,6312.0,143.0,-761.0,-1001.0,-12.0,2.0,0.0,1.0,1.0,3.0,1.0,7286.0,7507.0,184.0,8230.0,8487.0,194.0,-944.0,-980.0,-10.0,2.0,1.0,2.0,1.0,3.0,2.0,,,,,,,,,,,,,,,
ESPORTSTMNT05/1770231,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1770231?gameHash=681c968086af2c9a,LFL,2021,Spring,0,2021-01-19 17:16:17,1.0,11.01,10,Red,sup,YellOwStaR,oe:player:5ebcf3b41dc66e5839da4c5f58bd907,LDLC OL,oe:team:e31c6dcc465e0b94500ef023f42cdc1,Nautilus,Taliyah,Akali,Nidalee,Syndra,Orianna,,,,,,1478,0,0,4,4,5,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.203,0.8525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4257.0,172.8146,0.103162,493.5589,596.1434,29.0,1.1773,4.0,0.1624,5.0,52.0,2.111,5154,1863.0,75.6292,0.0803678,5025.0,,,29.0,29.0,0.0,0.0,0.0,1.1773,2404.0,2457.0,15.0,2774.0,3004.0,12.0,-370.0,-547.0,3.0,0.0,2.0,2.0,1.0,3.0,1.0,3509.0,3989.0,23.0,3882.0,3532.0,17.0,-373.0,457.0,6.0,0.0,3.0,2.0,1.0,3.0,1.0,4403.0,5598.0,27.0,5280.0,5097.0,21.0,-877.0,501.0,6.0,0.0,4.0,2.0,1.0,4.0,1.0,,,,,,,,,,,,,,,
