gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_179647,complete,,LFL2,2025,Winter,0,2025-01-11 11:11:24,1,15.01,1,Blue,top,PatkicaA,oe:player:c659697694306de62d978569b84c344,IziDream,oe:team:84bc703e28859788770611d94cf02ac,Gnar,Vi,Skarner,Corki,K'Sante,Sylas,,,,,,1592,0,1,2,1,3,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1131,0.603,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,1.0,20156,759.6482,0.40197,681.2186,629.7362,9,0.3392,2,0.0754,3,17,0.6407,10668,7145,269.2839,0.289981,9793,,,234.0,234.0,0,,,8.8191,3058.0,4466.0,75.0,3394.0,4603.0,79.0,-336.0,-137.0,-4.0,0.0,0.0,1.0,1.0,0.0,0.0,4531.0,6777.0,119.0,5372.0,6968.0,125.0,-841.0,-191.0,-6.0,0.0,0.0,1.0,1.0,2.0,0.0,6473.0,9072.0,154.0,7012.0,9562.0,154.0,-539.0,-490.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,9244.0,12552.0,217.0,9020.0,12553.0,200.0,224.0,-1.0,17.0,1.0,1.0,2.0,2.0,4.0,2.0
LOLTMNT03_179647,complete,,LFL2,2025,Winter,0,2025-01-11 11:11:24,1,15.01,2,Blue,jng,Joinze,oe:player:dbdc61a1c41acedcbc7d399727155ac,IziDream,oe:team:84bc703e28859788770611d94cf02ac,Maokai,Vi,Skarner,Corki,K'Sante,Sylas,,,,,,1592,0,0,3,1,3,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1131,0.603,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,0.0,0.0,4963,187.0477,0.0989769,906.9724,954.6106,7,0.2638,7,0.2638,6,29,1.093,7429,3906,147.2111,0.15852,7200,,,143.0,11.0,132,,,5.3894,2977.0,3153.0,62.0,3451.0,3687.0,71.0,-474.0,-534.0,-9.0,0.0,0.0,0.0,0.0,1.0,0.0,4461.0,5316.0,97.0,5289.0,5332.0,91.0,-828.0,-16.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,5668.0,6978.0,118.0,7357.0,8317.0,133.0,-1689.0,-1339.0,-15.0,0.0,1.0,1.0,0.0,5.0,0.0,7040.0,8877.0,139.0,9403.0,10321.0,157.0,-2363.0,-1444.0,-18.0,0.0,1.0,2.0,1.0,7.0,0.0
LOLTMNT03_179647,complete,,LFL2,2025,Winter,0,2025-01-11 11:11:24,1,15.01,3,Blue,mid,Sayn,oe:player:694d028e62f4ea668b206ab752b6f94,IziDream,oe:team:84bc703e28859788770611d94cf02ac,Hwei,Vi,Skarner,Corki,K'Sante,Sylas,,,,,,1592,0,1,2,0,3,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1131,0.603,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,1.0,13952,525.8291,0.278244,366.8593,241.0553,12,0.4523,3,0.1131,4,20,0.7538,9032,5509,207.6256,0.223581,8050,,,209.0,209.0,0,,,7.8769,3020.0,4584.0,75.0,3425.0,4789.0,91.0,-405.0,-205.0,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,4581.0,6530.0,116.0,5666.0,7031.0,141.0,-1085.0,-501.0,-25.0,0.0,0.0,1.0,1.0,1.0,0.0,6332.0,9111.0,166.0,7990.0,10550.0,195.0,-1658.0,-1439.0,-29.0,0.0,0.0,1.0,1.0,2.0,0.0,8488.0,10669.0,200.0,10040.0,13134.0,241.0,-1552.0,-2465.0,-41.0,1.0,0.0,2.0,1.0,5.0,1.0
LOLTMNT03_179647,complete,,LFL2,2025,Winter,0,2025-01-11 11:11:24,1,15.01,4,Blue,bot,Shiganari,oe:player:90704735ca9fc01f2244f23f6e5d635,IziDream,oe:team:84bc703e28859788770611d94cf02ac,Jinx,Vi,Skarner,Corki,K'Sante,Sylas,,,,,,1592,0,1,3,1,3,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1131,0.603,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,6898,259.9749,0.137567,479.2085,282.9271,6,0.2261,2,0.0754,1,10,0.3769,9407,5884,221.7588,0.238801,8925,,,251.0,239.0,12,,,9.4598,3097.0,3403.0,81.0,3519.0,3682.0,92.0,-422.0,-279.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,4687.0,5589.0,133.0,5598.0,5789.0,138.0,-911.0,-200.0,-5.0,0.0,0.0,0.0,1.0,1.0,0.0,6782.0,8435.0,183.0,8489.0,9683.0,202.0,-1707.0,-1248.0,-19.0,1.0,0.0,1.0,3.0,1.0,0.0,9097.0,11763.0,251.0,11710.0,12919.0,257.0,-2613.0,-1156.0,-6.0,1.0,1.0,2.0,6.0,2.0,0.0
LOLTMNT03_179647,complete,,LFL2,2025,Winter,0,2025-01-11 11:11:24,1,15.01,5,Blue,sup,Lekcyc,oe:player:74f3f60a44ee916ecc257a5381be756,IziDream,oe:team:84bc703e28859788770611d94cf02ac,Leona,Vi,Skarner,Corki,K'Sante,Sylas,,,,,,1592,0,0,3,2,3,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1131,0.603,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,4174,157.3116,0.0832419,474.5352,534.1583,40,1.5075,10,0.3769,9,82,3.0905,5719,2196,82.7638,0.0891171,4825,,,38.0,38.0,0,,,1.4322,2114.0,2913.0,20.0,2199.0,2420.0,12.0,-85.0,493.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3238.0,4058.0,31.0,3410.0,3619.0,17.0,-172.0,439.0,14.0,0.0,0.0,1.0,0.0,2.0,0.0,4220.0,5063.0,35.0,4530.0,4749.0,18.0,-310.0,314.0,17.0,0.0,1.0,1.0,0.0,4.0,0.0,5357.0,6259.0,38.0,6019.0,6993.0,20.0,-662.0,-734.0,18.0,0.0,2.0,2.0,0.0,8.0,0.0
LOLTMNT03_179647,complete,,LFL2,2025,Winter,0,2025-01-11 11:11:24,1,15.01,6,Red,top,Nille,oe:player:2df5432fbfcc85dc85c33e269ebd063,Team Valiant,oe:team:71bd93fd1eab2c2f4ba60305ecabce2,Renekton,Yone,Viktor,Aurora,Nocturne,Jarvan IV,,,,,,1592,1,3,2,4,13,3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.4899,0.603,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,1.0,0.0,14166,533.8945,0.263892,1113.505,986.0804,11,0.4146,4,0.1508,4,26,0.9799,10814,7291,274.7864,0.200738,8650,,,214.0,212.0,2,,,8.0653,3394.0,4603.0,79.0,3058.0,4466.0,75.0,336.0,137.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,5372.0,6968.0,125.0,4531.0,6777.0,119.0,841.0,191.0,6.0,1.0,2.0,0.0,0.0,0.0,1.0,7012.0,9562.0,154.0,6473.0,9072.0,154.0,539.0,490.0,0.0,2.0,2.0,2.0,1.0,1.0,2.0,9020.0,12553.0,200.0,9244.0,12552.0,217.0,-224.0,1.0,-17.0,2.0,4.0,2.0,1.0,1.0,2.0
LOLTMNT03_179647,complete,,LFL2,2025,Winter,0,2025-01-11 11:11:24,1,15.01,7,Red,jng,SPOOKY,oe:player:11389d6d8a29729807c3cf528a98050,Team Valiant,oe:team:71bd93fd1eab2c2f4ba60305ecabce2,Ivern,Yone,Viktor,Aurora,Nocturne,Jarvan IV,,,,,,1592,1,1,0,10,13,3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4899,0.603,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,0.0,0.0,4924,185.5779,0.0917271,280.4774,234.7236,6,0.2261,9,0.3392,4,34,1.2814,10740,7217,271.9975,0.1987,9250,,,166.0,11.0,155,,,6.2563,3451.0,3687.0,71.0,2977.0,3153.0,62.0,474.0,534.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,5289.0,5332.0,91.0,4461.0,5316.0,97.0,828.0,16.0,-6.0,0.0,3.0,0.0,0.0,0.0,0.0,7357.0,8317.0,133.0,5668.0,6978.0,118.0,1689.0,1339.0,15.0,0.0,5.0,0.0,0.0,1.0,1.0,9403.0,10321.0,157.0,7040.0,8877.0,139.0,2363.0,1444.0,18.0,1.0,7.0,0.0,0.0,1.0,2.0
LOLTMNT03_179647,complete,,LFL2,2025,Winter,0,2025-01-11 11:11:24,1,15.01,8,Red,mid,Nafkelah,oe:player:7b0aeb1bb297b0d44629e94186bcb6a,Team Valiant,oe:team:71bd93fd1eab2c2f4ba60305ecabce2,Orianna,Yone,Viktor,Aurora,Nocturne,Jarvan IV,,,,,,1592,1,1,1,8,13,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4899,0.603,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,1.0,0.0,15467,582.9271,0.288128,407.6759,404.7739,11,0.4146,11,0.4146,5,35,1.3191,11477,7954,299.7739,0.218993,9375,,,254.0,254.0,0,,,9.5729,3425.0,4789.0,91.0,3020.0,4584.0,75.0,405.0,205.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,5666.0,7031.0,141.0,4581.0,6530.0,116.0,1085.0,501.0,25.0,1.0,1.0,0.0,0.0,0.0,1.0,7990.0,10550.0,195.0,6332.0,9111.0,166.0,1658.0,1439.0,29.0,1.0,2.0,0.0,0.0,0.0,1.0,10040.0,13134.0,241.0,8488.0,10669.0,200.0,1552.0,2465.0,41.0,1.0,5.0,1.0,1.0,0.0,2.0
LOLTMNT03_179647,complete,,LFL2,2025,Winter,0,2025-01-11 11:11:24,1,15.01,9,Red,bot,Soldier,oe:player:de75f2eb439368d9b39281bd0c4bdab,Team Valiant,oe:team:71bd93fd1eab2c2f4ba60305ecabce2,Varus,Yone,Viktor,Aurora,Nocturne,Jarvan IV,,,,,,1592,1,8,0,3,13,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4899,0.603,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,14474,545.5025,0.26963,323.1784,207.3241,8,0.3015,6,0.2261,5,21,0.7915,13632,10109,380.9925,0.278327,10875,,,265.0,253.0,12,,,9.9874,3519.0,3682.0,92.0,3097.0,3403.0,81.0,422.0,279.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,5598.0,5789.0,138.0,4687.0,5589.0,133.0,911.0,200.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,8489.0,9683.0,202.0,6782.0,8435.0,183.0,1707.0,1248.0,19.0,3.0,1.0,0.0,1.0,0.0,1.0,11710.0,12919.0,257.0,9097.0,11763.0,251.0,2613.0,1156.0,6.0,6.0,2.0,0.0,1.0,1.0,2.0
LOLTMNT03_179647,complete,,LFL2,2025,Winter,0,2025-01-11 11:11:24,1,15.01,10,Red,sup,Steeelback,oe:player:bea6c089fd517fff3bc020290ae48f7,Team Valiant,oe:team:71bd93fd1eab2c2f4ba60305ecabce2,Braum,Yone,Viktor,Aurora,Nocturne,Jarvan IV,,,,,,1592,1,0,0,11,13,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4899,0.603,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,4650,175.2513,0.0866228,402.8141,439.3342,42,1.5829,5,0.1884,15,80,3.0151,7273,3750,141.3317,0.103242,5275,,,23.0,23.0,0,,,0.8668,2199.0,2420.0,12.0,2114.0,2913.0,20.0,85.0,-493.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,3410.0,3619.0,17.0,3238.0,4058.0,31.0,172.0,-439.0,-14.0,0.0,2.0,0.0,0.0,0.0,1.0,4530.0,4749.0,18.0,4220.0,5063.0,35.0,310.0,-314.0,-17.0,0.0,4.0,0.0,0.0,1.0,1.0,6019.0,6993.0,20.0,5357.0,6259.0,38.0,662.0,734.0,-18.0,0.0,8.0,0.0,0.0,2.0,2.0
