gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT05/1120411,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1120411?gameHash=4f82fc3a136211cb,LGL,2019,Spring,1,2019-04-06 11:43:13,1,9.06,1,Blue,top,Delitto,oe:player:2c759ab177ab9c6e906ef01c3772ace,WLGaming Esports,oe:team:b19ab22267512e77945cd498106dcf1,Urgot,Vladimir,Jarvan IV,Rek'Sai,Morgana,Jax,,,,,,1748,1,4,0,6,24,12,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8238,1.2357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,15318.0,525.7895,0.193641,482.4371,621.1098,11.0,0.3776,6.0,0.2059,2.0,22.0,0.7551,12722.0,8880.0,304.8055,0.214554,11650.0,,,202.0,198.0,4.0,0.0,0.0,6.9336,3064.0,4228.0,74.0,3352.0,4813.0,95.0,-288.0,-585.0,-21.0,0.0,0.0,0.0,0.0,0.0,0.0,5678.0,6362.0,105.0,4832.0,6973.0,134.0,846.0,-611.0,-29.0,2.0,2.0,0.0,0.0,0.0,1.0,8045.0,9930.0,154.0,6326.0,9155.0,174.0,1719.0,775.0,-20.0,2.0,4.0,0.0,0.0,1.0,2.0,11176.0,12492.0,186.0,7845.0,11680.0,216.0,3331.0,812.0,-30.0,4.0,5.0,0.0,0.0,1.0,2.0
ESPORTSTMNT05/1120411,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1120411?gameHash=4f82fc3a136211cb,LGL,2019,Spring,1,2019-04-06 11:43:13,1,9.06,2,Blue,jng,behave,oe:player:82416dfeed801e2846a7c12a3649ab3,WLGaming Esports,oe:team:b19ab22267512e77945cd498106dcf1,Skarner,Vladimir,Jarvan IV,Rek'Sai,Morgana,Jax,,,,,,1748,1,3,2,13,24,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8238,1.2357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8807.0,302.2998,0.111333,761.2929,1111.6133,12.0,0.4119,8.0,0.2746,6.0,41.0,1.4073,11633.0,7791.0,267.4256,0.188244,9750.0,,,176.0,17.0,159.0,80.0,36.0,6.0412,3062.0,3041.0,54.0,3182.0,2707.0,45.0,-120.0,334.0,9.0,0.0,1.0,1.0,1.0,4.0,0.0,5081.0,5281.0,76.0,4321.0,3918.0,62.0,760.0,1363.0,14.0,2.0,4.0,1.0,1.0,4.0,2.0,7068.0,7723.0,114.0,6109.0,6287.0,80.0,959.0,1436.0,34.0,2.0,6.0,2.0,2.0,7.0,2.0,9755.0,11226.0,154.0,6920.0,7665.0,89.0,2835.0,3561.0,65.0,2.0,11.0,2.0,2.0,7.0,5.0
ESPORTSTMNT05/1120411,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1120411?gameHash=4f82fc3a136211cb,LGL,2019,Spring,1,2019-04-06 11:43:13,1,9.06,3,Blue,mid,Von,oe:player:49701c0fb3b04ea8d91f366e90ec798,WLGaming Esports,oe:team:b19ab22267512e77945cd498106dcf1,Akali,Vladimir,Jarvan IV,Rek'Sai,Morgana,Jax,,,,,,1748,1,10,1,8,24,12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8238,1.2357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,26234.0,900.4805,0.331635,952.3112,490.8124,13.0,0.4462,5.0,0.1716,4.0,35.0,1.2014,14443.0,10601.0,363.8787,0.256134,12120.0,,,230.0,222.0,8.0,8.0,0.0,7.8947,3309.0,4391.0,80.0,3360.0,4152.0,72.0,-51.0,239.0,8.0,0.0,0.0,0.0,1.0,3.0,0.0,5952.0,8157.0,132.0,4923.0,6754.0,117.0,1029.0,1403.0,15.0,2.0,3.0,0.0,1.0,3.0,1.0,8756.0,10967.0,173.0,7223.0,9336.0,162.0,1533.0,1631.0,11.0,5.0,5.0,1.0,2.0,3.0,2.0,11554.0,13632.0,205.0,8588.0,11382.0,199.0,2966.0,2250.0,6.0,6.0,7.0,1.0,2.0,3.0,2.0
ESPORTSTMNT05/1120411,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1120411?gameHash=4f82fc3a136211cb,LGL,2019,Spring,1,2019-04-06 11:43:13,1,9.06,4,Blue,bot,Goose,oe:player:6f001f5c3f0fd68391a6e58d5407ab3,WLGaming Esports,oe:team:b19ab22267512e77945cd498106dcf1,Lucian,Vladimir,Jarvan IV,Rek'Sai,Morgana,Jax,,,,,,1748,1,5,3,8,24,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8238,1.2357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,19679.0,675.4805,0.248771,601.5103,331.476,13.0,0.4462,4.0,0.1373,6.0,35.0,1.2014,13345.0,9503.0,326.1899,0.229606,12550.0,,,241.0,221.0,20.0,8.0,4.0,8.2723,3449.0,3253.0,68.0,4046.0,3115.0,67.0,-597.0,138.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,5000.0,5200.0,112.0,5892.0,4798.0,110.0,-892.0,402.0,2.0,1.0,1.0,2.0,4.0,2.0,1.0,8032.0,8472.0,163.0,8037.0,6742.0,139.0,-5.0,1730.0,24.0,3.0,4.0,2.0,6.0,4.0,3.0,10903.0,10995.0,199.0,10818.0,8949.0,180.0,85.0,2046.0,19.0,5.0,6.0,3.0,8.0,4.0,4.0
ESPORTSTMNT05/1120411,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1120411?gameHash=4f82fc3a136211cb,LGL,2019,Spring,1,2019-04-06 11:43:13,1,9.06,5,Blue,sup,Labrov,oe:player:bb6ac5763c6576e104a7a2f59eb4ddf,WLGaming Esports,oe:team:b19ab22267512e77945cd498106dcf1,Galio,Vladimir,Jarvan IV,Rek'Sai,Morgana,Jax,,,,,,1748,1,2,6,12,24,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8238,1.2357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9067.0,311.2243,0.11462,672.5286,908.3753,40.0,1.373,8.0,0.2746,12.0,71.0,2.4371,8455.0,4613.0,158.341,0.111463,7250.0,,,53.0,53.0,0.0,0.0,0.0,1.8192,2405.0,1958.0,11.0,2182.0,2397.0,13.0,223.0,-439.0,-2.0,1.0,1.0,3.0,0.0,5.0,2.0,3638.0,3607.0,23.0,3169.0,3976.0,20.0,469.0,-369.0,3.0,1.0,5.0,3.0,0.0,6.0,3.0,5040.0,4799.0,37.0,4445.0,5762.0,30.0,595.0,-963.0,7.0,1.0,7.0,5.0,0.0,10.0,4.0,6703.0,7333.0,45.0,5856.0,7889.0,44.0,847.0,-556.0,1.0,1.0,8.0,6.0,0.0,12.0,5.0
ESPORTSTMNT05/1120411,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1120411?gameHash=4f82fc3a136211cb,LGL,2019,Spring,1,2019-04-06 11:43:13,1,9.06,6,Red,top,Bako,oe:player:5d072a942f5886a2b2f818a39ef455b,Outlawz,oe:team:8e34e040d5bd4c7f4c6e3406d78b555,Aatrox,Sylas,Olaf,Thresh,Elise,Karthus,,,,,,1748,0,0,3,1,12,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4119,1.2357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,11295.0,387.7002,0.163814,894.9199,497.8146,10.0,0.3432,3.0,0.103,2.0,28.0,0.9611,9058.0,5216.0,179.0389,0.193322,8550.0,,,241.0,237.0,4.0,4.0,0.0,8.2723,3352.0,4813.0,95.0,3064.0,4228.0,74.0,288.0,585.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,4832.0,6973.0,134.0,5678.0,6362.0,105.0,-846.0,611.0,29.0,0.0,0.0,1.0,2.0,2.0,0.0,6326.0,9155.0,174.0,8045.0,9930.0,154.0,-1719.0,-775.0,20.0,0.0,1.0,2.0,2.0,4.0,0.0,7845.0,11680.0,216.0,11176.0,12492.0,186.0,-3331.0,-812.0,30.0,0.0,1.0,2.0,4.0,5.0,0.0
ESPORTSTMNT05/1120411,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1120411?gameHash=4f82fc3a136211cb,LGL,2019,Spring,1,2019-04-06 11:43:13,1,9.06,7,Red,jng,Nikolex,oe:player:d7f3cfa48a52dda4354774a809402b2,Outlawz,oe:team:8e34e040d5bd4c7f4c6e3406d78b555,Hecarim,Sylas,Olaf,Thresh,Elise,Karthus,,,,,,1748,0,2,7,7,12,24,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4119,1.2357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9724.0,333.7757,0.14103,956.2586,468.2609,6.0,0.2059,5.0,0.1716,5.0,26.0,0.8924,7773.0,3931.0,134.9314,0.1457,7633.0,,,101.0,25.0,76.0,55.0,4.0,3.4668,3182.0,2707.0,45.0,3062.0,3041.0,54.0,120.0,-334.0,-9.0,1.0,4.0,0.0,0.0,1.0,1.0,4321.0,3918.0,62.0,5081.0,5281.0,76.0,-760.0,-1363.0,-14.0,1.0,4.0,2.0,2.0,4.0,1.0,6109.0,6287.0,80.0,7068.0,7723.0,114.0,-959.0,-1436.0,-34.0,2.0,7.0,2.0,2.0,6.0,2.0,6920.0,7665.0,89.0,9755.0,11226.0,154.0,-2835.0,-3561.0,-65.0,2.0,7.0,5.0,2.0,11.0,2.0
ESPORTSTMNT05/1120411,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1120411?gameHash=4f82fc3a136211cb,LGL,2019,Spring,1,2019-04-06 11:43:13,1,9.06,8,Red,mid,Paris,oe:player:e20d37a5d7fcc4c35be6fc18a8e71bf,Outlawz,oe:team:8e34e040d5bd4c7f4c6e3406d78b555,Viktor,Sylas,Olaf,Thresh,Elise,Karthus,,,,,,1748,0,2,4,3,12,24,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4119,1.2357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,19858.0,681.6247,0.288006,403.1121,379.5652,9.0,0.3089,2.0,0.0686,3.0,20.0,0.6865,9985.0,6143.0,210.8581,0.227676,10300.0,,,224.0,216.0,8.0,8.0,0.0,7.6888,3360.0,4152.0,72.0,3309.0,4391.0,80.0,51.0,-239.0,-8.0,1.0,3.0,0.0,0.0,0.0,0.0,4923.0,6754.0,117.0,5952.0,8157.0,132.0,-1029.0,-1403.0,-15.0,1.0,3.0,1.0,2.0,3.0,0.0,7223.0,9336.0,162.0,8756.0,10967.0,173.0,-1533.0,-1631.0,-11.0,2.0,3.0,2.0,5.0,5.0,1.0,8588.0,11382.0,199.0,11554.0,13632.0,205.0,-2966.0,-2250.0,-6.0,2.0,3.0,2.0,6.0,7.0,1.0
ESPORTSTMNT05/1120411,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1120411?gameHash=4f82fc3a136211cb,LGL,2019,Spring,1,2019-04-06 11:43:13,1,9.06,9,Red,bot,Tranquil,oe:player:14f4e1379ecee0740dc549a0bf595e7,Outlawz,oe:team:8e34e040d5bd4c7f4c6e3406d78b555,Kalista,Sylas,Olaf,Thresh,Elise,Karthus,,,,,,1748,0,8,5,4,12,24,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.4119,1.2357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,21041.0,722.2311,0.305163,520.1945,409.0847,12.0,0.4119,14.0,0.4805,5.0,45.0,1.5446,12529.0,8687.0,298.1808,0.321956,12725.0,,,213.0,204.0,9.0,9.0,0.0,7.3112,4046.0,3115.0,67.0,3449.0,3253.0,68.0,597.0,-138.0,-1.0,3.0,2.0,0.0,1.0,1.0,1.0,5892.0,4798.0,110.0,5000.0,5200.0,112.0,892.0,-402.0,-2.0,4.0,2.0,1.0,1.0,1.0,2.0,8037.0,6742.0,139.0,8032.0,8472.0,163.0,5.0,-1730.0,-24.0,6.0,4.0,3.0,3.0,4.0,2.0,10818.0,8949.0,180.0,10903.0,10995.0,199.0,-85.0,-2046.0,-19.0,8.0,4.0,4.0,5.0,6.0,3.0
ESPORTSTMNT05/1120411,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1120411?gameHash=4f82fc3a136211cb,LGL,2019,Spring,1,2019-04-06 11:43:13,1,9.06,10,Red,sup,Forsaken,oe:player:97eb612942664ba244d7bfa480234f1,Outlawz,oe:team:8e34e040d5bd4c7f4c6e3406d78b555,Braum,Sylas,Olaf,Thresh,Elise,Karthus,,,,,,1748,0,0,5,12,12,24,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4119,1.2357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7032.0,241.373,0.101987,619.2563,507.254,37.0,1.27,3.0,0.103,12.0,60.0,2.0595,6846.0,3004.0,103.1121,0.111345,6600.0,,,54.0,54.0,0.0,0.0,0.0,1.8535,2182.0,2397.0,13.0,2405.0,1958.0,11.0,-223.0,439.0,2.0,0.0,5.0,2.0,1.0,1.0,3.0,3169.0,3976.0,20.0,3638.0,3607.0,23.0,-469.0,369.0,-3.0,0.0,6.0,3.0,1.0,5.0,3.0,4445.0,5762.0,30.0,5040.0,4799.0,37.0,-595.0,963.0,-7.0,0.0,10.0,4.0,1.0,7.0,5.0,5856.0,7889.0,44.0,6703.0,7333.0,45.0,-847.0,556.0,-1.0,0.0,12.0,5.0,1.0,8.0,6.0
