gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT02/991057,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/991057?gameHash=327377d1d309233e,LHE,2019,,0,2019-01-21 20:48:29,1,9.01,1,Blue,top,Xowito,oe:player:596433c2f83834cf47206dea8b0a806,Valorous,oe:team:47b5eae9d91563c34d6d6963bbabb19,Aatrox,Ezreal,Galio,Akali,LeBlanc,Sejuani,,,,,,1990,1,5,0,5,13,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.392,0.603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,17913.0,540.0905,0.33303,836.9246,703.809,16.0,0.4824,9.0,0.2714,5.0,41.0,1.2362,15394.0,11059.0,333.4372,0.255252,13675.0,,,336.0,315.0,21.0,8.0,9.0,10.1307,3819.0,5213.0,96.0,3033.0,4488.0,60.0,786.0,725.0,36.0,1.0,0.0,0.0,1.0,0.0,0.0,6175.0,8057.0,151.0,4562.0,6785.0,101.0,1613.0,1272.0,50.0,1.0,0.0,0.0,1.0,0.0,0.0,7928.0,10793.0,202.0,6456.0,9552.0,151.0,1472.0,1241.0,51.0,1.0,0.0,0.0,1.0,0.0,0.0,10169.0,13745.0,254.0,7948.0,11449.0,186.0,2221.0,2296.0,68.0,2.0,0.0,0.0,1.0,0.0,2.0
ESPORTSTMNT02/991057,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/991057?gameHash=327377d1d309233e,LHE,2019,,0,2019-01-21 20:48:29,1,9.01,2,Blue,jng,Ominick,oe:player:7c4c65147d1fd5043281209a511aa26,Valorous,oe:team:47b5eae9d91563c34d6d6963bbabb19,Kha'Zix,Ezreal,Galio,Akali,LeBlanc,Sejuani,,,,,,1990,1,3,0,9,13,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.392,0.603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10934.0,329.6683,0.20328,802.9146,524.3819,15.0,0.4523,10.0,0.3015,12.0,45.0,1.3568,12761.0,8426.0,254.0503,0.194479,12325.0,,,199.0,26.0,173.0,104.0,20.0,6.0,2952.0,3129.0,51.0,3098.0,2829.0,42.0,-146.0,300.0,9.0,0.0,2.0,0.0,1.0,1.0,1.0,4798.0,5507.0,80.0,4542.0,5135.0,74.0,256.0,372.0,6.0,0.0,2.0,0.0,1.0,1.0,1.0,6394.0,7793.0,113.0,5694.0,7221.0,94.0,700.0,572.0,19.0,0.0,2.0,0.0,1.0,1.0,1.0,8701.0,11066.0,153.0,7375.0,9696.0,125.0,1326.0,1370.0,28.0,1.0,3.0,0.0,1.0,2.0,1.0
ESPORTSTMNT02/991057,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/991057?gameHash=327377d1d309233e,LHE,2019,,0,2019-01-21 20:48:29,1,9.01,3,Blue,mid,cody,oe:player:a66db93c9f417a2500c24e689ba0ccc,Valorous,oe:team:47b5eae9d91563c34d6d6963bbabb19,Azir,Ezreal,Galio,Akali,LeBlanc,Sejuani,,,,,,1990,1,1,2,7,13,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.392,0.603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,15732.0,474.3317,0.292482,435.2563,214.7638,15.0,0.4523,5.0,0.1508,5.0,27.0,0.8141,13258.0,8923.0,269.0352,0.20595,12525.0,,,295.0,278.0,17.0,12.0,5.0,8.8945,2953.0,3847.0,68.0,3061.0,4497.0,78.0,-108.0,-650.0,-10.0,0.0,1.0,1.0,0.0,0.0,0.0,4926.0,7074.0,127.0,5017.0,7753.0,147.0,-91.0,-679.0,-20.0,0.0,1.0,1.0,0.0,0.0,0.0,6786.0,9867.0,181.0,7131.0,10573.0,195.0,-345.0,-706.0,-14.0,0.0,1.0,1.0,1.0,0.0,0.0,8607.0,12413.0,224.0,9015.0,13188.0,245.0,-408.0,-775.0,-21.0,0.0,1.0,1.0,1.0,1.0,0.0
ESPORTSTMNT02/991057,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/991057?gameHash=327377d1d309233e,LHE,2019,,0,2019-01-21 20:48:29,1,9.01,4,Blue,bot,Cuest1oN,oe:player:708bafa707faaad80db2080fb8f7da0,Valorous,oe:team:47b5eae9d91563c34d6d6963bbabb19,Kai'Sa,Ezreal,Galio,Akali,LeBlanc,Sejuani,,,,,,1990,1,4,2,1,13,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.392,0.603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,5603.0,168.9347,0.104168,301.3266,143.0653,13.0,0.392,10.0,0.3015,5.0,44.0,1.3266,13885.0,9550.0,287.9397,0.220422,12525.0,,,301.0,272.0,29.0,19.0,1.0,9.0754,3314.0,3166.0,68.0,3668.0,3094.0,87.0,-354.0,72.0,-19.0,1.0,0.0,1.0,1.0,1.0,1.0,5232.0,5336.0,123.0,5340.0,5269.0,137.0,-108.0,67.0,-14.0,1.0,0.0,1.0,1.0,1.0,1.0,6895.0,7450.0,170.0,7268.0,7668.0,192.0,-373.0,-218.0,-22.0,1.0,0.0,2.0,1.0,2.0,1.0,8608.0,9305.0,214.0,9309.0,9499.0,234.0,-701.0,-194.0,-20.0,1.0,0.0,2.0,2.0,2.0,1.0
ESPORTSTMNT02/991057,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/991057?gameHash=327377d1d309233e,LHE,2019,,0,2019-01-21 20:48:29,1,9.01,5,Blue,sup,Feitan,oe:player:affea2faa664cb5130a7569ac4b74b3,Valorous,oe:team:47b5eae9d91563c34d6d6963bbabb19,Alistar,Ezreal,Galio,Akali,LeBlanc,Sejuani,,,,,,1990,1,0,3,8,13,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.392,0.603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3606.0,108.7236,0.067041,462.5729,755.7889,45.0,1.3568,7.0,0.2111,11.0,78.0,2.3518,9703.0,5368.0,161.8492,0.123896,7425.0,,,59.0,55.0,4.0,0.0,4.0,1.7789,2303.0,2680.0,10.0,1960.0,2664.0,1.0,343.0,16.0,9.0,0.0,1.0,1.0,0.0,2.0,0.0,3808.0,4261.0,21.0,2731.0,3867.0,3.0,1077.0,394.0,18.0,0.0,1.0,1.0,0.0,2.0,0.0,4960.0,5076.0,28.0,3678.0,5390.0,7.0,1282.0,-314.0,21.0,0.0,1.0,1.0,0.0,3.0,0.0,6146.0,6444.0,39.0,4693.0,6714.0,10.0,1453.0,-270.0,29.0,0.0,1.0,2.0,0.0,3.0,0.0
ESPORTSTMNT02/991057,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/991057?gameHash=327377d1d309233e,LHE,2019,,0,2019-01-21 20:48:29,1,9.01,6,Red,top,IceBox,oe:player:9c0352da86d3a60c812dee858642792,Dark Crows,oe:team:15ee27398a7075e6d267578bcf29e9f,Urgot,Cassiopeia,Lucian,Irelia,Xin Zhao,Camille,,,,,,1990,0,3,4,0,7,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2111,0.603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,14205.0,428.2915,0.264019,672.6332,1084.6432,20.0,0.603,8.0,0.2412,10.0,39.0,1.1759,11176.0,6841.0,206.2613,0.236821,10200.0,,,235.0,231.0,4.0,4.0,0.0,7.0854,3033.0,4488.0,60.0,3819.0,5213.0,96.0,-786.0,-725.0,-36.0,1.0,0.0,0.0,1.0,0.0,0.0,4562.0,6785.0,101.0,6175.0,8057.0,151.0,-1613.0,-1272.0,-50.0,1.0,0.0,0.0,1.0,0.0,0.0,6456.0,9552.0,151.0,7928.0,10793.0,202.0,-1472.0,-1241.0,-51.0,1.0,0.0,0.0,1.0,0.0,0.0,7948.0,11449.0,186.0,10169.0,13745.0,254.0,-2221.0,-2296.0,-68.0,1.0,0.0,2.0,2.0,0.0,0.0
ESPORTSTMNT02/991057,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/991057?gameHash=327377d1d309233e,LHE,2019,,0,2019-01-21 20:48:29,1,9.01,7,Red,jng,Ocean,oe:player:53c5acbf75de5e3342bc323e60268dd,Dark Crows,oe:team:15ee27398a7075e6d267578bcf29e9f,Lee Sin,Cassiopeia,Lucian,Irelia,Xin Zhao,Camille,,,,,,1990,0,1,3,3,7,13,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.2111,0.603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4898.0,147.6784,0.0910358,641.9095,729.0452,26.0,0.7839,5.0,0.1508,9.0,46.0,1.3869,9168.0,4833.0,145.7186,0.167306,7850.0,,,154.0,24.0,130.0,94.0,5.0,4.6432,3098.0,2829.0,42.0,2952.0,3129.0,51.0,146.0,-300.0,-9.0,1.0,1.0,1.0,0.0,2.0,0.0,4542.0,5135.0,74.0,4798.0,5507.0,80.0,-256.0,-372.0,-6.0,1.0,1.0,1.0,0.0,2.0,0.0,5694.0,7221.0,94.0,6394.0,7793.0,113.0,-700.0,-572.0,-19.0,1.0,1.0,1.0,0.0,2.0,0.0,7375.0,9696.0,125.0,8701.0,11066.0,153.0,-1326.0,-1370.0,-28.0,1.0,2.0,1.0,1.0,3.0,0.0
ESPORTSTMNT02/991057,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/991057?gameHash=327377d1d309233e,LHE,2019,,0,2019-01-21 20:48:29,1,9.01,8,Red,mid,Zaphyr,oe:player:66a45be025e362d7d650d5d8b4b0935,Dark Crows,oe:team:15ee27398a7075e6d267578bcf29e9f,Xerath,Cassiopeia,Lucian,Irelia,Xin Zhao,Camille,,,,,,1990,0,1,2,3,7,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2111,0.603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,13606.0,410.2312,0.252886,344.4121,148.9146,13.0,0.392,2.0,0.0603,8.0,29.0,0.8744,11466.0,7131.0,215.005,0.24686,11500.0,,,295.0,287.0,8.0,8.0,0.0,8.8945,3061.0,4497.0,78.0,2953.0,3847.0,68.0,108.0,650.0,10.0,0.0,0.0,0.0,0.0,1.0,1.0,5017.0,7753.0,147.0,4926.0,7074.0,127.0,91.0,679.0,20.0,0.0,0.0,0.0,0.0,1.0,1.0,7131.0,10573.0,195.0,6786.0,9867.0,181.0,345.0,706.0,14.0,1.0,0.0,0.0,0.0,1.0,1.0,9015.0,13188.0,245.0,8607.0,12413.0,224.0,408.0,775.0,21.0,1.0,1.0,0.0,0.0,1.0,1.0
ESPORTSTMNT02/991057,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/991057?gameHash=327377d1d309233e,LHE,2019,,0,2019-01-21 20:48:29,1,9.01,9,Red,bot,Meisu,oe:player:2029602d18eebde8d456b2305f511cb,Dark Crows,oe:team:15ee27398a7075e6d267578bcf29e9f,Xayah,Cassiopeia,Lucian,Irelia,Xin Zhao,Camille,,,,,,1990,0,2,2,4,7,13,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.2111,0.603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,17134.0,516.603,0.318458,249.5879,99.9497,18.0,0.5427,7.0,0.2111,10.0,45.0,1.3568,12650.0,8315.0,250.7035,0.287849,11700.0,,,307.0,303.0,4.0,4.0,0.0,9.2563,3668.0,3094.0,87.0,3314.0,3166.0,68.0,354.0,-72.0,19.0,1.0,1.0,1.0,1.0,0.0,1.0,5340.0,5269.0,137.0,5232.0,5336.0,123.0,108.0,-67.0,14.0,1.0,1.0,1.0,1.0,0.0,1.0,7268.0,7668.0,192.0,6895.0,7450.0,170.0,373.0,218.0,22.0,1.0,2.0,1.0,1.0,0.0,2.0,9309.0,9499.0,234.0,8608.0,9305.0,214.0,701.0,194.0,20.0,2.0,2.0,1.0,1.0,0.0,2.0
ESPORTSTMNT02/991057,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/991057?gameHash=327377d1d309233e,LHE,2019,,0,2019-01-21 20:48:29,1,9.01,10,Red,sup,Slater,oe:player:f46153d890b1a901a2ffa2ba47a76b8,Dark Crows,oe:team:15ee27398a7075e6d267578bcf29e9f,Rakan,Cassiopeia,Lucian,Irelia,Xin Zhao,Camille,,,,,,1990,0,0,2,4,7,13,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.2111,0.603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3960.0,119.397,0.0736018,232.0101,273.6181,30.0,0.9045,14.0,0.4221,12.0,70.0,2.1106,6102.0,1767.0,53.2764,0.0611646,5750.0,,,17.0,17.0,0.0,0.0,0.0,0.5126,1960.0,2664.0,1.0,2303.0,2680.0,10.0,-343.0,-16.0,-9.0,0.0,2.0,0.0,0.0,1.0,1.0,2731.0,3867.0,3.0,3808.0,4261.0,21.0,-1077.0,-394.0,-18.0,0.0,2.0,0.0,0.0,1.0,1.0,3678.0,5390.0,7.0,4960.0,5076.0,28.0,-1282.0,314.0,-21.0,0.0,3.0,0.0,0.0,1.0,1.0,4693.0,6714.0,10.0,6146.0,6444.0,39.0,-1453.0,270.0,-29.0,0.0,3.0,0.0,0.0,1.0,2.0
