gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT01_2706640,complete,,LHE,2022,,0,2022-01-24 20:52:03,1,12.01,1,Blue,top,SyaL,oe:player:d47f9e638cf360fa8ee0a9aed153aa2,Dark Horse,oe:team:c5c317341ae046ce3345b8d56efce5c,Akali,LeBlanc,Rakan,Karma,Viego,Jarvan IV,,,,,,2391,1,3,2,5,22,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5521,0.9034,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,1.0,0.0,16509.0,414.2785,0.21283,653.4003,360.3011,12.0,0.3011,8.0,0.2008,7.0,42.0,1.054,14444,9291.0,233.1493,0.194116,14215.0,,,249.0,237.0,12.0,,,6.2484,2920.0,4197.0,71.0,3149.0,4173.0,65.0,-229.0,24.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,4646.0,6261.0,102.0,4829.0,7046.0,115.0,-183.0,-785.0,-13.0,1.0,2.0,0.0,1.0,0.0,1.0,6200.0,8345.0,137.0,6641.0,9317.0,147.0,-441.0,-972.0,-10.0,1.0,3.0,1.0,1.0,5.0,2.0,8198.0,10940.0,178.0,7674.0,10562.0,165.0,524.0,378.0,13.0,1.0,3.0,1.0,1.0,5.0,3.0
ESPORTSTMNT01_2706640,complete,,LHE,2022,,0,2022-01-24 20:52:03,1,12.01,2,Blue,jng,DHX Lil,,Dark Horse,oe:team:c5c317341ae046ce3345b8d56efce5c,Xin Zhao,LeBlanc,Rakan,Karma,Viego,Jarvan IV,,,,,,2391,1,4,2,11,22,14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5521,0.9034,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,0.0,0.0,12759.0,320.1757,0.164486,970.5144,609.6612,20.0,0.5019,26.0,0.6524,19.0,83.0,2.0828,13923,8770.0,220.0753,0.18323,12325.0,,,224.0,54.0,170.0,,,5.6211,2627.0,2899.0,53.0,3131.0,3131.0,58.0,-504.0,-232.0,-5.0,0.0,0.0,1.0,0.0,3.0,0.0,4128.0,5164.0,86.0,4313.0,4683.0,85.0,-185.0,481.0,1.0,0.0,2.0,1.0,0.0,3.0,1.0,5562.0,7284.0,116.0,5629.0,6853.0,106.0,-67.0,431.0,10.0,0.0,3.0,2.0,0.0,4.0,2.0,6965.0,9139.0,143.0,7105.0,8981.0,133.0,-140.0,158.0,10.0,0.0,4.0,2.0,0.0,4.0,2.0
ESPORTSTMNT01_2706640,complete,,LHE,2022,,0,2022-01-24 20:52:03,1,12.01,3,Blue,mid,KearZy,oe:player:0bc91bc67360a5b84f5f79d06e7a43e,Dark Horse,oe:team:c5c317341ae046ce3345b8d56efce5c,Sylas,LeBlanc,Rakan,Karma,Viego,Jarvan IV,,,,,,2391,1,11,3,8,22,14,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5521,0.9034,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,23296.0,584.5922,0.300326,848.8833,557.2898,11.0,0.276,9.0,0.2258,7.0,55.0,1.3802,18538,13385.0,335.8846,0.279656,18025.0,,,318.0,257.0,61.0,,,7.9799,3111.0,4195.0,63.0,3776.0,4585.0,77.0,-665.0,-390.0,-14.0,1.0,0.0,1.0,2.0,1.0,1.0,5826.0,7283.0,118.0,5596.0,7192.0,125.0,230.0,91.0,-7.0,4.0,0.0,1.0,2.0,1.0,1.0,7787.0,9507.0,160.0,9036.0,9905.0,172.0,-1249.0,-398.0,-12.0,5.0,1.0,2.0,5.0,3.0,1.0,9372.0,11245.0,190.0,10384.0,11236.0,203.0,-1012.0,9.0,-13.0,6.0,1.0,2.0,5.0,3.0,1.0
ESPORTSTMNT01_2706640,complete,,LHE,2022,,0,2022-01-24 20:52:03,1,12.01,4,Blue,bot,Perro,oe:player:ce311f9a3d94cb7038eb2ea051144c2,Dark Horse,oe:team:c5c317341ae046ce3345b8d56efce5c,Ashe,LeBlanc,Rakan,Karma,Viego,Jarvan IV,,,,,,2391,1,4,1,13,22,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5521,0.9034,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,21541.0,540.5521,0.277701,267.6286,144.5671,13.0,0.3262,19.0,0.4768,7.0,81.0,2.0326,18054,12901.0,323.739,0.269544,15775.0,,,382.0,334.0,48.0,,,9.5859,3325.0,3830.0,90.0,3513.0,3599.0,80.0,-188.0,231.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,5368.0,6476.0,145.0,5111.0,5123.0,127.0,257.0,1353.0,18.0,0.0,4.0,0.0,1.0,0.0,1.0,7736.0,8613.0,192.0,7550.0,7566.0,172.0,186.0,1047.0,20.0,1.0,4.0,1.0,3.0,2.0,1.0,9597.0,10794.0,241.0,9652.0,9732.0,228.0,-55.0,1062.0,13.0,1.0,4.0,1.0,3.0,2.0,1.0
ESPORTSTMNT01_2706640,complete,,LHE,2022,,0,2022-01-24 20:52:03,1,12.01,5,Blue,sup,Luco,oe:player:c5b896575b090d4837df3a90d57a520,Dark Horse,oe:team:c5c317341ae046ce3345b8d56efce5c,Nautilus,LeBlanc,Rakan,Karma,Viego,Jarvan IV,,,,,,2391,1,0,6,10,22,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5521,0.9034,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,3464.0,86.926,0.044657,377.5408,488.3061,64.0,1.606,9.0,0.2258,21.0,109.0,2.7353,8669,3516.0,88.2309,0.0734535,8175.0,,,41.0,41.0,0.0,,,1.0289,1996.0,1673.0,11.0,2156.0,1976.0,8.0,-160.0,-303.0,3.0,0.0,0.0,2.0,0.0,4.0,0.0,3134.0,3143.0,19.0,3146.0,3351.0,17.0,-12.0,-208.0,2.0,0.0,3.0,2.0,0.0,4.0,1.0,4200.0,4957.0,30.0,4643.0,5630.0,21.0,-443.0,-673.0,9.0,0.0,4.0,3.0,0.0,9.0,1.0,5130.0,6031.0,34.0,5538.0,6536.0,23.0,-408.0,-505.0,11.0,0.0,5.0,3.0,0.0,9.0,1.0
ESPORTSTMNT01_2706640,complete,,LHE,2022,,0,2022-01-24 20:52:03,1,12.01,6,Red,top,Obifox,oe:player:7ffa51fc93b00f1a3ec245f78b5b6b7,Maze Gaming,oe:team:ec984a85fa876a52f448869c93cd93b,Mordekaiser,Lucian,Caitlyn,Lulu,Gwen,Jhin,,,,,,2391,0,1,6,7,14,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3513,0.9034,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,1.0,19426.0,487.478,0.226373,743.4881,864.4417,23.0,0.5772,3.0,0.0753,12.0,31.0,0.7779,12237,7084.0,177.7666,0.185076,12100.0,,,257.0,241.0,16.0,,,6.4492,3149.0,4173.0,65.0,2920.0,4197.0,71.0,229.0,-24.0,-6.0,1.0,0.0,0.0,0.0,0.0,0.0,4829.0,7046.0,115.0,4646.0,6261.0,102.0,183.0,785.0,13.0,1.0,0.0,1.0,1.0,2.0,0.0,6641.0,9317.0,147.0,6200.0,8345.0,137.0,441.0,972.0,10.0,1.0,5.0,2.0,1.0,3.0,1.0,7674.0,10562.0,165.0,8198.0,10940.0,178.0,-524.0,-378.0,-13.0,1.0,5.0,3.0,1.0,3.0,1.0
ESPORTSTMNT01_2706640,complete,,LHE,2022,,0,2022-01-24 20:52:03,1,12.01,7,Red,jng,Sabaneti,oe:player:fd5c307c128bb504111658780365fd6,Maze Gaming,oe:team:ec984a85fa876a52f448869c93cd93b,Trundle,Lucian,Caitlyn,Lulu,Gwen,Jhin,,,,,,2391,0,2,6,5,14,22,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3513,0.9034,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,,,,,0.0,0.0,7925.0,198.8708,0.0923509,1058.67,841.1041,16.0,0.4015,9.0,0.2258,15.0,43.0,1.079,10673,5520.0,138.5194,0.144212,10075.0,,,169.0,27.0,142.0,,,4.2409,3131.0,3131.0,58.0,2627.0,2899.0,53.0,504.0,232.0,5.0,0.0,3.0,0.0,0.0,0.0,1.0,4313.0,4683.0,85.0,4128.0,5164.0,86.0,185.0,-481.0,-1.0,0.0,3.0,1.0,0.0,2.0,1.0,5629.0,6853.0,106.0,5562.0,7284.0,116.0,67.0,-431.0,-10.0,0.0,4.0,2.0,0.0,3.0,2.0,7105.0,8981.0,133.0,6965.0,9139.0,143.0,140.0,-158.0,-10.0,0.0,4.0,2.0,0.0,4.0,2.0
ESPORTSTMNT01_2706640,complete,,LHE,2022,,0,2022-01-24 20:52:03,1,12.01,8,Red,mid,Makishy,oe:player:c48beab1564e4f2c05080bbeb13726b,Maze Gaming,oe:team:ec984a85fa876a52f448869c93cd93b,Corki,Lucian,Caitlyn,Lulu,Gwen,Jhin,,,,,,2391,0,7,3,5,14,22,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3513,0.9034,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,31378.0,787.4028,0.365651,366.4241,322.1581,20.0,0.5019,8.0,0.2008,8.0,40.0,1.0038,16961,11808.0,296.3112,0.308503,15750.0,,,332.0,313.0,19.0,,,8.3312,3776.0,4585.0,77.0,3111.0,4195.0,63.0,665.0,390.0,14.0,2.0,1.0,1.0,1.0,0.0,1.0,5596.0,7192.0,125.0,5826.0,7283.0,118.0,-230.0,-91.0,7.0,2.0,1.0,1.0,4.0,0.0,1.0,9036.0,9905.0,172.0,7787.0,9507.0,160.0,1249.0,398.0,12.0,5.0,3.0,1.0,5.0,1.0,2.0,10384.0,11236.0,203.0,9372.0,11245.0,190.0,1012.0,-9.0,13.0,5.0,3.0,1.0,6.0,1.0,2.0
ESPORTSTMNT01_2706640,complete,,LHE,2022,,0,2022-01-24 20:52:03,1,12.01,9,Red,bot,Dargus,oe:player:ef78acdc4b40085b357e1846febc190,Maze Gaming,oe:team:ec984a85fa876a52f448869c93cd93b,Aphelios,Lucian,Caitlyn,Lulu,Gwen,Jhin,,,,,,2391,0,4,4,4,14,22,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3513,0.9034,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,24472.0,614.1029,0.285175,332.5721,384.0903,14.0,0.3513,10.0,0.2509,8.0,32.0,0.803,16057,10904.0,273.6261,0.284883,14500.0,,,359.0,331.0,28.0,,,9.0088,3513.0,3599.0,80.0,3325.0,3830.0,90.0,188.0,-231.0,-10.0,1.0,0.0,0.0,0.0,0.0,0.0,5111.0,5123.0,127.0,5368.0,6476.0,145.0,-257.0,-1353.0,-18.0,1.0,0.0,1.0,0.0,4.0,0.0,7550.0,7566.0,172.0,7736.0,8613.0,192.0,-186.0,-1047.0,-20.0,3.0,2.0,1.0,1.0,4.0,1.0,9652.0,9732.0,228.0,9597.0,10794.0,241.0,55.0,-1062.0,-13.0,3.0,2.0,1.0,1.0,4.0,1.0
ESPORTSTMNT01_2706640,complete,,LHE,2022,,0,2022-01-24 20:52:03,1,12.01,10,Red,sup,Chobalinho,oe:player:2c84de969272d0a6965ffcff35ccad9,Maze Gaming,oe:team:ec984a85fa876a52f448869c93cd93b,Thresh,Lucian,Caitlyn,Lulu,Gwen,Jhin,,,,,,2391,0,0,3,12,14,22,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3513,0.9034,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,2613.0,65.5709,0.0304496,268.1556,278.8206,62.0,1.5558,4.0,0.1004,17.0,84.0,2.1079,8113,2960.0,74.2785,0.0773256,6825.0,,,28.0,28.0,0.0,,,0.7026,2156.0,1976.0,8.0,1996.0,1673.0,11.0,160.0,303.0,-3.0,0.0,4.0,0.0,0.0,0.0,2.0,3146.0,3351.0,17.0,3134.0,3143.0,19.0,12.0,208.0,-2.0,0.0,4.0,1.0,0.0,3.0,2.0,4643.0,5630.0,21.0,4200.0,4957.0,30.0,443.0,673.0,-9.0,0.0,9.0,1.0,0.0,4.0,3.0,5538.0,6536.0,23.0,5130.0,6031.0,34.0,408.0,505.0,-11.0,0.0,9.0,1.0,0.0,5.0,3.0
