gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_34547,complete,,LIT,2024,Spring,0,2024-01-25 18:05:49,1,14.01,1,Blue,top,Color,oe:player:cb5feb1b7314637725a2e73bdc9f729,Macko Esports,oe:team:a2e63aee03585f0b37ff4cad936e349,K'Sante,Blitzcrank,Nocturne,Varus,Pyke,Olaf,,,,,,1789,1,1,4,6,19,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6372,0.872,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,6916,231.9508,0.10214,583.5998,636.1207,11,0.3689,2,0.0671,1,16,0.5366,9651,5726,192.0402,0.152457,8825,,,179.0,179.0,0,,,6.0034,2511.0,4002.0,55.0,3882.0,5257.0,72.0,-1371.0,-1255.0,-17.0,0.0,0.0,3.0,3.0,0.0,0.0,4221.0,7112.0,101.0,5853.0,8329.0,125.0,-1632.0,-1217.0,-24.0,0.0,0.0,3.0,3.0,0.0,0.0,6123.0,9710.0,143.0,8033.0,10809.0,168.0,-1910.0,-1099.0,-25.0,0.0,3.0,3.0,4.0,0.0,1.0,7740.0,11783.0,159.0,9761.0,13175.0,213.0,-2021.0,-1392.0,-54.0,0.0,3.0,3.0,4.0,0.0,1.0
LOLTMNT03_34547,complete,,LIT,2024,Spring,0,2024-01-25 18:05:49,1,14.01,2,Blue,jng,Lotuss,oe:player:81317166070e5727aa15670f1d996b3,Macko Esports,oe:team:a2e63aee03585f0b37ff4cad936e349,Xin Zhao,Blitzcrank,Nocturne,Varus,Pyke,Olaf,,,,,,1789,1,0,2,14,19,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6372,0.872,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,0.0,0.0,12867,431.5372,0.190028,1089.2566,1071.28,8,0.2683,3,0.1006,6,31,1.0397,9839,5914,198.3454,0.157462,8350,,,159.0,17.0,142,,,5.3326,3030.0,2865.0,54.0,3213.0,3333.0,65.0,-183.0,-468.0,-11.0,0.0,2.0,0.0,0.0,1.0,0.0,4683.0,5333.0,89.0,4734.0,5365.0,102.0,-51.0,-32.0,-13.0,0.0,4.0,0.0,0.0,1.0,0.0,6121.0,7542.0,110.0,6720.0,7857.0,144.0,-599.0,-315.0,-34.0,0.0,8.0,2.0,1.0,2.0,1.0,7857.0,10108.0,136.0,9648.0,10417.0,180.0,-1791.0,-309.0,-44.0,0.0,9.0,2.0,2.0,2.0,1.0
LOLTMNT03_34547,complete,,LIT,2024,Spring,0,2024-01-25 18:05:49,1,14.01,3,Blue,mid,Nan0,oe:player:a2e1e40c83fe5fd9efb5f50a67d9194,Macko Esports,oe:team:a2e63aee03585f0b37ff4cad936e349,Azir,Blitzcrank,Nocturne,Varus,Pyke,Olaf,,,,,,1789,1,8,1,6,19,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6372,0.872,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,1.0,0.0,22873,767.1213,0.337803,455.1817,335.6177,12,0.4025,8,0.2683,6,35,1.1738,13372,9447,316.8362,0.251532,11400,,,254.0,247.0,7,,,8.5187,3777.0,4685.0,90.0,3223.0,4462.0,83.0,554.0,223.0,7.0,1.0,1.0,0.0,0.0,0.0,2.0,6078.0,7627.0,146.0,5140.0,6898.0,137.0,938.0,729.0,9.0,3.0,1.0,0.0,0.0,0.0,2.0,8670.0,10397.0,197.0,6310.0,8793.0,162.0,2360.0,1604.0,35.0,4.0,3.0,0.0,0.0,1.0,3.0,10676.0,12666.0,231.0,7536.0,10300.0,183.0,3140.0,2366.0,48.0,5.0,3.0,1.0,0.0,2.0,4.0
LOLTMNT03_34547,complete,,LIT,2024,Spring,0,2024-01-25 18:05:49,1,14.01,4,Blue,bot,odi11,oe:player:7705566e63eedc7bd6c4c72d43c9104,Macko Esports,oe:team:a2e63aee03585f0b37ff4cad936e349,Caitlyn,Blitzcrank,Nocturne,Varus,Pyke,Olaf,,,,,,1789,1,7,0,8,19,7,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6372,0.872,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,18382,616.5008,0.271477,363.0184,197.8088,9,0.3018,7,0.2348,2,37,1.2409,14453,10528,353.0911,0.280315,11300,,,272.0,251.0,21,,,9.1224,3533.0,3615.0,83.0,3488.0,3982.0,92.0,45.0,-367.0,-9.0,1.0,0.0,0.0,0.0,0.0,1.0,6825.0,7071.0,142.0,4749.0,5223.0,125.0,2076.0,1848.0,17.0,3.0,1.0,0.0,0.0,0.0,4.0,9699.0,9608.0,187.0,6205.0,7014.0,161.0,3494.0,2594.0,26.0,6.0,3.0,0.0,0.0,1.0,4.0,11776.0,12538.0,229.0,8004.0,9335.0,199.0,3772.0,3203.0,30.0,6.0,4.0,0.0,0.0,2.0,4.0
LOLTMNT03_34547,complete,,LIT,2024,Spring,0,2024-01-25 18:05:49,1,14.01,5,Blue,sup,Click,oe:player:1e249a5688255bde7f7213b5d257b3c,Macko Esports,oe:team:a2e63aee03585f0b37ff4cad936e349,Bard,Blitzcrank,Nocturne,Varus,Pyke,Olaf,,,,,,1789,1,3,0,13,19,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6372,0.872,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,6673,223.801,0.0985512,248.4181,281.6881,61,2.0458,11,0.3689,10,116,3.8904,9868,5943,199.3181,0.158234,7950,,,34.0,34.0,0,,,1.1403,2701.0,2569.0,12.0,2122.0,1862.0,13.0,579.0,707.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,4419.0,3997.0,20.0,3266.0,3154.0,24.0,1153.0,843.0,-4.0,1.0,4.0,0.0,0.0,0.0,1.0,6123.0,6032.0,22.0,4396.0,4502.0,29.0,1727.0,1530.0,-7.0,2.0,7.0,0.0,0.0,2.0,3.0,7972.0,8162.0,30.0,5363.0,5886.0,33.0,2609.0,2276.0,-3.0,2.0,8.0,0.0,0.0,2.0,3.0
LOLTMNT03_34547,complete,,LIT,2024,Spring,0,2024-01-25 18:05:49,1,14.01,6,Red,top,Matixx,oe:player:89bee56a2a53bdf22737c6d43eedb9c,aNc Outplayed,oe:team:cd6b4265231d4ba346274357681c335,Darius,Rumble,Senna,Ashe,Poppy,Maokai,,,,,,1789,0,4,2,1,7,19,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.2348,0.872,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,13577,455.3494,0.264798,659.6646,685.3885,10,0.3354,2,0.0671,0,20,0.6708,11141,7216,242.0123,0.26288,11133,,,237.0,229.0,8,,,7.9486,3882.0,5257.0,72.0,2511.0,4002.0,55.0,1371.0,1255.0,17.0,3.0,0.0,0.0,0.0,0.0,3.0,5853.0,8329.0,125.0,4221.0,7112.0,101.0,1632.0,1217.0,24.0,3.0,0.0,0.0,0.0,0.0,3.0,8033.0,10809.0,168.0,6123.0,9710.0,143.0,1910.0,1099.0,25.0,4.0,0.0,1.0,0.0,3.0,3.0,9761.0,13175.0,213.0,7740.0,11783.0,159.0,2021.0,1392.0,54.0,4.0,0.0,1.0,0.0,3.0,3.0
LOLTMNT03_34547,complete,,LIT,2024,Spring,0,2024-01-25 18:05:49,1,14.01,7,Red,jng,nicolaiy,oe:player:ae50e71f31d35aee5c589498e3c1b17,aNc Outplayed,oe:team:cd6b4265231d4ba346274357681c335,Bel'Veth,Rumble,Senna,Ashe,Poppy,Maokai,,,,,,1789,0,3,1,2,7,19,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.2348,0.872,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,,,,,0.0,0.0,9602,322.0347,0.187272,809.7149,893.024,6,0.2012,12,0.4025,5,36,1.2074,11259,7334,245.9698,0.267179,10825,,,204.0,25.0,179,,,6.8418,3213.0,3333.0,65.0,3030.0,2865.0,54.0,183.0,468.0,11.0,0.0,1.0,0.0,0.0,2.0,0.0,4734.0,5365.0,102.0,4683.0,5333.0,89.0,51.0,32.0,13.0,0.0,1.0,0.0,0.0,4.0,0.0,6720.0,7857.0,144.0,6121.0,7542.0,110.0,599.0,315.0,34.0,1.0,2.0,1.0,0.0,8.0,2.0,9648.0,10417.0,180.0,7857.0,10108.0,136.0,1791.0,309.0,44.0,2.0,2.0,1.0,0.0,9.0,2.0
LOLTMNT03_34547,complete,,LIT,2024,Spring,0,2024-01-25 18:05:49,1,14.01,8,Red,mid,Vigil,oe:player:c08f75d1d70bf068013b32f60fe96a5,aNc Outplayed,oe:team:cd6b4265231d4ba346274357681c335,Neeko,Rumble,Senna,Ashe,Poppy,Maokai,,,,,,1789,0,0,6,2,7,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2348,0.872,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,1.0,9822,329.4131,0.191563,560.995,264.4494,10,0.3354,6,0.2012,2,18,0.6037,8814,4889,163.9687,0.178105,8910,,,204.0,204.0,0,,,6.8418,3223.0,4462.0,83.0,3777.0,4685.0,90.0,-554.0,-223.0,-7.0,0.0,0.0,2.0,1.0,1.0,0.0,5140.0,6898.0,137.0,6078.0,7627.0,146.0,-938.0,-729.0,-9.0,0.0,0.0,2.0,3.0,1.0,0.0,6310.0,8793.0,162.0,8670.0,10397.0,197.0,-2360.0,-1604.0,-35.0,0.0,1.0,3.0,4.0,3.0,0.0,7536.0,10300.0,183.0,10676.0,12666.0,231.0,-3140.0,-2366.0,-48.0,0.0,2.0,4.0,5.0,3.0,1.0
LOLTMNT03_34547,complete,,LIT,2024,Spring,0,2024-01-25 18:05:49,1,14.01,9,Red,bot,Orion,oe:player:915901c2ffafe3ee9245c3ef30ec5b4,aNc Outplayed,oe:team:cd6b4265231d4ba346274357681c335,Ziggs,Rumble,Senna,Ashe,Poppy,Maokai,,,,,,1789,0,0,5,3,7,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2348,0.872,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,14779,495.6624,0.288241,486.3387,250.6652,10,0.3354,6,0.2012,5,17,0.5702,9488,5563,186.5735,0.202659,9175,,,227.0,227.0,0,,,7.6132,3488.0,3982.0,92.0,3533.0,3615.0,83.0,-45.0,367.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,4749.0,5223.0,125.0,6825.0,7071.0,142.0,-2076.0,-1848.0,-17.0,0.0,0.0,4.0,3.0,1.0,0.0,6205.0,7014.0,161.0,9699.0,9608.0,187.0,-3494.0,-2594.0,-26.0,0.0,1.0,4.0,6.0,3.0,0.0,8004.0,9335.0,199.0,11776.0,12538.0,229.0,-3772.0,-3203.0,-30.0,0.0,2.0,4.0,6.0,4.0,0.0
LOLTMNT03_34547,complete,,LIT,2024,Spring,0,2024-01-25 18:05:49,1,14.01,10,Red,sup,Shredder,oe:player:4515c41bfcadfcf2e3c5880242f99a2,aNc Outplayed,oe:team:cd6b4265231d4ba346274357681c335,Nautilus,Rumble,Senna,Ashe,Poppy,Maokai,,,,,,1789,0,0,5,3,7,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2348,0.872,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,3493,117.1492,0.0681255,442.1688,582.9625,46,1.5428,14,0.4695,11,94,3.1526,6373,2448,82.1017,0.0891771,5725,,,36.0,36.0,0,,,1.2074,2122.0,1862.0,13.0,2701.0,2569.0,12.0,-579.0,-707.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3266.0,3154.0,24.0,4419.0,3997.0,20.0,-1153.0,-843.0,4.0,0.0,0.0,1.0,1.0,4.0,0.0,4396.0,4502.0,29.0,6123.0,6032.0,22.0,-1727.0,-1530.0,7.0,0.0,2.0,3.0,2.0,7.0,0.0,5363.0,5886.0,33.0,7972.0,8162.0,30.0,-2609.0,-2276.0,3.0,0.0,2.0,3.0,2.0,8.0,0.0
